,https://roic.ai/company/ARRY,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,59796273000,- -,29275180000,57703000,59238000,70581000,122516000,87148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,77764108000,12405966000,33532065000,67271000,90643000,118461000,197926000,150424000,193879000,157897000,164774000,155554000,206832000,267418000,245387000,618430000,736923000,729417000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,- -
63,Common Stock,28872000,38467000,39124000,47000,48000,48000,53000,57000,92000,117000,132000,142000,144000,171000,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-570737000,-632679000,-717936000,-708567000,-801407000,-918700000,- -,- -,-221499000,-263851000
65,Other Comprehensive Income/Loss,-143415000,-279098000,-270686000,-15000,-1937000,- -,- -,3000,-1000,-2000,2000,5000,7000,-76000,- -,-6590000,- -,- -
66,Other Total Stockholders Equity,55744151000,99655977000,68872124000,107671000,39916000,- -,- -,- -,484840000,610655000,692081000,751073000,763324000,930332000,- -,311741000,140600000,263851000
67,Total Stockholders Equity,55629608000,99415346000,68640562000,107703000,38027000,-73701000,-116678000,-130858000,-85806000,-21909000,-25721000,42653000,-37932000,11727000,264474000,305151000,-80899000,413562000
68,Total Liabilities And Stockholders Equity,133393716000,111821312000,102172627000,174974000,128670000,44760000,81248000,19566000,108073000,135988000,139053000,198207000,168900000,279145000,509861000,923581000,656024000,1142979000
69,Minority Interest,-55629608000,16130338000,- -,- -,-66346000,5378000,-39367000,-754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,77764108000,127951650000,102172627000,174974000,62324000,50138000,41881000,18812000,108073000,135988000,139053000,198207000,168900000,279145000,509861000,923581000,656024000,1142979000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1100412/000104746904027987/0001047469-04-027987-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110465905043927/0001104659-05-043927-index.htm,https://www.sec.gov/Archives/edgar/data/1100412/000110465906059191/0001104659-06-059191-index.htm,https://www.sec.gov/Archives/edgar/data/1100412/000110465907068888/0001104659-07-068888-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110465908053383/0001104659-08-053383-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000104746909007860/0001047469-09-007860-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000095012310076724/0000950123-10-076724-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000104746911007339/0001047469-11-007339-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000104746912008381/0001047469-12-008381-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041213000025/0001100412-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041214000048/0001100412-14-000048-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041215000023/0001100412-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041216000048/0001100412-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1100412/000162828017008555/0001628280-17-008555-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1820721/000182072121000009/0001820721-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1820721/000182072122000033/0001820721-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-25504022000,-23244024000,-39613507000,-55442000,-96288000,-127815000,-77631000,-56324000,-23581000,-61942000,-85257000,9369000,-92840000,-116800000,-60764000,39745000,59073000,-50403000
74,Depreciation and Amortization,7996750000,8028447000,9032515000,6379000,6103000,6613000,6338000,7616000,5076000,8826000,9764000,9501000,7904000,9531000,28450000,27316000,27474000,25946000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20062000,22322000,-2739000,-10102000
76,Stock Based Compensation,1976658000,151004000,6157115000,4811000,6159000,5948000,5372000,3328000,2351000,3449000,4331000,7809000,7283000,9965000,- -,799000,4809000,13757000
77,Change in Working Capital,-13547512000,54529539000,-24426912000,-55886873000,-54483000,-71724000,44745000,-38613000,16417000,53561000,-1789000,79680000,-45756000,97759000,-161321000,-10241000,57008000,520656000
78,Accounts Receivable,563416000,400721000,-679422000,1150000,- -,- -,- -,- -,- -,-8520000,4166000,-7592000,-32995000,8023000,19399000,-40708000,-23038000,-116848000
79,Inventory,5616424000,1877195000,508048000,155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10261000,-94594000,28340000,-88184000
80,Accounts Payable,-114153000,1299938000,2503029000,3867000,-1737000,1815000,-1064000,-585000,2006000,-1324000,1866000,-1113000,3931000,-1004000,6497000,105481000,-50519000,8637000
81,Other Working Capital,25905075000,80434614000,56007702000,120829000,66346000,-5378000,39367000,754000,17171000,70732000,68943000,148623000,102867000,200626000,39305000,29064000,86072000,606728000
82,Other Non-Cash Items,34577352000,-56642948000,24554103000,55886602000,92773000,94039000,38734000,18053000,-33809000,-90961000,1269000,-112152000,53319000,-39855000,201970000,306132000,-267830000,-763041000
83,Cash Provided by Operating Activities,5499226000,-17177982000,-24296686000,-44523000,-45736000,-92939000,17558000,-65940000,-33546000,-87067000,-71682000,-5793000,-70090000,-39400000,-11727000,386073000,-122205000,-263187000
84,CAPEX,-3627018000,-5681941000,-5180112000,-7148000,168000,- -,- -,- -,-1437000,-2340000,-2614000,-2507000,-3159000,-3520000,-6430000,-1697000,-1338000,-3357000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-250192325000,-121689164000,-67151391000,-144940000,-71593000,-19139000,-78785000,-53040000,-51339000,-110723000,-95602000,-202908000,-139150000,-387554000,- -,- -,- -,- -
87,Sales/Maturities of Investments,249750000000,72950000000,90925000000,69150000,130505000,51084000,10975000,129014000,34055000,96701000,100698000,143616000,208336000,332429000,- -,- -,- -,- -
88,Other Investing Activites,- -,-621605000,2018854000,32275000,-8354000,-2940000,-1253000,-1901000,- -,- -,- -,3750000,- -,529000,-4357000,- -,- -,-11975000
89,Cash Used for Investing Activites,-4069343000,-55042710000,20612351000,-50663000,50726000,29005000,-69063000,74073000,-18721000,-16362000,2482000,-58049000,66027000,-58116000,-6430000,-1697000,-1338000,-15332000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,6340000,-4350000,-92712000,-86000,- -,- -,-14550000,-76587000,-25000000,-218260000,- -
91,Common Stock Issued,- -,66575147000,- -,85243000,- -,- -,11596000,6060000,67145000,75555000,75000000,47500000,2992000,30790000,- -,- -,145532000,120645000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60736000,-68591000,-55691000,-56598000,-125933000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8051000
94,Other Financing Activites,1608726000,11575482000,6823052000,5045000,40788000,40688000,39553000,-5280000,-2828000,186259000,70732000,59133000,58576000,276498000,127450000,-38945000,-56545000,56525000
95,Cash Used/Provided by Financing Activities,1608726000,78150629000,6823052000,90288000,40788000,40688000,51149000,7120000,59967000,108366000,77055000,50942000,4970000,166805000,50863000,-63945000,-129273000,56525000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3038609000,5929937000,3138717000,-4898000,45778000,-23246000,-356000,15253000,7700000,4937000,7855000,-12900000,907000,69335000,32706000,320431000,-252816000,-90759000
98,Cash at the End of Period,7752812000,12429526000,15568243000,10670000,56448000,33202000,32846000,48099000,55799000,60736000,68591000,55691000,56598000,125933000,40826000,361257000,108441000,- -
99,Cash at the Beginning of Period,4714203000,6499589000,12429526000,15568000,10670000,56448000,33202000,32846000,48099000,55799000,60736000,68591000,55691000,56598000,8120000,40826000,361257000,108441000
100,Free Cash Flow,1872208000,-22859923000,-29476798000,-51671000,-45568000,-92939000,17558000,-65940000,-34983000,-89407000,-74296000,-8300000,-73249000,-42920000,-18157000,384376000,-123543000,-266544000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1100412/000104746904027987/0001047469-04-027987-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110465905043927/0001104659-05-043927-index.htm,https://www.sec.gov/Archives/edgar/data/1100412/000110465906059191/0001104659-06-059191-index.htm,https://www.sec.gov/Archives/edgar/data/1100412/000110465907068888/0001104659-07-068888-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110465908053383/0001104659-08-053383-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000104746909007860/0001047469-09-007860-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000095012310076724/0000950123-10-076724-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000104746911007339/0001047469-11-007339-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000104746912008381/0001047469-12-008381-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041213000025/0001100412-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041214000048/0001100412-14-000048-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041215000023/0001100412-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/1100412/000110041216000048/0001100412-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1100412/000162828017008555/0001628280-17-008555-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1820721/000182072121000009/0001820721-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1820721/000182072122000033/0001820721-22-000033-index.htm
102,false,,,,,,,,,,,,,,,,,,
