,https://roic.ai/company/LOCO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,417898000,416500000,455306000,461028000,471305000,442711000,450226000,624752000,605221000,613786000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1606366/000119312515094245/d856190d10k.htm,https://www.sec.gov/Archives/edgar/data/1606366/000156459016014602/0001564590-16-014602-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000156459017003982/0001564590-17-003982-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636618000006/0001606366-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636619000007/0001606366-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636620000004/0001606366-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636621000015/0001606366-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606366/000160636622000014/0001606366-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7865000,-16873000,42463000,24054000,18339000,8619000,-8994000,24900000,24474000,29121000
74,Depreciation and Amortization,9530000,10213000,11538000,13092000,16053000,18128000,17825000,17855000,16878000,- -
75,Deferred Income Tax,1999000,1371000,-25619000,15405000,12742000,-5320000,-4189000,9635000,4147000,- -
76,Stock Based Compensation,860000,822000,1093000,539000,1063000,1056000,2005000,2474000,3093000,- -
77,Change in Working Capital,4318000,-2460000,24871000,-13362000,-29934000,4295000,-34263000,11577000,14538000,9664000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-185000,33000,-245000,1000,-221000,-177000,-190000,338000,-92000,- -
80,Accounts Payable,765000,1294000,-8023000,2317000,-4579000,1088000,482000,-3192000,666000,- -
81,Other Working Capital,-10005000,-12465000,12406000,-956000,-30890000,-26595000,-60858000,-49281000,-34743000,-25079000
82,Other Non-Cash Items,10567000,26627000,-28261000,18243000,31036000,26893000,73058000,-30306000,-22583000,-38785000
83,Cash Provided by Operating Activities,19409000,19700000,26085000,57971000,49299000,53671000,45442000,36135000,40547000,- -
84,CAPEX,-14993000,-13822000,-26836000,-30835000,-37410000,-36238000,-27802000,-15439000,-6690000,- -
85,Acquisitions Net,- -,- -,- -,- -,1465000,- -,- -,4770000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,35000,5435000,- -,743000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-14993000,-13787000,-21401000,-30835000,-35202000,-36238000,-27802000,-10669000,-6690000,- -
90,Debt Repayment,-1916000,-290338000,-291794000,-42208000,-19177000,-19144000,-33132000,-19068000,-93739000,- -
91,Common Stock Issued,- -,- -,112300000,- -,- -,- -,1837000,- -,- -,309404000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-981000,-48382000,- -,-4395604000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4000,279953000,169294000,9674000,1147000,8093000,13055000,43085000,65031000,- -
95,Cash Used/Provided by Financing Activities,-1920000,-10385000,-10200000,-32534000,-18030000,-11051000,-19221000,-24365000,-28708000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2496000,-4472000,-5516000,-5398000,-3933000,6382000,-1581000,1101000,5149000,- -
98,Cash at the End of Period,21487000,17015000,11499000,6101000,2168000,8550000,6969000,8070000,13219000,- -
99,Cash at the Beginning of Period,18991000,21487000,17015000,11499000,6101000,2168000,8550000,6969000,8070000,13219000
100,Free Cash Flow,4416000,5878000,-751000,27136000,11889000,17433000,17640000,20696000,33857000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1606366/000119312515094245/d856190d10k.htm,https://www.sec.gov/Archives/edgar/data/1606366/000156459016014602/0001564590-16-014602-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000156459017003982/0001564590-17-003982-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636618000006/0001606366-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636619000007/0001606366-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636620000004/0001606366-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1606366/000160636621000015/0001606366-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606366/000160636622000014/0001606366-22-000014-index.htm
102,false,,,,,,,,,,
