,https://roic.ai/company/COST,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,23000000,41000000,49000000,44000000,52000000,50000000,41000000,50000000,75000000,126000000,89000000,41000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,111000000,116000000,95000000,99000000,113000000,124000000,133000000,134000000,159000000,150000000,160000000,171000000
14,Depreciation and Amortization,5700000,10100000,10500000,15100000,19500000,27400000,40600000,54000000,112100000,143700000,142000000,161600000,182300000,196300000,224800000,254397000,301297000,341781000,391302000,440721000,477868000,515285000,566385000,653082000,728000000,795000000,855000000,908000000,946000000,1029000000,1127000000,1255000000,1370000000,1437000000,1492000000,1645000000,1781000000
15,EBITDA,96400000,126100000,150100000,171800000,211300000,233000000,260400000,269200000,482400000,124000000,426800000,585100000,702600000,962700000,965600000,1306792000,1304778000,1479965000,1549535000,1841345000,2026830000,2266702000,2276376000,2652056000,2550000000,2940000000,3274000000,3712000000,4074000000,4309000000,4823000000,4981000000,5508000000,5993000000,6362000000,7115000000,8560000000
16,EBITDA ratio,0.0526,0.0476,0.0454,0.0424,0.0431,0.0441,0.0395,0.0368,0.0318,0.0075,0.0238,0.0299,0.0321,0.0397,0.0352,0.0406,0.0375,0.0382,0.0364,0.0383,0.0383,0.0377,0.0353,0.0366,0.0357,0.0377,0.0368,0.0374,0.0387,0.0383,0.0415,0.0420,0.0427,0.0423,0.0417,0.0427,0.0437
17,Operating Income,43700000,101800000,127000000,58300000,71100000,73600000,55900000,31800000,55800000,392200000,124500000,490800000,580700000,787300000,860100000,1037450000,992267000,1131535000,1156628000,1385648000,1474303000,1625632000,1608586000,1968835000,1777000000,2077000000,2439000000,2759000000,3053000000,3220000000,3624000000,3672000000,4111000000,4480000000,4737000000,5435000000,6708000000
18,Operating Income ratio,0.0238,0.0384,0.0384,0.0144,0.0145,0.0139,0.0085,0.0043,0.0037,0.0238,0.0070,0.0251,0.0265,0.0324,0.0313,0.0323,0.0285,0.0292,0.0272,0.0288,0.0279,0.0270,0.0250,0.0272,0.0249,0.0266,0.0274,0.0278,0.0290,0.0286,0.0312,0.0309,0.0319,0.0316,0.0310,0.0326,0.0342
19,Total Other Income Expenses (Gains),47000000,14200000,12600000,98400000,120700000,132000000,163900000,183400000,314500000,-188600000,243700000,-67300000,-60400000,-20900000,-1300000,14945000,11214000,6649000,1605000,14976000,74659000,125785000,101405000,30139000,-63000000,-23000000,-56000000,8000000,-2000000,-23000000,-20000000,-53000000,-72000000,-38000000,28000000,-68000000,-28000000
20,Income Before Tax,90700000,116000000,139600000,156700000,191800000,205600000,219800000,215200000,370300000,203600000,368200000,423500000,520300000,766400000,858800000,1052395000,1003481000,1138184000,1158233000,1400624000,1548962000,1751417000,1709991000,1998974000,1714000000,2054000000,2383000000,2767000000,3051000000,3197000000,3604000000,3619000000,4039000000,4442000000,4765000000,5367000000,6680000000
21,Income Before Tax Ratio,0.0495,0.0438,0.0422,0.0387,0.0391,0.0389,0.0333,0.0294,0.0244,0.0124,0.0206,0.0216,0.0238,0.0316,0.0313,0.0327,0.0288,0.0294,0.0272,0.0291,0.0293,0.0291,0.0266,0.0276,0.0240,0.0264,0.0268,0.0279,0.0290,0.0284,0.0310,0.0305,0.0313,0.0314,0.0312,0.0322,0.0341
22,Income Tax expense (Gain),44700000,57100000,66300000,61900000,74800000,80200000,85700000,86100000,147100000,92700000,151000000,174700000,208100000,306600000,343500000,420958000,401392000,438201000,437233000,518231000,485870000,648202000,627219000,716249000,628000000,731000000,841000000,1000000000,990000000,1109000000,1195000000,1243000000,1325000000,1263000000,1061000000,1308000000,1601000000
23,Net Income,46000000,58900000,73300000,94800000,117000000,125400000,134100000,129100000,223200000,-112400000,133800000,248800000,312200000,459800000,397300000,631437000,602089000,699983000,721000000,882393000,1063092000,1103215000,1082772000,1282725000,1086000000,1303000000,1462000000,1709000000,2039000000,2058000000,2377000000,2350000000,2679000000,3134000000,3659000000,4002000000,5007000000
24,Net Income ratio,0.0251,0.0222,0.0222,0.0234,0.0239,0.0237,0.0203,0.0176,0.0147,-0.0068,0.0075,0.0127,0.0143,0.0189,0.0145,0.0196,0.0173,0.0181,0.0169,0.0183,0.0201,0.0183,0.0168,0.0177,0.0152,0.0167,0.0164,0.0172,0.0194,0.0183,0.0205,0.0198,0.0208,0.0221,0.0240,0.0240,0.0256
25,EPS,0.24,0.30,0.35,0.46,0.36,0.42,0.50,0.53,0.50,-0.26,0.34,0.61,0.73,1.07,0.91,1.41,1.34,1.54,1.58,1.92,2.24,2.35,2.42,2.95,2.50,2.97,3.35,3.94,4.68,4.69,5.41,5.36,6.11,7.15,8.32,9.05,11.30
26,EPS Diluted,0.24,0.30,0.35,0.46,0.36,0.42,0.50,0.53,0.50,-0.26,0.34,0.61,0.73,1.02,0.87,1.35,1.29,1.48,1.53,1.85,2.18,2.30,2.37,2.89,2.47,2.92,3.30,3.89,4.63,4.65,5.37,5.33,6.08,7.09,8.26,9.02,11.27
27,Weighted Average Shares Outstanding,191666667,196333333,209428571,206086957,212312000,217441860,268200000,243584906,446400000,432307692,393529412,407868852,424761905,429719626,436593407,446255000,449631000,453650000,456335000,459223000,473945000,469718000,447659000,434442000,433988000,438611000,436119000,433620000,435741000,438693000,439455000,438585000,438437000,438515000,439755000,442297000,443089000
28,Weighted Average Shares Outstanding Diluted,191666667,196333333,209428571,206086957,212312000,217441860,268200000,243584906,446400000,432307692,393529412,407868852,427671233,450784314,456666667,475737000,475827000,479262000,479326000,482459000,492035000,480341000,457641000,444240000,440454000,445970000,443094000,439373000,440512000,442485000,442716000,441263000,440937000,441834000,442923000,443901000,444346000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909832/000091205794003945/0000912057-94-003945-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909832/000103221002001631/0001032210-02-001631-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312503085292/0001193125-03-085292-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312504195535/0001193125-04-195535-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312505223245/0001193125-05-223245-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312506238399/0001193125-06-238399-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312507225805/0001193125-07-225805-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312508211709/0001193125-08-211709-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312509208963/0001193125-09-208963-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312510230379/0001193125-10-230379-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312511271844/0001193125-11-271844-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312512428890/0001193125-12-428890-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000144530513002422/0001445305-13-002422-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983214000021/0000909832-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983215000014/0000909832-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983216000032/0000909832-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983217000014/0000909832-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/0000909832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/0000909832-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/0000909832-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/0000909832-21-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,146900000,135100000,263600000,290100000,-6500000,-14800000,-13300000,-21100000,101900000,54000000,46000000,102000000,175500000,362000000,441000000,525000000,603000000,806000000,1545439000,2823135000,2062585000,1510939000,2779733000,2619429000,3157000000,3214000000,4009000000,3528000000,4644000000,5738000000,4801000000,3379000000,4546000000,6055000000,8384000000,12277000000,11258000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,- -,- -,76000000,257000000,48000000,5000000,- -,- -,306747000,1397272000,1322181000,575787000,655584000,570000000,1535000000,1604000000,1326000000,1480000000,1577000000,1618000000,1350000000,1233000000,1204000000,1060000000,1028000000,917000000
33,Cash and Short-Term Investments,146900000,135100000,263600000,290100000,-6500000,-14800000,-13300000,-21100000,101900000,63000000,46000000,102000000,175500000,438000000,698000000,573000000,608000000,806000000,1545439000,3129882000,3459857000,2833120000,3355520000,3275013000,3727000000,4749000000,5613000000,4854000000,6124000000,7315000000,6419000000,4729000000,5779000000,7259000000,9444000000,13305000000,12175000000
34,Net Receivables,5100000,11000000,16300000,20300000,23300000,41000000,57600000,49300000,114800000,130000000,147000000,137000000,147100000,172000000,169000000,174000000,325000000,475000000,556090000,335175000,399974000,565373000,762017000,747968000,834000000,884000000,965000000,1026000000,1201000000,1148000000,1224000000,1252000000,1432000000,1669000000,1535000000,1550000000,1803000000
35,Inventory,81600000,107200000,185400000,206100000,256000000,262200000,338000000,381500000,993700000,1260000000,1422000000,1501000000,1686500000,1911000000,2210000000,2490000000,2739000000,3127000000,3339428000,3643585000,4014699000,4568723000,4879465000,5039413000,5405000000,5638000000,6638000000,7096000000,7894000000,8456000000,8908000000,8969000000,9834000000,11040000000,11395000000,12242000000,14215000000
36,Other Current Assets,200000,3900000,4600000,11000000,159300000,76100000,342700000,126200000,160300000,81000000,87000000,88000000,100900000,107000000,239000000,233000000,210000000,223000000,270581000,160457000,211908000,264866000,327151000,399651000,371000000,437000000,490000000,550000000,621000000,669000000,748000000,268000000,272000000,321000000,1111000000,1023000000,1312000000
37,Total Current Assets,233800000,257200000,469900000,527500000,432100000,364500000,725000000,535900000,1370700000,1534000000,1702000000,1828000000,2110000000,2628000000,3316000000,3470000000,3882000000,4631000000,5711538000,7269099000,8086438000,8232082000,9324153000,9462045000,10337000000,11708000000,13706000000,13526000000,15840000000,17588000000,17299000000,15218000000,17317000000,20289000000,23485000000,28120000000,29505000000
38,PP&E,107100000,195200000,281400000,292600000,393400000,475000000,644800000,925900000,2031700000,2146000000,2536000000,2888000000,3154600000,3395000000,3907000000,4834000000,5827000000,6524000000,6960008000,7263697000,7790192000,8564295000,9519780000,10354996000,10900000000,11314000000,12432000000,12961000000,13881000000,14830000000,15401000000,17043000000,18161000000,19681000000,20890000000,24595000000,26382000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,74000000,- -,63000000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,9300000,10500000,10200000,9800000,9700000,9400000,52500000,49400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,9300000,10500000,10200000,9800000,9700000,9400000,52500000,49400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,74000000,- -,63000000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,64000000,57000000,- -,61000000,67000000,90000000,119000000,146000000,- -,- -,- -,- -,- -,- -,- -,- -,179000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,30400000,30000000,71500000,163500000,275100000,346400000,409900000,391400000,519300000,490000000,135000000,139000000,211700000,176000000,215000000,240000000,262000000,319000000,520142000,559752000,637012000,698693000,762653000,865307000,742000000,365000000,370000000,653000000,499000000,606000000,740000000,902000000,869000000,860000000,1025000000,2841000000,3381000000
45,Total Non-Current Assets,146800000,235700000,363100000,465900000,678200000,830800000,1107200000,1366700000,2551000000,2702000000,2735000000,3084000000,3366300000,3632000000,4189000000,5164000000,6208000000,6989000000,7480150000,7823449000,8427204000,9262988000,10282433000,11220303000,11642000000,12107000000,13055000000,13614000000,14443000000,15436000000,16141000000,17945000000,19030000000,20541000000,21915000000,27436000000,29763000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,380600000,492900000,833000000,993400000,1110300000,1195300000,1832200000,1902600000,3921700000,4236000000,4437000000,4912000000,5476300000,6260000000,7505000000,8634000000,10090000000,11620000000,13191688000,15092548000,16513642000,17495070000,19606586000,20682348000,21979000000,23815000000,26761000000,27140000000,30283000000,33024000000,33440000000,33163000000,36347000000,40830000000,45400000000,55556000000,59268000000
48,Accounts Payable,- -,- -,- -,- -,252800000,258500000,380800000,370200000,872900000,1073000000,1233000000,1220000000,1379400000,1606000000,1913000000,2197000000,2728000000,2884000000,3131320000,3600200000,4213724000,4581395000,5124990000,5224753000,5450000000,5947000000,6544000000,7303000000,7872000000,8491000000,9011000000,7612000000,9608000000,11237000000,11679000000,14172000000,16278000000
49,Short-Term Debt,200000,2800000,- -,11800000,800000,800000,- -,- -,23100000,156000000,88000000,82000000,40400000,- -,- -,10000000,195000000,104000000,47421000,327189000,57581000,349908000,113737000,140412000,97000000,26000000,900000000,1000000,- -,- -,1283000000,1100000000,86000000,- -,1699000000,95000000,799000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401000000,457000000,485000000,459000000,578000000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322583000,360515000,401357000,453881000,500558000,583946000,692176000,748438000,824000000,77000000,141000000,159000000,204000000,250000000,299000000,365000000,- -,- -,- -,- -,- -
52,Other Current Liabilities,138500000,180200000,247600000,294300000,98700000,118200000,174400000,196100000,344000000,418000000,377000000,479000000,544200000,602000000,965000000,1346000000,883417000,1108485000,1431009000,1789280000,1837111000,2303942000,2650850000,2760562000,2910000000,4013000000,4465000000,4797000000,5181000000,5671000000,5947000000,6498000000,7801000000,8689000000,9859000000,10577000000,12364000000
53,Total Current Liabilities,138700000,183000000,247600000,306100000,352300000,377500000,555200000,566300000,1240000000,1647000000,1698000000,1781000000,1964000000,2208000000,2878000000,3553000000,4129000000,4457000000,5011107000,6170550000,6608974000,7819191000,8581753000,8874165000,9281000000,10063000000,12050000000,12260000000,13257000000,14412000000,16540000000,15575000000,17495000000,19926000000,23237000000,24844000000,29441000000
54,Long-Term Debt,76400000,2700000,197800000,200200000,214600000,193500000,496500000,509000000,812600000,795000000,1089000000,1220000000,917000000,919000000,907000000,641000000,843000000,1203000000,1289649000,993746000,710675000,215369000,2107978000,2205952000,2206000000,2141000000,1253000000,1381000000,4998000000,5093000000,4864000000,4061000000,6573000000,6487000000,5124000000,10072000000,9334000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4200000,5400000,8300000,7600000,8300000,8000000,10700000,18100000,64200000,- -,- -,- -,33500000,- -,- -,- -,- -,- -,209835000,244176000,254270000,253713000,224197000,328313000,388000000,681000000,885000000,981000000,1016000000,1004000000,1193000000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,- -,6800000,7200000,8200000,109000000,120000000,133000000,5500000,167000000,188000000,200000000,235000000,266000000,- -,- -,- -,- -,- -,- -,86000000,- -,- -,- -,- -,- -,- -,1195000000,1200000000,1314000000,1455000000,1935000000,2415000000
58,Total Non-Current Liabilities,80600000,8200000,206100000,207800000,222900000,201500000,514000000,534300000,885000000,904000000,1209000000,1353000000,956000000,1086000000,1095000000,841000000,1078000000,1469000000,1499484000,1237922000,964945000,469082000,2332175000,2534265000,2680000000,2822000000,2138000000,2362000000,6014000000,6097000000,6057000000,5256000000,7773000000,7801000000,6579000000,12007000000,11749000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2558000000,2642000000
61,Total Liabilities,219300000,191200000,453700000,513900000,575200000,579000000,1069200000,1100600000,2125000000,2551000000,2907000000,3134000000,2920000000,3294000000,3973000000,4394000000,5207000000,5926000000,6510591000,7408472000,7573919000,8288273000,10913928000,11408430000,11961000000,12885000000,14188000000,14622000000,19271000000,20509000000,22597000000,20831000000,25268000000,27727000000,29816000000,36851000000,41190000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,- -,2000000,2000000,2000000,2000000,2000000,2287000,2313000,2362000,2312000,2185000,2163000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,105200000,164100000,237400000,332600000,374900000,500300000,634000000,763100000,1255600000,1143000000,1277000000,1526000000,1838100000,2298000000,2695000000,3327000000,3929000000,4629000000,5349731000,1466366000,6624154000,6041212000,5132343000,5360854000,6101000000,6590000000,7111000000,7834000000,6283000000,7458000000,6518000000,7686000000,5988000000,7887000000,10258000000,12879000000,11666000000
65,Other Comprehensive Income/Loss,-11300000,-18700000,-26800000,-39500000,-56500000,-75600000,-113800000,-144000000,-330200000,-86000000,-104000000,-144000000,-795700000,-304000000,-236000000,-234000000,-348000000,-316000000,-77980000,16144000,158039000,277263000,370589000,285661000,104000000,122000000,373000000,156000000,-122000000,-76000000,-1121000000,-1099000000,-1014000000,-1199000000,-1436000000,-1297000000,-1137000000
66,Other Total Stockholders Equity,67400000,156300000,168700000,186400000,216700000,191600000,242800000,182900000,871300000,626000000,356000000,394000000,1513900000,970000000,1071000000,1145000000,1300000000,1379000000,1280942000,6139987000,2096554000,2822652000,3118224000,3543383000,3811000000,4115000000,4516000000,4369000000,4670000000,4919000000,5218000000,5490000000,5800000000,6107000000,6417000000,6698000000,7031000000
67,Total Stockholders Equity,161300000,301700000,379300000,479500000,535100000,616300000,763000000,802000000,1796700000,1685000000,1531000000,1778000000,2556300000,2966000000,3532000000,4240000000,4883000000,5694000000,6554980000,7624810000,8881109000,9143439000,8623341000,9192061000,10018000000,10829000000,12002000000,12361000000,10833000000,12303000000,10617000000,12079000000,10778000000,12799000000,15243000000,18284000000,17564000000
68,Total Liabilities And Stockholders Equity,380600000,492900000,833000000,993400000,1110300000,1195300000,1832200000,1902600000,3921700000,4236000000,4438000000,4912000000,5476300000,6260000000,7505000000,8634000000,10090000000,11620000000,13065571000,15033282000,16455028000,17431712000,19537269000,20600491000,21979000000,23714000000,26190000000,26983000000,30104000000,32812000000,33214000000,32910000000,36046000000,40526000000,45059000000,55135000000,58754000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,126117000,59266000,58614000,63358000,69317000,81857000,- -,101000000,571000000,157000000,179000000,212000000,226000000,253000000,301000000,304000000,341000000,421000000,514000000
70,Total Liabilities & Equity,380600000,492900000,833000000,993400000,1110300000,1195300000,1832200000,1902600000,3921700000,4236000000,4437000000,4912000000,5476300000,6260000000,7505000000,8634000000,10090000000,11620000000,13191688000,15092548000,16513642000,17495070000,19606586000,20682348000,21979000000,23815000000,26761000000,27140000000,30283000000,33024000000,33440000000,33163000000,36347000000,40830000000,45400000000,55556000000,59268000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909832/000091205794003945/0000912057-94-003945-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909832/000103221002001631/0001032210-02-001631-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312503085292/0001193125-03-085292-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312504195535/0001193125-04-195535-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312505223245/0001193125-05-223245-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312506238399/0001193125-06-238399-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312507225805/0001193125-07-225805-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312508211709/0001193125-08-211709-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312509208963/0001193125-09-208963-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312510230379/0001193125-10-230379-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312511271844/0001193125-11-271844-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312512428890/0001193125-12-428890-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000144530513002422/0001445305-13-002422-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983214000021/0000909832-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983215000014/0000909832-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983216000032/0000909832-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983217000014/0000909832-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/0000909832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/0000909832-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/0000909832-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/0000909832-21-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,117000000,125400000,134100000,129100000,223200000,-112400000,133800000,248800000,312200000,459800000,397300000,631437000,602089000,699983000,721000000,882393000,1063092000,1103215000,1082772000,1282725000,1086000000,1303000000,1462000000,1709000000,2039000000,2058000000,2377000000,2350000000,2679000000,3134000000,3659000000,4002000000,5007000000
