,https://roic.ai/company/NUVA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,2460000,5048000,5249000,11870000,18636000,36280000,68834000,90191000,107577000,119313000,126335000,136937000,154638000,168140000,208249000,247245000,273244000,312419000,300623000,315845000
36,Other Current Assets,- -,- -,1196000,428000,826000,1496000,1716000,1240000,3466000,3757000,8507000,74454000,36752000,48023000,69558000,49330000,41956000,39902000,30638000,27351000,24476000,26090000
37,Total Current Assets,- -,- -,12470000,18852000,71998000,44518000,154718000,146178000,301978000,317102000,371771000,591837000,513749000,536008000,705871000,702827000,575443000,558990000,618209000,764336000,1562184000,802424000
38,PP&E,- -,- -,2235000,3390000,8725000,17974000,30573000,43538000,73686000,82602000,102165000,124754000,125123000,128064000,128565000,141441000,181524000,215326000,238841000,333250000,388639000,406651000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,102882000,103070000,159349000,154106000,154944000,154443000,154281000,485685000,536926000,561366000,561064000,559553000,633467000
40,Intangible Assets,- -,- -,- -,- -,- -,8894000,8441000,24496000,57099000,103338000,107121000,108140000,101362000,93986000,96555000,85076000,291143000,280774000,252048000,201092000,152264000,242675000
41,Intangible Assets,- -,- -,- -,- -,- -,8894000,8441000,24496000,57099000,206220000,210191000,267489000,255468000,248930000,250998000,239357000,776828000,817700000,813414000,762156000,711817000,876142000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,45305000,39968000,50635000,32503000,84412000,79829000,43042000,112332000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52033000,19857000,40575000,42863000,65330000,67051000,5810000,6440000,5263000,9162000,15755000,48003000
44,Other Non-Current Assets,- -,- -,227000,129000,29000,104000,2452000,11475000,9338000,7872000,15234000,87122000,144458000,143874000,149653000,26641000,31199000,40611000,32132000,16386000,14687000,20855000
45,Total Non-Current Assets,- -,- -,2462000,3519000,8754000,26972000,41466000,79509000,185428000,336662000,430258000,531725000,650036000,643560000,637588000,586822000,995361000,1080077000,1089650000,1120954000,1130898000,1351651000
46,Other Assets,4660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4660000,- -,14932000,22371000,80752000,71490000,196184000,225687000,487406000,653764000,802029000,1123562000,1163785000,1179568000,1343459000,1289649000,1570804000,1639067000,1707859000,1885290000,2693082000,2154075000
48,Accounts Payable,- -,- -,1914000,5036000,6202000,6102000,3543000,1680000,- -,- -,6508000,11294000,9040000,14281000,13648000,6792000,9121000,4366000,8799000,11827000,17386000,16192000
49,Short-Term Debt,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,74311000,- -,- -,- -,61701000,- -,- -,5567000,653178000,9867000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8506000,8498000,7592000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,3305000,6041000,3135000,5587000,14939000,26310000,45487000,54747000,102468000,196086000,80924000,102871000,201251000,92825000,171675000,156302000,170661000,189523000,165798000,174832000
53,Total Current Liabilities,- -,- -,5219000,11077000,9342000,11689000,18482000,27990000,45487000,54747000,108976000,207380000,164275000,117152000,214899000,99617000,242497000,160668000,179460000,206917000,836362000,200891000
54,Long-Term Debt,- -,- -,- -,1202000,- -,- -,- -,- -,230000000,230000000,230000000,394019000,332404000,346060000,360746000,376542000,564412000,582920000,602526000,696451000,877860000,996576000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3685000,3952000,3129000,2934000,3879000,8602000,18607000,18786000,4964000,14655000,2807000,3049000
57,Other Non-Current Liabilities,- -,- -,329000,22000,13000,1665000,1399000,1119000,24288000,59166000,13136000,13461000,126402000,108544000,115577000,102686000,44764000,77539000,86384000,52060000,57135000,158352000
58,Total Non-Current Liabilities,- -,- -,329000,1224000,13000,1665000,1399000,1119000,254288000,289166000,246821000,411432000,461935000,457538000,480202000,487830000,627783000,679245000,693874000,763166000,937802000,1157977000
59,Other Liabilities,5380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,329000,22000,13000,- -,- -,- -,- -,- -,- -,- -,426000,223000,- -,- -,- -,- -,- -,78720000,119509000,121459000
61,Total Liabilities,5380000,- -,5548000,12301000,9355000,13354000,19881000,29109000,299775000,343913000,355797000,618812000,626210000,574690000,695101000,587447000,870280000,839913000,873334000,970083000,1774164000,1358868000
62,Preferred Stock,- -,- -,28000,32000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,4000,24000,25000,34000,35000,36000,39000,40000,42000,44000,45000,48000,53000,55000,60000,61000,62000,62000,63000
64,Retained Earnings,- -,- -,-54129000,-64256000,-78466000,-108805000,-156715000,-167980000,-195508000,-189700000,-111415000,-181264000,-178120000,-170218000,-186938000,-120647000,-66859000,4500000,17241000,82475000,45322000,45708000
65,Other Comprehensive Income/Loss,- -,- -,-2156000,-3759000,-5458000,-9537000,-15614000,-24940000,-39343000,-56386000,1000000,-102503000,1000000,-3000000,-10000000,-12000000,-11000000,-7000000,-9000000,-9418000,-7585000,-7792000
66,Other Total Stockholders Equity,- -,- -,65637000,78049000,155297000,176453000,348598000,389463000,422446000,542269000,544730000,777770000,714651000,768965000,836938000,827487000,772740000,797749000,826223000,842088000,881119000,757228000
67,Total Stockholders Equity,-720000,- -,9384000,10070000,71397000,58136000,176303000,196578000,187631000,296222000,434355000,494045000,537575000,595792000,640048000,694893000,694936000,795309000,834525000,915207000,918918000,795207000
68,Total Liabilities And Stockholders Equity,4660000,- -,14932000,22371000,80752000,71490000,196184000,225687000,487406000,640135000,790152000,1112857000,1163785000,1170482000,1335149000,1282340000,1565216000,1635222000,1707859000,1885290000,2693082000,2154075000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,13629000,11877000,10705000,- -,9086000,8310000,7309000,5588000,3845000,- -,- -,- -,- -
70,Total Liabilities & Equity,4660000,- -,14932000,22371000,80752000,71490000,196184000,225687000,487406000,653764000,802029000,1123562000,1163785000,1179568000,1343459000,1289649000,1570804000,1639067000,1707859000,1885290000,2693082000,2154075000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1142596/000110465905014275/0001104659-05-014275-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639206000208/0000936392-06-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639207000200/0000936392-07-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639208000158/0000936392-08-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639209000102/0000936392-09-000102-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000095012310018108/0000950123-10-018108-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000095012311018857/0000950123-11-018857-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000119312512078937/0001193125-12-078937-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000144530513000348/0001445305-13-000348-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000114259614000004/0001142596-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000156459015000913/nuva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1142596/000156459016012671/0001564590-16-012671-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459017001330/0001564590-17-001330-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459018003264/0001564590-18-003264-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459019003470/0001564590-19-003470-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459020005596/0001564590-20-005596-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459021008934/0001564590-21-008934-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000156459022006269/0001564590-22-006269-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-15110000,-10127000,-14210000,-30339000,-47910000,-11265000,-27528000,5808000,78285000,-69849000,3144000,7902000,-16720000,66291000,37147000,83006000,12479000,65234000,-37153000,-64086000
74,Depreciation and Amortization,- -,- -,1432000,1796000,2307000,4359000,8350000,12952000,23105000,29841000,36737000,36242000,51909000,63106000,65837000,65915000,102713000,121176000,129765000,135593000,140937000,149524000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53664000,-30967000,4525000,-11341000,-23231000,34757000,26265000,-12384000,-11396000,5844000,-18007000,-4141000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,20947000,23793000,28225000,32070000,26312000,33240000,33687000,26203000,26924000,22391000,25673000,30297000,18145000,25292000
77,Change in Working Capital,- -,- -,-1898000,524000,54881000,-29827000,103407000,-18048000,138303000,5864000,440000,121662000,-34983000,69382000,72116000,112238000,-270264000,65376000,40427000,-51765000,-51355000,-49299000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-25152000,-8582000,-16411000,-9929000,-2005000,-17384000,-18465000,-9463000,-33250000,-29389000,4562000,-16407000,3030000,-11694000
79,Inventory,- -,- -,-529000,-2927000,-1494000,-6864000,-8878000,-18339000,-32451000,-23133000,-18664000,-17170000,-11022000,-21002000,-21343000,-25984000,-22636000,-35300000,-38646000,-54872000,-40765000,-37020000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2938000,21803000,22318000,7742000,11854000,-5580000,20518000,-3253000,8756000,533000
81,Other Working Capital,- -,- -,7251000,7775000,62656000,32829000,136236000,118188000,256491000,262355000,262795000,384457000,349474000,418856000,490972000,603210000,332946000,398322000,438749000,3804000,6264000,-1884000
82,Other Non-Cash Items,- -,- -,1578000,185000,-51543000,35952000,-89452000,15474000,-159829000,-18887000,-24196000,-26193000,79175000,-64850000,-16141000,-216677000,233510000,-100586000,22235000,50087000,133344000,124884000
83,Cash Provided by Operating Activities,- -,- -,-13998000,-7622000,-8565000,-19855000,-25605000,-887000,-5002000,46419000,65827000,62965000,130082000,97439000,115548000,88727000,156295000,178979000,219183000,235290000,185911000,182174000
84,CAPEX,- -,- -,-1259000,-2841000,-6139000,-12675000,-20396000,-24403000,-39795000,-32878000,-45846000,-53370000,-41189000,-47597000,-58424000,-107792000,-94290000,-112491000,-109603000,-130384000,-109589000,-112456000
85,Acquisitions Net,- -,- -,- -,- -,- -,-9000000,- -,-7000000,-41000000,-46000000,-1000000,-38000000,-11000000,-3000000,-1000000,-1000000,-489000000,-62000000,-55000000,-4100000,- -,-195813000
86,Purchases of Investments,- -,- -,- -,-4017000,-108342000,-44918000,-132506000,-98675000,-159186000,-157278000,-203415000,-257746000,-349200000,-218454000,-220958000,-490570000,-128956000,- -,- -,- -,-233488000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,61723000,88566000,63525000,146818000,95926000,108308000,204439000,151966000,253583000,216299000,174816000,592165000,407032000,- -,3584000,- -,61143000,173023000
88,Other Investing Activites,- -,- -,-704000,-48000,70000,125000,-452000,-2453000,-560000,-55000,27000,-4574000,-88000,-11818000,741000,-32337000,-5589000,-2640000,-7948000,-7501000,-3860000,-2163000
89,Cash Used for Investing Activites,- -,- -,-1963000,-6906000,-52688000,22098000,-89829000,14287000,-144615000,-127903000,-45795000,-201724000,-147894000,-64570000,-104825000,-7514000,-304885000,-174861000,-161285000,-134484000,-281934000,-136065000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-46058000,- -,- -,-236061000,- -,-74311000,- -,- -,-489519000,-123317000,-100000000,- -,- -,-649426000
91,Common Stock Issued,- -,- -,14827000,9972000,- -,1760000,144665000,7339000,11850000,12556000,14831000,6852000,4884000,8422000,23354000,12106000,9492000,9991000,8127000,6415000,6170000,6218000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3782000,-56929000,-24734000,-11860000,-2928000,-14478000,-80665000,-8813000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1618000,3281000,64182000,-18000,-300000,-300000,254228000,1902000,-7749000,439088000,-27440000,13407000,10705000,14479000,615584000,38158000,80223000,1419000,811151000,-1328000
95,Cash Used/Provided by Financing Activities,- -,- -,13209000,13253000,64182000,1742000,144365000,7039000,220020000,14458000,7082000,209879000,-22556000,-52482000,30277000,-30344000,110823000,-87028000,-14578000,-6644000,736656000,-653349000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000,70000,-225000,175000,-861000,-1438000,-917000,-929000,2070000,-1283000,131000,3202000,-3538000
97,Net Change In Cash,- -,- -,-2752000,-1275000,2929000,3985000,28931000,20439000,70403000,-66905000,27184000,70895000,-40193000,-20474000,39562000,49952000,-38696000,-80840000,42037000,94293000,643835000,-610778000
98,Cash at the End of Period,- -,- -,6906000,5631000,8560000,12545000,41476000,61915000,132318000,65413000,92597000,163492000,123299000,102825000,142387000,192339000,153643000,72803000,120235000,214528000,858363000,247585000
99,Cash at the Beginning of Period,- -,- -,9658000,6906000,5631000,8560000,12545000,41476000,61915000,132318000,65413000,92597000,163492000,123299000,102825000,142387000,192339000,153643000,78198000,120235000,214528000,858363000
100,Free Cash Flow,- -,- -,-15257000,-10463000,-14704000,-32530000,-46001000,-25290000,-44797000,13541000,19981000,9595000,88893000,49842000,57124000,-19065000,62005000,66488000,109580000,104906000,76322000,69718000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1142596/000110465905014275/0001104659-05-014275-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639206000208/0000936392-06-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639207000200/0000936392-07-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639208000158/0000936392-08-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000093639209000102/0000936392-09-000102-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000095012310018108/0000950123-10-018108-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000095012311018857/0000950123-11-018857-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000119312512078937/0001193125-12-078937-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000144530513000348/0001445305-13-000348-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000114259614000004/0001142596-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000156459015000913/nuva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1142596/000156459016012671/0001564590-16-012671-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459017001330/0001564590-17-001330-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459018003264/0001564590-18-003264-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459019003470/0001564590-19-003470-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459020005596/0001564590-20-005596-index.html,https://www.sec.gov/Archives/edgar/data/1142596/000156459021008934/0001564590-21-008934-index.htm,https://www.sec.gov/Archives/edgar/data/1142596/000156459022006269/0001564590-22-006269-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
