,https://roic.ai/company/AGM,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805966000,376924000,833503000,1716075000,1322598000,2153778000,3084547000,3315936000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8771633000,9233594000,10021191000,10880696000,11442054000,12702158000,15074537000,15826108000,- -,- -,- -
46,Other Assets,514300000,525300000,477200000,512500000,602800000,1348100000,1935300000,2590400000,3160899000,3417208000,4222915000,4299650000,3846817000,4340619000,4953673000,4977613000,5107307000,6138813000,9479914000,- -,- -,- -,- -,- -,- -,- -,- -,21104993000,23321560000,25145491000
47,Total Assets,514300000,525300000,477200000,512500000,602800000,1348100000,1935300000,2590400000,3160899000,3417208000,4222915000,4299650000,3846817000,4340619000,4953673000,4977613000,5107307000,6138813000,9479914000,11883508000,12622201000,13361780000,14287821000,15540354000,15606020000,17792274000,18694328000,21709374000,24355501000,25145491000
48,Accounts Payable,- -,- -,7500000,8400000,7200000,9800000,7100000,18500000,20852000,26358000,29756000,26342000,25511000,29250000,36125000,50004000,40470000,39562000,57131000,60854000,65489000,63758000,129607000,76710000,59115000,89498000,108634000,129040000,121617000,163419000
49,Short-Term Debt,- -,- -,168300000,207400000,261100000,856000000,1473700000,1722100000,2201691000,2233267000,2895746000,2799384000,2620172000,2587704000,3298097000,3829698000,3757099000,3662898000,4509419000,6087879000,6567366000,7338781000,7353953000,9111461000,8440123000,8089826000,7757050000,10019082000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1200000,-258300000,4200000,8200000,12400000,38457000,55375000,128498000,124274000,102317000,71046000,- -,129298000,262431000,186540000,418450000,616267000,436145000,363461000,363060000,118094000,97676000,67069000,60483000,65906000,21756179000,- -
53,Total Current Liabilities,- -,- -,175800000,217000000,10000000,870000000,1489000000,1753000000,2261000000,2315000000,3054000000,2950000000,2748000000,2688000000,3334222000,4009000000,4060000000,3889000000,4985000000,6765000000,7069000000,7766000000,7846620000,9306265000,8596914000,8246393000,7926167000,10214028000,21877796000,- -
54,Long-Term Debt,490500000,502500000,288200000,284100000,285200000,402800000,365500000,750300000,767492000,968463000,985318000,1136110000,862201000,1403598000,1296691000,744649000,887999000,1957239000,4288375000,4806465000,5202360000,5262929000,5895400000,5680572000,6365681000,8837735000,10015604000,10696070000,23172703000,23697535000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,260800000,200000,-500000,-300000,-492000,-463000,-318000,-110000,-201000,3402000,- -,351000,1000,-48239000,-30375000,-715000,-360000,71000,- -,- -,- -,- -,- -,- -,-43697834000,- -
58,Total Non-Current Liabilities,490500000,502500000,288200000,284000000,546000000,403000000,365000000,750000000,767000000,968000000,985000000,1136000000,862000000,1407000000,1296691000,745000000,888000000,1909000000,4258000000,4806000000,5202000000,5263000000,5895400000,5680572000,6365681000,8837735000,10015604000,10696070000,-20525131000,23697535000
59,Other Liabilities,990600000,1014200000,577400000,- -,- -,- -,730400000,1500300000,1534238000,- -,1970344000,2272396000,- -,- -,2667653000,1490020000,1919959000,3962622000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19039903000,47638613000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,500100000,511700000,465000000,500800000,555600000,1273000000,1854400000,2503300000,3028238000,3282771000,4039344000,4086396000,3609965000,4092487000,4705184000,4754020000,5091959000,5942622000,9001037000,11328975000,12029239000,12787311000,13505992000,14986634000,14962373000,17084128000,17941771000,20910098000,23363024000,23941078000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,35000000,35000000,35000000,35000000,35000000,9200000,57578000,57578000,57578000,57578000,58333000,204759000,204759000,204759000,204759000,204759000,228374000,363204000,484531000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,10900000,11152000,11564000,11638000,12054000,11822000,11091000,10607000,9895000,10132000,10142000,10284000,10357000,10702000,10886000,10937000,10687000,10539000,10619000,10669000,10712000,10737000,10766000
64,Retained Earnings,-7400000,-8100000,-9500000,-10100000,-9300000,-5900000,-100000,6800000,17238000,33518000,54813000,79843000,103135000,115644000,112577000,94357000,-52144000,28127000,50837000,62554000,102243000,168877000,201013000,231228000,275714000,322704000,393351000,457047000,509560000,579270000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407000,-2295000,-882000,3339000,4956000,-2793000,-47412000,3254000,18275000,79370000,73969000,-16202000,15533000,-11019000,33758000,51085000,24956000,-16161000,-13923000,3853000
66,Other Total Stockholders Equity,21600000,21700000,21700000,21800000,56500000,81000000,81000000,69400000,104271000,89355000,82527000,88652000,87777000,83058000,85349000,87134000,95572000,97090000,100050000,102821000,106617000,110722000,113559000,117862000,118655000,118979000,118822000,119304000,122899000,125993000
67,Total Stockholders Equity,14200000,13600000,12200000,11700000,47200000,75100000,80900000,87100000,132661000,134437000,183571000,213254000,236852000,248132000,248489000,223593000,15348000,196191000,237024000,312680000,351109000,332616000,545801000,553517000,643425000,708146000,752557000,799276000,992477000,1204413000
68,Total Liabilities And Stockholders Equity,514300000,525300000,477200000,512500000,602800000,1348100000,1935300000,2590400000,3160899000,3417208000,4222915000,4299650000,3846817000,4340619000,4953673000,4977613000,5107307000,6138813000,9238061000,11641655000,12380348000,13119927000,14051793000,15540151000,15605798000,17792274000,18694328000,21709374000,24355501000,25145491000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241853000,241853000,241853000,241853000,236028000,203000,222000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,514300000,525300000,477200000,512500000,602800000,1348100000,1935300000,2590400000,3160899000,3417208000,4222915000,4299650000,3846817000,4340619000,4953673000,4977613000,5107307000,6138813000,9479914000,11883508000,12622201000,13361780000,14287821000,15540354000,15606020000,17792274000,18694328000,21709374000,24355501000,25145491000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845877/000084587796000018/0000845877-96-000018-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/845877/000084587799000005/0000845877-99-000005-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845877/000084587705000047/0000845877-05-000047-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/845877/000114036108006973/form10k.htm,https://www.sec.gov/Archives/edgar/data/845877/000114036109007183/0001140361-09-007183-index.html,https://www.sec.gov/Archives/edgar/data/845877/000114420410013869/0001144204-10-013869-index.html,https://www.sec.gov/Archives/edgar/data/845877/000114420411015332/v214516_10k.htm,https://www.sec.gov/Archives/edgar/data/845877/000084587712000009/0000845877-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587713000055/0000845877-13-000055-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587714000026/a10-k2013.htm,https://www.sec.gov/Archives/edgar/data/845877/000084587715000035/a2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/845877/000084587716000187/0000845877-16-000187-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587717000018/0000845877-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587718000017/0000845877-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587719000018/0000845877-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587720000029/0000845877-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/845877/000084587721000024/0000845877-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/845877/000084587722000022/0000845877-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1300000,-700000,-1300000,-600000,800000,4600000,5700000,6900000,10437000,16280000,22751000,27270000,30468000,29507000,32013000,6661000,-150363000,99600000,31993000,16663000,46773000,75328000,48090000,68700000,77334000,84482000,108080000,109546000,108648000,132260000
74,Depreciation and Amortization,4800000,11800000,8600000,14500000,14300000,49900000,71800000,92200000,127922000,81707000,48713000,35606000,34457000,69626000,127475000,128748000,79404000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10399000,8343000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2959000,-221000,2371000,1816000,2171000,-17090000,-40378000,35615000,-524000,-18939000,-1982000,6670000,-6979000,3992000,4103000,3221000,2625000,789000,-2406000,-1960000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2694000,2774000,2929000,2428000,2967000,2859000,3269000,3343000,2702000,2517000,2258000,4128000,4311000
77,Change in Working Capital,-6600000,- -,- -,-217000000,207000000,-860000000,-619000000,-264000000,-508000000,-54000000,-739000000,104000000,202000000,60000000,5921000,-601000000,-51000000,171000000,-1096000000,1331875000,-27268000,-745018000,-14084000,-768470000,-485087000,164396000,470709000,-4551700000,-11234208000,35668000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3467000,-5950000,4775000,-6553000,-8604000,-32374000,-26054000,-19139000,11218000,6911000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17569000,3723000,-9075000,1993000,-5417000,-734000,2079000,25702000,21341000,10216000,-14221000,-8746000
81,Other Working Capital,- -,- -,- -,-217000000,-10000000,-870000000,-1489000000,-1753000000,-2261000000,-2315000000,-3054000000,-2950000000,-2748000000,-2688000000,- -,-4009000000,-4060000000,-3889000000,-4985000000,-3653125000,-3680393000,-4425411000,-4439495000,-5207965000,-5693052000,-5528656000,-5057947000,-9609647000,-20843855000,- -
82,Other Non-Cash Items,- -,1100000,100000,212300000,-217500000,822300000,613500000,250200000,503919000,45297000,713574000,-98047000,-181681000,-167923000,-51497000,590365000,143314000,-277799000,577554000,-1305708000,13352000,974043000,125166000,876864000,608895000,-79790000,-383900000,4429807000,11020948000,266133000
83,Cash Provided by Operating Activities,-3100000,12200000,7400000,9200000,4600000,16800000,72000000,85300000,134278000,89284000,43079000,68608000,87615000,-6974000,116083000,107684000,-19023000,31110000,-484203000,26820000,33303000,313990000,155052000,184355000,208588000,175011000,200031000,-19699000,-94547000,436412000
84,CAPEX,-100000,- -,- -,- -,- -,-100000,- -,- -,- -,-71000,-161000,-126000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-551700000,-252800000,-642000000,-78900000,-51600000,-638500000,-900400000,-1489700000,-719854000,-854316000,-379729000,-1258160000,-824449000,-2453324000,-4224802000,-4501547000,-1943713000,-2373825000,-3086843000,-3904398000,-3357409000,-3338476000,-3100930000,-3584480000,-4333403000,-3938217000,-4692224000,-4857480000,-4927359000,-6387041000
87,Sales/Maturities of Investments,116400000,229300000,684700000,33500000,31600000,68400000,678200000,1050200000,700005000,790024000,642686000,1082980000,872929000,1933181000,4010035000,3798053000,2089046000,1775013000,1198230000,1368847000,2318500000,2992740000,3427679000,2876895000,4355833000,2919394000,4438280000,3949885000,4644906000,6138425000
88,Other Investing Activites,- -,-100000,-100000,-54000000,-2500000,-26200000,-100000,-395900000,-285158000,-276695000,-684692000,-18267000,164715000,132962000,68291000,-2374000,-58279000,1357000,197754000,530737000,-289901000,-649357000,-410411000,-542948000,-615839000,-829452000,-345266000,-1476992000,-1453638000,-847580000
89,Cash Used for Investing Activites,-435300000,-23600000,42600000,-99400000,-22500000,-596300000,-222300000,-835400000,-305007000,-340987000,-421735000,-193447000,213195000,-387181000,-146476000,-705868000,87054000,-597455000,-1690859000,-2004814000,-1328810000,-995093000,-83662000,-1250533000,-593409000,-1848275000,-599210000,-2384587000,-1736091000,-1096196000
90,Debt Repayment,-105000000,-154400000,-826400000,-2829100000,-1989000000,-20779400000,-42143400000,-74065800000,-64129523000,-105888314000,-58640867000,-73359301000,-59692860000,50532537000,-90561381000,-121438212000,-129060148000,-57402917000,-67349532000,-68973877000,-69474201000,-67075245000,-41495741000,-100314620000,-102084198000,-58840956000,-48856691000,-72230941000,-79880064000,-71809708000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,172000,22000,2935000,1913000,244000,1689000,553000,238000,7000,44000,56000,117000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144216000,- -,- -,-57578000,- -,-254320000,-9286000,- -,- -,-75000000,-60235000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1456000,-2240000,-3423000,-6760000,-6574000,-6359000,-7732000,-19329000,-26822000,-4946000,-7084000,-7979000,-13996000,-20182000,-24067000,-28439000,-37905000,-43894000,-50649000,-61315000
94,Other Financing Activites,544500000,165100000,775400000,2854500000,2067500000,21467600000,42656600000,74611600000,64501841000,106039977000,59306948000,73386254000,59202303000,-50103274000,91017210000,121266486000,129176816000,58364931000,69770586000,71043921000,70742375000,67783741000,42052177000,101500308000,101556964000,60579214000,49417002000,74933202000,82251090000,72405534000
95,Cash Used/Provided by Financing Activities,439500000,10700000,-51000000,25400000,78500000,688200000,513200000,545800000,372318000,151663000,664625000,24713000,-493980000,422503000,449255000,-178085000,108936000,942727000,2250188000,2065120000,1264025000,644852000,542684000,912875000,-560034000,1710057000,522413000,2583411000,2260198000,534628000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,439500000,10700000,-51000000,-64800000,60600000,108700000,363000000,-204300000,201589000,-100040000,285969000,-100126000,-193170000,28348000,418862000,-776269000,176967000,376382000,75126000,87126000,-31482000,-36251000,614074000,-153303000,-944855000,36793000,123234000,179125000,429560000,-125156000
98,Cash at the End of Period,- -,- -,- -,8300000,68900000,177600000,540600000,336300000,537871000,437831000,723800000,623674000,430504000,458852000,877714000,101445000,278412000,654794000,729920000,817046000,785564000,749313000,1363387000,1210084000,265229000,302022000,425256000,604381000,1033941000,908785000
