,https://roic.ai/company/EXR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.2158,-0.3024,-0.5055,-0.2799,-0.0369,0.0754,0.1511,0.1716,0.1140,0.0935,0.1530,0.2865,0.3305,0.2756,0.2422,0.3691,0.4335,0.3471,0.3210,0.3552,0.5247
25,EPS,-0.82,-3.84,-4.08,-1.68,-0.14,0.27,0.53,0.61,0.37,0.30,0.55,1.15,1.54,1.54,1.58,2.92,3.79,3.29,3.27,3.71,6.20
26,EPS Diluted,-0.82,-3.84,-4.08,-1.68,-0.14,0.27,0.53,0.61,0.37,0.30,0.54,1.14,1.53,1.53,1.56,2.91,3.76,3.27,3.24,3.71,6.19
27,Weighted Average Shares Outstanding,6035042,3665743,4491902,15282725,35481538,54998935,64688741,76557550,86343029,87324104,92097008,102290200,111349361,115713807,119816743,125087554,125967831,126087487,128203568,129541531,133374938
28,Weighted Average Shares Outstanding Diluted,6035042,3665743,4491902,15282725,35481538,59291749,70503668,81913784,91082834,92050453,96683508,106523015,111689409,121435267,126918869,125948076,134155771,133159033,136433769,129584829,140016028
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289490/000119312505051025/d10k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746906003235/a2168325z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000110465907014990/a07-6564_110k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746908001991/a2182948z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746909001926/0001047469-09-001926-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746910001564/0001047469-10-001564-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746911001398/a2202138z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746912001880/0001047469-12-001880-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746913001942/0001047469-13-001942-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746914001686/a2218605z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000119312515073584/d851024d10k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000119312516485633/0001193125-16-485633-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828017001815/0001628280-17-001815-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828018002649/0001628280-18-002649-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828019001968/0001628280-19-001968-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828020002202/0001628280-20-002202-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828021003458/0001628280-21-003458-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828022004274/0001628280-22-004274-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,11746000,24329000,28653000,70801000,17377000,63972000,131950000,46750000,26484000,30785000,126723000,47663000,75799000,43858000,55683000,57496000,65746000,109124000,71126000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,21812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,11746000,24329000,28653000,70801000,39189000,63972000,131950000,46750000,26484000,30785000,126723000,47663000,75799000,43858000,55683000,57496000,65746000,109124000,71126000
34,Net Receivables,- -,- -,2066000,- -,23683000,15880000,7386000,11335000,5114000,10061000,18517000,34568000,41412000,53385000,137660000,16611000,2847000,- -,- -,293810000,419187000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,81254000,90184000,30498000,25768000,24910000,29806000,34136000,42201000,13884000,30361000,15194000,4987000,18885000,5068000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,156561000,227248000,87309000,70769000,90263000,197941000,135184000,255660000,74353000,88891000,72690000,70733000,421819000,495381000
38,PP&E,- -,- -,354374000,696899000,1212678000,1417391000,1841322000,1997656000,2049859000,- -,2263795000,4867000,8969000,9730000,10938000,- -,- -,- -,264643000,252172000,227949000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63445000,80969000,88120000,106940000,123971000,126818000,132000000,134932000,137138000,147020000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63445000,80969000,88120000,106940000,123971000,126818000,132000000,134932000,137138000,147020000
42,Investments,- -,- -,8438000,8683000,90898000,88115000,95169000,2134447000,2180308000,2112962000,130410000,109903000,91715000,89301000,106597000,79570000,70091000,125326000,338054000,697444000,757326000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3505000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,-1997656000,-2049859000,48197000,51276000,2951494000,3597546000,4079772000,5591272000,6813552000,7169337000,7517962000,7724015000,7887275000,8846801000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2134447000,2180308000,2161159000,2445481000,3133214000,3779199000,4266923000,5815747000,7017093000,7366246000,7775288000,8461644000,8974029000,9979096000
46,Other Assets,- -,332290000,383751000,748484000,1420192000,1669825000,2054075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,332290000,383751000,748484000,1420192000,1669825000,2054075000,2291008000,2407556000,2248468000,2516250000,3223477000,3977140000,4402107000,6071407000,7091446000,7455137000,7847978000,8532377000,9395848000,10474477000
48,Accounts Payable,- -,- -,2318000,- -,- -,- -,- -,- -,- -,- -,- -,52299000,60601000,65521000,82693000,101388000,96087000,101461000,111382000,130012000,142285000
49,Short-Term Debt,- -,- -,273808000,39000000,- -,- -,- -,1090188000,1319183000,- -,215000000,85000000,- -,138000000,36000000,365000000,94000000,81000000,158000000,949000000,535000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,671000,672000,2223000,1695000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,-7100000,73300000,78100000,114400000,-1032793000,-1260823000,34210000,45079000,- -,671000,672000,2223000,1695000,- -,45197000,45264000,47126000,63582000
53,Total Current Liabilities,- -,- -,276126000,31900000,73300000,78100000,114400000,57395000,58360000,34210000,260079000,137299000,61272000,204193000,120916000,468083000,190087000,227658000,314646000,1126138000,740867000
54,Long-Term Debt,- -,- -,273808000,472977000,866783000,948174000,1319771000,1299851000,1402977000,1246918000,1144254000,1492599000,1946647000,2231884000,3499621000,3941223000,4460217000,4730515000,4888486000,5060788000,5656103000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20752000,24037000,28485000,35904000,43923000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3481000,5367000,10728000,9838000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,23000,17000,26000,29000,- -,- -,28269000,38156000,27496000,9808000,20195000,31634000,32213000,81026000,104383000,407551000,272798000,291531000
58,Total Non-Current Liabilities,- -,- -,273808000,473000000,866800000,948200000,1319800000,1299851000,1402977000,1275187000,1182410000,1540847000,1983973000,2285931000,3577887000,4027197000,4541243000,4834898000,5296037000,5333586000,5947634000
59,Other Liabilities,- -,282509000,267671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3826000,2076000,713000,- -,- -,- -,- -,274783000,263485000,233356000
61,Total Liabilities,- -,282509000,267671000,483424000,903829000,991112000,1369172000,1357246000,1461337000,1309397000,1442489000,1678146000,2045245000,2490124000,3698803000,4495280000,4731330000,5062556000,5610683000,6459724000,6688501000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,5226000,312000,518000,642000,658000,858000,867000,876000,948000,1107000,1157000,1163000,1241000,1259000,1260000,1271000,1295000,1314000,1339000
64,Retained Earnings,- -,- -,-54111000,-104588000,-144139000,-179268000,-205348000,-237580000,-253875000,-262508000,-264086000,-235064000,-226002000,-257738000,-337566000,-339257000,-253284000,-262902000,-301049000,-354900000,-128245000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1000000,- -,-1056000,-5787000,-7936000,-14273000,10156000,-1484000,-6352000,16770000,33290000,34650000,-28966000,-99093000,-42546000
66,Other Total Stockholders Equity,- -,49781000,43781000,347883000,623749000,822181000,825611000,1109185000,1138243000,1148820000,1290021000,1740037000,1973159000,1995484000,2431754000,2566120000,2569485000,2640705000,2868681000,3000458000,3285948000
67,Total Stockholders Equity,- -,27516000,-5104000,243607000,480128000,643555000,619921000,872463000,884179000,881401000,1018947000,1491807000,1758470000,1737425000,2089077000,2244892000,2350751000,2413724000,2539961000,2547779000,3116496000
68,Total Liabilities And Stockholders Equity,- -,310025000,262567000,727031000,1383957000,1634667000,1989093000,2229709000,2345516000,2190798000,2461436000,3169953000,3803715000,4227549000,5787880000,6740172000,7082081000,7476280000,8150644000,9007503000,9804997000
69,Minority Interest,- -,22265000,121184000,21453000,36235000,35158000,64982000,61299000,62040000,57670000,54814000,53524000,173425000,174558000,283527000,351274000,373056000,371698000,381733000,388345000,669480000
70,Total Liabilities & Equity,- -,332290000,383751000,748484000,1420192000,1669825000,2054075000,2291008000,2407556000,2248468000,2516250000,3223477000,3977140000,4402107000,6071407000,7091446000,7455137000,7847978000,8532377000,9395848000,10474477000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1289490/000119312505051025/d10k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746906003235/a2168325z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000110465907014990/a07-6564_110k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746908001991/a2182948z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746909001926/0001047469-09-001926-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746910001564/0001047469-10-001564-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746911001398/a2202138z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746912001880/0001047469-12-001880-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746913001942/0001047469-13-001942-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746914001686/a2218605z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000119312515073584/d851024d10k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000119312516485633/0001193125-16-485633-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828017001815/0001628280-17-001815-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828018002649/0001628280-18-002649-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828019001968/0001628280-19-001968-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828020002202/0001628280-20-002202-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828021003458/0001628280-21-003458-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828022004274/0001628280-22-004274-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4924000,-9542000,-18330000,-18462000,-4966000,14876000,36094000,46888000,31977000,26331000,50449000,117309000,172076000,178355000,189474000,366127000,479013000,415289000,419967000,481779000,827649000
74,Depreciation and Amortization,3105000,5652000,6805000,15552000,31005000,37172000,39801000,49566000,52403000,50349000,58014000,74453000,95232000,115076000,133457000,182560000,193296000,209050000,219857000,224444000,241879000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3500000,3809000,4580000,5757000,4356000,4819000,4984000,6055000,8045000,9561000,11176000,13051000,16281000,17303000
77,Change in Working Capital,- -,- -,- -,-31900000,-41400000,-4800000,-36300000,213566000,69722000,-115789000,-242409000,142274000,183705000,-205678000,203753000,-528474000,292534000,-53772000,-88945000,-460406000,-22434000
78,Accounts Receivable,- -,- -,1995000,-1243000,-19820000,10832000,10494000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-3212000,-3775000,2029000,3371000,3157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-31900000,-73300000,-78100000,-114400000,99166000,168888000,53099000,-189310000,-47036000,136669000,-69009000,134744000,-393730000,-101196000,-154968000,-243913000,-704319000,- -
82,Other Non-Cash Items,-2641000,5503000,6183000,28652000,30132000,27272000,61737000,-216856000,-76746000,139344000,272353000,-122513000,-184573000,244844000,-165410000,511005000,-377029000,96052000,143756000,509134000,-111961000
83,Cash Provided by Operating Activities,-4460000,1613000,-5342000,-6158000,14771000,74520000,101332000,96664000,81165000,104815000,144164000,215879000,271259000,337581000,367329000,539263000,597375000,677795000,707686000,771232000,952436000
84,CAPEX,- -,- -,-177808000,-247292000,-101705000,-210781000,-230397000,-2342000,-1148000,-107595000,-199975000,-3367000,-6524000,-4830000,-7380000,-4968000,-7819000,-4297000,-7764000,-7093000,-3659000
85,Acquisitions Net,- -,- -,- -,-245717000,-530972000,-174305000,-183690000,- -,- -,- -,- -,998000,-1516000,- -,-1159207000,-11288000,-17363000,-16370000,-193777000,-64421000,-23068000
86,Purchases of Investments,- -,- -,-647000,-6401000,-4505000,-31536000,-10838000,-241698000,-108732000,-9699000,-4088000,- -,- -,- -,- -,- -,- -,- -,- -,-300000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,25938000,1811000,- -,25067000,5967000,8802000,4614000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-11383000,-69249000,6320000,238112000,-3590000,175033000,171346000,-3781000,-497000,-11276000,-52470000,-604569000,-358936000,-560118000,-459077000,-1015779000,-344374000,-423231000,-420089000,-583913000,-810813000
89,Cash Used for Investing Activites,-11383000,-69249000,-57757000,-261298000,-614834000,-239778000,-253579000,-222754000,-104410000,-83706000,-251919000,-606938000,-366976000,-564948000,-1625664000,-1032035000,-369556000,-443898000,-621630000,-955427000,-837540000
90,Debt Repayment,- -,- -,-61613000,-325917000,-1240191000,-98866000,-32164000,-58296000,-308965000,-256560000,-452347000,-1009494000,-664372000,-533128000,-1540782000,-1144637000,-1108595000,-1278786000,-2008733000,-2589730000,-5500290000
91,Common Stock Issued,- -,- -,- -,283604000,271537000,194474000,1721000,276601000,- -,- -,112349000,429588000,205988000,- -,446877000,123424000,- -,90231000,198827000,103468000,273189000
92,Common Stock Repurchased,- -,- -,- -,-19129000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67873000,- -
93,Dividends Paid,- -,- -,- -,-10560000,-34585000,-50005000,-60664000,-79120000,-32800000,-42443000,-52027000,-88287000,-163014000,-210091000,-269302000,-367818000,-393040000,-424907000,-458114000,-467765000,-600994000
94,Other Financing Activites,21441000,66863000,129997000,352041000,1607626000,161803000,189930000,33500000,432988000,192694000,479514000,1063553000,813053000,891526000,2649678000,1849862000,1285641000,1366211000,2180007000,3263371000,5661384000
95,Cash Used/Provided by Financing Activities,21441000,66863000,68384000,280039000,604387000,207406000,98823000,172685000,91223000,-106309000,87489000,395360000,191655000,148307000,1286471000,460831000,-215994000,-247251000,-88013000,241471000,-166711000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,21441000,66863000,5285000,12583000,4324000,42148000,-53424000,46595000,67978000,-85200000,-20266000,4301000,95938000,-79060000,28136000,-31941000,11825000,-13354000,-1957000,57276000,-51815000
98,Cash at the End of Period,- -,- -,11746000,24329000,28653000,70801000,17377000,63972000,131950000,46750000,26484000,30785000,126723000,47663000,75799000,43858000,55683000,72690000,70733000,128009000,76194000
99,Cash at the Beginning of Period,- -,- -,6461000,11746000,24329000,28653000,70801000,17377000,63972000,131950000,46750000,26484000,30785000,126723000,47663000,75799000,43858000,86044000,72690000,70733000,128009000
100,Free Cash Flow,-4460000,1613000,-183150000,-253450000,-86934000,-136261000,-129065000,94322000,80017000,-2780000,-55811000,212512000,264735000,332751000,359949000,534295000,589556000,673498000,699922000,764139000,948777000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289490/000119312505051025/d10k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746906003235/a2168325z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000110465907014990/a07-6564_110k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746908001991/a2182948z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746909001926/0001047469-09-001926-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746910001564/0001047469-10-001564-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746911001398/a2202138z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000104746912001880/0001047469-12-001880-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746913001942/0001047469-13-001942-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000104746914001686/a2218605z10-k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000119312515073584/d851024d10k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000119312516485633/0001193125-16-485633-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828017001815/0001628280-17-001815-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828018002649/0001628280-18-002649-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828019001968/0001628280-19-001968-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828020002202/0001628280-20-002202-index.html,https://www.sec.gov/Archives/edgar/data/1289490/000162828021003458/0001628280-21-003458-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828022004274/0001628280-22-004274-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
