,https://roic.ai/company/DRRX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-8397000,-18220000,-41630000,-32854000,-15493000,-22979000,-10592000,-27428000,-22021000,-40490000,-27746000,-20641000,-17543000,17171000,-20604000,-20358000,-20002000,-31805000,-833000,-22495000,-17786000,1952000,-38413000
16,EBITDA ratio,-97.6395,-5.7750,-6.3811,-4.5726,-1.3091,-1.6588,-0.3707,-1.2528,-0.7179,-1.4940,-1.1421,-0.6534,-0.5239,0.3236,-1.3444,-1.0493,-1.0459,-2.2677,-0.0169,-1.2118,-0.6016,0.0648,-2.7483
17,Operating Income,-9359000,-22823000,-49402000,-38969000,-21279000,-24309000,-15628000,-31436000,-24541000,-44665000,-30672000,-23835000,-18853000,16056000,-21162000,-20998000,-20664000,-32364000,-2237000,-23619000,-19151000,-12615000,-34273000
18,Operating Income ratio,-108.8256,-7.2339,-7.5723,-5.4237,-1.7980,-1.7548,-0.5470,-1.4358,-0.8000,-1.6481,-1.2626,-0.7545,-0.5630,0.3025,-1.3808,-1.0823,-1.0805,-2.3076,-0.0455,-1.2723,-0.6478,-0.4189,-2.4521
19,Total Other Income Expenses (Gains),- -,- -,-14030000,- -,- -,-3310000,-2496000,-1891000,202000,-11933000,420000,- -,- -,144000,-290000,-1112000,-1999000,-2145000,-1458000,-1703000,-1427000,-1720000,-1992000
20,Income Before Tax,- -,- -,- -,- -,- -,-27619000,-18124000,-33327000,-24339000,- -,- -,- -,- -,16200000,-21452000,-22110000,-22663000,-34509000,-3695000,-25322000,-20578000,-14335000,-36265000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-1.9937,-0.6343,-1.5222,-0.7934,- -,- -,- -,- -,0.3053,-1.3997,-1.1396,-1.1851,-2.4605,-0.0751,-1.3640,-0.6960,-0.4761,-2.5946
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,18000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8708000,-19851000,-44928000,-37173000,-22698000,-27637000,-18128000,-33327000,-24339000,-43907000,-30288000,-22898000,-18765000,16200000,-21452000,-22110000,-22663000,-34509000,-3695000,-25322000,-20578000,-582000,-36265000
24,Net Income ratio,-101.2558,-6.2919,-6.8866,-5.1737,-1.9179,-1.9950,-0.6345,-1.5222,-0.7934,-1.6201,-1.2468,-0.7248,-0.5604,0.3053,-1.3997,-1.1396,-1.1851,-2.4605,-0.0751,-1.3640,-0.6960,-0.0193,-2.5946
25,EPS,-0.37,-1.22,-0.97,-0.77,-0.45,-0.54,-0.34,-0.51,-0.35,-0.58,-0.37,-0.26,-0.21,0.18,-0.21,-0.20,-0.19,-0.26,-0.03,-0.16,-0.12,-0.00,-0.16
26,EPS Diluted,-0.37,-1.22,-0.97,-0.77,-0.45,-0.54,-0.34,-0.51,-0.35,-0.58,-0.37,-0.26,-0.21,0.18,-0.21,-0.20,-0.19,-0.26,-0.03,-0.16,-0.12,-0.00,-0.16
27,Weighted Average Shares Outstanding,23771000,17120000,46414000,48318000,50510000,51507000,53719000,65961000,70483000,78332000,83427000,86868000,87410000,88433000,103078000,111666000,118523000,133163000,145273000,159834000,178042000,199457000,225047000
28,Weighted Average Shares Outstanding Diluted,23771000,33055000,46414000,48318000,50510000,51507000,53719000,65961000,70483000,78332000,83427000,86868000,87410000,88589000,103078000,111666000,118523000,133163000,145273000,159834000,178042000,199457000,225047000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082038/000101287003001183/0001012870-03-001183-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312504039240/0001193125-04-039240-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312505049663/0001193125-05-049663-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312506055225/0001193125-06-055225-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312507055753/0001193125-07-055753-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312508055616/0001193125-08-055616-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312509049860/0001193125-09-049860-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312510047993/0001193125-10-047993-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312511055064/0001193125-11-055064-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312512094391/0001193125-12-094391-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312513087839/0001193125-13-087839-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312514076949/0001193125-14-076949-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312515074853/d849815d10k.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312516488358/0001193125-16-488358-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459017004451/0001564590-17-004451-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459018004889/0001564590-18-004889-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459019007004/0001564590-19-007004-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459020008923/0001564590-20-008923-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459021011240/0001564590-21-011240-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000156459022009097/0001564590-22-009097-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3863000,46702000,12596000,14089000,21203000,20032000,65542000,41554000,37589000,29445000,8287000,10437000,8896000,11195000,7836000,2680000,3583000,5404000,29375000,31644000,34924000,21312000,49844000
32,Short-Term Investments,12735000,57730000,42608000,28711000,39511000,21765000,18022000,28297000,19710000,21460000,32834000,35071000,19902000,17337000,12753000,30016000,25457000,19600000,7384000,2671000,29750000,19421000,- -
33,Cash and Short-Term Investments,16598000,104432000,55204000,42800000,60714000,41797000,83564000,69851000,57299000,50905000,41121000,45508000,28798000,28532000,20589000,32696000,29040000,25004000,36759000,34315000,64674000,40733000,49844000
34,Net Receivables,97000,1261000,818000,944000,1968000,2481000,4488000,2152000,3622000,4055000,1700000,3716000,3448000,2166000,2349000,2122000,2222000,1154000,2376000,1757000,2313000,940000,6477000
35,Inventory,188000,2682000,1864000,1707000,1902000,1929000,2047000,2052000,1963000,3474000,2799000,2836000,3252000,3399000,3502000,3642000,3917000,3782000,3163000,3421000,3383000,1864000,1870000
36,Other Current Assets,584000,938000,2325000,1590000,1480000,1364000,3980000,1744000,1904000,1850000,1433000,2785000,1803000,2258000,1888000,1034000,3142000,2486000,3060000,2247000,1459000,19524000,23546000
37,Total Current Assets,17467000,109313000,60211000,47041000,66064000,47571000,94079000,75799000,64788000,60284000,47053000,54845000,37301000,36355000,28328000,39494000,38321000,32426000,45358000,41740000,71829000,63061000,81737000
38,PP&E,1271000,4472000,13136000,11625000,9316000,7112000,7304000,7451000,7658000,5971000,3808000,1776000,3124000,2457000,1985000,1749000,1566000,1297000,929000,605000,6535000,5000000,3673000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6399000,6169000,6169000
40,Intangible Assets,1390000,5175000,10178000,8837000,9393000,8144000,6935000,111000,180000,157000,108000,71000,53000,36000,18000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1390000,5175000,10178000,8837000,9393000,8144000,6935000,6510000,6579000,6556000,6507000,6470000,6452000,6435000,6417000,6399000,6399000,6399000,6399000,6399000,6399000,6169000,6169000
42,Investments,- -,- -,- -,- -,- -,- -,7000000,12000000,5000000,1787000,431000,4064000,2031000,- -,3352000,1804000,250000,150000,150000,150000,- -,1000000,19966000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2335000,1652000,21418000,5468000,27634000,22641000,2096000,725000,-5000,276000,352000,405000,288000,688000,738000,638000,236000,236000,277000,1105000,1257000,411000,-19555000
45,Total Non-Current Assets,4996000,11299000,44732000,25930000,46343000,37897000,23335000,26686000,19232000,14590000,11098000,12715000,11895000,9580000,12492000,10590000,8451000,8082000,7755000,8259000,14191000,12580000,10253000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22463000,120612000,104943000,72971000,112407000,85468000,117414000,102485000,84020000,74874000,58151000,67560000,49196000,45935000,40820000,50084000,46772000,40508000,53113000,49999000,86020000,75641000,91990000
48,Accounts Payable,483000,658000,2003000,352000,616000,1658000,9494000,864000,1834000,1018000,1019000,981000,1274000,1785000,736000,1021000,1286000,2086000,1520000,1589000,2109000,1678000,1311000
49,Short-Term Debt,- -,407000,683000,617000,463000,483000,383000,244000,24081000,- -,- -,- -,- -,- -,- -,- -,- -,19853000,7281000,- -,2043000,2679000,3696000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,948000,146000,78000,- -,5348000,5728000,9235000,4703000,8079000,7372000,1145000,584000,896000,1191000,1751000,1516000,1405000,26332000,545000,98000
52,Other Current Liabilities,1063000,3188000,3062000,3268000,3789000,3270000,- -,6243000,7445000,6630000,6535000,8849000,6245000,3997000,5865000,5051000,4970000,5060000,5511000,4668000,6284000,5801000,4951000
53,Total Current Liabilities,1546000,4253000,5748000,5185000,5014000,5489000,9877000,12699000,39088000,16883000,12257000,17909000,14891000,6927000,7185000,6968000,7447000,28750000,15828000,7662000,36768000,10703000,10056000
54,Long-Term Debt,189000,1105000,1996000,1379000,61372000,60935000,64185000,37943000,- -,656000,508000,- -,- -,- -,- -,19824000,19684000,- -,12634000,20533000,20262000,23138000,1824000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,21118000,17543000,34849000,30090000,1480000,1296000,2742000,2269000,1879000,1093000,812000,812000,812000,812000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19771000,17543000,34849000,30090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,151000,225000,906000,654000,- -,14811000,10351000,-21118000,-17543000,-34534000,-29352000,1197000,1618000,2035000,2489000,1541000,2070000,992000,5318000,873000,- -
58,Total Non-Current Liabilities,189000,1105000,2147000,1604000,62278000,61589000,64185000,52754000,10351000,20427000,18051000,35164000,30828000,2677000,2914000,24601000,24442000,3420000,15797000,22337000,26392000,24823000,2636000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6560000,4997000,- -
61,Total Liabilities,1735000,5358000,7895000,6789000,67292000,67078000,74062000,65453000,49439000,37310000,30308000,53073000,45719000,9604000,10099000,31569000,31889000,32170000,31625000,29999000,63160000,35526000,12692000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,4000,4000,5000,5000,5000,6000,7000,7000,8000,8000,8000,9000,10000,11000,11000,12000,14000,15000,16000,19000,20000,23000
64,Retained Earnings,-10632000,-31455000,-76383000,-113556000,-136254000,-163891000,-182019000,-215346000,-239685000,-283592000,-313880000,-336778000,-355543000,-339343000,-360795000,-382905000,-405568000,-440077000,-443772000,-468624000,-489202000,-489784000,-526049000
65,Other Comprehensive Income/Loss,-207000,-807000,-2207000,-14579000,-13604000,-13789000,-13692000,-13525000,-13430000,81000,10000,6000,5000,6000,1000,87000,-14000,-3000,-1000,- -,-3000,-5000,-10000
66,Other Total Stockholders Equity,31566000,147512000,175634000,194312000,194968000,196065000,239057000,265896000,287689000,321067000,341705000,351251000,359006000,375658000,391504000,401322000,420453000,448404000,465246000,488608000,512046000,529884000,526036000
67,Total Stockholders Equity,20728000,115254000,97048000,66182000,45115000,18390000,43352000,37032000,34581000,37564000,27843000,14487000,3477000,36331000,30721000,18515000,14883000,8338000,21488000,20000000,22860000,40115000,79298000
68,Total Liabilities And Stockholders Equity,22463000,120612000,104943000,72971000,112407000,85468000,117414000,102485000,84020000,74874000,58151000,67560000,49196000,45935000,40820000,50084000,46772000,40508000,53113000,49999000,86020000,75641000,91990000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22463000,120612000,104943000,72971000,112407000,85468000,117414000,102485000,84020000,74874000,58151000,67560000,49196000,45935000,40820000,50084000,46772000,40508000,53113000,49999000,86020000,75641000,91990000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082038/000101287003001183/0001012870-03-001183-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312504039240/0001193125-04-039240-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312505049663/0001193125-05-049663-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312506055225/0001193125-06-055225-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312507055753/0001193125-07-055753-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312508055616/0001193125-08-055616-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312509049860/0001193125-09-049860-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312510047993/0001193125-10-047993-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312511055064/0001193125-11-055064-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312512094391/0001193125-12-094391-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312513087839/0001193125-13-087839-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312514076949/0001193125-14-076949-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312515074853/d849815d10k.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312516488358/0001193125-16-488358-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459017004451/0001564590-17-004451-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459018004889/0001564590-18-004889-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459019007004/0001564590-19-007004-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459020008923/0001564590-20-008923-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459021011240/0001564590-21-011240-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000156459022009097/0001564590-22-009097-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8708000,-19851000,-44928000,-37173000,-22698000,-27637000,-18128000,-33327000,-24339000,-43907000,-30288000,-22898000,-18765000,16200000,-21452000,-22110000,-22663000,-34509000,-3695000,-25322000,-20578000,-582000,-36265000
74,Depreciation and Amortization,311000,1500000,3298000,4319000,4745000,4640000,3169000,2463000,2318000,2628000,2506000,2251000,1176000,964000,558000,601000,425000,416000,437000,254000,291000,297000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,11430000,7802000,6641000,4320000,3426000,3080000,2660000,2655000,2605000,2998000,2108000,2170000,- -
77,Change in Working Capital,261000,89139000,-50597000,-12607000,19194000,-18968000,42120000,-21102000,-37400000,17701000,-8605000,2140000,-14526000,7018000,-8285000,11383000,-1652000,-27198000,25854000,4548000,983000,17297000,19323000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-433000,2355000,-2016000,268000,1282000,-183000,227000,-100000,1068000,-1222000,619000,-556000,389000,- -
79,Inventory,-188000,-2494000,1117000,157000,-47000,-27000,-204000,-64000,-82000,-2024000,190000,-303000,-670000,-353000,-681000,-1369000,-579000,-552000,-140000,-549000,-217000,-249000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-816000,1000,-38000,293000,511000,-1049000,285000,265000,800000,-566000,69000,520000,-241000,- -
81,Other Working Capital,15921000,105060000,54463000,41856000,61050000,42082000,84202000,63100000,25700000,43401000,34796000,36936000,22410000,29428000,21143000,32526000,30874000,3676000,29530000,34078000,35061000,52358000,71681000
82,Other Non-Cash Items,865000,-85675000,69799000,14154000,-20487000,19757000,-34372000,42487000,41126000,5644000,4063000,18468000,8088000,-41950000,10305000,-7163000,675000,31343000,-26544000,-2228000,28297000,-57886000,16942000
83,Cash Provided by Operating Activities,-7271000,-14887000,-22428000,-31307000,-19246000,-22208000,-7211000,-9479000,-18295000,-9434000,-20894000,7763000,-17386000,-13448000,-15448000,-14209000,-20555000,-27293000,-1343000,-19750000,11101000,-38704000,- -
84,CAPEX,-1016000,-3801000,-7358000,-1413000,-961000,-1138000,-2397000,-2220000,-2645000,-922000,-294000,-256000,-2467000,-290000,-69000,-204000,-225000,-147000,-69000,-93000,-155000,-208000,- -
85,Acquisitions Net,-69000,- -,-437000,- -,-81000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-15070000,-58277000,-73906000,-30639000,-113971000,-47729000,-13852000,-56254000,-33458000,-21487000,-46894000,-67150000,-30320000,-25155000,-20403000,-31823000,-34318000,-24400000,-8373000,-9588000,-31866000,-45066000,- -
87,Sales/Maturities of Investments,- -,13994000,69892000,59929000,84069000,69659000,30234000,41823000,49179000,22698000,36805000,61276000,47521000,29352000,21580000,16294000,40797000,30584000,20632000,14218000,4697000,54706000,- -
88,Other Investing Activites,- -,-4636000,- -,- -,- -,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-16155000,-52720000,-11809000,27877000,-30944000,20792000,13985000,-16651000,13076000,289000,-10383000,-6130000,14734000,3907000,1108000,-15733000,6254000,6037000,12690000,4537000,-27324000,9432000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-263000,-43000,-48000,-15000,-8000,-9000,-17000,-240000,-886000,-14000,- -,-7000,- -,- -
91,Common Stock Issued,19355000,109115000,843000,5660000,797000,712000,39218000,2428000,1498000,1264000,10402000,565000,1126000,11617000,10675000,4618000,14290000,23745000,11989000,16780000,18360000,12283000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-41000,1331000,-712000,-737000,56507000,-467000,-482000,-286000,-244000,- -,-240000,- -,- -,231000,315000,20185000,1154000,218000,649000,702000,1150000,3377000,- -
95,Cash Used/Provided by Financing Activities,19314000,110446000,131000,4923000,57304000,245000,38736000,2142000,1254000,1001000,10119000,517000,1111000,11840000,10981000,24786000,15204000,23077000,12624000,17482000,19503000,15660000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4112000,42839000,-34106000,1493000,7114000,-1171000,45510000,-23988000,-3965000,-8144000,-21158000,2150000,-1541000,2299000,-3359000,-5156000,903000,1821000,23971000,2269000,3280000,-13612000,- -
98,Cash at the End of Period,3863000,46702000,12596000,14089000,21203000,20032000,65542000,41554000,37589000,29445000,8287000,10437000,8896000,11195000,7836000,2680000,3583000,5404000,29375000,31794000,35074000,21462000,- -
99,Cash at the Beginning of Period,7975000,3863000,46702000,12596000,14089000,21203000,20032000,65542000,41554000,37589000,29445000,8287000,10437000,8896000,11195000,7836000,2680000,3583000,5404000,29525000,31794000,35074000,21462000
100,Free Cash Flow,-8287000,-18688000,-29786000,-32720000,-20207000,-23346000,-9608000,-11699000,-20940000,-10356000,-21188000,7507000,-19853000,-13738000,-15517000,-14413000,-20780000,-27440000,-1412000,-19843000,10946000,-38912000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082038/000101287003001183/0001012870-03-001183-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312504039240/0001193125-04-039240-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312505049663/0001193125-05-049663-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312506055225/0001193125-06-055225-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312507055753/0001193125-07-055753-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312508055616/0001193125-08-055616-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312509049860/0001193125-09-049860-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312510047993/0001193125-10-047993-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312511055064/0001193125-11-055064-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312512094391/0001193125-12-094391-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312513087839/0001193125-13-087839-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000119312514076949/0001193125-14-076949-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312515074853/d849815d10k.htm,https://www.sec.gov/Archives/edgar/data/1082038/000119312516488358/0001193125-16-488358-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459017004451/0001564590-17-004451-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459018004889/0001564590-18-004889-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459019007004/0001564590-19-007004-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459020008923/0001564590-20-008923-index.html,https://www.sec.gov/Archives/edgar/data/1082038/000156459021011240/0001564590-21-011240-index.htm,https://www.sec.gov/Archives/edgar/data/1082038/000156459022009097/0001564590-22-009097-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
