,https://roic.ai/company/RDIB,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-174825000,1398000,6426000,1575000,900000,14796000,- -,-4364000,-7948000,-5217000,-9097000,-11405000,6863000,-2610000,-19383000,8049000,853000,-1538000,2282000,12718000,14844000,26433000,12438000,33532000,16944000,2334000,-70824000,40758000
21,Income Before Tax Ratio,-84.4565,0.2588,1.3029,0.2897,0.1500,3.7439,- -,-0.1838,-0.0919,-0.0557,-0.0883,-0.1128,0.0647,-0.0219,-0.1013,0.0371,0.0037,-0.0063,0.0090,0.0493,0.0583,0.1027,0.0460,0.1199,0.0548,0.0084,-0.9096,0.2931
22,Income Tax expense (Gain),- -,- -,- -,45000,-4800000,5309000,- -,208000,6000,711000,1046000,1209000,2270000,2038000,2099000,1952000,14232000,-12330000,4904000,4942000,-9785000,4943000,4020000,3337000,3420000,28837000,-4967000,5944000
23,Net Income,-174825000,1398000,6426000,1530000,5700000,9487000,-3542000,-4572000,-7954000,-5928000,-8463000,989000,3856000,-2103000,-18535000,6094000,-12650000,9956000,-914000,9041000,25701000,22773000,9403000,30999000,14366000,-26429000,-65200000,31921000
24,Net Income ratio,-84.4565,0.2588,1.3029,0.2815,0.9500,2.4006,-0.4797,-0.1926,-0.0920,-0.0632,-0.0822,0.0098,0.0363,-0.0176,-0.0969,0.0281,-0.0550,0.0405,-0.0036,0.0350,0.1009,0.0885,0.0348,0.1108,0.0464,-0.0955,-0.8374,0.2295
25,EPS,-26.45,0.16,0.80,0.24,0.85,1.42,-0.47,-0.21,-0.36,-0.27,-0.39,0.04,0.17,-0.09,-0.82,0.27,-0.56,0.44,-0.04,0.39,1.10,0.98,0.40,1.35,0.62,-1.17,-3.00,1.46
26,EPS Diluted,-26.45,0.16,0.80,0.24,0.85,1.42,-0.47,-0.21,-0.36,-0.27,-0.39,0.04,0.17,-0.09,-0.82,0.27,-0.56,0.43,-0.04,0.38,1.08,0.97,0.40,1.33,0.62,-1.17,-3.00,1.42
27,Weighted Average Shares Outstanding,6610280,8737500,6003924,6375000,6705882,6680986,7536170,9980946,21821236,21860222,21948065,22249967,22425941,22478145,22477471,22580942,22781392,22764666,23028596,23348003,23431855,23293696,23320048,23041190,22991277,22631754,21749155,21801719
28,Weighted Average Shares Outstanding Diluted,6610280,8737500,6003924,6375000,6705882,6680986,7536170,9980946,21821236,21860222,21948065,22249967,22674818,22478145,22477471,22767735,22781392,22993135,23028596,23520271,23749221,23495618,23521157,23247969,23208991,22784122,22215511,22406816
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000095015003000386/0000950150-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012904001315/0000950129-04-001315-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012905002846/0000950129-05-002846-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012906002759/0000950129-06-002759-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663407000012/0000716634-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663408000009/0000716634-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663409000010/0000716634-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663410000003/0000716634-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663411000002/0000716634-11-000002-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000071663414000004/0000716634-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000156276215000083/0001562762-15-000083-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663416000067/0000716634-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663417000007/0000716634-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663418000006/0000716634-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663419000007/0000716634-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663420000003/0000716634-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663421000005/0000716634-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663422000009/0000716634-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,20876000,19286000,21735000,12292000,8548000,11008000,20782000,30874000,24758000,34568000,31597000,38531000,37696000,50248000,19702000,19017000,13668000,13127000,12135000,26826000,83251000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,891000,- -,85000,29000,401000,8436000,4533000,3100000,3120000,2985000,2874000,8055000,55000,54000,51000,50000,46000,42000,47000,26000,23000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,21767000,19286000,21820000,12321000,8949000,19444000,25315000,33974000,27878000,37553000,34471000,46586000,37751000,50302000,19753000,19067000,13714000,13169000,12182000,26852000,83274000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,3765000,4787000,7145000,5272000,6612000,5671000,7868000,9458000,5470000,6973000,8514000,9087000,11348000,12173000,10248000,14736000,10749000,8754000,8010000,5412000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,333000,452000,518000,804000,468000,606000,654000,797000,860000,989000,1035000,918000,941000,1010000,1122000,1391000,1432000,1419000,1674000,1059000,1408000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,7532000,4894000,3068000,4000000,996000,3629000,3859000,24099000,3253000,60905000,9993000,9700000,7338000,21271000,3873000,41935000,3593000,4921000,4389000,20546000,10212000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,29632000,28397000,30193000,24270000,15685000,30291000,35499000,66738000,41449000,104917000,52472000,65718000,55117000,83931000,36921000,72641000,33475000,30258000,26999000,56467000,100306000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,74878000,101481000,122546000,133660000,197347000,211141000,258013000,220765000,279425000,255952000,307126000,202778000,191660000,186889000,210298000,211886000,264724000,257667000,488017000,573628000,534024000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,5029000,- -,5090000,- -,14653000,17919000,19100000,34964000,37411000,21535000,22277000,22898000,22159000,21281000,19715000,19828000,20276000,19445000,26448000,28116000,26758000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,15631000,19402000,12248000,25773000,8788000,7954000,8448000,25118000,22655000,20156000,17999000,15661000,13440000,11486000,9889000,10037000,8542000,7369000,4320000,3971000,3258000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,20660000,19402000,17338000,25773000,23441000,25873000,27548000,60082000,60066000,41691000,40276000,38559000,35599000,32767000,29604000,29865000,28818000,26814000,30768000,32087000,30016000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10570000,11253000,8677000,8553000,7573000,7007000,6208000,5909000,6142000,5959000,5907000,5863000,5831000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12399000,8989000,5566000,15967000,25649000,28667000,24908000,26235000,3444000,3362000,2220000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,33492000,52789000,46524000,16584000,21926000,25011000,22491000,14907000,16536000,9814000,103991000,91292000,75025000,66411000,56798000,64959000,92095000,119854000,18762000,15305000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,95538000,154375000,192673000,205957000,237372000,258940000,310572000,303338000,364968000,325432000,378292000,362870000,331690000,317655000,338170000,333125000,389551000,408770000,647990000,633702000,587396000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,125170000,182772000,222866000,230227000,253057000,289231000,346071000,370076000,406417000,430349000,430764000,428588000,386807000,401586000,375091000,405766000,423026000,439028000,674989000,690169000,687702000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,12395000,13183000,13222000,15341000,13538000,13539000,12331000,13170000,22199000,21687000,23067000,25566000,25046000,27435000,32929000,37007000,47870000,34815000,38152000,41350000,46731000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4892000,2119000,1930000,610000,1776000,7237000,5395000,1347000,21914000,108124000,29630000,34569000,81438000,44004000,20900000,6467000,14009000,36293000,57852000,65047000,35837000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,6920000,- -,- -,- -,- -,- -,- -,- -,6140000,23872000,14858000,15234000,8308000,6003000,5275000,3523000,2938000,1710000,140000,82000,10655000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1220000,1150000,1561000,2227000,2319000,2565000,3214000,5645000,6968000,8727000,10271000,11587000,11864000,14239000,14591000,10758000,9850000,9264000,11324000,10133000,9996000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,10577000,11821000,12683000,11900000,12334000,13947000,8214000,13941000,6597000,24013000,14995000,15411000,8563000,7072000,7015000,11754000,8717000,5156000,3809000,4077000,14415000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,29084000,28273000,29396000,30078000,29967000,37288000,29154000,34103000,57678000,162551000,77963000,87133000,126911000,92750000,75435000,65986000,80446000,85528000,111137000,120607000,106979000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,48121000,69215000,82642000,107544000,122975000,171800000,237815000,205079000,120697000,179984000,169961000,94719000,127197000,122035000,143314000,122602000,132438000,398849000,459090000,451239000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577000,41000,- -,- -,- -,5083000,4596000,4398000,18000,32000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6968000,2267000,12191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7908000,10176000,11276000,12027000,13063000,18706000,20920000,30505000,25852000,32154000,35639000,40540000,43430000,44258000,35829000,45453000,38719000,40483000,25387000,29299000,24424000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7908000,58297000,80491000,94669000,120607000,141681000,192720000,268320000,238476000,155159000,227814000,210501000,138149000,176538000,162460000,193165000,161339000,172953000,424236000,488389000,475663000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,58294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7933000,7697000,7165000,11994000,6167000,6086000,5991000,249689000,241554000,253090000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,79470000,86570000,109887000,124747000,150574000,178969000,221874000,302423000,296154000,317710000,305777000,297634000,265060000,269288000,237895000,259151000,241785000,258481000,535373000,608996000,582642000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,205000,218000,219000,220000,230000,231000,231000,231000,230000,231000,235000,238000,240000,243000,246000,247000,248000,249000,248000,248000,250000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-40512000,-46440000,-54903000,-53914000,-50058000,-52670000,-71205000,-63385000,-76035000,-66079000,-66993000,-57952000,-32251000,-9478000,1680000,32679000,47616000,20647000,-44553000,-12632000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-52000,8042000,31196000,32386000,28575000,33393000,46177000,7210000,41514000,57120000,58937000,61369000,41515000,28039000,11806000,12075000,20991000,6115000,5589000,12502000,4882000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,90972000,123517000,123516000,124307000,124513000,124093000,127624000,129600000,130530000,130471000,130659000,132242000,133337000,131655000,130291000,128195000,122992000,122230000,108865000,109572000,111574000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,91125000,91265000,108491000,102010000,99404000,107659000,121362000,65836000,108889000,111787000,123752000,126856000,117140000,127686000,132865000,142197000,176910000,176210000,135349000,77769000,104074000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,170595000,177835000,218378000,226757000,249978000,286628000,343236000,368259000,405043000,429497000,429529000,424490000,382200000,396974000,370760000,401348000,418695000,434691000,670722000,686765000,686716000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-45425000,4937000,4488000,3470000,3079000,2603000,2835000,1817000,1374000,852000,1235000,4098000,4607000,4612000,4331000,4418000,4331000,4337000,4267000,3404000,986000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,125170000,182772000,222866000,230227000,253057000,289231000,346071000,370076000,406417000,430349000,430764000,428588000,386807000,401586000,375091000,405766000,423026000,439028000,674989000,690169000,687702000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/716634/000095015003000386/0000950150-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012904001315/0000950129-04-001315-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012905002846/0000950129-05-002846-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012906002759/0000950129-06-002759-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663407000012/0000716634-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663408000009/0000716634-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663409000010/0000716634-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663410000003/0000716634-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663411000002/0000716634-11-000002-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000071663414000004/0000716634-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000156276215000083/0001562762-15-000083-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663416000067/0000716634-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663417000007/0000716634-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663418000006/0000716634-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663419000007/0000716634-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/716634/000071663420000003/0000716634-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663421000005/0000716634-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663422000009/0000716634-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-174825000,1398000,6426000,1530000,5700000,9487000,-3542000,-4572000,-7954000,-5928000,-8463000,989000,3856000,-2103000,-18535000,6094000,-12650000,9956000,-914000,9041000,25701000,22773000,9403000,30999000,14366000,-26429000,-65200000,31921000
74,Depreciation and Amortization,276000,420000,395000,345000,700000,536000,657000,2044000,8705000,12003000,12899000,12384000,13212000,12174000,22207000,15168000,15914000,17792000,16779000,15610000,15760000,15481000,17486000,18348000,23436000,23699000,23363000,24114000
75,Deferred Income Tax,- -,- -,- -,- -,-4400000,3273000,-443000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15028000,1929000,2198000,-14029000,-4067000,-5060000,4073000,-1719000,23115000,401000,967000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000,821000,939000,1278000,950000,1413000,1458000,609000,1000000,1458000,1463000,1421000,2152000
77,Change in Working Capital,- -,-963000,-200000,-799000,100000,819000,1960000,601000,3218000,2165000,-950000,3147000,-23000,421000,13727000,-977000,13903000,5727000,2530000,-2916000,-2047000,4161000,6703000,-11423000,-1809000,-17478000,-11304000,-3588000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,556000,148000,6479000,2843000,-3740000,2107000,508000,9330000,6313000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1628000,-1581000,5100000,2802000,-576000,2677000,-203000,3626000,-7011000,1496000,3129000,2625000,-3368000
82,Other Non-Cash Items,177264000,-1632000,-5711000,612000,1000000,-12947000,3328000,-338000,-804000,-2533000,-4515000,-13933000,-5136000,2792000,6916000,-3223000,4796000,4867000,3894000,300000,1545000,-11232000,1047000,-19146000,-3087000,20237000,21118000,-69064000
83,Cash Provided by Operating Activities,2715000,-777000,910000,1688000,3100000,1168000,1960000,-2265000,3165000,5707000,-1029000,2587000,11909000,13284000,24315000,17978000,22784000,24253000,25496000,25183000,28343000,28574000,30188000,23851000,32645000,24607000,-30201000,-13498000
84,CAPEX,-20055000,-9610000,-504000,-708000,-1800000,-68000,-39000,-869000,-4511000,-2889000,-7794000,-30461000,-16389000,-42414000,-75166000,-5686000,-19371000,-5459000,-8213000,-20082000,-14914000,-53119000,-49166000,-69603000,-63529000,-45709000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-943000,- -,- -,- -,-20031000,-13693000,- -,- -,- -,- -,- -,-4117000,-5510000,1936000,208000,228000,296000,-432000,- -,-7877000,-245000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6844000,-10785000,-17198000,-372000,-11463000,-42000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4573000,19900000,3267000,3336000,30000,143000,2974000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,20775000,1964000,-33000,-500000,19070000,-7911000,-9154000,-5709000,-819000,12054000,14161000,-844000,1426000,2732000,914000,-1609000,5665000,4654000,12004000,4808000,23181000,6009000,63249000,-1326000,-44052000,-18526000,129610000
89,Cash Used for Investing Activites,-20055000,11165000,1460000,-741000,-2300000,19002000,-8893000,-10023000,-10220000,-3708000,-15771000,-36837000,-23445000,-38286000,-69539000,-12899000,-20992000,-3768000,-6095000,-6142000,-9898000,-29710000,-42861000,-6786000,-64855000,-51929000,-18771000,129610000
90,Debt Repayment,-34000,-3814000,-5883000,-908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14888000,-16797000,-127554000,-62602000,-28121000,-7140000,-35239000,-63748000,-106449000,-54374000,-52554000,-29988000,-88466000
91,Common Stock Issued,286000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000,88000,25000,- -,- -,- -,-747000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-791000,- -,- -,- -,-251000,- -,- -,- -,-4070000,-3310000,-2850000,-6532000,-2316000,-11152000,-670000,- -
93,Dividends Paid,- -,-101000,-232000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1147000,-1406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19609000,5013000,-6190000,-2031000,-800000,195000,-1789000,17154000,3952000,-3220000,7105000,30209000,14642000,33918000,60154000,1641000,23998000,104890000,49883000,10346000,7935000,10588000,77844000,90926000,89900000,89714000,89988000,38186000
95,Cash Used/Provided by Financing Activities,19861000,1098000,-12305000,-2939000,-800000,195000,-1789000,17154000,3952000,-3220000,7105000,30370000,13939000,33943000,60154000,-14394000,5544000,-23411000,-12719000,-17775000,-3275000,-27961000,11246000,-22055000,33210000,26008000,59330000,-50280000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,1513000,3670000,252000,136000,57000,833000,-4838000,3053000,2620000,-45000,252000,-2101000,-2618000,-1449000,742000,-359000,-1541000,322000,4333000,-4095000
97,Net Change In Cash,-141156000,11486000,-9935000,-1992000,- -,20365000,-8722000,4866000,-1590000,2449000,-9443000,-3744000,2460000,9774000,10092000,-6262000,9956000,-2971000,6934000,-835000,12552000,-30546000,-685000,-5349000,-541000,-992000,14691000,61737000
98,Cash at the End of Period,4805000,16291000,6356000,4364000,4400000,24732000,16010000,20876000,19286000,21735000,12292000,8548000,11008000,20782000,30874000,24612000,34568000,31597000,38531000,37696000,50248000,19702000,19017000,13668000,13127000,12135000,26826000,88571000
99,Cash at the Beginning of Period,145961000,4805000,16291000,6356000,4400000,4367000,24732000,16010000,20876000,19286000,21735000,12292000,8548000,11008000,20782000,30874000,24612000,34568000,31597000,38531000,37696000,50248000,19702000,19017000,13668000,13127000,12135000,26834000
100,Free Cash Flow,-17340000,-10387000,406000,980000,1300000,1100000,1921000,-3134000,-1346000,2818000,-8823000,-27874000,-4480000,-29130000,-50851000,12292000,3413000,18794000,17283000,5101000,13429000,-24545000,-18978000,-45752000,-30884000,24607000,-30201000,-13498000
