,https://roic.ai/company/NOTV,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.21,0.09,0.12,-0.30,0.38,0.23,0.02,-0.04,-0.02,-0.53,0.19,-0.30,-1.11,-0.55,-0.66,-0.89,0.09,-0.13,0.07,-0.40,0.10,-0.02,-0.08,-0.43,0.19
27,Weighted Average Shares Outstanding,4390000,4117088,4505819,4550336,4564620,4575995,4654595,4860095,4870370,4882505,4909000,4914000,4915000,4915000,5667000,7158000,7664000,7960000,8084000,8107000,8178000,8771000,10383000,10851000,13191000
28,Weighted Average Shares Outstanding Diluted,4390000,4402755,4675850,4550336,4600498,4625381,4673448,4860095,4870370,4882505,4960000,4968000,4915000,4915000,5667000,7158000,8369000,7960000,8791000,8107000,8733000,8771000,10383000,10851000,13865000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/720154/000092794698000098/0000927946-98-000098-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794699000155/0000927946-99-000155-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794600000170/0000927946-00-000170-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794601500120/0000927946-01-500120-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720154/000114420407069371/0001144204-07-069371-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420409001832/v135563_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420410001851/v171119_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420411001921/v206229_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420411072098/0001144204-11-072098-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420412070192/0001144204-12-070192-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420413069445/0001144204-13-069445-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420414076134/0001144204-14-076134-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420415072763/0001144204-15-072763-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420416141558/0001144204-16-141558-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420417065076/0001144204-17-065076-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420418066005/0001144204-18-066005-index.html,https://www.sec.gov/Archives/edgar/data/720154/000110465919076191/0001104659-19-076191-index.html,https://www.sec.gov/Archives/edgar/data/720154/000110465920138651/0001104659-20-138651-index.htm,https://www.sec.gov/Archives/edgar/data/720154/000155837021016976/0001558370-21-016976-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,1200000,1900000,477635,373738,825964,1378311,773000,1254269,1647066,2837000,335000,870000,1422000,2963000,721000,1304000,981000,438000,386000,434000,773000,606000,1406000,138924000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,1200000,1900000,477635,373738,825964,1378311,773000,1254269,1647066,2837000,335000,870000,1422000,2963000,721000,1304000,981000,438000,386000,434000,773000,606000,1406000,138924000
34,Net Receivables,3000000,3000000,3700000,3128207,4265859,4554154,5029621,7041000,13029011,8925759,10013000,10641000,6224000,4984000,5189000,4287000,4312000,3435000,4014000,2240000,3145000,5140000,9520000,10823000,28364000
35,Inventory,1900000,1900000,1800000,2234644,2391081,2624050,2055139,1570000,2041335,1887093,1977000,2184000,1847000,1673000,1636000,1656000,1379000,1564000,1466000,1453000,913000,1182000,1095000,700000,602000
36,Other Current Assets,200000,300000,300000,779837,838966,789891,861169,972000,810455,1202840,1673000,1784000,622000,555000,585000,228000,238000,675000,773000,798000,814000,966000,1200000,2371000,21129000
37,Total Current Assets,5300000,6400000,7700000,6620323,7869644,8794059,9324240,10356000,17135070,13662758,16500000,14944000,9563000,8634000,10373000,6892000,7233000,6655000,6691000,4877000,5306000,8061000,12421000,15300000,189019000
38,PP&E,10000000,14600000,17400000,18912712,18921592,22824043,31171630,31901000,26565384,25765577,22927000,23135000,21282000,19439000,20399000,18628000,16913000,15949000,15989000,16136000,14965000,16610000,22828000,37508000,56396000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1854652,1855000,1855000,1383000,1383000,1383000,1383000,1383000,1009000,1009000,38000,38000,3072000,3617000,4368000,51927000
40,Intangible Assets,200000,1100000,1100000,990123,962924,883628,3761725,3936000,3600438,517460,304000,144000,114000,84000,54000,- -,- -,- -,- -,- -,- -,3318000,2874000,4261000,24233000
41,Intangible Assets,200000,1100000,1100000,990123,962924,883628,3761725,3936000,3600438,2372112,2159000,1999000,1497000,1467000,1437000,1383000,1383000,1009000,1009000,38000,38000,6390000,6491000,8629000,76160000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,31000,- -,- -
44,Other Non-Current Assets,400000,200000,100000,139208,222494,960881,727636,602000,537537,513432,451000,269000,243000,203000,137000,72000,68000,161000,126000,88000,108000,145000,209000,156000,281000
45,Total Non-Current Assets,10600000,15900000,18600000,20042043,20107010,24668552,35660991,36439000,30703359,28651121,25537000,25403000,23022000,21109000,21973000,20083000,18364000,17119000,17124000,16262000,15111000,23207000,29559000,46293000,132837000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15900000,22300000,26300000,26662366,27976654,33462611,44985231,46795000,47838429,42313879,42037000,40347000,32585000,29743000,32346000,26975000,25597000,23774000,23815000,21139000,20417000,31268000,41980000,61593000,321856000
48,Accounts Payable,1300000,1900000,2000000,1398326,2618788,2459325,3072866,2762000,1681078,1609821,1589000,2209000,1997000,1911000,1764000,3934000,3584000,2672000,2858000,2965000,2052000,3192000,4941000,3196000,6163000
49,Short-Term Debt,800000,300000,500000,2741294,730138,5166226,3643121,3683000,1898750,1192799,5331000,3234000,2283000,3050000,2081000,2027000,2028000,988000,872000,5024000,224000,909000,2827000,8604000,13388000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3571000,3012000,2815000,2990000,3414000,3114000,2980000,4925000,6726000,11392000,26614000
52,Other Current Liabilities,700000,900000,900000,1549866,1986208,2079733,2902871,4406000,8795024,7307185,7227000,6607000,6099000,7015000,2431000,2414000,2599000,2817000,2159000,2380000,2467000,2775000,2987000,8450000,8944000
53,Total Current Liabilities,2800000,3100000,3400000,5689486,5335134,9705284,9618858,10851000,12374852,10109805,14147000,12050000,10379000,11976000,9847000,11387000,11026000,9467000,9303000,13483000,7723000,11801000,17481000,31642000,55109000
54,Long-Term Debt,5000000,1100000,4100000,3638411,2741684,3123756,13812553,14161000,13407634,12663659,7861000,8715000,8191000,6477000,5842000,5259000,4641000,4452000,3666000,- -,4158000,8546000,13771000,18826000,160802000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1200000,1200000,1300000,1272811,1667231,1611836,1827356,2362000,1650857,538633,337000,344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,344000
57,Other Non-Current Liabilities,- -,100000,100000,- -,402276,123371,- -,1000,807356,1648243,1138000,1443000,895000,623000,1071000,739000,471000,319000,118000,198000,69000,37000,18000,3388000,473000
58,Total Non-Current Liabilities,6200000,2400000,5500000,4911222,4811191,4858963,15639909,16524000,15865847,14850535,9336000,10502000,9086000,7100000,6913000,5998000,5112000,4771000,3784000,198000,4227000,8583000,13789000,22355000,161619000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,807356,1648243,1138000,1443000,1442000,1147000,1684000,1069000,739000,577000,298000,324000,197000,124000,36000,8982000,8576000
61,Total Liabilities,9000000,5500000,8900000,10600708,10146325,14564247,25258767,27375000,28240699,24960340,23483000,22552000,19465000,19076000,16760000,17385000,16138000,14238000,13087000,13681000,11950000,20384000,31270000,53997000,216728000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2135000,1335000,1335000,1185000,1185000,1185000,1035000,35000,35000,25000,- -
63,Common Stock,- -,- -,1000000,1010690,1012190,1014206,1168163,1177000,1177352,1182003,1189000,- -,- -,- -,- -,1871000,1887000,1980000,1988000,1989000,2023000,2523000,2589000,2706000,3945000
64,Retained Earnings,5000000,5400000,6000000,4577909,6344666,7411111,7498417,7295000,7194065,4584123,5560000,4173000,-1290000,-3981000,-7706000,-14096000,-13720000,-14790000,-13691000,-16921000,-16037000,-16231000,-17097000,-21910000,-11015000
65,Other Comprehensive Income/Loss,-2800000,-4000000,-5000000,-5537957,-7082300,-8983937,-10977775,-13935000,-16818721,-18608280,-20704000,-20277000,-21980000,-24058000,-25364000,-23796000,-23604000,-25177000,-25699000,-26666000,-27880000,-31825000,-32876000,- -,- -
66,Other Total Stockholders Equity,4700000,15400000,15400000,16011016,17555773,19456984,22037659,24883000,28045034,30195693,32509000,33899000,36390000,38706000,48656000,44276000,43561000,46338000,46945000,47871000,49326000,56382000,58059000,26775000,112198000
67,Total Stockholders Equity,6900000,16800000,17400000,16061658,17830329,18898364,19726464,19420000,19597730,17353539,18554000,17795000,13120000,10667000,15586000,9590000,9459000,9536000,10728000,7458000,8467000,10884000,10710000,7596000,105128000
68,Total Liabilities And Stockholders Equity,15900000,22300000,26300000,26662366,27976654,33462611,44985231,46795000,47838429,42313879,42037000,40347000,32585000,29743000,32346000,26975000,25597000,23774000,23815000,21139000,20417000,31268000,41980000,61593000,321856000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15900000,22300000,26300000,26662366,27976654,33462611,44985231,46795000,47838429,42313879,42037000,40347000,32585000,29743000,32346000,26975000,25597000,23774000,23815000,21139000,20417000,31268000,41980000,61593000,321856000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/720154/000092794698000098/0000927946-98-000098-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794699000155/0000927946-99-000155-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794600000170/0000927946-00-000170-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794601500120/0000927946-01-500120-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720154/000114420407069371/0001144204-07-069371-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420409001832/v135563_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420410001851/v171119_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420411001921/v206229_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420411072098/0001144204-11-072098-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420412070192/0001144204-12-070192-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420413069445/0001144204-13-069445-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420414076134/0001144204-14-076134-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420415072763/0001144204-15-072763-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420416141558/0001144204-16-141558-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420417065076/0001144204-17-065076-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420418066005/0001144204-18-066005-index.html,https://www.sec.gov/Archives/edgar/data/720154/000110465919076191/0001104659-19-076191-index.html,https://www.sec.gov/Archives/edgar/data/720154/000110465920138651/0001104659-20-138651-index.htm,https://www.sec.gov/Archives/edgar/data/720154/000155837021016976/0001558370-21-016976-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,400000,600000,-1382010,1766757,1066445,87306,-203000,-100998,-2609942,926000,-1489000,-5463000,-2691000,543000,-6390000,773000,-1070000,1099000,-3230000,884000,-194000,-790000,-4685000,10895000
74,Depreciation and Amortization,500000,900000,1300000,1636413,1761709,2042004,2681692,3441000,3441420,3888899,3458000,3013000,- -,2323000,2134000,2278000,1723000,1597000,1409000,1556000,1680000,1875000,2717000,3929000,6268000
75,Deferred Income Tax,- -,100000,- -,-237330,362313,-67525,137662,13000,-623230,-1335256,-472000,388000,160000,12000,-14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4985000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000,226000,153000,83000,225000,84000,79000,45000,19000,134000,278000,540000,1786000
77,Change in Working Capital,-500000,800000,1000000,-3369163,1603673,-3445735,616607,-200382,5255218,-1207265,-1199953,541000,-3710000,-2526000,3868000,-5021000,702000,981000,200000,-5994000,6189000,-1323000,-1320000,-11282000,9643000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3680000,650000,-236000,917000,-25000,910000,-1084000,1639000,-941000,-589000,-3087000,-620000,-11951000
79,Inventory,- -,100000,100000,-440878,-156437,-232969,618900,486000,-471808,154242,-7000,-207000,338000,174000,37000,-20000,277000,-185000,98000,13000,540000,-269000,87000,395000,98000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000,-482000,2375000,-269000,-863000,259000,1122000,-913000,980000,1019000,-2047000,2619000
81,Other Working Capital,2500000,3300000,4300000,930837,2534510,-911225,-294618,-495000,4760218,3552953,2353000,2894000,-816000,-3342000,526000,-4495000,-3793000,-2812000,-2612000,-8606000,-2417000,-3740000,-5060000,-16342000,14554000
82,Other Non-Cash Items,100000,200000,-1300000,2812930,-1466670,2437310,-578073,-216618,-8513660,5107493,215953,-1855000,11030000,5097000,-5596000,8850000,-1904000,92000,-683000,8683000,-7536000,2995000,892000,12788000,-12861000
83,Cash Provided by Operating Activities,800000,2400000,1600000,-539160,4027782,2032499,2945194,2834000,-541250,3843929,2928000,598000,2587000,2441000,1088000,-200000,1519000,1684000,2104000,1060000,1236000,3487000,1777000,1290000,10746000
84,CAPEX,-4100000,-5100000,-4100000,-2019096,-1673411,-4684278,-5329166,-3568000,-2301153,-1686860,-878000,-1713000,-834000,-450000,-1174000,-1090000,-8000,-490000,-1467000,-1256000,-347000,-1317000,-6878000,-6200000,-12472000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1003409,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6759000,-1271000,-3931000,-41590000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,100000,100000,13972,45425,-577820,1639808,79000,5887428,270919,625000,671000,-834000,-450000,-1174000,-860000,12000,-490000,-1434000,-1256000,-339000,-1315000,-6878000,-6200000,-12470000
89,Cash Used for Investing Activites,-4000000,-5000000,-4000000,-2005124,-1627986,-5262098,-4692767,-3497000,3586275,-1415941,-253000,-1042000,-834000,-450000,-1174000,-860000,12000,-490000,-1434000,-1256000,-339000,-8074000,-8149000,-10131000,-54060000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20264000,-30273000,-34014000,-29085000,-22732000,-16334000,-8805000,-12367000,-15364000,-8007000,-29659000,-27491000,-4639000
91,Common Stock Issued,- -,9600000,- -,25225,11195,16655,38780,- -,5313,94470,79000,14000,- -,- -,4606000,128000,- -,- -,- -,- -,- -,- -,- -,- -,48971000
92,Common Stock Repurchased,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3000000,-5900000,3200000,1075100,-2505607,3680235,2354492,311000,-2842190,-2082019,-1174000,-2085000,18788000,28815000,31068000,27793000,21785000,14821000,7592000,12511000,14515000,12933000,35864000,37132000,154500000
95,Cash Used/Provided by Financing Activities,2700000,3700000,3200000,1100325,-2494412,3696890,2393272,311000,-2836877,-1987549,-1095000,-2071000,-1476000,-1458000,1660000,-1164000,-947000,-1513000,-1213000,144000,-849000,4926000,6205000,9641000,198832000
96,Effect of Forex Changes on Cash,- -,- -,- -,-2815,-9281,-15065,-93352,-253000,273232,-47642,-390000,13000,258000,19000,-33000,-18000,-1000,-4000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2700000,3700000,700000,-1446774,-103897,452226,552347,-605000,481380,392797,1190000,-2502000,535000,552000,1541000,-2242000,583000,-323000,-543000,-52000,48000,339000,-167000,800000,155518000
98,Cash at the End of Period,- -,- -,1900000,477635,373738,825964,1378311,773000,1254269,1647066,2837000,335000,870000,1422000,2963000,721000,1304000,981000,438000,386000,434000,773000,606000,1406000,156924000
99,Cash at the Beginning of Period,600000,200000,1200000,1924409,477635,373738,825964,1378000,772889,1254269,1647000,2837000,335000,870000,1422000,2963000,721000,1304000,981000,438000,386000,434000,773000,606000,1406000
100,Free Cash Flow,-3300000,-2700000,-2500000,-2558256,2354371,-2651779,-2383972,-734000,-2842403,2157069,2050000,-1115000,1753000,1991000,-86000,-1290000,1511000,1194000,637000,-196000,889000,2170000,-5101000,-4910000,-1726000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/720154/000092794698000098/0000927946-98-000098-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794699000155/0000927946-99-000155-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794600000170/0000927946-00-000170-index.html,https://www.sec.gov/Archives/edgar/data/720154/000092794601500120/0000927946-01-500120-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720154/000114420407069371/0001144204-07-069371-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420409001832/v135563_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420410001851/v171119_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420411001921/v206229_10k.htm,https://www.sec.gov/Archives/edgar/data/720154/000114420411072098/0001144204-11-072098-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420412070192/0001144204-12-070192-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420413069445/0001144204-13-069445-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420414076134/0001144204-14-076134-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420415072763/0001144204-15-072763-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420416141558/0001144204-16-141558-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420417065076/0001144204-17-065076-index.html,https://www.sec.gov/Archives/edgar/data/720154/000114420418066005/0001144204-18-066005-index.html,https://www.sec.gov/Archives/edgar/data/720154/000110465919076191/0001104659-19-076191-index.html,https://www.sec.gov/Archives/edgar/data/720154/000110465920138651/0001104659-20-138651-index.htm,https://www.sec.gov/Archives/edgar/data/720154/000155837021016976/0001558370-21-016976-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
