,https://roic.ai/company/DGII,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,300000,1000000,2500000,7300000,7100000,10900000,18500000,31700000,40200000,33500000,68300000,79800000,42455380,45744714,94526316,48754437,45197000,86918000,118696000,114227000,138247000,136293000,123263000,121661000,119515000,150649000,142778000,140175000,140521000,170829000,208081000,206151000,358624000,372873000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4400000,7500000,21400000,53200000,66500000,88900000,102800000,126000000,129900000,118300000,160700000,176300000,142922195,139452576,180827695,132539584,150465000,177631000,225321000,251826000,271416000,258948000,266965000,283895000,293084000,299953000,290459000,300360000,336166000,345189000,371125000,398698000,528682000,619531000
48,Accounts Payable,- -,- -,500000,1400000,1900000,3300000,3900000,12100000,12500000,10100000,15300000,10800000,6275995,6012296,6591235,5741739,4945000,6272000,6748000,6554000,10343000,5567000,7449000,6492000,6040000,8906000,10451000,6723000,8569000,6240000,12911000,21183000,28067000,22586000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,5100000,3478205,938400,891220,1982716,- -,414000,381000,379000,267000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4499000,2633000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1269000,- -,- -,828000,167000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675730,1092848,896000,370000,274000,190000,353000,- -,- -,- -,- -,- -,- -,- -,- -,1343000,2579000,5025000,7691000,13589000
52,Other Current Liabilities,1500000,1700000,500000,900000,2100000,5100000,7700000,8100000,7500000,12700000,28200000,20600000,12627396,12524078,15481622,17173877,17337000,13662000,15881000,14773000,9970000,10967000,14148000,12994000,12152000,12384000,11303000,16466000,15239000,10397000,19485000,18250000,20973000,20133000
53,Total Current Liabilities,1500000,1700000,1000000,2300000,4000000,8400000,11600000,20200000,20000000,22800000,54500000,36500000,22381596,19474774,23639807,25991180,23178000,20718000,23284000,21896000,20933000,16534000,21597000,19486000,18192000,21290000,21754000,23189000,23808000,17980000,34975000,44458000,61230000,58941000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,9200000,7081396,5499226,4988591,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58980000,64167000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,- -,1561155,1019676,684982,208000,2195000,7482000,6667000,7582000,9224000,1457000,813000,630000,415000,272000,135000,616000,534000,334000,261000,17171000,13493000
57,Other Non-Current Liabilities,-100000,- -,100000,100000,- -,- -,100000,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,1181000,725000,358000,10967000,792000,3355000,2880000,3405000,3982000,3135000,2098000,11713000,7531000,5536000,5001000,19801000,10413000
58,Total Non-Current Liabilities,-100000,- -,100000,100000,- -,- -,100000,- -,- -,- -,11400000,12600000,7081396,7060381,6008267,684982,208000,3376000,8207000,7025000,18549000,12828000,4812000,3693000,4035000,4397000,3407000,2233000,12329000,8065000,5870000,5262000,95952000,88073000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1181000,725000,358000,78000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18720000,21001000
61,Total Liabilities,1400000,1700000,1100000,2400000,4000000,8400000,11700000,20200000,20000000,22800000,65900000,49100000,29462992,26535155,29648074,26676162,23386000,24094000,31491000,28921000,39482000,29362000,26409000,23179000,22227000,25687000,25161000,25422000,36137000,26045000,40845000,49720000,157182000,147014000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,163229,164256,231541,232123,247000,255000,277000,281000,283000,284000,287000,291000,293000,303000,307000,315000,325000,330000,338000,346000,355000,407000
64,Retained Earnings,1800000,4600000,9700000,17700000,29100000,45600000,62300000,81600000,90900000,75100000,52500000,78200000,61409861,59626557,46841711,9567582,18231000,35896000,47009000,66782000,78625000,82708000,91649000,102668000,110283000,116088000,117816000,124404000,141112000,150478000,151748000,161919000,170330000,180692000
65,Other Comprehensive Income/Loss,-200000,-300000,-700000,-1300000,-2100000,-3400000,-5000000,-7400000,-11200000,-13800000,-18000000,-25500000,-29917601,-30681533,-29994885,-651765,333000,639000,940000,2121000,-1897000,-6527000,-9589000,-10457000,-13725000,-15590000,-18277000,-22613000,-24691000,-22659000,-23526000,-25515000,-23817000,-22746000
66,Other Total Stockholders Equity,1400000,1500000,11300000,34400000,35500000,38300000,33800000,31600000,30200000,34200000,60300000,74300000,81803714,83808141,134101254,96715482,108268000,116747000,145604000,153721000,154923000,153121000,158209000,168214000,174006000,173465000,165452000,172832000,183283000,190995000,201720000,212228000,224632000,314164000
67,Total Stockholders Equity,3000000,5800000,20300000,50800000,62500000,80500000,91100000,105800000,109900000,95500000,94800000,127200000,113459203,112917421,151179621,105863422,127079000,153537000,193830000,222905000,231934000,229586000,240556000,260716000,270857000,274266000,265298000,274938000,300029000,319144000,330280000,348978000,371500000,472517000
68,Total Liabilities And Stockholders Equity,4400000,7500000,21400000,53200000,66500000,88900000,102800000,126000000,129900000,118300000,160700000,176300000,142922195,139452576,180827695,132539584,150465000,177631000,225321000,251826000,271416000,258948000,266965000,283895000,293084000,299953000,290459000,300360000,336166000,345189000,371125000,398698000,528682000,619531000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4400000,7500000,21400000,53200000,66500000,88900000,102800000,126000000,129900000,118300000,160700000,176300000,142922195,139452576,180827695,132539584,150465000,177631000,225321000,251826000,271416000,258948000,266965000,283895000,293084000,299953000,290459000,300360000,336166000,345189000,371125000,398698000,528682000,619531000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/854775/000091205796030480/0000912057-96-030480-index.html,https://www.sec.gov/Archives/edgar/data/854775/0001047469-97-008896-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/854775/000095012400007610/0000950124-00-007610-index.html,- -,https://www.sec.gov/Archives/edgar/data/854775/000095013402015996/0000950134-02-015996-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013403016603/0000950134-03-016603-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013404018279/0000950134-04-018279-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013405022750/0000950134-05-022750-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013706013293/0000950137-06-013293-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013707018240/0000950137-07-018240-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013708014268/0000950137-08-014268-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095012309067970/0000950123-09-067970-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095012310109326/0000950123-10-109326-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095012311100985/0000950123-11-100985-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477512000012/0000854775-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477513000020/0000854775-13-000020-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477514000021/0000854775-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477515000019/0000854775-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477516000039/0000854775-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477517000020/0000854775-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477518000020/0000854775-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477519000022/0000854775-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477520000032/0000854775-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477521000018/0000854775-21-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5000000,8000000,11400000,14900000,16700000,19300000,9300000,-15800000,-22700000,3200000,-16824680,-1783304,-12784846,-37274129,8663000,17665000,11113000,19773000,12351000,4083000,8941000,11019000,7615000,5805000,1751000,6588000,16708000,9366000,1303000,9958000,8411000,10366000
74,Depreciation and Amortization,- -,- -,400000,1300000,1700000,1900000,2600000,3400000,6300000,6700000,7700000,18800000,12759716,9898069,11568152,10302848,8597000,8870000,10566000,10165000,9318000,10057000,10133000,9177000,7815000,7877000,7146000,5859000,4614000,5497000,12270000,13396000,19299000,20877000
75,Deferred Income Tax,- -,- -,- -,- -,100000,-300000,-100000,-100000,-400000,-1800000,-800000,-2100000,-5234720,-2198879,-135804,-2598133,1448000,1052000,1700000,-115000,-1624000,-2714000,-3656000,-1205000,-2452000,-2055000,-2783000,-769000,1115000,-2108000,-508000,-799000,-3357000,-4598000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3518000,3371000,3444000,3727000,3773000,4330000,4301000,3654000,4659000,4854000,5655000,7237000,8135000
77,Change in Working Capital,- -,- -,-2500000,11800000,14200000,3100000,1400000,-4400000,-7700000,-24100000,22100000,18085219,-3852131,-11571516,-4867605,24296033,-12095000,13346000,32362000,-3467000,-6115000,15984000,20643000,12629000,-27363000,-2087000,11069000,34841000,-15457000,-28311000,20020000,-39261000,78889000,13550000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5384000,-6525000,-2756000,-343000,-2368000,-2730000,-1794000,-1188000,833000,-17002000,-6589000,5539000,11467000
79,Inventory,- -,- -,-800000,-900000,-2400000,-4900000,-9800000,-4000000,-7800000,3800000,-600000,-1600000,898344,82498,2506337,835279,-385000,-602000,-2883000,-4448000,-3093000,2695000,-891000,623000,-1958000,-2972000,-5966000,-1913000,3993000,-4484000,-9186000,-1062000,-11133000,4679000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4561000,1486000,-1227000,-1759000,1413000,970000,-3769000,1612000,-3536000,2728000,8232000,3205000,-5578000
81,Other Working Capital,- -,- -,43600000,55400000,69600000,72700000,74100000,69700000,62000000,37900000,60000000,78085219,74233088,62661572,57793967,82090000,69995000,83341000,115703000,112236000,106121000,122105000,142748000,155377000,128014000,125927000,136996000,171837000,156380000,128069000,148089000,108828000,187717000,- -
82,Other Non-Cash Items,- -,- -,100000,-14500000,-20300000,-5600000,-18000000,-2500000,-9200000,71700000,4100000,-4685219,40515482,16128425,16554338,21060188,12708000,-22877000,-35305000,23000,10140000,-15242000,-23337000,-13225000,25785000,-1565000,-19704000,-36746000,16455000,13372000,-40717000,40015000,-76001000,9393000
83,Cash Provided by Operating Activities,- -,- -,3000000,6600000,7100000,14000000,2600000,15700000,-1700000,36700000,10400000,33300000,27363667,10472795,10334235,15786807,19321000,18056000,20436000,26379000,24070000,15686000,16095000,21839000,15127000,11748000,1809000,14074000,27089000,2475000,-2778000,28964000,34478000,57723000
84,CAPEX,- -,- -,-2300000,-2200000,-1200000,-4200000,-3900000,-9600000,-12900000,-8800000,-33200000,-4800000,-2544171,-1625576,-1317348,-1691217,-1293000,-1329000,-1331000,-2899000,-4425000,-3873000,-2975000,-2736000,-3953000,-2886000,-3421000,-4500000,-2729000,-1773000,-1842000,-9335000,-899000,-2257000
