,https://roic.ai/company/AXTI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,26400000,40865000,63401000,82573000,39982000,21795000,19045000,17306000,12775000,15986000,22184000,20853000,24240000,34282000,37235000,37621000,33862000,31422000,27805000,46530000,82280000,100341000,118508000,144739000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,2244000,848000,1107000,136000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1048000,1124000,1682000,- -
41,Intangible Assets,- -,2244000,848000,1107000,136000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1048000,1124000,1682000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7172000,8981000,9191000,10145000,7783000,7691000,6156000,12576000,9139000,5961000,12102000,9576000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1405000,3312000,11063000,25969000,13265000,12047000,11282000,11448000,11942000,8446000,6199000,11884000,16122000,14691000,16516000,16679000,15895000,12999000,11573000,2517000,2718000,2052000,17941000
45,Total Non-Current Assets,26400000,44514000,67561000,94743000,66087000,35060000,31092000,28588000,24223000,27928000,30630000,27052000,43296000,59385000,61117000,64282000,58324000,55008000,46960000,70679000,94984000,110144000,134344000,172256000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,75000000,115762000,250220000,235260000,145667000,107023000,87540000,74798000,98332000,112772000,111662000,107946000,140251000,162488000,167589000,163822000,161517000,151896000,154246000,211200000,223524000,223349000,298862000,332441000
48,Accounts Payable,3500000,10794000,10009000,2943000,4228000,2638000,1895000,3070000,3764000,4328000,6657000,5571000,7094000,3286000,5894000,8140000,7137000,6460000,6691000,11445000,13338000,10098000,12669000,16649000
49,Short-Term Debt,1700000,12528000,11765000,6708000,4528000,3694000,450000,300000,450000,450000,3086000,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6066000,10856000,14116000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000,221000,- -,- -,640000,125000,119000,225000,203000,665000,360000,221000,1055000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924000,1476000,396000,374000,- -
52,Other Current Liabilities,2300000,7464000,20498000,13670000,11406000,8296000,8242000,6493000,3536000,4716000,4453000,4566000,7745000,7597000,7202000,7286000,7634000,6381000,6359000,10225000,13895000,10966000,15176000,17057000
53,Total Current Liabilities,7500000,30786000,42272000,23321000,20162000,14628000,10587000,9863000,7750000,9494000,14196000,10213000,14839000,10883000,13096000,15426000,14771000,12841000,13050000,22594000,28709000,27526000,39075000,47822000
54,Long-Term Debt,16300000,22517000,22401000,14342000,13289000,8842000,7600000,7420000,6839000,6250000,496000,420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2374000,1935000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,200000,11275000,6559000,1255000,1336000,1897000,2543000,3778000,3306000,62000,5608000,4556000,3579000,2850000,2058000,1494000,905000,289000,283000,3061000,49444000,52838000
58,Total Non-Current Liabilities,16300000,22517000,22601000,25617000,19848000,10097000,8936000,9317000,9382000,10028000,3802000,482000,5608000,4556000,3579000,2850000,2058000,1494000,905000,289000,283000,3061000,51818000,54773000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,4847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3014000,2819000,1935000
61,Total Liabilities,23800000,53303000,64873000,48938000,40010000,24725000,19523000,19180000,17132000,19522000,17998000,10695000,20447000,15439000,16675000,18276000,16829000,14335000,13955000,22883000,28992000,30587000,90893000,102595000
62,Preferred Stock,- -,- -,- -,- -,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000,3532000
63,Common Stock,- -,19000,145748000,153635000,154485000,155178000,155454000,23000,29000,30000,30000,30000,32000,32000,32000,32000,32000,32000,33000,39000,39000,41000,42000,43000
64,Retained Earnings,15900000,12370000,33980000,28984000,-52197000,-78928000,-92561000,-104776000,-103832000,-98543000,-99232000,-101130000,-82477000,-62157000,-59047000,-67005000,-68393000,-70621000,-64985000,-54837000,-45183000,-47783000,-44545000,-29970000
65,Other Comprehensive Income/Loss,-5900000,-14859000,-17568000,-23147000,-163000,2516000,1592000,1398000,535000,2282000,2580000,4300000,4652000,5818000,6033000,8953000,7673000,4382000,253000,3407000,-1972000,-4862000,3209000,6302000
