,https://roic.ai/company/OTTR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,206700000,247200000,279500000,299000000,316200000,382288000,435381000,489318000,594914000,715734000,834059000,890147000,1002941000,1109946000,189953000,202234000,196053000,123105000,123126000,116662000,113896000,127975000,130838000,141795000,144653000,154122000,174361000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000000,268900000,303500000,335300000,373800000,397200000,486955000,576648000,628134000,682079000,807888000,948814000,1007157000,1138113000,1238205000,994122000,1064831000,1021948000,776780000,796462000,699731000,670590000,692440000,723216000,787058000,784623000,742221000,947136000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28514000,37032000,35818000,31905000,26978000,29648000,31160000,31886000,29604000,30408000,31411000,34447000,37771000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73608000,80696000,70000000,59764000,59885000,58074000,60363000,73445000,72545000,74666000,78086000,82037000,91358000
15,EBITDA,24700000,24000000,21600000,25300000,25300000,24900000,26100000,26500000,27400000,44400000,45500000,44000000,46600000,49600000,68900000,57739000,63686000,66189000,54586000,59199000,90518000,78218000,81929000,50162000,123548000,120335000,94662000,88529000,151271000,162002000,172510000,187733000,201631000,202007000,213785000,232541000,341950000
16,EBITDA ratio,0.1415,0.1394,0.1293,0.1420,0.1464,0.1443,0.1452,0.1265,0.1033,0.1544,0.1385,0.1216,0.1182,0.1151,0.1483,0.1032,0.0974,0.0932,0.0725,0.0671,0.0865,0.0708,0.0661,0.0383,0.1189,0.1075,0.0878,0.1030,0.1693,0.2027,0.2212,0.2336,0.2374,0.2204,0.2325,0.2613,0.2857
17,Operating Income,174500000,172200000,167000000,178200000,172800000,172500000,179700000,209500000,265200000,56500000,59700000,58200000,59000000,57300000,67300000,72490000,77484000,81982000,71160000,74436000,97594000,97797000,100774000,72992000,45390000,34513000,52289000,82027000,96851000,99531000,109214000,111099000,126134000,129389000,134880000,147886000,249708000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1965,0.1817,0.1609,0.1496,0.1329,0.1449,0.1296,0.1185,0.1154,0.0945,0.0844,0.0933,0.0885,0.0813,0.0557,0.0437,0.0308,0.0485,0.0955,0.1084,0.1245,0.1401,0.1383,0.1485,0.1412,0.1467,0.1661,0.2086
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-12100000,-14200000,-14200000,-12400000,-11500000,1600000,-14751000,-13798000,-15793000,-16574000,-17452000,-16772000,-19941000,-18845000,-22830000,-23964000,-31906000,-33082000,-40926000,-33134000,-26091000,-28983000,-28981000,-26972000,-32456000,-30592000,-31829000,-36887000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,44400000,45500000,44000000,46600000,45800000,68900000,57739000,63686000,66189000,54586000,56984000,80822000,77856000,81929000,50162000,21426000,2607000,19207000,41101000,63717000,73440000,80231000,82118000,99162000,96933000,104288000,116057000,212821000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1544,0.1385,0.1216,0.1182,0.1062,0.1483,0.1032,0.0974,0.0932,0.0725,0.0646,0.0772,0.0705,0.0661,0.0383,0.0206,0.0023,0.0178,0.0478,0.0713,0.0919,0.1029,0.1022,0.1168,0.1058,0.1134,0.1304,0.1778
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,16600000,14000000,14300000,15100000,23900000,17515000,20083000,20061000,14930000,17004000,27967000,27106000,27968000,15037000,-4605000,3951000,2087000,2133000,13543000,16557000,21642000,20081000,27043000,14588000,17441000,20206000,36052000
23,Net Income,24700000,24000000,21600000,25300000,25300000,24900000,26100000,26500000,27400000,28500000,28900000,30000000,32300000,34500000,45000000,40224000,43603000,46128000,39656000,42195000,62551000,51112000,53961000,35125000,26031000,-1344000,-13243000,-5273000,50865000,57723000,59345000,62321000,72439000,82345000,86847000,95851000,176769000
24,Net Income ratio,0.1415,0.1394,0.1293,0.1420,0.1464,0.1443,0.1452,0.1265,0.1033,0.0991,0.0879,0.0829,0.0819,0.0800,0.0969,0.0719,0.0667,0.0650,0.0526,0.0478,0.0598,0.0463,0.0436,0.0268,0.0250,-0.0012,-0.0123,-0.0061,0.0569,0.0722,0.0761,0.0776,0.0853,0.0899,0.0944,0.1077,0.1477
25,EPS,0.22,0.23,0.20,0.48,0.48,0.50,0.54,0.55,0.56,1.17,1.19,1.24,1.29,1.36,0.90,1.61,1.69,1.80,1.52,1.59,2.12,1.71,1.79,1.09,0.71,-0.06,-0.40,-0.17,1.39,1.58,1.58,1.62,1.84,2.08,2.19,2.35,1.24
26,EPS Diluted,0.22,0.23,0.20,0.48,0.48,0.50,0.54,0.55,0.56,1.17,1.19,1.24,1.29,1.36,0.90,1.60,1.68,1.79,1.51,1.58,2.11,1.70,1.78,1.09,0.71,-0.06,-0.40,-0.17,1.39,1.57,1.58,1.61,1.82,2.06,2.17,2.34,1.23
27,Weighted Average Shares Outstanding,23912000,23920000,23936000,23936000,23590000,22446000,22370000,22360000,22360000,22360000,22360000,22364000,23278000,23596000,47662000,23850000,24600000,25176000,25673000,26089000,29223000,29394000,29681000,31409000,35463097,35783555,35922155,36047984,36151364,36514397,37494986,38546459,39457261,39599944,39720847,40710000,41504000
28,Weighted Average Shares Outstanding Diluted,23912000,23920000,23936000,23936000,23590000,22446000,22370000,22360000,22360000,22360000,22360000,22364000,23278000,23596000,47662000,23928000,24832000,25397000,25826000,26207000,29348000,29664000,29970000,31673000,35716981,35783555,35922155,36242224,36354947,36752559,37668026,38731010,39748347,39892196,39953826,40905000,41869000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466593/000095012310018165/0000950123-10-018165-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000115752311001197/0001157523-11-001197-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000115752312001147/0001157523-12-001147-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000118811213000505/0001188112-13-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000118811214000558/0001188112-14-000558-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104915001534/0001571049-15-001534-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104916012346/0001571049-16-012346-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104917001533/0001571049-17-001533-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774918002843/0001437749-18-002843-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774919003150/0001437749-19-003150-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774920003157/0001437749-20-003157-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000146659321000011/0001466593-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000146659322000010/0001466593-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1900000,1200000,5300000,3900000,24800000,1259000,11378000,9937000,7305000,- -,5430000,6791000,39824000,7565000,4432000,- -,14652000,52362000,1150000,- -,- -,- -,16216000,861000,21199000,1163000,1537000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1900000,1200000,5300000,3900000,24800000,1259000,11378000,9937000,7305000,- -,5430000,6791000,39824000,7565000,4432000,- -,14652000,52362000,1150000,- -,- -,- -,16216000,861000,21199000,1163000,1537000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,32200000,39500000,37600000,40100000,48100000,46300000,62828000,69262000,83136000,115464000,131214000,161687000,183660000,208614000,202215000,154679000,157656000,183631000,118218000,115582000,91347000,93916000,94834000,99835000,110950000,109118000,113959000,174953000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,19500000,22700000,27000000,27600000,26500000,30100000,38517000,39301000,44154000,56966000,77296000,88677000,103002000,97214000,101955000,86515000,95016000,77983000,69336000,72681000,85203000,85416000,83740000,88034000,106270000,97851000,92165000,148490000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,14700000,14500000,12800000,20300000,18700000,21613000,23953000,26986000,33374000,65014000,49381000,41900000,55000000,81276000,104397000,116760000,123330000,83716000,61177000,130599000,27357000,29441000,35042000,23339000,26692000,27545000,44374000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,65400000,78800000,80300000,85800000,98800000,119900000,124217000,143894000,164213000,213109000,273524000,305175000,335353000,400652000,393011000,350023000,369432000,399596000,323632000,250590000,307149000,206689000,208015000,239127000,241420000,254860000,234832000,369354000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,457300000,477700000,519900000,509700000,500200000,503000000,515929000,542977000,587886000,633325000,682098000,697091000,718609000,854024000,1037569000,1098627000,1108651000,1077549000,1049452000,1167016000,1268530000,1387814000,1477225000,1539603000,1581098000,1775645000,2049273000,2124605000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106778000,94066000,39406000,38971000,38971000,31488000,39732000,37572000,37572000,37572000,37572000,37572000,37572000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33887000,27132000,15286000,14305000,13328000,11251000,15673000,14958000,13765000,12450000,11290000,10144000,9044000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18900000,22000000,20900000,21200000,23300000,43292000,49805000,70149000,79652000,111888000,119270000,118190000,119698000,142219000,140665000,121198000,54692000,53276000,52299000,42739000,55405000,52530000,51337000,50022000,48862000,47716000,46616000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9889000,9708000,11093000,9471000,9362000,8582000,8284000,8417000,8629000,8961000,9894000,51856000,56690000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,56300000,33800000,40100000,39000000,35400000,34600000,38677000,45865000,56488000,60337000,66638000,59960000,86498000,80380000,119788000,155474000,161566000,157592000,166506000,116752000,164279000,162712000,166198000,165582000,171016000,184334000,194677000,157565000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,513600000,530400000,582000000,569600000,556800000,560900000,597898000,638647000,714523000,773314000,860624000,876321000,923297000,1054102000,1299576000,1404655000,1401123000,1300926000,1278705000,1345429000,1484130000,1614215000,1704370000,1765151000,1811097000,2018735000,2343522000,2385476000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,609200000,662300000,655400000,655600000,680800000,722115000,782541000,878736000,986423000,1134148000,1181496000,1258650000,1454754000,1692587000,1754678000,1770555000,1700522000,1602337000,1596019000,1791279000,1820904000,1912385000,2004278000,2052517000,2273595000,2578354000,2754830000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,22500000,27800000,26600000,28400000,32400000,39300000,48808000,54777000,52430000,83338000,86631000,106570000,120195000,141390000,113422000,83724000,123095000,115514000,88406000,113457000,107013000,89499000,89350000,84185000,96291000,120775000,130805000,135089000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66638000,80094000,3033000,176000,51383000,11055000,133216000,76084000,112557000,18771000,6183000,221084000,121146000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18831000,19245000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16204000,13707000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,35400000,39500000,92100000,38300000,30800000,38000000,40019000,56015000,71794000,79041000,94882000,80409000,95262000,152569000,191322000,56680000,61401000,68957000,68342000,54345000,83631000,48523000,50237000,59911000,55031000,62783000,84897000,131464000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,57900000,67300000,118700000,66700000,63200000,77300000,88827000,110792000,124224000,162379000,181513000,186979000,215457000,293959000,304744000,207042000,264590000,187504000,173128000,232892000,201699000,271238000,215671000,256653000,170093000,189741000,436786000,387699000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,162200000,168300000,160500000,190000000,181000000,176400000,191493000,227360000,258229000,265193000,263642000,258260000,255436000,342694000,339726000,436170000,435446000,471915000,421680000,389589000,498489000,445945000,505341000,490380000,590002000,689581000,624432000,734014000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,117100000,120400000,118300000,116300000,108500000,104300000,101272000,99526000,106929000,113226000,132082000,123064000,120921000,122574000,157374000,202966000,218706000,210446000,203086000,223891000,257194000,232175000,249440000,121880000,140950000,150567000,170781000,204929000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221504000,204450000,243709000,266969000,214817000,261131000,266523000,271829000,438473000,422609000,462224000,475389000,437411000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,279300000,288700000,278800000,306300000,289500000,280700000,292765000,326886000,365158000,378419000,395724000,381324000,376357000,465268000,497100000,860640000,858602000,926070000,891735000,828297000,1016814000,944643000,1026610000,1050733000,1153561000,1302372000,1270602000,1376354000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000000,607600000,590400000,646000000,618000000,605000000,633174000,703827000,790705000,853076000,903649000,894653000,912025000,1087916000,1193425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22329000,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,363600000,386200000,430300000,406400000,391700000,401600000,429236000,487733000,549771000,637036000,689438000,700308000,751125000,916607000,1001069000,1067682000,1123192000,1113574000,1064863000,1061189000,1218513000,1215881000,1242281000,1307386000,1323654000,1492113000,1707388000,1764053000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,55900000,55900000,56100000,58700000,59400000,119300000,119264000,123267000,127961000,128619000,144885000,147006000,147609000,149249000,176923000,179061000,180014000,180509000,180842000,181358000,186090000,189286000,196741000,197787000,198324000,200788000,207349000,207758000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,90400000,98000000,105900000,115900000,125500000,126700000,140512000,156641000,175304000,186495000,199427000,228515000,245005000,263332000,260364000,243352000,198443000,141248000,92221000,99441000,112903000,126025000,139479000,161286000,190433000,222341000,257878000,369783000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-287900000,-308200000,-327700000,-350600000,-370300000,-386600000,-410188000,-441863000,-467759000,-453791000,-440650000,-459438000,-479557000,-506744000,-548070000,-1000000,1000000,-3000000,-4000000,-2000000,-5000000,-4000000,-4000000,-6000000,-4000000,-6000000,-8507000,-6524000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,357000000,377300000,397700000,425000000,449300000,419800000,443291000,456763000,477959000,472564000,525548000,549605000,578968000,616810000,786801000,250083000,252406000,252691000,252911000,256031000,278773000,293712000,337884000,343819000,344106000,364353000,414246000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,215400000,223000000,232000000,249000000,263900000,279200000,292879000,294808000,328965000,349387000,444710000,481188000,507525000,538147000,691518000,686996000,647363000,586948000,537474000,534830000,572766000,605023000,670104000,696892000,728863000,781482000,870966000,990777000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,609200000,662300000,655400000,655600000,680800000,722115000,782541000,878736000,986423000,1134148000,1181496000,1258650000,1454754000,1692587000,1754678000,1770555000,1700522000,1602337000,1596019000,1791279000,1820904000,1912385000,2004278000,2052517000,2273595000,2578354000,2754830000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,609200000,662300000,655400000,655600000,680800000,722115000,782541000,878736000,986423000,1134148000,1181496000,1258650000,1454754000,1692587000,1754678000,1770555000,1700522000,1602337000,1596019000,1791279000,1820904000,1912385000,2004278000,2052517000,2273595000,2578354000,2754830000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466593/000095012310018165/0000950123-10-018165-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000115752311001197/0001157523-11-001197-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000115752312001147/0001157523-12-001147-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000118811213000505/0001188112-13-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000118811214000558/0001188112-14-000558-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104915001534/0001571049-15-001534-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104916012346/0001571049-16-012346-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104917001533/0001571049-17-001533-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774918002843/0001437749-18-002843-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774919003150/0001437749-19-003150-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774920003157/0001437749-20-003157-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000146659321000011/0001466593-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000146659322000010/0001466593-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,28900000,30000000,32300000,34500000,45000000,40224000,43603000,46128000,39656000,42195000,62551000,51112000,53961000,35125000,26031000,-1344000,-13243000,-5273000,50865000,57723000,59345000,62321000,72439000,82345000,86847000,95851000,176769000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73608000,80696000,70000000,59764000,59885000,58074000,60363000,73445000,72545000,74666000,78086000,82037000,91358000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,800000,-5300000,-3200000,-6300000,-3800000,-4530000,-1441000,2669000,3078000,3854000,-9223000,-1258000,4366000,40665000,42461000,5886000,10906000,9368000,13977000,26300000,24149000,17467000,22531000,17819000,10159000,13980000,28152000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3563000,2923000,2177000,1311000,1456000,1783000,1716000,3178000,3642000,4441000,5958000,6284000,6908000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,4000000,-49900000,57500000,16500000,7000000,-7210000,-2288000,6887000,10741000,41281000,26185000,1700000,-13203000,-18426000,54714000,-38139000,107250000,-61588000,-132806000,87752000,-169999000,56893000,-9870000,88853000,-6208000,-267073000,-58087000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12500000,-14345000,8407000,-743000,16344000,-8022000,-5974000,-687000,-3345000,-12577000,1960000,1874000,-4294000,-18236000,8419000,5686000,-54313000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34490000,- -,- -,30056000,11321000,10296000,-15150000,11941000,-2667000,14997000,-171000,19744000,38734000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,11500000,-38400000,19100000,35600000,42600000,35390000,33102000,39989000,50730000,92011000,118196000,119896000,106693000,88267000,142981000,104842000,212092000,150504000,17698000,105450000,-64549000,-7656000,-17526000,71327000,65119000,-201954000,7101000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,24400000,92300000,-17200000,19300000,30100000,31796000,37655000,21113000,23480000,-27406000,16287000,28692000,39688000,53957000,-37627000,54995000,-72707000,229965000,154404000,-119158000,141966000,-49918000,12290000,-124676000,10195000,280842000,-13857000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,51800000,58100000,67100000,69400000,64000000,78300000,60280000,77529000,76797000,76955000,59924000,95800000,80246000,84812000,111321000,162750000,105017000,104383000,233547000,147781000,112474000,117540000,163386000,173577000,143448000,185037000,211921000,231243000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30700000,-42900000,-74000000,-42000000,-30700000,-32700000,-44035000,-53596000,-75533000,-50734000,-49792000,-59969000,-69448000,-161985000,-265888000,-177125000,-85589000,-73677000,-115762000,-164463000,-163582000,-160084000,-161259000,-132913000,-105425000,-207365000,-371553000,-171829000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-34194000,-8948000,-6591000,-12896000,-69069000,-11223000,- -,-6750000,-41674000,- -,- -,- -,42229000,12842000,- -,-30806000,1500000,- -,- -,- -,- -,- -
