,https://roic.ai/company/MX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),34565000,57236000,57159000,60311000,76119000,32423000,- -,24984000,22600000,20360000,16289000,16268000,16238000,21559000,22282000,22627000,18147000,1371000
14,Depreciation and Amortization,312717000,202929000,188560000,163434000,71960000,49473000,58395000,51224000,32390000,32726000,29989000,26490000,25416000,28146000,32048000,32729000,16481000,14239000
15,EBITDA,394247000,161083000,25667000,52334000,-257630000,930280000,140905000,106020000,196277000,-7147000,-69431000,-57196000,15783000,135796000,55079000,38277000,333365000,89579000
16,EBITDA ratio,0.3633,0.1718,0.0345,0.0660,-0.4282,1.6610,0.1829,0.1372,0.2395,-0.0097,-0.0994,-0.0903,0.0229,0.1998,0.0734,0.0483,0.6574,0.1889
17,Operating Income,44659000,-58378000,-213754000,-106368000,-27729000,16363000,91391000,72940000,105807000,-26768000,-77126000,-42934000,2737000,39236000,47418000,24423000,27016000,83407000
18,Operating Income ratio,0.0412,-0.0623,-0.2872,-0.1342,-0.0461,0.0292,0.1186,0.0944,0.1291,-0.0365,-0.1105,-0.0678,0.0040,0.0577,0.0631,0.0308,0.0533,0.1759
19,Total Other Income Expenses (Gains),2306000,-40704000,-6298000,-65043000,-286525000,824925000,-8881000,-43128000,35480000,-33465000,-38583000,-57020000,-28608000,46855000,-46669000,-41502000,-16185000,-9438000
20,Income Before Tax,46965000,-99082000,-220052000,-171411000,-314254000,841288000,82510000,29812000,141287000,-60233000,-115709000,-99954000,-25871000,86091000,749000,-17079000,10831000,73969000
21,Income Before Tax Ratio,0.0433,-0.1057,-0.2956,-0.2163,-0.5223,1.5021,0.1071,0.0386,0.1724,-0.0820,-0.1657,-0.1577,-0.0376,0.1267,0.0010,-0.0216,0.0214,0.1560
22,Income Tax expense (Gain),9553000,1816000,9258000,9139000,11585000,9241000,8390000,8019000,-52014000,3970000,1523000,-15087000,3744000,1155000,4649000,4747000,-46228000,17261000
23,Net Income,37412000,-100898000,-229310000,-180550000,-417294000,839143000,74120000,21793000,193301000,-64203000,-117232000,-84867000,-29615000,84936000,-3900000,-21826000,344965000,56708000
24,Net Income ratio,0.0345,-0.1076,-0.3081,-0.2279,-0.6936,1.4983,0.0962,0.0282,0.2359,-0.0874,-0.1679,-0.1339,-0.0430,0.1250,-0.0052,-0.0276,0.6803,0.1196
25,EPS,-0.51,-2.93,-6.35,-5.09,-11.38,22.01,1.96,0.56,5.29,-1.82,-3.44,-2.47,-0.85,2.50,-0.11,-0.64,9.80,1.26
26,EPS Diluted,-0.51,-2.93,-6.35,-5.09,-11.38,21.28,1.89,0.55,5.16,-1.82,-3.44,-2.47,-0.85,2.02,-0.11,-0.64,7.54,1.21
27,Weighted Average Shares Outstanding,37836256,37836256,37836256,37836256,37836256,37836256,37836256,38775642,36567684,35232194,34055513,34380517,34833967,33943264,34469921,34321888,35213525,44879412
28,Weighted Average Shares Outstanding Diluted,39144287,39144287,39144287,39144287,39144287,39144287,39144287,39774898,37496965,35232194,34055513,34380517,34833967,44755137,34469921,34321888,46503586,47709373
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1325702/000119312506069376/0001193125-06-069376-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312507069143/0001193125-07-069143-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312508070732/0001193125-08-070732-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1325702/000119312511071056/0001193125-11-071056-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312512102315/0001193125-12-102315-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312513070260/0001193125-13-070260-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312515046730/0001193125-15-046730-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312515204040/0001193125-15-204040-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312516470674/0001193125-16-470674-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312517050458/0001193125-17-050458-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312518054078/0001193125-18-054078-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312519048327/0001193125-19-048327-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312520044746/0001193125-20-044746-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312521073817/0001193125-21-073817-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312522050017/0001193125-22-050017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,58396000,86574000,89173000,64345000,4037000,64925000,172172000,162111000,182238000,153606000,102434000,90882000,83355000,128575000,132438000,151657000,279940000,279547000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,58396000,86574000,89173000,64345000,4037000,64925000,172172000,162111000,182238000,153606000,102434000,90882000,83355000,128575000,132438000,151657000,279940000,279547000
34,Net Receivables,159510000,121554000,83419000,129560000,76295000,74233000,121973000,126178000,144760000,84909000,83573000,95430000,67639000,96318000,121886000,122989000,68728000,76849000
35,Inventory,86169000,88677000,57846000,75867000,47110000,63407000,68435000,62836000,89363000,74698000,75334000,57619000,57048000,73073000,71611000,73267000,39039000,39370000
36,Other Current Assets,19877000,12985000,13626000,10951000,30536000,19491000,27127000,28771000,40465000,20949000,14695000,16303000,34651000,32294000,26810000,31452000,21903000,13354000
37,Total Current Assets,323952000,309790000,244064000,280723000,157978000,222056000,389707000,379896000,456826000,334162000,276036000,260234000,242693000,330260000,352745000,379365000,409610000,409120000
38,PP&E,581636000,- -,- -,- -,183955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101015000,112157000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,3360000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,211987000,191389000,139729000,104725000,34892000,50158000,27538000,16787000,11900000,3111000,2451000,2629000,3085000,4061000,3953000,4014000,2727000,- -
41,Intangible Assets,211987000,191389000,139729000,104725000,34892000,50158000,27538000,16787000,15260000,3111000,2451000,2629000,3085000,4061000,3953000,4014000,2727000,2377000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,46710000,896000,415000,238000,193000,264000,- -,- -,44541000,41095000
44,Other Non-Current Assets,36955000,539468000,386260000,322435000,22345000,181117000,208499000,205992000,271170000,287021000,248829000,214780000,195981000,224204000,226498000,211949000,13797000,18905000
45,Total Non-Current Assets,830578000,730857000,525989000,427160000,241192000,231275000,236037000,222779000,333140000,291028000,251695000,217647000,199259000,228529000,230451000,215963000,162080000,174534000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1154530000,1040647000,770053000,707883000,399170000,453331000,625744000,602675000,789966000,625190000,527731000,477881000,441952000,558789000,583196000,595328000,571690000,583654000
48,Accounts Payable,152625000,129279000,94822000,120638000,85198000,66895000,72909000,91300000,79236000,75059000,70767000,55476000,51509000,65940000,55631000,60879000,52164000,37593000
49,Short-Term Debt,- -,- -,- -,80000000,845000000,618000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83479000,2323000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11823000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18225000,27641000,8335000,6477000,1422000,44541000,- -
52,Other Current Liabilities,42054000,39070000,26627000,24477000,42289000,26051000,43240000,46339000,69059000,87036000,98506000,92810000,74291000,63867000,70551000,71532000,-6566000,45565000
53,Total Current Liabilities,194679000,168349000,121449000,225115000,972487000,93564000,116149000,137639000,148295000,162095000,169273000,166511000,153441000,138142000,132659000,133833000,173618000,85481000
54,Long-Term Debt,750000000,750000000,750000000,750000000,- -,61132000,246882000,201389000,201653000,223923000,224035000,224156000,221082000,303416000,303577000,304743000,83479000,1952000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,153979000,168782000,183145000,210247000,214482000,82945000,99862000,96977000,129709000,157631000,152925000,149544000,139543000,156868000,164270000,171733000,-31007000,43459000
58,Total Non-Current Liabilities,903979000,918782000,933145000,960247000,214482000,144077000,346744000,298366000,331362000,381554000,376960000,373700000,360625000,460284000,467847000,476476000,52472000,45411000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,8662000,2852000,- -,- -,- -,- -,- -,- -,- -,11482000,4853000,4275000
61,Total Liabilities,1098658000,1087131000,1054594000,1185362000,1186969000,237641000,462893000,436005000,479657000,543649000,546233000,540211000,514066000,598426000,600506000,610309000,226090000,130892000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,52533000,53092000,52721000,52844000,52923000,55135000,384000,394000,396000,406000,406000,411000,416000,426000,431000,439000,450000,559000
64,Retained Earnings,-19266000,-130092000,-370314000,-564449000,-995007000,-1963000,72157000,93950000,287251000,105889000,-11343000,-96210000,-125825000,-40889000,-36305000,-58131000,286834000,343542000
65,Other Comprehensive Income/Loss,-36265000,-218745000,-252814000,-367501000,151135000,-5388000,-42276000,-14000000,-41000000,-50000000,-35000000,-172546000,14000000,-33000000,-20000000,-3000000,3703000,-2230000
66,Other Total Stockholders Equity,58870000,249261000,285866000,401627000,- -,167906000,132586000,86326000,63662000,25246000,27435000,206015000,39295000,33826000,38564000,45711000,54613000,- -
67,Total Stockholders Equity,55872000,-46484000,-284541000,-477479000,-787799000,215690000,162851000,166670000,310309000,81541000,-18502000,-62330000,-72114000,-39637000,-17310000,-14981000,345600000,452762000
68,Total Liabilities And Stockholders Equity,1154530000,1040647000,770053000,707883000,399170000,453331000,625744000,602675000,789966000,625190000,527731000,477881000,441952000,558789000,583196000,595328000,571690000,583654000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1154530000,1040647000,770053000,707883000,399170000,453331000,625744000,602675000,789966000,625190000,527731000,477881000,441952000,558789000,583196000,595328000,571690000,583654000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1325702/000119312506069376/0001193125-06-069376-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312507069143/0001193125-07-069143-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312508070732/0001193125-08-070732-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1325702/000119312511071056/0001193125-11-071056-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312512102315/0001193125-12-102315-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312513070260/0001193125-13-070260-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312515046730/0001193125-15-046730-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312515204040/0001193125-15-204040-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312516470674/0001193125-16-470674-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312517050458/0001193125-17-050458-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312518054078/0001193125-18-054078-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312519048327/0001193125-19-048327-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312520044746/0001193125-20-044746-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312521073817/0001193125-21-073817-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312522050017/0001193125-22-050017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,37412000,-100898000,-229310000,-180550000,-417294000,839143000,74120000,21793000,193301000,-64203000,-117232000,-84867000,-29615000,84936000,-3900000,-21826000,344965000,56708000
74,Depreciation and Amortization,312717000,202929000,188560000,163434000,71960000,49473000,58395000,51224000,32390000,32726000,29989000,26490000,25416000,28146000,32048000,32729000,16481000,14239000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3324000,- -,- -,604000,465000,2432000,5239000,2085000,1996000,2213000,2072000,2768000,3843000,2336000,5213000,6952000,6699000,7704000
77,Change in Working Capital,-13035000,12168000,-18826000,-67007000,-870117000,943001000,145066000,-31301000,66274000,-136464000,-65304000,-13040000,-4471000,102866000,27968000,25446000,-9540000,-9005000
78,Accounts Receivable,-50337000,-25812000,44091000,-46504000,31025000,3513000,-41370000,-6234000,-7534000,26756000,-1668000,3299000,285000,-22210000,8294000,-19824000,-19268000,7505000
79,Inventory,18443000,-806000,37064000,-18398000,11174000,5576000,-3172000,4274000,-19066000,9593000,-3380000,12929000,-557000,-8077000,-30675000,-4210000,-816000,-5939000
80,Accounts Payable,61058000,-41141000,-54320000,20421000,-24950000,-31791000,3434000,11193000,-1838000,-3111000,-1526000,-12605000,-4163000,10320000,-8389000,7375000,3960000,-11437000
81,Other Working Capital,129273000,141441000,122615000,55608000,-814509000,128492000,273558000,242257000,308531000,172067000,106763000,93723000,89252000,192118000,220086000,245532000,235992000,980000
82,Other Non-Cash Items,-10962000,-10552000,90046000,59808000,1196598000,-1792588000,-176428000,60730000,-172858000,234483000,113006000,58672000,12458000,-236728000,-22093000,7196000,-351135000,18097000
83,Cash Provided by Operating Activities,329456000,103647000,30470000,-23711000,-18388000,41461000,106392000,104531000,121103000,68755000,-37469000,-9977000,7631000,-18444000,39236000,50497000,7470000,87743000
84,CAPEX,-110177000,-64508000,-41399000,-86550000,-28608000,-8771000,-44169000,-48869000,-62404000,-43088000,-18377000,-7092000,-19776000,-33868000,-34192000,-24058000,-36841000,-32826000
85,Acquisitions Net,-488152000,-16369000,- -,- -,- -,- -,- -,- -,-8642000,- -,- -,- -,- -,- -,- -,- -,350553000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-329000,- -,- -,- -,- -,- -,-17182000,-3552000,-14839000,-12907000,-17833000,-8839000,-3349000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,173000,- -,2003000,10841000,6317000,10615000,14342000,13583000,13762000,5214000
88,Other Investing Activites,-15221000,10011000,5811000,3488000,-10963000,20641000,-112000,-8985000,6463000,-1620000,-1282000,9300000,88000,19142000,-1510000,-1692000,-894000,-1091000
89,Cash Used for Investing Activites,-611314000,-68692000,-33385000,-81806000,-39571000,11541000,-43728000,-57158000,-63528000,-44103000,-16698000,-3391000,-15874000,-17743000,-33306000,-28897000,318482000,-31438000
90,Debt Repayment,-574558000,-12883000,- -,-50100000,-165000000,-33250000,-70063000,-56619000,-2968000,-229333000,- -,- -,- -,- -,-2228000,-1408000,-224250000,- -
91,Common Stock Issued,2820000,628000,88000,151000,183000,35280000,- -,9336000,962000,11375000,68000,3436000,1732000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-417677000,- -,-420000,-6000,-496000,- -,- -,-11793000,-28125000,-51000000,- -,- -,- -,-11401000,-1607000,-2702000,-1125000,-21726000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,772572000,-594000,- -,130100000,180000000,- -,112520000,- -,- -,218836000,- -,- -,- -,84092000,5129000,2308000,3094000,-13818000
95,Cash Used/Provided by Financing Activities,-216843000,-12849000,-332000,80145000,14687000,2030000,42457000,-59076000,-30131000,-50122000,68000,3436000,1732000,72691000,1294000,-1802000,-222281000,-35544000
96,Effect of Forex Changes on Cash,10217000,1452000,5846000,544000,-17036000,5856000,2126000,1642000,-7317000,-3162000,2927000,-1620000,-1016000,8716000,-3361000,-579000,24612000,-21154000
97,Net Change In Cash,-216843000,28178000,2599000,-24828000,-60308000,60888000,107247000,-10061000,20127000,-28632000,-51172000,-11552000,-7527000,45220000,3863000,19219000,128283000,-393000
98,Cash at the End of Period,58396000,86574000,89173000,64345000,4037000,64925000,172172000,162111000,182238000,153606000,102434000,90882000,83355000,128575000,132438000,151657000,279940000,279547000
99,Cash at the Beginning of Period,- -,58396000,86574000,89173000,64345000,4037000,64925000,172172000,162111000,182238000,153606000,102434000,90882000,83355000,128575000,132438000,151657000,279940000
100,Free Cash Flow,219279000,39139000,-10929000,-110261000,-46996000,32690000,62223000,55662000,58699000,25667000,-55846000,-17069000,-12145000,-52312000,5044000,26439000,-29371000,54917000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1325702/000119312506069376/0001193125-06-069376-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312507069143/0001193125-07-069143-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312508070732/0001193125-08-070732-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1325702/000119312511071056/0001193125-11-071056-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312512102315/0001193125-12-102315-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312513070260/0001193125-13-070260-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312515046730/0001193125-15-046730-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312515204040/0001193125-15-204040-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312516470674/0001193125-16-470674-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312517050458/0001193125-17-050458-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312518054078/0001193125-18-054078-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312519048327/0001193125-19-048327-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312520044746/0001193125-20-044746-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312521073817/0001193125-21-073817-index.htm,https://www.sec.gov/Archives/edgar/data/1325702/000119312522050017/0001193125-22-050017-index.htm
102,false,,,,,,,,,,,,,,,,,,
