,https://roic.ai/company/CVI,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,174711403,4224253,-90814623,107063349,106850000,98290000,435582000,366224000,94752000,-197200000,-243100000,-40300000,-199100000,246500000,-102000000,48000000,177000000
78,Accounts Receivable,- -,- -,- -,- -,-13057000,-34026000,55435000,-28132000,-30200000,105700000,41000000,-47500000,-27300000,56000000,-40000000,31000000,-91000000
79,Inventory,1895473,-7156975,-79568448,97989000,-126414000,27666000,-175543000,108021000,1500000,197300000,39700000,-7300000,-37600000,-9000000,-10000000,9000000,-182000000
80,Accounts Payable,- -,- -,- -,- -,5650000,47938000,5805000,-54445000,-38700000,-91800000,-14300000,-10400000,88100000,-23000000,94000000,-121000000,122000000
81,Other Working Capital,108029021,112253274,21438651,128502000,235352000,333642000,769224000,1135448000,1230200000,1033000000,789900000,749600000,550500000,797000000,695000000,743000000,26000000
82,Other Non-Cash Items,1272757,-150314943,279271511,-327808349,-185679000,-10387000,-682985000,-134052000,-93252000,477700000,443800000,165100000,115300000,-203500000,141000000,46000000,-33000000
83,Cash Provided by Operating Activities,82532142,186592309,145915136,83204000,85274000,225428000,278555000,762624000,440100000,640300000,536800000,267500000,166900000,620000000,747000000,90000000,396000000
84,CAPEX,-45172134,-240225392,-268592539,-86458000,-48773000,-32409000,-91224000,-212194000,-256500000,-218400000,-218700000,-132700000,-118600000,-102000000,-121000000,-283000000,-249000000
85,Acquisitions Net,-685125669,- -,- -,- -,- -,- -,-585987000,- -,- -,- -,- -,-69400000,-76500000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-18600000,-78300000,- -,-18600000,- -,- -,- -,-140000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,24700000,- -,68000000,19300000,- -,- -,- -,- -,3000000
88,Other Investing Activites,- -,- -,- -,- -,-48292000,-31258000,-88422000,-210701000,-256400000,-218300000,-218600000,-132700000,-118500000,-100000000,-121000000,-283000000,-221000000
89,Cash Used for Investing Activites,-730297803,-240225392,-268592539,-86458000,-48292000,-31258000,-674409000,-210701000,-250300000,-296600000,-150600000,-201400000,-195000000,-100000000,-121000000,-423000000,-238000000
90,Debt Repayment,- -,- -,- -,- -,-96100000,-575971000,-7597000,-479733000,-244600000,-1200000,-1300000,-498000000,-1800000,- -,- -,-500000000,-582000000
91,Common Stock Issued,237660000,20000000,399556188,- -,- -,- -,- -,- -,1403400000,188300000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-250000000,-10600000,- -,-100000,-889000,-3535000,-305000,-500000,- -,- -,- -,- -,- -,-301000000,-7000000,-1000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1237300000,-434200000,-173700000,-173600000,-173700000,-238000000,-306000000,-121000000,-241000000
94,Other Financing Activites,474809185,260848819,-277689308,-18332000,87200000,545834000,595265000,435752000,-164700000,-185000000,-199800000,576200000,-50400000,-96000000,-35000000,983000000,509000000
95,Cash Used/Provided by Financing Activities,712469185,30848819,111266880,-18332000,-9000000,-31026000,584133000,-44286000,-243700000,-432100000,-374800000,-95400000,-225900000,-334000000,-642000000,355000000,-315000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-22784264,-11410523,-21586000,27982000,163144000,188279000,507637000,-53900000,-88400000,11400000,-29300000,-254000000,186000000,-16000000,22000000,-157000000
98,Cash at the End of Period,64703524,41919260,30508737,8923000,36905000,200049000,388328000,895965000,842100000,753700000,765100000,735800000,481800000,668000000,652000000,674000000,517000000
99,Cash at the Beginning of Period,- -,64703524,41919260,30509000,8923000,36905000,200049000,388328000,896000000,842100000,753700000,765100000,735800000,482000000,668000000,652000000,674000000
100,Free Cash Flow,37360008,-53633083,-122677403,-3254000,36501000,193019000,187331000,550430000,183600000,421900000,318100000,134800000,48300000,518000000,626000000,-193000000,147000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376139/000095012308003514/y52203e10vk.htm,https://www.sec.gov/Archives/edgar/data/1376139/000095012309004595/0000950123-09-004595-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000095012310024185/0000950123-10-024185-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000095012311022741/y90110e10vk.htm,https://www.sec.gov/Archives/edgar/data/1376139/000104746912001887/0001047469-12-001887-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000104746913002747/0001047469-13-002747-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613914000016/cviform10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1376139/000137613915000012/cviform10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1376139/000137613916000084/0001376139-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613917000019/0001376139-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613918000016/0001376139-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613919000011/0001376139-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613920000015/0001376139-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613921000021/0001376139-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1376139/000137613922000014/0001376139-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,
