,https://roic.ai/company/AAWW,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,16394000,30998000,- -,136658000,120294000,92088000,97552000,131996000,96881000,61786000,54035000,105416000,85409000,129074000,127609000,56581000,63381000,98695000,123386000,238504000,106611000,109152000
37,Total Current Assets,704929000,571371000,- -,389348000,395223000,529222000,463879000,738843000,574564000,757383000,727432000,393837000,632995000,593953000,606104000,651937000,358070000,587586000,629831000,632531000,1217721000,1326022000
38,PP&E,1334886000,1360626000,- -,795094000,609754000,573870000,583271000,594872000,950397000,889770000,993923000,1748233000,2211539000,2828965000,3172227000,3335196000,3540682000,4003101000,4462235000,4284359000,4366399000,4722454000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40361000,40361000,40361000,40361000,40361000,40361000
40,Intangible Assets,- -,- -,- -,- -,- -,48191000,39798000,37961000,37039000,36650000,- -,39961000,35533000,33858000,67410000,58483000,75668000,66124000,57328000,36495000,30465000,24435000
41,Intangible Assets,- -,- -,- -,- -,- -,48191000,39798000,37961000,37039000,36650000,42627000,39961000,35533000,33858000,67410000,58483000,116029000,106485000,97689000,76856000,70826000,64796000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127094000,135735000,140498000,130267000,120478000,37604000,27951000,15371000,635000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,134242000,152755000,- -,216165000,137219000,29527000,32832000,41038000,38745000,57070000,45026000,73232000,132120000,131216000,135401000,81183000,204647000,242919000,344402000,391895000,374242000,329971000
45,Total Non-Current Assets,1469128000,1513381000,- -,1011259000,746973000,651588000,655901000,673871000,1026181000,983490000,1208670000,1997161000,2519690000,3124306000,3495516000,3512466000,3889309000,4367876000,4904961000,4753110000,4811467000,5117221000
46,Other Assets,- -,- -,1530839000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2174057000,2084752000,1530839000,1400607000,1142196000,1180810000,1119780000,1412714000,1600745000,1740873000,1936102000,2390998000,3152685000,3718259000,4101620000,4164403000,4247379000,4955462000,5534792000,5385641000,6029188000,6443243000
48,Accounts Payable,103928000,172018000,- -,35530000,18024000,27588000,37053000,29600000,16263000,20810000,22954000,27352000,20789000,65367000,42864000,93278000,59543000,65740000,87229000,79683000,107604000,82885000
49,Short-Term Debt,55018000,65934000,- -,964557000,36084000,53380000,19756000,28444000,36243000,38830000,96197000,70007000,154760000,157486000,190340000,161811000,184748000,218013000,264835000,537754000,456422000,695194000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18619000,26279000,10705000,12702000,10298000,20986000,26584000,26357000,82609000,58616000
52,Other Current Liabilities,62718000,- -,- -,176817000,169024000,178741000,153063000,311097000,101519000,107907000,149892000,175298000,133848000,168013000,240889000,280436000,310589000,433857000,439085000,455368000,500551000,583362000
53,Total Current Liabilities,221664000,237952000,- -,1176904000,223132000,259709000,209872000,369141000,154025000,167547000,269043000,272657000,328016000,417145000,484798000,548227000,565178000,738596000,817733000,1099162000,1147186000,1420057000
54,Long-Term Debt,- -,- -,- -,- -,602985000,529742000,398885000,365619000,635628000,526680000,391036000,680009000,1149282000,1539139000,1782744000,1739496000,1666663000,2008986000,2205005000,1984902000,2339301000,1821097000
55,Deferred Revenue,- -,- -,- -,170363000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,76278000,53078000,- -,8508000,28258000,18540000,4322000,21570000,62321000,74501000,103150000,178069000,265384000,371655000,350868000,286928000,298165000,214694000,256970000,74040000,203586000,354798000
57,Other Non-Current Liabilities,1323909000,1303814000,- -,73114000,9859000,14914000,33858000,93682000,67032000,83388000,122783000,118888000,121899000,68195000,65415000,135569000,200035000,203330000,187120000,435358000,77576000,37954000
58,Total Non-Current Liabilities,1400187000,1356892000,- -,251985000,641102000,563196000,437065000,480871000,764981000,684569000,616969000,976966000,1536565000,1978989000,2199027000,2161993000,2164863000,2427010000,2649095000,2494300000,2620463000,2213849000
59,Other Liabilities,- -,- -,1459356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534805000,476582000,221405000
61,Total Liabilities,1621851000,1594844000,1459356000,1428889000,864234000,822905000,646937000,850012000,919006000,852116000,886012000,1249623000,1864581000,2396134000,2683825000,2710220000,2730041000,3165606000,3466828000,3593462000,3767649000,3633906000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,382000,382000,- -,384000,36000,199000,207000,218000,219000,266000,270000,275000,277000,282000,286000,290000,296000,301000,306000,310000,329000,347000
64,Retained Earnings,247763000,185114000,- -,-334965000,22710000,96571000,156352000,289384000,353080000,430856000,572666000,668749000,798676000,892513000,999270000,1006556000,1048072000,1271545000,1539956000,1246843000,1607129000,2100446000
65,Other Comprehensive Income/Loss,-245976000,-317647000,- -,- -,- -,-40591000,1000000,1750000,-736000,471000,458000,-15683000,-14263000,-10677000,-9572000,-6063000,-4993000,-3993000,-3832000,-2818000,-1904000,-511000
66,Other Total Stockholders Equity,550037000,622059000,71483000,306299000,255216000,301726000,315284000,257873000,329176000,454680000,473049000,484171000,499571000,435655000,427811000,453400000,473963000,522003000,531534000,547844000,655985000,709055000
67,Total Stockholders Equity,552206000,489908000,71483000,-28282000,277962000,357905000,472843000,549225000,681739000,886273000,1046443000,1137512000,1284261000,1317773000,1417795000,1454183000,1517338000,1789856000,2067964000,1792179000,2261539000,2809337000
68,Total Liabilities And Stockholders Equity,2174057000,2084752000,1530839000,1400607000,1142196000,1180810000,1119780000,1399237000,1600745000,1738389000,1932455000,2387135000,3148842000,3713907000,4101620000,4164403000,4247379000,4955462000,5534792000,5385641000,6029188000,6443243000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,13477000,- -,2484000,3647000,3863000,3843000,4352000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2174057000,2084752000,1530839000,1400607000,1142196000,1180810000,1119780000,1412714000,1600745000,1740873000,1936102000,2390998000,3152685000,3718259000,4101620000,4164403000,4247379000,4955462000,5534792000,5385641000,6029188000,6443243000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1135185/000093041305004792/0000930413-05-004792-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000093041306002900/0000930413-06-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012307003924/0000950123-07-003924-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012308002215/0000950123-08-002215-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012309003509/0000950123-09-003509-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012310016484/0000950123-10-016484-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012311013820/0000950123-11-013820-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312512063408/0001193125-12-063408-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312513054466/0001193125-13-054466-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312514048729/0001193125-14-048729-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312515046969/0001193125-15-046969-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312516468116/0001193125-16-468116-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312517053796/0001193125-17-053796-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459018002824/0001564590-18-002824-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459019003225/0001564590-19-003225-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459020006046/0001564590-20-006046-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459021006555/0001564590-21-006555-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459022005515/0001564590-22-005515-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,85259000,-62847000,-53813000,-100990000,50956000,73861000,59781000,132415000,63696000,77776000,141810000,96083000,129927000,93837000,106757000,7286000,41516000,223473000,270567000,-293113000,360286000,493317000
74,Depreciation and Amortization,94006000,83412000,47400000,42564000,62593000,48506000,45192000,40012000,40784000,35413000,34353000,47313000,72194000,101671000,138324000,147604000,168721000,197463000,265553000,316821000,328101000,357330000
75,Deferred Income Tax,- -,- -,- -,- -,- -,48167000,26735000,-874000,50390000,47671000,62962000,81616000,75365000,22856000,-12714000,-25898000,47381000,-81330000,42580000,-180553000,133598000,152399000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,7952000,11390000,14065000,12528000,18202000,16690000,13606000,16181000,32724000,22319000,20305000,25189000,21997000,14014000
77,Change in Working Capital,-19265000,-149846000,-333419000,-787556000,959647000,97422000,-15506000,115695000,50837000,169297000,-131447000,-337209000,183799000,-128171000,-55502000,-17596000,-310818000,56098000,-36892000,-278729000,537166000,-99059000
78,Accounts Receivable,- -,- -,- -,- -,- -,12433000,-691000,5662000,-15196000,13343000,-18072000,-12914000,-25217000,-6029000,-21070000,2016000,22974000,-33201000,-74038000,-22524000,26132000,-37800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,28834000,14921000,20781000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11496000
81,Other Working Capital,483265000,333419000,- -,-787556000,172091000,269513000,254007000,369702000,420539000,589836000,458389000,121180000,304979000,176808000,121306000,103710000,-207108000,-151010000,-187902000,-466631000,70535000,- -
82,Other Non-Cash Items,5010000,148508000,347532000,772488000,-975222000,-25886000,30457000,-90538000,-88341000,-126974000,158800000,242627000,-220990000,198117000,82674000,245310000,252658000,-86304000,-136533000,710729000,-371606000,4983000
83,Cash Provided by Operating Activities,165010000,19227000,7700000,-73494000,97974000,242070000,146659000,196710000,125318000,214573000,280543000,142958000,258497000,305000000,273145000,372887000,232182000,331719000,425580000,300344000,1009542000,922984000
84,CAPEX,-415268000,-181270000,-30100000,-8495000,-28196000,-29071000,-69889000,-63072000,-485218000,-51348000,-70002000,-801642000,-552036000,-602947000,-544319000,-272088000,-363710000,-546019000,-713816000,-347790000,-263206000,-497972000
85,Acquisitions Net,- -,-76083000,- -,- -,- -,- -,- -,- -,-52060000,11612000,- -,- -,- -,- -,- -,- -,-105392000,- -,-1050000,-2028000,-9298000,-4893000
86,Purchases of Investments,-138286000,-107204000,- -,- -,- -,- -,- -,- -,-14685000,-40693000,-100090000,- -,-6658000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,126340000,108269000,- -,31004000,- -,- -,- -,- -,- -,13301000,24374000,6165000,4342000,5569000,3728000,80302000,11714000,4462000,13604000,15624000,881000,- -
88,Other Investing Activites,13808000,52096000,63100000,1505000,-48961000,32362000,28341000,8550000,-222031000,36195000,-45904000,-35894000,-24751000,-22133000,-32710000,-18299000,-46717000,-87555000,-114415000,-85121000,47402000,-80818000
89,Cash Used for Investing Activites,-413406000,-204192000,33000000,32509000,-48961000,3291000,-41548000,-54522000,-546063000,-745000,-162010000,-793997000,-547837000,-589980000,-548381000,-165045000,-457388000,-541557000,-701262000,-285761000,-145288000,-493395000
90,Debt Repayment,-226026000,-119335000,- -,-88133000,-46526000,-83159000,-250000,-750000,-40026000,-110027000,-164110000,-102571000,-662627000,-412171000,-301550000,-604977000,-179153000,-357093000,-385015000,-344674000,-604749000,-542594000
91,Common Stock Issued,108325000,1675000,- -,240000,- -,2028000,7856000,104594000,78902000,112623000,- -,- -,- -,21886000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1614000,-200000,-217000,- -,-2257000,-2267000,-2075000,-19410000,-385000,-5854000,-9251000,-3351000,-102862000,-19496000,-26522000,-11275000,-10613000,-10769000,-9370000,-4018000,-7572000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,528215000,49209000,-69300000,- -,38153000,10000000,-184533000,1545000,321355000,316000,26543000,361120000,1177970000,690180000,573067000,551006000,114953000,731158000,612343000,220150000,487364000,185313000
95,Cash Used/Provided by Financing Activities,410514000,-70065000,-69500000,-88110000,-8373000,-73388000,-179194000,103314000,340821000,2527000,-143421000,249298000,511992000,197033000,252021000,-80493000,-75475000,363452000,216559000,-133894000,-121403000,-364853000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,162118000,-255030000,-28800000,-129095000,40620000,171973000,-74083000,245502000,-79924000,216355000,-24888000,-401741000,222652000,-87947000,-23215000,127349000,-300681000,153614000,-59123000,-119311000,742851000,64736000
98,Cash at the End of Period,493723000,238693000,192701000,93297000,133917000,305890000,231807000,477309000,397385000,613740000,588852000,187111000,409763000,321816000,298601000,425950000,138250000,291864000,232741000,113430000,856281000,921017000
99,Cash at the Beginning of Period,331605000,493723000,221501000,222392000,93297000,133917000,305890000,231807000,477309000,397385000,613740000,588852000,187111000,409763000,321816000,298601000,438931000,138250000,291864000,232741000,113430000,856281000
100,Free Cash Flow,-250258000,-162043000,-22400000,-81989000,69778000,212999000,76770000,133638000,-359900000,163225000,210541000,-658684000,-293539000,-297947000,-271174000,100799000,-131528000,-214300000,-288236000,-47446000,746336000,425012000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1135185/000093041305004792/0000930413-05-004792-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000093041306002900/0000930413-06-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012307003924/0000950123-07-003924-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012308002215/0000950123-08-002215-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012309003509/0000950123-09-003509-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012310016484/0000950123-10-016484-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000095012311013820/0000950123-11-013820-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312512063408/0001193125-12-063408-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312513054466/0001193125-13-054466-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312514048729/0001193125-14-048729-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312515046969/0001193125-15-046969-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312516468116/0001193125-16-468116-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000119312517053796/0001193125-17-053796-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459018002824/0001564590-18-002824-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459019003225/0001564590-19-003225-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459020006046/0001564590-20-006046-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459021006555/0001564590-21-006555-index.htm,https://www.sec.gov/Archives/edgar/data/1135185/000156459022005515/0001564590-22-005515-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
