,https://roic.ai/company/JACK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1388000,1117000,1310000,2079000,1220000,853000,377000,345000,83000,978000,1060000,530000,142000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22155000,17011000,18165000,20953000,16471000,16531000,19180000,31426000,46601000,46525000,86027000,67273000,67600000
14,Depreciation and Amortization,50300000,50800000,53500000,42600000,38300000,39000000,40000000,42100000,47700000,56766000,64195000,70270000,70783000,86486000,88534000,89427000,95749000,102427000,100830000,101514000,96147000,97958000,96219000,91384000,89468000,92844000,88939000,59422000,55181000,52798000,46500000
15,EBITDA,56500000,25800000,-66700000,6000000,-30200000,64400000,84000000,142200000,169100000,179566000,192696000,195870000,186183000,203986000,226734000,257927000,292080000,292027000,320885000,224525000,252922000,207205000,204236000,248701000,283229000,320907000,352187000,309046000,259670000,242562000,335707000
16,EBITDA ratio,0.0488,0.0212,-0.0541,0.0057,-0.0296,0.0606,0.0784,0.1162,0.1161,0.1099,0.1051,0.0996,0.0905,0.0878,0.0904,0.0933,0.1016,0.1150,0.1299,0.0977,0.1153,0.1341,0.1371,0.1676,0.1839,0.2007,0.3210,0.3554,0.2733,0.2375,0.2935
17,Operating Income,99900000,111100000,-17300000,-33300000,-68500000,25400000,45200000,104500000,121400000,122800000,154813000,125600000,115400000,117500000,138200000,181700000,219685000,215900000,231300000,121900000,142600000,116276000,138205000,162308000,197173000,229915000,266141000,231614000,202223000,230584000,289946000
18,Operating Income ratio,0.0863,0.0911,-0.0140,-0.0316,-0.0672,0.0239,0.0422,0.0854,0.0833,0.0752,0.0844,0.0639,0.0561,0.0506,0.0551,0.0657,0.0764,0.0850,0.0936,0.0531,0.0650,0.0753,0.0928,0.1094,0.1280,0.1438,0.2425,0.2663,0.2128,0.2257,0.2535
19,Total Other Income Expenses (Gains),-93700000,-72400000,-48900000,- -,- -,- -,- -,- -,- -,- -,-24453000,- -,- -,- -,- -,-12100000,-23354000,-27400000,-20800000,-15900000,-16800000,-22661000,-15205000,-15708000,-18803000,-31081000,-62236000,-45547000,-86451000,-108463000,-68339000
20,Income Before Tax,6200000,38700000,-66200000,-33300000,-68500000,25400000,45200000,104500000,121400000,122800000,130360000,125600000,115400000,117500000,138200000,169600000,196331000,188500000,210500000,106000000,125800000,93615000,123000000,146600000,178370000,198834000,203905000,186067000,115772000,122121000,221607000
21,Income Before Tax Ratio,0.0054,0.0317,-0.0537,-0.0316,-0.0672,0.0239,0.0422,0.0854,0.0833,0.0752,0.0711,0.0639,0.0561,0.0506,0.0551,0.0613,0.0683,0.0742,0.0852,0.0461,0.0574,0.0606,0.0826,0.0988,0.1158,0.1243,0.1858,0.2139,0.1219,0.1195,0.1938
22,Income Tax expense (Gain),5900000,16800000,-22100000,3000000,500000,5300000,9900000,33400000,44900000,22500000,46300000,42600000,41800000,42800000,46700000,60500000,70027000,70300000,79500000,35800000,58010000,30643000,40346000,51786000,65769000,72564000,81315000,81728000,24025000,32727000,55852000
23,Net Income,300000,-41800000,-98100000,-39600000,-69000000,20100000,34100000,66700000,76500000,100300000,82201000,83000000,73600000,74700000,91500000,108000000,126304000,119300000,118400000,70200000,80600000,57651000,51200000,89000000,108812000,124073000,135332000,121371000,94437000,89764000,165755000
24,Net Income ratio,0.0003,-0.0343,-0.0796,-0.0376,-0.0677,0.0189,0.0318,0.0545,0.0525,0.0614,0.0448,0.0422,0.0358,0.0322,0.0365,0.0391,0.0439,0.0470,0.0479,0.0306,0.0367,0.0373,0.0344,0.0600,0.0706,0.0776,0.1233,0.1396,0.0994,0.0879,0.1449
25,EPS,0.01,-0.32,-0.64,-0.52,-0.89,0.26,0.43,0.85,1.00,1.31,1.06,1.05,1.01,1.03,1.28,1.54,0.96,2.05,2.08,1.27,1.63,1.31,1.18,2.18,2.89,3.68,4.42,4.26,3.66,3.88,7.40
26,EPS Diluted,0.01,-0.32,-0.64,-0.52,-0.89,0.26,0.43,0.83,0.97,1.27,1.03,1.03,0.99,1.01,1.24,1.50,0.94,2.01,2.05,1.26,1.61,1.28,1.14,2.12,2.85,3.63,4.38,4.21,3.62,3.86,7.37
27,Weighted Average Shares Outstanding,80000000,87272727,76468000,77062000,77830000,78602000,79552000,78184000,76288000,76534000,77582000,78644000,72946000,72474000,71250000,69888000,130628000,58249000,56795000,55070000,49302000,43999000,43351000,40781000,37587000,33735000,30630000,28499000,25823000,23125000,22399324
28,Weighted Average Shares Outstanding Diluted,80000000,87272727,76468000,77062000,77830000,78602000,79552000,80226000,78562000,78668000,79560000,80224000,73936000,73922000,73876000,71834000,134526000,59445000,57733000,55843000,50085000,44948000,44899000,41973000,38215000,34146000,30914000,28807000,26068000,23269000,22490502
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000080788294000031/0000807882-94-000031-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788295000011/0000807882-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788296000010/0000807882-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788297000013/0000807882-97-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000080788200000006/0000807882-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788201500030/0000807882-01-500030-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000093639204000892/a04080e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000095013705014890/a15215e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000093639206001078/a25296e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000095013407024313/0000950134-07-024313-index.html,https://www.sec.gov/Archives/edgar/data/807882/000093639208000742/0000936392-08-000742-index.html,https://www.sec.gov/Archives/edgar/data/807882/000095012309064465/0000950123-09-064465-index.html,https://www.sec.gov/Archives/edgar/data/807882/000095012310108451/0000950123-10-108451-index.html,https://www.sec.gov/Archives/edgar/data/807882/000119312511320975/0001193125-11-320975-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788212000006/0000807882-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788213000012/0000807882-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788214000017/0000807882-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788215000024/0000807882-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788216000036/0000807882-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788217000020/0000807882-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788218000021/0000807882-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788219000023/0000807882-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788220000018/0000807882-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/0000807882-21-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,20000000,4500000,36000000,35900000,42000000,28500000,10000000,10900000,6800000,6328000,5600000,22400000,131700000,103700000,233900000,15702000,47900000,53000000,10600000,11400000,8469000,9600000,10600000,17700000,17000000,4467000,2705000,125536000,199662000,55346000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,600000,20000000,4500000,36000000,35900000,42000000,28500000,10000000,10900000,6800000,6328000,5600000,22400000,131700000,103700000,233900000,15702000,47900000,53000000,10600000,11400000,8469000,9600000,10600000,17700000,17000000,4467000,2705000,125536000,199662000,55346000
34,Net Receivables,22900000,36700000,30300000,31200000,25300000,12500000,10500000,13700000,9200000,13700000,21816000,26200000,31600000,18300000,21200000,30900000,41091000,70300000,49000000,81200000,86200000,78798000,41700000,78000000,55600000,85500000,59609000,57422000,45235000,78417000,74335000
35,Inventory,31200000,34000000,41000000,25300000,22400000,20900000,18300000,17900000,20200000,25700000,28993000,29600000,31700000,34000000,40000000,41200000,46933000,45200000,37700000,37400000,38900000,7752000,7200000,7500000,7400000,8200000,3445000,1858000,1776000,1808000,2335000
36,Other Current Assets,16800000,15600000,17700000,15000000,14300000,21100000,42900000,40800000,56900000,53200000,67597000,51100000,62900000,56200000,119100000,97100000,124340000,186700000,160300000,145700000,117900000,136162000,58700000,50500000,67300000,44700000,71757000,32988000,54581000,55694000,36942000
37,Total Current Assets,71500000,106300000,93500000,107500000,97900000,96500000,100200000,82400000,97200000,99400000,124734000,112500000,148600000,240200000,284000000,403100000,228066000,350100000,300000000,274900000,254400000,231181000,117200000,146600000,148000000,155400000,139278000,94973000,227128000,335581000,168958000
38,PP&E,519400000,543400000,546500000,439000000,433700000,432900000,458800000,531700000,607300000,679400000,779468000,846900000,867000000,862600000,878000000,914800000,952168000,943100000,936300000,878000000,855400000,820792000,770900000,722100000,728300000,719100000,484276000,419669000,391934000,1240530000,1256980000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90200000,90200000,92200000,92200000,96665000,85800000,85800000,85000000,105900000,140622000,149000000,149100000,149000000,166000000,51412000,46749000,46747000,47161000,47774000
40,Intangible Assets,97400000,94800000,196300000,90600000,94800000,90000000,88700000,90200000,88400000,85300000,- -,64600000,- -,23300000,22100000,21000000,20057000,19200000,18400000,18000000,17500000,17206000,16400000,15600000,14800000,14000000,1413000,600000,425000,277000,470000
41,Intangible Assets,97400000,94800000,196300000,90600000,94800000,90000000,88700000,90200000,88400000,85300000,- -,64600000,90200000,113500000,114300000,113200000,116722000,105000000,104200000,103000000,123400000,157828000,165400000,164700000,163800000,180000000,52825000,47349000,47172000,47438000,48244000
42,Investments,- -,- -,- -,57200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,5100000,9600000,7300000,400000,2300000,8100000,12500000,- -,25900000,33900000,41800000,58900000,70800000,- -,48100000,2300000,400000,5300000,115537000,- -,- -,- -,- -,- -,62140000,- -,72322000,97751000
44,Other Non-Current Assets,176500000,171000000,54100000,40900000,26700000,26900000,33700000,37000000,32600000,30200000,125620000,13600000,36300000,27200000,2800000,18600000,85866000,52100000,113100000,150800000,193800000,138387000,265700000,237300000,263900000,294300000,558366000,199266000,292249000,210623000,178204000
45,Total Non-Current Assets,793300000,809200000,796900000,632800000,564800000,557100000,581600000,661200000,736400000,807400000,905088000,951000000,1027400000,1045100000,1054000000,1117400000,1154756000,1148300000,1155900000,1132200000,1177900000,1232544000,1202000000,1124100000,1156000000,1193400000,1095467000,728424000,731355000,1570913000,1581179000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,864800000,915500000,890400000,740300000,662700000,653600000,681800000,743600000,833600000,906800000,1029822000,1063500000,1176000000,1285300000,1338000000,1520500000,1382822000,1498400000,1455900000,1407100000,1432300000,1463725000,1319200000,1270700000,1304000000,1348800000,1234745000,823397000,958483000,1906494000,1750137000
48,Accounts Payable,34000000,38300000,36700000,36900000,32000000,29300000,39600000,52100000,44200000,53100000,55036000,59200000,49500000,53500000,56100000,61100000,97489000,99700000,63600000,101200000,94300000,94713000,36900000,31800000,32100000,40700000,28366000,44970000,37066000,31105000,29119000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2255000,- -,12334000,8203000,7788000,37539000,5787000,2331000,67977000,13781000,21148000,15952000,20889000,10871000,26677000,57574000,64383000,31828000,774000,179818000,151530000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13055000,11386000,11760000,11574000,14311000,9695000,4555000,4268000,22038000,23174000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25861000,- -,41780000,38340000,43889000,- -,46166000,44614000,46185000,45520000,- -,26685000,36810000,40033000,- -,- -,1387000,5000000,- -,17892000
52,Other Current Liabilities,151000000,129200000,166600000,103300000,100000000,117800000,153600000,173600000,184800000,155400000,169628000,248339000,175866000,172217000,173072000,196372000,223540000,167503000,161509000,122034000,122032000,164637000,127226000,126819000,130590000,181326000,169241000,105535000,115083000,129431000,130525000
53,Total Current Liabilities,185000000,167500000,203300000,140200000,132000000,147100000,193200000,225700000,229000000,208500000,226919000,333400000,237700000,275700000,275300000,338900000,326816000,315700000,337700000,283200000,283000000,275302000,211700000,206300000,229400000,279600000,261990000,183720000,157923000,340354000,329066000
54,Long-Term Debt,629300000,501100000,500500000,447800000,440200000,396300000,346200000,320100000,303500000,282600000,279719000,143400000,290700000,297100000,290200000,254200000,427516000,516300000,357300000,352600000,447400000,405276000,349400000,497000000,688600000,937500000,1079982000,1037927000,1274374000,1376913000,2082611000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53659000,- -,50726000,48835000,46807000,47070000,47096000,- -,29537000,38607000,35608000
56,Deferred Tax Liabilities,- -,- -,17200000,- -,- -,- -,- -,- -,- -,- -,18215000,- -,- -,- -,- -,- -,45211000,- -,- -,- -,5310000,- -,26685000,36810000,40033000,71736000,60044000,- -,15044000,- -,- -
57,Other Non-Current Liabilities,- -,- -,30300000,52200000,59200000,58900000,54500000,60800000,83300000,99400000,91439000,122600000,177200000,159100000,207100000,216500000,168722000,209300000,236400000,250800000,237031000,371202000,208689000,223855000,283160000,230094000,173763000,193449000,219189000,943981000,120734000
58,Total Non-Current Liabilities,629300000,501100000,548000000,500000000,499400000,455200000,400700000,380900000,386800000,382000000,389373000,266000000,467900000,456200000,497300000,470700000,641449000,725600000,593700000,603400000,743400000,776478000,635500000,806500000,1058600000,1286400000,1360885000,1231376000,1538144000,2359501000,2238953000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955094000,959827000
61,Total Liabilities,814300000,668600000,751300000,640200000,631400000,602300000,593900000,606600000,615800000,590500000,616292000,599400000,705600000,731900000,772600000,809600000,968265000,1041300000,931400000,886600000,1026400000,1051780000,847200000,1012800000,1288000000,1566000000,1622875000,1415096000,1696067000,2699855000,2568019000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,400000,400000,400000,400000,400000,400000,400000,424000,400000,400000,400000,500000,500000,725000,700000,700000,700000,800000,758000,800000,800000,800000,800000,818000,821000,822000,824000,825000
64,Retained Earnings,12700000,-29000000,-127200000,-166700000,-235700000,-215600000,-181600000,-114900000,-38400000,61800000,144018000,227100000,300700000,355500000,447000000,555000000,681350000,795700000,912200000,982400000,1063000000,1120671000,1171800000,1244900000,1316100000,1399700000,1485820000,1561353000,1577034000,1636211000,1764412000
65,Other Comprehensive Income/Loss,-90100000,-122700000,-164800000,-135600000,-155900000,-177800000,-201300000,-228000000,-251400000,-288500000,-332369000,-17800000,-31839000,-9242000,-37796000,-1796000,-25140000,-19845000,-83442000,-78787000,-95940000,-136013000,-62662000,-90132000,-132530000,-187021000,-137761000,-94260000,-140006000,-110605000,-74254000
66,Other Total Stockholders Equity,127900000,398600000,431100000,402000000,422500000,444400000,470400000,479500000,507200000,542700000,601457000,254400000,201061000,206741000,155668000,157181000,-242378000,-319444000,-304969000,-383850000,-561904000,-573471000,-637920000,-897657000,-1168417000,-1430685000,-1736909000,-2059613000,-2175434000,-2319791000,-2508865000
67,Total Stockholders Equity,50500000,246900000,139100000,100100000,31300000,51400000,87900000,137000000,217800000,316400000,413530000,464100000,470322000,553399000,565372000,710885000,414557000,457111000,524489000,520463000,405956000,411945000,472018000,257911000,15953000,-217206000,-388032000,-591699000,-737584000,-793361000,-817882000
68,Total Liabilities And Stockholders Equity,864800000,915500000,890400000,740300000,662700000,653700000,681800000,743600000,833600000,906900000,1029822000,1063500000,1175922000,1285299000,1337972000,1520485000,1382822000,1498411000,1455889000,1407063000,1432356000,1463725000,1319218000,1270711000,1303953000,1348794000,1234843000,823397000,958483000,1906494000,1750137000
69,Minority Interest,- -,- -,- -,- -,- -,-100000,- -,- -,- -,-100000,- -,- -,78000,1000,28000,15000,- -,-11000,11000,37000,-56000,- -,-18000,-11000,47000,6000,-98000,- -,- -,- -,- -
70,Total Liabilities & Equity,864800000,915500000,890400000,740300000,662700000,653600000,681800000,743600000,833600000,906800000,1029822000,1063500000,1176000000,1285300000,1338000000,1520500000,1382822000,1498400000,1455900000,1407100000,1432300000,1463725000,1319200000,1270700000,1304000000,1348800000,1234745000,823397000,958483000,1906494000,1750137000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000080788294000031/0000807882-94-000031-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788295000011/0000807882-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788296000010/0000807882-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788297000013/0000807882-97-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000080788200000006/0000807882-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788201500030/0000807882-01-500030-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000093639204000892/a04080e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000095013705014890/a15215e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000093639206001078/a25296e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000095013407024313/0000950134-07-024313-index.html,https://www.sec.gov/Archives/edgar/data/807882/000093639208000742/0000936392-08-000742-index.html,https://www.sec.gov/Archives/edgar/data/807882/000095012309064465/0000950123-09-064465-index.html,https://www.sec.gov/Archives/edgar/data/807882/000095012310108451/0000950123-10-108451-index.html,https://www.sec.gov/Archives/edgar/data/807882/000119312511320975/0001193125-11-320975-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788212000006/0000807882-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788213000012/0000807882-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788214000017/0000807882-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788215000024/0000807882-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788216000036/0000807882-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788217000020/0000807882-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788218000021/0000807882-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788219000023/0000807882-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788220000018/0000807882-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/0000807882-21-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,-41800000,-98100000,-39600000,-69000000,20100000,34100000,66700000,76500000,100300000,82201000,83000000,73600000,74700000,91500000,108000000,126304000,119300000,118400000,70200000,80600000,57651000,51200000,89000000,108812000,124073000,135332000,121371000,94437000,89764000,165755000
74,Depreciation and Amortization,50300000,50800000,53500000,42600000,38300000,39000000,40000000,42100000,47700000,56766000,64195000,70270000,70783000,86486000,88534000,89427000,95749000,102427000,100830000,101514000,96147000,97958000,96219000,91384000,89468000,92844000,88939000,59422000,55181000,52798000,46500000
75,Deferred Income Tax,-5800000,200000,-23900000,4500000,4500000,-2300000,-7000000,600000,5700000,4413000,5747000,7646000,15984000,4023000,-3237000,-11186000,-14239000,6643000,-15331000,-27554000,-12832000,-6615000,-18604000,4152000,-3191000,34973000,-12208000,25352000,4100000,5162000,8008000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9341000,10605000,8062000,6883000,11392000,10358000,12420000,11455000,11416000,9146000,8074000,4394000,4048000
77,Change in Working Capital,-12400000,52300000,-48600000,77100000,-1400000,-16500000,-42400000,-50300000,11500000,22700000,6915000,-118715000,131800000,53600000,44200000,55500000,-162950000,133150000,-72100000,29400000,-20300000,-15521000,-50379000,34800000,-21700000,-42800000,1488000,33965000,157952000,-73978000,-4916000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3497000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-4500000,-2800000,-5600000,200000,2900000,1500000,2600000,400000,-2200000,-5833000,-3271000,-620000,-1573000,-2344000,-5964000,-1195000,-5731000,-4791000,7596000,284000,-1540000,4334000,27415000,-300000,105000,-713000,1771000,1587000,82000,41000,-269000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14975000,-2219000,1498000,-3264000,-26945000,-627000,2281000,2225000,480000,4890000,4524000,154000,-3091000
81,Other Working Capital,-113500000,-61200000,-109800000,-32700000,-34100000,-50600000,-93000000,-143300000,-131800000,-109100000,-102185000,-220900000,-89100000,-35500000,8700000,64200000,-98750000,34400000,-37700000,-8300000,-28600000,-44121000,-94500000,-59700000,-81400000,-124200000,-122712000,-88747000,69205000,-4773000,-32852000
82,Other Non-Cash Items,4900000,4800000,142800000,-55200000,61100000,43800000,74800000,91400000,15300000,-42119000,14289000,116785000,-144355000,-19158000,-66791000,-35901000,134945000,-189136000,7610000,-122299000,-27417000,-3626000,109044000,-28672000,41066000,-86363000,-53130000,-140378000,-151339000,65385000,-18273000
83,Cash Provided by Operating Activities,37300000,66300000,25700000,29400000,33500000,84100000,99500000,150500000,156700000,142060000,173347000,158986000,147812000,199651000,154206000,205840000,179809000,172384000,148750000,61866000,124260000,136730000,198872000,201022000,226875000,134182000,171837000,108878000,168405000,143525000,201122000
84,CAPEX,-64300000,-76600000,-46300000,-92000000,-27000000,-33200000,-59700000,-111100000,-134300000,-127361000,-166522000,-142588000,-111872000,-120065000,-123109000,-150032000,-154182000,-180569000,-153500000,-95610000,-129312000,-80200000,-84690000,-60525000,-86226000,-96615000,-67453000,-32345000,-47649000,-19528000,-41008000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42606000,- -,- -,54389000,44296000,57117000,-6760000,-8115000,-31077000,-48945000,18555000,8786000,3951000,-18377000,97538000,26486000,1280000,3395000,1827000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10411000,-7325000,-6097000,-6012000,-36824000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7600000,-3200000,-12400000,144700000,1200000,2500000,-3600000,-9700000,-8900000,3913000,-11745000,43203000,21227000,42822000,22682000,38440000,-15358000,-4906000,156125000,122898000,124587000,47629000,32196000,8760000,-2198000,10594000,3254000,337645000,32550000,45256000,18252000
