,https://roic.ai/company/GTE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-2200000,-5800000,-8500000,23500000,13900000,37200000,126900000,99700000,126300000,-171339000,-268029000,-465565000,-31708000,102616000,38690000,-777967000,42482000
24,Net Income ratio,-2.0000,-0.4957,-0.2665,0.2083,0.0529,0.0997,0.2128,0.1710,0.1753,-0.3063,-0.9711,-1.6095,-0.0752,0.1673,0.0678,-3.2710,0.0897
25,EPS,-0.16,-0.08,-0.09,0.19,0.06,0.15,0.46,0.35,0.45,-0.60,-0.94,-1.45,-0.08,0.26,0.10,-2.12,0.06
26,EPS Diluted,-0.16,-0.08,-0.09,0.16,0.05,0.14,0.45,0.35,0.44,-0.60,-0.94,-1.45,-0.08,0.26,0.10,-2.12,0.06
27,Weighted Average Shares Outstanding,13538149,72443501,95096311,123421898,241258568,253697076,273491564,280741255,282808497,284715785,285333869,320851538,396683593,390930453,376495306,366981556,366992802
28,Weighted Average Shares Outstanding Diluted,13538149,72443501,95096311,143194590,253590103,264304831,281287002,284172254,286127897,284715785,285333869,320851538,396683593,427119872,376507812,366981556,367740722
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1273441/000089161807000210/f28726e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114420408015186/v106470_10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114420409011423/0001144204-09-011423-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000114420410010210/0001144204-10-010210-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000114420411010891/v210811_10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114036112010944/0001140361-12-010944-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344113000012/0001273441-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344114000008/gte-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344115000011/gte-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344116000052/0001273441-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344117000011/0001273441-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344118000010/0001273441-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344119000008/0001273441-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344120000007/0001273441-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344121000007/0001273441-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344122000007/0001273441-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2200000,24100000,18200000,176800000,182200000,272200000,172600000,207400000,408600000,331848000,145342000,25175000,12326000,51040000,8301000,13687000,26109000
32,Short-Term Investments,- -,- -,- -,- -,88600000,83300000,179000000,5200000,20200000,7586000,6250000,- -,25055000,32724000,94741000,48323000,- -
33,Cash and Short-Term Investments,2200000,24100000,18200000,176800000,270800000,355500000,351600000,212600000,428800000,339434000,151592000,25175000,37381000,83764000,103042000,62010000,26109000
34,Net Receivables,900000,5500000,11900000,13700000,37400000,50000000,90800000,159800000,59700000,99070000,57852000,72091000,86184000,104436000,172129000,58006000,58691000
35,Inventory,400000,800000,800000,1000000,4900000,5700000,7100000,33500000,13700000,13725000,19056000,7766000,7075000,- -,- -,- -,- -
36,Other Current Assets,500000,3000000,600000,3500000,7700000,6900000,8400000,8000000,10200000,11409000,5940000,26653000,14605000,14325000,15517000,13886000,17001000
37,Total Current Assets,4000000,33400000,31500000,195000000,320800000,418100000,457900000,413900000,512400000,463638000,234440000,131685000,145245000,202525000,290688000,133902000,101801000
38,PP&E,8000000,56700000,63900000,767600000,712700000,727000000,1044800000,1205400000,1260200000,1128944000,788993000,1066609000,1099224000,1312777000,1577393000,964482000,995797000
39,Goodwill,- -,15000000,15000000,98600000,102600000,102600000,102600000,102600000,102600000,102581000,102581000,102581000,102581000,102581000,102581000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,15000000,15000000,98600000,102600000,102600000,102600000,102600000,102600000,102581000,102581000,102581000,102581000,102581000,102581000,- -,- -
42,Investments,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19147000,8711000,- -,- -,- -
43,Tax Assets,- -,9900000,10600000,214200000,217500000,205600000,188800000,228200000,177100000,176364000,34592000,107230000,28417000,23419000,59762000,57318000,61494000
44,Other Non-Current Assets,400000,-9500000,-8200000,-202800000,-209800000,-204000000,-167300000,-217200000,-147700000,-157477000,-14488000,-40209000,35005000,26571000,14240000,46060000,30019000
45,Total Non-Current Assets,8400000,72500000,81300000,877600000,823000000,831200000,1168900000,1319000000,1392200000,1250412000,911678000,1236211000,1284374000,1474059000,1753976000,1067860000,1087310000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12400000,105900000,112800000,1072600000,1143800000,1249300000,1626800000,1732900000,1904600000,1714050000,1146118000,1367896000,1429619000,1676584000,2044664000,1201762000,1189111000
48,Accounts Payable,1100000,6700000,11300000,21100000,36800000,76000000,82200000,102300000,72400000,187831000,70778000,80072000,99146000,123905000,151747000,70450000,91101000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66987000
50,Tax Payable,- -,- -,- -,- -,28087000,43832000,95482000,22339000,102887000,25412000,1885000,38939000,9324000,4149000,- -,37000,6620000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,200000,12400000,12200000,41100000,68800000,76300000,162600000,89100000,194200000,36495000,3213000,74957000,57823000,45475000,47594000,43226000,69899000
53,Total Current Liabilities,1300000,19100000,23500000,62200000,105600000,152300000,244800000,191400000,266600000,224326000,73991000,155029000,156969000,169380000,199341000,113676000,227987000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000000,256542000,399415000,700459000,774770000,587404000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,204570000,186799000,225195000,177082000,175324000,34592000,107230000,28417000,23419000,59762000,- -,- -
57,Other Non-Current Liabilities,100000,10600000,12500000,218500000,221800000,5530000,20901000,24805000,30918000,37715000,35893000,41651000,51356000,54620000,52492000,56282000,71640000
58,Total Non-Current Liabilities,- -,10600000,12500000,218500000,221800000,210100000,207700000,250000000,208000000,213039000,70485000,353881000,336315000,477454000,812713000,831052000,659044000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,67732,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3540000,2894000,1434000
61,Total Liabilities,1300000,29700000,36000000,280700000,327400000,362400000,452500000,441400000,474600000,437365000,144476000,508910000,493284000,646834000,1012054000,944728000,887031000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,100000,200000,1400000,4800000,7500000,8000000,10200000,10190000,10186000,10303000,10295000,10290000,10270000,10270000,10270000
64,Retained Earnings,-2200000,-8000000,-16500000,7000000,20900000,58100000,185000000,284700000,411000000,239622000,-28407000,-493972000,-401204000,-298588000,-260687000,-1038254000,-995772000
65,Other Comprehensive Income/Loss,1408429,12831553,20749748,31480000,-177700000,-340500000,-571200000,-760400000,-1020500000,- -,- -,- -,- -,- -,400000,- -,- -
66,Other Total Stockholders Equity,13739347,71263226,72442107,753246000,971826000,1164466000,1553018000,1759131000,2029208000,1026873000,1019863000,1342656000,1327244000,1318048000,1282627000,1285018000,- -
67,Total Stockholders Equity,11039347,76194779,76791855,791926000,816426000,886866000,1174318000,1291431000,1429908000,1276685000,1001642000,858987000,936335000,1029750000,1032610000,257034000,302080000
68,Total Liabilities And Stockholders Equity,12339347,105894779,112791855,1072626000,1143826000,1249266000,1626818000,1732831000,1904508000,1714050000,1146118000,1367897000,1429619000,1676584000,2044664000,1201762000,1189111000
69,Minority Interest,60653,5221,8145,-26000,-26000,34000,-18000,69000,92000,- -,- -,-1000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12400000,105900000,112800000,1072600000,1143800000,1249300000,1626800000,1732900000,1904600000,1714050000,1146118000,1367896000,1429619000,1676584000,2044664000,1201762000,1189111000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1273441/000089161807000210/f28726e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114420408015186/v106470_10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114420409011423/0001144204-09-011423-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000114420410010210/0001144204-10-010210-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000114420411010891/v210811_10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114036112010944/0001140361-12-010944-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344113000012/0001273441-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344114000008/gte-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344115000011/gte-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344116000052/0001273441-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344117000011/0001273441-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344118000010/0001273441-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344119000008/0001273441-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344120000007/0001273441-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344121000007/0001273441-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344122000007/0001273441-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-2200000,-5800000,-8500000,23500000,13900000,37200000,126900000,99700000,126300000,-171339000,-268029000,-465565000,-31708000,102616000,38690000,-777967000,42482000
74,Depreciation and Amortization,462119,4088437,9414907,25737000,135900000,163600000,231200000,182000000,267100000,185877000,176386000,139535000,131335000,197867000,225033000,164233000,- -
75,Deferred Income Tax,-29228,892998,-702827,-6418000,-15355000,-20090000,-29222000,22740000,-32844000,31067000,-115442000,-204791000,44716000,4968000,40227000,-76148000,-23825000
76,Stock Based Compensation,- -,- -,- -,- -,5309000,8025000,12767000,12006000,8918000,5451000,2091000,6339000,9775000,8299000,1430000,1216000,8396000
77,Change in Working Capital,-34621,11600000,-6300000,124800000,82400000,50600000,-52700000,9400000,23300000,-6488000,-78863000,-183793000,11620000,44869000,58202000,-71121000,59154000
78,Accounts Receivable,- -,- -,- -,- -,-27926000,-5323000,-15627000,-56669000,67034000,-34473000,44365000,-29000,-2494000,17674000,-5680000,27607000,-5686000
79,Inventory,-447012,-364983,25070,-107000,-1849000,-1221000,-548000,-18195000,13947000,-2891000,-1571000,5510000,-78000,-2127000,-3179000,-2628000,-2383000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2700000,14300000,8000000,132800000,215200000,265800000,213100000,222500000,245800000,239312000,160449000,-23344000,-11724000,33145000,91347000,20226000,25024000
82,Other Non-Cash Items,-74908,-11611053,12302597,-57882000,-56701000,-35553000,67945000,-169527000,128087000,164092000,346162000,801317000,23906000,-74110000,-185917000,840861000,158627000
83,Cash Provided by Operating Activities,-1876638,-829618,6214677,109737000,165453000,203782000,356890000,156319000,520861000,208660000,62305000,93042000,189644000,284509000,177665000,81074000,244834000
84,CAPEX,-8707595,-18300518,-13429570,-55217000,-80932000,-152299000,-333194000,-276084000,-367322000,-347027000,-156639000,-147177000,-285451000,-400293000,-457086000,-96281000,-149879000
85,Acquisitions Net,- -,-38217930,- -,81912000,- -,- -,7747000,-35495000,- -,- -,- -,-502643000,32968000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,22679000,- -,- -,- -,- -,2325000,- -,- -,- -,- -,43126000
88,Other Investing Activites,-400427,9845564,583627,446000,4576000,8374000,-8885000,11859000,58866000,30275000,-76379000,26880000,19680000,17704000,-7851000,-48642000,1431000
89,Cash Used for Investing Activites,-9108022,-46672884,-12845943,27141000,-76356000,-143925000,-311653000,-299720000,-308456000,-316752000,-233018000,-620615000,-243803000,-382589000,-464937000,-144923000,-105322000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-54103000,- -,- -,- -,- -,-252181000,-110000000,-153000000,-349219000,-17879000,-124910000
91,Common Stock Issued,13206116,70662820,719303,21687000,4935000,24785000,5123000,4340000,3771000,11140000,722000,128273000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9999000,- -,-17916000,-12742000,-37561000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1280993,- -,- -,- -,- -,- -,- -,- -,- -,- -,530960000,167043000,294120000,631846000,88332000,100000
95,Cash Used/Provided by Financing Activities,13206116,69381827,719303,21687000,4935000,24785000,-48980000,4340000,3771000,11140000,-9277000,407052000,39127000,128378000,245066000,70453000,-124810000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6516000,354000,-1557000,-2668000,-1027000,-156000,-821000
97,Net Change In Cash,13206116,21879325,-5911963,158565000,94032000,84642000,-3743000,-139061000,216176000,-96952000,-186506000,-120167000,-16589000,27630000,-43233000,6448000,13881000
98,Cash at the End of Period,2221456,24100781,18188817,176754000,270786000,355428000,351685000,212624000,428800000,331848000,145342000,25175000,26678000,54308000,11075000,17523000,31404000
99,Cash at the Beginning of Period,- -,2221456,24100780,18189000,176754000,270786000,355428000,351685000,212624000,428800000,331848000,145342000,43267000,26678000,54308000,11075000,17523000
100,Free Cash Flow,-10584233,-19130136,-7214893,54520000,84521000,51483000,23696000,-119765000,153539000,-138367000,-94334000,-54135000,-95807000,-115784000,-279421000,-15207000,94955000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1273441/000089161807000210/f28726e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114420408015186/v106470_10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114420409011423/0001144204-09-011423-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000114420410010210/0001144204-10-010210-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000114420411010891/v210811_10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000114036112010944/0001140361-12-010944-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344113000012/0001273441-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344114000008/gte-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344115000011/gte-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344116000052/0001273441-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344117000011/0001273441-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344118000010/0001273441-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344119000008/0001273441-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344120000007/0001273441-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1273441/000127344121000007/0001273441-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1273441/000127344122000007/0001273441-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,
