,https://roic.ai/company/IDT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,13800000,73400000,138600000,339200000,729800000,1310522637,1663660000,1755906000,1894855000,2280616000,2550146000,2423563000,2196716000,-228777000,1531073000,1364445000,1538879000,1498539000,1586867000,1621701000,1572228000,1472110000,1496117000,1534487000,1408739000,1323749000,1389076000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-824000,-148000,-159000,1216000,1254000,1071000,776000,1043000,318000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5679000,2976000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,300000,1200000,4900000,11300000,42000000,91481477,60351000,66016000,89309000,99868000,111894000,87422000,80011000,68747000,49285000,33426000,20976000,16648000,14910000,16318000,18418000,20535000,21704000,22801000,22632000,20406000,17764000
15,EBITDA,-1800000,-14400000,1100000,3200000,62800000,540734896,802105000,-361678000,1419000,13738000,79978000,-88656000,142240000,-145660000,-110685000,58991000,47929000,15516000,42389000,39084000,108996000,48159000,27860000,29911000,22889000,38136000,82572000
16,EBITDA ratio,-0.1538,-0.2496,0.0081,0.0095,0.0858,0.4943,0.6516,-0.2361,0.0008,0.0062,0.0324,-0.0398,0.0707,-0.0776,-0.0719,0.0421,0.0308,0.0103,0.0262,0.0237,0.0683,0.0322,0.0186,0.0193,0.0162,0.0283,0.0571
17,Operating Income,-2100000,-15700000,-3400000,-3800000,2400000,-216610782,-432710000,-224292000,-73620000,-121931000,-115836000,-220787000,-172710000,2106767000,-73459000,32163000,15545000,8297000,29391000,29840000,93050000,26203000,5549000,8378000,-1005000,17942000,56990000
18,Operating Income ratio,-0.1795,-0.2721,-0.0251,-0.0113,0.0033,-0.1980,-0.3515,-0.1464,-0.0401,-0.0550,-0.0469,-0.0992,-0.0858,1.1218,-0.0477,0.0229,0.0100,0.0055,0.0181,0.0181,0.0583,0.0175,0.0037,0.0054,-0.0007,0.0133,0.0394
19,Total Other Income Expenses (Gains),- -,500000,500000,-4200000,21700000,668840046,1174464000,-56419000,-14270000,70118000,86503000,16700000,47049000,-2317656000,-36122000,-6235000,-1212000,-15283000,4559000,-4848000,-847000,3265000,2071000,-277000,1458000,-224000,8234000
20,Income Before Tax,- -,- -,- -,-8000000,24100000,452229264,741754000,-280711000,-87890000,-51813000,-29333000,-204087000,-125661000,-210889000,-109581000,25928000,14333000,-6986000,33950000,24992000,92203000,29468000,7620000,8101000,453000,17718000,65224000
21,Income Before Tax Ratio,- -,- -,- -,-0.0239,0.0329,0.4134,0.6026,-0.1833,-0.0479,-0.0234,-0.0119,-0.0917,-0.0624,-0.1123,-0.0712,0.0185,0.0092,-0.0046,0.0209,0.0151,0.0577,0.0197,0.0051,0.0052,0.0003,0.0132,0.0451
22,Income Tax expense (Gain),- -,- -,- -,-1700000,17900000,218403383,209395000,-124345000,-70373000,9581000,11898000,2576000,3605000,9923000,-4521000,5275000,-5538000,-42756000,15872000,3982000,6088000,4110000,-2021000,2902000,123000,-3700000,-31667000
23,Net Income,-2100000,-15600000,-3800000,-6400000,2900000,230850036,532359000,-303349000,-17517000,-95711000,-43814000,-178654000,58624000,-224330000,-155449000,20290000,26812000,38648000,11607000,18784000,84490000,23514000,8177000,4208000,134000,21430000,96475000
24,Net Income ratio,-0.1795,-0.2704,-0.0281,-0.0191,0.0040,0.2110,0.4325,-0.1981,-0.0095,-0.0432,-0.0177,-0.0802,0.0291,-0.1195,-0.1010,0.0145,0.0172,0.0256,0.0072,0.0114,0.0529,0.0157,0.0054,0.0027,0.0001,0.0159,0.0667
25,EPS,-0.20,-2.58,-0.54,-0.66,-2.10,19.80,23.37,-12.12,-0.66,-3.27,-1.35,-5.58,2.13,-8.85,-6.90,0.99,1.30,1.87,0.56,0.85,3.69,1.03,0.35,0.17,0.01,0.82,3.78
26,EPS Diluted,-0.20,-2.58,-0.54,-0.66,-2.10,18.42,21.36,-12.12,-0.66,-3.27,-1.35,-5.58,2.13,-8.85,-6.90,0.94,1.19,1.75,0.52,0.82,3.63,1.03,0.35,0.17,0.01,0.81,3.70
27,Weighted Average Shares Outstanding,10769220,6060001,7050968,9523797,11176632,11655455,22766977,25035974,26725306,29306637,32349634,32009301,27388305,25390307,22542000,20451000,20565000,20717000,20876000,22009000,22903000,22765000,23182000,24655000,25293000,26278000,25495000
28,Weighted Average Shares Outstanding Diluted,10769220,11487168,13913030,19047600,23999976,12539771,24928641,25035974,26725306,29306637,32349634,32009301,27388305,25390307,22542000,21546000,22482000,22060000,22315000,22937000,23247000,22815000,23309000,24718000,25308000,26441000,26053000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1005731/000104746997002040/0001047469-97-002040-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000094018098001087/0000940180-98-001087-index.html,- -,https://www.sec.gov/Archives/edgar/data/1005731/000095013000005710/0000950130-00-005710-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000112528201502352/0001125282-01-502352-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000095013002007323/0000950130-02-007323-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000119312503069431/0001193125-03-069431-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312504171641/0001193125-04-171641-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312505201852/0001193125-05-201852-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312506208487/0001193125-06-208487-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312507218515/0001193125-07-218515-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312508210022/0001193125-08-210022-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312509217321/0001193125-09-217321-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312510239862/0001193125-10-239862-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312511268519/0001193125-11-268519-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312512423374/0001193125-12-423374-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312513399818/0001193125-13-399818-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390014007233/0001213900-14-007233-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390015007660/0001213900-15-007660-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390016017511/0001213900-16-017511-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390017010610/0001213900-17-010610-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390018013916/0001213900-18-013916-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390019020184/0001213900-19-020184-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390020031279/0001213900-20-031279-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000149315221025444/0001493152-21-025444-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,14900000,7700000,115300000,52900000,162879042,1091071000,351248000,99046000,142177000,171959000,119109000,153845000,169019000,111255000,221753000,254253000,151504000,146960000,153823000,110361000,109537000,90344000,68089000,80168000,84860000,107147000
32,Short-Term Investments,- -,- -,- -,- -,77900000,230159597,3489000,658731000,921669000,897130000,761045000,395713000,388140000,134025000,7357000,1738000,198000,86000,9684000,12873000,40287000,52949000,58272000,5972000,8222000,24327000,56446000
33,Cash and Short-Term Investments,200000,14900000,7700000,115300000,130800000,393038639,1094560000,1009979000,1020715000,1039307000,933004000,514822000,541985000,303044000,118612000,223491000,254451000,151590000,156644000,166696000,150648000,162486000,148616000,74061000,88390000,109187000,163593000
34,Net Receivables,2000000,12400000,18400000,40200000,125100000,164624911,116759000,126153000,126303000,184125000,194707000,185125000,171780000,178642000,141648000,105232000,126270000,83054000,65078000,69330000,67014000,49283000,64979000,69481000,58060000,44166000,46644000
35,Inventory,- -,- -,- -,- -,- -,13120993,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,3200000,2900000,72400000,36300000,71108429,32413000,65291000,81304000,106976000,135799000,543224000,89372000,94297000,116360000,52391000,53713000,54014000,68582000,102839000,123526000,127284000,157522000,185339000,222011000,168779000,177898000
37,Total Current Assets,2400000,30500000,29000000,227900000,292200000,641892972,1243732000,1201423000,1228322000,1330408000,1263510000,1243171000,803137000,575983000,376620000,381114000,434434000,288658000,290304000,338865000,341188000,339053000,371117000,328881000,368461000,322132000,388135000
38,PP&E,1800000,12500000,25700000,75300000,114100000,225638279,224042000,250631000,286807000,261760000,370157000,292152000,251318000,229931000,133468000,96892000,90806000,85567000,80742000,81760000,91316000,87374000,88994000,36068000,34355000,39551000,38500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,32702000,- -,- -,- -,105577000,101515000,74509000,17275000,18429000,18675000,14614000,14807000,14830000,14388000,11218000,11326000,11315000,11209000,12858000,14897000
40,Intangible Assets,- -,- -,1400000,74200000,79700000,173218064,197804000,25503000,65154000,122462000,143557000,27445000,13824000,9437000,5938000,3675000,2661000,1907000,1390000,1742000,1277000,843000,- -,- -,4196000,3959000,7578000
41,Intangible Assets,- -,- -,1400000,74200000,79700000,173218064,197804000,58205000,65154000,122462000,143557000,133022000,115339000,83946000,23213000,22104000,21336000,16521000,16197000,16572000,15665000,12061000,11326000,11315000,15405000,16817000,22475000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,52000000,119000000,40000000,13099000,8375000,8721000,7133000,9605000,10008000,12344000,14024000,26894000,6633000,9319000,8833000,11654000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,1795000,31744000,20000000,16248000,12481000,9554000,11841000,5668000,4589000,8512000,41502000
44,Other Non-Current Assets,- -,800000,2400000,39800000,29300000,178306042,215760000,97661000,152059000,159727000,155366000,42494000,78517000,70815000,13220000,9310000,11074000,21491000,18559000,17478000,12688000,7592000,8791000,11032000,11574000,8905000,10389000
45,Total Non-Current Assets,1800000,13300000,29500000,189300000,223100000,577162385,637606000,406497000,504020000,543949000,714080000,519668000,564174000,426992000,183000000,136681000,133732000,162456000,145103000,142066000,144494000,130605000,147846000,70716000,75242000,82618000,124520000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4200000,43800000,58500000,417200000,515300000,1219055357,1881338000,1607920000,1732342000,1874357000,1977590000,1762839000,1367311000,1002975000,559620000,517795000,568166000,451114000,435407000,480931000,485682000,469658000,518963000,399597000,443703000,404750000,512655000
48,Accounts Payable,800000,7800000,17000000,38800000,79500000,161873530,163313000,121529000,106836000,140296000,115999000,82327000,54445000,82976000,67474000,52957000,58806000,39845000,39323000,42135000,29140000,30253000,40989000,45124000,37077000,31147000,24502000
49,Short-Term Debt,- -,- -,3400000,5900000,13200000,36143714,18270000,22960000,27862000,21793000,32728000,18940000,29144000,11431000,8100000,6660000,2312000,560000,21597000,13271000,6353000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2031000,10085000,7701000,1337000,39363000,44025000,51188000,48947000,44766000,- -,55005000,54087000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,71387000,112183000,145343000,140755000,144248000,134286000,112757000,88618000,69236000,69186000,78852000,95112000,119890000,163850000,170756000,182021000,76451000,55003000,217507000,156106000,157817000
52,Other Current Liabilities,2500000,9200000,3700000,16800000,20100000,95946158,75369000,136303000,187726000,222520000,257425000,444259000,305615000,341508000,169575000,156179000,185171000,165848000,152859000,148728000,142663000,131546000,245336000,266857000,134486000,137617000,157015000
53,Total Current Liabilities,3300000,17000000,24100000,61500000,112800000,293963402,328339000,392975000,467767000,525364000,550400000,679812000,501961000,524533000,314385000,284982000,325141000,301365000,333669000,367984000,348912000,343820000,362776000,366984000,389070000,324870000,339334000
54,Long-Term Debt,- -,- -,9100000,113000000,128700000,56114210,380000,- -,- -,- -,121470000,90370000,82847000,100150000,43281000,33640000,29564000,29716000,6624000,6353000,- -,- -,- -,- -,- -,7353000,5473000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,168772000,390914000,241973000,150131000,145037000,108237000,107106000,105049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,708908,64301000,48486000,69570000,80028000,69395000,38972000,36329000,30105000,22512000,13200000,9671000,17308000,5978000,5430000,1830000,1635000,1630000,1310000,1076000,1388000,1234000
58,Total Non-Current Liabilities,- -,- -,9100000,113100000,128700000,225595118,455595000,290459000,219701000,225065000,299102000,236448000,224225000,130255000,65793000,46840000,39235000,47024000,12602000,11783000,1830000,1635000,1630000,1310000,1076000,8741000,6707000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,45084000,31810000,42370000,32122000,23401000,11148000,13017000,6439000,1701000,- -,- -,- -,- -,- -,- -,- -,- -,7353000,5473000
61,Total Liabilities,3300000,17000000,33200000,174600000,241500000,519558520,783934000,683434000,687468000,750429000,849502000,916260000,726186000,654788000,380178000,331822000,364376000,348389000,346271000,379767000,350742000,345455000,364406000,368294000,390146000,333611000,346041000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,300000,359296,719000,794000,820000,961000,1108000,1117000,982000,988000,354000,357000,269000,274000,276000,279000,286000,287000,289000,289000,291000,293000,297000
64,Retained Earnings,-2500000,-18100000,-21900000,-28300000,-25400000,189727771,722086000,418737000,401220000,305509000,298495000,119841000,147682000,-96467000,-251916000,-231626000,-219992000,-196358000,-203711000,-196725000,-159829000,-153673000,-163370000,-173103000,-160763000,-139333000,-42858000
65,Other Comprehensive Income/Loss,-400000,-1700000,-6400000,-16100000,-37300000,-74214413,-92232000,-153340000,-8080000,6114000,-20939000,1496000,10750000,6754000,953000,-1017000,3027000,202000,2341000,3668000,771000,-3744000,-2343000,-4972000,-4858000,-7410000,-10183000
66,Other Total Stockholders Equity,3800000,46600000,53600000,287000000,336200000,583624183,466831000,658295000,503567000,678649000,759533000,680898000,470748000,431062000,426903000,416075000,425791000,298112000,289697000,293017000,292603000,280927000,311158000,208450000,221574000,221222000,217608000
67,Total Stockholders Equity,900000,26800000,25300000,242600000,273800000,699496837,1097404000,924486000,897527000,991233000,1038197000,803352000,630162000,342337000,176294000,183789000,209095000,102230000,88603000,100239000,133831000,123797000,145734000,30664000,56244000,74772000,164864000
68,Total Liabilities And Stockholders Equity,4200000,43800000,58500000,417200000,515300000,1219055357,1881338000,1607920000,1584995000,1741662000,1887699000,1719612000,1356348000,997125000,556472000,515611000,573471000,450619000,434874000,480006000,484573000,469252000,510140000,398958000,446390000,408383000,510905000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,147347000,132695000,89891000,43227000,10963000,5850000,3148000,2184000,-5305000,495000,533000,925000,1109000,406000,8823000,639000,-2687000,-3633000,1750000
70,Total Liabilities & Equity,4200000,43800000,58500000,417200000,515300000,1219055357,1881338000,1607920000,1732342000,1874357000,1977590000,1762839000,1367311000,1002975000,559620000,517795000,568166000,451114000,435407000,480931000,485682000,469658000,518963000,399597000,443703000,404750000,512655000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1005731/000104746997002040/0001047469-97-002040-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000094018098001087/0000940180-98-001087-index.html,- -,https://www.sec.gov/Archives/edgar/data/1005731/000095013000005710/0000950130-00-005710-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000112528201502352/0001125282-01-502352-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000095013002007323/0000950130-02-007323-index.html,https://www.sec.gov/Archives/edgar/data/1005731/000119312503069431/0001193125-03-069431-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312504171641/0001193125-04-171641-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312505201852/0001193125-05-201852-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312506208487/0001193125-06-208487-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312507218515/0001193125-07-218515-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312508210022/0001193125-08-210022-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312509217321/0001193125-09-217321-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312510239862/0001193125-10-239862-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312511268519/0001193125-11-268519-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312512423374/0001193125-12-423374-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000119312513399818/0001193125-13-399818-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390014007233/0001213900-14-007233-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390015007660/0001213900-15-007660-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390016017511/0001213900-16-017511-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390017010610/0001213900-17-010610-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390018013916/0001213900-18-013916-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390019020184/0001213900-19-020184-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000121390020031279/0001213900-20-031279-index.htm,https://www.sec.gov/Archives/edgar/data/1005731/000149315221025444/0001493152-21-025444-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2100000,-15600000,-3800000,-6400000,2900000,230850036,532359000,-303349000,-17517000,-95711000,-43814000,-178654000,58624000,-224330000,-155449000,20290000,26812000,38648000,11607000,18784000,84490000,23514000,8177000,4208000,134000,21430000,96475000
74,Depreciation and Amortization,300000,1200000,4900000,11300000,42000000,91481477,60351000,66016000,89309000,99868000,111894000,87422000,80011000,68747000,49285000,33426000,20976000,16648000,14910000,16318000,18418000,20535000,21704000,22801000,22632000,20406000,17764000
75,Deferred Income Tax,- -,- -,- -,-2000000,9400000,216903000,204188000,-127342000,-69627000,1495000,-59000,-5648000,-1991000,5832000,2300000,- -,-2814000,-37925000,15198000,2487000,5877000,3809000,-2329000,6174000,285000,-3805000,-32793000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3407000,2541000,4832000,3325000,5875000,5382000,5185000,2680000,3740000,3581000,2236000,3856000,1490000
77,Change in Working Capital,1400000,14400000,-8600000,161500000,13000000,168529570,567463430,-106945000,-47893000,44489000,-91934000,-149751000,-262183000,-249726000,10785000,33897000,13161000,-122000000,-30658000,14246000,21395000,2957000,13108000,-46444000,17494000,17871000,51539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13474000,21672000,-24381000,8754000,17606000,-1363000,640000,616000,-17972000,-6668000,7594000,11702000,-3728000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22578000,-5914000,-3824000,-10337000,17344000,12769000,-7546000,- -,- -
81,Other Working Capital,-900000,13500000,4900000,166400000,179400000,347929570,915393000,808448000,760555000,805044000,713110000,563359000,301176000,51450000,62235000,96132000,109293000,-12707000,-43365000,-29119000,-7724000,-4767000,8341000,-38103000,-20609000,-2738000,48801000
82,Other Non-Cash Items,900000,-14900000,3100000,-133800000,-85600000,-784833834,-1338133430,493363000,86574000,26612000,20093000,3588000,3173000,256267000,-10953000,-33021000,-1118000,141576000,42327000,-11496000,-104831000,-4441000,-25386000,16574000,42356000,-89349000,-67855000
83,Cash Provided by Operating Activities,500000,-14900000,-4400000,30600000,-18300000,-77069751,26228000,21743000,40846000,76753000,-3820000,-243043000,-122366000,-143210000,-100625000,57133000,61849000,40272000,59259000,45721000,30534000,49054000,19014000,6894000,85137000,-29591000,66620000
84,CAPEX,-1300000,-11900000,-7100000,-61900000,-48100000,-101192121,-106513000,-39245000,-63157000,-89334000,-112265000,-53523000,-36290000,-45064000,-15253000,-8310000,-17396000,-10830000,-15580000,-17271000,-28556000,-18370000,-22949000,-20567000,-18681000,-16041000,-16765000
85,Acquisitions Net,- -,- -,- -,- -,- -,-38802726,-73722000,-81398000,-16595000,-91330000,- -,129308000,38379000,-21862000,-4550000,-400000,- -,- -,- -,- -,59678000,15154000,-1827000,-53000,-5526000,-450000,-4337000
86,Purchases of Investments,- -,- -,- -,-60300000,-17600000,-7058853,- -,-1399171000,-1722160000,-3877070000,-5584102000,-1549588000,-1720669000,-442945000,-56035000,- -,-8518000,- -,-12633000,-20833000,-52485000,-48911000,-62840000,-22523000,-8276000,-22429000,-49187000
87,Sales/Maturities of Investments,300000,- -,- -,- -,- -,- -,164052000,742866000,1487726000,3959241000,5711187000,1760705000,1684344000,765819000,177586000,7380000,8177000,3169000,1826000,18361000,24245000,35645000,48011000,41502000,6312000,6457000,26230000
88,Other Investing Activites,- -,- -,-2100000,-23600000,-15100000,124957754,1030024000,-8543000,-20712000,- -,-12345000,12914000,214001000,-23724000,-34251000,48716000,-6352000,-8271000,-13880000,-16450000,-28556000,-18370000,-22949000,-20567000,-18681000,-16041000,-16765000
89,Cash Used for Investing Activites,-1000000,-11900000,-9200000,-145800000,-80800000,-22095946,1013841000,-785491000,-334898000,-98493000,2475000,299816000,179765000,232224000,82750000,55696000,-6693000,-5102000,-25637000,-18922000,2882000,-16482000,-39605000,-1641000,-26171000,-32463000,-44059000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8617000,-6577000,-9423000,-2113000,-21304000,-64318000,-13271000,-6353000,- -,-22320000,-3000000,-11429000,- -
91,Common Stock Issued,- -,41500000,2200000,124100000,40500000,412661843,83670000,83924000,49504000,113194000,9210000,5241000,8045000,1267000,36000,5690000,10000000,- -,- -,- -,- -,- -,24930000,- -,13272000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-101887414,-135849000,-15640000,- -,- -,-14660000,-89343000,-22522000,-45354000,-8365000,-1879000,-7704000,-2816000,-1079000,-1005000,-10702000,-4773000,-1838000,-2293000,-3882000,-4482000,-4192000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30783000,- -,-2760000,-1939000,-15178000,-15014000,-17123000,-13635000,-47594000,-17358000,-17874000,-13941000,- -,- -,- -
94,Other Financing Activites,- -,- -,4300000,98700000,-3800000,-101633169,-59698000,-44359000,-71870000,-51334000,36368000,1401000,-14686000,-33305000,81000,-10156000,-1864000,-105690000,3088000,53588000,1374000,909000,1604000,11993000,826000,10261000,-331000
95,Cash Used/Provided by Financing Activities,- -,41500000,6500000,222800000,36700000,209141260,-111877000,23925000,-22366000,61860000,30918000,-82701000,-59946000,-77392000,-19625000,-14861000,-24169000,-125633000,-36418000,-25370000,-70193000,-27575000,6822000,-26561000,7216000,-5650000,-4523000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3011000,209000,5161000,5200000,3552000,-3004000,-597000,1513000,-2334000,1241000,794000,-6685000,-5821000,292000,-771000,-12180000,11727000,7656000
97,Net Change In Cash,- -,41500000,6500000,222800000,-62400000,109975563,928192000,-739823000,-316418000,43131000,29782000,-20767000,2653000,15174000,-40504000,97371000,32500000,-92797000,-4543000,2223000,-43462000,-824000,-13477000,-22079000,54002000,-55977000,25694000
98,Cash at the End of Period,- -,- -,- -,- -,52900000,162879042,1091071000,351248000,99046000,142177000,171959000,151192000,153845000,169019000,124382000,221753000,254253000,151504000,146960000,153823000,110361000,109537000,96060000,73981000,257199000,201222000,226916000
99,Cash at the Beginning of Period,800000,200000,14900000,7700000,115300000,52903479,162879000,1091071000,415464000,99046000,142177000,171959000,151192000,153845000,164886000,124382000,221753000,244301000,151503000,151600000,153823000,110361000,109537000,96060000,203197000,257199000,201222000
