,https://roic.ai/company/COHR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,49500000,52300000,62400000,76400000,80300000,81500000,95700000,98700000,90700000,89200000,121600000,142500000,163200000,173700000,202600000,239220000,162969000,161169000,211500000,181300000,181900000,214803000,238900000,229300000,196200000,203900000,238813000,227200000,237300000,236600000,234652000,253778000,427274000,437674000,423070000,841054000,431006000
11,COGS and Expenses,122800000,137400000,156000000,186700000,189300000,188300000,205800000,210100000,183000000,199100000,255600000,319700000,348700000,386300000,450800000,512054000,441141000,397487000,469000000,468900000,480500000,543342000,590000000,576700000,471000000,548200000,690825000,680300000,725200000,717800000,701713000,729771000,1400316000,1509556000,1347545000,1659179000,1349634000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2485000,1871000,909000,311000,230000,397000,595000,1143000,1090000,1571000,1119000,1053000,458000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,-1300000,200000,-1800000,- -,- -,- -,3878000,3138000,1839000,- -,10849000,152000,228000,256000,147000,86000,164000,72000,48000,1346000,34362000,25847000,-28437000,17037000,18059000
14,Depreciation and Amortization,2400000,4400000,4900000,7000000,7300000,7700000,8200000,7900000,7300000,7900000,9000000,12400000,14600000,17200000,19900000,26158000,25597000,27505000,34149000,36237000,35298000,36101000,39113000,31970000,26660000,29659000,28621000,29649000,36123000,36201000,33059000,34355000,104245000,113381000,116385000,92866000,74161000
15,EBITDA,13600000,6900000,7900000,9400000,24700000,11500000,11300000,13300000,22600000,25800000,40800000,65300000,60100000,41100000,34300000,136622000,141503000,-68635000,-14513000,67665000,78787000,82282000,78934000,69406000,-8948000,87878000,152597000,120395000,119828000,115486000,132675000,158597000,439140000,500781000,147996000,-332820000,-23318000
16,EBITDA ratio,0.1033,0.0499,0.0497,0.0500,0.1225,0.0601,0.0544,0.0617,0.1148,0.1198,0.1429,0.1792,0.1537,0.1001,0.0731,0.2404,0.2961,-0.1727,-0.0357,0.1367,0.1526,0.1407,0.1313,0.1158,-0.0205,0.1452,0.1901,0.1565,0.1479,0.1453,0.1653,0.1850,0.2548,0.2632,0.1034,-0.2708,-0.0157
17,Operating Income,8900000,800000,3000000,1400000,12300000,2900000,2000000,5300000,13900000,16400000,29900000,44700000,51600000,24100000,34100000,56218000,34333000,-163000,-52560000,28177000,35762000,34666000,11121000,22592000,-35157000,56880000,112009000,88830000,84899000,76866000,100747000,127614000,325495000,393017000,83095000,-430180000,-98213000
18,Operating Income ratio,0.0676,0.0058,0.0189,0.0074,0.0610,0.0152,0.0096,0.0246,0.0706,0.0761,0.1047,0.1227,0.1320,0.0587,0.0727,0.0989,0.0718,-0.0004,-0.1294,0.0569,0.0693,0.0593,0.0185,0.0377,-0.0807,0.0940,0.1395,0.1155,0.1048,0.0967,0.1255,0.1488,0.1889,0.2066,0.0581,-0.3500,-0.0660
19,Total Other Income Expenses (Gains),2300000,1700000,- -,1000000,5100000,900000,1100000,100000,200000,400000,1900000,4600000,-4800000,-400000,-17900000,54246000,8849000,-97419000,-4840000,-877000,5638000,11515000,17779000,14708000,-743000,1120000,11820000,1770000,-1399000,2334000,-1179000,-4718000,-23440000,-31462000,-23047000,-12543000,-17325000
20,Income Before Tax,11200000,2500000,3000000,2400000,17400000,3800000,3100000,5400000,14100000,16800000,31800000,49300000,46800000,23700000,16200000,110464000,43182000,-97582000,-57400000,27300000,41400000,46181000,28900000,37300000,-35900000,58000000,123829000,90600000,83500000,79200000,99568000,122896000,302055000,361555000,60048000,-442723000,-115538000
21,Income Before Tax Ratio,0.0850,0.0181,0.0189,0.0128,0.0863,0.0199,0.0149,0.0251,0.0716,0.0780,0.1114,0.1353,0.1197,0.0577,0.0345,0.1944,0.0903,-0.2456,-0.1413,0.0552,0.0802,0.0790,0.0481,0.0622,-0.0824,0.0959,0.1542,0.1178,0.1031,0.0997,0.1241,0.1433,0.1753,0.1900,0.0420,-0.3602,-0.0777
22,Income Tax expense (Gain),4700000,3400000,4100000,3700000,8800000,4200000,2900000,2800000,4800000,6400000,12500000,19000000,20500000,4900000,4400000,40527000,15156000,-27172000,-6640000,10890000,1750000,787000,12972000,13884000,-536000,21063000,30591000,27660000,17141000,20113000,23159000,35394000,93411000,114195000,6223000,-28584000,-8787000
23,Net Income,6500000,-900000,-1100000,-1300000,8600000,-400000,200000,2600000,10500000,11500000,19300000,30300000,26300000,18800000,11800000,69937000,100750000,-68968000,-45900000,17400000,39900000,45394000,16000000,23400000,-35300000,36900000,93238000,63000000,66400000,59100000,76409000,87502000,207122000,247358000,53825000,-414139000,-106751000
24,Net Income ratio,0.0494,-0.0065,-0.0069,-0.0069,0.0427,-0.0021,0.0010,0.0121,0.0533,0.0534,0.0676,0.0832,0.0673,0.0458,0.0252,0.1231,0.2108,-0.1736,-0.1130,0.0352,0.0773,0.0776,0.0266,0.0390,-0.0810,0.0610,0.1161,0.0819,0.0820,0.0744,0.0952,0.1021,0.1202,0.1300,0.0376,-0.3370,-0.0718
25,EPS,0.41,-0.06,-0.07,-0.08,0.47,-0.03,0.01,0.14,0.53,0.56,0.88,1.31,1.12,0.80,0.49,2.77,3.64,-2.40,-1.56,0.59,1.30,1.47,0.51,0.85,-1.45,1.49,3.74,2.67,2.75,2.39,3.09,3.62,8.46,10.07,2.23,-17.18,-4.38
26,EPS Diluted,0.41,-0.06,-0.07,-0.08,0.47,-0.03,0.01,0.14,0.53,0.56,0.88,1.31,1.12,0.79,0.48,2.56,3.50,-2.40,-1.56,0.58,1.28,1.44,0.50,0.83,-1.45,1.47,3.66,2.62,2.70,2.36,3.06,3.58,8.36,9.95,2.22,-17.18,-4.38
27,Weighted Average Shares Outstanding,15853659,15000000,15714286,16250000,18297872,13333333,20000000,18571429,19811321,20720721,22057143,23041825,23482143,23374000,23957000,25252000,27709000,28786000,29448000,30179000,30756000,30973000,31398000,27505000,24281000,24718000,24924000,23561000,24138000,24760000,24754000,24142000,24487000,24572000,24118000,24105000,24390000
28,Weighted Average Shares Outstanding Diluted,15853659,15000000,15714286,16250000,18297872,13333333,20000000,18571429,19811321,20720721,22057143,23041825,23482143,23749000,24633000,27319000,28817000,28786000,29448000,30544000,31241000,31567000,32024000,28054000,24281000,25091000,25464000,24026000,24555000,25076000,24992000,24415000,24777000,24851000,24279000,24105000,24390000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21510/000091205794004216/0000912057-94-004216-index.html,https://www.sec.gov/Archives/edgar/data/21510/000091205795011265/0000912057-95-011265-index.html,https://www.sec.gov/Archives/edgar/data/21510/000091205796029938/0000912057-96-029938-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21510/000104746902007413/0001047469-02-007413-index.html,https://www.sec.gov/Archives/edgar/data/21510/000110465903028841/0001104659-03-028841-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000110465904039736/0001104659-04-039736-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000110465905061065/0001104659-05-061065-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746907009926/0001047469-07-009926-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746908000863/0001047469-08-000863-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746908012562/0001047469-08-012562-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746909010760/0001047469-09-010760-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746910010417/0001047469-10-010417-index.htm,- -,https://www.sec.gov/Archives/edgar/data/21510/000002151012000014/0000021510-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151013000020/0000021510-13-000020-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151014000037/0000021510-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151015000035/0000021510-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151016000074/0000021510-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151017000036/0000021510-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/21510/000002151018000029/0000021510-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151019000034/0000021510-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151020000049/0000021510-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/0000021510-21-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16600000,28200000,12500000,13900000,21600000,12900000,5800000,18200000,27900000,27200000,20400000,9200000,21500000,15900000,38300000,158488000,77409000,131018000,76500000,87700000,97500000,445231000,315900000,213800000,200000000,245400000,167061000,67800000,110400000,91200000,130607000,354347000,443066000,310495000,305833000,440258000,456534000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16500000,- -,25400000,10200000,17000000,30600000,99681000,258414000,133940000,58400000,83100000,133400000,48767000,45900000,4300000,43700000,17400000,53142000,157200000,139700000,227100000,194908000,45606000,32510000,120000,120000,35346000,458061000
33,Cash and Short-Term Investments,16600000,28200000,12500000,13900000,21600000,12900000,5800000,18200000,27900000,43700000,20400000,34600000,31700000,32900000,68900000,258169000,335823000,264958000,134900000,170800000,230900000,493998000,361800000,218100000,243700000,262800000,220203000,225000000,250100000,318300000,325515000,399953000,475576000,310615000,305953000,475604000,914595000
34,Net Receivables,46000000,41900000,45600000,48400000,50500000,48800000,56700000,53400000,49500000,49100000,62400000,83400000,95800000,86800000,95000000,112401000,90688000,76478000,73100000,96800000,87700000,111446000,102300000,96600000,74200000,110200000,141037000,144300000,160700000,137300000,148834000,176253000,320995000,372138000,278761000,220289000,264957000
35,Inventory,41300000,37900000,44500000,39600000,41500000,41700000,46600000,47300000,35800000,38800000,52000000,65800000,86400000,103500000,97900000,125968000,107980000,89218000,100100000,104700000,102700000,101494000,112900000,120500000,97800000,113900000,152385000,160100000,168100000,170500000,156614000,212898000,414807000,486741000,442530000,426756000,392241000
36,Other Current Assets,2500000,3100000,5000000,7300000,7200000,19100000,20900000,22000000,31100000,24700000,50200000,34600000,41300000,49600000,55800000,61875000,49946000,94703000,90900000,77900000,70400000,50457000,88600000,74600000,67100000,55600000,67021000,85100000,50300000,55000000,21720000,26535000,100286000,69008000,67577000,89015000,-392508000
37,Total Current Assets,106400000,111100000,107600000,109200000,120800000,122500000,130000000,140900000,144300000,156300000,185000000,218400000,255200000,272800000,317600000,558413000,584437000,525357000,399000000,450200000,491700000,757395000,665600000,509800000,482800000,542500000,580646000,614500000,629200000,681100000,652683000,815639000,1311664000,1238502000,1094821000,1211664000,1179285000
38,PP&E,15900000,20600000,26400000,29200000,27800000,29400000,28800000,38000000,38600000,43200000,44900000,64600000,71800000,82900000,90000000,102590000,168536000,172001000,146400000,166100000,155300000,148592000,104300000,101000000,98800000,90300000,104504000,115100000,114300000,107400000,102445000,127443000,278850000,311793000,323434000,245678000,379309000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,10600000,13400000,11600000,39500000,- -,- -,- -,51000000,53100000,68100000,71871000,83400000,86800000,67000000,70800000,75954000,77700000,113400000,109500000,101817000,101458000,417694000,442940000,427101000,101317000,105261000
40,Intangible Assets,6600000,6400000,9800000,10100000,8200000,7600000,6800000,6200000,4800000,- -,10200000,16400000,19900000,22000000,24700000,38555000,31329000,31600000,40300000,35500000,42200000,38863000,35600000,27600000,19700000,19900000,17980000,9500000,43000000,31700000,22776000,13874000,190027000,142293000,84813000,21765000,14740000
41,Intangible Assets,6600000,6400000,9800000,10100000,8200000,7600000,6800000,6200000,4800000,5000000,10200000,27000000,33300000,33600000,64200000,38555000,31329000,31600000,91300000,88600000,110300000,110734000,119000000,114400000,86700000,90700000,93934000,87200000,156400000,141200000,124593000,115332000,607721000,585233000,511914000,123082000,120001000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1400000,1500000,1300000,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32717000,10400000,13700000,9700000,6200000,37156000,700000,10500000,6500000,2717000,1468000,82691000,26339000,27785000,- -,153685000
44,Other Non-Current Assets,1900000,2600000,5000000,5500000,5500000,4800000,3400000,3200000,6100000,6500000,15800000,- -,- -,- -,22400000,45278000,90215000,75299000,71700000,52400000,41000000,33086000,48300000,67500000,75600000,73400000,27026000,63300000,56100000,63200000,86509000,101266000,56874000,98102000,125215000,- -,56650000
45,Total Non-Current Assets,24400000,29600000,41200000,44800000,41500000,41800000,39000000,47400000,49500000,54700000,70900000,93100000,106500000,118000000,177900000,186423000,290080000,278900000,310400000,307100000,306600000,325129000,282000000,296600000,270800000,260600000,262620000,266300000,337300000,318300000,316264000,345509000,1026136000,1021467000,988348000,368760000,709645000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,130800000,140700000,148800000,154000000,162300000,164300000,169000000,188300000,193800000,211000000,255900000,311500000,361700000,390800000,495500000,744836000,874517000,804257000,709400000,757300000,798300000,1082524000,947600000,806400000,753600000,803100000,843266000,880800000,966500000,999400000,968947000,1161148000,2337800000,2259969000,2083169000,1580424000,1888930000
48,Accounts Payable,- -,- -,- -,- -,- -,9900000,8200000,8700000,7000000,8000000,11700000,12400000,18000000,17900000,18300000,29282000,18002000,13757000,17600000,17600000,18500000,29498000,27800000,26300000,21600000,39700000,39841000,29100000,36600000,32800000,33379000,45182000,75860000,70292000,51531000,60225000,104539000
49,Short-Term Debt,8900000,21200000,17800000,14800000,6900000,9700000,10900000,15800000,9500000,4400000,12300000,4200000,19200000,11600000,14400000,11898000,31565000,29698000,14140000,13700000,12736000,8000,9000,9000,9000,18000,15000,17000,2000,- -,- -,20000000,5078000,5072000,14863000,32582000,33647000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6314000,14362000,34996000,49401000,30842000,7065000,9167000,23526000,103206000,114145000,6185000,6861000,20991000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7832000,- -,- -,- -,- -,14893000,17465000,16994000,15536000,16474000,33034000,85289000,30613000,- -,- -,49445000
52,Other Current Liabilities,28600000,29000000,38300000,44100000,45000000,32700000,36400000,38400000,39500000,46200000,54200000,78300000,65300000,69500000,90000000,94369000,66032000,54752000,69360000,73200000,80364000,89240000,100891000,86991000,64691000,92182000,107656000,107218000,92204000,68964000,72737000,103278000,252918000,266861000,173920000,175251000,194584000
53,Total Current Liabilities,37500000,50200000,56100000,58900000,51900000,52300000,55500000,62900000,56000000,58600000,78200000,94900000,102500000,99000000,122700000,135549000,115599000,98207000,101100000,104500000,111600000,126578000,128700000,113300000,86300000,131900000,162405000,153800000,145800000,117300000,122590000,201494000,419145000,372838000,240314000,268058000,382215000
54,Long-Term Debt,2900000,4200000,4200000,3500000,6300000,7000000,6600000,15600000,14100000,8900000,5100000,3900000,3900000,9700000,74700000,68647000,58159000,43345000,27900000,14200000,- -,199747000,- -,- -,- -,- -,19000,- -,- -,- -,- -,- -,589001000,420711000,392238000,16817000,491279000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2636000,2191000,2734000,3448000,3149000,4069000,4765000,5091000,- -,- -,15959000
56,Deferred Tax Liabilities,300000,800000,600000,3100000,3600000,3900000,5500000,2200000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000,- -,- -,- -,- -,2194000,23368000,21713000,27134000,28118000,1468000,45373000,26339000,- -,- -,19356000
57,Other Non-Current Liabilities,9700000,2600000,4200000,5400000,5700000,1900000,1200000,300000,1400000,10000000,9600000,15100000,24000000,19400000,20800000,29570000,53097000,55860000,36500000,54600000,50400000,38011000,47900000,94600000,91700000,79700000,58011000,29741000,37753000,31818000,18672000,43289000,116252000,120526000,165881000,221074000,111936000
58,Total Non-Current Liabilities,12900000,7600000,9000000,12000000,15600000,12800000,13300000,18100000,17000000,18900000,14700000,19000000,27900000,29100000,95500000,98217000,111256000,99205000,64400000,68800000,50400000,238442000,47900000,94600000,91700000,79700000,62860000,55300000,62200000,62400000,49939000,48826000,755391000,572667000,558119000,237891000,638530000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1797329000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1276000,- -,24000,- -,- -,34000,17000,2000,- -,- -,- -,- -,- -,906000,91207000,80731000
61,Total Liabilities,50400000,57800000,65100000,70900000,67500000,65100000,68800000,81000000,73000000,77500000,92900000,113900000,130400000,128100000,218200000,233766000,226855000,197412000,165500000,173300000,162000000,365020000,176600000,207900000,178000000,211600000,225265000,209100000,208000000,179700000,172529000,250320000,1174536000,945505000,798433000,1827496000,1020745000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,200000,200000,200000,270000,283000,289000,300000,300000,300000,311000,300000,200000,200000,200000,236000,200000,200000,200000,238000,242000,245000,242000,238000,- -,244000
64,Retained Earnings,35700000,34800000,33700000,31200000,39700000,39300000,39500000,42200000,52700000,64200000,83500000,113800000,140100000,158900000,170700000,240675000,341425000,272457000,226600000,239800000,279600000,303534000,319500000,341500000,306100000,343100000,436294000,499300000,541600000,600700000,677086000,764588000,971710000,1232689000,1286514000,872375000,765624000
65,Other Comprehensive Income/Loss,-8100000,-11500000,-16100000,-20400000,-23300000,-27900000,-33900000,-40300000,-34000000,1200000,-46400000,1400000,400000,2000000,-800000,-85645000,-82782000,-105504000,17616000,35758000,27760000,46369000,70672000,79089000,80269000,62084000,51221000,40455000,54450000,34682000,-9513000,-5300000,19906000,2833000,-36336000,-25667000,-20818000
66,Other Total Stockholders Equity,52800000,59600000,66100000,72300000,78400000,87800000,94600000,105400000,102100000,68000000,125900000,82300000,90500000,101500000,107200000,355770000,388736000,439603000,299342000,312723000,328606000,367290000,380514000,177646000,189002000,186079000,- -,131701000,162268000,184067000,128607000,151298000,171403000,78700000,34320000,80849000,123135000
67,Total Stockholders Equity,80400000,82900000,83700000,83100000,94800000,99200000,100200000,107300000,120800000,133500000,163000000,197600000,231200000,262600000,277300000,511070000,647662000,606845000,543858000,588581000,636266000,717504000,770986000,598435000,575571000,591463000,618001000,671656000,758518000,819649000,796418000,910828000,1163264000,1314464000,1284736000,927224000,868185000
68,Total Liabilities And Stockholders Equity,130800000,140700000,148800000,154000000,162300000,164300000,169000000,188300000,193800000,211000000,255900000,311500000,361600000,390700000,495500000,744836000,874517000,804257000,709358000,761881000,798266000,1082524000,947586000,806335000,753571000,803063000,843266000,880756000,966518000,999349000,968947000,1161148000,2337800000,2259969000,2083169000,2754720000,1888930000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,42000,-4581000,34000,- -,14000,65000,29000,37000,- -,44000,-18000,51000,- -,- -,- -,- -,- -,-1174296000,- -
70,Total Liabilities & Equity,130800000,140700000,148800000,154000000,162300000,164300000,169000000,188300000,193800000,211000000,255900000,311500000,361700000,390800000,495500000,744836000,874517000,804257000,709400000,757300000,798300000,1082524000,947600000,806400000,753600000,803100000,843266000,880800000,966500000,999400000,968947000,1161148000,2337800000,2259969000,2083169000,1580424000,1888930000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21510/000091205794004216/0000912057-94-004216-index.html,https://www.sec.gov/Archives/edgar/data/21510/000091205795011265/0000912057-95-011265-index.html,https://www.sec.gov/Archives/edgar/data/21510/000091205796029938/0000912057-96-029938-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21510/000104746902007413/0001047469-02-007413-index.html,https://www.sec.gov/Archives/edgar/data/21510/000110465903028841/0001104659-03-028841-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000110465904039736/0001104659-04-039736-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000110465905061065/0001104659-05-061065-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746907009926/0001047469-07-009926-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746908000863/0001047469-08-000863-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746908012562/0001047469-08-012562-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746909010760/0001047469-09-010760-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746910010417/0001047469-10-010417-index.htm,- -,https://www.sec.gov/Archives/edgar/data/21510/000002151012000014/0000021510-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151013000020/0000021510-13-000020-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151014000037/0000021510-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151015000035/0000021510-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151016000074/0000021510-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151017000036/0000021510-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/21510/000002151018000029/0000021510-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151019000034/0000021510-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151020000049/0000021510-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/0000021510-21-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-400000,200000,2600000,10500000,11500000,19300000,30300000,26300000,18800000,11800000,69937000,100750000,-68968000,-45900000,17400000,39900000,45394000,16000000,23400000,-35300000,36900000,93238000,63000000,66400000,59100000,76409000,87502000,207122000,247358000,53825000,-414139000,-106751000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,7700000,8200000,7900000,7300000,7900000,9000000,12400000,14600000,17200000,19900000,26158000,25597000,27505000,34149000,36237000,35298000,36101000,39113000,31970000,26660000,29659000,28621000,29649000,36123000,36201000,33059000,34355000,104245000,113381000,116385000,92866000,74161000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-200000,-400000,-4300000,5300000,300000,1600000,-8700000,700000,-4200000,-10500000,4542000,-11915000,-30287000,3511000,6606000,-12938000,-16484000,2037000,-1642000,-12224000,13287000,22379000,-4763000,-1107000,-8185000,838000,-9770000,-19752000,16607000,-14930000,-24471000,-50594000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7415000,8286000,12963000,16315000,18891000,18897000,18232000,20157000,26272000,32738000,36466000,44787000,41405000
77,Change in Working Capital,- -,- -,- -,- -,- -,1700000,4300000,3500000,10300000,9400000,9100000,16700000,29200000,21100000,21100000,227964000,45974000,-41688000,-129250000,47800000,34400000,250717000,-93917000,-140400000,- -,14100000,7641000,42459000,22700000,80400000,-33707000,84052000,278374000,-26855000,-11157000,89099000,-146536000
