,https://roic.ai/company/NR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2600000,3400000,5000000,8100000,8700000,11600000,13100000,23200000,29000000,51400000,32323000,26608000,10031000,5323000,6692000,13583000,10380000,94391000,22923000,26630000,57976000,61030000,81240000,85593000,89444000,110821000,98606000,84128000,108428000,116015000,113564000,83274000,94054000
11,COGS and Expenses,37900000,43400000,54700000,57800000,51900000,67700000,77000000,89700000,152900000,258300000,197888000,231023000,344353000,302139000,354855000,412598000,508561000,671905000,556852000,786854000,505600000,637950000,825416000,932122000,947911000,987820000,697619000,521964000,716327000,882990000,798302000,556532000,623606000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9334000,10267000,9226000,9740000,11279000,10431000,9111000,9866000,13273000,14864000,14369000,10986000,8805000
14,Depreciation and Amortization,1800000,2000000,3500000,5700000,5900000,7400000,10000000,17100000,25800000,37900000,26881000,23566000,27427000,21843000,21329000,20801000,25798000,26038000,19285000,27343000,28138000,27010000,28971000,32821000,44198000,42030000,43917000,37955000,39757000,45899000,47144000,45314000,42225000
15,EBITDA,2100000,3600000,7500000,11100000,6600000,16700000,27000000,45300000,84400000,-56000000,-69020000,40881000,77260000,29524000,25866000,28474000,58799000,-11489000,57647000,85847000,14683000,106148000,161213000,137969000,149525000,195787000,-59198000,-16933000,51775000,108041000,58355000,-36279000,32797000
16,EBITDA ratio,0.0557,0.0781,0.1248,0.1732,0.1172,0.2098,0.2755,0.3728,0.3918,-0.2181,-0.3618,0.1533,0.1891,0.0919,0.0693,0.0657,0.1056,-0.0172,0.0941,0.1000,0.0299,0.1483,0.1682,0.1329,0.1434,0.1751,-0.0875,-0.0359,0.0692,0.1141,0.0712,-0.0736,0.0533
17,Operating Income,-200000,2700000,5400000,6300000,4400000,11900000,21000000,31800000,62500000,-1500000,-7112000,35570000,64252000,19056000,18324000,20824000,48477000,-3706000,55912000,71496000,-15325000,78004000,132764000,105897000,94445000,130596000,-99099000,-57213000,31436000,63558000,10395000,-78634000,-8825000
18,Operating Income ratio,-0.0053,0.0586,0.0899,0.0983,0.0782,0.1495,0.2143,0.2617,0.2902,-0.0058,-0.0373,0.1334,0.1572,0.0593,0.0491,0.0480,0.0870,-0.0055,0.0912,0.0833,-0.0313,0.1090,0.1386,0.1020,0.0906,0.1168,-0.1464,-0.1213,0.0420,0.0671,0.0127,-0.1596,-0.0144
19,Total Other Income Expenses (Gains),800000,800000,-1400000,-900000,-1300000,-2600000,-4000000,-3600000,-3900000,-91100000,-86854000,-18255000,-14419000,-11375000,-13787000,-13151000,-15476000,-19965000,-19168000,-12150000,-7464000,-9133000,-9748000,-10489000,-13098000,-10539000,-13127000,-7541000,-15324000,-16280000,-13553000,-13945000,-9408000
20,Income Before Tax,- -,- -,4000000,5400000,3100000,9300000,17000000,28200000,58600000,-92600000,-93966000,17315000,49833000,7681000,4537000,7673000,33001000,-23671000,36744000,59346000,-22789000,68871000,123016000,95408000,81347000,120057000,-112226000,-64754000,16112000,47278000,-3158000,-92579000,-18233000
21,Income Before Tax Ratio,- -,- -,0.0666,0.0842,0.0551,0.1168,0.1735,0.2321,0.2721,-0.3606,-0.4925,0.0649,0.1220,0.0239,0.0122,0.0177,0.0592,-0.0354,0.0600,0.0691,-0.0465,0.0962,0.1284,0.0919,0.0780,0.1073,-0.1658,-0.1373,0.0215,0.0499,-0.0039,-0.1879,-0.0297
22,Income Tax expense (Gain),- -,- -,100000,100000,-1700000,-100000,4800000,9800000,21500000,-30300000,-27246000,6165000,17927000,3060000,2460000,2717000,10862000,-5246000,11700000,20046000,-2216000,27245000,42999000,35376000,28725000,41048000,-21398000,-24042000,4893000,14997000,9788000,-11883000,7293000
23,Net Income,300000,1600000,3900000,5300000,2400000,9400000,12200000,18400000,37100000,-63600000,-68655000,11150000,31906000,4621000,2077000,4956000,22139000,-32281000,26662000,38458000,-20573000,41626000,80017000,60032000,65323000,102278000,-90828000,-40712000,-6148000,32281000,-12946000,-80696000,-25526000
24,Net Income ratio,0.0080,0.0347,0.0649,0.0827,0.0426,0.1181,0.1245,0.1514,0.1722,-0.2477,-0.3599,0.0418,0.0781,0.0144,0.0056,0.0114,0.0397,-0.0483,0.0435,0.0448,-0.0420,0.0581,0.0835,0.0578,0.0627,0.0914,-0.1342,-0.0863,-0.0082,0.0341,-0.0158,-0.1638,-0.0415
25,EPS,0.01,0.03,0.04,0.03,0.00,0.05,0.29,0.36,0.59,-0.95,-1.01,0.08,0.40,0.01,0.01,0.05,0.25,-0.36,0.29,0.43,-0.23,0.47,0.89,0.69,0.77,1.23,-1.10,-0.49,-0.07,0.36,-0.14,-0.89,-0.28
26,EPS Diluted,0.01,0.03,0.04,0.03,0.00,0.05,0.29,0.36,0.58,-0.95,-1.01,0.08,0.37,0.01,0.01,0.05,0.25,-0.36,0.29,0.43,-0.23,0.46,0.80,0.62,0.69,1.07,-1.10,-0.49,-0.07,0.35,-0.14,-0.89,-0.28
27,Weighted Average Shares Outstanding,42000000,61090909,84000000,38360000,41420000,41956000,42272000,50464000,62714000,67058000,68949000,69265000,70023000,72777000,79785000,80360000,86520000,89669444,90015000,88987000,88500000,88565957,90022000,87522000,85095000,82999000,82722000,83697000,85421000,89996000,89782000,90198000,91460000
28,Weighted Average Shares Outstanding Diluted,42000000,61090909,84000000,38360000,41420000,41956000,42272000,50664000,64186000,67058000,68949000,70028000,80320000,73013000,79905000,80360000,86520000,93138462,90527000,89219000,88500000,90491304,106669000,104080000,102544000,100414000,82722000,83697000,87975000,92925000,89782000,90198000,91460000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71829/000094868896000011/0000948688-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/71829/000094868897000004/0000948688-97-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71829/000095013403004413/d04232e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012904001189/d13078e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012905002502/h23379e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012906002613/h33902e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012907001410/h44554e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012908001593/h54725e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012909000824/0000950129-09-000824-index.html,https://www.sec.gov/Archives/edgar/data/71829/000095012310020657/0000950123-10-020657-index.html,https://www.sec.gov/Archives/edgar/data/71829/000095012311023189/h80311e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000119312512089028/0001193125-12-089028-index.html,https://www.sec.gov/Archives/edgar/data/71829/000143774913002097/0001437749-13-002097-index.html,https://www.sec.gov/Archives/edgar/data/71829/000143774914003088/nr20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/71829/000143774915003649/nr20150227_10k.htm,https://www.sec.gov/Archives/edgar/data/71829/000143774916026131/0001437749-16-026131-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182917000011/0000071829-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182918000021/0000071829-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182919000021/0000071829-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182920000009/0000071829-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182921000018/0000071829-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/71829/000007182922000012/0000071829-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,500000,2300000,600000,1200000,1400000,1000000,1900000,20700000,6600000,4517000,31245000,7504000,2725000,4692000,7022000,7989000,13218000,5741000,8252000,11534000,83010000,25247000,46846000,65840000,85052000,107138000,87878000,56352000,56118000,48672000,24197000,24088000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,500000,2300000,600000,1200000,1400000,1000000,1900000,20700000,6600000,4517000,31245000,7504000,2725000,4692000,7022000,7989000,13218000,5741000,8252000,11534000,83010000,25247000,46846000,65840000,85052000,107138000,87878000,56352000,56118000,48672000,24197000,24088000
34,Net Receivables,7900000,11500000,14400000,19600000,18400000,21500000,39200000,43500000,73400000,65700000,54612000,75776000,89269000,100964000,105376000,107908000,151817000,156221000,141949000,211366000,122386000,196799000,328590000,323439000,268529000,318600000,206364000,214307000,265866000,254394000,216714000,141045000,194296000
35,Inventory,2300000,3200000,3700000,3200000,7100000,7100000,12000000,6100000,21100000,19400000,17524000,24998000,44144000,55473000,74846000,84044000,86299000,111740000,120202000,149304000,115495000,123028000,175929000,209734000,189680000,196556000,163657000,143612000,165336000,196896000,196897000,147857000,155341000
36,Other Current Assets,900000,900000,800000,800000,2300000,1500000,4100000,10600000,5700000,27600000,22174000,20245000,13403000,21133000,25237000,25776000,29679000,38539000,127198000,33871000,19197000,37690000,24052000,24037000,35391000,23628000,29219000,17143000,17483000,15904000,16526000,15081000,14787000
37,Total Current Assets,11100000,16100000,21200000,24200000,29000000,31500000,56300000,62100000,120900000,119300000,98827000,152264000,154320000,180295000,210151000,224750000,275784000,319718000,395090000,402793000,268612000,440527000,553818000,604056000,559440000,623836000,506378000,462940000,505037000,523312000,478809000,328180000,388512000
38,PP&E,6900000,10500000,19000000,42500000,50600000,67600000,85500000,113900000,188800000,218000000,166603000,184755000,208476000,204703000,206238000,210514000,239774000,227962000,159094000,226627000,224625000,212655000,231055000,253990000,217010000,283361000,307632000,303654000,315320000,316293000,342418000,308665000,287825000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105767000,- -,- -,- -,- -,55143000,62616000,60268000,62276000,62307000,71970000,87388000,94064000,91893000,19009000,19995000,43620000,43832000,42332000,42444000,47283000
40,Intangible Assets,2800000,2700000,4300000,4300000,4500000,4400000,4300000,83500000,97500000,123500000,116465000,111487000,12437000,126513000,130816000,132769000,135040000,11623000,18474000,18940000,16037000,13072000,20850000,41018000,25900000,15666000,11051000,6067000,30005000,25160000,29677000,25428000,24959000
41,Intangible Assets,2800000,2700000,4300000,4300000,4500000,4400000,4300000,83500000,97500000,123500000,116465000,111487000,118204000,126513000,130816000,132769000,135040000,66766000,81090000,79208000,78313000,75379000,92820000,128406000,119964000,107559000,30060000,26062000,73625000,68992000,72009000,67872000,72242000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19609000,8950000,8778000,4063000,- -,5348000,408000,707000,- -,- -,- -,- -,- -,- -,1821000,1747000,4753000,4516000,3600000,1706000,2316000
44,Other Non-Current Assets,10900000,10400000,9000000,4500000,6200000,7300000,6600000,23000000,39400000,43700000,68296000,58937000,21879000,21795000,19517000,18018000,7301000,7875000,6097000,4344000,13564000,8781000,9144000,8089000,72003000,5366000,3002000,3780000,3981000,2741000,3243000,2769000,1991000
45,Total Non-Current Assets,20600000,23600000,32300000,51300000,61300000,79300000,96400000,220400000,325700000,385200000,351364000,355179000,368168000,361961000,365349000,365364000,382115000,307951000,246689000,310886000,316502000,296815000,333019000,390485000,408977000,396286000,342515000,335243000,397679000,392542000,421270000,381012000,364374000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31700000,39700000,53500000,75500000,90300000,110800000,152700000,282500000,446600000,504500000,450191000,507443000,522488000,542256000,575500000,590114000,657899000,627669000,641779000,713679000,585114000,737342000,886837000,994541000,968417000,1020122000,848893000,798183000,902716000,915854000,900079000,709192000,752886000
48,Accounts Payable,- -,6000000,5800000,5400000,5300000,5000000,11700000,10800000,17400000,23200000,29232000,25816000,26588000,35568000,40479000,38822000,47371000,43859000,62505000,89018000,62992000,66316000,97168000,114377000,88586000,108242000,72211000,65281000,88648000,90607000,79777000,49252000,84585000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,7900000,9900000,1300000,1300000,1618000,329000,3355000,3258000,13869000,13048000,23586000,15146000,18862000,21693000,17220000,1606000,2232000,2599000,12867000,11648000,7382000,83368000,1518000,2522000,6335000,67472000,19210000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,25400000,24000000,3300000,13900000,18300000,12900000,4600000,11300000,12000000,18900000,19733000,16069000,21018000,25035000,21894000,26875000,39803000,42990000,30823000,38946000,25290000,43234000,47443000,42620000,52298000,53342000,45835000,31152000,68248000,48797000,42750000,36934000,46597000
53,Total Current Liabilities,25400000,30000000,9100000,19300000,23600000,17900000,24200000,32000000,30700000,43400000,50583000,42214000,50961000,63861000,76242000,78745000,110760000,101995000,112190000,149657000,105502000,111156000,146843000,159596000,153751000,173232000,125428000,179801000,158414000,141926000,128862000,153658000,150392000
54,Long-Term Debt,200000,2100000,3800000,10400000,12400000,28900000,46700000,34600000,127200000,208100000,209210000,203520000,176954000,172972000,183600000,186286000,185933000,198186000,158616000,166461000,105810000,172987000,189876000,256832000,172786000,172498000,171211000,72900000,158957000,159225000,153538000,44758000,117945000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,4000000,10100000,17600000,- -,- -,- -,- -,- -,- -,- -,8031000,- -,5923000,15979000,2083000,31549000,46844000,46348000,27060000,37694000,26368000,38743000,31580000,37486000,34247000,13368000,11819000
57,Other Non-Current Liabilities,500000,400000,400000,100000,900000,300000,300000,2600000,1300000,10500000,4059000,1654000,619000,- -,1697000,2118000,2737000,4345000,4386000,3700000,3697000,4303000,5428000,18187000,33766000,11240000,5627000,6196000,6285000,7536000,34787000,9376000,10344000
58,Total Non-Current Liabilities,700000,2500000,4200000,10500000,13300000,29200000,51000000,47300000,146100000,218600000,213269000,205174000,177573000,172972000,185297000,188404000,196701000,202531000,168925000,186140000,111590000,208839000,242148000,321367000,233612000,221432000,203206000,117839000,196822000,204247000,222572000,67502000,140108000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26946000,25068000,22352000
61,Total Liabilities,26100000,32500000,13300000,29800000,36900000,47100000,75200000,79300000,176800000,262000000,263852000,247388000,228534000,236833000,261539000,267149000,307461000,304526000,281115000,335797000,217092000,319995000,388991000,480963000,387363000,394664000,328634000,297640000,355236000,346173000,351434000,221160000,290500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41875000,30000000,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,690000,696000,703000,777000,811000,840000,884000,897000,902000,911000,917000,931000,945000,957000,980000,992000,994000,998000,1046000,1064000,1067000,1076000,1093000
64,Retained Earnings,-91800000,-90200000,-87800000,-82500000,-80000000,-70700000,-67100000,-48700000,-14200000,-77000000,-146496000,-140866000,-112864000,-112362000,-111868000,-107850000,-86220000,-130457000,-104545000,-66087000,-86660000,-45034000,34983000,95015000,160338000,262616000,171788000,129873000,123375000,148802000,134119000,50937000,24345000
65,Other Comprehensive Income/Loss,-15300000,-16600000,-19600000,-24500000,-28900000,-35800000,-42800000,-39600000,-62600000,-55600000,-53693000,-62391000,-76732000,-87032000,-103603000,-105432000,8000000,8000000,14000000,1000000,9000000,9000000,1000000,-1000000,-9000000,-32000000,-58000000,-63000000,-53000000,-68000000,-68000000,-54172000,-61480000
66,Other Total Stockholders Equity,112700000,114000000,147600000,152700000,162300000,170200000,187400000,291500000,346600000,375100000,385838000,462616000,482847000,462165000,498621000,515407000,427774000,444703000,450307000,442058000,444765000,452450000,460918000,418606000,428736000,393850000,405477000,432672000,476059000,487815000,481459000,490191000,- -
67,Total Stockholders Equity,5600000,7200000,40200000,45700000,53400000,63700000,77500000,203200000,269800000,242500000,186339000,260055000,293954000,305423000,313961000,322965000,350438000,323143000,360664000,377882000,368022000,417347000,497846000,513578000,581054000,625458000,520259000,500543000,547480000,569681000,548645000,488032000,462386000
68,Total Liabilities And Stockholders Equity,31700000,39700000,53500000,75500000,90300000,110800000,152700000,282500000,446600000,504500000,450191000,507443000,522488000,542256000,575500000,590114000,657899000,627669000,641779000,713679000,585114000,737342000,886837000,994541000,968417000,1020122000,848893000,798183000,902716000,915854000,900079000,709192000,752886000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31700000,39700000,53500000,75500000,90300000,110800000,152700000,282500000,446600000,504500000,450191000,507443000,522488000,542256000,575500000,590114000,657899000,627669000,641779000,713679000,585114000,737342000,886837000,994541000,968417000,1020122000,848893000,798183000,902716000,915854000,900079000,709192000,752886000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71829/000094868896000011/0000948688-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/71829/000094868897000004/0000948688-97-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71829/000095013403004413/d04232e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012904001189/d13078e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012905002502/h23379e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012906002613/h33902e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012907001410/h44554e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012908001593/h54725e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012909000824/0000950129-09-000824-index.html,https://www.sec.gov/Archives/edgar/data/71829/000095012310020657/0000950123-10-020657-index.html,https://www.sec.gov/Archives/edgar/data/71829/000095012311023189/h80311e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000119312512089028/0001193125-12-089028-index.html,https://www.sec.gov/Archives/edgar/data/71829/000143774913002097/0001437749-13-002097-index.html,https://www.sec.gov/Archives/edgar/data/71829/000143774914003088/nr20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/71829/000143774915003649/nr20150227_10k.htm,https://www.sec.gov/Archives/edgar/data/71829/000143774916026131/0001437749-16-026131-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182917000011/0000071829-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182918000021/0000071829-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182919000021/0000071829-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182920000009/0000071829-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182921000018/0000071829-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/71829/000007182922000012/0000071829-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1600000,3900000,5300000,2400000,9400000,12200000,18400000,37100000,-63600000,-68655000,11150000,31906000,4621000,2077000,4956000,22139000,-32281000,26662000,38458000,-20573000,41626000,80017000,60032000,65323000,102278000,-90828000,-40712000,-6148000,32281000,-12946000,-80696000,-25526000
74,Depreciation and Amortization,- -,2000000,3500000,5700000,5900000,7400000,10000000,17100000,25800000,37900000,26881000,23566000,27427000,21843000,21329000,20801000,25798000,26038000,19285000,27343000,28138000,27010000,28971000,32821000,44198000,42030000,43917000,37955000,39757000,45899000,47144000,45314000,42225000
75,Deferred Income Tax,- -,- -,- -,- -,-1700000,-200000,3200000,4700000,15900000,-26000000,-29298000,5655000,15348000,3837000,564000,3408000,10061000,-15671000,7983000,12773000,-6916000,18030000,- -,1358000,-7832000,-2328000,-503000,3352000,-10350000,236000,-4250000,-18850000,-1209000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3437000,3876000,4535000,7103000,9699000,12304000,14202000,12056000,10843000,10361000,11640000,6578000,7926000
77,Change in Working Capital,- -,-4900000,26000000,-7200000,500000,8200000,18500000,-2000000,60100000,-14300000,-27656000,61806000,-6691000,13075000,17475000,12096000,19019000,52699000,65177000,-29764000,-90026000,166261000,77604000,37485000,-38771000,44915000,-69654000,-97811000,63484000,34763000,-31439000,-175425000,-23769000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-700000,-600000,-200000,-3400000,700000,-4900000,1500000,-12000000,3600000,-7263000,-7474000,-19146000,-8059000,-20293000,-11886000,-2331000,-23887000,-12762000,-37002000,35182000,-8085000,-48129000,-28758000,16431000,-14136000,21309000,16044000,-15097000,-30352000,699000,39889000,-10336000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28710000,2810000,30425000,13702000,-17733000,23606000,-31974000,-5213000,14153000,2449000,-8318000,-29457000,36341000
81,Other Working Capital,- -,-13900000,12100000,4900000,5400000,13600000,32100000,30100000,90200000,75900000,48244000,110050000,103359000,116434000,133909000,146005000,165024000,217723000,282900000,253136000,163110000,329371000,406975000,444460000,405689000,450604000,380950000,283139000,346623000,381386000,349947000,174522000,- -
82,Other Non-Cash Items,- -,300000,-29800000,-2200000,-4500000,-13800000,-36800000,-11400000,-110000000,95200000,100963000,-98937000,-27071000,-32008000,-34640000,-22827000,-47696000,-4112000,-50919000,-20123000,174759000,-225327000,-204685000,-28554000,79286000,-110026000,224383000,96255000,-59205000,-60137000,62137000,278870000,-2660000
83,Cash Provided by Operating Activities,- -,-1000000,3600000,1600000,2600000,11000000,7100000,26800000,28900000,29200000,2235000,3240000,40919000,11368000,6805000,18434000,29321000,26673000,68188000,28687000,88819000,31476000,-13558000,110245000,151903000,89173000,121517000,11095000,38381000,63403000,72286000,55791000,-3013000
84,CAPEX,- -,-1800000,-7800000,-13000000,-7100000,-23100000,-24000000,-43700000,-78400000,-120500000,-40497000,-35432000,-29673000,-15187000,-22726000,-23468000,-36009000,-36391000,-17036000,-22494000,-18544000,-12134000,-36897000,-43955000,-67929000,-106973000,-69404000,-38440000,-31371000,-45141000,-44806000,-15794000,-21793000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4774000,- -,- -,-881000,- -,-23203000,-1184000,- -,- -,-26775000,-53075000,6553000,89766000,- -,-4420000,-44750000,-14223000,-18692000,- -,-13434000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,500000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
