,https://roic.ai/company/ENTG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,6318000,7162000,51800000,61604000,96900000,95100000,500924000,465905000,478495000,93139000,78470000,65087000,56453000,47207000,43509000,649297000,601053000,562817000,542118000,845889000,1028996000,1085669000,1128815000
42,Investments,- -,- -,- -,12300000,- -,8600000,7100000,- -,- -,14000000,14000000,7002000,7017000,3831000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,4000000,- -,15600000,11000000,9933000,5157000,35323000,13315000,9670000,10855000,25119000,17167000,12039000,5068000,7771000,8022000,9103000,10162000,11245000,14519000,17671000
44,Other Non-Current Assets,- -,12757000,17059000,-1500000,9817000,-12700000,-8400000,13696000,11745000,3645000,4504000,6641000,4610000,5707000,10825000,21001000,28502000,17053000,7000000,7820000,12723000,13744000,11960000,11379000
45,Total Non-Current Assets,- -,136699000,131954000,175700000,173525000,203600000,202400000,650503000,603061000,652620000,284696000,237214000,214294000,221664000,232220000,262989000,996436000,947178000,899401000,918564000,1288303000,1583689000,1683439000,1878526000
46,Other Assets,257475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,257475000,242064000,352964000,395700000,390260000,417700000,467000000,1185620000,1157618000,1035241000,597824000,504672000,601385000,724663000,811544000,875294000,1762091000,1657940000,1699532000,1976172000,2317641000,2516086000,2917696000,3191896000
48,Accounts Payable,- -,10548000,21849000,16600000,7977000,9600000,15800000,33825000,25202000,24260000,21782000,23553000,34631000,30609000,36341000,38396000,57417000,36916000,61617000,68762000,93055000,84207000,81618000,130734000
49,Short-Term Debt,- -,- -,- -,8800000,11565000,18867000,7969000,5541000,401000,27112000,13166000,19296000,- -,- -,- -,- -,100000000,50000000,100000000,100000000,4000000,4000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1229000,13500000,13544000,- -,- -,- -,- -,16424000,22835000,31593000,26108000,43996000,49136000
51,Deferred Revenue,- -,- -,- -,- -,- -,14637000,8178000,- -,955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,45957000,40695000,35900000,20079000,11196000,32953000,85490000,78271000,74377000,44408000,31061000,73003000,61985000,56922000,59189000,105103000,88634000,99954000,122209000,172613000,176226000,221008000,248267000
53,Total Current Liabilities,- -,56505000,62544000,61300000,39621000,54300000,64900000,124856000,104829000,125749000,79356000,73910000,107634000,92594000,93263000,97585000,262520000,175550000,261571000,290971000,269668000,264433000,302626000,379001000
54,Long-Term Debt,73242000,53830000,10822000,13100000,12691000,10100000,18900000,21800000,2995000,20373000,150516000,52492000,- -,- -,- -,- -,666796000,617287000,484677000,574380000,934863000,932484000,1125513000,997128000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6139000,7546000,- -,15802000,- -,- -,- -,15637000,15490000,7223000,6558000,4977000,3963000,6416000,5455000,58961000,37612000,26846000,85673000,69290000,71586000,73606000,- -
57,Other Non-Current Liabilities,- -,145570000,- -,9000000,- -,15600000,11100000,15550000,18177000,21320000,24559000,22055000,24761000,19868000,17066000,15411000,25373000,24608000,27220000,32130000,31795000,81694000,36457000,101986000
58,Total Non-Current Liabilities,73242000,205539000,18368000,22100000,28493000,25700000,30000000,37350000,36809000,57183000,182298000,81105000,29738000,23831000,23482000,20866000,751130000,679507000,538743000,692183000,1035948000,1085764000,1235576000,1099114000
59,Other Liabilities,209507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43827000,39730000,60101000
61,Total Liabilities,136265000,262044000,80912000,83400000,68114000,80000000,94900000,162206000,141638000,182932000,261654000,155015000,137372000,116425000,116745000,118451000,1013650000,855057000,800314000,983154000,1305616000,1350197000,1538202000,1478115000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,184000,683000,700000,712000,700000,700000,1353000,1328000,1154000,1131000,1300000,1329000,1358000,1385000,1387000,1398000,1407000,1413000,1413000,1362000,1349000,1351000,- -
64,Retained Earnings,- -,-36069000,153287000,188200000,190932000,192200000,217000000,225260000,228936000,145462000,-376247000,-433968000,-349612000,-225766000,-157038000,-88599000,-80712000,-416000,92303000,147418000,213753000,366127000,577833000,- -
65,Other Comprehensive Income/Loss,- -,-125300000,-140591000,4000000,-161249000,2193000,1619000,-19128000,-7342000,4183000,26312000,27500000,42035000,43973000,40938000,24423000,-2675000,-46775000,-54276000,-23512000,-33636000,-37259000,-37428000,- -
66,Other Total Stockholders Equity,121210000,141205000,258673000,119400000,291751000,142572000,152866000,- -,- -,701510000,684974000,751360000,765867000,788673000,809514000,819632000,830430000,848667000,859778000,867699000,830546000,835672000,837738000,- -
67,Total Stockholders Equity,121210000,-19980000,272052000,312300000,322146000,337665000,372185000,1023414000,1015980000,852309000,336170000,346192000,459619000,608238000,694799000,756843000,748441000,802883000,899218000,993018000,1012025000,1165889000,1379494000,1713781000
68,Total Liabilities And Stockholders Equity,257475000,242064000,352964000,395700000,390260000,417665000,467085000,1185620000,1157618000,1035241000,597824000,501207000,596991000,724663000,811544000,875294000,1762091000,1657940000,1699532000,1976172000,2317641000,2516086000,2917696000,3191896000
69,Minority Interest,- -,- -,- -,- -,- -,35000,-85000,- -,- -,- -,- -,3465000,4394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,257475000,242064000,352964000,395700000,390260000,417700000,467000000,1185620000,1157618000,1035241000,597824000,504672000,601385000,724663000,811544000,875294000,1762091000,1657940000,1699532000,1976172000,2317641000,2516086000,2917696000,3191896000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101302/000104596901501476/0001045969-01-501476-index.html,https://www.sec.gov/Archives/edgar/data/1101302/000104596902001995/0001045969-02-001995-index.html,https://www.sec.gov/Archives/edgar/data/1101302/000119312503087166/0001193125-03-087166-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312504195435/0001193125-04-195435-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1101302/000119312508045236/0001193125-08-045236-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312509042724/0001193125-09-042724-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312510041108/0001193125-10-041108-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312511045376/0001193125-11-045376-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312512078423/0001193125-12-078423-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312513071771/0001193125-13-071771-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130214000002/0001101302-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130215000002/0001101302-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130216000012/0001101302-16-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130217000005/0001101302-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130218000008/0001101302-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130219000010/0001101302-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130220000013/0001101302-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130221000011/0001101302-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130222000010/0001101302-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5729000,50575000,38600000,2776000,1300000,24800000,9393000,63466000,44359000,-517002000,-57721000,84356000,123846000,68825000,74526000,7887000,80296000,97147000,85066000,240755000,254860000,294969000,409126000
74,Depreciation and Amortization,26591000,28810000,27246000,24260000,28164000,27180000,25492000,25616000,43661000,43776000,46343000,50127000,41198000,37064000,37607000,38815000,83704000,101654000,99886000,102231000,127268000,141403000,136522000,138167000
75,Deferred Income Tax,- -,1296000,382000,-1894000,-791000,-5574000,1890000,-5088000,11155000,-20434000,15650000,-1679000,-2953000,-19367000,11940000,8232000,-44716000,-13313000,-16284000,1628000,-11876000,-14008000,-7250000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8102000,7588000,7519000,9881000,7928000,8887000,11033000,13436000,15306000,17112000,19629000,22920000,29884000
77,Change in Working Capital,- -,109606000,234000,18414000,-17314000,39900000,210561000,39467000,-32691000,-23100000,-40224000,85909000,130948000,75656000,28659000,-11585000,32077000,3348000,228077000,-6967000,-91706000,263667000,34661000,-196731000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19203000,-26789000,19336000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,1888000,-6279000,-3561000,8373000,4156000,-6295000,2561000,-23205000,24061000,1922000,10679000,-14285000,3632000,-6118000,-441000,-11608000,-26670000,-19871000,-20214000,-38100000,-21354000,-50772000,-168372000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6265000,-4408000,14348000,-28686000,31294000,15975000,19950000,-22647000,- -,- -
81,Other Working Capital,48860000,158466000,158700000,177114000,159800000,199700000,410261000,449728000,15556000,233772000,193548000,279457000,410405000,486061000,514720000,503135000,535212000,538560000,766637000,759670000,667964000,931631000,966292000,4830000
82,Other Non-Cash Items,19318000,-102032000,-14308000,578000,20026000,-30670000,-214608000,-22414000,11308000,88653000,559615000,-80545000,-120239000,-67432000,-41750000,-8514000,38584000,-62100000,-214707000,96109000,31023000,-283253000,-35148000,20008000
83,Cash Provided by Operating Activities,45909000,43409000,64129000,79958000,32861000,32136000,48135000,46974000,96899000,133254000,64382000,4193000,140898000,157286000,115162000,109402000,126423000,120918000,207555000,293373000,312576000,382298000,446674000,400454000
84,CAPEX,- -,- -,-21376000,-24231000,-19568000,-13445000,-21179000,-20759000,-30983000,-26919000,-26987000,-13162000,-16794000,-30267000,-49929000,-60360000,-57733000,-71977000,-65260000,-93597000,-110153000,-112355000,-131752000,-210626000
85,Acquisitions Net,- -,-10079000,- -,-42954000,-8943000,-44431000,-5133000,-10157000,- -,-44911000,-162852000,493000,- -,- -,- -,-13358000,-809390000,- -,- -,-20000000,-380694000,-277369000,-111912000,-91942000
86,Purchases of Investments,- -,- -,- -,-36628000,-90200000,-39281000,-65335000,-84226000,-170205000,-275948000,-10982000,- -,- -,- -,-27990000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,159000,- -,- -,82204000,59691000,34331000,98255000,181412000,397483000,- -,- -,- -,- -,8000000,20000000,13778000,7692000,1726000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,664000,5587000,-6321000,-1826000,-75000,1842000,98948000,16354000,1095000,1635000,2826000,4809000,1836000,-2548000,6689000,-6950000,647000,-3152000,1142000,4903000,3884000,338000,4450000
89,Cash Used for Investing Activites,- -,-9256000,-15789000,-110134000,-38333000,-37541000,-55474000,82061000,-3422000,50800000,-199186000,-9843000,-11985000,-28431000,-72467000,-47029000,-860295000,-63638000,-66686000,-112455000,-485944000,-385840000,-243326000,-298118000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-803283000,-259157000,- -,- -,- -,-88650000,-100000000,-75000000,-460000000,-135850000,-4000000,-468000000,-651000000
91,Common Stock Issued,- -,- -,99179000,4674000,5514000,6677000,5113000,4335000,20019000,29856000,3097000,57918000,6799000,11690000,- -,- -,- -,- -,- -,- -,- -,- -,- -,24744000
92,Common Stock Repurchased,- -,-1110000,-10446000,-723000,- -,- -,- -,-1830000,-100000000,-256109000,-28895000,- -,- -,- -,- -,-15494000,- -,- -,-7573000,-28000000,-173781000,-80321000,-44563000,-67109000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9896000,-39591000,-40566000,-43245000,-43545000
94,Other Financing Activites,-14948000,-25957000,-50438000,-1932000,105000,4310000,-3215000,561000,-56000,43192000,108479000,704675000,186649000,-826000,10890000,11599000,836298000,7213000,826000,525147000,383633000,-1933000,577957000,460413000
95,Cash Used/Provided by Financing Activities,-14948000,-27067000,38295000,2019000,5619000,10987000,1898000,3066000,-80037000,-183061000,82681000,-40690000,-65709000,10864000,10890000,-3895000,747648000,-92787000,-81747000,27251000,34411000,-126820000,22149000,-276497000
96,Effect of Forex Changes on Cash,- -,1090000,-73000,-365000,232000,134000,379000,426000,-1472000,4856000,6501000,7000,2050000,-80000,3241000,-4471000,-8503000,-4367000,-2558000,10850000,-4389000,211000,3485000,-4167000
97,Net Change In Cash,-14948000,8176000,86562000,-28522000,379000,5716000,-5062000,132527000,11968000,5849000,-45622000,-46333000,65254000,139639000,56826000,54007000,5273000,-39874000,56564000,219019000,-143346000,-130151000,228982000,-178328000
98,Cash at the End of Period,- -,16411000,102973000,74451000,74830000,80546000,75484000,174836000,154806000,160655000,115033000,68700000,133954000,273593000,330419000,384426000,389699000,349825000,406389000,625408000,482062000,351911000,580893000,402565000
99,Cash at the Beginning of Period,- -,8235000,16411000,102973000,74451000,74830000,80546000,42309000,142838000,154806000,160655000,115033000,68700000,133954000,273593000,330419000,384426000,389699000,349825000,406389000,625408000,482062000,351911000,580893000
100,Free Cash Flow,45909000,43409000,42753000,55727000,13293000,18691000,26956000,26215000,65916000,106335000,37395000,-8969000,124104000,127019000,65233000,49042000,68690000,48941000,142295000,199776000,202423000,269943000,314922000,189828000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101302/000104596901501476/0001045969-01-501476-index.html,https://www.sec.gov/Archives/edgar/data/1101302/000104596902001995/0001045969-02-001995-index.html,https://www.sec.gov/Archives/edgar/data/1101302/000119312503087166/0001193125-03-087166-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312504195435/0001193125-04-195435-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1101302/000119312508045236/0001193125-08-045236-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312509042724/0001193125-09-042724-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312510041108/0001193125-10-041108-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312511045376/0001193125-11-045376-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312512078423/0001193125-12-078423-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000119312513071771/0001193125-13-071771-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130214000002/0001101302-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130215000002/0001101302-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130216000012/0001101302-16-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130217000005/0001101302-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130218000008/0001101302-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130219000010/0001101302-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130220000013/0001101302-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130221000011/0001101302-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1101302/000110130222000010/0001101302-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
