,https://roic.ai/company/NWE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12123000,3218000,-9224000,-12766000,-1928000,10976000,6235000,-9565000,-11169000,3639000,3615000,-3805000,-1821000,16043000,7494000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,900000,4600000,-4800000,- -,- -,- -,736000,-80629000,-26626000,4403000,-15304000,13790000,10199000,5926000,-72245000,-20162000,-27319000,6016000,-196000,-6408000,6920000,2208000,870000,-36293000,-18208000,-25426000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,17200000,20500000,31200000,48600000,43400000,34668000,-37350000,887287000,97857000,40451000,36318000,92411000,-4326000,4677000,1395000,-3104000,2099000,-25905000,-1328000,124187000,138256000,156849000,164815000,175043000,171615000,177697000,181578000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,26300000,35400000,60900000,62700000,69900000,71700000,76725000,127001000,34043000,-93860000,-9765000,150510000,169901000,201964000,198326000,116804000,218920000,233757000,251193000,193716000,250039000,339818000,289012000,323608000,381985000,296720000,352149000,219978000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22700000,-40200000,-59700000,-39100000,-22600000,-32600000,-32097000,-40868000,-115939000,-70737000,-17723000,-80877000,-101046000,-117084000,-124563000,-189360000,-228373000,-188730000,-219234000,-230454000,-270384000,-283705000,-287901000,-276438000,-283966000,-316016000,-405762000,-434328000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5400000,-2000000,-42200000,-318100000,-209100000,-152765000,-157042000,-574322000,- -,- -,- -,- -,-141257000,- -,- -,-12372000,- -,- -,- -,-903573000,-146668000,- -,- -,-18504000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118800000,- -,- -,- -,- -,- -,- -,- -,- -,-18169000,- -,- -,- -,-2500000,-135000,-42000,-1505000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36600000,- -,34200000,5753000,7053000,- -,72926000,75000,123478000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,-115200000,-107400000,- -,-69000000,- -,- -,- -,35959000,2743000,25261000,3650000,32396000,1842000,200000,326000,69000,209000,-102979000,-64900000,-14823000,46317000,1354000,379000,71000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24100000,-160800000,-169100000,-44700000,-409700000,-207500000,-179109000,-190857000,-654302000,4932000,7613000,-72549000,-68650000,-256499000,-124363000,-189034000,-240676000,-188521000,-322213000,-295354000,-1206949000,-384056000,-286547000,-276059000,-304899000,-316151000,-405804000,-435833000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53540000,-254355000,-538624000,-839152000,-239589000,-3945000,-149000,-90000,-150025000,-225205000,-250000000,- -,-19000000,-67000000,-100955000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65900000,191800000,- -,256400000,1700000,21000,171711000,198902000,- -,- -,131000,2896000,- -,- -,- -,- -,153000,28477000,56825000,399207000,56651000,- -,54752000,47045000,1432000,- -,196953000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20400000,- -,- -,- -,- -,-4028000,-9720000,- -,-5573000,-4312000,-896000,-78706000,-741000,-185000,- -,-429000,-1042000,-814000,-664000,-561000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12900000,-14500000,-16300000,-16900000,-19100000,-24400000,-26312000,-29956000,-38081000,- -,- -,-35634000,-44091000,-47286000,-49833000,-48186000,-48997000,-51909000,-54246000,-57684000,-65019000,-90058000,-95765000,-101270000,-109202000,-115127000,-120350000,-128483000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,76100000,-35100000,-3100000,119100000,157300000,190599000,-115972000,474246000,87277000,-84619000,-94206000,-56505000,167100000,307450000,652833000,911980000,245803000,105057000,110423000,627431000,219952000,312165000,252363000,-11647000,148885000,246031000,250006000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,127500000,140400000,-40400000,356400000,134600000,164308000,25783000,631039000,77557000,-84619000,-135282000,-102012000,65378000,-75444000,65282000,23646000,-45542000,74914000,108373000,960715000,35856000,-9366000,-44155000,-73804000,16190000,58681000,217521000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,2000000,32200000,-22500000,16600000,-1200000,61924000,-38073000,10780000,-11371000,-86771000,-57321000,-761000,10843000,-1481000,-6948000,1890000,-306000,3894000,6735000,3805000,-8382000,-6901000,3394000,3282000,-3241000,5026000,1666000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,4600000,36800000,14300000,30900000,29700000,91601000,53528000,45569000,15183000,17058000,691000,1930000,12773000,11292000,4344000,6234000,5928000,9822000,16557000,20362000,11980000,5079000,8473000,15311000,12070000,17096000,18762000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,2600000,4600000,36800000,14300000,30900000,29677000,91601000,34789000,26554000,103829000,58012000,2691000,1930000,12773000,11292000,4344000,6234000,5928000,9822000,16557000,20362000,11980000,5079000,12029000,15311000,12070000,17096000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,-4800000,1200000,23600000,47300000,39100000,44628000,86133000,-81896000,-164597000,-27488000,69633000,68855000,84880000,73763000,-72556000,-9453000,45027000,31959000,-36738000,-20345000,56113000,1111000,47170000,98019000,-19296000,-53613000,-214350000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/73088/000007308895000004/0000073088-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/73088/000007308896000009/0000073088-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/73088/000007308897000005/0000073088-97-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000110465901500253/0001104659-01-500253-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465902001256/0001104659-02-001256-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000104746903013477/0001047469-03-013477-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465904007415/0001104659-04-007415-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465905010721/0001104659-05-010721-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465906013882/0001104659-06-013882-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308807000008/0000073088-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308808000008/0000073088-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308809000025/0000073088-09-000025-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000007308812000008/0000073088-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308813000036/0000073088-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308814000041/0000073088-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308815000028/0000073088-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308816000230/0000073088-16-000230-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308817000031/0000073088-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308818000022/0000073088-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308819000023/0000073088-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308820000030/0000073088-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308821000026/0000073088-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308822000019/0000073088-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
