,https://roic.ai/company/AWR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2306,0.2234,0.2363,0.2354,0.2377,0.2405,0.2578,0.2636,0.2419,0.2011,0.2176,0.2402,0.2628,0.2893,0.3168,0.1925,0.1850,0.2268,0.2379,0.2522,0.2556,0.2583,0.2631,0.2884,0.2312,0.2682,0.2673,0.2826
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-8100000,-8000000,-12000000,-12300000,-10500000,-12300000,-14221000,-16245000,-17309000,-21713000,-17610000,-8028000,-31846000,-38353000,-65592000,-21138000,-19693000,-23018000,-21001000,-20603000,-19939000,-20274000,-20238000,-18735000,-19095000,-18061000,-15877000,-16207000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,20200000,21000000,23800000,23900000,24700000,29400000,33213000,35826000,33288000,21059000,32006000,48711000,38762000,48820000,35384000,48356000,54126000,72086000,90093000,98469000,99106000,98215000,94478000,108341000,81888000,109012000,114622000,124770000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1646,0.1618,0.1571,0.1554,0.1668,0.1696,0.1805,0.1814,0.1591,0.0990,0.1404,0.2062,0.1443,0.1620,0.1110,0.1340,0.1357,0.1719,0.1930,0.2086,0.2128,0.2141,0.2166,0.2459,0.1875,0.2300,0.2348,0.2501
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,8800000,10300000,9800000,10100000,13300000,15127000,15379000,12949000,9167000,13465000,21945000,15681000,20790000,13379000,18825000,23035000,30076000,35945000,35783000,38048000,37731000,34735000,38974000,18017000,24670000,28197000,30423000
23,Net Income,6200000,7100000,8400000,6100000,8700000,8900000,15400000,12100000,12000000,11300000,12200000,13500000,14100000,14600000,16100000,18086000,20447000,20339000,11892000,18541000,26766000,23081000,28030000,22005000,29531000,33197000,45859000,54148000,62686000,61058000,60484000,59743000,69367000,63871000,84342000,86425000,94347000
24,Net Income ratio,0.0873,0.0963,0.1081,0.0761,0.1016,0.0985,0.1698,0.1202,0.1106,0.0921,0.0940,0.0891,0.0917,0.0986,0.0928,0.0983,0.1035,0.0972,0.0559,0.0813,0.1133,0.0859,0.0930,0.0690,0.0818,0.0832,0.1094,0.1160,0.1328,0.1311,0.1319,0.1370,0.1574,0.1462,0.1780,0.1770,0.1891
25,EPS,0.13,0.14,0.15,0.16,0.15,0.16,0.26,0.20,0.37,0.48,0.51,0.56,0.52,0.54,0.60,0.64,0.67,0.67,0.39,0.59,0.79,0.67,0.81,0.64,0.81,0.89,1.22,1.42,1.61,1.57,1.61,1.63,1.88,1.73,2.28,2.34,2.56
26,EPS Diluted,0.13,0.13,0.14,0.16,0.15,0.16,0.26,0.20,0.37,0.48,0.51,0.56,0.52,0.54,0.60,0.64,0.67,0.67,0.39,0.59,0.79,0.67,0.81,0.63,0.81,0.89,1.22,1.41,1.61,1.57,1.60,1.62,1.88,1.72,2.28,2.33,2.55
27,Weighted Average Shares Outstanding,13049476,18536732,18608696,18608696,18764618,18857572,19811094,19919040,23403298,23526000,23535000,23673000,26871000,26874000,26874000,28140000,30240000,30288000,30400000,31266000,33556000,33868000,34242000,34524000,36104000,37170000,37386000,37998000,38639000,38658000,37389000,36552000,36638000,36733000,36814000,36880000,36880000
28,Weighted Average Shares Outstanding Diluted,13049476,18536732,18608696,18608696,18764618,18857572,19811094,19919040,23403298,23526000,23535000,23673000,26871000,26874000,26874000,28140000,30513000,30314000,30454000,31326000,33618000,34202000,34354000,34788000,36376000,37472000,37674000,38262000,38869000,38880000,37614000,36750000,36844000,36936000,36964000,36995000,36995000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1056903/000095015099000381/0000950150-99-000381-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095015000000202/0000950150-00-000202-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095015001500054/0000950150-01-500054-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095015002000189/0000950150-02-000189-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000120677403000279/d12275-10k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000095015004000378/0000950150-04-000378-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095012905002525/0000950129-05-002525-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465906016623/a06-2938_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465907020021/a07-5836_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465908017696/a08-2740_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465909017660/0001104659-09-017660-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465910014038/0001104659-10-014038-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465911013923/a11-2412_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465912017424/0001104659-12-017424-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465913016827/0001104659-13-016827-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690314000004/awr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000105690315000004/awr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000105690316000024/0001056903-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690317000003/0001056903-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690318000006/0001056903-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690319000004/0001056903-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690320000018/0001056903-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690321000021/0001056903-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1056903/000105690322000022/0001056903-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,300000,3800000,4200000,600000,2200000,5808000,30496000,18397000,12775000,4303000,13032000,3223000,1698000,3812000,1685000,4197000,1315000,23486000,38226000,75988000,4364000,436000,214000,7141000,1334000,36737000,4963000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,300000,3800000,4200000,600000,2200000,5808000,30496000,18397000,12775000,4303000,13032000,3223000,1698000,3812000,1685000,4197000,1315000,23486000,38226000,75988000,4364000,436000,214000,7141000,1334000,36737000,4963000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,21800000,22200000,21300000,22200000,25800000,27077000,28004000,25521000,24472000,28097000,28536000,46763000,43900000,31610000,51669000,61694000,76889000,109855000,109123000,107316000,89555000,115114000,110638000,95962000,88350000,93116000,102271000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1700000,1300000,1300000,1000000,1200000,1116000,970000,936000,1346000,1496000,1421000,1565000,1576000,1543000,1900000,2161000,3070000,5348000,4558000,3588000,5415000,4294000,4795000,5775000,6429000,8619000,12163000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16100000,19200000,16500000,17700000,15500000,15100000,18479000,28319000,29662000,19766000,19128000,25877000,12885000,15841000,25533000,40761000,136932000,84327000,45344000,39710000,22559000,33363000,47031000,39816000,22590000,26343000,18643000,18655000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,40100000,43000000,43800000,44500000,39300000,44300000,52480000,87789000,74516000,58359000,53024000,68866000,64436000,63015000,62498000,96015000,204984000,165601000,184033000,191617000,209451000,132697000,166875000,155463000,131468000,122456000,157115000,138052000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,314900000,334900000,357800000,383600000,414700000,449600000,509096000,539842000,563311000,624418000,664165000,713225000,750601000,776379000,777843000,866418000,854956000,896500000,931546000,997283000,1021056000,1079504000,1171762000,1229062000,1321666000,1459166000,1558507000,1677289000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4437000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11841000,11614000,11354000,- -,4437000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000,1116000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11720000,10981000,11803000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,495000,15000,11000,8000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28600000,28400000,29300000,29000000,30700000,39300000,55070000,56133000,63823000,74698000,93088000,82845000,110304000,113150000,129809000,134390000,119503000,163327000,164237000,120159000,146675000,135283000,130740000,31093000,47183000,58593000,74865000,84526000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,343500000,363300000,387100000,412600000,445400000,488900000,564166000,595975000,627134000,699116000,757253000,807911000,872519000,900883000,907652000,1017278000,987051000,1072761000,1096910000,1118566000,1168847000,1215903000,1303618000,1261271000,1369965000,1518875000,1634488000,1762931000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,383600000,406300000,430900000,457100000,484700000,533200000,616646000,683764000,701650000,757475000,810277000,876777000,936955000,963898000,970150000,1113293000,1192035000,1238362000,1280943000,1310183000,1378298000,1348600000,1470493000,1416734000,1501433000,1641331000,1791603000,1900983000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,6800000,12900000,11800000,10200000,13800000,11857000,13931000,11600000,18774000,18206000,19653000,26022000,31732000,25897000,33903000,36155000,37873000,40569000,49787000,41855000,50585000,43724000,50978000,59532000,55616000,63788000,65902000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,24100000,16500000,26200000,38300000,21300000,45735000,20800000,48305000,56820000,45880000,27635000,32603000,37809000,326000,18095000,61276000,2291000,3328000,6298000,292000,28312000,90330000,59324000,40320000,7193000,2371000,33421000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000,2277000,332000,8678000,10309000,9240000,8210000,9261000,7569000,10454000,11205000,18685000,21799000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12572000,6852000,11736000,3764000,2263000,3911000,7530000,11167000,1800000,257000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,15600000,15300000,18200000,15300000,19900000,22625000,28905000,19615000,20304000,22250000,30297000,27278000,24710000,41801000,47708000,81411000,64206000,37228000,37969000,45407000,40846000,41627000,42449000,39203000,42022000,50613000,55994000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,46600000,46500000,44700000,56200000,63800000,55000000,80217000,63636000,79520000,95898000,86336000,77585000,85903000,94251000,68024000,99706000,178842000,104370000,93697000,100906000,99290000,123507000,177944000,156662000,146585000,115998000,118572000,155574000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,92900000,107500000,107200000,115300000,120800000,167400000,176452000,245692000,231089000,229799000,228902000,268405000,267833000,267226000,260561000,305866000,299839000,340395000,332463000,326079000,325798000,325541000,320981000,321039000,376587000,480996000,584184000,595596000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,41400000,42400000,46200000,50100000,51400000,54287000,56326000,56608000,55943000,62448000,72187000,83154000,84816000,86010000,97389000,103980000,130935000,144478000,161296000,192908000,194464000,226059000,117139000,115583000,126599000,132396000,141443000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93700000,98600000,111061000,116282000,121203000,163358000,181150000,194508000,216313000,215458000,266829000,250902000,231833000,253996000,255726000,229498000,253501000,239143000,251212000,291949000,304455000,316208000,314778000,322423000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,132800000,148900000,149600000,161500000,264600000,317400000,341800000,418300000,408900000,449100000,472500000,535100000,567300000,567500000,613400000,654157000,635652000,725326000,732667000,716873000,772207000,759148000,798252000,730127000,796625000,923803000,1031358000,1059462000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,348600000,385000000,386900000,409300000,- -,- -,- -,- -,- -,- -,- -,- -,1134618000,1135018000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13588000,11649000,10964000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,262400000,282600000,282000000,304000000,328400000,372400000,422003000,481902000,488371000,544988000,558812000,612683000,653221000,661769000,645617000,753863000,814494000,829696000,826364000,817779000,871497000,882655000,976196000,886789000,943210000,1039801000,1149930000,1215036000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,19600000,19600000,22200000,22400000,22400000,22400000,25199000,25199000,25341000,127699000,165270000,166529000,- -,- -,- -,- -,- -,233306000,249322000,253961000,253199000,245022000,247232000,250124000,253689000,255566000,256666000,258442000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,44600000,47200000,50900000,53700000,57000000,61500000,67285000,74544000,86332000,84788000,89454000,101121000,108599000,120333000,129805000,136364000,150156000,175360000,205257000,238443000,253602000,220923000,247065000,279821000,304534000,345964000,385007000,427505000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92700000,-103000000,-114100000,-125000000,-138400000,-151700000,-173367000,-190656000,-206873000,-222567000,-3259000,-3556000,-286951000,-316038000,-326089000,-373301000,-378055000,-413836000,-442316000,-471665000,-500239000,-529698000,-532753000,-533370000,-561855000,-543263000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,149700000,159900000,189900000,202000000,215300000,228600000,275526000,292775000,308479000,222567000,- -,- -,462086000,497834000,520817000,596367000,605440000,413836000,442316000,471665000,500239000,529698000,532753000,533370000,561855000,543263000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,121200000,123700000,148900000,153100000,156300000,160800000,194643000,201862000,213279000,212487000,251465000,264094000,283734000,302129000,324533000,359430000,377541000,408666000,454579000,492404000,506801000,465945000,494297000,529945000,558223000,601530000,641673000,685947000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,383600000,406300000,430900000,457100000,484700000,533200000,616646000,683764000,701650000,757475000,810277000,876777000,936955000,963898000,970150000,1113293000,1192035000,1238362000,1280943000,1310183000,1378298000,1348600000,1470493000,1416734000,1501433000,1641331000,1791603000,1900983000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,383600000,406300000,430900000,457100000,484700000,533200000,616646000,683764000,701650000,757475000,810277000,876777000,936955000,963898000,970150000,1113293000,1192035000,1238362000,1280943000,1310183000,1378298000,1348600000,1470493000,1416734000,1501433000,1641331000,1791603000,1900983000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1056903/000095015099000381/0000950150-99-000381-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095015000000202/0000950150-00-000202-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095015001500054/0000950150-01-500054-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095015002000189/0000950150-02-000189-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000120677403000279/d12275-10k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000095015004000378/0000950150-04-000378-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000095012905002525/0000950129-05-002525-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465906016623/a06-2938_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465907020021/a07-5836_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465908017696/a08-2740_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465909017660/0001104659-09-017660-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465910014038/0001104659-10-014038-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465911013923/a11-2412_110k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000110465912017424/0001104659-12-017424-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000110465913016827/0001104659-13-016827-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690314000004/awr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000105690315000004/awr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1056903/000105690316000024/0001056903-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690317000003/0001056903-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690318000006/0001056903-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690319000004/0001056903-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690320000018/0001056903-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1056903/000105690321000021/0001056903-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1056903/000105690322000022/0001056903-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,12200000,13500000,14100000,14600000,16100000,18086000,20447000,20339000,11892000,18541000,26766000,23081000,28030000,22005000,29531000,33197000,45859000,54148000,62686000,61058000,60484000,59743000,69367000,63871000,84342000,86425000,94347000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33557000,38167000,38349000,43234000,40967000,41751000,42674000,39109000,39273000,40663000,35713000,37204000,39974000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,2000000,600000,800000,5200000,2400000,5848000,7106000,3222000,3196000,5451000,14181000,4715000,1462000,4696000,7583000,6689000,13861000,15087000,16112000,32316000,10423000,27640000,12153000,-5773000,6623000,2243000,3561000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1333000,1482000,1520000,1931000,2009000,2222000,2754000,2538000,2885000,3851000,2517000,2463000,2566000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,3000000,2600000,-10800000,-12800000,13800000,-17037000,51890000,-29157000,-32535000,4227000,24593000,-12748000,-9769000,25710000,1835000,29833000,35089000,29105000,375000,19450000,-100971000,-20259000,9870000,-13918000,21575000,32085000,-21315000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2941000,115000,-5893000,-1773000,-5306000,3979000,-923000,-1750000,-7671000,1882000,1882000,-13272000,-4688000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14681000,-3406000,6180000,-150000,75000,-144000,-11000,19000,209000,-267000,-909000,-2278000,790000,970000,-1827000,1121000,-501000,-980000,-654000,-2190000,-3544000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-529000,3154000,-2953000,4300000,1815000,-1622000,679000,-3442000,4358000,1282000,-249000,5348000,-2881000
