,https://roic.ai/company/AVA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104918/000089102000000526/0000891020-00-000526-index.html,https://www.sec.gov/Archives/edgar/data/104918/000109581101001564/0001095811-01-001564-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102002000255/0000891020-02-000255-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102003000804/0000891020-03-000804-index.html,https://www.sec.gov/Archives/edgar/data/104918/000095012404000732/0000950124-04-000732-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102005000059/0000891020-05-000059-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312506047284/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312507041126/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312508040207/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312509040752/0001193125-09-040752-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312510042906/0001193125-10-042906-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312511047407/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312512085473/0001193125-12-085473-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491813000042/0000104918-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491814000036/ava-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000010491815000044/ava-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000010491816000185/0000104918-16-000185-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491817000053/0000104918-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491818000043/0000104918-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491819000053/0000104918-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491820000036/0000104918-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/104918/000156459021007774/0001564590-21-007774-index.htm,https://www.sec.gov/Archives/edgar/data/104918/000095017022001672/0000950170-22-001672-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,5200000,8200000,30600000,72800000,40000000,194365000,171221000,186369000,128126000,88317000,25917000,28242000,15907000,24313000,37035000,69413000,74662000,89331000,98721000,22143000,10484000,8507000,16172000,14656000,9896000,14196000,22168000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59405000,- -,118536000,74405000,80541000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,5200000,8200000,30600000,72800000,40000000,194365000,171221000,186369000,128126000,88317000,25917000,28242000,15907000,24313000,96440000,69413000,193198000,163736000,179262000,22143000,10484000,8507000,16172000,14656000,9896000,14196000,22168000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,74500000,102400000,148700000,176900000,456900000,530800000,861308000,388083000,321091000,318848000,325755000,502947000,286150000,105440000,218846000,227083000,258943000,218830000,196460000,229126000,215818000,193534000,228530000,185978000,165824000,177704000,213586000,232650000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,38000000,31700000,42100000,42100000,28400000,24496000,21776000,22047000,22428000,26108000,54123000,42425000,34985000,53526000,37282000,48530000,52006000,47455000,44946000,66356000,54148000,53314000,58075000,63881000,66583000,67451000,84733000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,35500000,38400000,39800000,127200000,396800000,614900000,8011531000,551937000,439215000,379978000,460162000,1187381000,675457000,175853000,185542000,58118000,202679000,150522000,98143000,96345000,91030000,47880000,60990000,77309000,102562000,50946000,48744000,94922000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,136600000,184000000,228400000,376800000,968600000,1214100000,9091700000,1133017000,968722000,849380000,900342000,1770368000,1032274000,332185000,482227000,418923000,579565000,614556000,505794000,549679000,395347000,306046000,351341000,337534000,346923000,305129000,343977000,434473000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1329000000,1357400000,1397900000,1433100000,1470900000,1500800000,1518312000,1565642000,2170070000,2345873000,1956063000,2126417000,2215037000,2351342000,2492191000,2607011000,2714237000,2860776000,3070258000,3260980000,3661978000,3949339000,4219724000,4482722000,4680285000,4944892000,5130349000,5359378000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24718000,25935000,39045000,75959000,76257000,57976000,57672000,57672000,57672000,57672000,52426000,52426000,52426000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80309000,46256000,39576000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24718000,25935000,119354000,122215000,115833000,57976000,57672000,57672000,57672000,57672000,52426000,52426000,52426000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112820000,11547000,30330000,27880000,25430000,22980000,20530000,11547000,11547000,40804000,62805000,70865000,102604000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,528700000,557500000,551000000,601900000,814100000,998600000,1953912000,1338564000,475341000,466242000,847418000,1051709000,809197000,506270000,656329000,443487000,608811000,589515000,587032000,410001000,574050000,573062000,669471000,625257000,656892000,717204000,804480000,904702000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1857700000,1914900000,1948900000,2035000000,2285000000,2499400000,3472224000,2904206000,2645411000,2812115000,2803481000,3178126000,3024234000,2857612000,3148520000,3188036000,3360530000,3599975000,3807385000,3812244000,4316984000,4600603000,4958414000,5177198000,5435653000,5777327000,6058120000,6419110000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994300000,2098900000,2177300000,2411800000,3253600000,3713500000,12563924000,4037223000,3614133000,3661495000,3703823000,4948494000,4056508000,3189797000,3630747000,3606959000,3940095000,4214531000,4313179000,4361923000,4712331000,4906649000,5309755000,5514732000,5782576000,6082456000,6402097000,6853583000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,46200000,64800000,95300000,154300000,406500000,522500000,892545000,367899000,340651000,298285000,325194000,511427000,286099000,117546000,176116000,160861000,171707000,166954000,198914000,182088000,112974000,114349000,115545000,107289000,108372000,110219000,106613000,133096000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252160000,76926000,101901000,111986000,153949000,103018000,30605000,427344000,269407000,127889000,223364000,235467000,117337000,187765000,112855000,198167000,123287000,382836000,297645000,237800000,210184000,541386000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33374000,33802000,36858000,36965000,45099000,41706000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,86300000,104200000,108200000,185400000,457700000,664500000,7980502000,483649000,498278000,428082000,394897000,1115443000,628505000,218759000,243021000,214667000,184104000,224753000,259898000,255487000,159440000,162164000,168696000,207377000,233567000,182694000,189082000,238624000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,132500000,169000000,203500000,339700000,864200000,1187000000,9125207000,928474000,940830000,838353000,874040000,1729888000,945209000,763649000,688544000,503417000,579175000,627174000,576149000,625340000,385269000,474680000,407528000,697502000,639584000,530713000,505879000,913106000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,721100000,738300000,764500000,762200000,730000000,718200000,679806000,1175715000,902635000,1038415000,1014959000,1103393000,1063257000,634892000,922661000,1087696000,1199517000,1254176000,1301752000,1371403000,1543609000,1531658000,1730264000,1543346000,1807076000,1895315000,2176612000,2061715000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,312600000,307500000,312500000,352700000,357700000,377000000,446310000,517428000,454147000,492799000,488471000,488934000,461006000,440918000,488940000,494666000,495474000,505954000,524877000,535343000,710342000,747477000,840928000,466630000,517327000,558957000,624578000,672022000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,33200000,72000000,163100000,509300000,739800000,1553884000,660857000,570218000,510786000,573570000,854673000,670737000,436190000,533399000,470566000,494023000,589543000,633266000,511570000,589869000,624547000,682559000,1076770000,1044544000,1158187000,1065302000,1051996000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1049000000,1079000000,1149000000,1278000000,1597000000,1835000000,2680000000,2354000000,1927000000,2042000000,2077000000,2447000000,2195000000,1512000000,1945000000,2052928000,2189014000,2349673000,2459895000,2418316000,2843820000,2903682000,3253751000,3086746000,3368947000,3612459000,3866492000,3785733000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4113890000,- -,- -,- -,3024182000,3890320000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100543000,118325000,- -,- -,- -,- -,- -,- -,- -,117315000,123715000,119184000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1180600000,1246800000,1351600000,1508000000,2351400000,2911700000,11704700000,3182160000,2768092000,2910243000,2950618000,4151116000,3139662000,2275831000,2633864000,2556345000,2768189000,2976847000,3036044000,3043656000,3229089000,3378362000,3661279000,3784248000,4008531000,4143172000,4372371000,4698839000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133250000,- -,- -,26250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,570600000,594600000,594900000,594900000,381400000,318700000,610741000,617737000,623092000,626788000,629056000,631084000,715620000,- -,- -,- -,827592000,- -,889237000,896993000,999960000,1004336000,1075281000,1133448000,1136491000,1210741000,1286068000,1380152000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,114800000,125000000,131300000,171800000,120400000,87500000,132942000,120028000,126137000,145878000,155854000,173829000,219192000,206641000,227989000,274990000,302518000,336150000,376940000,407092000,491599000,530940000,581014000,604470000,644595000,738802000,758036000,785631000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500600000,-546200000,-592400000,-635300000,-669800000,-714800000,-720453000,-767101000,-36438000,-21414000,-31705000,-33785000,-17966000,-19608000,-6092000,-2350000,-4326000,-5637000,-6700000,-5819000,-7888000,-6650000,-7568000,-8090000,-7866000,-10259000,-14378000,-11039000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,628900000,678700000,691900000,772400000,1070200000,1110400000,835994000,884399000,- -,- -,- -,- -,- -,727325000,774894000,777624000,- -,907534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,813700000,852100000,825700000,903800000,902200000,801800000,859224000,855063000,846041000,751252000,753205000,797378000,916846000,913966000,996883000,1051287000,1125784000,1185701000,1259477000,1298266000,1483671000,1528626000,1648727000,1729828000,1773220000,1939284000,2029726000,2154744000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994300000,2098900000,2177300000,2411800000,3253600000,3713500000,12563924000,4037223000,3614133000,3661495000,3703823000,4948494000,4056508000,3189797000,3630747000,3607632000,3893973000,4162548000,4295521000,4341922000,4712760000,4906988000,5310006000,5514076000,5781751000,6082456000,6402097000,6853583000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-673000,46122000,51983000,17658000,20001000,-429000,-339000,-251000,656000,825000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994300000,2098900000,2177300000,2411800000,3253600000,3713500000,12563924000,4037223000,3614133000,3661495000,3703823000,4948494000,4056508000,3189797000,3630747000,3606959000,3940095000,4214531000,4313179000,4361923000,4712331000,4906649000,5309755000,5514732000,5782576000,6082456000,6402097000,6853583000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104918/000089102000000526/0000891020-00-000526-index.html,https://www.sec.gov/Archives/edgar/data/104918/000109581101001564/0001095811-01-001564-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102002000255/0000891020-02-000255-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102003000804/0000891020-03-000804-index.html,https://www.sec.gov/Archives/edgar/data/104918/000095012404000732/0000950124-04-000732-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102005000059/0000891020-05-000059-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312506047284/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312507041126/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312508040207/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312509040752/0001193125-09-040752-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312510042906/0001193125-10-042906-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312511047407/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312512085473/0001193125-12-085473-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491813000042/0000104918-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491814000036/ava-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000010491815000044/ava-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000010491816000185/0000104918-16-000185-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491817000053/0000104918-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491818000043/0000104918-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491819000053/0000104918-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491820000036/0000104918-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/104918/000156459021007774/0001564590-21-007774-index.htm,https://www.sec.gov/Archives/edgar/data/104918/000095017022001672/0000950170-22-001672-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,77200000,87100000,83500000,114800000,78100000,26000000,91679000,12156000,31307000,44504000,35154000,45168000,73133000,38475000,73620000,87071000,92425000,100224000,78210000,111077000,192041000,123227000,137228000,115916000,136429000,196979000,129488000,147334000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151134000,107626000,113600000,126402000,133189000,138337000,147835000,164925000,175655000,187318000,205994000,224223000,232176000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,-5500000,12500000,37100000,10400000,-1100000,79274000,79141000,-40287000,28395000,19168000,8865000,-19108000,-7369000,44161000,13853000,37734000,24007000,21449000,23532000,144269000,51801000,124543000,69657000,8570000,15098000,44964000,11224000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4916000,5756000,5792000,6218000,8114000,6914000,7891000,7359000,5367000,11353000,5846000,4713000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18400000,10900000,9900000,12200000,67300000,-77300000,-60607000,238050000,-176651000,-16865000,15275000,14178000,46585000,-518529000,225147000,121823000,84884000,-13008000,-57737000,-5306000,85739000,-178712000,112447000,-303781000,67307000,67077000,63682000,-15649000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30616000,8100000,-32675000,16425000,-10538000,-17170000,-9270000,15474000,-4366000,-10960000,-46107000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1900000,-11700000,7700000,-8100000,9500000,500000,3857000,-853000,-271000,-682000,-4023000,-10642000,11698000,4522000,-18541000,16245000,-11248000,-3388000,4551000,2509000,-19394000,12208000,834000,-4767000,-5807000,-6148000,-868000,-17282000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18444000,13606000,-18032000,30189000,-8389000,-12562000,-8138000,5176000,-8162000,-470000,7471000,-10152000,33369000
