,https://roic.ai/company/XENE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-23000,-257000,-6000
23,Net Income,-11992000,-4301000,12032000,13018000,-15752000,-22997000,-30704000,-34497000,-41595000,-28837000,-78882000
24,Net Income ratio,-1.7334,-0.3006,0.4398,0.4589,-1.0112,-12.7549,-98.7267,-Infinity,-6.0909,-0.8965,-4.2785
25,EPS,-1.32,-0.47,1.33,4.11,-1.10,-1.48,-1.71,-1.63,-1.54,-0.81,-1.77
26,EPS Diluted,-1.32,-0.47,1.24,3.28,-1.10,-1.48,-1.72,-1.63,-1.54,-0.81,-1.77
27,Weighted Average Shares Outstanding,9075863,9085116,9075863,3165572,14281837,15493474,17985061,19425711,25939405,34542213,43627452
28,Weighted Average Shares Outstanding Diluted,9735030,9828092,9735030,3963797,14281837,15493474,18001759,19425711,25939405,34542213,43627452
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1582313/000156459015001612/0001564590-15-001612-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459016014222/0001564590-16-014222-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459017003716/0001564590-17-003716-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459018004750/0001564590-18-004750-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459019006514/0001564590-19-006514-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459020009385/0001564590-20-009385-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459021009905/0001564590-21-009905-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459022008060/0001564590-22-008060-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,60162000,37950000,72026000,58651000,17095000,20486000,67754000,24755000,45009000,175688000
32,Short-Term Investments,- -,- -,11326000,12015000,- -,47051000,23181000,51552000,116603000,131988000,376086000
33,Cash and Short-Term Investments,- -,60162000,49276000,84041000,58651000,64146000,43667000,119306000,141358000,176997000,551774000
34,Net Receivables,- -,392000,440000,215000,315000,200000,438000,256000,813000,1822000,2765000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,149000,153000,686000,1900000,1329000,716000,1875000,2695000,2964000,4481000
37,Total Current Assets,- -,60703000,49869000,84942000,60866000,65675000,44821000,121437000,144866000,181783000,559020000
38,PP&E,- -,2602000,1879000,- -,- -,- -,- -,- -,- -,6880000,12522000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,238000,523000,465000
44,Other Non-Current Assets,- -,- -,2739000,2476000,3083000,1812000,1300000,991000,2593000,- -,- -
45,Total Non-Current Assets,- -,2602000,4618000,2476000,3083000,1812000,1300000,991000,2831000,7403000,12987000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,63305000,54487000,87418000,63949000,67487000,46121000,122428000,147697000,189186000,572007000
48,Accounts Payable,- -,821000,391000,553000,1088000,1463000,1253000,665000,2473000,3041000,3824000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,700000,- -,4818000,265000,605000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,17015000,15920000,11622000,157000,- -,- -,- -,29743000,3642000,- -
52,Other Current Liabilities,- -,1360000,1892000,2111000,1537000,2053000,2130000,3454000,6345000,7833000,9893000
53,Total Current Liabilities,- -,19196000,18203000,14286000,2782000,3516000,4083000,4119000,43379000,14781000,14322000
54,Long-Term Debt,- -,1665000,- -,- -,- -,- -,6104000,15014000,10889000,- -,7652000
55,Deferred Revenue,- -,29637000,11886000,157000,- -,- -,- -,- -,709000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,184000,282000,196000,133000,70000,- -,- -,743000,3050000,- -
58,Total Non-Current Liabilities,- -,31486000,12168000,353000,133000,70000,6104000,15014000,12341000,3050000,7652000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,911000,3315000,8257000
61,Total Liabilities,- -,50682000,30371000,14639000,2915000,3586000,10187000,19133000,55720000,17831000,21974000
62,Preferred Stock,- -,102488000,102488000,- -,148634000,173246000,173841000,7732000,7732000,7732000,7732000
63,Common Stock,- -,6008000,6147000,147157000,148634000,173246000,173841000,265923000,294244000,397748000,783170000
64,Retained Earnings,- -,-128784000,-116752000,-103734000,-119693000,-142681000,-173388000,-207885000,-249655000,-278492000,-357374000
65,Other Comprehensive Income/Loss,- -,3747000,2511000,-990000,-990000,-990000,-990000,-990000,-990000,-990000,-990000
66,Other Total Stockholders Equity,- -,29164000,29722000,30346000,-115551000,-138920000,-137370000,38515000,40646000,45357000,117495000
67,Total Stockholders Equity,- -,12623000,24116000,72779000,61034000,63901000,35934000,103295000,91977000,171355000,550033000
68,Total Liabilities And Stockholders Equity,- -,63305000,54487000,87418000,63949000,67487000,46121000,122428000,147697000,189186000,572007000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,63305000,54487000,87418000,63949000,67487000,46121000,122428000,147697000,189186000,572007000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1582313/000156459015001612/0001564590-15-001612-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459016014222/0001564590-16-014222-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459017003716/0001564590-17-003716-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459018004750/0001564590-18-004750-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459019006514/0001564590-19-006514-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459020009385/0001564590-20-009385-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459021009905/0001564590-21-009905-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459022008060/0001564590-22-008060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-11992000,-4301000,12032000,13018000,-15752000,-22997000,-30704000,-34497000,-41595000,-28837000,-78882000
74,Depreciation and Amortization,1132000,786000,705000,738000,1038000,864000,649000,586000,429000,644000,906000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-133000,-285000,58000
76,Stock Based Compensation,447000,414000,648000,760000,3729000,2161000,2236000,2625000,2924000,5677000,10017000
77,Change in Working Capital,-3266000,33304000,-9841000,38990000,-12572000,4075000,-21421000,76580000,-15831000,65515000,-2647000
78,Accounts Receivable,-11008000,11230000,-76000,209000,-107000,121000,-232000,175000,-653000,-1032000,-459000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,8203000,41507000,31666000,70656000,58084000,62159000,40738000,117318000,101487000,167002000,-3642000
82,Other Non-Cash Items,-10000,15370000,-6866000,-53240000,5454000,-3670000,20514000,-80018000,49574000,-90838000,1046000
83,Cash Provided by Operating Activities,-13689000,45573000,-3322000,266000,-18103000,-19567000,-28726000,-34724000,-4632000,-48124000,-69502000
84,CAPEX,-290000,-526000,-156000,-1529000,-551000,-279000,-315000,-507000,-1240000,-2637000,-2050000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-17876000,-15254000,- -,-47563000,-28007000,-77002000,-140494000,-228897000,-389474000
87,Sales/Maturities of Investments,14179000,1010000,6550000,13539000,10745000,- -,52616000,48522000,75443000,214710000,144754000
88,Other Investing Activites,- -,7000,10000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,13889000,491000,-11472000,-3244000,10194000,-47842000,24294000,-28987000,-66291000,-16824000,-246770000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16743000,- -
91,Common Stock Issued,2000,- -,49000,42657000,278000,23832000,177000,102850000,27396000,102456000,447283000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-4440000,-1533000,- -,132000,6893000,8741000,122000,82000,260000
95,Cash Used/Provided by Financing Activities,2000,- -,-4391000,41124000,278000,23964000,7070000,111591000,27518000,85795000,447543000
96,Effect of Forex Changes on Cash,-314000,170000,-3027000,-4070000,-5744000,1889000,753000,-612000,406000,-593000,-592000
97,Net Change In Cash,-112000,46234000,-22212000,34076000,-13375000,-41556000,3391000,47268000,-42999000,20254000,130679000
98,Cash at the End of Period,13928000,60162000,37950000,72026000,58651000,17095000,20486000,67754000,24755000,45009000,175688000
99,Cash at the Beginning of Period,14040000,13928000,60162000,37950000,72026000,58651000,17095000,20486000,67754000,24755000,45009000
100,Free Cash Flow,-13979000,45047000,-3478000,-1263000,-18654000,-19846000,-29041000,-35231000,-5872000,-50761000,-71552000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1582313/000156459015001612/0001564590-15-001612-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459016014222/0001564590-16-014222-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459017003716/0001564590-17-003716-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459018004750/0001564590-18-004750-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459019006514/0001564590-19-006514-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459020009385/0001564590-20-009385-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459021009905/0001564590-21-009905-index.htm,https://www.sec.gov/Archives/edgar/data/1582313/000156459022008060/0001564590-22-008060-index.htm
102,false,,,,,,,,,,,
