,https://roic.ai/company/AUTO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,15700000,68400000,104662000,108898000,81653000,82803000,66020000,81933000,89885000,55122000,105430000,24122000,28474000,25709000,24953000,27919000,35814000,43991000,51835000,43773000,47231000,37907000,29204000,26796000
11,COGS and Expenses,44400000,67100000,101910000,108898000,81653000,82803000,116700000,134181000,145150000,107570000,156814000,58108000,60506000,63538000,65483000,75834000,100279000,125577000,150606000,143125000,157560000,129319000,82094000,78050000
12,Interest Income ,- -,- -,6114000,3338000,686000,316000,946000,- -,1795000,5906000,1346000,- -,- -,40000,139000,237000,- -,- -,- -,- -,250000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1011000
14,Depreciation and Amortization,1300000,1300000,2752000,3092000,3386000,2608000,3850000,3997000,3686000,4155000,4933000,1620000,1365000,2106000,2162000,1875000,2227000,4021000,7303000,7653000,8544000,6454000,3624000,2484000
15,EBITDA,-18100000,-21900000,-26240000,-41732000,-17322000,10036000,10117000,-2033000,-27748000,-1200000,-74983000,-1363000,-7017000,2871000,3893000,4955000,7675000,12100000,13989000,-31872000,-30278000,-8765000,-3186000,-4186000
16,EBITDA ratio,-0.7605,-0.5434,-0.3944,-0.5872,-0.2142,0.1128,0.0828,-0.0162,-0.2498,-0.0142,-1.0537,-0.0258,-0.1362,0.0450,0.0583,0.0632,0.0722,0.0908,0.0893,-0.2243,-0.2411,-0.0769,-0.0416,-0.0585
17,Operating Income,-20600000,-26800000,-35378000,-49573000,-17613000,6140000,5536000,-8912000,-34060000,-23185000,-85655000,-5190000,-8972000,725000,1592000,2843000,6142000,7757000,6128000,-38579000,-39072000,-15338000,-5524000,-6465000
18,Operating Income ratio,-0.8655,-0.6650,-0.5317,-0.6975,-0.2178,0.0690,0.0453,-0.0711,-0.3066,-0.2748,-1.2037,-0.0981,-0.1741,0.0114,0.0238,0.0363,0.0578,0.0582,0.0391,-0.2714,-0.3111,-0.1346,-0.0721,-0.0903
19,Total Other Income Expenses (Gains),1300000,3600000,6386000,4749000,-3095000,1288000,731000,3131000,1817000,5899000,1346000,1028000,590000,40000,139000,237000,-694000,322000,558000,-946000,250000,119000,-1286000,806000
20,Income Before Tax,- -,-23200000,-28992000,-44824000,-20708000,7428000,6267000,-5781000,-32243000,-17286000,-84309000,-4162000,-8382000,765000,1731000,3080000,5448000,8079000,6686000,-39525000,-38822000,-15219000,-6810000,-5659000
21,Income Before Tax Ratio,- -,-0.5757,-0.4358,-0.6307,-0.2561,0.0835,0.0513,-0.0461,-0.2902,-0.2048,-1.1848,-0.0786,-0.1626,0.0120,0.0259,0.0393,0.0513,0.0606,0.0427,-0.2781,-0.3091,-0.1335,-0.0889,-0.0791
22,Income Tax expense (Gain),- -,100000,42000,27000,6000,8000,430000,228000,34000,- -,- -,-606000,182000,349000,344000,-35064000,2037000,3433000,2815000,25439000,-6000,10000,10000,- -
23,Net Income,-19400000,-23300000,-29034000,-44851000,-20714000,7420000,5837000,-6258000,-31468000,-5355000,-79916000,-2377000,-8564000,416000,1387000,38144000,3411000,4646000,3871000,-64964000,-38816000,-15229000,-6820000,-5659000
24,Net Income ratio,-0.8151,-0.5782,-0.4364,-0.6311,-0.2562,0.0834,0.0478,-0.0500,-0.2833,-0.0635,-1.1231,-0.0449,-0.1662,0.0065,0.0208,0.4868,0.0321,0.0349,0.0247,-0.4571,-0.3091,-0.1336,-0.0891,-0.0791
25,EPS,-11.50,-7.40,-7.25,-9.20,-3.35,1.10,0.70,-0.75,-3.70,-0.60,-9.05,-0.25,-0.95,0.05,0.15,4.29,0.38,0.47,0.36,-5.48,-3.04,-1.17,-0.52,-0.43
26,EPS Diluted,-11.50,-7.40,-7.25,-9.20,-3.35,1.00,0.65,-0.75,-3.70,-0.60,-9.05,-0.25,-0.95,0.05,0.15,3.61,0.32,0.37,0.29,-5.48,-3.04,-1.17,-0.52,-0.43
27,Weighted Average Shares Outstanding,3574600,3153281,4009434,4880721,6228619,6901607,8157148,8391359,8504865,8925000,8817412,9033741,9017992,9193552,8995819,8883357,8980000,9907000,10673000,11853000,12756000,13071000,13144000,13144000
28,Weighted Average Shares Outstanding Diluted,3574600,3153281,4009434,4880721,6228619,7525129,8809716,8391359,8504865,8925000,8817412,9033741,9017992,9536310,9203528,10615953,11212000,12662000,13303000,11853000,12756000,13071000,13144000,13144000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023364/000109581100000671/0001095811-00-000671-index.html,https://www.sec.gov/Archives/edgar/data/351017/000100547701002282/0001005477-01-002282-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023364/000101706203000553/0001017062-03-000553-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312504042136/0001193125-04-042136-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312505117446/0001193125-05-117446-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312506056642/0001193125-06-056642-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312507055632/0001193125-07-055632-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312508058907/0001193125-08-058907-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312509052623/0001193125-09-052623-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336410000008/0001023364-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336411000005/0001023364-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336412000010/0001023364-12-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1023364/000102336414000007/0001023364-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000141588915000688/0001415889-15-000688-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000141588916005012/0001415889-16-005012-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495417001816/0001654954-17-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495418002634/0001654954-18-002634-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495419002411/0001654954-19-002411-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495420003358/0001654954-20-003358-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495421002627/0001654954-21-002627-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000185173422000161/0001851734-22-000161-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28000000,85500000,81945000,58790000,27543000,51643000,24287000,33353000,22743000,27601000,27393000,25097000,8819000,11209000,15296000,18930000,20747000,23993000,38512000,24993000,13600000,892000,10803000,7315000
32,Short-Term Investments,- -,- -,- -,- -,- -,3991000,16500000,12000000,3000000,686000,- -,- -,- -,- -,- -,- -,- -,- -,251000,254000,- -,- -,- -,- -
33,Cash and Short-Term Investments,28000000,85500000,81945000,58790000,27543000,55634000,40787000,45353000,25743000,28287000,27393000,25097000,8819000,11209000,15296000,18930000,20747000,23993000,38763000,25247000,13600000,892000,10803000,7315000
34,Net Receivables,2300000,4600000,6638000,8519000,6757000,10587000,17920000,19042000,17250000,11692000,10047000,8573000,9067000,10144000,10081000,14178000,18311000,28091000,33634000,25911000,26898000,24051000,13955000,11433000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076000
36,Other Current Assets,1400000,2800000,4127000,7466000,3523000,903000,11397000,2697000,2181000,18899000,1378000,594000,1197000,971000,504000,4023000,6309000,4918000,5570000,1805000,1245000,6319000,5151000,5312000
37,Total Current Assets,31700000,92900000,92710000,74775000,37823000,67124000,70104000,67092000,45174000,58878000,38818000,34264000,19083000,22324000,25881000,37131000,45367000,57002000,77967000,52963000,41743000,31262000,29909000,25136000
38,PP&E,2200000,1600000,2537000,2889000,2088000,2138000,3389000,4226000,7954000,10757000,2421000,1003000,1733000,1629000,1593000,1548000,1904000,4296000,4430000,4311000,3181000,5877000,5845000,5846000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,70697000,52074000,- -,- -,11677000,11677000,11677000,13602000,20948000,42903000,42821000,5133000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,23755000,8644000,8367000,16830000,74884000,72886000,674000,303000,- -,- -,4258000,2893000,1539000,1821000,4173000,29515000,23783000,29113000,11976000,7104000,4733000,3634000
41,Intangible Assets,- -,- -,23755000,8644000,8367000,16830000,74884000,72886000,71371000,52377000,- -,- -,15935000,14570000,13216000,15423000,25121000,72418000,66604000,34246000,11976000,7104000,4733000,3634000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000,1000000,194000,- -,2500000,3880000,680000,680000,100000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31135000,27396000,17820000,14799000,692000,- -,- -,- -,- -
44,Other Non-Current Assets,300000,400000,5307000,4473000,6946000,10234000,12340000,3124000,197000,144000,763000,- -,81000,77000,77000,456000,1081000,1372000,801000,601000,516000,661000,642000,516000
45,Total Non-Current Assets,2500000,2000000,31599000,16006000,17401000,29202000,90613000,80236000,79522000,63278000,3184000,1126000,18749000,16470000,14886000,51062000,59382000,96586000,87314000,39950000,15673000,13642000,11220000,9996000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34200000,94900000,124309000,90781000,55224000,96326000,160717000,147328000,124696000,122156000,42002000,35390000,37832000,38794000,40767000,88193000,104749000,153588000,165281000,92913000,57416000,44904000,41129000,35132000
48,Accounts Payable,2900000,4300000,9828000,9108000,3529000,4063000,5812000,5709000,9271000,5852000,3579000,2539000,3713000,3081000,3837000,5267000,7685000,7643000,9764000,7083000,10908000,14080000,7233000,7705000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5250000,6563000,- -,1000000,4912000,12649000,845000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,4708000,3575000,3720000,4029000,3874000,2138000,1749000,1835000,603000,564000,216000,168000,-1000,- -,- -,- -,- -,423000,- -,- -,- -
52,Other Current Liabilities,5300000,13800000,14435000,9397000,5443000,5733000,10280000,9083000,9090000,7867000,6432000,4028000,4995000,4994000,5377000,7649000,9495000,10744000,12845000,9663000,11570000,3319000,2661000,12393000
53,Total Current Liabilities,8200000,18100000,24263000,23213000,12547000,13516000,20121000,18666000,20499000,15468000,11846000,7170000,9272000,8291000,9382000,12915000,22180000,23637000,29172000,16746000,23901000,22311000,22543000,20943000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,5000000,9250000,13000000,21750000,16500000,9000000,- -,- -,60000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,100000,47000,- -,255000,- -,8000,152000,195000,436000,181000,79000,457000,607000,620000,1200000,311000,- -,- -,- -,- -,1497000,2191000,1432000
58,Total Non-Current Liabilities,100000,100000,47000,- -,255000,- -,8000,152000,195000,436000,181000,79000,5457000,5607000,5620000,10450000,13311000,21750000,16500000,9000000,- -,1497000,2251000,1432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2664000,3206000,- -
61,Total Liabilities,8300000,18200000,24310000,23213000,12802000,13516000,20129000,18818000,20694000,15904000,12027000,7249000,14729000,13898000,15002000,23365000,35491000,45387000,45672000,25746000,23901000,23808000,24794000,22375000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1300000,20000,31000,31000,38000,42000,42000,43000,44000,45000,45000,46000,46000,9000,9000,9000,11000,11000,13000,13000,13000,13000,13000
64,Retained Earnings,-43300000,-66600000,-95627000,-140478000,-161192000,-153772000,-148361000,-154619000,-186087000,-191442000,-271358000,-273735000,-282299000,-281883000,-280496000,-242352000,-238941000,-234295000,-230424000,-288900000,-327716000,-342945000,-349765000,-355424000
65,Other Comprehensive Income/Loss,-2400000,-3300000,-4522000,-5949000,-40000,-5952000,2099000,-10703000,-10197000,686000,568000,- -,-12447000,-12620000,- -,-12569000,-13314000,-14288000,-15427000,-15770000,-17796000,-18689000,- -,- -
66,Other Total Stockholders Equity,71600000,145300000,200128000,213964000,203623000,242496000,282287000,293627000,300059000,296964000,300720000,301831000,317803000,319353000,306252000,319740000,321504000,356773000,365449000,371824000,379014000,382717000,366087000,368168000
67,Total Stockholders Equity,25900000,76700000,99999000,67568000,42422000,82810000,136067000,128347000,103818000,106252000,29975000,28141000,23103000,24896000,25765000,64828000,69258000,108201000,119609000,67167000,33515000,21096000,16335000,12757000
68,Total Liabilities And Stockholders Equity,34200000,94900000,124309000,90781000,55224000,96326000,156196000,147165000,124512000,122156000,42002000,35390000,37832000,38794000,40767000,88193000,104749000,153588000,165281000,92913000,57416000,44904000,41129000,35132000
69,Minority Interest,- -,- -,- -,- -,- -,- -,4521000,163000,184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34200000,94900000,124309000,90781000,55224000,96326000,160717000,147328000,124696000,122156000,42002000,35390000,37832000,38794000,40767000,88193000,104749000,153588000,165281000,92913000,57416000,44904000,41129000,35132000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023364/000109581100000671/0001095811-00-000671-index.html,https://www.sec.gov/Archives/edgar/data/351017/000100547701002282/0001005477-01-002282-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023364/000101706203000553/0001017062-03-000553-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312504042136/0001193125-04-042136-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312505117446/0001193125-05-117446-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312506056642/0001193125-06-056642-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312507055632/0001193125-07-055632-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312508058907/0001193125-08-058907-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312509052623/0001193125-09-052623-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336410000008/0001023364-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336411000005/0001023364-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336412000010/0001023364-12-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1023364/000102336414000007/0001023364-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000141588915000688/0001415889-15-000688-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000141588916005012/0001415889-16-005012-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495417001816/0001654954-17-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495418002634/0001654954-18-002634-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495419002411/0001654954-19-002411-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495420003358/0001654954-20-003358-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495421002627/0001654954-21-002627-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000185173422000161/0001851734-22-000161-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-19400000,-23300000,-29034000,-44851000,-20714000,7420000,5837000,-6258000,-31468000,-5355000,-79916000,-2377000,-8564000,416000,1387000,38144000,3411000,4646000,3871000,-64964000,-38816000,-15229000,-6820000,-5659000
74,Depreciation and Amortization,1300000,1300000,2752000,3092000,3386000,2608000,3850000,3997000,3686000,4155000,4933000,1620000,1365000,2106000,2162000,1875000,2227000,4021000,7303000,7653000,8544000,6454000,3624000,2484000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35495000,1758000,2996000,1994000,25264000,692000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1111000,1101000,1022000,910000,704000,1421000,2557000,4412000,4103000,4866000,2402000,1984000,1854000
77,Change in Working Capital,-700000,51300000,-6353000,-16885000,-26286000,28332000,-3625000,-1557000,-23751000,18735000,-16438000,122000,-17283000,4222000,2466000,7717000,-1029000,10178000,15430000,-12578000,-18375000,-8891000,-1585000,-3173000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-559000,-17000,-2041000,-492000,-4610000,-2590000,-381000,-3229000,7130000,-1445000,2304000,9722000,2697000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1076000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1040000,747000,-632000,756000,1416000,137000,-586000,2121000,-2681000,3825000,-3492000,-7279000,306000
81,Other Working Capital,23500000,74800000,68447000,51562000,25276000,53608000,49983000,48426000,24675000,43410000,26972000,27094000,9811000,14033000,16499000,24216000,23187000,33365000,48795000,36217000,17842000,8951000,7366000,4193000
82,Other Non-Cash Items,2500000,-43800000,8893000,38926000,40431000,-28991000,1533000,-2307000,32750000,-24443000,71423000,-5005000,19035000,-5562000,-1119000,-8613000,102000,-12198000,-14768000,52010000,40169000,5847000,4698000,3078000
83,Cash Provided by Operating Activities,-16300000,-14500000,-23742000,-19718000,-3183000,9369000,7595000,-6125000,-18783000,-6908000,-19998000,-4529000,-4346000,2204000,5806000,4332000,7890000,12200000,18242000,11488000,-2920000,-9417000,1901000,-1416000
84,CAPEX,-1100000,-800000,-1849000,-2444000,-1087000,-1057000,-1989000,-2809000,-5282000,-7647000,-2255000,-134000,-1797000,-642000,-772000,-686000,-1124000,-2719000,-2148000,-10399000,-896000,-1640000,-596000,-1719000
85,Acquisitions Net,- -,- -,-4374000,5697000,- -,-4852000,-20631000,- -,- -,9916000,- -,1787000,-9000000,- -,- -,-4474000,-11424000,-25386000,-375000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-501000,- -,-9991000,-45500000,-8100000,-2998000,3985000,-14050000,- -,-1400000,- -,- -,-2500000,-1280000,-375000,-251000,-3000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,109000,- -,- -,32991000,29541000,14998000,3354000,14050000,580000,- -,- -,726000,108000,- -,- -,- -,- -,125000,250000,- -,- -
88,Other Investing Activites,- -,-100000,-5789000,-2952000,-29835000,2159000,1911000,-26000,-82000,2000,21396000,- -,- -,806000,- -,2484000,1280000,375000,- -,-8600000,- -,- -,- -,-325000
89,Cash Used for Investing Activites,-1100000,-900000,-12012000,-91000,-30922000,-13741000,-33218000,18606000,6636000,9610000,19141000,2233000,-12197000,164000,-46000,-5052000,-12548000,-28105000,-2774000,-10402000,-771000,-1390000,-596000,-2044000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2250000,-3750000,-3937000,-14063000,-8000000,-71223000,-93239000,- -
91,Common Stock Issued,29600000,72900000,32250000,2123000,323000,28561000,4492000,637000,1537000,2340000,649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,227000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1455000,- -,-1779000,- -,- -,-1897000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-157000,-225000,-4052000,- -,-184000,- -,- -,265000,22000,-218000,4354000,10504000,22901000,2988000,1355000,98000,74376000,101095000,-227018000
95,Cash Used/Provided by Financing Activities,29600000,72900000,32250000,2123000,323000,28404000,4267000,-3415000,1537000,2156000,649000,- -,265000,22000,-1673000,4354000,6475000,19151000,-949000,-14605000,-7702000,3153000,7856000,-18000
96,Effect of Forex Changes on Cash,- -,- -,-8000,-2422000,-512000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,57500000,-3512000,-20108000,-34294000,24072000,-21356000,9066000,-10610000,4858000,-208000,-2296000,-16278000,2390000,4087000,3634000,1817000,3246000,14519000,-13519000,-11393000,-7654000,9161000,-3478000
98,Cash at the End of Period,- -,85500000,81945000,61837000,27543000,51643000,24287000,33353000,22743000,27601000,27393000,25097000,8819000,11209000,15296000,18930000,20747000,23993000,38512000,24993000,13600000,5946000,15107000,11629000
99,Cash at the Beginning of Period,15800000,28000000,85457000,81945000,61837000,27571000,45643000,24287000,33353000,22743000,27601000,27393000,25097000,8819000,11209000,15296000,18930000,20747000,23993000,38512000,24993000,13600000,5946000,15107000
100,Free Cash Flow,-17400000,-15300000,-25591000,-22162000,-4270000,8312000,5606000,-8934000,-24065000,-14555000,-22253000,-4663000,-6143000,1562000,5034000,3646000,6766000,9481000,16094000,1089000,-3816000,-11057000,1305000,-3135000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023364/000109581100000671/0001095811-00-000671-index.html,https://www.sec.gov/Archives/edgar/data/351017/000100547701002282/0001005477-01-002282-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023364/000101706203000553/0001017062-03-000553-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312504042136/0001193125-04-042136-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312505117446/0001193125-05-117446-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312506056642/0001193125-06-056642-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312507055632/0001193125-07-055632-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312508058907/0001193125-08-058907-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000119312509052623/0001193125-09-052623-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336410000008/0001023364-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336411000005/0001023364-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000102336412000010/0001023364-12-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1023364/000102336414000007/0001023364-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000141588915000688/0001415889-15-000688-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000141588916005012/0001415889-16-005012-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495417001816/0001654954-17-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495418002634/0001654954-18-002634-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495419002411/0001654954-19-002411-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495420003358/0001654954-20-003358-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000165495421002627/0001654954-21-002627-index.htm,https://www.sec.gov/Archives/edgar/data/1023364/000185173422000161/0001851734-22-000161-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
