,https://roic.ai/company/GIS,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,376000000,256000000,363900000,467200000,480500000,545000000,645100000,826700000,902700000,917600000,999400000,689000000,860000000,858900000,950200000,1017700000,1098900000,1169300000,1273000000,1863000000,2017000000,1908000000,1966000000,2058000000,2227800000,2322900000,2606100000,2774500000,2562400000,2851800000,2957400000,2077300000,2707400000,2566400000,2509300000,2515900000,2953900000,3144800000
18,Operating Income ratio,0.0913,0.0597,0.0793,0.0900,0.0928,0.0970,0.1000,0.1156,0.1161,0.1128,0.1173,0.1371,0.1588,0.1531,0.1575,0.1629,0.1640,0.1652,0.1601,0.1773,0.1822,0.1697,0.1689,0.1654,0.1632,0.1581,0.1761,0.1865,0.1538,0.1604,0.1651,0.1178,0.1635,0.1643,0.1594,0.1492,0.1676,0.1735
19,Total Other Income Expenses (Gains),-19000000,-60000000,-39900000,-34000000,-37500000,-27000000,-32100000,-60700000,-58200000,-73600000,-246400000,-269000000,-101000000,-148900000,-286500000,-170700000,-151900000,-171300000,-606000000,-547000000,-508000000,-93000000,-399000000,-427000000,-421800000,-390000000,-401100000,-346500000,-351400000,-316800000,-302400000,-315400000,-303800000,-295100000,-373700000,-433900000,-353700000,-287400000
20,Income Before Tax,357000000,196000000,324000000,433200000,443000000,518000000,613000000,766000000,844500000,844000000,753000000,420000000,759000000,710000000,663700000,847000000,947000000,998000000,667000000,1316000000,1509000000,1815000000,1567000000,1631000000,1806000000,1932900000,2205000000,2428000000,2211000000,2535000000,2655000000,1761900000,2403600000,2271300000,2135600000,2082000000,2600200000,2857400000
21,Income Before Tax Ratio,0.0867,0.0457,0.0706,0.0835,0.0855,0.0922,0.0951,0.1071,0.1086,0.1037,0.0884,0.0835,0.1401,0.1266,0.1100,0.1356,0.1413,0.1410,0.0839,0.1253,0.1363,0.1614,0.1346,0.1311,0.1323,0.1316,0.1490,0.1632,0.1327,0.1426,0.1482,0.0999,0.1451,0.1454,0.1357,0.1234,0.1475,0.1576
22,Income Tax expense (Gain),154000000,81000000,140000000,211200000,177000000,202000000,239000000,301000000,338900000,338000000,284000000,153000000,279000000,258000000,241900000,304000000,336000000,350000000,239000000,460000000,528000000,664000000,541000000,560000000,622000000,720400000,771200000,721100000,709600000,741200000,883300000,586800000,755200000,655200000,57300000,367800000,480500000,629100000
23,Net Income,233000000,-73000000,184000000,222000000,283000000,262000000,381000000,473000000,495600000,506000000,470000000,367000000,476000000,445000000,421800000,535000000,614000000,665000000,458000000,917000000,1055000000,1240000000,1090000000,1144000000,1295000000,1304400000,1531000000,1798000000,1567000000,1855000000,1824000000,1221300000,1697400000,1657500000,2131000000,1752700000,2181200000,2339800000
24,Net Income ratio,0.0566,-0.0170,0.0401,0.0428,0.0546,0.0466,0.0591,0.0661,0.0637,0.0622,0.0552,0.0730,0.0879,0.0793,0.0699,0.0857,0.0916,0.0940,0.0576,0.0873,0.0953,0.1103,0.0936,0.0919,0.0949,0.0888,0.1035,0.1208,0.0941,0.1044,0.1018,0.0693,0.1025,0.1061,0.1354,0.1039,0.1237,0.1291
25,EPS,0.31,-0.10,0.26,0.32,0.42,0.74,0.58,0.72,0.75,0.78,0.74,0.58,0.75,0.70,0.67,0.88,1.02,1.17,0.69,1.25,1.41,1.67,1.52,1.65,1.93,1.97,2.32,2.80,2.42,2.86,2.90,2.02,2.83,2.82,3.69,2.92,3.59,3.81
26,EPS Diluted,0.31,-0.10,0.26,0.32,0.42,0.74,0.58,0.72,0.75,0.78,0.74,0.58,0.73,0.69,0.65,0.85,1.00,1.14,0.67,1.22,1.38,1.54,1.45,1.59,1.85,1.90,2.24,2.70,2.35,2.79,2.83,1.97,2.77,2.77,3.64,2.90,3.56,3.78
27,Weighted Average Shares Outstanding,750000000,715000000,705769231,704761905,674047619,650067114,651965812,656527778,660800000,653032258,635000000,628034188,635200000,631773050,632400000,610857143,598200000,567800000,662000000,738000000,750000000,742000000,716000000,694000000,666000000,663800000,659600000,642500000,648100000,648600000,628600000,599900000,598400000,587100000,576800000,600400000,608100000,614100000
28,Weighted Average Shares Outstanding Diluted,750000000,715000000,705769231,704761905,674047619,650067114,651965812,656527778,660800000,653032258,635000000,628034188,648163265,645507246,649200000,628823529,614600000,584000000,684000000,756000000,768000000,818000000,758000000,720000000,693800000,687000000,683300000,664400000,666700000,665600000,645700000,614900000,611200000,598000000,585700000,605400000,613300000,619100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40704/000004070494000020/0000040704-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/40704/000004070495000016/0000040704-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/40704/000091205796018678/0000912057-96-018678-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40704/000089710100000853/0000897101-00-000853-index.html,- -,https://www.sec.gov/Archives/edgar/data/40704/000089710102000567/0000897101-02-000567-index.html,https://www.sec.gov/Archives/edgar/data/40704/000089710103000909/0000897101-03-000909-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710104001455/0000897101-04-001455-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710105001694/0000897101-05-001694-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710106001513/0000897101-06-001513-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710107001522/0000897101-07-001522-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095013708009268/0000950137-08-009268-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012309021887/0000950123-09-021887-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012310064517/0000950123-10-064517-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012311064606/0000950123-11-064606-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312512293636/0001193125-12-293636-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312513282371/0001193125-13-282371-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312514260716/0001193125-14-260716-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312515245476/0001193125-15-245476-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312516638404/0001193125-16-638404-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312517217396/0001193125-17-217396-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312518209377/0001193125-18-209377-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/0001193125-19-184675-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312520186469/0001193125-20-186469-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312521204830/0001193125-21-204830-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,66000000,67000000,190000000,179700000,15000000,11000000,1000000,40000000,500000,100000000,- -,13000000,21000000,13000000,6400000,4000000,26000000,64000000,975000000,703000000,751000000,573000000,647000000,417000000,661000000,749800000,673000000,620000000,471000000,741000000,867000000,334200000,763700000,766100000,399000000,450000000,1677800000,1505200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000000
33,Cash and Short-Term Investments,66000000,67000000,190000000,179700000,15000000,11000000,71000000,40000000,500000,100000000,- -,13000000,21000000,13000000,6400000,4000000,26000000,64000000,975000000,703000000,751000000,573000000,647000000,417000000,674000000,749800000,678000000,620000000,471000000,741000000,867000000,334200000,763700000,766100000,399000000,450000000,1677800000,1865200000
34,Net Receivables,551000000,285000000,220000000,236700000,230000000,255000000,259000000,306000000,291900000,287000000,310000000,277000000,338000000,419000000,395100000,491000000,501000000,664000000,1010000000,980000000,1010000000,1034000000,1076000000,953000000,1291000000,953400000,1208000000,1296000000,1442000000,1640000000,1638000000,1616400000,1520100000,1593800000,1858600000,1929900000,1770900000,1815100000
35,Inventory,662000000,378000000,351000000,388600000,424000000,370000000,394000000,494000000,487200000,439000000,488000000,372000000,396000000,364000000,389700000,427000000,511000000,519000000,1055000000,1082000000,1063000000,1037000000,1055000000,1174000000,1367000000,1346800000,1344000000,1609000000,1479000000,1546000000,1559000000,1540900000,1413700000,1483600000,1642200000,1559300000,1426300000,1820500000
36,Other Current Assets,111000000,557000000,51000000,60900000,317000000,205000000,186000000,242000000,255000000,251000000,331000000,235000000,240000000,215000000,244100000,181000000,152000000,161000000,397000000,414000000,391000000,411000000,398000000,510000000,288000000,484900000,250000000,377000000,299000000,372000000,330000000,294200000,239700000,217900000,223900000,247300000,246300000,253700000
37,Total Current Assets,1390000000,1287000000,812000000,865900000,986000000,841000000,910000000,1082000000,1034600000,1077000000,1129000000,897000000,995000000,1011000000,1035300000,1103000000,1190000000,1408000000,3437000000,3179000000,3215000000,3055000000,3176000000,3054000000,3620000000,3534900000,3480000000,3902000000,3691000000,4299000000,4394000000,3785700000,3937200000,4061400000,4123700000,4186500000,5121300000,5754500000
38,PP&E,1229000000,956000000,1085000000,1249500000,1376000000,1588000000,1935000000,2241000000,2648600000,2860000000,3093000000,1457000000,1312000000,1279000000,1186300000,1295000000,1405000000,1501000000,2764000000,2980000000,3111000000,3007000000,2997000000,3014000000,3108000000,3034900000,3128000000,3346000000,3653000000,3878000000,3942000000,3783300000,3743600000,3687700000,4047200000,3787200000,3945800000,3985400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804000000,8473000000,6650000000,6684000000,6684000000,6652000000,6835000000,6786000000,6663000000,6593000000,6751000000,8183000000,8622000000,8651000000,8874900000,8741200000,8747200000,14065000000,13995800000,13923200000,14062400000
40,Intangible Assets,- -,- -,- -,56400000,- -,- -,- -,- -,- -,- -,- -,120000000,110000000,655000000,- -,722000000,870000000,66000000,90000000,3622000000,3641000000,3636000000,3607000000,3694000000,3777000000,3747000000,3715000000,3813000000,4705000000,5015000000,5014000000,4677000000,4538600000,4530400000,7445100000,7166800000,7095800000,7150600000
41,Intangible Assets,- -,- -,- -,56400000,- -,- -,- -,- -,- -,- -,- -,120000000,110000000,655000000,- -,722000000,870000000,870000000,8563000000,10272000000,10325000000,10320000000,10259000000,10529000000,10563000000,10410000000,10308000000,10564000000,12888000000,13637000000,13665000000,13551900000,13279800000,13277600000,21510100000,21162600000,21019000000,21213000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,429000000,385000000,380000000,- -,325000000,344000000,401000000,480000000,522000000,452000000,255000000,- -,318000000,278600000,- -,398100000,519000000,627900000,567300000,575700000,561300000,531600000,505300000,499600000,452900000,566700000,566400000
43,Tax Assets,- -,- -,- -,- -,- -,399000000,428000000,455000000,- -,458000000,487000000,418000000,408000000,416000000,- -,400000000,387000000,423000000,407000000,1661000000,1773000000,1851000000,1822000000,1433000000,1455000000,- -,875000000,1127000000,1171000000,1389000000,1666000000,- -,1399600000,1719400000,2003800000,2031000000,- -,- -
44,Other Non-Current Assets,239000000,420000000,189000000,108600000,310000000,60000000,17000000,124000000,621800000,256000000,489000000,37000000,85000000,161000000,1639800000,296000000,378000000,488000000,889000000,-387000000,-428000000,-422000000,-47000000,-164000000,17400000,895000000,-510100000,-783000000,-933900000,-1112300000,-1096700000,282300000,-1179500000,-1438800000,-1560400000,-1509000000,153900000,322600000
45,Total Non-Current Assets,1468000000,1376000000,1274000000,1414500000,1686000000,2047000000,2380000000,2820000000,3270400000,3574000000,4069000000,2461000000,2300000000,2891000000,2826100000,3038000000,3384000000,3683000000,13103000000,15048000000,15233000000,15011000000,15031000000,15130000000,15422000000,14339900000,14199000000,14773000000,17406000000,18359000000,18752000000,18178800000,17775100000,17751200000,26500300000,25924700000,25685400000,26087400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2858000000,2663000000,2086000000,2280400000,2672000000,2888000000,3290000000,3902000000,4305000000,4651000000,5198000000,3358000000,3295000000,3902000000,3861400000,4141000000,4574000000,5091000000,16540000000,18227000000,18448000000,18066000000,18207000000,18184000000,19042000000,17874800000,17679000000,18675000000,21097000000,22658000000,23146000000,21964500000,21712300000,21812600000,30624000000,30111200000,30806700000,31841900000
48,Accounts Payable,478000000,361000000,382000000,- -,461000000,437000000,518000000,579000000,632500000,617000000,650000000,494000000,591000000,600000000,593100000,647000000,642000000,619000000,1217000000,1303000000,1145000000,1136000000,1151000000,778000000,937000000,803400000,850000000,995000000,1149000000,1423000000,1611000000,1684000000,2046500000,2119800000,2746200000,2854100000,3247700000,3653500000
49,Short-Term Debt,251000000,380000000,5000000,94400000,370000000,127000000,103000000,23000000,201900000,340000000,433000000,113000000,142000000,204000000,417300000,524000000,1086000000,858000000,3600000000,1341000000,816000000,1937000000,3634000000,2988000000,2650800000,1320700000,1157400000,1342600000,1267700000,2043000000,2362300000,1616200000,1373200000,1838800000,3149900000,2865200000,2712500000,2936300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861000000,66900000,- -,440200000,- -,39200000,88000000,63100000,20700000,110500000,58000000,94800000,37500000,80300000,37400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000000,169000000,208000000,182000000,67000000,28000000,- -,42000000,36400000,4600000,128000000,74000000,- -,1399000000,1719000000,- -,2031000000,- -,- -
52,Other Current Liabilities,416000000,316000000,386000000,828600000,360000000,474000000,552000000,670000000,537300000,602000000,749000000,614000000,459000000,489000000,433300000,529000000,801000000,732000000,930000000,570000000,627000000,903000000,1171000000,2012000000,1240200000,1481900000,1719600000,1285000000,1421700000,1700000000,1376700000,1589900000,196000000,-346800000,1445800000,-663200000,1531300000,1676000000
53,Total Current Liabilities,1145000000,1057000000,773000000,923000000,1191000000,1038000000,1173000000,1272000000,1371700000,1559000000,1832000000,1221000000,1192000000,1293000000,1443700000,1700000000,2529000000,2209000000,5747000000,3444000000,2757000000,4184000000,6138000000,5845000000,4856000000,3606000000,3769000000,3659000000,3843000000,5294000000,5424000000,4890100000,5014700000,5330800000,7341900000,7087100000,7491500000,8265800000
54,Long-Term Debt,363000000,450000000,458000000,285500000,362000000,536000000,689000000,879000000,920500000,1268000000,1417000000,1401000000,1221000000,1530000000,1640400000,1702000000,1760000000,2221000000,5591000000,7516000000,7410000000,4255000000,2415000000,3218000000,4349000000,5754800000,5269000000,5543000000,6162000000,5926000000,6424000000,7607700000,7057700000,7642900000,12668700000,11624800000,10929000000,10070100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,282600000,- -,- -,- -,- -,434500000,- -,- -,- -,- -,- -,413900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165300000,874600000,1127400000,1171400000,1389100000,1666000000,1550300000,1399600000,1719400000,2003800000,2031000000,1947100000,2118400000
57,Other Non-Current Liabilities,126000000,132000000,173000000,58900000,470000000,582000000,618000000,637000000,207400000,605000000,798000000,595000000,574000000,585000000,173200000,575000000,574000000,609000000,1626000000,3092000000,3033000000,3951000000,3882000000,3802000000,3621000000,1931700000,2363400000,1979600000,3498600000,3376900000,3097000000,2523700000,3310100000,2791600000,2468500000,2313800000,2089600000,1614400000
58,Total Non-Current Liabilities,489000000,582000000,631000000,627000000,832000000,1118000000,1307000000,1516000000,1562400000,1873000000,2215000000,1996000000,1795000000,2115000000,2227500000,2277000000,2334000000,2830000000,7217000000,10608000000,10443000000,8206000000,6297000000,7020000000,7970000000,8851800000,8507000000,8650000000,10832000000,10692000000,11187000000,11681700000,11767400000,12153900000,17141000000,15969600000,14965700000,13802900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379000000,394400000
61,Total Liabilities,1634000000,1639000000,1404000000,1550000000,2023000000,2156000000,2480000000,2788000000,2934100000,3432000000,4047000000,3217000000,2987000000,3408000000,3671200000,3977000000,4863000000,5039000000,12964000000,14052000000,13200000000,12390000000,12435000000,12865000000,12826000000,12457800000,12276000000,12309000000,14675000000,15986000000,16611000000,16571800000,16782100000,17484700000,24482900000,23056700000,22457200000,22068700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,215000000,214000000,216000000,- -,223000000,222000000,297000000,320000000,- -,359000000,251000000,380000000,384000000,578000000,- -,658000000,681000000,745000000,5733000000,5684000000,5680000000,5741000000,50000000,50000000,38000000,37700000,76000000,76000000,76000000,76000000,76000000,75500000,75500000,75500000,75500000,75500000,75500000,75500000
64,Retained Earnings,1375000000,1202000000,813000000,924100000,1068000000,1328000000,1531000000,1796000000,2049000000,2285000000,2458000000,1233000000,1409000000,1535000000,1622800000,1827000000,2114000000,2468000000,2568000000,3079000000,3722000000,4501000000,5107000000,5745000000,6511000000,7235600000,8122000000,9191000000,9959000000,10703000000,11787000000,11990800000,12616500000,13138900000,14459600000,14996700000,15982100000,17069800000
65,Other Comprehensive Income/Loss,-148000000,-116000000,-64000000,-689600000,-70000000,-72000000,-410000000,-450000000,-1206700000,-456000000,-446000000,-200000000,-236000000,-234000000,-1302700000,-252000000,-296000000,-292000000,-866000000,-385000000,-233000000,-106000000,41000000,-120000000,176700000,-875400000,-1486900000,-1010800000,-1743700000,-1585300000,-1340300000,-2310700000,-2612200000,-2244500000,-2429000000,-2625400000,-2914400000,-2429200000
66,Other Total Stockholders Equity,- -,- -,- -,495900000,- -,- -,- -,- -,528600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4203000000,-3921000000,-4460000000,574000000,-356000000,-509900000,-1223200000,-1308200000,-1890700000,-1869600000,-2521500000,-3987900000,-4758900000,-5149600000,-6642000000,-5965000000,-5392300000,-5084700000,-5245700000
67,Total Stockholders Equity,1225000000,1023000000,683000000,730400000,649000000,732000000,810000000,1114000000,1370900000,1219000000,1151000000,141000000,308000000,495000000,190200000,164000000,-289000000,52000000,3576000000,4175000000,5248000000,5676000000,5772000000,5319000000,6215800000,5174700000,5402900000,6365500000,6421700000,6672200000,6534800000,4996700000,4930200000,4327900000,6141100000,7054500000,8058500000,9470400000
68,Total Liabilities And Stockholders Equity,2859000000,2662000000,2087000000,2280400000,2672000000,2888000000,3290000000,3902000000,4305000000,4651000000,5198000000,3358000000,3295000000,3903000000,3861400000,4141000000,4574000000,5091000000,16540000000,18227000000,18448000000,18066000000,18207000000,18184000000,19041800000,17632500000,17678900000,18674500000,21096700000,22658200000,23145800000,21568500000,21712300000,21812600000,30624000000,30111200000,30515700000,31539100000
69,Minority Interest,-1000000,1000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,242300000,100000,500000,300000,-200000,200000,396000000,- -,- -,- -,- -,291000000,302800000
70,Total Liabilities & Equity,2858000000,2663000000,2086000000,2280400000,2672000000,2888000000,3290000000,3902000000,4305000000,4651000000,5198000000,3358000000,3295000000,3902000000,3861400000,4141000000,4574000000,5091000000,16540000000,18227000000,18448000000,18066000000,18207000000,18184000000,19042000000,17874800000,17679000000,18675000000,21097000000,22658000000,23146000000,21964500000,21712300000,21812600000,30624000000,30111200000,30806700000,31841900000
