,https://roic.ai/company/EXAS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-6.08,-5.32,-8.13,-1.42,-1.62,-1.50,-0.73,-0.55,-0.49,-0.44,-0.36,-0.28,-0.29,-0.54,-0.88,-0.69,-1.25,-1.71,-1.63,-0.99,-1.43,-0.64,-5.61,-3.48
26,EPS Diluted,-6.08,-5.32,-8.13,-1.42,-1.62,-1.50,-0.73,-0.55,-0.49,-0.44,-0.36,-0.28,-0.29,-0.54,-0.88,-0.69,-1.25,-1.71,-1.63,-0.99,-1.43,-0.64,-5.61,-3.48
27,Weighted Average Shares Outstanding,588143,932593,1461726,16487499,18433000,18911000,25334000,26270000,26509000,26945000,27212000,32791000,40455000,52512000,59481000,67493000,80232000,92135000,102335000,115684000,122207000,131257000,151137000,171348000
28,Weighted Average Shares Outstanding Diluted,588143,932593,1461726,16487499,18433000,18911000,25334000,26270000,26509000,26945000,27212000,32791000,40455000,52512000,59481000,67493000,80232000,92135000,102335000,115684000,122207000,131257000,151137000,171348000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124140/000091205702011660/0000912057-02-011660-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746903010717/0001047469-03-010717-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000091205704000055/0000912057-04-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746905006361/0001047469-05-006361-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000110465906016903/0001104659-06-016903-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000110465907019583/0001104659-07-019583-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746908002938/0001047469-08-002938-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746909003489/0001047469-09-003489-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746910002147/0001047469-10-002147-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746911002045/0001047469-11-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746912002372/0001047469-12-002372-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746913002072/0001047469-13-002072-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746914001578/0001047469-14-001578-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837015000227/0001558370-15-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837016003446/0001558370-16-003446-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837017000714/0001558370-17-000714-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837018000941/0001558370-18-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837019000854/0001558370-19-000854-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414020000010/0001124140-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414021000029/0001124140-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414022000022/0001124140-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8826000,3553257,26469866,56842722,17439000,14200000,13092000,13007000,4831000,4486000,4937000,21924000,78752000,35781000,13345000,12851000,58131000,41135000,48921000,77491000,160430000,177254000,1491288000,315471000
32,Short-Term Investments,- -,- -,- -,- -,26407000,13607000,37188000,21112000,16244000,8101000,- -,2404000,16663000,57580000,94776000,120408000,224625000,265744000,262179000,347224000,963752000,146401000,348699000,715005000
33,Cash and Short-Term Investments,8826000,3553257,26469866,56842722,43846000,27807000,50280000,34119000,21075000,12587000,4937000,24328000,95415000,93361000,108121000,133259000,282756000,306879000,311100000,424715000,1124182000,323655000,1839987000,1030476000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1376000,4933000,8526000,26419000,44239000,130667000,233185000,216645000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4017000,6677000,6833000,26027000,39148000,61724000,92265000,104994000
36,Other Current Assets,- -,26843,738475,721179,1110000,1283000,1835000,1158000,386000,275000,190000,984000,246000,1034000,593000,2199000,3528000,7641000,7114000,10055000,20498000,40913000,33157000,74122000
37,Total Current Assets,- -,3580100,27208341,57563901,44956000,29090000,52115000,35277000,21461000,12862000,5127000,25312000,95661000,94395000,108714000,135458000,291677000,326130000,333573000,487216000,1228067000,556959000,2198594000,1426237000
38,PP&E,- -,426455,863532,2584115,2256000,2919000,1954000,1149000,844000,601000,76000,458000,854000,2558000,3405000,11169000,19947000,34096000,38142000,79986000,245259000,581769000,576630000,754473000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17279000,1203197000,1237672000,2335172000
40,Intangible Assets,- -,- -,986629,2952221,2874000,2672000,2042000,1419000,763000,432000,95000,- -,- -,- -,- -,- -,- -,- -,- -,22160000,29002000,1143550000,848426000,2094411000
41,Intangible Assets,- -,747348,986629,2952221,2874000,2672000,2042000,1419000,763000,432000,95000,- -,- -,- -,- -,- -,- -,- -,- -,22160000,46281000,2346747000,2086098000,4429583000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,800000,700000,600000,- -,- -,- -,- -,- -,- -,4070000,5325000,9198000,4415000,20293000,63770000,74591000
45,Total Non-Current Assets,- -,1173803,1850161,5536336,5130000,5591000,3996000,2568000,2407000,1733000,771000,458000,854000,2558000,3405000,11169000,19947000,38166000,43467000,111344000,295955000,2948809000,2726498000,5258647000
46,Other Assets,9708000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9708000,4753903,29058502,63100237,50086000,34681000,56111000,37845000,23868000,14595000,5898000,25770000,96515000,96953000,112119000,146627000,311624000,364296000,377040000,598560000,1524022000,3505768000,4925092000,6684884000
48,Accounts Payable,- -,196895,582298,1176440,1157000,657000,365000,468000,158000,245000,683000,155000,1028000,765000,3652000,761000,2647000,3308000,710000,16135000,28141000,25973000,35709000,67829000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333000,351000,360000,166000,174000,182000,8000,8725000,268266000,19710000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000,309000,127000,527000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,4514000,4459000,- -,- -,- -,- -,- -,4143000,4143000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,146993,776396,2956992,4087000,1553000,2034000,5848000,6207000,4161000,4348000,6371000,1987000,3069000,7470000,6640000,14514000,23249000,29808000,51807000,108441000,201796000,271869000,429529000
53,Total Current Liabilities,- -,343888,1358694,4133432,5244000,6724000,6858000,6316000,6365000,4406000,5031000,6526000,7158000,7977000,11455000,7752000,17521000,26723000,30692000,68124000,136590000,236494000,575844000,517068000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,4852000,4633000,4269000,688822000,827637000,1464177000,2362398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8582000,4439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,6493000,15729000,11270000,6908000,2545000,3901000,3300000,12150000,21000,42000,1069000,2559000,4119000,5865000,6420000,5749000,17669000,153576000,61582000,417782000
58,Total Non-Current Liabilities,- -,- -,- -,- -,6493000,15729000,11270000,6908000,2545000,3901000,3300000,13150000,9603000,5481000,2069000,3559000,5119000,10717000,11053000,10018000,706491000,981213000,1525759000,2780180000
59,Other Liabilities,410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1044000,711000,360000,- -,- -,- -,- -,126556000,132558000,201876000
61,Total Liabilities,410000,343888,1358694,4133432,11737000,22453000,18128000,13224000,8910000,8307000,8331000,19676000,16761000,13458000,13524000,11311000,22640000,37440000,41745000,78142000,843081000,1217707000,2101603000,3297248000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,15828,27896,187908,191000,193000,263000,264000,269000,273000,275000,355000,522000,566000,639000,711000,887000,968000,1102000,1205000,1232000,1477000,1595000,1738000
64,Retained Earnings,- -,-11215561,-23098680,-46584105,-76467000,-104807000,-123330000,-137850000,-150765000,-162724000,-172465000,-181593000,-193149000,-221824000,-274245000,-320759000,-420807000,-578610000,-745821000,-860614000,-1035763000,-1119756000,-1968289000,-2641520000
65,Other Comprehensive Income/Loss,- -,-663397,-988967,-1883783,-2619000,-1371000,-209000,-45000,6000,23000,- -,-1000,1000,-14000,78000,125000,-115000,-433000,-418000,-750000,-1422000,-100000,526000,-1443000
66,Other Total Stockholders Equity,9298000,16273145,51759559,107246785,117244000,118213000,161259000,162252000,165448000,168716000,169757000,187333000,272380000,304767000,372123000,455239000,709019000,904931000,1080432000,1380577000,1716894000,3406440000,4789657000,6028861000
67,Total Stockholders Equity,9298000,4410015,27699808,58966805,38349000,12228000,37983000,24621000,14958000,6288000,-2433000,6094000,79754000,83495000,98595000,135316000,288984000,326856000,335295000,520418000,680941000,2288061000,2823489000,3387636000
68,Total Liabilities And Stockholders Equity,9708000,4753903,29058502,63100237,50086000,34681000,56111000,37845000,23868000,14595000,5898000,25770000,96515000,96953000,112119000,146627000,311624000,364296000,377040000,598560000,1524022000,3505768000,4925092000,6684884000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9708000,4753903,29058502,63100237,50086000,34681000,56111000,37845000,23868000,14595000,5898000,25770000,96515000,96953000,112119000,146627000,311624000,364296000,377040000,598560000,1524022000,3505768000,4925092000,6684884000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124140/000091205702011660/0000912057-02-011660-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746903010717/0001047469-03-010717-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000091205704000055/0000912057-04-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746905006361/0001047469-05-006361-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000110465906016903/0001104659-06-016903-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000110465907019583/0001104659-07-019583-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746908002938/0001047469-08-002938-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746909003489/0001047469-09-003489-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746910002147/0001047469-10-002147-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746911002045/0001047469-11-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746912002372/0001047469-12-002372-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746913002072/0001047469-13-002072-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746914001578/0001047469-14-001578-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837015000227/0001558370-15-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837016003446/0001558370-16-003446-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837017000714/0001558370-17-000714-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837018000941/0001558370-18-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837019000854/0001558370-19-000854-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414020000010/0001124140-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414021000029/0001124140-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414022000022/0001124140-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-4963925,-11883119,-23485425,-29883000,-28340000,-18523000,-14520000,-12915000,-11959000,-9741000,-9128000,-11556000,-28675000,-52466000,-46514000,-100048000,-157803000,-167211000,-114397000,-175149000,-83993000,-848533000,-595625000
74,Depreciation and Amortization,- -,424285,404142,1068309,2158000,-62000,-2786000,-2926000,-3008000,-2244000,626000,175000,230000,411000,985000,1418000,3710000,7750000,11509000,15555000,23084000,50247000,163362000,180346000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,-115000,- -,-185109000,-9862000,-253169000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1010000,2631000,2249000,4255000,5493000,7744000,11520000,18050000,23732000,35512000,60264000,108483000,152906000,253063000
77,Change in Working Capital,- -,-81737,22613435,27580822,-13718469,-17346000,22891000,-16296000,-13865000,-6640000,-8360000,18690000,69717000,-2085000,10841000,30447000,146450000,25251000,3474000,116211000,672385000,-771012000,1302285000,111109000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1376000,-3557000,-3593000,-17529000,-17292000,-27938000,-100526000,25150000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4017000,-2660000,-156000,-19194000,-12729000,-19041000,-30310000,-9221000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000,-528000,873000,-263000,2887000,-2891000,1886000,661000,-2598000,15383000,11332000,- -,- -,- -
81,Other Working Capital,- -,3236212,25849647,53430469,39712000,22366000,45257000,28961000,15096000,8456000,96000,18786000,88503000,86418000,97259000,127706000,274156000,299407000,302881000,419092000,1091477000,320465000,1622750000,-57935000
82,Other Non-Cash Items,- -,13780,-19125874,-21000290,29526469,31878000,-22756000,17760000,17634000,12076000,8561000,-25008000,-74118000,-1730000,-9008000,-32390000,-142544000,-27265000,-2370000,-124490000,-649909000,766374000,-623676000,202040000
83,Cash Provided by Operating Activities,- -,-4607597,-7991416,-15836584,-11917000,-13870000,-21174000,-15982000,-12154000,-8767000,-7904000,-12640000,-13478000,-27824000,-44155000,-39295000,-80912000,-134017000,-130066000,-71724000,-69325000,-115010000,136482000,-102236000
84,CAPEX,- -,-292183,-762647,-2615399,-1335000,-11009000,-287000,-227000,-394000,-132000,-104000,-462000,-626000,-2115000,-681000,-9282000,-12537000,-21984000,-14851000,-69240000,-150671000,-171802000,-64352000,-135766000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5980000,-17908000,-973861000,-22605000,-517774000
86,Purchases of Investments,- -,- -,- -,- -,-26350000,-2560000,-74162000,-24276000,-31381000,-20686000,-3458000,-18879000,-24498000,-87017000,-96047000,-98510000,-209471000,-205054000,-189989000,-357051000,-1192506000,-634117000,-1089953000,-1164050000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,23751000,50467000,40422000,36300000,28846000,11536000,16474000,10241000,46085000,58411000,72289000,104172000,162283000,193321000,271466000,579171000,1660559000,886675000,794322000
88,Other Investing Activites,- -,-429385,-317853,-1950824,-417000,-710000,107000,-159000,- -,8000,174000,- -,- -,- -,- -,- -,- -,-1900000,- -,-20760000,-578000,-1852000,-411802000,-58817000
89,Cash Used for Investing Activites,- -,-721568,-1080500,-4566223,-28102000,9472000,-23875000,15760000,4525000,8036000,8248000,-2867000,-14883000,-43047000,-38317000,-35503000,-117836000,-64755000,-11519000,-160805000,-781914000,-121073000,-702037000,-1082085000
90,Debt Repayment,- -,-6405,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000,-333000,-351000,-404000,-166000,-174000,-4817000,-493356000,-150054000,-23749000
91,Common Stock Issued,- -,59017,31906809,50784016,371000,1101000,43571000,137000,253000,286000,- -,14062000,82327000,27215000,57755000,73296000,238580000,174140000,144242000,253388000,- -,- -,861701000,- -
92,Common Stock Repurchased,- -,- -,- -,-8353,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4072,81716,- -,248000,58000,370000,- -,220000,100000,107000,18432000,2862000,685000,2388000,1341000,5799000,8029000,5510000,7742000,938959000,746537000,1167974000,32221000
95,Cash Used/Provided by Financing Activities,- -,56684,31988525,50775663,615000,1159000,43941000,137000,473000,386000,107000,32494000,85189000,27900000,60036000,74304000,244028000,181765000,149586000,260956000,934142000,253181000,1879621000,8472000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,-215000,143000,36000,- -,- -,23000
97,Net Change In Cash,- -,-5272481,22916609,30372856,-39404000,-3239000,-1108000,-85000,-7156000,-345000,451000,16987000,56828000,-42971000,-22436000,-494000,45280000,-16996000,7786000,28570000,82939000,17098000,1314066000,-1175826000
98,Cash at the End of Period,- -,3553257,26469866,56842722,17439000,14200000,13092000,13007000,4831000,4486000,4937000,21924000,78752000,35781000,13345000,12851000,58131000,41135000,48921000,77491000,160430000,177528000,1491594000,315768000
99,Cash at the Beginning of Period,- -,8825738,3553257,26469866,56843000,17439000,14200000,13092000,11987000,4831000,4486000,4937000,21924000,78752000,35781000,13345000,12851000,58131000,41135000,48921000,77491000,160430000,177528000,1491594000
100,Free Cash Flow,- -,-4899780,-8754063,-18451983,-13252000,-24879000,-21461000,-16209000,-12548000,-8899000,-8008000,-13102000,-14104000,-29939000,-44836000,-48577000,-93449000,-156001000,-144917000,-140964000,-219996000,-286812000,72130000,-238002000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1124140/000091205702011660/0000912057-02-011660-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746903010717/0001047469-03-010717-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000091205704000055/0000912057-04-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746905006361/0001047469-05-006361-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000110465906016903/0001104659-06-016903-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000110465907019583/0001104659-07-019583-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746908002938/0001047469-08-002938-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746909003489/0001047469-09-003489-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746910002147/0001047469-10-002147-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746911002045/0001047469-11-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746912002372/0001047469-12-002372-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746913002072/0001047469-13-002072-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000104746914001578/0001047469-14-001578-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837015000227/0001558370-15-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837016003446/0001558370-16-003446-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837017000714/0001558370-17-000714-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837018000941/0001558370-18-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000155837019000854/0001558370-19-000854-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414020000010/0001124140-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414021000029/0001124140-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1124140/000112414022000022/0001124140-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
