,https://roic.ai/company/LEA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162500000,55400000,39700000,49900000,68400000,67500000,86700000,82500000,85700000,84100000,92000000,99600000,91800000
14,Depreciation and Amortization,42600000,58500000,94700000,145700000,184400000,219700000,340900000,392200000,392200000,301000000,321800000,355100000,393400000,392200000,296900000,299300000,263700000,235900000,246300000,239500000,285500000,310900000,347800000,378200000,427700000,484400000,509900000,539900000,573900000
15,EBITDA,55700000,173300000,249400000,399100000,534700000,429100000,772000000,864200000,487200000,471000000,856000000,905300000,-793800000,-260400000,628300000,-304800000,1245600000,754200000,895500000,934200000,978000000,1172200000,1465500000,1806000000,2024300000,2030200000,1501600000,891900000,1177300000
16,EBITDA ratio,0.0286,0.0551,0.0529,0.0639,0.0728,0.0474,0.0621,0.0614,0.0358,0.0327,0.0544,0.0534,-0.0465,-0.0146,0.0393,-0.0225,0.1279,0.0631,0.0633,0.0641,0.0602,0.0661,0.0805,0.0973,0.0989,0.0960,0.0758,0.0523,0.0611
17,Operating Income,79600000,169600000,244800000,375800000,481100000,475200000,708900000,835400000,430400000,743100000,772800000,768400000,105400000,281000000,573800000,230800000,-96300000,538400000,679600000,705200000,736600000,929200000,1186800000,1427200000,1608300000,1654100000,1070200000,454100000,675400000
18,Operating Income ratio,0.0408,0.0539,0.0519,0.0601,0.0655,0.0525,0.0570,0.0594,0.0316,0.0515,0.0491,0.0453,0.0062,0.0158,0.0359,0.0170,-0.0099,0.0450,0.0480,0.0484,0.0454,0.0524,0.0652,0.0769,0.0786,0.0782,0.0540,0.0266,0.0351
19,Total Other Income Expenses (Gains),-53500000,-54800000,-87500000,-122400000,-129800000,-265800000,-277800000,-363400000,-327500000,-262600000,-392300000,-204100000,-1234000000,-934400000,-250600000,-772200000,990100000,-89600000,-63900000,-56300000,-126500000,-141800000,-155300000,-88900000,-81600000,-115700000,-116600000,-154800000,-91900000
20,Income Before Tax,26100000,114800000,157300000,253400000,351300000,209400000,431100000,472000000,102900000,480500000,380500000,564300000,-1128600000,-653400000,323200000,-541400000,893800000,448800000,615700000,648900000,610100000,787400000,1031500000,1338300000,1526700000,1538400000,953600000,299300000,583500000
21,Income Before Tax Ratio,0.0134,0.0365,0.0334,0.0405,0.0478,0.0231,0.0347,0.0335,0.0076,0.0333,0.0242,0.0333,-0.0660,-0.0366,0.0202,-0.0399,0.0918,0.0375,0.0435,0.0445,0.0376,0.0444,0.0566,0.0721,0.0746,0.0727,0.0481,0.0176,0.0303
22,Income Tax expense (Gain),26900000,55000000,63100000,101500000,143100000,93900000,174000000,197300000,68700000,157000000,153700000,128000000,194300000,54900000,89900000,85800000,5000000,24600000,68800000,-638000000,192700000,121400000,285500000,370200000,197500000,311900000,146100000,93900000,137700000
23,Net Income,-13800000,59800000,91600000,151900000,207200000,115500000,257100000,274700000,26300000,13000000,380500000,422200000,-1381500000,-707500000,241500000,-689900000,814400000,438300000,540700000,1282800000,431400000,672400000,745500000,975100000,1313400000,1149800000,753600000,158500000,373900000
24,Net Income ratio,-0.0071,0.0190,0.0194,0.0243,0.0282,0.0127,0.0207,0.0195,0.0019,0.0009,0.0242,0.0249,-0.0808,-0.0397,0.0151,-0.0508,0.0836,0.0367,0.0382,0.0881,0.0266,0.0379,0.0409,0.0525,0.0642,0.0544,0.0380,0.0093,0.0194
25,EPS,-0.20,0.63,0.87,1.19,1.56,0.86,1.92,2.10,0.20,0.10,2.85,3.09,-10.29,-5.16,1.57,-4.46,5.70,4.30,5.21,13.37,5.34,8.62,10.01,14.04,19.64,18.27,12.47,2.64,0.01
26,EPS Diluted,-0.20,0.63,0.87,1.19,1.52,0.85,1.90,2.08,0.20,0.10,2.77,2.88,-10.29,-5.16,1.54,-4.46,5.69,4.05,5.08,12.85,4.99,8.23,9.59,13.33,18.59,17.22,12.47,2.62,0.01
27,Weighted Average Shares Outstanding,70769231,94920635,105287356,127647059,132396166,133526012,133906250,130498812,128292683,130000000,133274956,136634304,134321828,137245393,153821656,154484720,142976508,94814044,103750223,95942075,80751304,78021985,74464213,69431643,66873764,62939613,60435485,60051514,59906531
28,Weighted Average Shares Outstanding Diluted,70769231,94920635,105287356,127647059,136315789,135882353,135315789,131750600,131500000,136842105,137117117,146343154,134321828,137245393,156310680,154484720,143076394,108122150,106344367,99800000,86400000,81700000,77800000,73100000,69300000,66200000,61900000,60400000,59906531
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/842162/000095012495000955/0000950124-95-000955-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842162/000095012403000793/k74351e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012404000921/k82537e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012405001152/k91926e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012406001078/k02496e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012407001141/k12678e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095013708002415/k23879e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095013409005547/0000950134-09-005547-index.html,https://www.sec.gov/Archives/edgar/data/842162/000095012310017521/0000950123-10-017521-index.html,https://www.sec.gov/Archives/edgar/data/842162/000095012311011395/k50033e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000119312512067424/0001193125-12-067424-index.html,https://www.sec.gov/Archives/edgar/data/842162/000119312513050279/0001193125-13-050279-index.html,https://www.sec.gov/Archives/edgar/data/842162/000119312514043696/d642138d10k.htm,https://www.sec.gov/Archives/edgar/data/842162/000084216215000004/lea-2014123110xk.htm,https://www.sec.gov/Archives/edgar/data/842162/000084216216000019/0000842162-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216217000006/0000842162-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216218000007/0000842162-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216219000006/0000842162-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216220000006/0000842162-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216221000010/0000842162-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842162/000084216222000009/0000842162-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,32000000,34100000,26000000,12900000,30000000,106900000,98800000,87600000,91700000,169300000,584900000,207600000,502700000,601300000,1592100000,1554000000,1654100000,1754300000,1402200000,1137700000,1094100000,1196600000,1271600000,1500400000,1493200000,1487700000,1306700000,1318300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,32000000,34100000,26000000,12900000,30000000,106900000,98800000,87600000,91700000,169300000,584900000,207600000,502700000,601300000,1592100000,1554000000,1654100000,1754300000,1402200000,1137700000,1094100000,1196600000,1271600000,1500400000,1493200000,1487700000,1306700000,1318300000
34,Net Receivables,- -,579800000,831900000,909600000,1065800000,1373900000,1866100000,1639000000,1392800000,1508000000,2200300000,2584900000,2337600000,2006900000,2147600000,1210700000,1479900000,1758400000,1880100000,2040700000,2278300000,2471700000,2590000000,2746500000,3230800000,2880300000,2982600000,3269200000,3041500000
35,Inventory,- -,126600000,196200000,200000000,231400000,349600000,577300000,538800000,440300000,489700000,550200000,621200000,688200000,581500000,605500000,532200000,447400000,554200000,637800000,727100000,818700000,853700000,947600000,1020600000,1205700000,1196800000,1258200000,1401100000,1571900000
36,Other Current Assets,- -,79900000,145000000,211800000,304800000,444500000,603900000,551400000,446100000,418300000,455600000,581000000,613000000,799200000,363600000,339200000,305700000,418800000,489300000,703500000,687800000,960100000,552400000,610600000,676100000,710200000,678200000,799700000,833500000
37,Total Current Assets,- -,818300000,1207200000,1347400000,1614900000,2198000000,3154200000,2828000000,2366800000,2507700000,3375400000,4372000000,3846400000,3890300000,3718000000,3674200000,3787000000,4385500000,4761500000,4873500000,4922500000,5379600000,5286600000,5649300000,6613000000,6280500000,6406700000,6776700000,6765200000
38,PP&E,- -,354200000,642800000,866300000,939100000,1182300000,1970000000,1891300000,1715700000,1710600000,1817800000,2019800000,2019300000,1471700000,1392700000,1213500000,1050900000,994700000,1072000000,1403100000,1587200000,1624700000,1826500000,2019300000,2459400000,2598100000,2704200000,2736200000,2720100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1996700000,2054000000,1480600000,621400000,614600000,628600000,746500000,757200000,726200000,1053800000,1121300000,1401300000,1405300000,1614300000,1655800000,1657900000
40,Intangible Assets,- -,499500000,1098400000,1448200000,1692300000,2019800000,3210500000,3266600000,3139500000,2860400000,2940100000,3039400000,1939800000,- -,- -,- -,- -,- -,- -,- -,129700000,92500000,256200000,287100000,444100000,385700000,- -,- -,- -
41,Intangible Assets,- -,499500000,1098400000,1448200000,1692300000,2019800000,3210500000,3266600000,3139500000,2860400000,2940100000,3039400000,1939800000,1996700000,2054000000,1480600000,621400000,614600000,628600000,746500000,886900000,818700000,1310000000,1408400000,1845400000,1791000000,1614300000,1655800000,1657900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,43100000,112900000,154900000,212800000,277200000,382900000,389600000,357200000,404300000,437700000,513200000,482900000,491800000,635700000,504600000,614000000,626300000,548800000,1171000000,934300000,1327200000,982700000,823600000,1028100000,931100000,1955500000,2029900000,2209200000
45,Total Non-Current Assets,- -,896800000,1854100000,2469400000,2844200000,3479300000,5563400000,5547500000,5212400000,4975300000,5195600000,5572400000,4442000000,3960200000,4082400000,3198700000,2286300000,2235600000,2249400000,3320600000,3408400000,3770600000,4119200000,4251300000,5332900000,5320200000,6274000000,6421900000,6587200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1715100000,3061300000,3816800000,4459100000,5677300000,8717600000,8375500000,7579200000,7483000000,8571000000,9944400000,8288400000,7850500000,7800400000,6872900000,6073300000,6621100000,7010900000,8194100000,8330900000,9150200000,9405800000,9900600000,11945900000,11600700000,12680700000,13198600000,13352400000
48,Accounts Payable,- -,656700000,786600000,960500000,1186500000,1600800000,2245300000,2174000000,1982900000,1966400000,2444100000,2777600000,2993500000,2317400000,2263800000,1453900000,1547500000,1838400000,2014300000,2233000000,2438700000,2525300000,2504400000,2640500000,3167200000,2862800000,2821700000,3141600000,2952400000
49,Short-Term Debt,- -,86000000,97200000,18600000,47000000,99200000,167200000,228000000,192700000,41200000,21100000,668200000,32800000,64900000,110000000,2223800000,45200000,4100000,- -,- -,- -,243700000,23100000,44200000,9000000,22800000,147200000,130500000,126400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256600000,287700000,290700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,238500000,392200000,520200000,620500000,797500000,1074900000,969600000,1007200000,1037600000,1116900000,1202100000,1080400000,1505000000,1230100000,932100000,808100000,976000000,1049200000,983900000,1140400000,1188800000,1312100000,1497600000,1678100000,1615000000,1697300000,1804600000,1681100000
53,Total Current Liabilities,- -,981200000,1276000000,1499300000,1854000000,2497500000,3487400000,3371600000,3182800000,3045200000,3582100000,4647900000,4106700000,3887300000,3603900000,4609800000,2400800000,2818500000,3063500000,3216900000,3579100000,3957800000,3839600000,4182300000,4854300000,4500600000,4666200000,5076700000,4759900000
54,Long-Term Debt,- -,418700000,1038000000,1054800000,1063100000,1463400000,3324800000,2852100000,2293900000,2132800000,2057200000,1866900000,2243100000,2434500000,2344600000,1303000000,927100000,694900000,695400000,626300000,1057100000,1475000000,1931700000,1898000000,1951500000,1941000000,2293700000,2300300000,2595200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,25300000,37300000,49600000,61700000,39000000,16800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,76300000,130000000,194400000,273300000,377400000,423300000,551000000,543400000,642700000,674200000,699500000,827600000,926700000,761200000,761200000,563600000,538900000,690900000,738700000,545200000,688100000,616800000,627400000,847500000,798500000,1219700000,1206700000,1188900000
58,Total Non-Current Liabilities,- -,520300000,1205300000,1298800000,1398100000,1879800000,3764900000,3403100000,2837300000,2775500000,2731400000,2566400000,3070700000,3361200000,3105800000,2064200000,1490700000,1233800000,1386300000,1365000000,1602300000,2163100000,2548500000,2525400000,2799000000,2739500000,3513400000,3507000000,3784100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113900000,116300000,125600000
61,Total Liabilities,- -,1501500000,2481300000,2798100000,3252100000,4377300000,7252300000,6774700000,6020100000,5820700000,6313500000,7214300000,7177400000,7248500000,6709700000,6674000000,3891500000,4052300000,4449800000,4581900000,5181400000,6120900000,6388100000,6707700000,7653300000,7240100000,8179600000,8583700000,8544000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,700000,700000,700000,700000,700000,700000,700000,700000,800000,800000,400000,500000,1100000,1100000,900000,800000,800000,800000,700000,600000,600000,600000,600000
64,Retained Earnings,- -,-49400000,42200000,194100000,401300000,504700000,761800000,1036500000,1062800000,1075800000,1441800000,1810500000,361800000,-362500000,-116500000,-818200000,-3800000,434500000,922300000,2149000000,1920300000,2161700000,2827800000,3706900000,4171900000,4113600000,4715800000,4806800000,5072800000
65,Other Comprehensive Income/Loss,- -,-150300000,-217600000,-310400000,-441500000,-594000000,-683800000,-788300000,-939600000,-246400000,-101900000,58600000,-134600000,-164100000,27600000,-179300000,-1300000,-78000000,-332000000,-300800000,-166100000,-502000000,-730100000,-835600000,-513400000,-705800000,-772700000,-705100000,-770200000
66,Other Total Stockholders Equity,- -,413300000,755400000,1135000000,1247200000,1389300000,1386600000,1351900000,1435200000,832200000,916900000,860300000,883100000,1127900000,1178800000,1195600000,1685700000,2103200000,1845000000,1637800000,1290800000,1298300000,828900000,185100000,491300000,792300000,406000000,365000000,340200000
67,Total Stockholders Equity,- -,213600000,580000000,1018700000,1207000000,1300000000,1465300000,1600800000,1559100000,1662300000,2257500000,2730100000,1111000000,602000000,1090700000,198900000,2089100000,2460200000,2436400000,3487100000,3045900000,2958800000,2927400000,3057200000,4150500000,4200700000,4349700000,4467300000,4643400000
68,Total Liabilities And Stockholders Equity,- -,1715100000,3061300000,3816800000,4459100000,5677300000,8717600000,8375500000,7579200000,7483000000,8571000000,9944400000,8288400000,7850500000,7800400000,6872900000,5980600000,6512500000,6886200000,8069000000,8227300000,9079700000,9315500000,9764900000,11803800000,11440800000,12529300000,13051000000,13187400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92700000,108600000,124700000,125100000,103600000,70500000,90300000,135700000,142100000,159900000,151400000,147600000,165000000
70,Total Liabilities & Equity,- -,1715100000,3061300000,3816800000,4459100000,5677300000,8717600000,8375500000,7579200000,7483000000,8571000000,9944400000,8288400000,7850500000,7800400000,6872900000,6073300000,6621100000,7010900000,8194100000,8330900000,9150200000,9405800000,9900600000,11945900000,11600700000,12680700000,13198600000,13352400000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/842162/000095012495000955/0000950124-95-000955-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842162/000095012403000793/k74351e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012404000921/k82537e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012405001152/k91926e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012406001078/k02496e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095012407001141/k12678e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095013708002415/k23879e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000095013409005547/0000950134-09-005547-index.html,https://www.sec.gov/Archives/edgar/data/842162/000095012310017521/0000950123-10-017521-index.html,https://www.sec.gov/Archives/edgar/data/842162/000095012311011395/k50033e10vk.htm,https://www.sec.gov/Archives/edgar/data/842162/000119312512067424/0001193125-12-067424-index.html,https://www.sec.gov/Archives/edgar/data/842162/000119312513050279/0001193125-13-050279-index.html,https://www.sec.gov/Archives/edgar/data/842162/000119312514043696/d642138d10k.htm,https://www.sec.gov/Archives/edgar/data/842162/000084216215000004/lea-2014123110xk.htm,https://www.sec.gov/Archives/edgar/data/842162/000084216216000019/0000842162-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216217000006/0000842162-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216218000007/0000842162-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216219000006/0000842162-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216220000006/0000842162-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/842162/000084216221000010/0000842162-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842162/000084216222000009/0000842162-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13800000,59800000,91600000,151900000,207200000,115500000,257100000,274700000,26300000,13000000,380500000,422200000,-1381500000,-707500000,241500000,-689900000,814400000,438300000,540700000,1282800000,431400000,672400000,745500000,975100000,1313400000,1149800000,753600000,158500000,373900000
74,Depreciation and Amortization,42600000,58500000,94700000,145700000,184400000,219700000,340900000,392200000,392200000,301000000,321800000,355100000,393400000,392200000,296900000,299300000,263700000,235900000,246300000,239500000,285500000,310900000,347800000,378200000,427700000,484400000,509900000,539900000,573900000
75,Deferred Income Tax,- -,-300000,-1700000,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,44700000,-55000000,-43900000,30400000,29800000,-10900000,-55800000,-693700000,45400000,-58000000,48600000,103600000,-81300000,86700000,-38200000,-84700000,-55500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,22900000,34600000,39800000,59400000,70700000,65700000,68200000,70200000,41400000,23300000,40000000,60300000
77,Change in Working Capital,58400000,-162900000,94100000,-83100000,-87200000,-60400000,-33700000,-210400000,-272400000,278500000,330800000,-69200000,15600000,263300000,111100000,-1049700000,2321800000,180800000,131000000,-41400000,-313200000,78400000,25200000,20000000,291700000,21200000,-39400000,-40500000,-393200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000000,-291300000,-165800000,-111500000,-239600000,-358700000,-173400000,-176300000,-115200000,230800000,-116200000,-164700000,160900000
79,Inventory,2900000,-31500000,-27400000,30900000,-10300000,-59900000,-57200000,800000,76000000,-34200000,-27400000,-7000000,-76900000,29400000,-6900000,55600000,93200000,-106800000,-101000000,-60000000,-102000000,-91200000,4100000,-53500000,-76000000,-32500000,-69100000,-107700000,-213400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60500000,318400000,- -,174600000,189500000,231300000,76200000,157600000,195300000,-199300000,-5500000,214000000,-129600000
81,Other Working Capital,- -,-162900000,-68800000,-151900000,-239100000,-299500000,-333200000,-543600000,-816000000,-537500000,-206700000,-275900000,-260300000,3000000,114100000,-935600000,1386200000,1567000000,1698000000,1656600000,1343400000,1421800000,1447000000,1467000000,1758700000,1779900000,1740500000,1700000000,- -
82,Other Non-Cash Items,26100000,200600000,-144100000,249300000,145000000,10600000,-4000000,296600000,683700000,-47400000,-446800000,-32200000,1488600000,392300000,-138700000,1554100000,-3620200000,-245100000,-106500000,-97200000,311600000,-146600000,38300000,74200000,-238600000,-3700000,75100000,49900000,110700000
83,Cash Provided by Operating Activities,113300000,155700000,134600000,462600000,449400000,285400000,560300000,753100000,829800000,545100000,586300000,675900000,560800000,285300000,466900000,144200000,-175200000,621900000,790300000,729800000,820100000,927800000,1271100000,1619300000,1783100000,1779800000,1284300000,663100000,670100000
84,CAPEX,-45900000,-191100000,-993800000,-682800000,-520100000,-679600000,-2870000000,-322300000,-267000000,-272600000,-375600000,-429000000,-568400000,-347600000,-202200000,-167700000,-118800000,-193300000,-329500000,-458300000,-460600000,-424700000,-485800000,-528300000,-594500000,-677000000,-603900000,-452300000,-585100000
85,Acquisitions Net,-172100000,- -,- -,- -,- -,- -,- -,-11800000,- -,-15200000,-13700000,-103000000,-11800000,35400000,-134300000,24000000,29300000,6300000,1300000,-243900000,- -,-350000000,-499200000,-155900000,-292400000,- -,-321700000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3200000,-4500000,6200000,1100000,400000,1800000,331800000,109000000,65900000,28500000,42500000,59500000,48900000,- -,-3500000,-700000,-2700000,-5100000,25000000,14300000,56700000,-5900000,19700000,47100000,18300000,-16500000,3200000,-16500000,-61600000
89,Cash Used for Investing Activites,-214800000,-195600000,-987600000,-681700000,-519700000,-677800000,-2538200000,-225100000,-201100000,-259300000,-346800000,-472500000,-531300000,-312200000,-340000000,-144400000,-92200000,-192100000,-303200000,-687900000,-403900000,-780600000,-965300000,-637100000,-868600000,-693500000,-922400000,-468800000,-646700000
90,Debt Repayment,-103600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-557200000,-968300000,-5100000,-72100000,-72100000,-577100000,-14400000,-21900000,-996200000,-6300000,-341500000,-1681200000,-441800000
91,Common Stock Issued,- -,103700000,281500000,249500000,8400000,3400000,7700000,2100000,10100000,47400000,66400000,24400000,4700000,199400000,7600000,12600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-18200000,-15200000,-77900000,- -,- -,-1100000,-97700000,-25400000,- -,-4400000,- -,-50000000,- -,-279100000,-222800000,-1000100000,-411400000,-487400000,-658800000,-450500000,-704900000,-384700000,-70000000,-100300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68000000,-67200000,-16800000,- -,- -,-23800000,-16200000,-51100000,-54600000,-58400000,-65300000,-78500000,-88800000,-137700000,-186300000,-186300000,-67300000,-106700000
