,https://roic.ai/company/IDA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2753,0.3226,0.3236,0.2452,0.1704,0.2620,0.2567,0.0430,0.0927,0.1021,0.1104,0.1393,0.1832,0.1698,0.2012,0.1939,0.1918,-0.1647,0.2245,0.2341,0.1978,0.2221,0.2153,0.2255,0.2166,0.2216,0.2292,0.2261
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-40492000,-40658000,-44461000,-44822000,-57415000,-35437000,-50962000,-53000000,-75570000,-58603000,-45038000,-43162000,-54252000,-53321000,-75595000,-56846000,-56941000,283856000,-47555000,-37222000,-43170000,-41862000,-37259000,-42503000,-52013000,-40491000,-42853000,-46867000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,109173000,135333000,142710000,138746000,133806000,137021000,210701000,190000000,10525000,25459000,48213000,76581000,115452000,96003000,117614000,146737000,141729000,114729000,195047000,254520000,210526000,240235000,234517000,261848000,244909000,257835000,266668000,282784000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2008,0.2480,0.2467,0.1854,0.1193,0.2081,0.2067,0.0336,0.0113,0.0309,0.0571,0.0891,0.1246,0.1092,0.1225,0.1398,0.1368,0.1117,0.1805,0.2042,0.1641,0.1891,0.1858,0.1940,0.1787,0.1915,0.1974,0.1939
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,34243000,48412000,52092000,46472000,44630000,45672000,70818000,65000000,-51147000,-21119000,-24770000,12920000,15377000,13731000,19200000,22362000,-731000,-52133000,26113000,72226000,16772000,45760000,36429000,48660000,17386000,24507000,28700000,36912000
23,Net Income,84800000,78400000,48200000,49100000,84700000,69200000,57900000,60000000,84500000,74930000,86921000,90618000,92274000,89176000,91349000,139883000,125000000,61672000,46578000,72983000,63661000,107403000,82339000,98414000,124350000,142798000,166693000,168761000,182417000,193480000,194679000,198288000,212419000,226801000,232854000,237417000,245550000
24,Net Income ratio,0.1879,0.1917,0.1221,0.1191,0.1707,0.1488,0.1198,0.1205,0.1564,0.1378,0.1593,0.1567,0.1233,0.0795,0.1388,0.1372,0.0221,0.0664,0.0566,0.0864,0.0741,0.1159,0.0936,0.1025,0.1185,0.1378,0.1623,0.1562,0.1464,0.1509,0.1533,0.1571,0.1574,0.1655,0.1729,0.1758,0.1684
25,EPS,2.16,2.00,1.30,1.32,2.37,1.91,1.56,1.55,2.14,1.80,2.10,2.21,2.32,2.37,2.43,3.72,3.35,1.63,1.22,1.90,1.51,2.51,1.86,2.18,2.64,2.96,3.37,3.38,3.64,3.86,3.88,3.94,4.22,4.50,4.61,4.70,4.85
26,EPS Diluted,2.16,2.00,1.30,1.32,2.37,1.91,1.56,1.55,2.14,1.80,2.10,2.21,2.32,2.37,2.43,3.72,3.35,1.63,1.22,1.90,1.50,2.51,1.86,2.17,2.64,2.95,3.36,3.37,3.64,3.85,3.87,3.94,4.21,4.49,4.61,4.69,4.85
27,Weighted Average Shares Outstanding,33518519,33950000,33769231,33939394,33924051,33979058,33974359,35161290,36682243,37499000,37612000,37612000,37612000,37612000,37612000,37556000,37387000,37729000,38186000,38361000,42279000,42713000,44151000,45147000,47124000,48193000,49457000,49930000,50052000,50131000,50220000,50298000,50361000,50432000,50502000,50538000,50599000
28,Weighted Average Shares Outstanding Diluted,33518519,33950000,33769231,33939394,33924051,33979058,33974359,35161290,36682243,37499000,37612000,37612000,37612000,37612000,37612000,37556000,37387000,37729000,38186000,38361000,42440667,42874000,44291000,45332000,47182000,48340000,49558000,50010000,50126000,50199000,50292000,50373000,50424000,50510000,50537000,50572000,50645000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1057877/000105787701500004/0001057877-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787702000005/0001057877-02-000005-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787703000012/0001057877-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787704000036/0001057877-04-000036-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787705000043/0001057877-05-000043-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787706000035/a10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787707000038/a10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787708000038/b10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787709000032/0001057877-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787710000022/0001057877-10-000022-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787711000047/esa10k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787712000044/0001057877-12-000044-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787713000040/0001057877-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787714000036/ida12311310k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787715000043/ida12311410k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787716000209/0001057877-16-000209-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787717000035/0001057877-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787718000027/0001057877-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787719000024/0001057877-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787720000040/0001057877-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787721000036/0001057877-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787722000014/0001057877-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,7748000,8468000,7928000,6905000,22867000,111338000,106795000,67000000,42736000,75159000,23403000,52356000,9892000,7966000,8828000,52987000,228677000,27813000,26527000,78162000,56808000,114802000,61480000,76649000,267492000,217254000,275116000,215243000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7748000,8468000,7928000,6905000,22867000,111338000,106795000,67000000,42736000,75159000,23403000,52356000,9892000,7966000,8828000,52987000,228677000,27813000,26527000,78162000,56808000,114802000,61480000,76649000,267492000,217254000,300116000,215243000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,74349000,77537000,79356000,155343000,151096000,145742000,307428000,218000000,191920000,92814000,95311000,128885000,86328000,111054000,135493000,138181000,137032000,121355000,142920000,176810000,163238000,161010000,180356000,188954000,158328000,159115000,160112000,183426000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,35451000,39000000,36270000,36328000,37253000,38940000,34836000,35000000,29755000,27579000,34547000,44028000,54253000,60538000,66973000,73688000,73148000,94355000,51037000,53643000,55404000,56924000,57858000,55745000,54987000,56660000,64941000,77552000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,27072000,26556000,20562000,18545000,19007000,54388000,1714801000,333000000,136614000,38224000,68155000,72251000,116058000,87149000,54990000,45550000,21778000,67449000,146769000,167996000,166651000,129300000,140618000,122253000,116833000,132117000,117232000,119652000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,144620000,151561000,144116000,217121000,230223000,350408000,2163860000,653000000,401025000,233776000,221416000,297520000,266531000,266707000,266284000,310406000,460635000,310972000,367253000,476611000,442101000,462036000,440312000,443601000,597640000,565146000,642401000,595873000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1656643000,1672885000,1694631000,1716927000,1711509000,1745683000,1805036000,1886000000,1906498000,2088319000,2209462000,2314259000,2419080000,2616552000,2758165000,2917008000,3161382000,3406590000,3536031000,3665041000,3833477000,3992413000,4171999000,4283875000,4395735000,4531454000,4709510000,4901822000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24226000,22120000,20015000,17909000,15803000,13698000,11592000,9487000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,32605000,32440000,32260000,32055000,31830000,31585000,- -,- -,- -,- -,- -,3428000,30543000,29501000,26332000,24226000,22120000,20015000,17909000,15803000,13698000,11592000,9487000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,203000000,201000000,199000000,195298000,202944000,223991000,189020000,159072000,165424000,140743000,125164000,115698000,101178000,98218000,126948000,123824000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,357948000,384867000,424330000,439329000,478058000,509317000,670362000,1103000000,945115000,779631000,803294000,556919000,525976000,539548000,773064000,791789000,828974000,999041000,1209303000,1048036000,1262153000,1416530000,1542935000,1202231000,1288201000,1446383000,1616385000,1588996000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2047196000,2090192000,2151221000,2188311000,2221397000,2286585000,2475398000,2989000000,2851613000,2867950000,3012756000,3066606000,3178599000,3386601000,3756561000,3928321000,4215420000,4649637000,4952263000,4887952000,5274752000,5561278000,5849585000,5601804000,5785114000,6076055000,6452843000,6614642000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2191816000,2241753000,2295337000,2405432000,2451620000,2636993000,4639258000,3642000000,3252638000,3101726000,3234172000,3364126000,3445130000,3653308000,4022845000,4238727000,4676055000,4960609000,5319516000,5364563000,5716853000,6023314000,6289897000,6045405000,6382754000,6641201000,7095244000,7210515000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,32063000,40483000,36370000,111938000,101975000,145737000,272376000,248000000,130930000,60916000,79156000,83744000,86440000,85116000,96785000,83818000,103100000,100432000,90165000,91519000,97271000,95526000,106194000,90277000,110824000,110745000,120576000,145980000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108858000,160374000,399000000,265792000,161573000,114873000,76407000,224125000,197901000,237778000,63090000,189472000,155264000,140764000,55814000,32364000,21064000,22864000,- -,- -,100000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10184000,- -,505000,1005000,13302000,10367000,10762000,11348000,11075000,12009000,11501000,19508000,14229000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31214000,21438000,18414000,20037000,28452000,29341000,43472000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,99240000,122375000,104113000,146668000,102943000,91842000,1775893000,260000000,179911000,84834000,91429000,133434000,99769000,92298000,61105000,71321000,156487000,112551000,120374000,103039000,112146000,94502000,99219000,92058000,127731000,135662000,137654000,136172000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,131303000,162858000,140483000,258606000,204918000,346437000,2208643000,907000000,576633000,307323000,285458000,293585000,410334000,375315000,395668000,218229000,449059000,368247000,351303000,250372000,241781000,242306000,249715000,200749000,258592000,374859000,287571000,325624000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,693206000,672618000,738550000,703684000,815937000,821558000,864114000,843000000,898676000,945834000,979549000,1023580000,928648000,1156880000,1183451000,1409730000,1488287000,1387550000,1466632000,1615258000,1614438000,1725410000,1744614000,1746123000,1834788000,1736659000,2000414000,2000640000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,452519000,478901000,483173000,493932000,491592000,497901000,526514000,590000000,595496000,554715000,555774000,521855000,498512000,466182000,515719000,574450000,566473000,772047000,894616000,969593000,1065290000,1137375000,1244250000,660940000,699878000,746231000,800251000,842375000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112341000,114172000,327000000,253628000,377251000,405077000,499865000,483440000,447638000,625530000,634774000,636252000,771071000,843999000,674600000,837779000,856179000,893452000,1181479000,1213685000,1312899000,1440552000,1366642000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145725000,1151519000,1221723000,1197616000,1307529000,1431800000,1504800000,1760000000,1747800000,1877800000,1940400000,2045300000,1910600000,2070700000,2324700000,2618954000,2691012000,2930668000,3205247000,3259451000,3517507000,3718964000,3882316000,3588542000,3748351000,3795789000,4241217000,4209657000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2399982000,2415458000,2575028000,2525927000,2717866000,- -,- -,- -,- -,- -,3880828000,- -,3821213000,- -,4649440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1385560000,1426797000,1493788000,1586917000,1615255000,1778212000,3713381000,2667000000,2324418000,2185079000,2225886000,2338875000,2320947000,2445993000,2720408000,2837183000,3140071000,3298915000,3556550000,3509823000,3759288000,3961270000,4132031000,3789291000,4006943000,4170648000,4528788000,4535281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53393000,52366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,94031000,94031000,94031000,94031000,451564000,451343000,453102000,454000000,470361000,473904000,589440000,598706000,- -,- -,- -,- -,- -,- -,834922000,839750000,845402000,849112000,851833000,857207000,863593000,868307000,869235000,874896000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,220838000,229827000,242088000,259299000,278607000,300093000,370126000,424000000,415315000,397167000,424312000,437284000,493363000,537699000,581605000,649180000,733879000,840916000,940968000,1027461000,1132237000,1230105000,1323198000,1426528000,1531543000,1634525000,1734103000,1833580000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-775033000,-830615000,-886885000,-942400000,-1009387000,-1073722000,-1142572000,-1220000000,-7109000,-2630000,-888000,-3425000,-5737000,-6156000,-8707000,-8267000,-9568000,-11622000,-17116000,-16553000,-24158000,-21276000,-20882000,-30964000,-22844000,-36284000,-43358000,-40040000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266420000,1321713000,1352315000,1407585000,1115581000,1181067000,1245221000,1317000000,-3740000,-4160000,-4578000,-7314000,636820000,675616000,729832000,760364000,812105000,832778000,-21000,-8000,-280000,-57000,-243000,-1386000,-1932000,-1920000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,806256000,814956000,801549000,818515000,836365000,858781000,925877000,975000000,928220000,916647000,1008286000,1025251000,1124183000,1207315000,1302437000,1397335000,1532113000,1657654000,1758753000,1850650000,1953201000,2057884000,2153906000,2251385000,2370360000,2464628000,2559980000,2668436000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2191816000,2241753000,2295337000,2405432000,2451620000,2636993000,4639258000,3642000000,3252638000,3101726000,3234172000,3364126000,3445130000,3653308000,4022845000,4234518000,4672184000,4956569000,5315303000,5360473000,5712489000,6019154000,6285937000,6040676000,6377303000,6635276000,7088768000,7203717000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4209000,3871000,4040000,4213000,4090000,4364000,4160000,3960000,4729000,5451000,5925000,6476000,6798000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2191816000,2241753000,2295337000,2405432000,2451620000,2636993000,4639258000,3642000000,3252638000,3101726000,3234172000,3364126000,3445130000,3653308000,4022845000,4238727000,4676055000,4960609000,5319516000,5364563000,5716853000,6023314000,6289897000,6045405000,6382754000,6641201000,7095244000,7210515000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1057877/000105787701500004/0001057877-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787702000005/0001057877-02-000005-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787703000012/0001057877-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787704000036/0001057877-04-000036-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787705000043/0001057877-05-000043-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787706000035/a10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787707000038/a10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787708000038/b10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787709000032/0001057877-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787710000022/0001057877-10-000022-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787711000047/esa10k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787712000044/0001057877-12-000044-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787713000040/0001057877-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787714000036/ida12311310k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787715000043/ida12311410k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787716000209/0001057877-16-000209-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787717000035/0001057877-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787718000027/0001057877-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787719000024/0001057877-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787720000040/0001057877-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787721000036/0001057877-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787722000014/0001057877-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,74930000,86921000,90618000,92274000,89176000,91349000,139883000,125000000,61672000,46578000,72983000,63661000,107403000,82339000,98414000,124350000,142798000,166693000,168761000,182417000,193480000,194679000,198288000,212419000,226801000,232854000,237417000,245550000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118600000,121849000,119789000,128611000,133776000,137088000,142581000,147294000,165933000,169120000,173800000,175941000,179444000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,13866000,11539000,7201000,7065000,-10182000,-1820000,46718000,150000000,-110666000,-61985000,-33912000,-31769000,-17332000,11026000,4661000,19035000,41742000,-52913000,26293000,65568000,19163000,38645000,35732000,33245000,11292000,22389000,25175000,23901000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,6299000,-24614000,14930000,-45118000,66790000,-21334000,-48754000,-209217000,78392000,102061000,9505000,67977000,-147738000,35195000,-20776000,221561000,-80601000,-68851000,73225000,210289000,-25919000,19410000,-29133000,52255000,96196000,-148761000,164543000,-19513000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15749000,14243000,-2232000,-3919000,-29557000,20433000,4740000,-2671000,4005000,729000,-5996000,-374000,-6697000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,-7050000,3535000,4459000,-925000,-1687000,4104000,- -,3645000,2175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
