,https://roic.ai/company/CPB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,3962900000,4065400000,4405600000,5120200000,5583100000,5414700000,5355100000,5964600000,5622000000,6131000000,6361000000,6698000000,5448000000,5154000000,5002000000,5470000000,5149000000,5573000000,5994000000,6344000000,6192000000,6574000000,6900000000,6401000000,6328000000,6367000000,6495000000,6972000000,7070000000,7022000000,6859000000,4396000000,5601000000,7123000000,7440000000,7168000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,6000000,11000000,8000000,10000000,3000000,3000000,4000000,5000000,4000000,2000000,4000000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-105000000,-120000000,-159000000,-175000000,-173000000,-188000000,-207000000,-186000000,-186000000,-174000000,- -,-165000000,-163000000,-167000000,-110000000,112000000,122000000,114000000,135000000,122000000,108000000,115000000,112000000,201000000,356000000,345000000,210000000
14,Depreciation and Amortization,126800000,144600000,170900000,192300000,200900000,208600000,216200000,242200000,255000000,294000000,326000000,328000000,261000000,255000000,251000000,266000000,319000000,243000000,260000000,279000000,289000000,283000000,294000000,264000000,251000000,268000000,262000000,407000000,305000000,303000000,308000000,318000000,394000000,446000000,328000000,317000000
15,EBITDA,514000000,562500000,559500000,298800000,380300000,876000000,1015500000,513000000,1218000000,1231000000,1403000000,1276000000,1130000000,1179000000,1140000000,1046000000,931000000,950000000,1033000000,1309000000,1136000000,1300000000,1560000000,1237000000,1605000000,1561000000,1492000000,1275000000,1592000000,1376000000,1272000000,1723000000,867000000,1162000000,2475000000,1857000000
16,EBITDA ratio,0.1174,0.1253,0.1149,0.0527,0.0613,0.1412,0.1621,0.0779,0.1821,0.1691,0.1827,0.1602,0.1688,0.1835,0.1819,0.1570,0.1518,0.1423,0.1453,0.1734,0.1547,0.1652,0.1950,0.1631,0.2091,0.2022,0.1936,0.1583,0.1925,0.1703,0.1598,0.2952,0.1311,0.1433,0.2848,0.2191
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-28600000,-7100000,-74700000,-445400000,-443300000,-122000000,-108800000,-101800000,-105000000,-105000000,-120000000,-159000000,-175000000,-173000000,-188000000,-207000000,-186000000,-181000000,-168000000,-174000000,-150000000,-144000000,-159000000,-106000000,-106000000,-184000000,-106000000,-125000000,-125000000,-111000000,-253000000,-125000000,-184000000,-359000000,-485000000,28000000
20,Income Before Tax,387200000,417900000,388600000,106500000,179400000,667400000,799300000,519800000,963000000,1042000000,1197000000,1107000000,1073000000,1097000000,1077000000,987000000,798000000,924000000,947000000,1030000000,1001000000,1149000000,939000000,1079000000,1242000000,1168000000,1106000000,955000000,1073000000,949000000,849000000,1316000000,830000000,625000000,766000000,1336000000
21,Income Before Tax Ratio,0.0884,0.0931,0.0798,0.0188,0.0289,0.1076,0.1276,0.0789,0.1439,0.1432,0.1559,0.1390,0.1602,0.1708,0.1719,0.1481,0.1301,0.1384,0.1332,0.1365,0.1363,0.1461,0.1174,0.1422,0.1618,0.1513,0.1435,0.1186,0.1298,0.1174,0.1066,0.2255,0.1255,0.0771,0.0881,0.1576
22,Income Tax expense (Gain),164000000,170600000,147000000,93400000,175000000,265900000,308800000,262600000,333000000,344000000,395000000,394000000,384000000,373000000,363000000,338000000,273000000,298000000,300000000,323000000,246000000,326000000,268000000,347000000,398000000,366000000,342000000,275000000,347000000,299000000,286000000,406000000,11000000,149000000,174000000,328000000
23,Net Income,223200000,247300000,241600000,13100000,4400000,401500000,490500000,8200000,630000000,698000000,802000000,713000000,660000000,724000000,714000000,649000000,525000000,595000000,647000000,707000000,766000000,854000000,1165000000,736000000,844000000,805000000,774000000,458000000,818000000,666000000,563000000,887000000,261000000,211000000,1628000000,1002000000
24,Net Income ratio,0.0510,0.0551,0.0496,0.0023,0.0007,0.0647,0.0783,0.0012,0.0942,0.0959,0.1045,0.0895,0.0986,0.1127,0.1139,0.0974,0.0856,0.0891,0.0910,0.0937,0.1043,0.1086,0.1457,0.0970,0.1100,0.1043,0.1004,0.0569,0.0989,0.0824,0.0707,0.1520,0.0395,0.0260,0.1873,0.1182
25,EPS,0.44,0.48,0.47,0.03,0.01,0.79,0.98,0.01,1.25,1.40,1.61,1.51,1.46,1.64,1.68,1.57,1.28,1.45,1.58,1.73,1.88,2.21,3.12,2.09,2.44,2.44,2.43,1.46,2.61,2.21,1.82,2.91,0.87,0.70,5.39,3.31
26,EPS Diluted,0.44,0.48,0.47,0.03,0.01,0.79,0.98,0.01,1.25,1.40,1.61,1.51,1.44,1.63,1.65,1.55,1.28,1.45,1.57,1.71,1.85,2.16,3.06,2.06,2.42,2.42,2.41,1.44,2.59,2.21,1.81,2.89,0.86,0.70,5.36,3.29
27,Weighted Average Shares Outstanding,507272727,515208333,514042553,436666667,440000000,508227848,500510204,497333333,502000000,498000000,498000000,472000000,454000000,441000000,425000000,414000000,410000000,411000000,409000000,409000000,407000000,386000000,373000000,352000000,340000000,326000000,317000000,314000000,314000000,312000000,309000000,305000000,301000000,301000000,302000000,303000000
28,Weighted Average Shares Outstanding Diluted,507272727,515208333,514042553,436666667,440000000,508227848,500510204,497333333,503092784,498000000,498000000,476000000,460000000,445000000,432000000,418000000,411000000,411000000,412000000,413000000,414000000,396000000,381000000,358000000,343000000,329000000,319000000,317000000,316000000,313000000,311000000,307000000,302000000,302000000,304000000,305000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16732/000089322094000416/0000893220-94-000416-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322095000638/0000893220-95-000638-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16732/000089322002001206/0000893220-02-001206-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322003001648/w90322e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322004002108/w99443e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322005002271/w12996e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322006002166/w23178e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322007003194/0000893220-07-003194-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322008002633/0000893220-08-002633-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012309047208/0000950123-09-047208-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012310090083/0000950123-10-090083-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012311087197/0000950123-11-087197-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673212000024/0000016732-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673213000023/0000016732-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673214000023/0000016732-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673215000034/0000016732-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673216000146/cpb-7312016x10xk.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673217000058/0000016732-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673218000062/0000016732-18-000062-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673219000070/0000016732-19-000070-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673220000111/0000016732-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673221000103/0000016732-21-000103-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,393800000,425300000,120800000,147100000,80700000,178900000,112100000,62600000,94000000,53000000,34000000,26000000,16000000,6000000,27000000,24000000,21000000,32000000,32000000,40000000,657000000,71000000,81000000,51000000,254000000,484000000,335000000,333000000,232000000,253000000,296000000,319000000,49000000,31000000,859000000,69000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,393800000,425300000,120800000,147100000,80700000,178900000,112100000,62600000,94000000,53000000,34000000,26000000,16000000,6000000,27000000,24000000,21000000,32000000,32000000,40000000,657000000,71000000,122000000,51000000,254000000,484000000,335000000,333000000,232000000,253000000,296000000,319000000,49000000,31000000,859000000,69000000
34,Net Receivables,299000000,338900000,486900000,538000000,624500000,527400000,577100000,646300000,578000000,631000000,618000000,633000000,656000000,541000000,443000000,442000000,417000000,413000000,490000000,509000000,494000000,581000000,570000000,528000000,512000000,560000000,553000000,635000000,670000000,647000000,626000000,605000000,563000000,574000000,575000000,595000000
35,Inventory,610500000,623600000,664700000,816000000,819800000,706700000,717900000,804200000,786000000,755000000,739000000,762000000,564000000,615000000,571000000,597000000,638000000,709000000,795000000,782000000,728000000,775000000,829000000,824000000,724000000,767000000,714000000,925000000,1016000000,995000000,940000000,902000000,887000000,863000000,871000000,933000000
36,Other Current Assets,31500000,42700000,90500000,100400000,140500000,105500000,94500000,173100000,143000000,142000000,227000000,162000000,204000000,132000000,127000000,158000000,123000000,136000000,164000000,181000000,233000000,151000000,172000000,148000000,197000000,152000000,169000000,328000000,182000000,198000000,46000000,74000000,797000000,499000000,80000000,98000000
37,Total Current Assets,1334800000,1430500000,1362900000,1601500000,1665500000,1518500000,1501600000,1686200000,1601000000,1581000000,1618000000,1583000000,1440000000,1294000000,1168000000,1221000000,1199000000,1290000000,1481000000,1512000000,2112000000,1578000000,1693000000,1551000000,1687000000,1963000000,1771000000,2221000000,2100000000,2093000000,1908000000,1900000000,2296000000,1967000000,2385000000,1695000000
38,PP&E,1168100000,1349000000,1508900000,1540600000,1717700000,1790400000,1965800000,2264400000,2401000000,2584000000,2681000000,2560000000,1723000000,1726000000,1644000000,1637000000,1684000000,1843000000,1901000000,1987000000,1954000000,2042000000,1939000000,1977000000,2051000000,2103000000,2127000000,2260000000,2318000000,2347000000,2407000000,2454000000,2466000000,2455000000,2622000000,2605000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1334000000,1407000000,1478000000,1655000000,1697000000,1603000000,1856000000,1881000000,1803000000,1900000000,- -,1765000000,1872000000,1998000000,1901000000,1919000000,2133000000,2013000000,2297000000,2433000000,2344000000,2263000000,2115000000,3864000000,4017000000,3986000000,3981000000
40,Intangible Assets,130200000,132400000,496600000,466900000,383400000,435500000,441800000,596000000,582000000,381000000,401000000,315000000,249000000,213000000,164000000,595000000,622000000,1018000000,1095000000,3009000000,596000000,615000000,605000000,522000000,509000000,527000000,496000000,1021000000,1175000000,1205000000,1152000000,1118000000,3664000000,3415000000,3350000000,3239000000
41,Intangible Assets,130200000,132400000,496600000,466900000,383400000,435500000,441800000,596000000,582000000,1715000000,1808000000,1793000000,1904000000,1910000000,1767000000,2451000000,2503000000,2821000000,2995000000,3009000000,2361000000,2487000000,2603000000,2423000000,2428000000,2660000000,2509000000,3318000000,3608000000,3549000000,3415000000,3233000000,7528000000,7432000000,7336000000,7220000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,158000000,188000000,200000000,211000000,234000000,215000000,203000000,162000000,150000000,- -,147000000,17000000,8000000,7000000,- -,- -,- -,- -,- -,10000000,47000000,69000000,92000000,77000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000000,274000000,251000000,246000000,263000000,285000000,303000000,188000000,245000000,332000000,6000000,463000000,354000000,354000000,237000000,258000000,47000000,298000000,489000000,548000000,505000000,41000000,490000000,960000000,924000000,- -,- -
44,Other Non-Current Assets,129700000,178100000,241200000,323100000,349000000,404600000,444600000,350900000,408000000,148000000,93000000,84000000,120000000,118000000,98000000,100000000,-56000000,-156000000,-184000000,262000000,833000000,-33000000,-123000000,-139000000,-148000000,89000000,-175000000,35000000,-461000000,-427000000,19000000,-420000000,1187000000,293000000,29000000,214000000
45,Total Non-Current Assets,1428000000,1659500000,2246700000,2330600000,2450100000,2630500000,2852200000,3211300000,3391000000,4734000000,5014000000,4876000000,4193000000,4228000000,4028000000,4706000000,4522000000,4915000000,5194000000,5264000000,5758000000,4867000000,4781000000,4505000000,4589000000,4899000000,4759000000,6102000000,6013000000,5984000000,5929000000,5826000000,12233000000,11181000000,9987000000,10039000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2762800000,3090000000,3609600000,3932100000,4115600000,4149000000,4353800000,4897500000,4992000000,6315000000,6632000000,6459000000,5633000000,5522000000,5196000000,5927000000,5721000000,6205000000,6675000000,6776000000,7870000000,6445000000,6474000000,6056000000,6276000000,6862000000,6530000000,8323000000,8113000000,8077000000,7837000000,7726000000,14529000000,13148000000,12372000000,11734000000
48,Accounts Payable,- -,- -,- -,508200000,525200000,482400000,497800000,510000000,473000000,556000000,568000000,608000000,506000000,511000000,509000000,582000000,681000000,620000000,607000000,624000000,691000000,694000000,655000000,569000000,545000000,585000000,571000000,523000000,527000000,544000000,610000000,666000000,705000000,814000000,1049000000,1070000000
49,Short-Term Debt,88900000,93500000,138000000,271500000,202300000,282200000,293700000,669400000,434000000,865000000,865000000,1506000000,1201000000,1830000000,1754000000,1800000000,895000000,1279000000,810000000,451000000,1097000000,595000000,982000000,378000000,835000000,657000000,786000000,1909000000,1771000000,1543000000,1219000000,1037000000,1896000000,1371000000,1269000000,102000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,30000000,33000000,22000000,19000000,37000000,29000000,22000000,20000000,22000000,15000000,24000000,5000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,537200000,592900000,725300000,452400000,570600000,513400000,508200000,671100000,758000000,743000000,796000000,867000000,1096000000,805000000,769000000,738000000,1102000000,884000000,922000000,927000000,1174000000,741000000,766000000,681000000,685000000,747000000,713000000,850000000,691000000,719000000,726000000,692000000,993000000,1200000000,757000000,642000000
53,Total Current Liabilities,626100000,686400000,863300000,1232100000,1298100000,1278000000,1299700000,1850500000,1665000000,2164000000,2229000000,2981000000,2803000000,3146000000,3032000000,3120000000,2678000000,2783000000,2339000000,2002000000,2962000000,2030000000,2403000000,1628000000,2065000000,1989000000,2070000000,3282000000,2989000000,2806000000,2555000000,2395000000,3594000000,3385000000,3075000000,1814000000
54,Long-Term Debt,362300000,380200000,525800000,629200000,805800000,772600000,693300000,461900000,560000000,857000000,744000000,1153000000,1169000000,1330000000,1218000000,2243000000,2449000000,2249000000,2543000000,2542000000,2116000000,2074000000,1633000000,2246000000,1945000000,2427000000,2004000000,2544000000,2244000000,2539000000,2314000000,2499000000,7991000000,7103000000,5178000000,5190000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,199100000,248000000,- -,218000000,235100000,258500000,288400000,164500000,211000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342000000,- -,- -,- -,- -,258000000,367000000,298000000,489000000,548000000,505000000,396000000,490000000,995000000,924000000,914000000,1051000000
57,Other Non-Current Liabilities,36400000,39300000,325500000,19600000,28500000,23000000,22400000,611900000,446000000,826000000,917000000,905000000,787000000,811000000,809000000,811000000,708000000,786000000,919000000,620000000,1024000000,1046000000,1120000000,1454000000,1082000000,983000000,1260000000,791000000,717000000,846000000,1039000000,705000000,585000000,633000000,636000000,525000000
58,Total Non-Current Liabilities,597800000,667500000,851300000,866800000,1069400000,1054100000,1004100000,1238300000,1217000000,1683000000,1661000000,2058000000,1956000000,2141000000,2027000000,3054000000,3157000000,3035000000,3462000000,3504000000,3140000000,3120000000,2753000000,3700000000,3285000000,3777000000,3562000000,3824000000,3509000000,3890000000,3749000000,3694000000,9571000000,8660000000,6728000000,6766000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,2000000,1000000,11000000,2000000,8000000,1000000,24000000,261000000,264000000
61,Total Liabilities,1223900000,1353900000,1714600000,2098900000,2367500000,2332100000,2303800000,3088800000,2882000000,3847000000,3890000000,5039000000,4759000000,5287000000,5059000000,6174000000,5835000000,5818000000,5801000000,5506000000,6102000000,5150000000,5156000000,5328000000,5350000000,5766000000,5632000000,7106000000,6498000000,6696000000,6304000000,6089000000,13165000000,12045000000,9803000000,8580000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000
64,Retained Earnings,1554000000,1709600000,1879100000,1775800000,1653300000,1912600000,2224500000,2002000000,2359000000,2755000000,3211000000,3571000000,3706000000,4041000000,4373000000,4651000000,4918000000,5254000000,5642000000,6069000000,6539000000,7082000000,7909000000,8288000000,8760000000,9185000000,9584000000,1772000000,2198000000,1754000000,1927000000,2385000000,2224000000,1993000000,3190000000,3742000000
65,Other Comprehensive Income/Loss,-921000000,-1006100000,-1030800000,-1002400000,-1017200000,-1131500000,-1243200000,-1320500000,-1447000000,156000000,124000000,-100000000,-328000000,-300000000,-454000000,-648000000,-962000000,-316000000,-204000000,-223000000,4000000,-125000000,-136000000,-718000000,-736000000,-427000000,-776000000,-565000000,-569000000,-909000000,-104000000,-53000000,-118000000,-198000000,-10000000,5000000
66,Other Total Stockholders Equity,905900000,1032600000,1046700000,1059800000,1112000000,1035800000,1068700000,1127200000,1198000000,- -,- -,- -,- -,- -,- -,- -,- -,-4571000000,-4584000000,-4596000000,-4795000000,-5682000000,-6475000000,-6862000000,-7118000000,-7690000000,-7930000000,-2000000,-26000000,523000000,-310000000,-707000000,-754000000,-704000000,-629000000,-607000000
67,Total Stockholders Equity,1538900000,1736100000,1895000000,1833200000,1748100000,1816900000,2050000000,1808700000,2110000000,2468000000,2742000000,1420000000,874000000,235000000,137000000,-247000000,-114000000,387000000,874000000,1270000000,1768000000,1295000000,1318000000,728000000,926000000,1088000000,898000000,1217000000,1615000000,1380000000,1525000000,1637000000,1364000000,1103000000,2563000000,3152000000
68,Total Liabilities And Stockholders Equity,2762800000,3090000000,3609600000,3932100000,4115600000,4149000000,4353800000,4897500000,4992000000,6315000000,6632000000,6459000000,5633000000,5522000000,5196000000,5927000000,5721000000,6205000000,6675000000,6776000000,7870000000,6445000000,6474000000,6056000000,6276000000,6854000000,6530000000,8323000000,8113000000,8076000000,7829000000,7726000000,14529000000,13148000000,12366000000,11732000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,- -,- -,1000000,8000000,- -,- -,- -,6000000,2000000
70,Total Liabilities & Equity,2762800000,3090000000,3609600000,3932100000,4115600000,4149000000,4353800000,4897500000,4992000000,6315000000,6632000000,6459000000,5633000000,5522000000,5196000000,5927000000,5721000000,6205000000,6675000000,6776000000,7870000000,6445000000,6474000000,6056000000,6276000000,6862000000,6530000000,8323000000,8113000000,8077000000,7837000000,7726000000,14529000000,13148000000,12372000000,11734000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16732/000089322094000416/0000893220-94-000416-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322095000638/0000893220-95-000638-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16732/000089322002001206/0000893220-02-001206-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322003001648/w90322e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322004002108/w99443e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322005002271/w12996e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322006002166/w23178e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322007003194/0000893220-07-003194-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322008002633/0000893220-08-002633-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012309047208/0000950123-09-047208-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012310090083/0000950123-10-090083-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012311087197/0000950123-11-087197-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673212000024/0000016732-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673213000023/0000016732-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673214000023/0000016732-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673215000034/0000016732-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673216000146/cpb-7312016x10xk.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673217000058/0000016732-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673218000062/0000016732-18-000062-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673219000070/0000016732-19-000070-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673220000111/0000016732-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673221000103/0000016732-21-000103-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,13100000,4400000,401500000,490500000,8200000,630000000,698000000,802000000,713000000,660000000,724000000,714000000,649000000,525000000,595000000,647000000,707000000,766000000,854000000,1165000000,736000000,844000000,805000000,774000000,458000000,818000000,666000000,563000000,887000000,261000000,211000000,1628000000,1002000000
74,Depreciation and Amortization,- -,- -,- -,192300000,200900000,208600000,216200000,242200000,255000000,294000000,326000000,328000000,261000000,255000000,251000000,266000000,319000000,243000000,260000000,279000000,289000000,283000000,294000000,264000000,251000000,268000000,262000000,407000000,305000000,303000000,308000000,318000000,394000000,446000000,328000000,317000000
