,https://roic.ai/company/BDC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,26400000,30600000,37400000,69600000,102400000,126200000,137900000,152139000,159531000,117196000,97175000,157309000,216973000,214835000,340634000,429378000,383806000,333471000,395433000,434128000,512089000,660285000,779390000,733210000,699349000,765332000,586298000,537879000,589341000
11,COGS and Expenses,107200000,123600000,159400000,309100000,454400000,572200000,598500000,694669000,707941000,532302000,467883000,923410000,1283980000,1377333000,1812105000,1871586000,1385870000,1483267000,1805567000,1708270000,1876853000,2149101000,2170439000,2108888000,2153953000,2342288000,1924071000,1737306000,2143079000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,1046000,1184000,1011000,1033000,494000,583000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36660000,41857000,49826000,48126000,52038000,73095000,82156000,100613000,95050000,82901000,61559000,55814000,58888000,62695000
14,Depreciation and Amortization,3100000,3400000,3800000,6000000,10100000,14100000,18800000,21449000,22543000,24159000,20122000,30714000,40470000,38616000,51746000,56836000,55857000,55279000,50174000,59355000,94451000,102162000,150342000,145593000,149650000,148632000,139259000,108687000,87988000
15,EBITDA,13600000,16300000,28300000,31300000,67400000,79900000,85100000,111660000,67902000,31635000,-51505000,61794000,112747000,145264000,253309000,-273726000,61904000,226278000,237283000,267689000,293174000,265881000,290591000,367461000,332256000,430704000,-139423000,124137000,239813000
16,EBITDA ratio,0.1073,0.1121,0.1498,0.0876,0.1304,0.1226,0.1244,0.1400,0.0890,0.0571,-0.1063,0.0640,0.0834,0.0971,0.1246,-0.1365,0.0437,0.1399,0.1197,0.1454,0.1417,0.1152,0.1258,0.1559,0.1391,0.1666,-0.0654,0.0666,0.0996
17,Operating Income,19500000,21800000,29500000,48300000,62600000,79500000,85500000,103155000,55284000,15623000,4358000,42764000,68151000,118478000,220736000,-342188000,1641000,129189000,187006000,108497000,201262000,163119000,140553000,223853000,234690000,305221000,207207000,125410000,124560000
18,Operating Income ratio,0.1539,0.1499,0.1562,0.1351,0.1211,0.1220,0.1250,0.1293,0.0724,0.0282,0.0090,0.0443,0.0504,0.0792,0.1086,-0.1706,0.0012,0.0799,0.0944,0.0589,0.0973,0.0707,0.0609,0.0950,0.0983,0.1181,0.0972,0.0673,0.0517
19,Total Other Income Expenses (Gains),-9000000,-4900000,-5000000,-22400000,-5300000,-13700000,-19200000,-12944000,-9925000,-7847000,-7430000,-11520000,-10790000,-6202000,-19173000,-25034000,-36055000,-47177000,-47115000,-103455000,-74213000,-81573000,-100613000,-97392000,-135342000,-84891000,-54797000,-59283000,-36898000
20,Income Before Tax,10500000,16900000,24500000,25900000,57300000,65800000,66300000,90211000,45359000,7776000,-3072000,31244000,57361000,112276000,201563000,-367222000,-34414000,82012000,139891000,5042000,127049000,81546000,39940000,126461000,99348000,220330000,152410000,66127000,87662000
21,Income Before Tax Ratio,0.0829,0.1162,0.1297,0.0725,0.1108,0.1010,0.0969,0.1131,0.0594,0.0140,-0.0063,0.0323,0.0424,0.0751,0.0992,-0.1831,-0.0243,0.0507,0.0706,0.0027,0.0614,0.0353,0.0173,0.0537,0.0416,0.0852,0.0715,0.0355,0.0364
22,Income Tax expense (Gain),4500000,6800000,9800000,10000000,21300000,25300000,26700000,35291000,21903000,3888000,-53000,15891000,24719000,40713000,64440000,-6195000,-10909000,12714000,24638000,-38194000,22315000,7114000,-26568000,-1185000,6495000,59619000,42519000,11724000,25205000
23,Net Income,6000000,6100000,14700000,15300000,36000000,40500000,39600000,54920000,23456000,3588000,-71574000,15189000,47558000,65935000,137123000,-361027000,-24901000,108459000,114345000,194490000,103313000,74449000,66204000,128003000,93210000,160894000,-377015000,-55162000,63925000
24,Net Income ratio,0.0474,0.0420,0.0778,0.0428,0.0696,0.0621,0.0579,0.0688,0.0307,0.0065,-0.1477,0.0157,0.0352,0.0441,0.0675,-0.1800,-0.0176,0.0671,0.0577,0.1057,0.0499,0.0323,0.0287,0.0543,0.0390,0.0622,-0.1769,-0.0296,0.0265
25,EPS,0.40,0.42,0.90,0.73,1.56,1.87,1.84,2.58,1.08,0.16,-3.22,0.43,1.04,1.52,3.06,-8.08,-0.53,2.32,2.43,4.31,2.36,1.72,1.56,2.67,1.38,3.10,-9.37,-1.23,1.43
26,EPS Diluted,0.36,0.34,0.76,0.73,1.56,1.72,1.81,2.50,1.04,0.16,-3.22,0.43,0.96,1.37,2.73,-8.08,-0.53,2.27,2.38,4.23,2.31,1.69,1.54,2.65,1.37,3.08,-9.37,-1.23,1.42
27,Weighted Average Shares Outstanding,15000000,14523810,16333333,20990854,23142857,21696429,21521739,21332500,21871500,22122000,22172500,35404000,45655000,43319000,44877000,44692000,46594000,46805000,47109000,45097000,43871000,43273000,42390000,42093000,42220000,40675000,42203000,44778000,44778000
28,Weighted Average Shares Outstanding Diluted,16666667,17941176,19342105,20990854,23142857,23546512,21838235,22043000,22463500,22315500,22172500,38724000,52122000,50276000,50615000,44692000,46594000,47783000,48104000,45942000,44737000,43997000,42953000,42557000,42643000,40956000,42416000,44937000,44937000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913142/0000950130-98-005150-index.html,- -,https://www.sec.gov/Archives/edgar/data/913142/000095013000005672/0000950130-00-005672-index.html,https://www.sec.gov/Archives/edgar/data/913142/000095013001504922/0000950130-01-504922-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913142/000095013706003119/c03427e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000095013707003138/c12830e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000095013708003072/c24313e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000095013709001374/0000950137-09-001374-index.html,https://www.sec.gov/Archives/edgar/data/913142/000095012310018295/0000950123-10-018295-index.html,https://www.sec.gov/Archives/edgar/data/913142/000095012311018365/c61949e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000119312512087394/0001193125-12-087394-index.html,https://www.sec.gov/Archives/edgar/data/913142/000119312513082378/0001193125-13-082378-index.html,https://www.sec.gov/Archives/edgar/data/913142/000119312514071414/d636342d10k.htm,https://www.sec.gov/Archives/edgar/data/913142/000119312515057344/d838386d10k.htm,https://www.sec.gov/Archives/edgar/data/913142/000119312516477756/0001193125-16-477756-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314217000005/0000913142-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314218000006/0000913142-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314219000004/0000913142-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314220000008/0000913142-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314221000007/0000913142-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/913142/000091314222000007/0000913142-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,2200000,2200000,16100000,9000000,11100000,11400000,16454000,14625000,16755000,32701000,188798000,134640000,254151000,159964000,227413000,308879000,358653000,382716000,395095000,613304000,741162000,216751000,848116000,561108000,420610000,407480000,501994000,643757000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,2200000,2200000,16100000,9000000,11100000,11400000,16454000,14625000,16755000,32701000,188798000,134640000,254151000,159964000,227413000,308879000,358653000,382716000,395095000,613304000,741162000,216751000,848116000,561108000,420610000,407480000,501994000,643757000
34,Net Receivables,21600000,26400000,32900000,96500000,112100000,117300000,130900000,145717000,99238000,90329000,79121000,174554000,198106000,217908000,373108000,292236000,242145000,298266000,299070000,300864000,304204000,379777000,387386000,388059000,473570000,465939000,334634000,296817000,412217000
35,Inventory,23700000,30700000,35400000,90600000,121000000,130300000,141800000,145015000,158415000,137117000,111589000,227034000,261963000,202248000,257540000,216022000,151262000,175659000,202143000,215282000,207980000,228398000,195942000,190408000,297226000,316418000,231333000,247298000,345354000
36,Other Current Assets,1300000,1300000,1900000,5300000,5400000,17800000,21900000,18974000,25801000,28200000,36873000,58932000,36068000,45129000,45970000,57432000,62032000,28277000,41492000,48341000,70010000,64813000,43085000,52369000,40167000,55757000,404307000,52289000,65700000
37,Total Current Assets,46900000,60600000,72400000,208500000,247500000,276500000,306000000,326160000,298079000,272401000,260284000,649318000,630777000,719436000,836582000,793103000,764318000,860855000,925421000,959582000,1195498000,1414150000,843164000,1478952000,1372071000,1258724000,1377754000,1098398000,1467028000
38,PP&E,20500000,26300000,30100000,89500000,127600000,160900000,201500000,205880000,218993000,239727000,204738000,338247000,304337000,272285000,369803000,324569000,299586000,278866000,286933000,307048000,300835000,316385000,310629000,309291000,337322000,365970000,408169000,423407000,429278000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275134000,648882000,321478000,313030000,322556000,348032000,778708000,773048000,943374000,1385115000,1385995000,1478257000,1557653000,1243669000,1251938000,1152472000
40,Intangible Assets,13900000,13600000,13700000,21000000,53100000,64400000,85000000,80792000,63837000,69220000,14720000,364429000,344749000,70964000,154786000,156025000,143013000,143820000,151683000,428273000,376976000,461292000,655871000,560082000,545207000,511093000,339505000,287071000,301696000
41,Intangible Assets,13900000,13600000,13700000,21000000,53100000,64400000,85000000,80792000,63837000,69220000,14720000,364429000,344749000,346098000,803668000,477503000,456043000,466376000,499715000,1206981000,1150024000,1404666000,2040986000,1946077000,2023464000,2068746000,1583174000,1539009000,1454168000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37205000,27565000,12219000,46970000,26034000,40652000,34295000,33706000,42549000,56018000,25216000,29536000,32321000
44,Other Non-Current Assets,2400000,2200000,800000,1100000,1300000,1800000,2600000,2521000,3487000,4439000,13211000,43444000,6213000,18149000,58796000,53388000,63426000,62822000,63832000,64002000,79362000,86974000,86767000,38777000,65207000,29863000,12446000,49384000,34882000
45,Total Non-Current Assets,36800000,42100000,44600000,111600000,182000000,227100000,289100000,289193000,286317000,313386000,232669000,746120000,655299000,636532000,1232267000,855460000,856260000,835629000,862699000,1625001000,1556255000,1848677000,2472677000,2327851000,2468542000,2520597000,2029005000,2041336000,1950649000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,83700000,102700000,117000000,320100000,429500000,503600000,595100000,615353000,584396000,585787000,492953000,1395438000,1286076000,1355968000,2068849000,1648563000,1620578000,1696484000,1788120000,2584583000,2751753000,3262827000,3315841000,3806803000,3840613000,3779321000,3406759000,3139734000,3417677000
48,Accounts Payable,6900000,8800000,11400000,31300000,41400000,45700000,38500000,47996000,26821000,26572000,28078000,185035000,111323000,88557000,192274000,160744000,169763000,212084000,227571000,183672000,199897000,272439000,223514000,258203000,376277000,352646000,268466000,244120000,384223000
49,Short-Term Debt,6200000,5400000,8800000,7500000,10200000,19700000,46900000,9468000,124256000,2992000,1960000,15702000,59000000,62000000,110000000,- -,46268000,- -,- -,15678000,2500000,2500000,2500000,- -,- -,- -,14072000,14840000,18324000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31371000,45139000,101460000,80503000,90639000,101194000,54255000,53371000,60946000
52,Other Current Liabilities,7600000,7200000,10700000,33900000,33900000,36500000,56800000,51986000,48482000,43131000,43113000,17534000,98096000,111451000,157773000,180801000,141922000,145840000,153995000,253132000,167798000,205281000,221789000,231573000,212012000,263082000,385751000,208430000,255046000
53,Total Current Liabilities,20700000,21400000,30900000,72700000,85500000,101900000,142200000,109450000,199559000,72695000,73151000,218271000,268419000,262008000,460047000,341545000,357953000,357924000,381566000,452482000,401566000,525359000,549263000,570279000,678928000,716922000,722544000,520761000,718539000
54,Long-Term Debt,77500000,63800000,52700000,73100000,126700000,136100000,171700000,153336000,5413000,108908000,112730000,232823000,172051000,110000000,350000000,590000000,543942000,551155000,550926000,1135527000,1364536000,1765422000,1750521000,1620161000,1560748000,1463200000,1439484000,1573726000,1527216000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1900000,1300000,1600000,4100000,6600000,14400000,18600000,23406000,23725000,28173000,424000,68158000,73851000,71399000,78140000,4270000,- -,- -,- -,- -,- -,- -,46034000,14276000,27713000,39943000,48725000,38400000,59990000
57,Other Non-Current Liabilities,-100000,- -,-100000,4700000,5600000,6300000,8000000,9002000,11721000,14544000,23744000,56945000,50333000,68660000,107999000,141880000,167635000,148890000,161079000,184714000,149110000,164860000,144500000,140770000,138358000,171668000,230187000,249796000,155850000
58,Total Non-Current Liabilities,79300000,65100000,54200000,81900000,138900000,156800000,198300000,185744000,40859000,151625000,136898000,357926000,296235000,250059000,536139000,736150000,711577000,700045000,712005000,1320241000,1513646000,1930282000,1941055000,1775207000,1726819000,1674811000,1718396000,1861922000,1743056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69724000,61238000,85549000
61,Total Liabilities,100000000,86500000,85100000,154600000,224400000,258700000,340500000,295194000,240418000,224320000,210049000,576197000,564654000,512067000,996186000,1077695000,1069530000,1057969000,1093571000,1772723000,1915212000,2455641000,2490318000,2345486000,2405747000,2391733000,2440940000,2382683000,2461595000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,300000,316000,477000,481000,484000,502000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000,503000
64,Retained Earnings,-24700000,34100000,48800000,64800000,100900000,88600000,128300000,183166000,206464000,210052000,138478000,252652000,290870000,348069000,478776000,108676000,72625000,171568000,276363000,461756000,556214000,621896000,679716000,783812000,833610000,922000000,518004000,450876000,505717000
65,Other Comprehensive Income/Loss,-12800000,-13800000,-15600000,-22900000,-30600000,-40500000,-54100000,-69901000,-86003000,-106865000,-441000,20585000,-7217000,15013000,93198000,10227000,14614000,-8919000,-22709000,-30565000,-29181000,-46031000,-58987000,-39067000,-98026000,-74907000,-63418000,-191851000,-70566000
66,Other Total Stockholders Equity,21200000,- -,- -,123600000,134800000,196800000,180100000,206578000,223040000,257799000,- -,- -,429352000,480316000,500186000,451462000,463306000,475363000,440392000,380166000,309005000,230818000,202867000,715064000,698147000,539550000,504758000,491053000,- -
67,Total Stockholders Equity,-16300000,16200000,31900000,165500000,205100000,244900000,254600000,320159000,343978000,361467000,275877000,810000000,713508000,843901000,1072663000,570868000,551048000,638515000,694549000,811860000,836541000,807186000,824099000,1460313000,1434235000,1387147000,959847000,750581000,955287000
68,Total Liabilities And Stockholders Equity,83700000,102700000,117000000,320100000,429500000,503600000,595100000,615353000,584396000,585787000,485926000,1386197000,1278162000,1355968000,2068849000,1648563000,1620578000,1696484000,1788120000,2584583000,2751753000,3262827000,3314417000,3805799000,3839982000,3778880000,3400787000,3133264000,3416882000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7027000,9241000,7914000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1424000,1004000,631000,441000,5972000,6470000,795000
70,Total Liabilities & Equity,83700000,102700000,117000000,320100000,429500000,503600000,595100000,615353000,584396000,585787000,492953000,1395438000,1286076000,1355968000,2068849000,1648563000,1620578000,1696484000,1788120000,2584583000,2751753000,3262827000,3315841000,3806803000,3840613000,3779321000,3406759000,3139734000,3417677000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913142/0000950130-98-005150-index.html,- -,https://www.sec.gov/Archives/edgar/data/913142/000095013000005672/0000950130-00-005672-index.html,https://www.sec.gov/Archives/edgar/data/913142/000095013001504922/0000950130-01-504922-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913142/000095013706003119/c03427e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000095013707003138/c12830e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000095013708003072/c24313e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000095013709001374/0000950137-09-001374-index.html,https://www.sec.gov/Archives/edgar/data/913142/000095012310018295/0000950123-10-018295-index.html,https://www.sec.gov/Archives/edgar/data/913142/000095012311018365/c61949e10vk.htm,https://www.sec.gov/Archives/edgar/data/913142/000119312512087394/0001193125-12-087394-index.html,https://www.sec.gov/Archives/edgar/data/913142/000119312513082378/0001193125-13-082378-index.html,https://www.sec.gov/Archives/edgar/data/913142/000119312514071414/d636342d10k.htm,https://www.sec.gov/Archives/edgar/data/913142/000119312515057344/d838386d10k.htm,https://www.sec.gov/Archives/edgar/data/913142/000119312516477756/0001193125-16-477756-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314217000005/0000913142-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314218000006/0000913142-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314219000004/0000913142-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314220000008/0000913142-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/913142/000091314221000007/0000913142-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/913142/000091314222000007/0000913142-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6000000,6100000,14700000,15300000,36000000,40500000,39600000,54920000,23456000,3588000,-71574000,15189000,47558000,65935000,137123000,-361027000,-24901000,108459000,114345000,194490000,103313000,74449000,66204000,128003000,93210000,160894000,-377015000,-55162000,63925000
74,Depreciation and Amortization,3100000,3400000,3800000,6000000,10100000,14100000,18800000,21449000,22543000,24159000,20122000,30714000,40470000,38616000,51746000,56836000,55857000,55279000,50174000,59355000,94451000,102162000,150342000,145593000,149650000,148632000,139259000,108687000,87988000
75,Deferred Income Tax,-100000,- -,-100000,-2600000,3100000,1800000,800000,3308000,440000,-342000,-28247000,1694000,14127000,18896000,24945000,-37354000,-23421000,-11577000,2294000,-46869000,-5277000,-24655000,-50724000,-30034000,-24098000,11300000,-23540000,-19410000,3575000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13568000,11748000,12177000,11241000,12374000,14854000,18858000,17745000,18178000,14647000,18497000,17751000,20030000,24871000
77,Change in Working Capital,-3700000,13000000,2300000,94300000,26200000,12600000,-10800000,52910000,-118190000,101186000,-12573000,243914000,-68689000,95070000,-80893000,75023000,-45193000,96566000,40924000,-36755000,286832000,94859000,-594890000,614772000,-215530000,-151341000,113408000,-77573000,-54872000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2400000,-6200000,-2900000,-13000000,-12700000,-12300000,-1500000,-2967000,-17825000,30050000,6279000,-13876000,-41822000,34462000,21428000,28188000,50645000,-14031000,-22873000,31706000,2249000,-8841000,19204000,2677000,-84088000,-14779000,44477000,-8507000,-92984000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35666000,9728000,38513000,9281000,-55166000,12994000,28120000,-38907000,39298000,100752000,-29401000,-41527000,-43567000,135666000
81,Other Working Capital,26200000,39200000,41500000,135800000,162000000,174600000,163800000,216710000,98520000,199706000,187133000,431047000,362358000,457428000,376535000,451558000,406365000,502931000,543855000,507100000,793932000,888791000,293901000,908673000,693143000,541802000,655210000,577637000,-6448000
82,Other Non-Cash Items,- -,-17200000,-5800000,-108300000,-44500000,-25400000,6400000,-56896000,129478000,-66712000,130714000,-250549000,15683000,-77361000,72635000,426828000,177720000,-149355000,-34415000,-43207000,-329572000,-71645000,647733000,-561718000,237421000,101238000,407030000,196792000,146568000
83,Cash Provided by Operating Activities,5300000,5300000,14900000,4700000,30900000,43600000,54800000,75691000,57727000,61879000,38442000,40962000,49149000,141156000,205556000,173874000,151810000,111549000,184563000,139388000,164601000,194028000,236410000,314794000,255300000,289220000,276893000,173364000,272055000
84,CAPEX,-2500000,-4000000,-5700000,-15900000,-26700000,-68300000,-74400000,-22028000,-38082000,-12559000,-6655000,-15889000,-23789000,-21663000,-63501000,-53561000,-40377000,-28194000,-40053000,-41010000,-40209000,-45459000,-54969000,-53974000,-64261000,-97847000,-110002000,-90215000,-94632000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-8331000,- -,-29255000,-261000,-6196000,- -,-11715000,-589816000,-147384000,-20703000,-119110000,-59306000,-550930000,-6244000,-348773000,-691818000,-18848000,-166896000,-44409000,-74392000,55411000,-27605000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-500000,-1400000,-3200000,-104700000,-72400000,- -,- -,- -,1327000,55000,12146000,89007000,51541000,31913000,63093000,-12663000,-38346000,110758000,-40053000,-41010000,-37040000,-43575000,-54436000,-54409000,-63222000,-96267000,-109977000,-87054000,-64398000
89,Cash Used for Investing Activites,-3000000,-5400000,-8900000,-120600000,-99100000,-68300000,-74400000,-30359000,-36755000,-41759000,5230000,66922000,27752000,-1465000,-590224000,-160047000,-59049000,-8352000,-99359000,-591940000,-43284000,-392348000,-746254000,-73257000,-230118000,-140676000,-184369000,-31643000,-92003000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000000,-205542000,-46268000,- -,-593864000,-434743000,-2500000,-152500000,-294375000,-1105892000,-484757000,- -,-190000000,-363455000
91,Common Stock Issued,- -,29200000,200000,116300000,5800000,7000000,13200000,12731000,6042000,2421000,519000,4375000,6897000,38808000,32335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4300000,-45000000,- -,- -,- -,-20000000,- -,-109429000,- -,-31664000,-68336000,- -,- -,-50000000,-75000000,-93750000,-92197000,-39053000,- -,-25000000,-175000000,-50000000,-35000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7292000,-9116000,-8736000,-9026000,-8926000,-9373000,-9412000,-9410000,-11441000,-6678000,-8699000,-8395000,-16079000,-43376000,-43169000,-34439000,-9029000,-9056000
94,Other Financing Activites,-2400000,-27100000,-6200000,13500000,55500000,24100000,51700000,-52360000,-28328000,-22791000,-9018000,-66660000,-17474000,-52745000,285463000,247382000,192867000,7265000,3093000,1145067000,627934000,440614000,193929000,712158000,842820000,421156000,-2509000,159118000,339585000
95,Cash Used/Provided by Financing Activities,-2400000,2100000,-6000000,129800000,61300000,26800000,19900000,-39629000,-22286000,-20370000,-28499000,-69577000,-129122000,-22673000,277108000,60120000,-22048000,-48415000,-56317000,464762000,92763000,337218000,-6019000,401704000,-331448000,-281770000,-86948000,-74911000,-32926000
96,Effect of Forex Changes on Cash,100000,- -,- -,- -,-200000,- -,-100000,-673000,-515000,2380000,774000,4630000,-1937000,2495000,13373000,-6498000,10753000,-5008000,-4824000,333000,4129000,-11040000,-8548000,-11876000,19258000,-7272000,-301000,9299000,-5363000
97,Net Change In Cash,-2400000,2100000,-6000000,129800000,61300000,26800000,300000,5030000,-1829000,2130000,15947000,42937000,-54158000,119513000,-94187000,67449000,81466000,49774000,24063000,12543000,218209000,127858000,-524411000,631365000,-287008000,-140498000,5275000,76109000,141763000
