,https://roic.ai/company/FUL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,126100000,144500000,169900000,193500000,221300000,235000000,247600000,273700000,293500000,321000000,364000000,370500000,325700000,360600000,339400000,310700000,257500000,281560000,284300000,304400000,311800000,304500000,275800000,342300000,246100000,301600000,325800000,408700000,383367000,434900000,402212000,407470000,479465000,595966000,580928000,538332000,592710000
11,COGS and Expenses,427200000,489000000,549300000,638500000,707300000,740300000,793100000,862400000,921800000,1031400000,1174100000,1195000000,1219500000,1286000000,1260700000,1250100000,1186000000,1199788000,1219400000,1341400000,1424900000,1357000000,1257400000,1369400000,1109500000,1260600000,1436300000,1777700000,1860164000,2006100000,1917829000,1896253000,2186516000,2803111000,2671006000,2571952000,3025419000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1731000,737000,344000,510000,2045000,3927000,11774000,12178000,11417000,9476000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7734000,10414000,10811000,19793000,19120000,19744000,25021000,27359000,43701000,110994000,103287000,86776000,78092000
14,Depreciation and Amortization,10600000,13100000,15700000,18800000,23900000,27600000,28700000,31600000,29700000,33400000,41200000,47000000,46800000,49500000,50800000,52165000,54401000,57544000,54136000,56030000,55475000,48455000,50358000,46172000,46747000,41200000,41216000,57416000,61657000,70494000,75289000,77684000,87315000,145126000,141206000,138817000,143174000
15,EBITDA,33400000,46100000,57800000,54300000,53500000,63900000,75600000,91900000,58900000,84100000,89000000,123600000,110400000,84300000,126000000,129865000,118601000,98693000,107036000,106330000,142075000,206355000,190258000,59372000,174881000,147821000,176078000,233288000,217487000,174386000,242845000,277142000,199520000,420972000,424718000,391233000,445692000
16,EBITDA ratio,0.0729,0.0872,0.0968,0.0793,0.0710,0.0807,0.0886,0.0984,0.0604,0.0766,0.0716,0.0969,0.0845,0.0626,0.0923,0.0960,0.0931,0.0786,0.0831,0.0754,0.0940,0.1401,0.1359,0.0427,0.1416,0.1090,0.1130,0.1237,0.1062,0.0829,0.1165,0.1323,0.0865,0.1384,0.1466,0.1402,0.1360
17,Operating Income,30700000,39500000,47800000,46500000,46100000,51900000,59800000,71300000,53500000,66000000,69700000,80700000,87300000,61200000,103700000,102500000,88100000,56422000,68000000,68200000,87300000,115400000,142800000,22100000,125100000,95600000,121200000,108600000,186804000,98300000,165831000,198352000,126140000,237891000,225994000,218317000,252612000
18,Operating Income ratio,0.0670,0.0747,0.0801,0.0679,0.0612,0.0655,0.0701,0.0764,0.0549,0.0601,0.0560,0.0633,0.0668,0.0454,0.0760,0.0758,0.0691,0.0449,0.0528,0.0484,0.0577,0.0784,0.1020,0.0159,0.1013,0.0705,0.0778,0.0576,0.0913,0.0467,0.0796,0.0947,0.0547,0.0782,0.0780,0.0782,0.0771
19,Total Other Income Expenses (Gains),-7900000,-6500000,-5700000,-11000000,-16500000,-15600000,-12900000,-11000000,-12600000,-15300000,-19400000,-4100000,-22000000,-28400000,-29300000,-25600000,-24600000,-16110000,-17200000,-19900000,-4900000,-15400000,-5900000,-11900000,-10500000,-7900000,-6200000,-19100000,-59260000,-19000000,-27486000,-34908000,-65541000,-81165000,-53166000,-59961000,-35761000
20,Income Before Tax,22800000,33000000,42100000,35500000,29600000,36300000,46900000,60300000,40900000,50700000,50300000,76600000,65300000,32800000,74400000,76900000,63500000,40312000,50800000,48300000,82400000,100000000,136900000,10200000,114600000,87700000,115000000,89500000,127544000,79300000,138345000,163444000,60599000,156726000,172828000,158356000,216851000
21,Income Before Tax Ratio,0.0498,0.0624,0.0705,0.0518,0.0393,0.0458,0.0550,0.0646,0.0419,0.0462,0.0404,0.0600,0.0500,0.0243,0.0545,0.0569,0.0498,0.0321,0.0395,0.0343,0.0545,0.0679,0.0978,0.0073,0.0928,0.0647,0.0738,0.0474,0.0623,0.0377,0.0664,0.0780,0.0263,0.0515,0.0597,0.0568,0.0662
22,Income Tax expense (Gain),9500000,14100000,16300000,14400000,13900000,15200000,19200000,24700000,19200000,19800000,19100000,31200000,26700000,18800000,31800000,28500000,19800000,12973000,14300000,14700000,25000000,23700000,37700000,-5700000,36700000,25307000,34951000,30479000,39949000,34348000,55855000,50436000,9086000,-6356000,49408000,41921000,63033000
23,Net Income,13300000,18900000,25800000,21100000,15700000,21100000,27700000,35600000,10000000,30900000,28700000,45400000,36900000,16000000,43400000,49200000,44400000,28176000,38600000,35600000,61600000,134200000,102200000,18900000,83700000,70900000,89100000,125600000,96761000,49800000,86680000,121663000,59418000,171208000,130817000,123719000,161393000
24,Net Income ratio,0.0290,0.0358,0.0432,0.0308,0.0208,0.0266,0.0325,0.0381,0.0103,0.0282,0.0231,0.0356,0.0282,0.0119,0.0318,0.0364,0.0348,0.0224,0.0300,0.0253,0.0407,0.0911,0.0730,0.0136,0.0678,0.0523,0.0572,0.0666,0.0473,0.0237,0.0416,0.0581,0.0258,0.0563,0.0452,0.0443,0.0492
25,EPS,0.24,0.33,0.45,0.37,0.27,0.38,0.50,0.64,0.18,0.55,0.51,0.81,0.66,0.29,0.79,0.88,0.80,0.50,0.69,0.63,1.07,2.28,1.71,0.37,1.73,1.46,1.82,2.53,1.94,1.00,1.72,2.48,1.16,3.38,2.57,2.38,3.10
26,EPS Diluted,0.24,0.33,0.45,0.37,0.27,0.38,0.50,0.64,0.18,0.55,0.51,0.81,0.66,0.29,0.78,0.87,0.79,0.49,0.68,0.61,1.05,2.23,1.68,0.36,1.70,1.43,1.79,2.48,1.89,0.97,1.69,2.42,1.13,3.29,2.52,2.36,3.07
27,Weighted Average Shares Outstanding,55416667,56842105,57653631,57414966,57614679,55163399,55400000,55843137,56338028,56144000,56236000,56456000,56400000,54884000,55232000,55656000,55924000,56190000,56490000,56858000,57468000,58793000,59914000,51045000,48325000,48599000,48991000,49571000,49893000,50006000,50274000,50136000,50370000,50591000,50920000,52039000,52039000
28,Weighted Average Shares Outstanding Diluted,55416667,56842105,57653631,57414966,57614679,55163399,55400000,55843137,56338028,56144000,56352201,56456000,56530612,55376000,55912000,56412000,56660000,57202000,57390000,57818000,58476000,60065000,60991000,51836000,49117000,49608000,49866000,50618000,51136000,51255000,51393000,51270000,51619000,51975000,51983000,52520000,52520000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000095013196000666/0000950131-96-000666-index.html,https://www.sec.gov/Archives/edgar/data/39368/000095010997001762/0000950109-97-001762-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000104596902000336/0001045969-02-000336-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000119312505037453/0001193125-05-037453-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312506031637/0001193125-06-031637-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312507033125/0001193125-07-033125-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312508015595/0001193125-08-015595-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312509012966/0001193125-09-012966-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312510010656/0001193125-10-010656-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312511010956/0001193125-11-010956-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312512026988/0001193125-12-026988-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312513028025/0001193125-13-028025-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312514020505/0001193125-14-020505-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312515023748/0001193125-15-023748-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774916024185/0001437749-16-024185-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774917001382/0001437749-17-001382-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774918001406/0001437749-18-001406-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774919001433/0001437749-19-001433-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774920001155/0001437749-20-001155-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774921001261/0001437749-21-001261-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774922001550/0001437749-22-001550-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11300000,14200000,19900000,18000000,10400000,14000000,15200000,29100000,17400000,9800000,9100000,3500000,2700000,4600000,5800000,10500000,11500000,3666000,3300000,67000000,157600000,255400000,246400000,80400000,100200000,133300000,156100000,200400000,155121000,77600000,119168000,142245000,194398000,150793000,112191000,100534000,61786000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11300000,14200000,19900000,18000000,10400000,14000000,15200000,29100000,17400000,9800000,9100000,3500000,2700000,4600000,5800000,10500000,11500000,3666000,3300000,67000000,157600000,255400000,246400000,80400000,100200000,133300000,156100000,200400000,155121000,77600000,119168000,142245000,194398000,150793000,112191000,100534000,61786000
34,Net Receivables,66800000,77600000,83100000,102900000,103000000,110700000,122900000,133900000,139300000,176300000,186600000,192700000,205600000,242900000,244700000,220800000,211600000,212342000,251000000,279900000,248800000,246400000,221000000,215300000,214400000,232400000,257100000,333300000,351853000,356400000,395755000,351130000,498004000,495008000,519439000,533582000,643519000
35,Inventory,53500000,60600000,72400000,89500000,93500000,106600000,106900000,116200000,123800000,152700000,159000000,151200000,150700000,158600000,148600000,153800000,141200000,143012000,146600000,159100000,143000000,128600000,137600000,143200000,116900000,121600000,136000000,208500000,221537000,251300000,248504000,247399000,372102000,348461000,337267000,323213000,448404000
36,Other Current Assets,5900000,5700000,6300000,7600000,8900000,11000000,14600000,20000000,15400000,22600000,32900000,40800000,50200000,51800000,41000000,50000000,39600000,49854000,47600000,47700000,33000000,38700000,31000000,40200000,42200000,46300000,47400000,57100000,66183000,79800000,37624000,70479000,93085000,95657000,64465000,62447000,67461000
37,Total Current Assets,137500000,158100000,181700000,218000000,215800000,242300000,259600000,299200000,295900000,361400000,387600000,388200000,409200000,457900000,440100000,435100000,403900000,408874000,448500000,553700000,582400000,669100000,636000000,479100000,473700000,533600000,596600000,799300000,794694000,765100000,801051000,811253000,1157589000,1089919000,1033362000,1019776000,1221170000
38,PP&E,97200000,109000000,126900000,161600000,186600000,202300000,207400000,223200000,232500000,295100000,355100000,391200000,398600000,414500000,412500000,394700000,371100000,354964000,348700000,349100000,298900000,298000000,277800000,252800000,253300000,251100000,255900000,329000000,434387000,502600000,512860000,515275000,670194000,636549000,629813000,699189000,728111000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33900000,68400000,70400000,66500000,62000000,- -,79400000,95500000,80800000,195200000,184700000,88800000,103700000,109000000,114900000,254300000,263103000,256000000,354204000,366248000,1336684000,1305171000,1281808000,1312003000,1298845000
40,Intangible Assets,1300000,1700000,2500000,6300000,27100000,30000000,24900000,18500000,20600000,58500000,55100000,51400000,13800000,34700000,28300000,25200000,21700000,91145000,16900000,21100000,17200000,172400000,159500000,147800000,141200000,131500000,126700000,233400000,219401000,195900000,212993000,205359000,1001792000,908151000,799399000,755968000,687075000
41,Intangible Assets,1300000,1700000,2500000,6300000,27100000,30000000,24900000,18500000,20600000,58500000,55100000,51400000,47700000,103100000,98700000,91700000,83700000,91145000,96300000,116600000,98000000,367600000,344200000,236600000,244900000,240500000,241600000,487700000,482504000,451900000,567197000,571607000,2338476000,2213322000,2081207000,2067971000,1985920000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,52900000,67600000,75100000,52500000,52300000,52300000,55000000,58600000,60500000,40700000,50100000,50840000,- -,59233000,- -,53696000,64538000,60584000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,26200000,18300000,9300000,15000000,6700000,5300000,7600000,8700000,23800000,28465000,16700000,24477000,- -,280515000,- -,29037000,37376000,37116000
44,Other Non-Current Assets,17600000,22400000,18500000,48400000,25700000,15000000,17000000,20300000,15500000,27600000,31100000,38500000,62100000,70700000,74300000,88900000,107500000,106456000,42000000,36900000,42400000,59400000,39100000,53800000,70900000,65700000,66300000,86000000,92278000,82600000,85827000,157733000,-132764000,236524000,158619000,147854000,241629000
45,Total Non-Current Assets,116100000,133100000,147900000,216300000,239400000,247300000,249300000,262000000,268600000,381200000,441300000,481100000,508400000,588300000,585500000,575300000,562300000,552565000,559100000,581700000,525200000,809400000,728600000,602200000,626700000,619900000,631100000,987000000,1078334000,1103900000,1241201000,1244615000,3215654000,3086395000,2952372000,3016928000,3053360000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,253600000,291200000,329600000,434300000,455200000,489600000,508900000,561200000,564500000,742600000,828900000,869300000,917600000,1046200000,1025600000,1010400000,966200000,961439000,1007600000,1135400000,1107600000,1478500000,1364600000,1081300000,1100400000,1153500000,1227700000,1786300000,1873028000,1869000000,2042252000,2055868000,4373243000,4176314000,3985734000,4036704000,4274530000
48,Accounts Payable,- -,- -,- -,- -,55600000,67800000,72600000,86600000,88400000,105800000,117400000,118200000,121900000,129700000,132300000,126700000,114200000,113297000,117000000,164800000,135300000,172800000,156200000,132900000,109200000,102100000,116400000,163100000,201575000,174500000,177864000,162964000,268467000,273378000,298869000,316460000,500321000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59500000,59100000,39700000,59300000,40100000,34500000,27600000,21382000,12876000,36235000,34837000,34746000,35608000,36134000,51315000,49743000,52685000,45113000,20589000,27149000,53257000,117512000,52983000,105995000,80732000,25631000,33904000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6261000,4931000,19144000,37060000,26879000,30388000,25879000,22112000,33088000,29170000,38260000,46066000,30223000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68000000,83800000,95100000,113900000,64500000,78400000,78200000,81800000,87500000,125900000,68700000,69300000,75900000,96200000,93500000,65500000,62400000,80167000,70124000,92365000,91763000,134854000,105992000,60966000,75485000,79457000,85915000,141887000,138614000,115551000,118404000,111368000,183463000,166750000,162556000,188041000,202625000
53,Total Current Liabilities,68000000,83800000,95100000,113900000,120100000,146200000,150800000,168400000,175900000,231700000,245600000,246600000,237500000,285200000,265900000,226700000,204200000,214846000,200000000,293400000,261900000,342400000,297800000,230000000,236000000,231300000,255000000,350100000,360778000,317200000,349525000,391844000,504913000,546123000,542157000,530132000,736850000
54,Long-Term Debt,44200000,37200000,33000000,98500000,101000000,88200000,71800000,53500000,60300000,130000000,166500000,172800000,230000000,300100000,263700000,250500000,203000000,161763000,161000000,138100000,112000000,224000000,137000000,204000000,162700000,201000000,179600000,475100000,472315000,547700000,669606000,585759000,2398927000,2141532000,1898384000,1776483000,1615540000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7400000,8900000,11500000,12000000,13400000,12200000,16400000,19000000,2100000,7300000,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10088000,18089000,179401000
57,Other Non-Current Liabilities,20900000,25800000,28600000,31000000,28600000,40000000,45200000,59600000,71600000,92600000,107800000,112400000,111000000,119500000,119600000,128500000,124900000,121925000,137300000,150800000,149200000,134300000,130800000,111700000,110400000,89200000,87900000,182800000,109474000,114100000,150201000,140389000,417979000,335849000,312316000,330138000,145379000
58,Total Non-Current Liabilities,72500000,71900000,73100000,141500000,143000000,140400000,133400000,132100000,134000000,229900000,278200000,285200000,341000000,419600000,383300000,379000000,327900000,283688000,298300000,288900000,261200000,358300000,267800000,315700000,273100000,290200000,267500000,657900000,581789000,661800000,819807000,726148000,2816906000,2477381000,2220788000,2124710000,1940320000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28204000,32982000
61,Total Liabilities,140500000,155700000,168200000,255400000,263100000,286600000,284200000,300500000,309900000,461600000,523800000,531800000,578500000,704800000,649200000,605700000,532100000,498534000,498300000,582300000,523100000,700700000,565600000,545700000,509100000,521500000,522500000,1008000000,942567000,979000000,1169332000,1117992000,3321819000,3023504000,2762945000,2654842000,2677170000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,14000000,14000000,14100000,28300000,28362000,28400000,28600000,29200000,59900000,57400000,48400000,48700000,49200000,49500000,49900000,50229000,50300000,50074000,50141000,50389000,50733000,51241000,51907000,52778000
64,Retained Earnings,99400000,115000000,137000000,153100000,160600000,168100000,189700000,561200000,215100000,236600000,256500000,292800000,305000000,309300000,341400000,377800000,396000000,411818000,437600000,459700000,507200000,597100000,683700000,518900000,589500000,646600000,721000000,830000000,907308000,933800000,994608000,1090900000,1127028000,1286289000,1384411000,1474406000,1600601000
65,Other Comprehensive Income/Loss,-54900000,-66800000,-78500000,-93400000,-107300000,-127800000,-144100000,-171700000,-177400000,-218800000,-253100000,-273000000,-10000000,-26600000,-26800000,-48600000,-56800000,-31515000,2004000,18770000,-12904000,25482000,40502000,-37054000,-59064000,-86557000,-89005000,-139626000,-71962000,-147352000,-227284000,-262729000,-200655000,-280152000,-343600000,-302859000,-270247000
66,Other Total Stockholders Equity,68600000,87300000,102900000,119200000,138800000,162700000,179100000,- -,216900000,263200000,301700000,317700000,30300000,44700000,47800000,61400000,66500000,39665000,41334000,45989000,60947000,95310000,17391000,5365000,12218000,22691000,23709000,37999000,44490000,53299000,55522000,59564000,66865000,94897000,130295000,157867000,213637000
67,Total Stockholders Equity,113100000,135500000,161400000,178900000,192100000,203000000,224700000,260700000,254600000,281000000,305100000,337500000,339100000,341400000,376400000,404700000,434000000,448330000,509338000,553059000,584443000,777792000,798993000,535611000,591354000,631934000,705204000,778273000,930065000,890047000,872920000,937876000,1043627000,1151767000,1222347000,1381321000,1596769000
68,Total Liabilities And Stockholders Equity,253600000,291200000,329600000,434300000,455200000,489600000,508900000,561200000,564500000,742600000,828900000,869300000,917600000,1046200000,1025600000,1010400000,966100000,946864000,1007638000,1135359000,1107543000,1478492000,1364593000,1081311000,1100454000,1153434000,1227704000,1786273000,1872632000,1869047000,2042252000,2055868000,4365446000,4175271000,3985292000,4036163000,4273939000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,14575000,-38000,41000,57000,8000,7000,-11000,-54000,66000,-4000,27000,396000,-47000,- -,- -,7797000,1043000,442000,541000,591000
70,Total Liabilities & Equity,253600000,291200000,329600000,434300000,455200000,489600000,508900000,561200000,564500000,742600000,828900000,869300000,917600000,1046200000,1025600000,1010400000,966200000,961439000,1007600000,1135400000,1107600000,1478500000,1364600000,1081300000,1100400000,1153500000,1227700000,1786300000,1873028000,1869000000,2042252000,2055868000,4373243000,4176314000,3985734000,4036704000,4274530000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000095013196000666/0000950131-96-000666-index.html,https://www.sec.gov/Archives/edgar/data/39368/000095010997001762/0000950109-97-001762-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000104596902000336/0001045969-02-000336-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000119312505037453/0001193125-05-037453-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312506031637/0001193125-06-031637-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312507033125/0001193125-07-033125-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312508015595/0001193125-08-015595-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312509012966/0001193125-09-012966-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312510010656/0001193125-10-010656-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312511010956/0001193125-11-010956-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312512026988/0001193125-12-026988-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312513028025/0001193125-13-028025-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312514020505/0001193125-14-020505-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312515023748/0001193125-15-023748-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774916024185/0001437749-16-024185-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774917001382/0001437749-17-001382-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774918001406/0001437749-18-001406-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774919001433/0001437749-19-001433-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774920001155/0001437749-20-001155-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774921001261/0001437749-21-001261-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774922001550/0001437749-22-001550-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,15700000,21100000,27700000,35600000,10000000,30900000,28700000,45400000,36900000,16000000,43400000,49200000,44400000,28176000,38600000,35600000,61600000,134200000,102200000,18900000,83700000,70900000,89100000,125600000,96761000,49800000,86680000,121663000,59418000,171208000,130817000,123719000,161393000
74,Depreciation and Amortization,- -,- -,- -,- -,23900000,27600000,28700000,31600000,29700000,33400000,41200000,47000000,46800000,49500000,50800000,52165000,54401000,57544000,54136000,56030000,55475000,48455000,50358000,46172000,46747000,41200000,41216000,57416000,61657000,70494000,75289000,77684000,87315000,145126000,141206000,138817000,143174000
75,Deferred Income Tax,- -,- -,- -,- -,1400000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-217000,42000,11241000,-4752000,-8676000,3563000,-28318000,33994000,9343000,5405000,-16820000,9648000,4154000,6645000,5344000,-20936000,-47446000,-29028000,-24730000,16192000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5668000,6405000,7741000,9728000,12317000,13376000,14156000,13344000,17503000,17113000,24003000,16914000,22366000
77,Change in Working Capital,- -,- -,- -,- -,-4400000,400000,12700000,22000000,-10800000,9700000,12300000,-400000,30100000,1000000,1500000,34200000,-8700000,-5672000,54472000,11800000,60200000,6200000,11500000,-89100000,-11400000,64600000,39300000,107600000,-15284000,13984000,3626000,-32117000,233267000,-108880000,-52591000,-1561000,-5324000
