,https://roic.ai/company/ENZ,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,53000000,50300000,43800000,29800000,7200000,600000,800000,700000,4200000,11100000,17800000,25300000,33500000,43200000,51027000,58671000,67135000,78421700,71740600,83694500,69854000,105149000,78322000,50235000,33566000,24161000,15076000,9007000,17455000,18109000,67777000,64167000,60041000,60146000,47865000,43502000
34,Net Receivables,600000,1600000,1800000,4800000,5800000,6700000,6400000,5000000,15800000,10900000,10500000,17000000,19100000,15000000,20211200,24559000,20267500,17266400,18701300,13420500,12378000,14353000,15348000,12480000,13006000,15245000,14135000,12288000,12470000,18759000,14592000,15180000,13147000,10738000,9141000,10198000
35,Inventory,1400000,700000,900000,1100000,2100000,1500000,1600000,1700000,2100000,2200000,1800000,1600000,1400000,1400000,1798900,2019800,4190200,3421800,3434300,2876100,2401000,7022000,9514000,9264000,8882000,9260000,8800000,8805000,8690000,7396000,6971000,7047000,7278000,7842000,7784000,12652000
36,Other Current Assets,1400000,2200000,400000,1000000,1100000,900000,600000,500000,3600000,6100000,5800000,1700000,1400000,2100000,4079600,3191000,4237100,3789000,3807300,4808800,1465000,1767000,2496000,2482000,2284000,2733000,2357000,2456000,2121000,2222000,2057000,2690000,2734000,2727000,3975000,4230000
37,Total Current Assets,56400000,54800000,46900000,36700000,16200000,9700000,9400000,7900000,25700000,30300000,35900000,45600000,55400000,61700000,77116700,88440800,95829800,102898900,97683500,104799900,86098000,128291000,105680000,74461000,57738000,51399000,40368000,32556000,40736000,46486000,91397000,89084000,83200000,81453000,68765000,70582000
38,PP&E,4600000,6100000,7300000,11500000,19200000,23200000,23700000,23200000,23600000,13900000,3100000,2900000,2600000,2800000,2800600,2670600,2301100,2199800,2414600,2669500,5848000,6621000,9053000,11323000,11858000,10335000,9116000,8617000,7730000,7948000,8214000,7901000,7636000,14254000,34398000,33605000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7822700,7452000,3166200,- -,- -,7452000,13676000,21321000,24896000,24943000,27373000,7452000,7452000,7452000,7452000,7452000,7452000,7452000,7452000,7452000,7452000
40,Intangible Assets,1600000,1500000,1600000,12600000,14900000,15000000,11600000,11200000,10400000,10000000,9700000,9300000,8900000,8600000,8193200,3865200,3562300,7452000,7452000,8784800,1257000,9338000,17656000,22009000,20368000,19985000,11780000,9943000,8108000,6155000,4422000,2895000,1886000,1032000,538000,244000
41,Intangible Assets,1600000,1500000,1600000,12600000,14900000,15000000,11600000,11200000,10400000,10000000,9700000,9300000,8900000,8600000,8193200,11687900,11014300,10618200,7452000,8784800,8709000,23014000,38977000,46905000,45311000,47358000,19232000,17395000,15560000,13607000,11874000,10347000,9338000,8484000,7990000,7696000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,12700000,13300000,14100000,13800000,16200000,1400000,5100000,5300000,5300000,18300000,14100000,9600000,5300000,5800000,4174700,131800,146200,161000,2784100,211600,869000,1076000,812000,439000,338000,382000,407000,390000,385000,353000,336000,333000,1486000,2449000,1385000,1808000
45,Total Non-Current Assets,18900000,20900000,23000000,37900000,50300000,39600000,40400000,39700000,39300000,42200000,26900000,21800000,16800000,17200000,15168500,14490300,13461600,12979000,12650700,11665900,15426000,30711000,48842000,58667000,57507000,58075000,28755000,26402000,23675000,21908000,20424000,18581000,18460000,25187000,43773000,43109000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,75300000,75700000,69900000,74600000,66500000,49300000,49800000,47600000,65000000,72500000,62800000,67400000,72200000,78900000,92285200,102931100,109291400,115877900,110334200,116465800,101524000,159002000,154522000,133128000,115245000,109474000,69123000,58958000,64411000,68394000,111821000,107665000,101660000,106640000,112538000,113691000
48,Accounts Payable,- -,- -,- -,600000,800000,2500000,2500000,1100000,4400000,2700000,1300000,1100000,1400000,1200000,1470500,2039500,1512300,1321000,2092300,2413600,1304000,4111000,4299000,4242000,6455000,7858000,9020000,8481000,8245000,8762000,9857000,10350000,9516000,7256000,8503000,8123000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3595000,3403000,3013000,1557000,- -,- -,- -,11465000,3652000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359400,- -,770000,1089000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2526000,2675000
52,Other Current Liabilities,2000000,2700000,2200000,4900000,4800000,40900000,9600000,9200000,4200000,3000000,5100000,1200000,1000000,1200000,2153800,1307700,1350300,3854900,3331900,5016100,4633000,9560000,7900000,9701000,9102000,9871000,9936000,11776000,13317000,12183000,9154000,7460000,10670000,8753000,10307000,11626000
53,Total Current Liabilities,2000000,2700000,2200000,5500000,5600000,43400000,12100000,10300000,8600000,5800000,6500000,2400000,2400000,2400000,3624300,3347200,2862600,5175900,5424200,7789100,5937000,14441000,13288000,13943000,15557000,17729000,18956000,23852000,24965000,23958000,20568000,17810000,20186000,16009000,32801000,26076000
54,Long-Term Debt,48200000,49200000,48300000,49200000,45800000,4500000,4200000,4200000,4300000,4700000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269000,369000,363000,105000,22000,2000,4179000,21325000,19024000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,400000,100000,100000,100000,100000,100000,200000,200000,200000,- -,- -,- -,- -,- -,688900,1391900,1180900,1234800,444200,260000,- -,1729000,2433000,2366000,2582000,2934000,938000,200000,183000,37000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,4700000,2300000,200000,300000,600000,700000,900000,900000,1000000,1000000,900000,795700,675000,514700,87000,300000,150000,- -,938000,512000,- -,90000,96000,128000,505000,1944000,1430000,1594000,961000,351000,424000,31000,5000
58,Total Non-Current Liabilities,48700000,49300000,48400000,54000000,48200000,4800000,4700000,5000000,5200000,5600000,1000000,1000000,1000000,900000,1484600,2066900,1695600,1321800,744200,410000,- -,2667000,2945000,2404000,2672000,3030000,1066000,974000,2496000,1830000,1699000,983000,353000,4603000,21356000,19029000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,654000,585000,210000,794000,551000,351000,424000,21161000,18168000
61,Total Liabilities,50700000,52000000,50600000,59500000,53800000,48200000,16800000,15300000,13800000,11400000,7500000,3400000,3400000,3300000,5108900,5414100,4558200,6497700,6168400,8199100,5937000,17108000,16233000,16347000,18229000,20759000,20022000,24826000,27461000,25788000,22267000,18793000,20539000,20612000,54157000,45105000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,255800,270700,284600,299800,308600,325300,328000,372000,380000,386000,388000,390000,395000,406000,443000,461000,463000,465000,472000,476000,479000,485000
64,Retained Earnings,4400000,2800000,-300000,-4400000,-6900000,-18500000,-19100000,-26000000,-20700000,-20700000,-28400000,-27000000,-23600000,-17100000,-10429100,-35889800,-56051200,-89916400,-96148000,-116577400,-132244000,-145504000,-156157000,-179721000,-201954000,-214914000,-254183000,-272420000,-282397000,-284682000,-239396000,-241900000,-252221000,-249732000,-278252000,-270377000
65,Other Comprehensive Income/Loss,-800000,-1000000,-1200000,-1500000,-1900000,-2400000,-3100000,-3100000,-3200000,-3900000,-4700000,-5400000,-6000000,-6600000,-7329400,-5176300,-5972700,-85000,-245900,-130600,-8247000,42000,1586000,276000,875000,3793000,1605000,1858000,1744000,1861000,2199000,2013000,2100000,2580000,1681000,1352000
66,Other Total Stockholders Equity,21000000,21900000,20800000,21000000,21500000,22000000,55200000,61400000,75100000,85700000,88400000,96400000,98400000,99100000,104679000,138312400,166472500,199081800,200251100,224649400,235750000,286984000,292480000,295840000,297707000,299446000,301284000,304288000,317160000,324966000,326288000,328294000,330770000,332704000,334473000,337126000
67,Total Stockholders Equity,24600000,23700000,19300000,15100000,12700000,1100000,33000000,32300000,51200000,61100000,55300000,64000000,68800000,75600000,87176300,97517000,104733200,109380200,104165800,108266700,95587000,141894000,138289000,116781000,97016000,88715000,49101000,34132000,36950000,42606000,89554000,88872000,81121000,86028000,58381000,68586000
68,Total Liabilities And Stockholders Equity,75300000,75700000,69900000,74600000,66500000,49300000,49800000,47600000,65000000,72500000,62800000,67400000,72200000,78900000,92285200,102931100,109291400,115877900,110334200,116465800,101524000,159002000,154522000,133128000,115245000,109474000,69123000,58958000,64411000,68394000,111821000,107665000,101660000,106640000,112538000,113691000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,75300000,75700000,69900000,74600000,66500000,49300000,49800000,47600000,65000000,72500000,62800000,67400000,72200000,78900000,92285200,102931100,109291400,115877900,110334200,116465800,101524000,159002000,154522000,133128000,115245000,109474000,69123000,58958000,64411000,68394000,111821000,107665000,101660000,106640000,112538000,113691000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316253/000091205795009076/0000912057-95-009076-index.html,https://www.sec.gov/Archives/edgar/data/316253/000091205796024014/0000912057-96-024014-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316253/000112528200000158/0001125282-00-000158-index.html,https://www.sec.gov/Archives/edgar/data/316253/000112528201502349/0001125282-01-502349-index.html,https://www.sec.gov/Archives/edgar/data/316253/000112528202003143/0001125282-02-003143-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316253/000093041307007918/0000930413-07-007918-index.html,https://www.sec.gov/Archives/edgar/data/316253/000093041308005993/0000930413-08-005993-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041309005184/0000930413-09-005184-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041310005072/0000930413-10-005072-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041311006671/0000930413-11-006671-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041312005743/0000930413-12-005743-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041313004942/0000930413-13-004942-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041314004315/0000930413-14-004315-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041315003965/0000930413-15-003965-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041316008464/0000930413-16-008464-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041317003368/0000930413-17-003368-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041318003072/0000930413-18-003072-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041319002691/0000930413-19-002691-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000121390020032066/0001213900-20-032066-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000121390021052364/0001213900-21-052364-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-4100000,-4100000,-10800000,-600000,-6900000,5300000,5600000,-7700000,1500000,3400000,6500000,6624700,6812800,6922800,3844000,-6231600,3004000,-15667000,-13260000,-10653000,-23564000,-22233000,-12960000,-39269000,-18237000,-9977000,-2285000,45286000,-2504000,-10321000,2489000,-28520000,7875000
74,Depreciation and Amortization,- -,- -,- -,300000,500000,1200000,700000,1500000,1500000,1800000,1800000,1800000,1900000,1900000,1925000,2252300,2154200,1808000,2361500,2332100,1124000,1189000,2146000,3462000,4269000,4469000,4477000,4605000,3971000,3789000,3840000,3598000,3130000,3036000,2780000,2653000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,100000,- -,-3000000,2800000,- -,- -,-1000000,-1600000,255400,2003000,720000,-128100,-1650700,890900,640000,-178000,-644000,- -,-45000,17000,-1762000,-759000,-18000,-104000,-60000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1435000,1170000,1739000,1368000,1188000,1230000,1091000,1234000,1555000,1642000,1794000,1769000,1638000
77,Change in Working Capital,- -,- -,- -,-3200000,-20600000,-44300000,31000000,300000,19500000,7400000,4900000,13800000,9800000,6300000,14192400,11601200,7873600,4755800,-5463700,4751500,-16849800,33689000,-21458000,-31874000,-18337000,-8511000,-12258000,-12708000,7067000,6757000,48301000,445000,-8260000,2430000,-29480000,8542000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1409000,-3844000,-6537000,-4210000,-2606000,-3224000,-2003000,-4791000,-3244000,-1775000,2404000,1617000,-1110000
79,Inventory,- -,- -,- -,-100000,-300000,-100000,-100000,-100000,-400000,-100000,400000,300000,200000,- -,-372200,-220900,-2170400,768400,-12500,558200,-120000,533000,1012000,2269000,-663000,-178000,199000,60000,159000,1151000,466000,92000,-413000,-572000,85000,-4937000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-571000,2348000,1462000,1031000,-514000,-226000,394000,1103000,515000,-887000,-2508000,1214000,-395000
81,Other Working Capital,- -,- -,- -,31200000,10600000,-33700000,-2700000,-2400000,17100000,24500000,29400000,43200000,53000000,59300000,73492400,85093600,92967200,97723000,92259300,97010800,80161000,113850000,92392000,60518000,42181000,33670000,21412000,8704000,15771000,22528000,70829000,71274000,63014000,65444000,35964000,44506000
