,https://roic.ai/company/GVA,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,15100000,15900000,24300000,24600000,25600000,27800000,28300000,31540000,31262000,40011000,44297000,44135000,37325000,22324000,17945000,18261000,27220000,10774000,4034000,8163000,7793000,20446000,- -,5441000,1361000,4317000,- -,3155000,1856000
57,Other Non-Current Liabilities,- -,- -,- -,100000,100000,200000,- -,- -,-100000,- -,- -,- -,6370000,10026000,13742000,24938000,40641000,46556000,58419000,46441000,43604000,48998000,47996000,49221000,47124000,48580000,44495000,46613000,45989000,44085000,61689000,63136000,64684000,64071000
58,Total Non-Current Liabilities,44300000,39700000,19100000,14900000,38700000,43900000,33100000,63800000,68100000,84000000,96900000,93200000,101801000,172679000,186133000,195943000,233279000,208296000,159319000,332803000,312552000,320906000,301121000,271668000,326357000,333241000,340562000,291694000,280928000,223899000,401125000,71380000,445130000,430046000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589941000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58618000,46769000,32928000
61,Total Liabilities,131800000,154300000,124400000,119300000,147300000,155100000,166400000,244900000,239400000,294400000,325300000,351900000,333378000,511182000,513632000,544647000,702690000,817443000,922762000,1062748000,939173000,827019000,739898000,720136000,857629000,830811000,803388000,757739000,810862000,879173000,1078967000,1360617000,1388386000,1499364000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,272000,411000,413000,415000,416000,417000,418000,395000,383000,386000,387000,387000,387000,389000,392000,394000,396000,399000,467000,456000,457000,458000
64,Retained Earnings,90400000,104600000,121700000,137000000,139000000,138900000,156000000,180300000,201700000,223500000,262500000,285800000,330172000,367546000,398383000,442272000,482635000,549101000,612875000,619699000,682237000,735632000,656412000,687296000,712144000,655102000,659816000,699431000,735626000,783699000,787356000,594353000,424835000,410831000
65,Other Comprehensive Income/Loss,-134300000,-146300000,-161600000,-180400000,-200400000,-216700000,-231500000,-251900000,-278400000,-300900000,-328800000,-360400000,-390442000,-423503000,-13317000,-11447000,-9343000,-8577000,2631000,1098000,-146000,- -,-727573000,-722688000,-734820000,-773121000,-793451000,-2000000,-371000,634000,-749000,-2645000,-5035000,-3359000
66,Other Total Stockholders Equity,115500000,130800000,173500000,199100000,222500000,242100000,258200000,281500000,310300000,334800000,367600000,402000000,437762000,474048000,69390000,73651000,76766000,80619000,78620000,79007000,85035000,94633000,831805000,834202000,852242000,899570000,927628000,141412000,150337000,160376000,564559000,549307000,555407000,559752000
67,Total Stockholders Equity,71600000,89100000,133600000,155700000,161100000,164300000,182700000,209900000,233600000,257400000,301300000,327700000,377764000,418502000,454869000,504891000,550474000,621560000,694544000,700199000,767509000,830651000,761031000,799197000,829953000,781940000,794385000,839237000,885988000,945108000,1351633000,1141471000,975664000,967682000
68,Total Liabilities And Stockholders Equity,203400000,243400000,258000000,275000000,308400000,319400000,349100000,454800000,473000000,551800000,626600000,679600000,711142000,929684000,968501000,1049538000,1253164000,1439003000,1617306000,1762947000,1706682000,1657670000,1500929000,1519333000,1687582000,1612751000,1597773000,1596976000,1696850000,1824281000,2430600000,2502088000,2364050000,2467046000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15318000,10872000,24790000,33227000,15532000,23471000,36773000,51905000,34604000,28466000,41905000,4404000,22721000,30884000,36603000,47697000,46001000,-290772000,15946000,27881000
70,Total Liabilities & Equity,203400000,243400000,258000000,275000000,308400000,319400000,349100000,454800000,473000000,551800000,626600000,679600000,711142000,929684000,983819000,1060410000,1277954000,1472230000,1632838000,1786418000,1743455000,1709575000,1535533000,1547799000,1729487000,1617155000,1620494000,1627860000,1733453000,1871978000,2476601000,2211316000,2379996000,2494927000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/861459/000095014901000410/0000950149-01-000410-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/861459/000095014904000640/f96065e10vk.htm,https://www.sec.gov/Archives/edgar/data/861459/000095013405004180/f04753e10vk.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145906000005/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145907000007/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145908000003/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145909000005/0000861459-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145910000002/0000861459-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145911000014/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145912000006/0000861459-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145913000005/0000861459-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145914000007/gva1231201310k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145915000007/gva1231201410k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145916000040/0000861459-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145917000012/0000861459-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145918000008/0000861459-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/861459/000156459019003791/0001564590-19-003791-index.html,https://www.sec.gov/Archives/edgar/data/861459/000143774921003662/0001437749-21-003662-index.htm,https://www.sec.gov/Archives/edgar/data/861459/000143774921007679/0001437749-21-007679-index.htm,https://www.sec.gov/Archives/edgar/data/861459/000143774922004482/0001437749-22-004482-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,15000000,14200000,18800000,17600000,3900000,4500000,19500000,28500000,27300000,27800000,46500000,52900000,55815000,50528000,49279000,60504000,57007000,83150000,80509000,112065000,122404000,73500000,-58983000,51161000,45283000,-36423000,25346000,60485000,57122000,69098000,42410000,53741000,-145117000,10096000
74,Depreciation and Amortization,17300000,19400000,22800000,25200000,26000000,25400000,25700000,32500000,37800000,38200000,38100000,42400000,50525000,54990000,64466000,71644000,68470000,71758000,69180000,82157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123418000,112958000,- -
75,Deferred Income Tax,- -,-2700000,-400000,1800000,-800000,-4400000,3400000,-5800000,4000000,700000,200000,1000000,2245000,5665000,-3311000,4089000,-5868000,-8839000,-29462000,-7822000,1190000,21107000,-39289000,- -,6013000,-19557000,14907000,28258000,9842000,-4824000,20010000,-22924000,8817000,16600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7463000,10765000,13040000,12155000,11475000,13443000,11160000,8763000,13383000,15764000,14784000,10213000,6377000,6407000
77,Change in Working Capital,- -,-4700000,17400000,2900000,-4100000,10900000,900000,11700000,15300000,11400000,38500000,1200000,36451000,68362000,-28017000,49551000,85980000,11874000,-48039000,77806000,78374000,24663000,-25526000,-13825000,29531000,-38152000,54719000,11825000,39881000,17746000,160743000,-202662000,-22895000,-43728000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100533000,- -,- -,- -,9415000,12236000,3549000,-32877000,-75756000,-60272000,-4584000,-58947000,6840000,- -
79,Inventory,- -,-500000,-900000,-100000,500000,-100000,-700000,1500000,-3300000,1200000,-500000,-100000,-2624000,-2999000,-1352000,106000,-1833000,-1450000,-8368000,-9913000,-10812000,6326000,-8214000,43000,-8558000,-2689000,-6446000,13367000,308000,-7252000,-2120000,380000,5136000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38956000,-43480000,-1871000,28960000,-9472000,-34048000,-12669000,8363000,37731000,36716000,-26732000,140027000,-40999000,- -
81,Other Working Capital,42200000,37500000,54900000,57800000,53700000,64600000,65500000,77200000,92500000,103900000,142400000,143600000,180051000,248413000,220396000,269947000,355927000,367801000,319762000,397568000,475942000,500605000,475079000,461254000,490785000,452633000,507352000,519177000,559058000,576804000,737547000,534885000,511990000,- -
82,Other Non-Cash Items,-32300000,11400000,-21700000,3200000,7300000,-3300000,-1300000,2000000,-26200000,-14300000,-27300000,2500000,-70190000,-54914000,21628000,-108199000,-56642000,-11442000,187455000,-29418000,47905000,-65734000,140076000,42854000,-512000,86069000,-62990000,-42353000,-47082000,48411000,-151557000,149652000,308320000,32556000
83,Cash Provided by Operating Activities,- -,37600000,36900000,50700000,32300000,33100000,48200000,68900000,58200000,63800000,96000000,100000000,74846000,124631000,104045000,77589000,148947000,146501000,259643000,234788000,257336000,64301000,29318000,92345000,91790000,5380000,43142000,66978000,73146000,146195000,86390000,111438000,268460000,21931000
84,CAPEX,- -,-20600000,-27400000,-29900000,-17600000,-17900000,-39100000,-36000000,-46100000,-48400000,-52500000,-82000000,-52454000,-65265000,-57415000,-62805000,-89636000,-102829000,-116238000,-118612000,-94135000,-87645000,-37004000,-45035000,-37622000,-43682000,-43428000,-44179000,-90970000,-67695000,-111101000,-106828000,-93253000,-94810000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11400000,-36034000,- -,- -,- -,- -,-76427000,10152000,-4969000,-1658000,1458000,-79640000,-8382000,- -,- -,- -,- -,-7215000,-6227000,- -,- -
