,https://roic.ai/company/ACOR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,4414812,3922686,3570000,1880000,2170000,9288000,15472000,16527000,18664000,21597000,21872000,30574000,- -
14,Depreciation and Amortization,- -,- -,3069749,1812006,1582557,-655002,445947,7692887,3950591,4625000,4663000,6999000,8473000,15012000,21582000,23234000,11479000,34573000,41298000,- -
15,EBITDA,- -,-62446000,-41671015,-33718241,-22436815,-38629469,-73894693,-71832772,-3896723,40213000,30811000,38032000,45770000,49853000,-3174000,-209987000,53499000,-217803000,-35795000,-109074000
16,EBITDA ratio,- -,-72.9509,-86.9060,-6.5529,-0.8203,-0.9783,-1.5450,-1.3138,-0.0204,0.1376,0.1008,0.1130,0.1140,0.1012,-0.0061,-0.3569,0.1135,-1.1320,-0.2340,-0.8451
17,Operating Income,- -,-62479000,-44766886,-34409515,-23466925,-39447351,-73439354,-81257242,-8429863,35054000,25602000,30365000,36391000,33990000,-35982000,-232814000,38486000,-311632000,-78076000,-79038000
18,Operating Income ratio,- -,-72.9895,-93.3626,-6.6873,-0.8580,-0.9990,-1.5355,-1.4862,-0.0441,0.1200,0.0837,0.0903,0.0906,0.0690,-0.0692,-0.3957,0.0816,-1.6196,-0.5104,-0.6124
19,Total Other Income Expenses (Gains),- -,-636000,2423,1026,75437,50753,8085,-2683000,-3340137,-3036000,-1334000,-1502000,-8382000,-14621000,-6286000,-19071000,-18063000,37384000,-29591000,-30036000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-11770000,32018000,24268000,28863000,28009000,19369000,-42268000,-251885000,20423000,-274248000,-107667000,-109074000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.0616,0.1096,0.0794,0.0858,0.0698,0.0393,-0.0813,-0.4282,0.0433,-1.4253,-0.7039,-0.8451
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1413000,-130690000,12422000,10337000,8311000,-6665000,-28526000,-13259000,-1282000,-8073000,-5120000
23,Net Income,- -,-62446000,-44740764,-35530247,-24019372,-37974467,-74340640,-83940471,-11770000,30605000,154958000,16441000,17672000,11058000,-34618000,-223359000,33682000,-272966000,-99594000,-103954000
24,Net Income ratio,- -,-72.9509,-93.3081,-6.9051,-0.8782,-0.9617,-1.5544,-1.5353,-0.0616,0.1047,0.5067,0.0489,0.0440,0.0224,-0.0666,-0.3797,0.0714,-1.4187,-0.6511,-0.8054
25,EPS,- -,-3085.49,-2110.56,-1771.62,-19.62,-8.70,-13.14,-13.32,-1.86,4.68,23.58,2.46,2.58,1.56,-4.56,-29.16,4.32,-34.50,-12.32,-12.86
26,EPS Diluted,- -,-3085.49,-2110.56,-1771.62,-19.62,-8.70,-13.14,-13.32,-1.86,4.56,23.04,2.34,2.52,1.50,-4.56,-29.16,4.26,-34.50,-12.32,-12.86
27,Weighted Average Shares Outstanding,- -,32166,32923,34080,3057596,4372805,5656507,6289179,6392512,6500013,6576513,6701346,6858347,7038347,7543181,7666515,7835015,7918682,8083999,8083999
28,Weighted Average Shares Outstanding Diluted,- -,32166,32923,34080,3057596,4372805,5656507,6289179,6392512,6677346,6722013,6947013,7090680,7270181,7543181,7666515,7890182,7918682,8083999,8083999
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1008848/000110465907022335/0001104659-07-022335-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746908002781/0001047469-08-002781-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746909002124/0001047469-09-002124-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746910001554/0001047469-10-001554-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884811000018/0001008848-11-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1008848/000100884813000011/0001008848-13-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1008848/000100884815000009/0001008848-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884816000076/0001008848-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459017002591/0001564590-17-002591-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459018003967/0001564590-18-003967-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459019004986/0001564590-19-004986-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459020007789/0001564590-20-007789-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459021013318/0001564590-21-013318-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459022010971/0001564590-22-010971-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8965000,11729112,11761299,18100908,16810415,29612916,47314412,34640716000,57954000,41876000,48037000,182170000,153204000,158537000,307068000,293564000,62085000,71369000,45634000
32,Short-Term Investments,- -,32250000,9396677,2001175,35655524,78310241,216435416,224778023,205388685000,237953000,191949000,225891000,125448000,200101000,- -,- -,151989000,63754000,- -,- -
33,Cash and Short-Term Investments,- -,41215000,21125789,13762474,53756432,95120656,246048332,272092435,240029401000,295907000,233825000,273928000,307618000,353305000,158537000,307068000,445553000,125839000,71369000,45634000
34,Net Receivables,- -,- -,2064653,744430,9389103,4265581,4622486,5739013,22271697000,22828000,26327000,30784000,32211000,31466000,52239000,81403000,23430000,22083000,20193000,17002000
35,Inventory,- -,- -,423200,6757445,6221089,7724334,6143641,6892513,36232098000,28382000,20957000,26172000,26837000,36476000,43135000,37501000,29014000,25221000,28677000,18548000
36,Other Current Assets,- -,- -,1325710,4199585,2866807,3923275,5233296,8556386,12635451000,13825000,51954000,36449000,42472000,30070000,18746000,15726000,30110000,27970000,101096000,- -
37,Total Current Assets,- -,- -,24939352,25463934,72233431,111033846,262047755,293280347,311168647000,360942000,333063000,367333000,409138000,451317000,272657000,441698000,528107000,201113000,221335000,81184000
38,PP&E,- -,- -,2547014,1707104,1222704,1651739,2348147,1891321,3202736,3858000,16706000,16525000,46090000,40204000,34310000,36669000,60519000,142527000,25744000,11133000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182952000,183636000,280599000,286611000,282059000,- -,- -,- -
40,Intangible Assets,- -,- -,3386050,5952261,10177592,13943888,16565456,17148631,21336259000,8769000,9319000,17459000,432822000,430856000,742242000,430603000,428570000,402329000,366981000,335980000
41,Intangible Assets,- -,- -,3386050,5952261,10177592,13943888,16565456,17148631,21336259000,8769000,9319000,17459000,615774000,614492000,1022841000,717214000,710629000,402329000,366981000,335980000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99363000,93299000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101636000,107985000,- -,2128000,4400000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,109234,788531,734318,676993,539328,7150319,3199533264,5919000,5245000,4526000,9677000,8202000,8127000,2388000,411000,53749000,18620000,- -
45,Total Non-Current Assets,- -,- -,6042298,8447896,12134614,16272620,19452931,26190271,24538995000,18546000,232269000,239794000,671541000,665026000,1069678000,756271000,771559000,598605000,411345000,347113000
46,Other Assets,- -,45960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721399000
47,Total Assets,- -,45960000,30981650,33911830,84368045,127306466,281500686,319470618,335707642000,379488000,565332000,607127000,1080679000,1116343000,1342335000,1197969000,1299666000,799718000,632680000,455470000
48,Accounts Payable,- -,- -,1929394,4133611,3315391,6675894,10124840,11613434,16961250000,21393000,24183000,17985000,20291000,17071000,29910000,31074000,49368000,26837000,12882000,10845000
49,Short-Term Debt,- -,324000,301938,1068414,1044167,187645,- -,- -,1144275,1144000,7505000,9043000,11840000,13468000,22983000,11375000,18997000,11560000,85190000,8186000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,6668491,16735704,20441136,21837557,24303520,40132394,6050001000,39656000,38332000,41147000,38477000,9057000,9057000,9057000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,6972128,13920144,14108924,10562663,20174853,21154491,71237172725,25150000,28851000,28468000,43775000,50996000,85951000,92454000,71891000,47988000,39180000,-10845000
53,Total Current Liabilities,- -,324000,15871951,35857873,38909618,39263759,54603213,72900319,94249568000,87343000,98871000,96643000,114383000,90592000,147901000,143960000,140256000,86385000,137252000,8186000
54,Long-Term Debt,- -,8091000,8566650,9914754,- -,6703235,6904883,7749527,34121869000,6260000,4244000,3228000,289883000,296576000,324030000,334475000,343140000,218269000,166174000,151025000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,101488004,6050001000,79640000,68685000,59628000,50570000,41513000,32456000,23398000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23885000,12146000,92807000,22459000,7483000,9581000,19116000,13930000
57,Other Non-Current Liabilities,- -,- -,67113754,104674881,26789708,17906824,12835245,- -,- -,1036000,7611000,7275000,61703000,72491000,80930000,153690000,196804000,174663000,72183000,131192000
58,Total Non-Current Liabilities,- -,8091000,75680404,114589635,26789708,24610059,19740128,109237531,40171870000,86936000,80540000,70131000,426041000,422726000,530223000,534022000,547427000,402513000,257473000,296147000
59,Other Liabilities,- -,53857000,- -,- -,- -,- -,- -,- -,288023746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6695254,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30742000,25144000,- -
61,Total Liabilities,- -,46090000,91552355,150447508,65699326,63873818,74343341,182137850,342101444000,174279000,179411000,166774000,540424000,513318000,678124000,677982000,687683000,488898000,394725000,304333000
62,Preferred Stock,- -,- -,6414,6414,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,198,209,23658,28575,37614,37935,38779000,39000,40000,41000,42000,43000,46000,46000,48000,48000,9000,13000
64,Retained Earnings,- -,- -,-172511684,-208041931,-232061303,-270035770,-344376410,-428316881,- -,-409481000,-254523000,-238082000,-220410000,-209352000,-243970000,-455108000,-393843000,-666809000,-766403000,-870357000
65,Other Comprehensive Income/Loss,- -,- -,-23036,-1560,13340,295793,812758,108613,-12579,66000,62000,37000,-74000,-119000,-12901000,6858000,2806000,-1169000,-2803000,-1017000
66,Other Total Stockholders Equity,- -,- -,111957403,91501190,250693024,333144050,550683383,565503101,112494171,- -,640342000,- -,760697000,812453000,921036000,968191000,1002972000,978750000,1007152000,151137000
67,Total Stockholders Equity,- -,-130000,-60570705,-116535678,18668719,63432648,207157345,137332768,151260592,205209000,385921000,440353000,540255000,603025000,664211000,519987000,611983000,310820000,237955000,151137000
68,Total Liabilities And Stockholders Equity,- -,45960000,30981650,33911830,84368045,127306466,281500686,319470618,342252704592,379488000,565332000,607127000,1080679000,1116343000,1342335000,1197969000,1299666000,799718000,632680000,455470000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-6545062592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,45960000,30981650,33911830,84368045,127306466,281500686,319470618,335707642000,379488000,565332000,607127000,1080679000,1116343000,1342335000,1197969000,1299666000,799718000,632680000,455470000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1008848/000110465907022335/0001104659-07-022335-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746908002781/0001047469-08-002781-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746909002124/0001047469-09-002124-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746910001554/0001047469-10-001554-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884811000018/0001008848-11-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1008848/000100884813000011/0001008848-13-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1008848/000100884815000009/0001008848-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884816000076/0001008848-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459017002591/0001564590-17-002591-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459018003967/0001564590-18-003967-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459019004986/0001564590-19-004986-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459020007789/0001564590-20-007789-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459021013318/0001564590-21-013318-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459022010971/0001564590-22-010971-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-25734302,-44740764,-35530247,-24019372,-37974467,-74340640,-83940471,-11770000,30605000,154958000,16441000,17672000,11058000,-34618000,-223359000,33682000,-272966000,-99594000,-103954000
74,Depreciation and Amortization,- -,-740201,3069749,1812006,1582557,-655002,445947,7692887,3950591,4625000,4663000,6999000,8473000,15012000,21582000,23234000,11479000,34573000,41298000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133042000,9520000,6681000,3975000,-11190000,-54044000,-14505000,-1978000,4667000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,12277929,17777242,19303000,21418000,25139000,29437000,33467000,36386000,32814000,21252000,14250000,8100000,- -
77,Change in Working Capital,- -,-1288298,-59299009,9391401,-19461340,43717752,38446274,135674455,12935486,216698698972,-216645480000,-39407000,36498000,24065000,65970000,-235969000,172982000,90113000,-273123000,-11085000
78,Accounts Receivable,- -,-213886,- -,- -,- -,- -,- -,-1116527,-16532684,-556000,-3499000,-4457000,-1427000,744000,-19965000,-29112000,57972000,1347000,1890000,- -
79,Inventory,- -,- -,-423200,-3820236,536356,-1503245,2732629,-618664,-31525663,10036000,7427000,-5124000,-665000,-9639000,-6660000,5505000,8440000,3793000,-3456000,- -
80,Accounts Payable,- -,-200072,- -,- -,- -,- -,- -,- -,- -,- -,11743000,-5785000,13180000,-825000,37625000,-3571000,-3488000,-60564000,-8971000,- -
81,Other Working Capital,- -,58975009,-324000,9067401,-10393939,33323813,71770087,207444542,220380028,216919079000,273599000,234192000,270690000,294755000,360725000,124756000,297738000,387851000,114728000,72998000
82,Other Non-Cash Items,- -,3272851,74030995,4180086,18438277,-30765005,-13706853,-33070463,-42109323,-216686895972,216649602000,20593000,-23741000,-49096000,-42783000,553824000,-74097000,7841000,257646000,115039000
83,Cash Provided by Operating Activities,- -,-24489950,-26939029,-20146754,-23459878,-25676722,-49155272,38634337,-19216004,66336000,52119000,39285000,75020000,38481000,35347000,96500000,150793000,-128167000,-61006000,- -
84,CAPEX,- -,-747981,-531770,-199664,-527458,-11336068,-6806443,-2426924,-9444188,-5787000,-13578000,-14663000,-483934000,-7066000,-273539000,-14376000,-33915000,-90426000,-4390000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-18669923,-19179583,-11520820,-46293380,-147148940,-326034154,-310378132,-310954844,-266736000,-322455000,-221429000,-580381000,-434670000,-40215000,- -,-249107000,-226587000,- -,- -
87,Sales/Maturities of Investments,- -,9248922,40283788,18735000,12986000,107750000,191550000,296400000,325750000,227500000,264750000,191000000,770490000,356500000,239966000,- -,98273000,316508000,63750000,- -
88,Other Investing Activites,- -,- -,-2000000,-3000000,- -,- -,- -,-1279422,-6998003,-3595000,-3194000,-10620000,-478850000,-1145000,-267345000,2975000,7297000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-10168982,18572435,4014516,-33834838,-50735008,-141290597,-16405056,5350968,-45023000,-71283000,-45092000,-293825000,-85236000,-73786000,-10713000,-176865000,-505000,59360000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1962000,- -,- -,- -,- -,- -,-2409000,-657000,-55813000,-597000,- -
91,Common Stock Issued,- -,- -,- -,20443,61910395,74659467,205057386,2542110,8369976,3962000,- -,- -,16015000,18096000,75520000,10479000,15198000,24000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-328757,- -,- -,- -,- -,- -,- -,-60000,-1744000,-91000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,55965695,11130533,16143982,1723930,461770,-1809016,-7069895,-6849879,- -,3086000,11968000,336922000,-307000,-29589000,53509000,- -,-4670000,-1071000,- -
95,Cash Used/Provided by Financing Activities,- -,55965695,11130533,16164425,63634325,75121237,203248370,-4527785,1191340,2000000,3086000,11968000,352937000,17789000,45931000,61519000,12797000,-60550000,-1668000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2159000,1225000,-412000,62000,1018000,- -
97,Net Change In Cash,- -,21306763,2763939,32187,6339609,-1290493,12802501,17701496,-12673696,23313000,-16078000,6161000,134133000,-28966000,5333000,148531000,-13687000,-189160000,-2296000,- -
98,Cash at the End of Period,- -,48319175,11729112,11761299,18100908,16810415,29612916,47314412,34640716,57954000,41876000,48037000,182170000,153204000,158537000,307068000,294351000,105191000,102895000,- -
99,Cash at the Beginning of Period,- -,27012412,8965173,11729112,11761299,18100908,16810415,29612916,47314412,34641000,57954000,41876000,48037000,182170000,153204000,158537000,308038000,294351000,105191000,- -
100,Free Cash Flow,- -,-25237931,-27470799,-20346418,-23987336,-37012790,-55961715,36207413,-28660192,60549000,38541000,24622000,-408914000,31415000,-238192000,82124000,116878000,-218593000,-65396000,- -
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1008848/000110465907022335/0001104659-07-022335-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746908002781/0001047469-08-002781-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746909002124/0001047469-09-002124-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000104746910001554/0001047469-10-001554-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884811000018/0001008848-11-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1008848/000100884813000011/0001008848-13-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1008848/000100884815000009/0001008848-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000100884816000076/0001008848-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459017002591/0001564590-17-002591-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459018003967/0001564590-18-003967-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459019004986/0001564590-19-004986-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459020007789/0001564590-20-007789-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459021013318/0001564590-21-013318-index.htm,https://www.sec.gov/Archives/edgar/data/1008848/000156459022010971/0001564590-22-010971-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
