,https://roic.ai/company/SSD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,6200000,- -,- -,- -,- -,2600000,2400000,2069028,5686995,5479834,5177936,2396886,2928000,338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37091000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13647000,14569000,16572000,20366000,18434000
57,Other Non-Current Liabilities,- -,- -,100000,- -,800000,500000,600000,341600,100000,- -,- -,1414831,1362000,1866000,9940000,9280000,8553000,7300000,6137000,5239000,9129000,15120000,16521000,5336000,2607000,- -,27930000,37199000,- -
58,Total Non-Current Liabilities,6300000,- -,100000,100000,800000,3100000,3000000,2410628,5786995,5479834,5177936,3811717,4290000,2204000,9940000,9280000,8553000,7300000,6137000,5239000,9129000,15120000,16521000,5336000,16254000,14569000,44502000,57565000,55525000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3662000,1874000,35322000,46342000,37091000
61,Total Liabilities,25500000,13800000,15000000,20200000,21800000,30300000,36700000,35134197,41494945,47217319,59944699,82211752,96249000,82459000,94279000,81174000,80021000,86916000,77724000,100754000,112334000,109600000,111485000,114132000,152745000,166149000,203409000,251626000,300127000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,44700000,40968501,46868909,51521634,38862292,479290,483000,484000,485000,490000,493000,500000,481000,483000,486000,489000,481000,473000,473000,453000,442000,433000,- -
64,Retained Earnings,31600000,37000000,51100000,70900000,96800000,128000000,166500000,204811703,245419665,297353812,357916036,369154260,456474000,526362000,571499000,605950000,598493000,607241000,580616000,592309000,615289000,649174000,639707000,642422000,676644000,628207000,645507000,720441000,- -
65,Other Comprehensive Income/Loss,-22300000,-25600000,-30400000,-35900000,-5500000,-49500000,-58900000,-69293151,-80501488,-92943166,-105397774,-121610695,7000000,11000000,25000000,6000000,19000000,15000000,7000000,12000000,18000000,-7000000,-29000000,-33000000,-12000000,-25000000,-25000000,-10428000,-17605000
66,Other Total Stockholders Equity,23200000,55100000,60900000,67300000,37700000,82800000,58300000,67104188,76330019,93251466,108923697,214902353,94172000,115029000,126416000,136586000,145798000,165052000,170266000,184776000,207504000,220802000,238636000,255947000,219661000,251854000,271008000,270497000,- -
67,Total Stockholders Equity,32500000,66500000,81600000,102300000,129000000,161300000,210600000,243591241,288117105,349183746,400304251,462925208,558129000,652875000,723400000,749026000,763784000,787793000,758363000,789568000,841279000,863465000,849824000,865842000,884778000,855514000,891957000,980943000,1183998000
68,Total Liabilities And Stockholders Equity,58000000,80300000,96600000,122500000,150800000,191600000,247300000,278725438,329612050,396401065,460248950,545136960,654378000,735334000,817679000,830200000,843805000,874709000,836087000,890322000,953613000,973065000,961309000,979974000,1037523000,1021663000,1095366000,1232569000,1484125000
69,Minority Interest,300000,- -,- -,- -,- -,- -,- -,754278,- -,- -,- -,- -,5337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,58300000,80300000,96600000,122500000,150800000,191600000,247300000,279479716,329612050,396401065,460248950,545136960,659715000,735334000,817679000,830200000,843805000,874709000,836087000,890322000,953613000,973065000,961309000,979974000,1037523000,1021663000,1095366000,1232569000,1484125000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920371/000092037199000002/0000920371-99-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/920371/000091205702012544/0000912057-02-012544-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465903002893/0001104659-03-002893-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465904005912/0001104659-04-005912-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465905010697/0001104659-05-010697-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465906013856/0001104659-06-013856-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465907015409/0001104659-07-015409-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465908014346/0001104659-08-014346-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465909013190/0001104659-09-013190-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465910010169/0001104659-10-010169-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465911010904/0001104659-11-010904-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465912013847/0001104659-12-013847-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465913016210/0001104659-13-016210-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000110465914017569/0001104659-14-017569-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037115000054/0000920371-15-000054-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037116000208/0000920371-16-000208-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037117000042/0000920371-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037118000051/0000920371-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037119000027/0000920371-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037120000054/0000920371-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037121000042/0000920371-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/920371/000092037122000056/0000920371-22-000056-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8000000,5500000,14100000,19700000,26000000,31100000,38500000,38354103,40518126,51934147,60562224,81508343,98394000,102496000,68742000,53934000,12217000,28586000,50900000,41918000,50971000,63531000,67888000,89734000,92617000,126633000,133982000,187000000,266447000
74,Depreciation and Amortization,2600000,4000000,5300000,7200000,6700000,8300000,10900000,13135982,15649657,14023152,15648390,18444868,22370000,24536000,27984000,30209000,29387000,22861000,20751000,26857000,27518000,27918000,26821000,27927000,33724000,39393000,38402000,38767000,42477000
75,Deferred Income Tax,-700000,-700000,100000,-200000,-900000,-500000,-1000000,-1362889,-879603,-697654,-790963,563124,-4589000,-2141000,-3745000,-1079000,-2198000,6956000,-2163000,189000,3620000,2181000,2537000,-869000,6299000,4950000,2557000,3179000,-915000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3823000,300000,- -,- -,10667000,12747000,13190000,11958000,13946000,13908000,11176000,10434000,13507000,17715000
77,Change in Working Capital,-6100000,19600000,7900000,18700000,12600000,22400000,36300000,25918241,26342570,44015941,30306052,128103,73785093,56587000,39455000,17165000,2904000,53033000,-81163000,-27938000,62362000,44937000,-15530000,-17857000,-29001000,499000,34051000,77078000,195155000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9862000,2574000,-3715000,-6982000,-2678000,-6651000,-4568000,-16818000,-7548000,-17822000,-12573000,6096000,-22107000,-67993000
79,Inventory,-5800000,-6600000,-2700000,-7500000,-6900000,-1400000,-15600000,-11573449,8043158,-9118571,-9791598,-83093039,8409000,-34139000,5803000,-32408000,92589000,-12143000,-26946000,-17045000,8458000,-22428000,17208000,-36617000,-6580000,-26425000,23655000,-27219000,-164202000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7456000,4770000,4678000,-10126000,12208000,-2708000,-11266000,-1035000,5785000,1157000,4670000,-845000,11360000,10235000
81,Other Working Capital,24500000,44100000,52000000,70700000,83300000,105700000,142000000,167918241,194260811,238276752,268582804,268710907,342496000,399083000,438538000,455703000,458607000,511640000,430477000,402539000,464901000,509838000,494308000,476451000,447450000,447949000,482000000,559078000,754233000
82,Other Non-Cash Items,600000,-18800000,-14000000,-20800000,-23300000,-26800000,-48700000,-45175059,-8329905,-58761114,-34373493,-77825037,-59358093,-82411000,-5591000,-47920000,83550000,-34239000,46762000,16359000,-50712000,-84536000,20533000,-17934000,1518000,-22571000,-13764000,-111959000,-369584000
83,Cash Provided by Operating Activities,4400000,9600000,13400000,24600000,21100000,34500000,36000000,30870378,73300845,50514472,71352210,22819401,130602000,99067000,126845000,56132000,126160000,77197000,35087000,68052000,106506000,67221000,114207000,94947000,119065000,160080000,205662000,207572000,151295000
84,CAPEX,-3700000,-9900000,-10000000,-7400000,-16500000,-20100000,-15300000,-14421672,-25571460,-27953218,-21592265,-45965985,-42602000,-51537000,-36091000,-52330000,-39487000,-28341000,-26063000,-21961000,-16804000,-23715000,-34186000,-42002000,-58041000,-29310000,-37526000,-37909000,-43738000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-6250783,-14083805,- -,-9610669,-32524561,- -,- -,-42470000,- -,- -,23132000,-51853000,- -,- -,- -,- -,-2500000,9466000,- -,- -,- -,-218000
86,Purchases of Investments,-800000,- -,-700000,-3900000,- -,- -,- -,- -,- -,-39049500,-78890059,-41451187,- -,-9135000,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9829000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4000000,- -,- -,- -,- -,21400000,51807800,69095000,16800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1200000,-2400000,-1000000,-9300000,100000,-8000000,188809,919715,136006,142278,629598,4068000,200000,3363000,-12679000,-15212000,-15248000,-22430000,-77746000,-17335000,-23505000,-37828000,-46043000,-85281000,-10249000,-28021000,-39853000,-49594000
89,Cash Used for Investing Activites,-4500000,-11100000,-13100000,-12300000,-21800000,-20000000,-23300000,-20483646,-38735550,-45466712,-58142915,-50217135,-21734000,-60472000,-75198000,-51025000,-39473000,7884000,-74283000,-77746000,-17335000,-23505000,-37828000,-48543000,-75815000,-10249000,-28021000,-39853000,-58805000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4659000,-1540000,- -,- -,-5747000,-81000,-77000,-17000,- -,-754000,-968000,-17883000,-170680000,-16408000
91,Common Stock Issued,- -,16200000,800000,500000,600000,600000,4600000,902898,2750049,2708690,3053361,4211941,4095000,8947000,4832000,6881000,7627000,17948000,214000,4925000,15057000,4582000,9720000,7976000,6610000,695000,- -,- -,691000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-5901998,- -,- -,-23525000,-31273933,- -,-17166000,-4191000,- -,- -,- -,-53208000,- -,-9825000,-2981000,-47144000,-53502000,-70000000,-110540000,-60816000,-76189000,-24125000
93,Dividends Paid,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7194003,-9606000,-15444000,-18415000,-19440000,-19633000,-19764000,-23329000,-30193000,-18130000,-25918000,-29352000,-32711000,-36981000,-39891000,-40197000,-40400000,-41619000
94,Other Financing Activites,2600000,-10700000,100000,- -,-300000,2800000,-200000,-347523,-413943,-775889,-1380642,-3548602,-1307000,2184000,357000,4170000,1873000,10000,- -,524000,-440000,-1214000,-1099000,-879000,-5546000,-4689000,10742000,160492000,9845000
95,Cash Used/Provided by Financing Activities,1800000,5500000,900000,500000,300000,3400000,4400000,-5346623,2336106,1932801,-21852281,-37804597,-6818000,-21479000,-17417000,-13048000,-11673000,-1806000,-76323000,-30491000,-13419000,-25608000,-67892000,-79116000,-106671000,-155393000,-108154000,-126777000,-71616000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-132061,-447109,465545,460815,982803,-1764000,-20000,3613000,-7451000,4617000,1393000,-5713000,1921000,-97000,-9009000,-9969000,424000,5398000,-2772000,543000,3487000,5642000
97,Net Change In Cash,1800000,5500000,900000,500000,300000,3400000,17100000,4908048,36454292,7446106,-8182171,-64219528,100286000,17096000,37843000,-15392000,79631000,84668000,-121232000,-38264000,75655000,9099000,-1482000,-32288000,-58023000,-8334000,70030000,44429000,26516000
