,https://roic.ai/company/IFF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,112600000,139300000,175400000,209300000,223100000,252100000,269500000,281500000,323800000,360300000,393700000,299100000,340200000,311100000,243500000,184127000,187777000,266417000,251860000,281002000,246188000,313282000,328684000,280522000,276549000,359593000,373546000,443415000,485210000,549061000,539101000,523717000,537045000,447757000,557452000,441371000,354000000
21,Income Before Tax Ratio,0.2248,0.2244,0.2352,0.2493,0.2566,0.2618,0.2650,0.2499,0.2724,0.2740,0.2735,0.2083,0.2384,0.2211,0.1692,0.1259,0.1018,0.1473,0.1325,0.1382,0.1235,0.1495,0.1444,0.1174,0.1189,0.1371,0.1340,0.1572,0.1643,0.1778,0.1783,0.1681,0.1580,0.1126,0.1085,0.0868,0.0304
22,Income Tax expense (Gain),42900000,53600000,68400000,80600000,84500000,95400000,100800000,104800000,121300000,134300000,144900000,109200000,122000000,107300000,81500000,61122000,71775000,90473000,79263000,84931000,53122000,86782000,81556000,50894000,81023000,96036000,106680000,189281000,131666000,134518000,119854000,118686000,241380000,107976000,97184000,73999000,75000000
23,Net Income,69700000,85700000,107000000,128700000,138600000,156700000,168700000,170600000,202500000,226000000,248800000,189900000,218200000,203800000,162000000,123005000,116002000,175944000,172597000,196071000,193066000,226500000,247128000,229628000,195526000,263557000,266866000,254134000,353544000,414543000,419247000,405031000,295665000,337302000,455873000,365031000,270000000
24,Net Income ratio,0.1391,0.1381,0.1435,0.1533,0.1594,0.1628,0.1659,0.1515,0.1704,0.1718,0.1728,0.1322,0.1529,0.1448,0.1125,0.0841,0.0629,0.0972,0.0908,0.0964,0.0969,0.1081,0.1085,0.0961,0.0841,0.1005,0.0957,0.0901,0.1197,0.1342,0.1387,0.1300,0.0870,0.0848,0.0887,0.0718,0.0232
25,EPS,0.63,0.76,0.94,1.13,1.22,1.37,1.47,1.48,1.78,2.03,2.24,1.71,2.00,1.90,1.53,1.22,1.21,1.86,1.84,2.08,2.06,2.50,2.86,2.91,2.48,3.29,3.30,3.11,4.32,5.09,5.09,5.07,3.73,3.81,4.05,3.25,1.11
26,EPS Diluted,0.63,0.76,0.94,1.13,1.22,1.37,1.47,1.48,1.77,2.03,2.24,1.71,1.99,1.90,1.53,1.22,1.20,1.84,1.83,2.05,2.04,2.48,2.82,2.87,2.46,3.26,3.26,3.09,4.29,5.06,5.06,5.05,3.72,3.79,4.00,3.21,1.10
27,Weighted Average Shares Outstanding,110634921,112763158,113829787,113893805,113606557,114379562,114761905,115270270,113764045,111330049,111071429,111052632,109100000,107263158,105882353,100823770,95869421,94593548,93802717,94264904,93721359,90600000,86408392,79032000,78403000,79495000,80456000,81108000,81322000,80936000,80449000,79648000,79070000,87551000,111966000,112162000,243000000
28,Weighted Average Shares Outstanding Diluted,110634921,112763158,113829787,113893805,113606557,114379562,114761905,115270270,114406780,111463415,111170213,112030075,109648241,107263158,105882353,100823770,96668333,95621739,94315301,95644390,94640196,91330645,87634043,79964000,79094000,80440000,81467000,81833000,81930000,81494000,80891000,79981000,79370000,88121000,113307000,113630000,243000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095011095000190/0000950110-95-000190-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095011096000305/0000950110-96-000305-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095011097000547/0000950110-97-000547-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095010901000802/0000950109-01-000802-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095013002002044/0000950130-02-002044-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095013607001053/file1.htm,https://www.sec.gov/Archives/edgar/data/51253/000095013608000919/file1.htm,https://www.sec.gov/Archives/edgar/data/51253/000095012309003569/0000950123-09-003569-index.html,https://www.sec.gov/Archives/edgar/data/51253/000119312510040927/0001193125-10-040927-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095012311017927/c11287e10vk.htm,https://www.sec.gov/Archives/edgar/data/51253/000119312512084851/0001193125-12-084851-index.html,https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/0001193125-13-077028-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125314000004/internationalflavors10k2013.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125315000004/internationalflavors10k2014.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/0000051253-16-000026-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/0000051253-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125318000005/0000051253-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/0000051253-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125320000007/0000051253-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125321000011/0000051253-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125322000007/0000051253-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,230600000,251400000,261400000,217000000,115000000,62100000,128869000,48521000,14858000,12081000,32596000,272545000,114508000,151471000,178467000,80135000,131332000,88279000,324422000,405505000,478573000,181988000,323992000,368046000,634897000,606823000,649541000,715000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,369000,384000,307000,474000,399000,352000,604000,604000,361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,230600000,251400000,261400000,217000000,115000000,62900000,129238000,48905000,15165000,12555000,32995000,272897000,115112000,152075000,178828000,80135000,131332000,88279000,324422000,405505000,478573000,181988000,323992000,368046000,634897000,606823000,649541000,715000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,249300000,274200000,269400000,268500000,283500000,303400000,364314000,340358000,338607000,339725000,358361000,368519000,405302000,450579000,439768000,444265000,451804000,472346000,499443000,524493000,493768000,537896000,550658000,663663000,937765000,876197000,- -,1906000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,362100000,414500000,369100000,360100000,404000000,415300000,435312000,415984000,421603000,454631000,457204000,430794000,446606000,484222000,479567000,444977000,531675000,544439000,540658000,533806000,568729000,589019000,592017000,649448000,1078537000,1123068000,1131856000,2516000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,122500000,95900000,106500000,89900000,45500000,53800000,90076000,91114000,91374000,95761000,112810000,119064000,112783000,103602000,62905000,158689000,210384000,212156000,208036000,189099000,168957000,146981000,142347000,215387000,290661000,336456000,1278402000,1850000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,964500000,1036000000,1006400000,935500000,848000000,835400000,1018940000,896361000,866749000,902672000,961370000,1191274000,1079803000,1190478000,1161068000,1128066000,1325195000,1317220000,1572559000,1652903000,1710027000,1455884000,1609014000,1896544000,2941860000,2942544000,3059799000,6987000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,405700000,468600000,467800000,446500000,498800000,523900000,679874000,532473000,520499000,510612000,501334000,499145000,495124000,508820000,496856000,501293000,538118000,608065000,654641000,687215000,720268000,732794000,775716000,880580000,1241152000,1679582000,1458185000,4368000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,665582000,665582000,665582000,665582000,665582000,665582000,665582000,665582000,675484000,941389000,1000123000,1156288000,5378388000,5497596000,5593252000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755923000,795920000,782703000,799413000,789676000,772651000,80134000,67254000,61101000,54948000,48834000,42763000,36688000,30615000,76557000,306004000,365783000,415787000,3039322000,2851935000,2727175000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755923000,795920000,782703000,799413000,789676000,772651000,745716000,732836000,726683000,720530000,714416000,708345000,702270000,696197000,752041000,1247393000,1365906000,1572075000,8417710000,8349531000,8320427000,26940000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31470000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82385000,107028000,160661000,129720000,122800000,152118000,160610000,154437000,183047000,166323000,138636000,99777000,89000000,125552000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,29700000,32700000,40300000,41300000,42200000,34296000,43297000,62743000,94195000,110914000,175126000,75876000,187626000,204645000,165165000,171926000,179833000,159520000,140979000,129238000,119060000,127712000,149950000,168203000,190202000,- -,1383000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,435200000,498300000,500500000,486800000,540100000,566100000,1470093000,1371690000,1365945000,1404220000,1401924000,1446922000,1399101000,1536310000,1588845000,1516708000,1547260000,1648361000,1677041000,1678828000,1784594000,2265570000,2407970000,2702382000,9947535000,10344867000,9778612000,32691000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1399700000,1534300000,1506900000,1422300000,1388100000,1401500000,2489033000,2268051000,2232694000,2306892000,2363294000,2638196000,2478904000,2726788000,2749913000,2644774000,2872455000,2965581000,3249600000,3331731000,3494621000,3721454000,4016984000,4598926000,12889395000,13287411000,12838411000,39678000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,56900000,63300000,57700000,57800000,60300000,72000000,75021000,85659000,104007000,104028000,103978000,98588000,111661000,130992000,114997000,161027000,200153000,208759000,199272000,226733000,229866000,302473000,274815000,338188000,471382000,510372000,555687000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,12200000,18900000,10500000,29100000,92500000,852985000,227945000,49663000,194304000,15957000,819392000,15897000,152473000,101982000,76780000,133899000,116688000,150071000,149000,8090000,132349000,258516000,6966000,48642000,424633000,677781000,632000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21744000,30129000,23448000,15125000,10241000,15567000,40046000,47609000,62870000,62354000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593369000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,193100000,200900000,203900000,196600000,183500000,205200000,251011000,246610000,205827000,227713000,279587000,284716000,319213000,255431000,234062000,246647000,326899000,239119000,273389000,333484000,280852000,307306000,364966000,423614000,608287000,617185000,76889000,3001000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,259700000,276400000,280500000,264900000,272900000,369700000,1179017000,560214000,359497000,526045000,399522000,1202696000,446771000,538896000,451041000,484454000,660951000,564566000,622732000,560366000,518808000,742128000,898297000,768768000,1128311000,1552190000,1903726000,3633000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,14300000,11600000,8300000,5100000,4300000,3800000,417402000,939404000,1007085000,690231000,668969000,131281000,791443000,1060168000,1153672000,934749000,787668000,778248000,881104000,932665000,934232000,937844000,1066855000,1632186000,4504417000,3997438000,634159000,10768000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58632000,54884000,50917000,47855000,44674000,41339000,46535000,43260000,39816000,37344000,31366000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,13400000,16900000,23100000,30700000,32800000,103151000,44553000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,655879000,641456000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,103200000,116300000,124700000,128700000,135100000,136700000,158204000,199710000,291434000,347985000,384316000,388872000,335522000,510527000,513457000,398777000,369764000,467505000,448535000,330310000,472357000,403232000,380882000,471334000,526048000,866779000,- -,4054000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,131900000,141300000,149900000,156900000,170100000,173300000,678757000,1183667000,1298519000,1038216000,1053285000,520153000,1126965000,1570695000,1725761000,1388410000,1208349000,1293608000,1374313000,1304314000,1453124000,1384336000,1487553000,2140864000,5717710000,5505673000,634159000,14822000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5974951000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39675000,43622000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,391600000,417700000,430400000,421800000,443000000,543000000,1857774000,1743881000,1658016000,1564261000,1452807000,1722849000,1573736000,2109591000,2176802000,1872864000,1869300000,1858174000,1997045000,1864680000,1971932000,2126464000,2385850000,2909632000,6846021000,7057863000,7244518000,18455000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,14470000,16066000,16066000,16066000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,961800000,1069400000,1106600000,1166300000,1210600000,1211800000,1204561000,1263344000,1382539000,1496104000,1627386000,1752055000,1909599000,2078937000,2222641000,2339205000,2519706000,2692893000,2841166000,3075657000,3350734000,3604254000,3818535000,3870621000,3956221000,4117804000,4156168000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-331200000,-370600000,-410400000,-364400000,-414600000,-425000000,-461427000,-443157000,-219190000,-135633000,-109042000,-150355000,-196872000,-144347000,-325105000,-270974000,-275351000,-379546000,-403625000,-392711000,-540430000,-613439000,-680095000,-637482000,-702227000,-716894000,-697541000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,377500000,417800000,380300000,198600000,149100000,57200000,- -,- -,-603141000,-632310000,-622327000,-700823000,-822029000,-1331863000,-1338895000,-1313698000,-1259403000,-1223405000,-1203203000,-1234344000,-1306213000,-1414967000,-1526666000,-1563407000,2762891000,2800328000,2836460000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008100000,1116600000,1076500000,1000500000,945100000,858500000,631259000,524170000,574678000,742631000,910487000,915347000,905168000,617197000,573111000,769003000,999422000,1104412000,1248808000,1463072000,1518561000,1590318000,1626244000,1684202000,6032951000,6217304000,6311153000,21118000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1399700000,1534300000,1506900000,1422300000,1388100000,1401500000,2489033000,2268051000,2232694000,2306892000,2363294000,2638196000,2478904000,2726788000,2749913000,2641867000,2868722000,2962586000,3245853000,3327752000,3490493000,3716782000,4012094000,4593834000,12878972000,13275167000,13555671000,39573000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2907000,3733000,2995000,3747000,3979000,4128000,4672000,4890000,5092000,10423000,12244000,-717260000,105000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1399700000,1534300000,1506900000,1422300000,1388100000,1401500000,2489033000,2268051000,2232694000,2306892000,2363294000,2638196000,2478904000,2726788000,2749913000,2644774000,2872455000,2965581000,3249600000,3331731000,3494621000,3721454000,4016984000,4598926000,12889395000,13287411000,12838411000,39678000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/51253/000095011095000190/0000950110-95-000190-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095011096000305/0000950110-96-000305-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095011097000547/0000950110-97-000547-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095010901000802/0000950109-01-000802-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095013002002044/0000950130-02-002044-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095013607001053/file1.htm,https://www.sec.gov/Archives/edgar/data/51253/000095013608000919/file1.htm,https://www.sec.gov/Archives/edgar/data/51253/000095012309003569/0000950123-09-003569-index.html,https://www.sec.gov/Archives/edgar/data/51253/000119312510040927/0001193125-10-040927-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095012311017927/c11287e10vk.htm,https://www.sec.gov/Archives/edgar/data/51253/000119312512084851/0001193125-12-084851-index.html,https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/0001193125-13-077028-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125314000004/internationalflavors10k2013.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125315000004/internationalflavors10k2014.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/0000051253-16-000026-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/0000051253-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125318000005/0000051253-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/0000051253-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125320000007/0000051253-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125321000011/0000051253-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125322000007/0000051253-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,138600000,156700000,168700000,170600000,202500000,226000000,248800000,189900000,218200000,203800000,162000000,123005000,116002000,175944000,172597000,196071000,193066000,226500000,247128000,229628000,195526000,263557000,266866000,254134000,353544000,414543000,419247000,405031000,295665000,337302000,455873000,365031000,270000000
74,Depreciation and Amortization,- -,- -,- -,- -,24300000,28200000,29400000,34000000,35100000,36400000,40700000,47800000,50300000,49000000,56400000,69344000,123493000,84458000,86721000,90996000,91928000,89733000,82788000,75986000,78525000,79242000,75327000,76667000,83227000,89354000,89597000,102469000,117967000,173792000,323330000,325360000,1156000000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,200000,-2900000,4900000,600000,-3800000,6400000,-2300000,8200000,15900000,-4200000,-30496000,-18113000,-6381000,-11565000,-6464000,-32882000,-12423000,-6343000,7261000,-17354000,-13301000,25357000,56484000,-484000,23350000,13043000,14350000,58889000,19402000,-59279000,-67718000,-236000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17246000,19652000,22001000,20547000,19716000,23736000,22648000,23160000,24587000,26567000,29401000,34482000,35798000,54000000
77,Change in Working Capital,- -,- -,- -,- -,-16000000,- -,- -,- -,- -,704800000,54800000,-33700000,-55300000,-95500000,-109400000,-625777000,496224000,171105000,-130625000,185221000,-573270000,644454000,18550000,58445000,-66415000,20632000,88410000,197173000,142710000,98682000,-477463000,-3039000,417059000,685773000,-423195000,-234281000,-153000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35697000,-33056000,-53156000,-2635000,-91712000,-21544000,-68851000,-49958000,- -,-60979000,-169000000
