,https://roic.ai/company/IPAR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,1600000,800000,600000,2100000,11500000,13300000,15600000,24200000,26700000,26600000,24500000,26700000,26800000,30936000,27630000,34988000,67887000,73271000,80720000,133698000,199467000,169628000,131675000,138159000,191684000,259939000,128702000,105782000,211272000,198751000,207135000,213421000,219834000,187695000,407032000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,19000,19000,19000,19000,20000,20000,21000,30000,30000,30000,31000,31000,31000,31000,31000,31000,31000,31000,31000,32000,32000
64,Retained Earnings,500000,1000000,1500000,2500000,4900000,9200000,16300000,23500000,32600000,38200000,42700000,47300000,52100000,58669000,66788000,75063000,87376000,100772000,112802000,127834000,147995000,168025000,186611000,205453000,228164000,349672000,359459000,374121000,388434000,402714000,422570000,448731000,474637000,503567000,560663000
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,-600000,-800000,-800000,-1500000,-2100000,-2500000,-2300000,-3100000,-3100000,-3100000,-5608000,-1394000,9404000,16431000,3574000,15170000,30955000,25515000,30000000,14757000,7747000,12498000,25860000,-15823000,-48091000,-57982000,-17832000,-33650000,-39853000,-5997000,-38432000
66,Other Total Stockholders Equity,100000,2000000,2100000,2200000,3900000,10100000,18800000,23300000,26800000,23300000,15400000,16800000,11400000,8054000,13710000,7228000,- -,- -,- -,12248000,13689000,- -,12083000,14736000,16732000,19275000,21861000,23736000,25213000,25628000,28529000,32495000,33189000,38233000,216069000
67,Total Stockholders Equity,600000,3000000,3600000,4600000,8200000,18500000,34300000,45300000,57300000,59000000,55800000,61000000,60400000,63635000,74909000,80916000,104916000,126509000,127727000,155272000,192660000,204201000,228724000,234976000,252674000,381476000,407211000,382065000,365587000,370391000,433298000,447607000,468004000,535835000,738332000
68,Total Liabilities And Stockholders Equity,2200000,3800000,4200000,6700000,19700000,31800000,49900000,69500000,84000000,85600000,80300000,87700000,87200000,94571000,102539000,115904000,172803000,199780000,208447000,288970000,392127000,373829000,360399000,373135000,444358000,641415000,535913000,487847000,576859000,569142000,640433000,661028000,687838000,723530000,1145364000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13466000,21198000,30705000,32463000,44075000,53925000,51308000,58689000,64970000,71676000,118505000,128145000,116659000,110800000,113267000,137339000,138139000,140994000,166615000,- -
70,Total Liabilities & Equity,2200000,3800000,4200000,6700000,19700000,31800000,49900000,69500000,84000000,85600000,80300000,87700000,87200000,94571000,102539000,129370000,194001000,230485000,240910000,333045000,446052000,425137000,419088000,438105000,516034000,759920000,664058000,604506000,687659000,682409000,777772000,799167000,828832000,890145000,1145364000
