,https://roic.ai/company/SRT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726000,210000,55000,93000,78000,114000,621000,1685000,1573000,1609000,-10142000,14109000,11239000,10572000
14,Depreciation and Amortization,1800000,2900000,4700000,5482000,6898000,9220000,10045000,12546000,13364000,16758000,17092000,17803000,15977000,17155000,15750000,12957000,12527000,10379000,13261000,12250000,11080000,20462000,29723000,28201000,28137000
15,EBITDA,8100000,16300000,25500000,36308000,14780000,33293000,45392000,47892000,34401000,24825000,13738000,2478000,20085000,-929000,-10745000,2663000,6465000,6104000,-206000,14936000,10977000,-10422000,33605000,8215000,- -
16,EBITDA ratio,0.0908,0.1156,0.1243,0.1809,0.0810,0.1602,0.1963,0.1855,0.1590,0.1045,0.0560,0.0091,0.0695,-0.0035,-0.0490,0.0134,0.0280,0.0244,-0.0007,0.0486,0.0375,-0.0248,0.0511,0.0128,- -
17,Operating Income,5400000,11200000,18000000,26171000,19016000,28297000,31299000,34379000,20713000,5941000,-4099000,-15645000,-532000,-18412000,-26621000,-10714000,-4597000,-4890000,-14013000,2861000,-742000,-6292000,9717000,-10294000,34733000
18,Operating Income ratio,0.0605,0.0794,0.0877,0.1304,0.1042,0.1361,0.1354,0.1332,0.0957,0.0250,-0.0167,-0.0573,-0.0018,-0.0694,-0.1213,-0.0541,-0.0199,-0.0196,-0.0497,0.0093,-0.0025,-0.0150,0.0148,-0.0161,Infinity
19,Total Other Income Expenses (Gains),900000,2200000,2800000,4655000,-11134000,-4224000,4048000,3532000,1479000,2126000,745000,55000,-210000,273000,33000,342000,-1579000,-6000,-1139000,-1748000,-970000,-12414000,-18207000,-15590000,- -
20,Income Before Tax,6300000,13400000,20800000,30826000,7882000,24073000,35347000,37911000,22192000,8067000,-3354000,-15590000,-742000,-18139000,-26588000,-10372000,-6176000,-4896000,-15152000,1113000,-1712000,-18706000,-8490000,-25884000,- -
21,Income Before Tax Ratio,0.0706,0.0950,0.1014,0.1536,0.0432,0.1158,0.1529,0.1469,0.1026,0.0340,-0.0137,-0.0571,-0.0026,-0.0684,-0.1211,-0.0524,-0.0267,-0.0196,-0.0537,0.0036,-0.0059,-0.0445,-0.0129,-0.0404,- -
22,Income Tax expense (Gain),2100000,4900000,7800000,11406000,3011000,8907000,13149000,14370000,8177000,2303000,-523000,-6150000,-751000,1244000,-126000,116000,230000,564000,464000,718000,-436000,3570000,4791000,7760000,- -
23,Net Income,4200000,8500000,13000000,19420000,4871000,15166000,22198000,20976000,12860000,5764000,-2831000,-9901000,4649000,-19383000,-26462000,-10488000,-6406000,-5460000,-15616000,395000,-1276000,-24312000,-15018000,-38985000,- -
24,Net Income ratio,0.0471,0.0603,0.0634,0.0967,0.0267,0.0730,0.0960,0.0813,0.0594,0.0243,-0.0115,-0.0363,0.0161,-0.0730,-0.1206,-0.0529,-0.0277,-0.0218,-0.0553,0.0013,-0.0044,-0.0578,-0.0228,-0.0609,- -
25,EPS,0.47,0.62,0.94,1.39,0.35,1.07,1.56,1.45,0.88,0.39,-0.19,-0.67,0.31,-1.30,-1.75,-0.69,-0.42,-0.35,-1.01,0.03,-0.08,-0.80,-0.39,-0.99,0.24
26,EPS Diluted,0.47,0.62,0.92,1.36,0.34,1.05,1.52,1.42,0.88,0.39,-0.19,-0.67,0.31,-1.30,-1.75,-0.69,-0.42,-0.35,-1.01,0.02,-0.08,-0.80,-0.39,-0.99,0.24
27,Weighted Average Shares Outstanding,12652680,13828571,13829787,14016851,14053484,14140765,14243273,14454747,14613636,14779487,14900000,14713000,14792000,14903000,15084000,15241000,15339000,15394000,15529000,15731000,15966000,30518000,38132000,39442000,40788000
28,Weighted Average Shares Outstanding Diluted,12652680,13828571,14130435,14279409,14168044,14385389,14623066,14779889,14613636,14779487,14900000,14713000,14837000,14903000,15084000,15241000,15339000,15394000,15529000,16258000,15966000,30518000,38132000,39442000,41094000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1031029/000095013499002340/0000950134-99-002340-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031029/000110465903005138/0001104659-03-005138-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013404003096/0000950134-04-003096-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013405005256/0000950134-05-005256-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013406005320/0000950134-06-005320-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000136231007000275/0001362310-07-000275-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000136231008001182/0001362310-08-001182-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465909013843/0001104659-09-013843-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465910009646/0001104659-10-009646-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465911012427/0001104659-11-012427-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465912016956/0001104659-12-016956-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102913000019/0001031029-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102914000015/0001031029-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102915000010/0001031029-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102916000079/0001031029-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102917000008/0001031029-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102918000025/0001031029-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102919000014/0001031029-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774920004942/0001437749-20-004942-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774921006156/0001437749-21-006156-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774922006117/0001437749-22-006117-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27000000,19600000,11900000,22543000,14282000,13143000,5955000,14609000,17425000,33437000,23026000,9580000,19591000,18740000,9719000,9183000,10989000,5306000,2626000,1039000,1456000,16617000,20464000,44507000,47940000
32,Short-Term Investments,- -,- -,23900000,32413000,35804000,44022000,41812000,24785000,28168000,5933000,16349000,8437000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,27000000,19600000,35800000,54956000,50086000,57165000,47767000,39394000,45593000,39370000,39375000,18017000,20091000,18740000,9719000,9183000,10989000,5306000,2626000,1039000,1456000,16617000,20464000,44507000,47940000
34,Net Receivables,12500000,20500000,21800000,20399000,26185000,37567000,44193000,63635000,44839000,47645000,51389000,54185000,56813000,47923000,38396000,41730000,44353000,46103000,57940000,60179000,53052000,149971000,149928000,133339000,- -
35,Inventory,2500000,2800000,3700000,1946000,2614000,1463000,1720000,430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,8000000,18100000,2900000,2644000,4668000,5258000,3157000,5055000,3161000,3009000,2408000,5458000,8502000,11226000,8212000,9367000,4722000,3099000,3452000,3810000,3641000,26802000,24170000,20594000,- -
37,Total Current Assets,50000000,61000000,64200000,79945000,83553000,101453000,96837000,108514000,93593000,90024000,93172000,77660000,85406000,77889000,56327000,60280000,60064000,54508000,64018000,65028000,58149000,193390000,194562000,198440000,- -
38,PP&E,8200000,19200000,26800000,29891000,42017000,38797000,54563000,59760000,57066000,60101000,57532000,59608000,58045000,46930000,38475000,26310000,22210000,28180000,30363000,23276000,19943000,42242000,111199000,103601000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637000,4136000,9148000,9077000,9077000,225450000,219341000,183397000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1163000,2609000,7847000,6697000,5557000,121336000,110807000,100440000,90092000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,6745000,16995000,15774000,14634000,346786000,330148000,283837000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2097000,553000,111000,- -
43,Tax Assets,- -,- -,- -,- -,3533000,110000,1743000,1521000,2402000,4444000,3686000,8946000,4529000,4102000,3355000,3930000,2151000,1429000,1349000,333000,- -,5048000,5251000,5294000,- -
44,Other Non-Current Assets,100000,- -,10400000,12447000,50000,61000,464000,224000,853000,1166000,1068000,650000,1088000,3834000,3276000,2612000,2491000,2931000,2948000,2397000,3272000,15076000,16370000,13370000,- -
45,Total Non-Current Assets,8300000,19200000,37200000,42338000,45600000,38968000,56770000,61505000,60321000,65711000,62286000,69204000,63662000,54866000,45106000,32852000,29652000,39285000,51655000,41780000,37849000,411249000,463521000,406213000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,642475000
47,Total Assets,58300000,80200000,101400000,122283000,129153000,140421000,153607000,170019000,153914000,155735000,155458000,146864000,149068000,132755000,101433000,93132000,89716000,93793000,115673000,106808000,95998000,604639000,658083000,604653000,642475000
48,Accounts Payable,9400000,17400000,16100000,8375000,11978000,11156000,8917000,7464000,4744000,6061000,5908000,6193000,4884000,7344000,7385000,7174000,8477000,10434000,9470000,7612000,7019000,26886000,25449000,20074000,- -
49,Short-Term Debt,100000,900000,1500000,1992000,3605000,2221000,26000,3830000,2551000,5654000,3975000,3366000,- -,- -,- -,- -,1000000,4640000,35711000,28765000,2725000,31775000,44092000,17170000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019000,749000,671000,638000,486000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1800000,4300000,6400000,13432000,8841000,7697000,10668000,12625000,14328000,12615000,17100000,20532000,19070000,19572000,15429000,16067000,18535000,16598000,18516000,17987000,16204000,86697000,102907000,116947000,48265000
53,Total Current Liabilities,11300000,22600000,24000000,23799000,24424000,21074000,19611000,23919000,21623000,24330000,26983000,30091000,24973000,27665000,23485000,23879000,28498000,31672000,63697000,54364000,25948000,145358000,172448000,154191000,- -
54,Long-Term Debt,600000,3300000,6000000,5505000,8201000,4261000,78000,5533000,3099000,10314000,7380000,3455000,- -,- -,- -,- -,- -,- -,8189000,5500000,22206000,151614000,128791000,117885000,204438000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4501000,4144000,- -,2756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,100000,400000,1015000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499000,- -,18901000,18226000,17715000,- -
57,Other Non-Current Liabilities,200000,100000,- -,- -,919000,492000,918000,3684000,1028000,2709000,2881000,1798000,3235000,4443000,830000,2974000,3045000,7440000,1863000,1701000,905000,12393000,66834000,67980000,37088000
58,Total Non-Current Liabilities,1000000,3500000,6400000,6520000,9120000,4753000,996000,9217000,4127000,13023000,10261000,9754000,7379000,4443000,3586000,2974000,3045000,7440000,10052000,7700000,23111000,182908000,213851000,203580000,241526000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630681000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2302000,76003000,72325000,- -
61,Total Liabilities,12300000,26100000,30400000,30319000,33544000,25827000,20607000,33136000,25750000,37353000,37244000,39845000,32352000,32108000,27071000,26853000,31543000,39112000,73749000,62064000,49059000,328266000,386299000,357771000,389155000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,140000,141000,142000,144000,146000,146000,147000,147000,148000,149000,151000,152000,153000,154000,154000,157000,158000,162000,374000,385000,405000,409000
64,Retained Earnings,4200000,12800000,25800000,45216000,50087000,65253000,77031000,75186000,66103000,55578000,52747000,42846000,47495000,28112000,1650000,-8838000,-15244000,-20704000,-36320000,-35925000,-37201000,-31127000,-46145000,-85543000,-84043000
65,Other Comprehensive Income/Loss,-5500000,-7800000,-12100000,-17260000,-17260000,-31938000,-42905000,-49310000,-55154000,-70406000,-90978000,-92660000,2000000,3000000,2000000,3000000,-1000000,-1000000,-94672000,-103719000,1000000,-6000000,-6000000,-7286000,-10687000
66,Other Total Stockholders Equity,47300000,49100000,57200000,63868000,62641000,81137000,98730000,110861000,117069000,133063000,156298000,156685000,67072000,69384000,70560000,71964000,74264000,76231000,172760000,184230000,82978000,267770000,276805000,288700000,- -
67,Total Stockholders Equity,46000000,54100000,71000000,91964000,95609000,114594000,133000000,136883000,128164000,118382000,118214000,107019000,116716000,100647000,74362000,66279000,58174000,54681000,41925000,44744000,46939000,231017000,225045000,196276000,253320000
68,Total Liabilities And Stockholders Equity,58300000,80200000,101400000,122283000,129153000,140421000,153607000,170019000,153914000,155735000,155458000,146864000,149068000,132755000,101433000,93132000,89717000,93793000,115674000,106808000,95998000,559283000,611344000,554047000,642475000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,-1000,- -,- -,45356000,46739000,50606000,- -
70,Total Liabilities & Equity,58300000,80200000,101400000,122283000,129153000,140421000,153607000,170019000,153914000,155735000,155458000,146864000,149068000,132755000,101433000,93132000,89716000,93793000,115673000,106808000,95998000,604639000,658083000,604653000,642475000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1031029/000095013499002340/0000950134-99-002340-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031029/000110465903005138/0001104659-03-005138-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013404003096/0000950134-04-003096-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013405005256/0000950134-05-005256-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013406005320/0000950134-06-005320-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000136231007000275/0001362310-07-000275-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000136231008001182/0001362310-08-001182-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465909013843/0001104659-09-013843-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465910009646/0001104659-10-009646-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465911012427/0001104659-11-012427-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465912016956/0001104659-12-016956-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102913000019/0001031029-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102914000015/0001031029-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102915000010/0001031029-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102916000079/0001031029-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102917000008/0001031029-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102918000025/0001031029-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102919000014/0001031029-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774920004942/0001437749-20-004942-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774921006156/0001437749-21-006156-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774922006117/0001437749-22-006117-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4200000,8500000,13000000,19420000,4871000,15166000,22198000,20976000,12860000,5764000,-2831000,-9901000,4649000,-19383000,-26462000,-10488000,-6406000,-5460000,-15616000,395000,-1276000,-24312000,-15018000,-38985000,- -
74,Depreciation and Amortization,1800000,2900000,4700000,5482000,6898000,9220000,10045000,12546000,13364000,16758000,17092000,17803000,15977000,17155000,15750000,12957000,12527000,10379000,13261000,12250000,11080000,20462000,29723000,28201000,- -
75,Deferred Income Tax,-200000,-600000,-900000,691000,-4497000,1399000,-1218000,-402000,-595000,-1830000,454000,-7492000,7050000,1116000,-253000,410000,166000,876000,-72000,234000,-838000,7000,-1101000,-276000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1275000,1607000,1625000,1469000,1722000,1015000,674000,1516000,832000,- -
77,Change in Working Capital,200000,-300000,1800000,15946000,2983000,21250000,-3153000,7369000,-12625000,-6276000,495000,-18620000,12864000,-10209000,-17382000,3559000,-4835000,-8730000,-22515000,10343000,21537000,15831000,-25918000,22135000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2683000,108000,4358000,8909000,-3287000,-2711000,-2444000,-2448000,-2343000,7187000,-10982000,-4492000,19971000,- -
79,Inventory,- -,-200000,-1000000,1794000,-668000,1151000,-257000,1290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292000,-1374000,2711000,87000,-121000,435000,948000,764000,-2331000,-537000,-669000,-734000,-4635000,- -
81,Other Working Capital,38700000,38400000,40200000,56146000,59129000,80379000,77226000,84595000,71970000,65694000,66189000,47569000,60433000,50224000,32842000,36401000,31566000,22836000,321000,10664000,32201000,48032000,22114000,44249000,- -
82,Other Non-Cash Items,100000,2600000,-2800000,-30487000,15613000,-25894000,-465000,-17390000,32455000,4462000,5437000,29826000,-24886000,26038000,27079000,-4802000,3183000,5690000,18837000,-14007000,-15990000,-11154000,37354000,54146000,- -
83,Cash Provided by Operating Activities,6100000,13100000,15800000,11052000,25868000,21141000,27407000,23099000,45459000,18878000,20647000,11616000,15654000,14717000,-1268000,2911000,6242000,4380000,-4636000,10937000,15528000,1508000,26556000,66053000,- -
84,CAPEX,-3200000,-14100000,-12600000,-8909000,-19016000,-5877000,-23867000,-19465000,-15365000,-20110000,-15207000,-27979000,-14683000,-16942000,-8958000,-7305000,-8843000,-11661000,-7722000,-3797000,-7185000,-7690000,-15564000,-17414000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-3000000,-18000000,-1000000,- -,- -,- -,- -,- -
86,Purchases of Investments,-7500000,-18700000,-19100000,-15818000,-56966000,-45337000,-45054000,-271673000,-733935000,-351108000,-36813000,-11384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000
87,Sales/Maturities of Investments,- -,8400000,13200000,21140000,41509000,32214000,49226000,284096000,726126000,373466000,26348000,18742000,8019000,606000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,200000,-10400000,-1705000,8000,38000,131000,1626000,5986000,343000,- -,- -,- -,275000,660000,4544000,5292000,1361000,724000,215000,350000,-1321000,1308000,395000,- -
89,Cash Used for Investing Activites,-10500000,-24200000,-28900000,-5292000,-34465000,-18962000,-19564000,-5416000,-17188000,2591000,-25672000,-20621000,-6664000,-16061000,-8298000,-2761000,-5551000,-13300000,-24998000,-4582000,-6835000,-9011000,-14256000,-17019000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120780000,-29356000,-2158000,-2894000,-28737000,-40409000,-167190000,-293288000,-311955000,-317673000,-4200000,-10658000,-40233000,- -
91,Common Stock Issued,41000000,- -,2400000,704000,738000,1681000,2907000,4477000,327000,1112000,- -,172000,251000,242000,123000,103000,97000,118000,181000,400000,1023000,4605000,6710000,9026000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4605000,- -,- -,- -
93,Dividends Paid,-8000000,- -,- -,- -,- -,- -,-10420000,-22820000,-21943000,-16289000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3137000,- -,- -,- -
94,Other Financing Activites,-4400000,3600000,3200000,4073000,390000,-5420000,-7368000,9259000,-3714000,10496000,-5828000,116886000,22256000,2186000,2920000,28641000,41525000,170488000,319626000,302711000,307866000,5950000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,28600000,3600000,5600000,4777000,1128000,-3739000,-14881000,-9084000,-25330000,-4681000,-5828000,-3722000,-6849000,270000,149000,7000,1213000,3416000,26519000,-8844000,-8784000,7823000,-3948000,-31207000,- -
96,Effect of Forex Changes on Cash,-100000,200000,-200000,63000,-792000,421000,-150000,55000,-125000,-776000,442000,-719000,795000,223000,396000,-693000,-98000,-179000,435000,902000,508000,-1396000,-295000,106000,- -
97,Net Change In Cash,- -,- -,-7700000,10600000,-8261000,-1139000,-7188000,8654000,2816000,16012000,-10411000,-13446000,10011000,-851000,-9021000,-536000,1806000,-5683000,-2680000,-1587000,417000,-1076000,8057000,17933000,- -
98,Cash at the End of Period,- -,- -,11900000,22543000,14282000,13143000,5955000,14609000,17425000,33437000,23026000,9580000,19591000,18740000,9719000,9183000,10989000,5306000,2626000,1039000,1456000,380000,32626000,50559000,- -
99,Cash at the Beginning of Period,2700000,27000000,19600000,11943000,22543000,14282000,13143000,5955000,14609000,17425000,33437000,23026000,9580000,19591000,18740000,9719000,9183000,10989000,5306000,2626000,1039000,1456000,24569000,32626000,- -
100,Free Cash Flow,2900000,-1000000,3200000,2143000,6852000,15264000,3540000,3634000,30094000,-1232000,5440000,-16363000,971000,-2225000,-10226000,-4394000,-2601000,-7281000,-12358000,7140000,8343000,-6182000,10992000,48639000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1031029/000095013499002340/0000950134-99-002340-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031029/000110465903005138/0001104659-03-005138-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013404003096/0000950134-04-003096-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013405005256/0000950134-05-005256-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000095013406005320/0000950134-06-005320-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000136231007000275/0001362310-07-000275-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000136231008001182/0001362310-08-001182-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465909013843/0001104659-09-013843-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465910009646/0001104659-10-009646-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465911012427/0001104659-11-012427-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000110465912016956/0001104659-12-016956-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102913000019/0001031029-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102914000015/0001031029-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102915000010/0001031029-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102916000079/0001031029-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102917000008/0001031029-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102918000025/0001031029-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000103102919000014/0001031029-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774920004942/0001437749-20-004942-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774921006156/0001437749-21-006156-index.htm,https://www.sec.gov/Archives/edgar/data/1031029/000143774922006117/0001437749-22-006117-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
