,https://roic.ai/company/ESGR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-637000000,-1298905000,-1641842000,-2194392000,-793950000,2138114000,2731487000,3063914000,-3304116000,-691969000,-2560316000,-5578384000,-6023824000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21222000,21222000,21222000,21222000,2370207000,5097366000,7832062000,8432345000,3174440000,5461525000,4993385000,3924645000,4875737000,- -,- -
46,Other Assets,- -,69572000,72932000,68017000,69413000,93319000,99621000,128609000,152449000,158977000,185220000,1774252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21647284000,24429000000
47,Total Assets,- -,69572000,72932000,68017000,69413000,93319000,99621000,128609000,152449000,158977000,185220000,1774252000,2417143000,4358151000,4170842000,5235904000,6606138000,5882243000,8620155000,9936885000,11832132000,12865744000,13606422000,16556270000,19363315000,21647284000,24429000000
48,Accounts Payable,- -,- -,- -,- -,- -,551000,813000,1043000,437000,358000,595000,29191000,211253000,179917000,162576000,231435000,208540000,143123000,281028000,276723000,274598000,394021000,236697000,388086000,373180000,494412000,254000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,185000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,5595000,2562000,639000,5467000,1542000,- -,19034000,51854000,50075000,16985000,23023000,23721000,22450000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1695747000,3171083000,2951424000,3810565000,4768460000,4077877000,6131972000,7035271000,8381314000,8995808000,9586352000,11389712000,13419529000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1907000000,3351000000,3114000000,4042000000,4977000000,4221000000,6413000000,7311994000,8655912000,9389829000,9823049000,11792798000,13792709000,679412000,- -
54,Long-Term Debt,- -,18100000,513000,- -,- -,- -,- -,- -,- -,- -,- -,62148000,60227000,391534000,254961000,245278000,242710000,107430000,452446000,320041000,600250000,673603000,646689000,846539000,1191207000,1188259000,1691000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,473000,- -,- -,238000,151000,741000,1766000,7730000,10401000,- -,- -,- -,- -,- -,- -,- -,53328000,43958000,92588000,28356000,15262000,10542000,16074000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227000,466000,39000,-278000,290000,-430000,-53774000,-43958000,-93088000,-28356000,-15262000,4458000,-16074000,- -,- -
58,Total Non-Current Liabilities,- -,18100000,986000,- -,- -,- -,- -,- -,- -,- -,- -,62148000,60000000,392000000,255000000,245000000,243000000,107000000,452000000,320041000,599750000,673603000,646689000,861539000,1191207000,1188259000,1691000000
59,Other Liabilities,- -,39530000,4254000,1073000,819000,1916000,1964000,8360000,6517000,12803000,20097000,1462270000,- -,- -,- -,- -,- -,- -,- -,- -,1255187000,- -,- -,- -,- -,15468127000,19615000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,21430000,3268000,1073000,819000,1916000,1964000,8360000,6517000,12803000,20097000,1400122000,1903107000,3486920000,3094690000,4020083000,4922727000,4107010000,6642632000,7414065000,9311349000,10054912000,10460474000,12642281000,14506964000,14959280000,17924000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2726000,389000,389000,510389000,510389000,510389000,510000000
63,Common Stock,- -,- -,45000,57000,57000,57000,59000,59000,59000,60000,60000,19000,11920000,16307000,16554000,15913000,19364000,13752000,13803000,15761000,16133000,16175000,16402000,17950000,18002000,18576000,17000000
64,Retained Earnings,- -,-143742000,-134825000,-96477000,-94340000,-86035000,-84461000,-61968000,-48742000,-38350000,-19305000,202655000,260296000,341847000,477057000,651143000,804836000,972853000,1181457000,1395206000,1578312000,1847550000,2132912000,1976539000,2887892000,4647312000,5085000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,126000,669000,391000,210000,4565000,6035000,-30871000,8709000,35017000,27096000,24439000,13978000,-12686000,-35162000,-23549000,10468000,10440000,7171000,80659000,-16000000
66,Other Total Stockholders Equity,- -,191884000,204444000,163364000,162877000,177381000,182059000,182032000,182497000,184073000,184158000,111371000,172348000,287926000,299561000,246348000,534770000,542711000,546285000,906569000,954863000,961747000,976513000,1386615000,1418729000,1417459000,500000000
67,Total Stockholders Equity,- -,48142000,69664000,66944000,68594000,91403000,97657000,120249000,134483000,146174000,165123000,318610000,450599000,615209000,801881000,948421000,1386066000,1553755000,1755523000,2304850000,2516872000,2802312000,3136684000,3901933000,4842183000,6674395000,6096000000
68,Total Liabilities And Stockholders Equity,- -,69572000,72932000,68017000,69413000,93319000,99621000,128609000,141000000,158977000,185220000,1718732000,2353706000,4102129000,3896571000,4968504000,6308793000,5660765000,8398155000,9718915000,11828221000,12857224000,13597158000,16544214000,19349147000,21633675000,24020000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,11449000,- -,- -,55520000,63437000,256022000,274271000,267400000,297345000,221478000,222000000,217970000,3911000,8520000,9264000,12056000,14168000,13609000,409000000
70,Total Liabilities & Equity,- -,69572000,72932000,68017000,69413000,93319000,99621000,128609000,152449000,158977000,185220000,1774252000,2417143000,4358151000,4170842000,5235904000,6606138000,5882243000,8620155000,9936885000,11832132000,12865744000,13606422000,16556270000,19363315000,21647284000,24429000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1363829/000089322008000584/w49057e10vk.htm,https://www.sec.gov/Archives/edgar/data/1363829/000089322009000469/0000893220-09-000469-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000095012310020752/0000950123-10-020752-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000095012311022319/w81504e10vk.htm,https://www.sec.gov/Archives/edgar/data/1363829/000119312512078373/0001193125-12-078373-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000119312513085279/0001193125-13-085279-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000119312514080274/d660344d10k.htm,https://www.sec.gov/Archives/edgar/data/1363829/000119312515073296/d850838d10k.htm,https://www.sec.gov/Archives/edgar/data/1363829/000162828016011966/0001628280-16-011966-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382917000017/0001363829-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382918000026/0001363829-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382919000023/0001363829-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382920000039/0001363829-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382921000024/0001363829-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1363829/000136382922000045/0001363829-22-000045-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,68604000,740000,8917000,38348000,2137000,8305000,1574000,22493000,13226000,10392000,19045000,82346000,61785000,81551000,135210000,174086000,153693000,168017000,208604000,213749000,220291000,264807000,311458000,-150221000,938089000,1755044000,473000000
74,Depreciation and Amortization,16000,9000,11000,15000,104000,99000,102000,27000,- -,- -,- -,2462000,1127000,808000,1138000,1516000,26678000,1469000,1055000,5792000,55159000,34938000,32461000,33295000,35583000,59570000,74000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,238000,-87000,512000,688000,5395000,2482000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-86829000,1276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488921000,497008000,49691000,137062000,-1913751000,-2695054000,-2188784000,-182547000,5809234000,-1987390000,775598000,2048839000,-143958000,-694869000,1097000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,11000,- -,- -,- -,- -,-40331000,215633000,- -,- -,- -,- -,666793000,430542000,434605000,402575000,-21866000,-530857000,-480462000,-139750000,75353000,572000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-352000,530000,- -,5683000,-3014000,-1594000,4708000,-32826000,-203427000,- -,- -,- -,-24833000,-65475000,-165896000,-187178000,-21485000,120515000,-157741000,151918000,-15227000,86645000,-300000000
81,Other Working Capital,-1276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488921000,985929000,1035620000,1172682000,-741069000,-3436123000,-5624907000,-5807454000,1780000,-1985610000,-1210012000,838827000,694869000,- -,514000000
82,Other Non-Cash Items,-56553000,-21884000,-10948000,-37671000,-565000,-6670000,5049000,-19956000,670000,-7170000,-23539000,-80642000,-478159000,-422180000,-384094000,-921875000,823460000,2338218000,1916738000,460625000,-6824042000,1484956000,-1462624000,-2091985000,933802000,1666621000,2157000000
83,Cash Provided by Operating Activities,-74762000,-19859000,-2020000,692000,1676000,1972000,6638000,3076000,14584000,8617000,-2012000,4166000,73674000,157187000,-198055000,-609211000,-909920000,-187350000,-62387000,497619000,-739358000,-202689000,-343107000,-160072000,1763516000,2786366000,3801000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-1007000,- -,-9701000,-12037000,- -,-16978000,32831000,- -,-4698000,-5653000,233226000,67804000,173740000,-88505000,- -,-380992000,37540000,109848000,-18454000,122426000,-400591000,103269000,-34647000,-420000000
86,Purchases of Investments,-7228000,-10096000,-8978000,-57778000,-4379000,-6829000,-7914000,-8020000,-10213000,-8120000,-35099000,-282903000,-104339000,-245830000,-1114433000,-897609000,-24787000,-197822000,-123247000,-467276000,-457398000,-143661000,-124733000,-911457000,-3009122000,-5155917000,-6143000000
87,Sales/Maturities of Investments,82455000,14790000,25615000,75961000,54188000,6646000,7721000,7990000,10162000,8145000,17874000,448685000,641391000,399604000,874272000,1165419000,511977000,354016000,214956000,251544000,323370000,326665000,319186000,494615000,926987000,2854222000,3415000000
88,Other Investing Activites,11000,- -,-27000,-5000,-36000,3899000,-19000,-21037000,-7169000,- -,-8406000,18212000,-56272000,-141938000,-87457000,-188089000,293238000,72437000,-76506000,-113906000,511247000,-7841000,-23617000,-8321000,-4671000,906000,575000000
89,Cash Used for Investing Activites,75238000,4694000,16610000,17171000,49773000,-5985000,-12249000,-21067000,-24198000,32856000,-25631000,179296000,475127000,245062000,-259814000,253461000,691923000,228631000,-365789000,-292098000,487067000,156709000,293262000,-825754000,-1983537000,-2335436000,-2573000000
90,Debt Repayment,- -,- -,-18100000,-1824000,- -,- -,- -,- -,- -,- -,- -,-133195000,-73157000,-200301000,-163490000,-226227000,-277458000,-134541000,-39505000,-199245000,-377500000,-493250000,-912140000,-914319000,-742574000,-679000000,-574000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,3725000,- -,- -,555000,- -,- -,- -,115392000,2796000,- -,287377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1040000,-5224000,-10000,- -,- -,- -,- -,- -,- -,-22642000,-16762000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26006000,-942000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16120000,- -,-41663000,- -,- -,- -,-49231000,-8100000,- -,- -,- -,- -,- -,- -,-12133000,-35914000,-35700000,-36000000
94,Other Financing Activites,- -,18100000,501000,1311000,- -,15000000,- -,- -,10006000,- -,- -,183865000,85437000,709493000,-38990000,150761000,257950000,-99232000,462581000,330831000,506847000,576691000,846664000,1679438000,1072026000,858112000,815000000
95,Cash Used/Provided by Financing Activities,- -,18100000,-18639000,-5737000,-10000,15000000,3725000,- -,10006000,-15565000,- -,-13635000,-4482000,624584000,-199684000,-124697000,259769000,-233773000,423076000,131586000,129347000,83441000,-65476000,752986000,293538000,117406000,-737000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,778000,101000,-155524000,57452000,13156000,9548000,-3092000,-5949000,-17546000,-18533000,-13985000,9512000,2588000,-324000,-5800000,4000000
97,Net Change In Cash,476000,2935000,-4049000,12126000,51439000,10987000,-1886000,-17991000,392000,25908000,-27643000,170605000,544420000,871309000,-600101000,-467291000,51320000,-195584000,-11049000,319561000,-141477000,23476000,-105809000,-230252000,73193000,401767000,719000000
98,Cash at the End of Period,1814000,4749000,700000,12826000,64265000,75252000,73366000,55375000,55767000,81675000,54032000,450817000,995237000,1866546000,1266445000,799154000,850474000,654890000,643841000,963402000,821925000,1318645000,1212836000,982584000,1055777000,1373116000,2092000000
99,Cash at the Beginning of Period,1338000,1814000,4749000,700000,12826000,64265000,75252000,73366000,55375000,55767000,81675000,280212000,450817000,995237000,1866546000,1266445000,799154000,850474000,654890000,643841000,963402000,1295169000,1318645000,1212836000,982584000,971349000,1373000000
100,Free Cash Flow,-74762000,-19859000,-2020000,692000,1676000,1972000,6638000,3076000,14584000,8617000,-2012000,4166000,73674000,157187000,-198055000,-609211000,-909920000,-187350000,-62387000,497619000,-739358000,-202689000,-343107000,-160072000,1763516000,2786366000,3801000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1363829/000089322008000584/w49057e10vk.htm,https://www.sec.gov/Archives/edgar/data/1363829/000089322009000469/0000893220-09-000469-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000095012310020752/0000950123-10-020752-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000095012311022319/w81504e10vk.htm,https://www.sec.gov/Archives/edgar/data/1363829/000119312512078373/0001193125-12-078373-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000119312513085279/0001193125-13-085279-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000119312514080274/d660344d10k.htm,https://www.sec.gov/Archives/edgar/data/1363829/000119312515073296/d850838d10k.htm,https://www.sec.gov/Archives/edgar/data/1363829/000162828016011966/0001628280-16-011966-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382917000017/0001363829-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382918000026/0001363829-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382919000023/0001363829-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382920000039/0001363829-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1363829/000136382921000024/0001363829-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1363829/000136382922000045/0001363829-22-000045-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
