,https://roic.ai/company/MVIS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,650579,725775,749187,1021075,1427575,1525000,1758375,2243250,2686625,2812250,4196500,6245375,7705375,9220000,11379000,13919000,21595000,28025000,41599000,46540000,51958000,72786000,86983000,111297000,139829000,160662000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65770/000110465901500242/0001104659-01-500242-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000091205702012836/0000912057-02-012836-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000110465903005013/0001104659-03-005013-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000104746904008005/0001047469-04-008005-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65770/000006577009000001/0000065770-09-000001-index.html,https://www.sec.gov/Archives/edgar/data/65770/000006577010000002/0000065770-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/65770/000113626112000136/0001136261-12-000136-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626113000135/0001136261-13-000135-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626114000102/0001136261-14-000102-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626115000080/0001136261-15-000080-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626116000410/0001136261-16-000410-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626117000055/0001136261-17-000055-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626118000055/0001136261-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626119000098/0001136261-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626120000079/0001136261-20-000079-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626121000040/0001136261-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626122000126/0001136261-22-000126-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14300000,5000000,2300000,2798000,7307400,15587000,9872000,10700000,1268000,6860000,14552000,13399000,25533000,43025000,19413000,13075000,6850000,5375000,8349000,7888000,15139000,16966000,13766000,5837000,16862000,82647000
32,Short-Term Investments,- -,- -,- -,29369400,33410000,18065000,5304000,11078000,- -,- -,10693000,22411000,2705000,2710000,319000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32720000
33,Cash and Short-Term Investments,14300000,5000000,2300000,32167400,40717400,33652000,15176000,21778000,1268000,6860000,25245000,35810000,28238000,45735000,19732000,13083000,6850000,5375000,8349000,7888000,15139000,16966000,13766000,5837000,16862000,115367000
34,Net Receivables,- -,200000,2300000,3024900,3148900,3296000,2388000,2560000,5824000,2584000,1731000,2328000,537000,913000,1116000,463000,1127000,24000,669000,1687000,245000,695000,1463000,1079000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,99000,747000,331000,3167000,759000,1043000,761000,1525000,926000,6075000,4254000,497000,49000,116000,862000,1233000,4541000,1109000,192000,- -,1780000
36,Other Current Assets,100000,4700000,200000,1497700,2100600,2404000,2348000,1684000,1293000,3368000,1986000,1180000,1584000,821000,701000,855000,1221000,336000,491000,638000,731000,945000,1311000,729000,698000,2283000
37,Total Current Assets,14400000,9900000,4800000,36690000,45966900,39451000,20659000,26353000,11552000,13571000,30005000,40079000,31884000,48395000,27624000,18655000,9695000,5784000,9625000,11075000,17348000,23147000,17649000,7837000,17560000,119430000
38,PP&E,200000,800000,1400000,3054700,7515900,8960000,7672000,5958000,2318000,2902000,4011000,4047000,3701000,3904000,4169000,2347000,1205000,1065000,894000,1669000,1537000,3251000,2993000,3157000,2829000,8603000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2233000,2048000,1580000,1145000,973000,845000,718000,602000,486000,221000,164000,115000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2233000,2048000,1580000,1145000,973000,845000,718000,602000,486000,221000,164000,115000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1189000,1189000,786000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,200000,1874300,2688400,5644000,3936000,1607000,11668000,6890000,1309000,1172000,1379000,48000,18000,34000,458000,453000,453000,453000,503000,2697000,1905000,621000,453000,2077000
45,Total Non-Current Assets,200000,800000,1600000,4929000,10204300,14604000,11608000,7565000,13986000,9792000,5320000,5219000,5080000,5141000,7609000,5215000,3243000,2663000,2320000,2967000,2758000,6550000,5384000,3999000,3446000,10795000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14600000,10700000,6400000,41619000,56171200,54055000,32267000,33918000,25538000,23363000,35325000,45298000,36964000,53536000,35233000,23870000,12938000,8447000,11945000,14042000,20106000,29697000,23033000,11836000,21006000,130225000
48,Accounts Payable,400000,800000,1300000,1453100,1974500,1613000,1462000,1223000,2624000,2328000,1985000,3116000,3487000,4949000,7665000,7341000,3035000,1610000,1626000,2183000,2195000,3063000,2411000,1871000,630000,3584000
49,Short-Term Debt,- -,- -,100000,267700,368400,227000,147000,132000,116000,7950000,2522000,109000,112000,918000,85000,93000,67000,- -,- -,- -,- -,- -,- -,- -,431000,1262000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,707000,680000,230000,2122000,1167000,2742000,1585000,10208000,7765000,5265000
52,Other Current Liabilities,700000,700000,2100000,2167100,3072600,4513000,4539000,5217000,7909000,8016000,6338000,6811000,3938000,4307000,4256000,5308000,4055000,7372000,2729000,3399000,3882000,14268000,14192000,2377000,1202000,2351000
53,Total Current Liabilities,1100000,1500000,3500000,3887900,5415500,6353000,6148000,6572000,10649000,18294000,10845000,10036000,7537000,10174000,12006000,12742000,7864000,9662000,4585000,7704000,7244000,20073000,18188000,14456000,10028000,12462000
54,Long-Term Debt,- -,100000,300000,620900,471900,232000,169000,99000,22000,1447000,457000,393000,322000,244000,159000,67000,- -,- -,- -,- -,- -,- -,- -,- -,1151000,5009000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000,- -,- -,- -,6149000,5150000,4151000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-30000,- -,214800,242100,320000,1311000,2105000,7677000,7131000,2159000,1808000,1454000,1227000,1235000,72000,20000,481000,488000,342000,238000,607000,728000,1357000,818000,- -
58,Total Non-Current Liabilities,- -,70000,300000,835700,714000,552000,1480000,2204000,7699000,8578000,2616000,2201000,1776000,1471000,1394000,326000,20000,481000,488000,6491000,5388000,4758000,728000,1357000,1969000,5009000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,94000,34000,9000,105000,132000,88000,45000,219000,154000,111000,68000,15000,- -,- -,- -,- -,54000,2038000,1525000,5879000
61,Total Liabilities,1100000,1500000,3800000,4723600,6129500,6905000,7628000,8776000,18348000,26872000,13461000,12237000,9313000,11645000,13400000,13068000,7884000,10143000,5073000,14195000,12632000,24831000,18916000,15813000,11997000,17471000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,75518300,120506100,135954000,147058000,21000,22000,25000,43000,57000,58000,89000,102000,17000,25000,32000,45000,47000,68000,79000,100000,126000,153000,164000
64,Retained Earnings,-10600000,-15500000,-22800000,-39536100,-66137200,-100931000,-128107000,-154270000,-187575000,-215650000,-239634000,-259421000,-292041000,-331570000,-379030000,-414838000,-437531000,-450709000,-468829000,-483371000,-499843000,-524086000,-546116000,-572599000,-586233000,-629433000
65,Other Comprehensive Income/Loss,- -,-200000,-600000,-1316400,-2563400,-4944000,-7886000,-10764000,-9232000,-10833000,9000000,-10441000,-11421000,-12559000,-14290000,-16543000,-17827000,-7853000,-8251000,-8680000,-9601000,-10742000,-12464000,-13543000,- -,-19000
66,Other Total Stockholders Equity,24100000,24900000,26000000,2229600,- -,2247000,6351000,188308000,203975000,222949000,252455000,302866000,331055000,385931000,415051000,442166000,460387000,456834000,483907000,491851000,516850000,539615000,562597000,582039000,595089000,- -
67,Total Stockholders Equity,13500000,9200000,2600000,36895400,50041700,32326000,17416000,23295000,7190000,-3509000,21864000,33061000,27651000,41891000,21833000,10802000,5054000,-1696000,6872000,-153000,7474000,4866000,4117000,-3977000,9009000,112754000
68,Total Liabilities And Stockholders Equity,14600000,10700000,6400000,41619000,56171200,39231000,25044000,32071000,25538000,23363000,35325000,45298000,36964000,53536000,35233000,23870000,12938000,8447000,11945000,14042000,20106000,29697000,23033000,11836000,21006000,130225000
69,Minority Interest,- -,- -,- -,- -,- -,14824000,7223000,1847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14600000,10700000,6400000,41619000,56171200,54055000,32267000,33918000,25538000,23363000,35325000,45298000,36964000,53536000,35233000,23870000,12938000,8447000,11945000,14042000,20106000,29697000,23033000,11836000,21006000,130225000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65770/000110465901500242/0001104659-01-500242-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000091205702012836/0000912057-02-012836-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000110465903005013/0001104659-03-005013-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000104746904008005/0001047469-04-008005-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65770/000006577009000001/0000065770-09-000001-index.html,https://www.sec.gov/Archives/edgar/data/65770/000006577010000002/0000065770-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/65770/000113626112000136/0001136261-12-000136-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626113000135/0001136261-13-000135-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626114000102/0001136261-14-000102-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626115000080/0001136261-15-000080-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626116000410/0001136261-16-000410-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626117000055/0001136261-17-000055-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626118000055/0001136261-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626119000098/0001136261-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626120000079/0001136261-20-000079-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626121000040/0001136261-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626122000126/0001136261-22-000126-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3500000,-4900000,-7300000,-14718000,-26601100,-34794000,-27176000,-26163000,-33197000,-28183000,-23984000,-19787000,-32620000,-39529000,-47460000,-35808000,-22693000,-13178000,-18120000,-14542000,-16472000,-24243000,-27250000,-26483000,-13634000,-43200000
74,Depreciation and Amortization,- -,- -,500000,675600,1247000,2381000,2943000,3109000,2406000,1602000,1218000,953000,989000,1138000,1763000,2591000,1629000,1081000,546000,557000,1247000,1257000,1838000,1649000,963000,1464000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3450000,3356000,2269000,1606000,713000,1007000,1223000,1288000,1061000,1569000,1297000,15284000
77,Change in Working Capital,400000,-4900000,-7100000,31502100,7749300,-7453400,-18587000,5270000,-18878000,-5626000,23883000,10883000,-5696000,13874000,-22603000,-9705000,-4082000,-5709000,8918000,-1669000,6733000,-7030000,-3613000,-6080000,14151000,99436000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-376000,-203000,- -,-652000,1091000,-645000,-1018000,1442000,230000,-461000,-603000,1079000,- -
79,Inventory,- -,- -,- -,- -,- -,-99000,-648000,416000,-2836000,-1324000,-1465000,198000,-1239000,-658000,-14728000,258000,2663000,145000,-109000,-1033000,-558000,-4312000,-982000,-1286000,24000,48000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477000,2591000,-532000,-4077000,-1486000,-25000,493000,-174000,1147000,-1079000,-268000,-1387000,2520000
81,Other Working Capital,13300000,8400000,1300000,32802100,40551400,33098000,14511000,19781000,903000,-4723000,19160000,30043000,24347000,38221000,15618000,5913000,1831000,-3878000,5040000,3371000,10104000,3074000,-539000,-6619000,7532000,106968000
82,Other Non-Cash Items,400000,4700000,7800000,-33998200,-5541300,4830400,14821000,-8625000,17388000,12480000,-28173000,-13357000,6167000,-7193000,18654000,11679000,2256000,3543000,-5009000,8820000,-7552000,13249000,5392000,5302000,-18852000,-102388000
83,Cash Provided by Operating Activities,-2700000,-5100000,-6100000,-16538500,-23146100,-35036000,-27999000,-26409000,-32281000,-19727000,-27056000,-21308000,-31160000,-31710000,-46196000,-27887000,-20621000,-12657000,-12952000,-5827000,-14821000,-15479000,-22572000,-24043000,-16075000,-29404000
84,CAPEX,-200000,-700000,-700000,-2090500,-5429300,-3769000,-1354000,-1549000,-1040000,-1239000,-2152000,-1058000,-495000,-1360000,-1886000,-550000,-533000,-376000,-207000,-1140000,-895000,-3100000,-1118000,-745000,-402000,882000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-3800000,-3900000,-56200200,-37711500,-9764000,-1602000,-10349000,- -,-3349000,-268000,-31833000,-1336000,- -,-306000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32825000
87,Sales/Maturities of Investments,- -,- -,7700000,26146600,33859700,25622000,14237000,4605000,13322000,6379000,13242000,10966000,20400000,143000,2573000,709000,361000,1000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1252000,-491000,24000,-2238000,-755000,955000,7687000,389000,- -,- -,11000,-453000,35000,34000,- -,4000,59000,- -,- -,525000,-3375000
89,Cash Used for Investing Activites,-200000,-4500000,3100000,-32144100,-9281100,10837000,10790000,-7269000,10044000,1036000,11777000,-14238000,18958000,-1217000,381000,170000,-92000,-340000,-173000,-1140000,-891000,-3041000,-1118000,-745000,123000,-35318000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000,-143000,-127000,-136000,-120000,-15000,- -,-15000,- -,-12000,-20000,-29000,-28000
91,Common Stock Issued,17000000,400000,300000,48894400,37033300,11532000,11576000,32924000,10246000,9939000,32205000,35896000,24442000,50550000,22346000,21506000,14624000,11642000,16114000,6506000,22978000,20347000,20363000,16879000,25435000,122891000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-73400,- -,- -,- -,- -,-108000,-173000,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-100000,390600,-96700,20947000,-82000,1582000,2667000,14517000,-9191000,-1503000,-106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000,- -,1571000,8301000
95,Cash Used/Provided by Financing Activities,17000000,400000,200000,49211600,36936600,32479000,11494000,34506000,12805000,24283000,22971000,34393000,24336000,50419000,22203000,21379000,14488000,11522000,16099000,6506000,22963000,20347000,20490000,16859000,26977000,131164000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,529000,4509400,8280000,-5715000,828000,-9432000,5592000,7692000,-1153000,12134000,17492000,-23612000,-6338000,-6225000,-1475000,2974000,-461000,7251000,1827000,-3200000,-7929000,11025000,66442000
98,Cash at the End of Period,- -,- -,- -,2798000,7307400,15587000,9872000,10700000,1268000,6860000,14552000,13399000,25533000,43025000,19413000,13075000,6850000,5375000,8349000,7888000,15139000,16966000,14201000,6272000,17297000,83739000
99,Cash at the Beginning of Period,100000,14300000,5000000,2269000,2798000,7307000,15587000,9872000,10700000,1268000,6860000,14552000,13399000,25533000,43025000,19413000,13075000,6850000,5375000,8349000,7888000,15139000,17401000,14201000,6272000,17297000
100,Free Cash Flow,-2900000,-5800000,-6800000,-18629000,-28575400,-38805000,-29353000,-27958000,-33321000,-20966000,-29208000,-22366000,-31655000,-33070000,-48082000,-28437000,-21154000,-13033000,-13159000,-6967000,-15716000,-18579000,-23690000,-24788000,-16477000,-28522000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65770/000110465901500242/0001104659-01-500242-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000091205702012836/0000912057-02-012836-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000110465903005013/0001104659-03-005013-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000104746904008005/0001047469-04-008005-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65770/000006577009000001/0000065770-09-000001-index.html,https://www.sec.gov/Archives/edgar/data/65770/000006577010000002/0000065770-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/65770/000113626112000136/0001136261-12-000136-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626113000135/0001136261-13-000135-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626114000102/0001136261-14-000102-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626115000080/0001136261-15-000080-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626116000410/0001136261-16-000410-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626117000055/0001136261-17-000055-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626118000055/0001136261-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626119000098/0001136261-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626120000079/0001136261-20-000079-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626121000040/0001136261-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/65770/000113626122000126/0001136261-22-000126-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
