,https://roic.ai/company/CIR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1091883/000091205700015039/0000912057-00-015039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091883/000092701603001064/0000927016-03-001064-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312504042397/0001193125-04-042397-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312505049601/0001193125-05-049601-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312506042783/0001193125-06-042783-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312507037093/0001193125-07-037093-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312508051362/0001193125-08-051362-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312509038890/0001193125-09-038890-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312510039984/0001193125-10-039984-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312511044711/0001193125-11-044711-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312512074492/0001193125-12-074492-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188313000005/0001091883-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188314000010/0001091883-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188315000012/0001091883-15-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1091883/000109188317000013/0001091883-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188318000009/0001091883-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188319000008/0001091883-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188320000044/0001091883-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188321000005/0001091883-21-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6241000,5153000,8192000,57010000,38382000,58202000,58653000,31112000,28652000,34662000,47473000,46350000,45752000,54855000,61738000,102180000,121286000,54541000,58279000,110356000,68517000,84531000,76452000
32,Short-Term Investments,- -,- -,- -,- -,- -,4064000,7840000,4155000,86000,86000,8861000,34872000,21498000,101000,99000,101000,95000,86000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6241000,5153000,8192000,57010000,42446000,66042000,62808000,31198000,28738000,43523000,82345000,67848000,45853000,54954000,61839000,102275000,121372000,54541000,58279000,110356000,68517000,84531000,76452000
34,Net Receivables,- -,53565000,60916000,58457000,58855000,56130000,64830000,64521000,77731000,108689000,132548000,140812000,119874000,140523000,156075000,150825000,144742000,156738000,125628000,133046000,223922000,183552000,125422000,102730000
35,Inventory,- -,89788000,107332000,111258000,99879000,110287000,97278000,105150000,107687000,150160000,171661000,183291000,145031000,167797000,203777000,198005000,199404000,183434000,177840000,149584000,244896000,217378000,137309000,129084000
36,Other Current Assets,- -,4816000,16800000,12333000,10448000,10146000,14774000,9367000,9148000,13363000,12522000,17236000,21935000,26402000,29238000,32557000,37501000,44487000,16441000,29557000,59219000,178599000,227857000,98299000
37,Total Current Assets,- -,154410000,190201000,190240000,226192000,219009000,242924000,241846000,225764000,300950000,360254000,423684000,354688000,380575000,444044000,443226000,483922000,506031000,374450000,370466000,638393000,648046000,575119000,406565000
38,PP&E,- -,55982000,75154000,64794000,66973000,64365000,61737000,59302000,63350000,79039000,82465000,82843000,95167000,95768000,104434000,105903000,107724000,96212000,87029000,99713000,217539000,201799000,172179000,168763000
39,Goodwill,- -,39173000,- -,- -,- -,- -,- -,- -,- -,163720000,169110000,32092000,47893000,63175000,77829000,77428000,75876000,72430000,115452000,206659000,505762000,459205000,271893000,158944000
40,Intangible Assets,- -,- -,96488000,87741000,89833000,100419000,113035000,121731000,161120000,49226000,47373000,42123000,55238000,62322000,58442000,45157000,35656000,26887000,48981000,135779000,513364000,441302000,385542000,353595000
41,Intangible Assets,- -,39173000,96488000,87741000,89833000,100419000,113035000,121731000,161120000,212946000,216483000,74215000,103131000,125497000,136271000,122585000,111532000,99317000,164433000,342438000,1019126000,900507000,657435000,512539000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11829000,27949000,30064000,18579000,19048000,36799000,4824000,22334000,28462000,30852000,779000
44,Other Non-Current Assets,- -,3912000,5242000,4287000,3123000,6941000,6167000,5539000,10146000,12740000,17267000,7281000,9067000,2526000,9825000,8203000,4893000,4114000,7204000,3315000,9407000,12798000,35360000,41882000
45,Total Non-Current Assets,- -,99067000,176884000,156822000,159929000,171725000,180939000,186572000,234616000,304725000,316215000,164339000,207365000,235620000,278479000,266755000,242728000,218691000,295465000,450290000,1268406000,1143566000,895826000,723963000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,253477000,367085000,347062000,386121000,390734000,423863000,428418000,460380000,605675000,676469000,588023000,562053000,616195000,722523000,709981000,726650000,724722000,669915000,820756000,1906799000,1791612000,1470945000,1130528000
48,Accounts Payable,- -,28345000,21172000,30767000,27593000,26769000,37635000,38023000,49736000,71788000,82038000,94421000,57239000,80577000,92493000,80361000,70589000,87112000,64284000,46767000,117329000,123881000,79399000,61236000
49,Short-Term Debt,- -,2977000,2260000,940000,19844000,18596000,17268000,15051000,27213000,415000,201000,622000,18390000,80682000,9796000,7755000,7203000,8423000,- -,- -,7865000,7850000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,5553000,3214000,9123000,3081000,8541000,4072000,5844000,6764000,9072000,7733000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27139000,12915000,15917000,16397000,12746000,33718000,31625000,24006000,17268000
52,Other Current Liabilities,- -,23771000,19069000,18853000,20000000,22768000,29233000,31852000,43958000,75711000,111576000,111735000,65353000,73591000,93267000,67029000,79846000,74034000,61490000,58210000,163605000,120706000,132970000,86688000
53,Total Current Liabilities,- -,55093000,42501000,50560000,67437000,68133000,84136000,84926000,120907000,147914000,193815000,206778000,140982000,234850000,195556000,182284000,170553000,185486000,142171000,117723000,322517000,284062000,236375000,165192000
54,Long-Term Debt,- -,12776000,122867000,90593000,77818000,59394000,43791000,27829000,6278000,64411000,21901000,12528000,49350000,684000,96327000,62729000,42435000,5261000,90500000,251200000,787343000,778187000,636297000,507888000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6210000,5162000,2873000,2576000,3934000,6303000,6932000,11237000,21674000,19106000,3496000,- -,- -,11284000,10744000,9666000,7771000,10424000,13657000,26122000,33932000,21425000,28980000
57,Other Non-Current Liabilities,- -,6478000,9022000,7490000,9794000,10605000,9820000,10646000,11235000,14375000,21263000,31599000,21313000,23841000,35271000,35977000,27109000,32110000,26043000,33766000,168843000,166438000,185437000,222427000
58,Total Non-Current Liabilities,- -,25464000,137051000,100956000,90188000,73933000,59914000,45407000,28750000,100460000,62270000,47623000,70663000,24525000,142882000,109450000,79210000,45142000,126967000,298623000,982308000,978557000,843159000,759295000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,80557000,179552000,151516000,157625000,142066000,144050000,130333000,149657000,248374000,256085000,254401000,211645000,259375000,338438000,291734000,249763000,230628000,269138000,416346000,1304825000,1262619000,1079534000,924487000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,132000,133000,149000,151000,153000,154000,158000,162000,167000,169000,170000,171000,173000,174000,176000,177000,177000,178000,212000,212000,213000,214000
64,Retained Earnings,- -,- -,3393000,12451000,25878000,39200000,54793000,64293000,82318000,109251000,144644000,83106000,86408000,96389000,130373000,158509000,202930000,250635000,257939000,265543000,274243000,232102000,99280000,-86461000
65,Other Comprehensive Income/Loss,- -,- -,-71930000,-74064000,-82488000,356000,14054000,20596000,12973000,23380000,35573000,3151000,13870000,6106000,-4670000,-3180000,3897000,-33946000,-65988000,-76262000,-36730000,-69739000,-80267000,-85968000
66,Other Total Stockholders Equity,- -,172920000,255938000,257026000,284957000,203952000,206160000,208392000,215274000,224508000,240000000,247196000,249960000,254154000,258209000,262744000,269884000,277227000,208649000,214951000,364249000,366418000,372185000,378256000
67,Total Stockholders Equity,- -,172920000,187533000,195546000,228496000,243659000,275160000,293435000,310723000,357301000,420384000,333622000,350408000,356820000,384085000,418247000,476887000,494093000,400777000,404410000,601974000,528993000,391411000,206041000
68,Total Liabilities And Stockholders Equity,- -,253477000,367085000,347062000,386121000,385725000,419210000,423768000,460380000,605675000,676469000,588023000,562053000,616195000,722523000,709981000,726650000,724721000,669915000,820756000,1906799000,1791612000,1470945000,1130528000
69,Minority Interest,- -,- -,- -,- -,- -,5009000,4653000,4650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,253477000,367085000,347062000,386121000,390734000,423863000,428418000,460380000,605675000,676469000,588023000,562053000,616195000,722523000,709981000,726650000,724722000,669915000,820756000,1906799000,1791612000,1470945000,1130528000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1091883/000091205700015039/0000912057-00-015039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091883/000092701603001064/0000927016-03-001064-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312504042397/0001193125-04-042397-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312505049601/0001193125-05-049601-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312506042783/0001193125-06-042783-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312507037093/0001193125-07-037093-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312508051362/0001193125-08-051362-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312509038890/0001193125-09-038890-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312510039984/0001193125-10-039984-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312511044711/0001193125-11-044711-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312512074492/0001193125-12-074492-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188313000005/0001091883-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188314000010/0001091883-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188315000012/0001091883-15-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1091883/000109188317000013/0001091883-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188318000009/0001091883-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188319000008/0001091883-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188320000044/0001091883-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188321000005/0001091883-21-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,22425000,4880000,10560000,15596000,15577000,17873000,11803000,20383000,29328000,37911000,-59015000,5870000,12624000,36634000,30799000,47121000,50386000,9863000,10101000,11789000,-39384000,-133935000,-185498000
74,Depreciation and Amortization,- -,7844000,7076000,13005000,13046000,10650000,9862000,9856000,10413000,13600000,13449000,14173000,16341000,17376000,19436000,19328000,19073000,19562000,23935000,25620000,30037000,78009000,69636000,64047000
75,Deferred Income Tax,- -,173000,-3503000,1326000,284000,3064000,1372000,-14000,1020000,-4708000,-3574000,-15757000,-18237000,-9868000,307000,-832000,5778000,-2740000,781000,-10737000,-8434000,-4498000,-3440000,48770000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2717000,3430000,3807000,4374000,5056000,7188000,6579000,5545000,3807000,4971000,5418000,5488000
77,Change in Working Capital,- -,-9386000,21600000,-8020000,19075000,-7879000,7912000,-1868000,-52063000,48179000,13403000,50467000,-3200000,-67981000,102763000,12454000,52427000,7176000,-33610000,20464000,63133000,48108000,-25240000,-97371000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35936000,-18246000,-17862000,7063000,8203000,-38439000,20393000,18536000,-5734000,11602000,24339000,23506000
79,Inventory,- -,-9783000,1340000,-4147000,12927000,-4251000,19754000,-1764000,1638000,-29804000,-15672000,-8965000,49157000,-16865000,-38588000,6592000,-311000,-3952000,-14446000,36092000,-19494000,8272000,-9557000,5780000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15504000,-15292000,26816000,-34771000,-48357000,2068000,20322000,-34168000,-49501000
81,Other Working Capital,- -,99317000,147700000,139680000,158755000,150876000,158788000,156920000,104857000,153036000,166439000,216906000,213706000,145725000,248488000,260942000,313369000,320545000,- -,252743000,315876000,363984000,338744000,241373000
82,Other Non-Cash Items,- -,19000,-44882000,14829000,-3154000,3513000,21223000,9472000,65573000,-56541000,-4273000,74950000,43061000,78896000,-211780000,-5600000,-57249000,-10746000,19594000,8406000,-90695000,-33212000,103474000,141841000
83,Cash Provided by Operating Activities,- -,21075000,-14829000,31700000,44847000,24925000,58242000,29249000,45326000,29858000,56916000,64818000,46552000,34477000,-48833000,60523000,72206000,70826000,27142000,59399000,9637000,53994000,15913000,-22723000
84,CAPEX,- -,-6115000,-4557000,-3743000,-4950000,-4418000,-6823000,-5287000,-15021000,-9933000,-11983000,-14972000,-11032000,-14913000,-17901000,-18170000,-17328000,-12810000,-12711000,-14692000,-14541000,-23588000,-13855000,-12544000
85,Acquisitions Net,- -,-22503000,- -,-4030000,-9617000,-18876000,-10648000,-12591000,-50779000,-58794000,-2704000,-7263000,-37516000,-34401000,-20221000,- -,3400000,10177000,-77224000,-197489000,-488517000,6480000,162591000,165540000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7857000,-7077000,-2535000,-12194000,-8760000,-254965000,-300431000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4155000,11339000,6699000,12211000,- -,227783000,315917000,21427000,- -,- -,- -,10177000,2759000,- -,- -,2753000,- -,- -
88,Other Investing Activites,- -,-579000,-614000,13600000,66000,53000,192000,3509000,737000,471000,6616000,497000,485000,106000,117000,541000,664000,-9386000,-550000,1700000,934000,-2522000,4300000,-8701000
89,Cash Used for Investing Activites,- -,-29197000,-5171000,5827000,-14501000,-23241000,-20981000,-10107000,-60899000,-68239000,-16831000,-48920000,-32577000,-27781000,-38005000,-17629000,-13264000,-1842000,-87726000,-210481000,-502124000,-16877000,153036000,144295000
90,Debt Repayment,- -,-428000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73336000,-95370000,-178905000,-220918000,-166239000,-185361000,-182004000,-162540000,-523183000,-260146000,-434797000,-352916000
91,Common Stock Issued,- -,- -,- -,237000,19076000,2381000,1671000,1232000,3771000,3627000,6380000,2392000,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74972000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1502000,-2169000,-2255000,-2280000,-2303000,-2358000,-2395000,-2464000,-2523000,-2568000,-2643000,-2650000,-2663000,-2700000,-2681000,-2559000,-2497000,-2506000,- -,- -,- -
94,Other Financing Activites,- -,12061000,18436000,-33418000,1711000,-20630000,-18504000,-18465000,-11717000,32916000,-39445000,-6938000,57863000,89398000,278607000,186173000,149704000,150318000,261786000,323301000,1061257000,186073000,281853000,219118000
95,Cash Used/Provided by Financing Activities,- -,11633000,18436000,-34683000,18618000,-20504000,-19113000,-19536000,-10304000,34148000,-35529000,-7069000,-18041000,-8615000,97052000,-37408000,-19235000,-37724000,2251000,158764000,535568000,-74073000,-152944000,-133798000
96,Effect of Forex Changes on Cash,- -,143000,3000,195000,-146000,192000,1672000,845000,-1664000,1773000,1454000,3982000,2943000,1321000,-1111000,1397000,735000,-12156000,-8498000,-3944000,8996000,-5812000,197000,4195000
97,Net Change In Cash,- -,3654000,-1561000,3039000,48818000,-18628000,19820000,451000,-27541000,-2460000,6010000,12811000,-1123000,-598000,9103000,6883000,40442000,19106000,-66831000,3738000,52077000,-42768000,16202000,-8031000
98,Cash at the End of Period,- -,6241000,5153000,8192000,57010000,38382000,58202000,58653000,31112000,28652000,34662000,47473000,46350000,45752000,54855000,61738000,102180000,121286000,54541000,58279000,110356000,69525000,85727000,77696000
99,Cash at the Beginning of Period,- -,2587000,6714000,5153000,8192000,57010000,38382000,58202000,58653000,31112000,28652000,34662000,47473000,46350000,45752000,54855000,61738000,102180000,121372000,54541000,58279000,112293000,69525000,85727000
100,Free Cash Flow,- -,14960000,-19386000,27957000,39897000,20507000,51419000,23962000,30305000,19925000,44933000,49846000,35520000,19564000,-66734000,42353000,54878000,58016000,14431000,44707000,-4904000,30406000,2058000,-35267000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1091883/000091205700015039/0000912057-00-015039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091883/000092701603001064/0000927016-03-001064-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312504042397/0001193125-04-042397-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312505049601/0001193125-05-049601-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312506042783/0001193125-06-042783-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312507037093/0001193125-07-037093-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312508051362/0001193125-08-051362-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312509038890/0001193125-09-038890-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312510039984/0001193125-10-039984-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312511044711/0001193125-11-044711-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000119312512074492/0001193125-12-074492-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188313000005/0001091883-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188314000010/0001091883-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188315000012/0001091883-15-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1091883/000109188317000013/0001091883-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188318000009/0001091883-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188319000008/0001091883-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188320000044/0001091883-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1091883/000109188321000005/0001091883-21-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
