,https://roic.ai/company/FORR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8117000,6920000,17580000,9072000,9290000,9311000,9032000,8275000,8958000,10970000,68087000,71882000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6633000,6858000,6551000,8117000,6920000,17580000,9433000,10142000,9408000,9236000,8275000,8958000,11939000,212141000,188707000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79270000,82295000,- -
61,Total Liabilities,13400000,23000000,33000000,47000000,80600000,126875000,84754000,64405000,102653000,103026000,112948000,139238000,151341000,151454000,158251000,178570000,196843000,190762000,197540000,191105000,191689000,185749000,204011000,201924000,481072000,458452000,476
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,218000,230000,240000,243000,247000,254000,279000,282000,291000,294000,305000,310000,315000,205000,209000,211000,217000,224000,230000,233000,236000,- -
64,Retained Earnings,2000000,400000,3000000,13600000,24400000,46048000,64165000,64754000,66945000,71077000,82425000,62766000,81478000,110693000,129559000,81652000,104662000,117648000,118415000,117318000,117135000,121799000,123010000,127717000,118147000,127981000,- -
65,Other Comprehensive Income/Loss,-500000,-900000,-2100000,-4800000,-7500000,-14204000,-22985000,1024000,-1089000,-1732000,-2604000,-2612000,-747000,-1785000,-1865000,-5472000,-6828000,588000,2454000,-1613000,-4826000,-7573000,-2012000,-5154000,-4857000,-690000,-3
66,Other Total Stockholders Equity,500000,34300000,39600000,44700000,61700000,144866000,178988000,147850000,142223000,130254000,118679000,184472000,194003000,194298000,183957000,195422000,192591000,178519000,83588000,25688000,14782000,35593000,19967000,28807000,44565000,58239000,- -
67,Total Stockholders Equity,2000000,33800000,40500000,53500000,78800000,176928000,220398000,213868000,208322000,199846000,198754000,244905000,275016000,303497000,311945000,271907000,290735000,297070000,204662000,141602000,127302000,150036000,141189000,151600000,158088000,185766000,204
68,Total Liabilities And Stockholders Equity,15400000,56800000,73500000,100500000,159400000,303803000,305152000,278273000,310975000,302872000,311702000,384143000,426357000,454951000,470196000,450477000,487578000,487832000,402202000,332707000,318991000,335785000,345200000,353524000,639160000,644218000,680
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15400000,56800000,73500000,100500000,159400000,303803000,305152000,278273000,310975000,302872000,311702000,384143000,426357000,454951000,470196000,450477000,487578000,487832000,402202000,332707000,318991000,335785000,345200000,353524000,639160000,644218000,680
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023313/000095013597001546/0000950135-97-001546-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023313/000095013599001690/0000950135-99-001690-index.html,https://www.sec.gov/Archives/edgar/data/1023313/000095013500001340/0000950135-00-001340-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023313/000095013502001430/0000950135-02-001430-index.html,https://www.sec.gov/Archives/edgar/data/1023313/000095013503002109/0000950135-03-002109-index.html,https://www.sec.gov/Archives/edgar/data/1023313/000095013504001224/0000950135-04-001224-index.html,https://www.sec.gov/Archives/edgar/data/1023313/000095013505001392/0000950135-05-001392-index.html,https://www.sec.gov/Archives/edgar/data/1023313/000095013506001619/0000950135-06-001619-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000095013507006703/0000950135-07-006703-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000095013508001775/0000950135-08-001775-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000095013509001740/0000950135-09-001740-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000095012310024194/0000950123-10-024194-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000095012311025239/0000950123-11-025239-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000119312512106588/0001193125-12-106588-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000119312513112678/0001193125-13-112678-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000119312514097919/0001193125-14-097919-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000119312515087397/0001193125-15-087397-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459016014580/0001564590-16-014580-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459017003971/0001564590-17-003971-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459018005110/0001564590-18-005110-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459019006987/0001564590-19-006987-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459020010647/0001564590-20-010647-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459021012256/0001564590-21-012256-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000095017022003377/0000950170-22-003377-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,4000000,5600000,7500000,11000000,21614000,18117000,589000,2191000,4132000,11348000,17756000,18943000,29215000,18866000,20507000,23010000,25574000,13024000,10865000,11996000,17651000,15140000,15380000,-9570000,9990000,24844000
74,Depreciation and Amortization,300000,500000,1200000,2800000,4000000,7944000,11094000,8406000,15866000,11076000,7066000,6463000,5742000,6312000,7568000,7291000,7921000,11366000,11498000,11496000,9241000,8643000,7429000,9117000,43783000,42959000,- -
75,Deferred Income Tax,- -,400000,-300000,300000,500000,13593000,-2416000,-2242000,-128000,-158000,5261000,9636000,6878000,1503000,1943000,2356000,15137000,-10385000,-4529000,-7526000,-985000,2602000,6425000,2931000,-3957000,-1677000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6111000,4874000,3642000,5397000,6051000,7444000,8347000,7976000,8490000,8300000,11684000,10877000,- -
77,Change in Working Capital,2300000,30300000,4700000,9700000,19700000,50147000,39865000,2031000,-80272000,-1204000,9596000,80711000,43253000,-43526000,24666000,-44527000,11958000,-2862000,-76245000,-52693000,-11024000,30688000,-4196000,4342000,-123003000,24310000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2090000,-7467000,-7594000,6959000,-2930000,9140000,-718000,7963000,-10327000,2588000,3696000,234000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2342000,1422000,-1898000,-490000,222000,-82000,-357000,1317000,-1600000,172000,278000,109000,- -
81,Other Working Capital,1000000,31300000,36000000,45700000,65400000,115547000,155412000,157443000,77171000,75967000,85563000,166274000,209527000,166001000,190667000,146140000,158098000,155236000,78991000,26298000,15274000,45962000,41766000,46108000,-76895000,-52585000,- -
82,Other Non-Cash Items,700000,-23900000,700000,-8000000,-3300000,-23330000,-37989000,-3223000,66458000,4160000,-9339000,-68804000,-37386000,50148000,-16055000,48156000,-6224000,24057000,80914000,59209000,14891000,-25702000,4205000,-1652000,129469000,-38705000,82223000
83,Cash Provided by Operating Activities,4600000,11300000,11900000,12300000,31900000,69968000,28671000,5561000,4115000,18006000,23932000,45762000,37430000,43652000,43099000,38657000,55444000,53147000,30713000,28795000,32466000,41858000,37493000,38418000,48406000,47754000,107067000
84,CAPEX,-9900000,-2000000,-3200000,-6100000,-8900000,-18044000,-10046000,-1031000,-1441000,-3664000,-3012000,-3334000,-5106000,-3698000,-4284000,-13426000,-39776000,-5103000,-3127000,-1503000,-3931000,-4140000,-7861000,-5049000,-11890000,-8905000,-10745000
85,Acquisitions Net,- -,- -,- -,- -,- -,-14851000,- -,- -,-59964000,- -,- -,- -,- -,-22406000,-5592000,-1660000,-7531000,- -,- -,- -,- -,- -,- -,-9250000,-237684000,- -,- -
86,Purchases of Investments,- -,-8500000,-365900000,-313200000,-467600000,-361294000,-227248000,-266305000,-187401000,-164957000,-260362000,-565795000,-1240584000,-1224793000,-645312000,-116280000,-113909000,-91421000,-44667000,-35386000,-20587000,-36763000,-31910000,-41810000,- -,- -,- -
87,Sales/Maturities of Investments,4700000,5000000,329400000,304500000,436800000,282021000,194250000,266324000,263093000,176509000,265367000,480721000,1220007000,1289025000,611859000,145195000,93090000,91335000,105086000,60112000,26960000,23086000,38458000,96195000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,600000,-45000,42000,61000,-1315000,1081000,295000,2033000,396000,444000,-16212000,1773000,15090000,1113000,264000,1542000,347000,-48000,343000,- -,29000,4335000,- -
89,Cash Used for Investing Activites,-5200000,-5500000,-39700000,-14800000,-39100000,-112213000,-43002000,-951000,12972000,8969000,2288000,-86375000,-25287000,38572000,-59541000,15602000,-53036000,-4076000,57556000,24765000,2789000,-17865000,-970000,40086000,-249545000,-4570000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42250000,-23375000,-34375000
91,Common Stock Issued,- -,33200000,700000,5200000,10200000,44484000,16419000,11284000,3772000,5279000,8963000,42526000,4896000,18577000,4282000,25971000,11554000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-22085000,- -,-17756000,-23474000,-12304000,-4594000,-30423000,-20399000,-21345000,-18405000,-29843000,-118210000,-73166000,-20931000,-1791000,-39967000,-9946000,- -,- -,-20066000
93,Dividends Paid,-1100000,-5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68414000,- -,-12588000,-12394000,-11962000,-12179000,-12987000,-13631000,-14502000,- -,- -,- -
94,Other Financing Activites,- -,100000,400000,- -,- -,- -,- -,- -,-9923000,54000,- -,308000,807000,8476000,- -,1949000,525000,10696000,17224000,9213000,3398000,17284000,15979000,10494000,171688000,-312000,- -
95,Cash Used/Provided by Financing Activities,-1100000,27700000,1100000,5200000,10200000,44484000,16419000,-10801000,-6151000,-12423000,-14511000,30530000,1109000,-3370000,-16117000,-61839000,-6326000,-31735000,-113380000,-75915000,-29712000,2506000,-37619000,-13954000,129438000,-23687000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,164000,-189000,-77000,-30000,391000,-499000,702000,754000,-2539000,886000,-3298000,-1962000,427000,433000,-2127000,-1862000,-2872000,3928000,-4044000,597000,1963000,- -
97,Net Change In Cash,-1100000,27700000,1100000,5200000,3000000,2403000,1899000,-6268000,10906000,14943000,11210000,-9381000,14006000,76315000,-31673000,-10878000,-5880000,17763000,-24678000,-24482000,3681000,23627000,2832000,60506000,-71104000,21460000,- -
98,Cash at the End of Period,- -,- -,- -,- -,13400000,15848000,17747000,11479000,22385000,37328000,48538000,39157000,53163000,129478000,97805000,86927000,81047000,98810000,74132000,49650000,53331000,76958000,79790000,140296000,69192000,90652000,- -
99,Cash at the Beginning of Period,2800000,1000000,34400000,7700000,10400000,13445000,15848000,17747000,11479000,22385000,37328000,48538000,39157000,53163000,129478000,97805000,86927000,81047000,98810000,74132000,49650000,53331000,76958000,79790000,140296000,69192000,- -
100,Free Cash Flow,-5300000,9300000,8700000,6200000,23000000,51924000,18625000,4530000,2674000,14342000,20920000,42428000,32324000,39954000,38815000,25231000,15668000,48044000,27586000,27292000,28535000,37718000,29632000,33369000,36516000,38849000,96322000
