,https://roic.ai/company/COOP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9241000000,-11980000000,-9791000000,-9445000000,- -,- -,- -,- -,321457000,2652000,5654000,571901000,654512000,-11426647000,244000000,389000000,7175000000,2242000000
45,Total Non-Current Assets,- -,- -,143800000,173500000,104900000,127500000,376000000,364800000,351700000,615900000,1509200000,2430900000,2758500000,- -,2330000000,6270000000,- -,6196000000,8298000000,9050000000,7287000000,- -,- -,- -,- -,321457000,255652000,77654000,674901000,733512000,587353000,5242000000,5663000000,11339000000,7660000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194716000000,- -,- -,275178000000,- -,- -,- -,- -,- -,- -,- -,350559000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,6594200000,6921800000,7117800000,8980200000,15827200000,18457700000,21633300000,44551900000,96981100000,165493300000,186513600000,194716000000,242506000000,268298000000,275178000000,307918000000,343839000000,346288000000,327913000000,- -,- -,- -,350559000,339916000,267638000,156139000,685060000,736190000,614121000,16973000000,18305000000,24165000000,14204000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494000000,423000000,- -,2392000000
49,Short-Term Debt,- -,- -,- -,- -,7000000,- -,- -,- -,- -,- -,- -,38021300000,55294900000,62746000000,65872000000,51265000000,37017000000,37083000000,32621000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2944000000,4997000000,6763000000,4997000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,79223000000,128746000000,113497700000,115963100000,111874000000,149893000000,182187000000,202936000000,231111000000,259896000000,286467000000,264371000000,- -,- -,- -,176000000,140000000,97000000,36689000,151326000,21067000,16816000,287000000,202000000,7392000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,7000000,- -,- -,- -,- -,79223000000,128746000000,151519000000,171258000000,174620000000,215765000000,233452000000,239953000000,268194000000,292517000000,286467000000,264371000000,- -,- -,- -,176000000,140000000,97000000,36689000,151326000,21067000,16816000,3725000000,5622000000,14155000000,7389000000
54,Long-Term Debt,- -,- -,1138000000,797000000,490900000,964300000,2163600000,3816700000,3935700000,7918500000,22991300000,7176800000,38165200000,34795000000,12576000000,15264000000,26796000000,51489000000,59927000000,77149000000,102810000000,- -,- -,- -,- -,137748000,106645000,31558000,21979000,18977000,- -,9520000000,8212000000,6539000000,2670000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4708500000,-15816300000,-2546800000,-31962200000,-24865000000,102000000,-552000000,-11313000000,-32991000000,-36150000000,-44297000000,-63852000000,- -,- -,190000000,- -,-1748000,-645000,-338000,-236000,-203000,- -,1783000000,2240000000,967000000,778000000
58,Total Non-Current Liabilities,- -,- -,1138000000,797000000,490900000,964300000,2163600000,3816700000,3935700000,3210000000,7175000000,4630000000,6203000000,9930000000,12678000000,14712000000,15483000000,18498000000,23777000000,32852000000,38958000000,- -,- -,- -,- -,136000000,106000000,31220000,21743000,18774000,- -,11303000000,10452000000,7506000000,3448000000
59,Other Liabilities,- -,- -,7307500000,7303300000,7042000000,9061900000,16795100000,20969800000,23977500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000000,- -,- -
61,Total Liabilities,- -,- -,6169500000,6506300000,6558100000,8097600000,14631500000,17153100000,20041800000,42154000000,91672000000,156148900000,177460900000,184550000000,228341000000,248164000000,255436000000,286692000000,316223000000,316871000000,299410000000,- -,- -,- -,175569000,275526000,202509000,67909000,173069000,39841000,16816000,15028000000,16074000000,21661000000,10837000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492000000,3392000000,- -,- -,- -,- -,- -,- -,- -,502213000,502213000,503713000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,2000,2000,2000,2000,2000,2000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,273200000,262900000,320700000,396400000,575900000,694100000,843600000,1403500000,3113100000,6275500000,7521900000,8795000000,11128000000,13998000000,16584000000,17952000000,19675000000,20939000000,18921000000,- -,- -,- -,105110000,-12353000,-12015000,-18400000,-97981000,85719000,93551000,848000000,1122000000,1434000000,2879000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000,-524000000,-76000000,-235000000,-287000000,-359000000,- -,- -,372000000,- -,- -,- -,- -,- -,- -,- -,-16000000,-55000000,-96000000,- -
66,Other Total Stockholders Equity,- -,- -,151500000,152600000,239000000,486200000,619800000,610500000,747900000,994400000,2196000000,3068900000,1530800000,1371000000,3037000000,6136000000,3158000000,3274000000,7941000000,8478000000,9582000000,- -,- -,186000000,69879000,76741000,77142000,106628000,107757000,108415000,39000,1109000000,1164000000,1164000000,486000000
67,Total Stockholders Equity,- -,- -,424700000,415500000,559700000,882600000,1195700000,1304600000,1591500000,2397900000,5309100000,9344400000,9052700000,10166000000,14165000000,20134000000,19742000000,21226000000,27616000000,26969000000,24584000000,- -,- -,- -,174990000,64390000,65129000,88230000,511991000,696349000,597305000,1942000000,2232000000,2503000000,3366000000
68,Total Liabilities And Stockholders Equity,- -,- -,6594200000,6921800000,7117800000,8980200000,15827200000,18457700000,21633300000,44551900000,96981100000,165493300000,186513600000,194716000000,242506000000,268298000000,275178000000,307918000000,343839000000,343840000000,323994000000,- -,- -,- -,350559000,339916000,267638000,156139000,685060000,736190000,614121000,16970000000,18306000000,24164000000,14203000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2448000000,3919000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,-1000000,1000000,1000000
70,Total Liabilities & Equity,- -,- -,6594200000,6921800000,7117800000,8980200000,15827200000,18457700000,21633300000,44551900000,96981100000,165493300000,186513600000,194716000000,242506000000,268298000000,275178000000,307918000000,343839000000,346288000000,327913000000,- -,- -,- -,350559000,339916000,267638000,156139000,685060000,736190000,614121000,16973000000,18305000000,24165000000,14204000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933136/000091205702010535/a2072854z10-k.htm,https://www.sec.gov/Archives/edgar/data/933136/000104746903008846/a2105105z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/933136/000104746905006351/a2153144z10-k.htm,https://www.sec.gov/Archives/edgar/data/933136/000110465906016786/a06-2446_110k.htm,https://www.sec.gov/Archives/edgar/data/933136/000110465907015590/a07-3851_110k.htm,https://www.sec.gov/Archives/edgar/data/933136/000104746908002083/a2182890z10-k.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/933136/000119312513110149/0001193125-13-110149-index.html,https://www.sec.gov/Archives/edgar/data/933136/000119312514100035/d630387d10k.htm,https://www.sec.gov/Archives/edgar/data/933136/000156459015001104/wmih-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/933136/000156459016014568/0001564590-16-014568-index.html,https://www.sec.gov/Archives/edgar/data/933136/000156459017004292/0001564590-17-004292-index.html,https://www.sec.gov/Archives/edgar/data/933136/000156459018004269/0001564590-18-004269-index.html,https://www.sec.gov/Archives/edgar/data/933136/000093313619000030/0000933136-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/933136/000093313620000005/0000933136-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/933136/000093313621000005/0000933136-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/933136/000093313622000008/0000933136-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,19800000,900000,67500000,95400000,179700000,172300000,190600000,114300000,481800000,1486900000,1817100000,1899000000,3114000000,3896000000,3880000000,2878000000,3432000000,3558000000,-67000000,- -,- -,5412000,-10873000,-16000000,338000,3070000,-61833000,201700000,25882000,1038000000,274000000,305000000,1454000000
74,Depreciation and Amortization,- -,- -,14000000,10400000,10800000,41100000,36500000,34900000,24900000,85700000,222300000,313500000,400000000,539000000,1590000000,3206000000,3864000000,3169000000,2656000000,827000000,504000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,91000000,74000000,57000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-958000000,-366000000,3000000,351000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000,401000,807000,1129000,658000,517000,2000000,18000000,22000000,- -
77,Change in Working Capital,- -,- -,-7500000,297900000,264600000,1839800000,6598500000,2641700000,3188700000,-56568600000,2012900000,44817500000,953700000,-187117100000,199031000000,4165000000,-268529000000,273481000000,9496000000,7747000000,5484000000,- -,- -,-56255000000,-176000000,54459000,36527000,126810000,-182963000,122778000,28341000,7996048000,-986000000,-8349000000,-330000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360000000,9000000
81,Other Working Capital,- -,- -,6450400000,6748300000,7012900000,8852700000,15451200000,18092900000,21281600000,-35287000000,-33274100000,11543400000,12497100000,-174620000000,24411000000,28576000000,-239953000000,33528000000,43024000000,50771000000,56255000000,- -,- -,- -,-176000000,-121541000,-85014000,41796000,-141167000,-18389000,9952000,8006000000,7020000000,-1329000000,- -
82,Other Non-Cash Items,- -,- -,126500000,-302600000,-260400000,-1836300000,-6676300000,-2649400000,-3235900000,56865200000,-2531200000,-39702900000,2098800000,187701100000,-214512000000,-11236000000,273289000000,-299224000000,-13819000000,-4863000000,1776000000,- -,- -,56179602000,133781000,-137602000,-62563000,-164268000,-339506000,-333580000,-61157000,-4605048000,1671000000,8276000000,1100000000
83,Cash Provided by Operating Activities,- -,- -,152800000,6600000,82500000,140000000,138400000,199500000,168300000,496600000,185800000,6915000000,5269600000,3022000000,-10777000000,31000000,12504000000,-19696000000,1765000000,7269000000,7697000000,- -,- -,-69986000,-53092000,-99000000,-25297000,-33581000,-583173000,-8444000,-6417000,3545000000,702000000,331000000,2632000000
84,CAPEX,- -,- -,-900000,-7500000,-13700000,-11000000,-35000000,-31400000,-31800000,-85000000,-131400000,-320200000,-462900000,-272000000,-753000000,-1032000000,-1053000000,-585000000,-607000000,- -,-321000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-596000000,-187000000,-963000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-13818000000,-3185000000,- -,- -,-536000000,-943000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000000,-85000000,- -,465000000
86,Purchases of Investments,- -,- -,-473100000,-143300000,-225700000,-987300000,-1430800000,-1811100000,-1750600000,-5233200000,-3263200000,-17732500000,-17879100000,-2979000000,-60077000000,-54197000000,-41052000000,-6206000000,-24271000000,-15578000000,-13494000000,- -,- -,-224791000,-147993000,-202847000,-430983000,-511103000,-269694000,-180439000,-19974000,-527000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,772300000,448600000,453200000,731200000,1737400000,836500000,1727900000,9454500000,5417000000,13652400000,14091400000,12215000000,63723000000,84321000000,50970000000,27606000000,19826000000,17167000000,12236000000,- -,- -,307924000,206789000,234096000,482275000,667262000,230567000,202419000,93022000,- -,- -,- -,- -
