,https://roic.ai/company/PAA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,72700000,46780000,188874000,81849000,105967000,498200000,910300000,1290000000,972000000,801000000,1157000000,1491000000,978000000,1209000000,1065000000,891000000,916000000,1343000000,713000000,640000000,604000000,647000000,- -
36,Other Current Assets,- -,- -,103600000,- -,- -,17676000,32225000,68229000,104300000,130900000,116000000,259000000,223000000,108000000,157000000,351000000,220000000,270000000,241000000,603000000,221000000,373000000,349000000,-3321000000,5688000000
37,Total Current Assets,- -,- -,739000000,397904000,558082000,602935000,732974000,1101202000,1805200000,3157600000,3673000000,2596000000,3658000000,4381000000,4351000000,5147000000,4964000000,4179000000,2969000000,4272000000,4000000000,3533000000,4612000000,3665000000,6137000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6270000000,7043000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14989000000,15296000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1026200000,1072000000,1210000000,1287000000,1376000000,1854000000,2535000000,2503000000,2465000000,2405000000,2344000000,2566000000,2521000000,2540000000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473000000,420000000,366000000,283000000,242000000,844000000,772000000,707000000,805000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1026200000,1072000000,1210000000,1287000000,1376000000,1854000000,3008000000,2923000000,2831000000,2688000000,2586000000,3410000000,3293000000,3247000000,805000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,122000000,183000000,215000000,257000000,203000000,736000000,191000000,343000000,485000000,1735000000,2027000000,2343000000,2756000000,2702000000,3683000000,3764000000,3805000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,484000000,487897000,703169000,1063640000,1362657000,2059209000,2193100000,4348100000,4946000000,5969000000,940000000,167000000,8985000000,10737000000,11988000000,13511000000,14604000000,15009000000,15185000000,15983000000,17135000000,1274000000,3371000000
45,Total Non-Current Assets,- -,- -,484000000,487897000,703169000,1063640000,1362657000,2059209000,2315100000,5557300000,6233000000,7436000000,8700000000,9322000000,11030000000,14088000000,15396000000,18077000000,19319000000,19938000000,21351000000,21978000000,24065000000,20832000000,22472000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1223000000,885801000,1261251000,1666575000,2095631000,3160411000,4120300000,8714900000,9906000000,10032000000,12358000000,13703000000,15381000000,19235000000,20360000000,22256000000,22288000000,24210000000,25351000000,25511000000,28677000000,24497000000,28609000000
48,Accounts Payable,- -,- -,485400000,328542000,386993000,488922000,603460000,850912000,1293600000,1846600000,2577000000,1507000000,2295000000,2738000000,3599000000,3822000000,3983000000,2986000000,2038000000,2588000000,3457000000,2704000000,3686000000,2437000000,- -
49,Short-Term Debt,- -,- -,109400000,1300000,104482000,99249000,127259000,175472000,378400000,1001200000,960000000,1027000000,1074000000,1326000000,679000000,1086000000,1113000000,1287000000,999000000,1715000000,737000000,66000000,504000000,820000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,42700000,20951000,13685000,49078000,71200000,87333000,121300000,176900000,192000000,426000000,413000000,151000000,233000000,275000000,315000000,482000000,370000000,361000000,337000000,686000000,827000000,996000000,6232000000
53,Total Current Liabilities,- -,- -,637500000,350793000,505160000,637249000,801919000,1113717000,1793300000,3024700000,3729000000,2960000000,3782000000,4215000000,4511000000,5183000000,5411000000,4755000000,3407000000,4664000000,4531000000,3456000000,5017000000,4253000000,6232000000
54,Long-Term Debt,- -,- -,373500000,320000000,351677000,509736000,518991000,949024000,951700000,2626300000,2624000000,3259000000,4142000000,4631000000,4520000000,6320000000,6715000000,8762000000,10375000000,10124000000,9183000000,9143000000,9187000000,9312000000,8737000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,19000000,1009000,1617000,7980000,27994000,27466000,44600000,87100000,129000000,261000000,275000000,284000000,376000000,586000000,531000000,548000000,567000000,606000000,679000000,910000000,1278000000,1194000000,830000000
58,Total Non-Current Liabilities,- -,- -,392500000,321009000,353294000,517716000,546985000,976490000,996300000,2713400000,2753000000,3520000000,4417000000,4915000000,4896000000,6906000000,7246000000,9310000000,10942000000,10730000000,9862000000,10053000000,10465000000,10506000000,9567000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000000,476000000,339000000
61,Total Liabilities,- -,- -,1030000000,671802000,858454000,1154965000,1348904000,2090207000,2789600000,5738100000,6482000000,6480000000,8199000000,9130000000,9407000000,12089000000,12657000000,14065000000,14349000000,15394000000,14393000000,13509000000,15482000000,14759000000,15799000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,193300000,210799000,389205000,542891000,762119000,1039024000,1294100000,2906100000,3343000000,3469000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-11600000,-26974000,-48131000,-77550000,-121595000,-183887000,-258900000,-348100000,-519000000,-668000000,-900000000,-1123000000,-1289000000,-1499000000,-1654000000,-1906000000,-2180000000,-2348000000,-2773000000,-3079000000,-3593000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,11300000,30174000,61723000,46269000,106203000,215067000,295500000,418800000,600000000,751000000,- -,- -,- -,- -,- -,- -,- -,- -,2716000000,- -,- -,13991000000,- -
67,Total Stockholders Equity,- -,- -,193000000,213999000,402797000,511610000,746727000,1070204000,1330700000,2976800000,3424000000,3552000000,- -,- -,- -,- -,- -,- -,- -,- -,-57000000,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,1223000000,885801000,1261251000,1666575000,2095631000,3160411000,4120300000,8714900000,9906000000,10032000000,8199000000,9130000000,9407000000,12089000000,12657000000,14065000000,14349000000,15394000000,14336000000,13509000000,15482000000,28750000000,15799000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4159000000,4573000000,5974000000,7146000000,7703000000,8191000000,7939000000,8816000000,11015000000,12002000000,13195000000,-4253000000,12810000000
70,Total Liabilities & Equity,- -,- -,1223000000,885801000,1261251000,1666575000,2095631000,3160411000,4120300000,8714900000,9906000000,10032000000,12358000000,13703000000,15381000000,19235000000,20360000000,22256000000,22288000000,24210000000,25351000000,25511000000,28677000000,24497000000,28609000000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1070423/000089924302000675/0000899243-02-000675-index.html,https://www.sec.gov/Archives/edgar/data/1070423/000089924303000430/0000899243-03-000430-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000104746904006022/0001047469-04-006022-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000104746905005233/0001047469-05-005233-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465906013594/0001104659-06-013594-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000095012907001096/0000950129-07-001096-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000095012908001329/0000950129-08-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000104746909001897/0001047469-09-001897-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465910010102/0001104659-10-010102-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465911010359/0001104659-11-010359-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465912013480/0001104659-12-013480-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465913015163/0001104659-13-015163-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465914014322/0001104659-14-014322-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465915013616/0001104659-15-013616-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000110465916100030/0001104659-16-100030-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000107042317000003/0001070423-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000107042318000006/0001070423-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000107042319000004/0001070423-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000107042320000004/0001070423-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000107042321000008/0001070423-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1070423/000107042322000006/0001070423-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2140000,4200000,-103300000,77502000,44179000,65292000,59448000,130006000,217800000,285100000,365000000,437000000,579000000,505000000,966000000,1094000000,1361000000,1384000000,903000000,726000000,856000000,2216000000,2171000000,-2590000000,593000000
74,Depreciation and Amortization,1165000,1200000,17300000,24523000,24307000,34068000,46821000,67241000,83500000,100400000,181000000,211000000,236000000,256000000,249000000,482000000,375000000,392000000,432000000,494000000,626000000,520000000,601000000,653000000,774000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-9000000,- -,7000000,- -,- -,100000000,16000000,-60000000,16000000,132000000,-46000000,-70000000,23000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,98000000,110000000,101000000,116000000,98000000,27000000,60000000,41000000,79000000,34000000,15000000,23000000
77,Change in Working Capital,-17277000,101450000,- -,-54389000,5811000,-87236000,-34631000,56430000,24415000,121000000,-188900000,-308000000,240000000,290000000,-326000000,124000000,-411000000,-129000000,138000000,46000000,-139000000,608000000,-482000000,-183000000,587905000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-744000000,- -,- -,218000000,-186000000,1177000000,803000000,-524000000,-511000000,309000000,-1158000000,1432000000,-2179000000
79,Inventory,-16450000,-14800000,34800000,-11954000,-117878000,105944000,-38941000,-405919000,-425100000,-324500000,340000000,-120000000,-319000000,-336000000,518000000,-180000000,134000000,-129000000,-90000000,-463000000,605000000,-75000000,-5000000,-304000000,-18000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,602000000,-210000000,- -,-504000000,126000000,-1315000000,-829000000,501000000,847000000,-367000000,1151000000,-1286000000,1970000000
81,Other Working Capital,50000,101500000,101500000,47111000,52922000,-34314000,-68945000,-12515000,11900000,132900000,-56000000,-364000000,-124000000,166000000,-160000000,-36000000,-447000000,-576000000,-438000000,-392000000,-531000000,77000000,-405000000,-588000000,-95000
82,Other Non-Cash Items,1103000,-98450000,-20200000,-81147000,-104250000,161770000,-3120000,-149709000,-301615000,-781800000,438900000,518000000,-749000000,-890000000,1359000000,-561000000,513000000,159000000,-172000000,-540000000,1099000000,-947000000,226000000,3689000000,-4905000
83,Cash Provided by Operating Activities,-12869000,8400000,-106200000,-33511000,-29953000,173894000,68518000,103968000,24100000,-275300000,796000000,857000000,365000000,259000000,2365000000,1240000000,1954000000,2004000000,1344000000,726000000,2499000000,2608000000,2504000000,1514000000,1996000000
84,CAPEX,-678000,-2900000,-189700000,-12603000,-21069000,-40590000,-65416000,-116944000,-164100000,-341000000,-548000000,-589000000,-469000000,-451000000,-657000000,-1204000000,-1613000000,-1932000000,-2079000000,-1334000000,-1024000000,-1634000000,-1181000000,-738000000,-336000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-1264000000,-127000000,-709000000,-219000000,-407000000,-1390000000,-2156000000,-28000000,-1098000000,-105000000,-282000000,-1280000000,- -,-50000000,-310000000,-32000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45900000,-9000000,-37000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,268000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1176000,-200000,3600000,223604000,-228422000,-323191000,-159909000,-532254000,-103100000,-100000,21000000,-4000000,2000000,7000000,27000000,-32000000,-12000000,-266000000,-346000000,343000000,734000000,821000000,-534000000,-45000000,754000000
89,Cash Used for Investing Activites,-1854000,-3100000,-186100000,211001000,-249491000,-363781000,-225325000,-649198000,-297200000,-1651000000,-663000000,-1339000000,-660000000,-583000000,-2020000000,-3392000000,-1653000000,-3296000000,-2530000000,-1273000000,-1570000000,-813000000,-1765000000,-1093000000,386000000
90,Debt Repayment,-21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-895000000,-175000000,-1356000000,-500000000,-1384000000,-366000000,-549000000,-1381000000,-2040000000,-901000000,-1000000000,-617000000,-545000000
91,Common Stock Issued,- -,244700000,76500000,- -,227549000,145046000,250341000,262132000,264200000,642800000,383000000,315000000,458000000,296000000,889000000,979000000,530000000,848000000,1099000000,796000000,1664000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-178000000
93,Dividends Paid,- -,- -,-51700000,-59565000,-75929000,-99841000,-121822000,-158352000,-197000000,-262600000,-451000000,-532000000,-605000000,-10000000,-791000000,-684000000,-791000000,-934000000,-1081000000,-1062000000,-1386000000,-1032000000,-1202000000,-853000000,- -
94,Other Financing Activites,35321000,-244500000,315700000,-168267000,127909000,144251000,28725000,450698000,203400000,1546800000,-56000000,681000000,1354000000,225000000,913000000,2356000000,1364000000,2109000000,1345000000,2210000000,819000000,176000000,1482000000,1085000000,-1261000000
95,Cash Used/Provided by Financing Activities,14321000,200000,340500000,-227832000,279529000,189456000,157244000,554478000,270600000,1927000000,-124000000,464000000,312000000,336000000,-345000000,2151000000,-281000000,1657000000,814000000,563000000,-943000000,-1757000000,-720000000,-435000000,-1984000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,421000,199000,1592000,-900000,1000000,4000000,5000000,-3000000,-1000000,-10000000,-1000000,-3000000,-3000000,-4000000,4000000,4000000,-9000000,-3000000,-8000000,- -
97,Net Change In Cash,-402000,200000,48300000,-50342000,85000,-10000,636000,8851000,-3400000,1700000,13000000,-13000000,14000000,11000000,-10000000,-2000000,17000000,362000000,-376000000,20000000,-10000000,29000000,16000000,-22000000,393000000
98,Cash at the End of Period,2000,- -,53800000,3426000,3511000,3501000,4137000,12988000,9600000,11300000,24000000,11000000,25000000,36000000,26000000,24000000,41000000,403000000,27000000,47000000,37000000,66000000,82000000,60000000,453000000
99,Cash at the Beginning of Period,404000,- -,5500000,53768000,3426000,3511000,3501000,4137000,13000000,9600000,11000000,24000000,11000000,25000000,36000000,26000000,24000000,41000000,403000000,27000000,47000000,37000000,66000000,82000000,60000000
100,Free Cash Flow,-13547000,5500000,-295900000,-46114000,-51022000,133304000,3102000,-12976000,-140000000,-616300000,248000000,268000000,-104000000,-192000000,1708000000,36000000,341000000,72000000,-735000000,-608000000,1475000000,974000000,1323000000,776000000,1660000000
