,https://roic.ai/company/VXRT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,5300000,5300000,5900000,7000000,8300000,8400000,9600000,10800000,20700000,22600000,28400000,43400000,38200000,35900000,32600000,18100000,19400000,23500000,20200000,22323000,19260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,400000,200000,900000,3700000,2100000,3400000,2400000,1900000,2500000,2400000,13100000,16100000,6300000,7800000,5400000,13500000,5600000,5600000,6800000,3488000,104563000,7000000,11900000,1600000,800000,497000,- -,2200000,700000,600000,2700000,700000,1343000,453000,1327000,2609000
37,Total Current Assets,9200000,9200000,9900000,16100000,16300000,20100000,20900000,26500000,48100000,57200000,98100000,99000000,85500000,78500000,77900000,198800000,113000000,182000000,162600000,155067000,262900000,226200000,142200000,129700000,110000000,97881000,- -,80000000,101100000,70800000,72400000,39900000,14645000,17598000,128531000,169167000
38,PP&E,2800000,2900000,3500000,4000000,4400000,4900000,6100000,6600000,14200000,42700000,60600000,89200000,99000000,109100000,120200000,107900000,104100000,101800000,115400000,94084000,2400000,2000000,1300000,900000,600000,84000,- -,3700000,2000000,200000,300000,200000,1066000,2200000,8318000,19769000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4508000
40,Intangible Assets,800000,700000,600000,- -,- -,- -,18500000,17300000,27300000,29900000,27800000,25200000,23200000,19200000,7100000,6900000,12700000,95000000,89700000,78332000,1683000,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,19413000,17093000,15361000,10624000
41,Intangible Assets,800000,700000,600000,- -,- -,- -,18500000,17300000,27300000,29900000,27800000,25200000,23200000,19200000,19600000,6900000,12700000,95000000,89700000,78332000,1683000,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,19413000,17093000,15361000,15132000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,- -,- -,- -,10000000,7900000,- -,- -,- -,- -,- -,16210000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,500000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,600000,800000,6900000,4300000,3000000,1600000,2000000,2500000,4200000,8200000,15600000,12500000,10600000,7400000,6800000,1000000,3000000,8500000,500000,914000,-1083000,10400000,700000,700000,800000,- -,- -,- -,- -,- -,- -,- -,103000,141000,372000,890000
45,Total Non-Current Assets,4200000,4400000,11000000,8300000,7400000,6500000,26600000,26400000,45700000,80800000,104000000,126900000,132800000,135700000,146600000,115800000,119800000,205300000,205600000,173330000,3000000,12400000,2000000,1600000,3900000,84000,- -,4300000,12900000,8600000,300000,200000,20582000,19434000,24051000,52001000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13400000,13600000,20900000,24400000,23700000,26600000,47500000,52900000,93800000,138000000,202100000,225900000,218300000,214200000,224500000,314600000,232800000,387300000,368200000,328397000,265900000,238600000,144200000,131300000,113900000,97965000,- -,84300000,114000000,79400000,72700000,40100000,35227000,37032000,152582000,221168000
48,Accounts Payable,- -,- -,- -,5500000,2700000,2700000,4300000,4700000,6600000,9400000,9800000,11400000,15000000,16000000,15900000,20700000,21700000,10900000,21900000,17584000,5100000,3600000,1200000,1700000,600000,146000,- -,4400000,2800000,1900000,3900000,1400000,962000,852000,2133000,3872000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5500000,17200000,2200000,6300000,100000,700000,- -,- -,- -,4226000,10173000,2612000,291000,- -,- -,5951000,- -,- -,- -,- -,- -,200000,400000,200000,1667000,841000,2052000,1011000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18447000,7797000,2526000,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6200000,5400000,5000000,4000000,8100000,4400000,6900000,9200000,10400000,15900000,22500000,17300000,30700000,25800000,22400000,23700000,16900000,23974000,32327000,25906000,39809000,16700000,6400000,7802000,9503000,3580000,- -,11200000,24100000,6900000,4900000,4300000,4846000,7481000,7578000,5900000
53,Total Current Liabilities,6200000,5400000,5000000,9500000,10800000,7100000,11200000,13900000,22500000,42500000,34500000,35000000,45800000,42500000,38300000,44400000,38600000,39100000,64400000,46102000,45200000,20300000,7600000,33900000,17900000,6252000,- -,15900000,26900000,9000000,9200000,5900000,7475000,9174000,11763000,10783000
54,Long-Term Debt,900000,- -,7400000,4200000,600000,4000000,16400000,15100000,19500000,25700000,81300000,114800000,118000000,112300000,108500000,78500000,- -,23200000,13700000,109145000,109300000,71700000,15200000,- -,- -,- -,- -,- -,- -,800000,300000,100000,1944000,- -,- -,11997000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32842000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,100000,100000,- -,- -,200000,5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,100000,100000,1000000,200000,200000,200000,5900000,- -,400000,200000,400000,300000,1200000,300000,4500000,5200000,5700000,5800000,11323000,- -,- -,- -,- -,35400000,- -,- -,200000,200000,100000,17000000,15400000,14570000,14906000,17415000,10857000
58,Total Non-Current Liabilities,1100000,200000,7600000,5200000,800000,4400000,22400000,21000000,19500000,26100000,81500000,115200000,118300000,113500000,108800000,83000000,5200000,28900000,19500000,120468000,109300000,71700000,15200000,- -,35400000,32842000,- -,200000,200000,900000,17300000,15500000,16514000,14906000,17415000,22854000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10945000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2313000,7208000,13008000
61,Total Liabilities,7300000,5600000,12600000,14700000,11600000,11500000,33600000,34900000,42000000,68600000,116000000,150200000,164100000,156000000,147100000,127400000,43800000,68000000,83900000,166570000,154500000,92000000,22800000,33900000,53300000,39094000,- -,16100000,27100000,9900000,26500000,21400000,23989000,24080000,29178000,33637000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3800000,3800000,3900000,5800000,5900000,6032000,6100000,6200000,6200000,6300000,6300000,6359000,- -,2800000,3500000,3900000,3900000,3900000,714000,4825000,11000,13000
64,Retained Earnings,-4700000,-3800000,-3500000,-2100000,200000,2400000,1800000,5400000,12200000,-67100000,-53800000,-65000000,-86700000,-83400000,-79000000,25700000,27700000,20900000,-29500000,-157965000,-216700000,-169600000,-205700000,-224400000,-223500000,-228078000,- -,-78600000,-89800000,-108900000,-134300000,-163800000,-97989000,-116661000,-148881000,-219351000
65,Other Comprehensive Income/Loss,-3500000,-4000000,-4500000,-5100000,-5800000,-6700000,-500000,-8600000,-9200000,-16400000,-20400000,-24800000,-12900000,-12900000,-35400000,-24000000,-32300000,-42200000,-303000,171000,-7900000,-8500000,60000,-20000,-3000,- -,- -,25300000,26800000,18900000,19000000,19000000,- -,-459000,- -,-74000
66,Other Total Stockholders Equity,14300000,15800000,16300000,16900000,17700000,19400000,12600000,21200000,48800000,152900000,160300000,165500000,153800000,151000000,188000000,181700000,189729000,334816000,308224000,313589000,329888000,318432000,319928000,315527000,277773000,280590000,- -,- -,146400000,155600000,157600000,159600000,108513000,125247000,272274000,406943000
67,Total Stockholders Equity,6100000,8000000,8300000,9700000,12100000,15100000,13900000,18000000,51800000,69400000,86100000,75700000,54200000,58200000,77400000,187200000,189029000,319316000,284321000,161827000,111388000,146532000,120488000,97407000,60570000,58871000,- -,68200000,86900000,69500000,46200000,18700000,11238000,12952000,123404000,187531000
68,Total Liabilities And Stockholders Equity,13400000,13600000,20900000,24400000,23700000,26600000,47500000,52900000,93800000,138000000,202100000,225900000,218300000,214200000,224500000,314600000,232829000,387316000,368221000,328397000,265888000,238532000,143288000,131307000,113870000,97965000,- -,84300000,114000000,79400000,72700000,40100000,35227000,37032000,152582000,221168000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29000,-16000,-21000,- -,12000,68000,912000,-7000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13400000,13600000,20900000,24400000,23700000,26600000,47500000,52900000,93800000,138000000,202100000,225900000,218300000,214200000,224500000,314600000,232800000,387300000,368200000,328397000,265900000,238600000,144200000,131300000,113900000,97965000,- -,84300000,114000000,79400000,72700000,40100000,35227000,37032000,152582000,221168000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72444/000095014497002961/0000950144-97-002961-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72444/000095014401003310/0000950144-01-003310-index.html,- -,https://www.sec.gov/Archives/edgar/data/72444/000095014403002477/0000950144-03-002477-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312504030984/0001193125-04-030984-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312505046671/0001193125-05-046671-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312506045205/0001193125-06-045205-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312507054992/0001193125-07-054992-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312508042033/0001193125-08-042033-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312509050984/0001193125-09-050984-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312510052735/0001193125-10-052735-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312511059378/0001193125-11-059378-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312512115162/0001193125-12-115162-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/72444/000143774914017648/0001437749-14-017648-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774915017193/0001437749-15-017193-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774916038645/0001437749-16-038645-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/72444/000143774920005683/0001437749-20-005683-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774921004115/0001437749-21-004115-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774922004354/0001437749-22-004354-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,- -,200000,800000,2200000,2200000,-600000,3500000,7900000,-17600000,13300000,-11200000,-21800000,3300000,4400000,104700000,1500000,-6100000,-50400000,-128449000,-64000000,38400000,-18700000,-18700000,900000,-4531000,- -,-8700000,-11000000,-19100000,-25400000,-29400000,-18007000,-18645000,-32220000,-70470000
74,Depreciation and Amortization,700000,- -,700000,1200000,1300000,1200000,3100000,3000000,4400000,7000000,7900000,9900000,11500000,10100000,9838000,9491000,10077000,14236000,18178000,18985000,7940000,1725000,574000,502000,376000,237000,- -,3000000,2400000,1100000,100000,100000,3203000,3596000,2710000,4208000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,100000,-200000,700000,-6400000,2500000,- -,- -,- -,4258000,3788000,-6209000,4714000,-3591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2463000,3923000,2166000,- -,2600000,1700000,2100000,2000000,1900000,539000,627000,4358000,8867000
77,Change in Working Capital,800000,- -,1100000,1700000,-1100000,7500000,-3300000,2900000,13000000,-10900000,48900000,400000,-24300000,-3700000,3600000,114800000,-80000000,68500000,-44700000,10765000,108735000,-11800000,-71300000,-38800000,-3700000,-471000,- -,-27529000,10100000,-12400000,1400000,-29200000,-26830000,1254000,108344000,-2120000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4200000,-7100000,6200000,11900000,100000,13500000,-1823000,3285000,263000
79,Inventory,- -,- -,- -,-1100000,-1300000,-100000,-1200000,-1100000,-7700000,-1400000,-5700000,-15100000,5200000,- -,706000,-3318000,-1419000,-4983000,-685000,-10728000,-449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,10600000,-15800000,-700000,-3300000,-3784000,-62000,1207000,1626000
81,Other Working Capital,3800000,- -,4900000,6600000,5500000,13000000,9700000,12600000,25600000,14700000,63600000,64000000,39700000,36000000,39600000,154400000,74400000,142900000,98200000,108965000,217700000,205900000,134600000,95800000,92100000,91629000,- -,64100000,74200000,61800000,63200000,34000000,7170000,8424000,116768000,- -
82,Other Non-Cash Items,-2300000,- -,-2000000,-900000,-1900000,-11100000,3700000,-6500000,-25600000,27000000,-57500000,-27200000,52800000,13600000,-8027000,-209198000,75555000,-62885000,80946000,12576000,-96587000,-55069000,70525000,60752000,38433000,-12567000,- -,16729000,-6500000,18700000,7800000,26600000,26547000,78000,-106942000,-317000
83,Cash Provided by Operating Activities,- -,- -,- -,2800000,500000,-200000,2900000,3000000,-500000,6200000,6200000,-25600000,18200000,23300000,9811000,24051000,10920000,7542000,8738000,-89714000,-43912000,-26744000,-18901000,6217000,39932000,-15166000,- -,-13900000,-3300000,-9600000,-14100000,-30000000,-14548000,-13090000,-23750000,-59832000
