,https://roic.ai/company/GWW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,33300000,33100000,33000000,49100000,59200000,66700000,70900000,74300000,79700000,78900000,98200000,106893000,103209000,93488000,90253000,98256000,108782000,118568000,131999000,139570000,147531000,149678000,149200000,159049000,180613000,208326000,227967000,248857000,264064000,257000000,229000000,182000000,185000000
75,Deferred Income Tax,- -,- -,- -,- -,-500000,-8800000,-900000,-12400000,-22400000,-31800000,-5500000,100000,2200000,-7900000,-5300000,-21077000,-6853000,-6480000,5382000,-4450000,23663000,9858000,-18632000,5182000,21683000,-5553000,1666000,12343000,-9319000,-13732000,4076000,-5884000,-5048000,7000000,4000000,-5000000,27000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45945000,40407000,49796000,54020000,55500000,55590000,49032000,46861000,35735000,32661000,47000000,40000000,46000000,42000000
77,Change in Working Capital,- -,- -,- -,- -,-100300000,- -,- -,- -,- -,504500000,114100000,85500000,-55000000,-107200000,58700000,135078000,103122000,59881000,28092000,165506000,178625000,-115141000,-181349000,407961000,-27659000,14052000,-61793000,513662000,27858000,-142662000,-445725000,131184000,308036000,356672000,-179000000,601000000,-443000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5592000,2794000,-127790000,-85083000,-45953000,-126465000,-122580000,-3085000,-45600000,-103126000,-79000000,-42000000,-121000000,-324000000
79,Inventory,- -,- -,- -,- -,-79400000,15600000,-23600000,23700000,-34000000,-70100000,-82700000,-7400000,74800000,-14600000,-135800000,54468000,66446000,-97297000,83530000,-30728000,-84031000,-33839000,-97234000,-92518000,175286000,-80545000,-219680000,-14872000,-23636000,-92443000,-37737000,-4403000,-4915000,-129000000,-106000000,-158000000,-152000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6960000,-16736000,36219000,86395000,-54314000,71118000,32019000,23130000,72882000,72332000,-51000000,32000000,80000000,54000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,504500000,618600000,704100000,649100000,541900000,600600000,735678000,838800000,898681000,926773000,1092279000,1270904000,1155763000,974414000,1382375000,1354716000,1368768000,1306975000,1820637000,1848495000,1705833000,1260108000,1391292000,1699328000,2056000000,1877000000,2478000000,-26000000
82,Other Non-Cash Items,- -,- -,- -,- -,-5200000,31700000,-9200000,22500000,-22800000,-475900000,-239900000,-97000000,167400000,132300000,-302600000,-136040000,136786000,-54986000,43410000,-139748000,-224851000,40069000,116737000,-543947000,119968000,-122393000,-55408000,-614240000,-65280000,57121000,387729000,-12844000,-128886000,-392672000,99000000,-396000000,83000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,46900000,182800000,150600000,196400000,162500000,191400000,126300000,271400000,426100000,334600000,29700000,277757000,510794000,303470000,394108000,406487000,432543000,436753000,468875000,530066000,732396000,596445000,746108000,816195000,986498000,959814000,989904000,1002976000,1056557000,1057000000,1042000000,1123000000,937000000
84,CAPEX,- -,- -,- -,- -,-34800000,-35000000,-32800000,-217200000,-98400000,-120400000,-111900000,-62100000,-108300000,-130200000,-114100000,-94913000,-100451000,-133978000,-74064000,-128276000,-112297000,-136764000,-197423000,-194975000,-142414000,-120616000,-196942000,-249860000,-272145000,-387390000,-373868000,-284249000,-237283000,-239000000,-221000000,-197000000,-255000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-34000000,-9000000,-34000000,-123000000,-62000000,-359000000,-65000000,-154000000,-31000000,-464000000,- -,- -,86000000,17000000,20000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18500000,-5000000,- -,- -,- -,- -,- -,-13187000,-17079000,-6487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31665000,1015000,15957000,6115000,50000,- -,27843000,12765000,19848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,14500000,-3700000,-35200000,-1600000,1400000,2400000,5300000,-129000000,5200000,-46100000,-16800000,-25935000,-16241000,12263000,-37332000,-14166000,-25688000,16362000,13780000,682000,2851000,13457000,20874000,9204000,26718000,34332000,-5490000,21985000,91200000,-13000000,-219000000,-2000000,29000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13700000,-38700000,-68000000,-218800000,-97000000,-118000000,-106600000,-191100000,-103100000,-176300000,-149400000,-94183000,-115677000,-105758000,-105281000,-142392000,-162985000,-139746000,-196957000,-202635000,-262563000,-169159000,-535068000,-305656000,-399427000,-384058000,-843358000,-262264000,-146083000,-166000000,-202000000,-179000000,-226000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111384000,-62439000,-268921000,-373621000,-424956000,-171131000,-288184000,-131397000,-299606000,-452323000,-127000000,-57000000,-1435000000,-8000000
91,Common Stock Issued,- -,- -,- -,- -,1200000,2000000,2900000,6300000,2900000,1200000,2100000,2900000,2200000,4600000,1200000,6011000,32347000,17076000,15171000,72275000,65997000,64437000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3000000,-37900000,-54800000,-38600000,-104700000,- -,- -,-32100000,-346800000,-194000000,-15300000,-947000,-74631000,-99882000,-41204000,-100872000,-137473000,-472787000,-647293000,-394247000,-372727000,-504803000,-151082000,-340532000,-438473000,-525120000,-1400071000,-789773000,-605431000,-425000000,-700000000,-601000000,-695000000
93,Dividends Paid,- -,- -,- -,- -,-27200000,-31000000,-32700000,-34300000,-36300000,-39600000,-45200000,-50000000,-53900000,-56700000,-58800000,-62863000,-65445000,-66467000,-67281000,-71243000,-82663000,-97896000,-113093000,-121504000,-134684000,-152338000,-180527000,-220077000,-255466000,-291395000,-306474000,-302971000,-304473000,-316000000,-328000000,-338000000,-357000000
94,Other Financing Activites,- -,- -,- -,- -,4700000,-11200000,-4500000,-7200000,30400000,-22200000,19600000,114300000,-4400000,84000000,212100000,-123268000,-179353000,-8780000,-4564000,-140800000,- -,13373000,246499000,590325000,156320000,347475000,527784000,591129000,274201000,346576000,1775391000,637818000,495079000,198000000,62000000,1648000000,21000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-24300000,-78100000,-89100000,-73800000,-107700000,-60600000,-23500000,35100000,-402900000,-162100000,139200000,-181067000,-287082000,-158053000,-97878000,-240640000,-154139000,-492873000,-513887000,-36810000,-413530000,-578587000,-177446000,-394436000,-590869000,-758123000,-62551000,-754532000,-867148000,-670000000,-1023000000,-726000000,-1039000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1806000,-2573000,23000,3347000,2967000,229000,-557000,6935000,-7768000,7278000,4884000,-11557000,469000,-17621000,-21633000,-20503000,-2170000,9404000,-10000000,5000000,7000000,-16000000
97,Net Change In Cash,- -,- -,- -,- -,-24300000,-78100000,-89100000,-73800000,-107700000,- -,- -,- -,- -,-3800000,19500000,701000,105462000,39682000,194296000,26422000,115648000,-196423000,-235034000,282853000,63581000,-146417000,22037000,116572000,-21419000,-204000000,63492000,-15990000,52730000,211000000,-178000000,225000000,-344000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43100000,62700000,63384000,168846000,208528000,402824000,429246000,544894000,348471000,113437000,396290000,459871000,313454000,335491000,452063000,430644000,226644000,290136000,274146000,326876000,538000000,360000000,585000000,241000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,72600000,81400000,147500000,141000000,44800000,2600000,15300000,11500000,126900000,46900000,43200000,62683000,63384000,168846000,208528000,402824000,429246000,544894000,348471000,113437000,396290000,459871000,313454000,335491000,452063000,430644000,226644000,290136000,274146000,327000000,538000000,360000000,585000000
100,Free Cash Flow,- -,- -,- -,- -,12100000,147800000,117800000,-20800000,64100000,71000000,14400000,209300000,317800000,204400000,-84400000,182844000,410343000,169492000,320044000,278211000,320246000,299989000,271452000,335091000,589982000,475829000,549166000,566335000,714353000,572424000,616036000,718727000,819274000,818000000,821000000,926000000,682000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277135/000027713595000007/0000277135-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/277135/000027713596000004/0000277135-96-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/277135/000027713599000003/0000277135-99-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277135/000027713503000003/0000277135-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713504000007/0000277135-04-000007-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713505000008/0000277135-05-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713506000013/0000277135-06-000013-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713507000010/0000277135-07-000010-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713508000006/0000277135-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713509000005/0000277135-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713510000011/0000277135-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713511000011/0000277135-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713512000008/0000277135-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713513000009/0000277135-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713514000008/0000277135-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713515000005/0000277135-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713516000037/0000277135-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713517000007/0000277135-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713518000007/0000277135-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713519000010/0000277135-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713520000007/0000277135-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713521000007/0000277135-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/277135/000027713522000012/0000277135-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
