,https://roic.ai/company/QBAK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,205000,379000,674000,702000,681000,563000,463000,454000,421000,275000,228000,172000,129000,100000,176000,183000,217000,182000,154000,86000,-235000
15,EBITDA,- -,6753000,13143000,11226000,5307000,1504000,-313000,-1119000,-1327000,-996000,-461000,-2328000,-2949000,-556000,-3991000,-10187000,-5441000,-2389000,-1028000,811000,1576000,-260000
16,EBITDA ratio,- -,0.2274,0.2663,0.2177,0.1410,0.0448,-0.0099,-0.0445,-0.0611,-0.0483,-0.0215,-0.1301,-0.1931,-0.0304,-0.2337,-0.8058,-0.4973,-0.2176,-0.1092,0.0762,0.1289,-0.0193
17,Operating Income,- -,6507000,12710000,10377000,3472000,130000,-1340000,-2440000,-3050000,-2894000,-2253000,-3474000,-3433000,-876000,-4115000,-10411000,-5648000,-2608000,-1213000,657000,1490000,-70000
18,Operating Income ratio,- -,0.2191,0.2575,0.2012,0.0923,0.0039,-0.0425,-0.0970,-0.1404,-0.1404,-0.1050,-0.1942,-0.2248,-0.0479,-0.2409,-0.8235,-0.5162,-0.2376,-0.1288,0.0617,0.1218,-0.0052
19,Total Other Income Expenses (Gains),- -,41000,54000,175000,1133000,693000,464000,858000,1269000,1477000,1517000,918000,312000,191000,24000,48000,24000,2000,3000,- -,- -,45000
20,Income Before Tax,- -,6548000,12764000,10552000,4605000,823000,-876000,-1582000,-1781000,-1417000,-736000,-2556000,-3121000,-685000,-4091000,-10363000,-5624000,-2606000,-1210000,657000,1490000,-25000
21,Income Before Tax Ratio,- -,0.2205,0.2586,0.2046,0.1224,0.0245,-0.0278,-0.0629,-0.0820,-0.0687,-0.0343,-0.1429,-0.2044,-0.0374,-0.2395,-0.8197,-0.5140,-0.2374,-0.1285,0.0617,0.1218,-0.0019
22,Income Tax expense (Gain),- -,2562000,4968000,3824000,1845000,274000,-145000,65000,-89000,30000,17000,3000,- -,-5000,16000,- -,- -,20000,- -,17000,4000,-18000
23,Net Income,- -,3986000,7796000,6728000,2760000,549000,-731000,-1647000,-1692000,-1447000,-753000,-2559000,-3121000,-680000,-4107000,-10363000,-5624000,-2626000,-1210000,640000,1486000,-7000
24,Net Income ratio,- -,0.1342,0.1580,0.1305,0.0733,0.0164,-0.0232,-0.0655,-0.0779,-0.0702,-0.0351,-0.1430,-0.2044,-0.0372,-0.2404,-0.8197,-0.5140,-0.2392,-0.1285,0.0601,0.1215,-0.0005
25,EPS,- -,3.60,6.60,3.24,1.32,0.24,-0.36,-0.78,-0.84,-0.72,-0.36,-1.26,-1.50,-0.36,-2.04,-5.10,-2.76,-1.29,-0.59,0.31,0.73,-0.00
26,EPS Diluted,- -,2.52,4.80,3.18,1.32,0.24,-0.36,-0.78,-0.84,-0.72,-0.36,-1.26,-1.50,-0.36,-2.04,-5.10,-2.76,-1.29,-0.59,0.31,0.72,-0.00
27,Weighted Average Shares Outstanding,- -,1104835,1186502,2062004,2079170,2096504,2096170,2066337,2042170,2042170,2042170,2042170,2042170,2042170,2042170,2042170,2042170,2042000,2042000,2042000,2030000,1925000
28,Weighted Average Shares Outstanding Diluted,- -,1577836,1623669,2111337,2110670,2111004,2096170,2066337,2042170,2042170,2042170,2042170,2042170,2042170,2042170,2042170,2042170,2042000,2042000,2042000,2057000,1925000
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/758938/000095014803002370/v93294e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095012904007328/v01982e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095014805000098/v12567e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095012406005605/v23898e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000114036107018641/0001140361-07-018641-index.html,https://www.sec.gov/Archives/edgar/data/758938/000114036108021834/0001140361-08-021834-index.html,https://www.sec.gov/Archives/edgar/data/758938/000114036109021720/0001140361-09-021720-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774910003098/0001437749-10-003098-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774911006515/0001437749-11-006515-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774912009683/0001437749-12-009683-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774913012454/0001437749-13-012454-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774914017550/0001437749-14-017550-index.html,- -,https://www.sec.gov/Archives/edgar/data/758938/000143774917004721/0001437749-17-004721-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774918004815/0001437749-18-004815-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774919004348/0001437749-19-004348-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774920005631/0001437749-20-005631-index.html
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,20809000,16363000,6236000,6401000,12210000,6845000,7697000,6744000,3749000,2234000,4970000,7381000,1966000,5462000,3863000,3691000,4698000,4781000,3863000
32,Short-Term Investments,- -,- -,- -,6278000,14482000,29857000,29376000,21854000,14040000,9574000,11091000,16856000,12033000,10713000,7135000,6305000,1763000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,27087000,30845000,36093000,35777000,34064000,20885000,17271000,17835000,20605000,14267000,15683000,14516000,8271000,7225000,3863000,3691000,4698000,4781000,3863000
34,Net Receivables,- -,- -,- -,6379000,6695000,4535000,4628000,3532000,2700000,3462000,2962000,2305000,2829000,3005000,2995000,3784000,1412000,1630000,1583000,1802000,1809000,2366000
35,Inventory,- -,- -,- -,10632000,9652000,7091000,7418000,7157000,7298000,5928000,6109000,5822000,4823000,5673000,4475000,1628000,3177000,2444000,1360000,1564000,2897000,2540000
36,Other Current Assets,- -,- -,- -,2368000,2004000,2509000,2136000,1092000,670000,713000,467000,397000,299000,312000,151000,363000,241000,319000,266000,263000,280000,311000
37,Total Current Assets,- -,- -,- -,46466000,49196000,50228000,49959000,45845000,31553000,27374000,27373000,29129000,22218000,24673000,22137000,14046000,12055000,8256000,6900000,8327000,9767000,9080000
38,PP&E,- -,- -,- -,1126000,1324000,1557000,1439000,1188000,924000,601000,526000,361000,260000,232000,268000,545000,663000,446000,286000,172000,112000,798000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7056000,9997000,6981000,6369000,5546000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,286000,238000,311000,249000,190000,12922000,16088000,14758000,46000,46000,49000,50000,70000,67000,25000,77000,68000,119000,160000
45,Total Non-Current Assets,- -,- -,- -,1412000,1562000,1868000,1688000,1378000,13846000,16689000,15284000,7463000,10303000,7262000,6687000,6161000,730000,471000,363000,240000,231000,958000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,47878000,50758000,52096000,51647000,47223000,45399000,44063000,42657000,36592000,32521000,31935000,28824000,20207000,12785000,8727000,7263000,8567000,9998000,10038000
48,Accounts Payable,- -,- -,- -,2374000,1590000,1136000,1171000,763000,783000,654000,1197000,649000,1225000,1293000,2039000,2089000,952000,756000,888000,1065000,1023000,1029000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000,953000,1197000,994000,787000,834000,736000,702000
52,Other Current Liabilities,- -,- -,- -,710000,1099000,1901000,2254000,1807000,1758000,1568000,2293000,1399000,1424000,1440000,1550000,2403000,1496000,799000,581000,627000,744000,812000
53,Total Current Liabilities,- -,- -,- -,3084000,2689000,3037000,3425000,2570000,2541000,2222000,3490000,2048000,2649000,2733000,3745000,5445000,3645000,2549000,2256000,2526000,2503000,2543000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000,105000,93000,127000,247000
56,Deferred Tax Liabilities,- -,- -,- -,105000,96000,191000,158000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,34000,25000,22000,26000,17000,17000,27000,63000,52000,40000,505000
58,Total Non-Current Liabilities,- -,- -,- -,105000,96000,191000,158000,- -,- -,- -,46000,34000,25000,22000,26000,17000,17000,131000,168000,145000,167000,752000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000
61,Total Liabilities,- -,- -,- -,3189000,2785000,3228000,3583000,2570000,2541000,2222000,3536000,2082000,2674000,2755000,3771000,5462000,3662000,- -,2424000,2671000,2670000,3295000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20691000,20751000,20366000,20121000,18370000,18503000,18593000,- -,- -,- -,- -,18878000,18938000,18943000,- -,19063000,19480000,19426000,18848000
64,Retained Earnings,- -,- -,- -,25511000,28271000,28820000,28089000,26442000,24750000,23303000,20308000,15544000,10953000,10273000,6166000,-4197000,-9821000,-13014000,-14224000,-13584000,-12098000,-12105000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1902000,-2174000,-2150000,-2417000,-2672000,-3044000,-3385000,-3652000,-3857000,-3487000,-3411000,-2777000,-2738000,-2042000,- -,-1181000,-1052000,-1132000,-918000
66,Other Total Stockholders Equity,- -,- -,- -,389000,1125000,1832000,2271000,2513000,2649000,3330000,22465000,22823000,22381000,22318000,2786000,2742000,2043000,- -,1181000,1052000,1132000,918000
67,Total Stockholders Equity,- -,- -,- -,44689000,47973000,48868000,48064000,44653000,42858000,41841000,39121000,34510000,29847000,29180000,25053000,14745000,9123000,6047000,4839000,5896000,7328000,6743000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,47878000,50758000,52096000,51647000,47223000,45399000,44063000,42657000,36592000,32521000,31935000,28824000,20207000,12785000,- -,7263000,8567000,9998000,10038000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8727000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,47878000,50758000,52096000,51647000,47223000,45399000,44063000,42657000,36592000,32521000,31935000,28824000,20207000,12785000,8727000,7263000,8567000,9998000,10038000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/758938/000095014803002370/v93294e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095012904007328/v01982e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095014805000098/v12567e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095012406005605/v23898e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000114036107018641/0001140361-07-018641-index.html,https://www.sec.gov/Archives/edgar/data/758938/000114036108021834/0001140361-08-021834-index.html,https://www.sec.gov/Archives/edgar/data/758938/000114036109021720/0001140361-09-021720-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774910003098/0001437749-10-003098-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774911006515/0001437749-11-006515-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774912009683/0001437749-12-009683-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774913012454/0001437749-13-012454-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774914017550/0001437749-14-017550-index.html,- -,https://www.sec.gov/Archives/edgar/data/758938/000143774917004721/0001437749-17-004721-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774918004815/0001437749-18-004815-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774919004348/0001437749-19-004348-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774920005631/0001437749-20-005631-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3986000,7796000,6728000,2760000,549000,-731000,-1647000,-1692000,-1447000,-753000,-2559000,-3121000,-680000,-4107000,-10363000,-5624000,-2626000,-1210000,640000,1486000,-7000
74,Depreciation and Amortization,- -,205000,379000,674000,702000,681000,563000,463000,454000,421000,275000,228000,172000,129000,100000,176000,183000,217000,182000,154000,86000,-235000
75,Deferred Income Tax,- -,-187000,-235000,-344000,-469000,657000,312000,436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000,32000,39000,9000,60000,5000,62000,2000,413000,- -,139000
77,Change in Working Capital,- -,-2699000,-5374000,-1621000,-513000,4218000,-176000,925000,1117000,156000,1867000,208000,860000,-1077000,901000,2917000,-3079000,720000,-58000,-522000,-1774000,-446000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619000,-549000,-243000,-25000,-820000,2347000,969000,85000,-212000,-10000,-541000
79,Inventory,- -,-490000,-4006000,-1975000,980000,2609000,-327000,261000,-141000,1370000,-181000,217000,718000,-898000,-250000,2207000,-3752000,269000,112000,-568000,-1695000,-61000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-548000,576000,68000,746000,50000,-1137000,-506000,132000,177000,-42000,6000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,-113000,-206000,35000,-64000,86000
82,Other Non-Cash Items,- -,265000,33000,1133000,1652000,-70000,340000,27000,102000,228000,121000,-2000,309000,134000,1557000,725000,2220000,437000,957000,362000,365000,433000
83,Cash Provided by Operating Activities,- -,1570000,2599000,6570000,4132000,6035000,308000,204000,-19000,-642000,1510000,-2032000,-1748000,-1455000,-1540000,-6485000,-6295000,-1190000,-127000,1047000,163000,-116000
84,CAPEX,- -,-274000,-93000,-986000,-470000,-561000,-257000,-164000,-142000,-50000,-200000,-63000,-71000,-101000,-136000,-453000,-299000,-151000,-45000,-44000,-26000,-85000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-7233000,-17231000,-34375000,-41123000,-22277000,-13204000,-17041000,-26359000,-30201000,-16765000,-10443000,-13810000,-9488000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1015000,8936000,30513000,41365000,29752000,8000000,18585000,26302000,32241000,18539000,14735000,17897000,11011000,10090000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-1050000,- -,- -,-288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,- -,4000,- -,- -
89,Cash Used for Investing Activites,- -,-274000,-1143000,-7204000,-8765000,-4711000,-15000,7311000,-5346000,1494000,-257000,1977000,1703000,4191000,3951000,1070000,9791000,-89000,-45000,-40000,-26000,-85000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,40000,15386000,2327000,35000,149000,69000,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-344000,-314000,-1827000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000,-717000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2206000,-2940000,-1470000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,140000,152000,248000,117000,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,- -
95,Cash Used/Provided by Financing Activities,- -,40000,15386000,2467000,187000,53000,-128000,-1706000,- -,- -,-2206000,-2940000,-1470000,- -,- -,- -,- -,- -,- -,- -,-54000,-717000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1336000,16842000,1833000,-4446000,1377000,165000,5809000,-5365000,852000,-953000,-2995000,-1515000,2736000,2411000,-5415000,3496000,-1279000,-172000,1007000,83000,-918000
98,Cash at the End of Period,- -,2134000,18976000,20809000,16363000,6236000,6401000,12210000,6845000,7697000,6744000,3749000,2234000,4970000,7381000,1966000,5462000,3963000,3791000,4798000,4881000,3963000
99,Cash at the Beginning of Period,- -,798000,2134000,18976000,20809000,4859000,6236000,6401000,12210000,6845000,7697000,6744000,3749000,2234000,4970000,7381000,1966000,5242000,3963000,3791000,4798000,4881000
100,Free Cash Flow,- -,1296000,2506000,5584000,3662000,5474000,51000,40000,-161000,-692000,1310000,-2095000,-1819000,-1556000,-1676000,-6938000,-6594000,-1341000,-172000,1003000,137000,-201000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/758938/000095014803002370/v93294e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095012904007328/v01982e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095014805000098/v12567e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000095012406005605/v23898e10vk.htm,https://www.sec.gov/Archives/edgar/data/758938/000114036107018641/0001140361-07-018641-index.html,https://www.sec.gov/Archives/edgar/data/758938/000114036108021834/0001140361-08-021834-index.html,https://www.sec.gov/Archives/edgar/data/758938/000114036109021720/0001140361-09-021720-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774910003098/0001437749-10-003098-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774911006515/0001437749-11-006515-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774912009683/0001437749-12-009683-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774913012454/0001437749-13-012454-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774914017550/0001437749-14-017550-index.html,- -,https://www.sec.gov/Archives/edgar/data/758938/000143774917004721/0001437749-17-004721-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774918004815/0001437749-18-004815-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774919004348/0001437749-19-004348-index.html,https://www.sec.gov/Archives/edgar/data/758938/000143774920005631/0001437749-20-005631-index.html
102,false,,,,,,,,,,,,,,,,,,,,,,
