,https://roic.ai/company/AVT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,41400000,50200000,90200000,88800000,98000000,86600000,69700000,102800000,187500000,261483000,348967000,327746000,271176000,173233000,333986000,253652000,-2985000,12729000,202247000,321316000,430477000,678273000,710383000,-1019289000,635600000,929979000,884165000,625981000,789940000,827673000,787669000,461400000,230516000,365911000,-4628000,281408000
18,Operating Income ratio,0.0292,0.0326,0.0496,0.0463,0.0560,0.0497,0.0396,0.0459,0.0528,0.0608,0.0670,0.0608,0.0458,0.0273,0.0364,0.0198,-0.0003,0.0014,0.0197,0.0290,0.0302,0.0433,0.0396,-0.0628,0.0332,0.0350,0.0344,0.0246,0.0287,0.0469,0.0471,0.0265,0.0121,0.0187,-0.0003,0.0144
19,Total Other Income Expenses (Gains),900000,-3600000,-3900000,-1500000,700000,13400000,13700000,11400000,-32500000,-18109000,-23967000,-14746000,-4176000,201767000,-79455000,-166652000,-118015000,-91729000,-104247000,-81316000,-114477000,-91654000,-1383000,-63711000,-50600000,-58979000,-93383000,-76981000,-88940000,-256162000,-309656000,-150996000,-85439000,-123643000,-123479000,-108479000
20,Income Before Tax,42300000,46600000,86300000,87300000,98700000,100000000,83400000,114200000,155000000,243374000,325000000,313000000,267000000,375000000,254531000,87000000,-121000000,-79000000,98000000,240000000,316000000,586619000,709000000,-1083000000,585000000,871000000,790782000,549000000,701000000,571511000,478013000,310404000,145077000,242268000,-128107000,172929000
21,Income Before Tax Ratio,0.0299,0.0303,0.0475,0.0455,0.0564,0.0574,0.0474,0.0510,0.0437,0.0566,0.0624,0.0581,0.0451,0.0591,0.0278,0.0068,-0.0136,-0.0087,0.0096,0.0217,0.0222,0.0374,0.0395,-0.0667,0.0305,0.0328,0.0308,0.0216,0.0255,0.0324,0.0286,0.0178,0.0076,0.0124,-0.0073,0.0089
22,Income Tax expense (Gain),18400000,23800000,34100000,33300000,42200000,38400000,32900000,45100000,67000000,103101000,137000000,131000000,116000000,201000000,109390000,87000000,-36377000,-33289000,25501000,71520000,111600000,193552000,209874000,39388000,174713000,202000000,223763000,99192000,155523000,141052000,163978000,47053000,287966000,62157000,-98574000,-20185000
23,Net Income,23900000,22800000,52200000,54000000,56500000,61600000,50500000,69100000,85000000,140273000,188000000,183000000,151000000,174000000,145141000,15000000,-665000000,-46000000,73000000,168000000,205000000,393067000,499000000,-1122000000,410000000,669000000,567019000,450000000,546000000,571913000,506531000,525278000,-156424000,176337000,-31081000,193114000
24,Net Income ratio,0.0169,0.0148,0.0287,0.0281,0.0323,0.0354,0.0287,0.0309,0.0240,0.0326,0.0361,0.0339,0.0255,0.0274,0.0158,0.0012,-0.0746,-0.0051,0.0071,0.0152,0.0144,0.0251,0.0278,-0.0691,0.0214,0.0252,0.0221,0.0177,0.0199,0.0324,0.0303,0.0301,-0.0082,0.0090,-0.0018,0.0099
25,EPS,0.34,0.32,0.73,0.76,0.79,0.86,0.71,0.96,1.04,1.66,2.15,2.13,1.93,2.45,1.77,0.13,-5.61,-0.39,0.61,1.39,1.40,2.65,3.32,-7.44,2.71,4.39,3.85,3.26,3.95,4.18,3.87,4.13,-1.30,1.61,-0.31,1.95
26,EPS Diluted,0.34,0.32,0.73,0.76,0.79,0.86,0.71,0.96,1.04,1.66,2.15,2.13,1.90,2.43,1.75,0.13,-5.61,-0.39,0.60,1.39,1.39,2.63,3.27,-7.44,2.68,4.34,3.79,3.21,3.89,4.12,3.80,4.08,-1.30,1.59,-0.31,1.93
27,Weighted Average Shares Outstanding,70294118,71250000,71506849,71052632,71518987,71627907,71126761,71979167,81694000,86842000,87420000,86098000,78750000,71190000,82213000,117263000,118561000,119456000,120086000,120629000,145942000,148032000,150250000,150898000,151629000,152481000,147278000,137951000,137991000,136688000,130858000,127032000,119909000,109820000,100474000,99258000
28,Weighted Average Shares Outstanding Diluted,70294118,71250000,71506849,71052632,71518987,71627907,71126761,71979167,81694000,86842000,87420000,86876000,79646000,71834000,83124000,118815000,118561000,119456000,121252000,121469000,147150000,149613000,152420000,150898000,153093000,154337000,149553000,140003000,140119000,138791000,133173000,128651000,119909000,110798000,100474000,100168000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8858/000000885894000019/0000008858-94-000019-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885895000012/0000008858-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885896000020/0000008858-96-000020-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8858/000095015300001320/0000950153-00-001320-index.html,- -,https://www.sec.gov/Archives/edgar/data/8858/000095015302001634/p67041e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015303001840/p68219e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095012404004227/p69562e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015305002345/p71142e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015306002277/p72824e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015307001888/0000950153-07-001888-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095015308001548/0000950153-08-001548-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095012309037904/0000950123-09-037904-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095012310077359/0000950123-10-077359-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095012311076782/0000950123-11-076782-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885812000011/0000008858-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885813000011/0000008858-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885814000012/0000008858-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/8858/000155837015001540/0001558370-15-001540-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885816000038/avt-20160702x10k.htm,https://www.sec.gov/Archives/edgar/data/8858/000000885817000057/0000008858-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885818000047/0000008858-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885819000035/0000008858-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885820000025/0000008858-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/8858/000000885821000036/0000008858-21-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,110600000,213300000,152300000,93800000,103900000,95900000,56900000,219800000,54000000,49332000,48000000,59000000,83000000,312000000,167192000,97000000,159000000,395000000,313000000,638000000,277000000,557350000,640000000,944000000,1092000000,675000000,1006864000,1009000000,929000000,932553000,1031478000,836384000,621125000,546105000,477038000,199691000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281326000,- -,- -,- -,- -
33,Cash and Short-Term Investments,110600000,213300000,152300000,93800000,103900000,95900000,56900000,219800000,54000000,49332000,48000000,59000000,83000000,312000000,167192000,97000000,159000000,395000000,313000000,638000000,277000000,557350000,640000000,944000000,1092000000,675000000,1006864000,1009000000,929000000,932553000,1031478000,1117710000,621125000,546105000,477038000,199691000
34,Net Receivables,232400000,244600000,297600000,262000000,257500000,250600000,312700000,359200000,574000000,713644000,802000000,800000000,894000000,961000000,1750827000,1630000000,1374000000,1472000000,1744000000,1889000000,2477000000,3103015000,3367000000,2619000000,3575000000,4764000000,4607324000,4869000000,5221000000,5054307000,2769906000,3337624000,3641139000,3168369000,2928386000,3576130000
35,Inventory,414000000,435400000,538500000,479500000,425500000,442900000,458200000,491800000,627000000,747477000,936000000,1007000000,1062000000,997000000,1887280000,1917000000,1417000000,1098000000,1364000000,1225000000,1617000000,1736301000,1894000000,1412000000,1813000000,2596000000,2388642000,2264000000,2613000000,2482183000,2559921000,2824709000,3141822000,3008424000,2731988000,3236837000
36,Other Current Assets,15300000,12500000,12300000,147300000,242800000,248500000,251300000,4800000,9000000,13838000,27000000,30000000,29000000,43000000,67956000,103000000,256000000,161000000,63000000,31000000,96000000,92179000,70000000,169000000,150000000,192000000,251609000,215000000,191000000,173030000,2642668000,253765000,206513000,153438000,191394000,150763000
37,Total Current Assets,772300000,905800000,1000700000,982600000,1029700000,1037900000,1079100000,1075600000,1264000000,1524291000,1813000000,1896000000,2068000000,2313000000,3873255000,3747000000,3206000000,3126000000,3484000000,3783000000,4467000000,5488845000,5971000000,5144000000,6630000000,8227000000,8254439000,8357000000,8954000000,8642073000,9003973000,7533808000,7610599000,6876336000,6328806000,7163421000
38,PP&E,98900000,121500000,117700000,106200000,94800000,97300000,101700000,102500000,115000000,145611000,177000000,182000000,155000000,194000000,289902000,417000000,350000000,250000000,187000000,157000000,159000000,179533000,227000000,306000000,303000000,419000000,461230000,493000000,535000000,568779000,453209000,519575000,522909000,452171000,680524000,634440000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,408000000,419479000,495000000,477000000,461000000,386000000,856831000,1405000000,845000000,857000000,895000000,895000000,1297000000,1402470000,1729000000,550000000,566000000,885000000,1100621000,1261000000,1348000000,1278756000,621852000,1148347000,980872000,876728000,773734000,838105000
40,Intangible Assets,36900000,35100000,34100000,37100000,33000000,46300000,61900000,69200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,34000000,49000000,125000000,- -,172000000,184000000,99731000,22571000,277291000,219913000,143520000,65437000,28539000
41,Intangible Assets,36900000,35100000,34100000,37100000,33000000,46300000,61900000,69200000,408000000,419479000,495000000,477000000,461000000,386000000,856831000,1405000000,845000000,857000000,895000000,895000000,1297000000,1402470000,1773000000,584000000,615000000,1010000000,1100621000,1433000000,1532000000,1378487000,644423000,1425638000,1200785000,1020248000,839171000,866644000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,100000,100000,- -,- -,- -,- -,1000000,36214000,37000000,39000000,50000000,92000000,224367000,295000000,281000000,267000000,298000000,263000000,293000000,284271000,229000000,240000000,234000000,250000000,351576000,192000000,235000000,210614000,1138200000,220568000,262552000,215801000,256696000,260917000
45,Total Non-Current Assets,135800000,156600000,151900000,143400000,127800000,143600000,163600000,171700000,524000000,601304000,709000000,698000000,666000000,672000000,1371100000,2117000000,1476000000,1374000000,1380000000,1315000000,1749000000,1866274000,2229000000,1130000000,1152000000,1679000000,1913427000,2118000000,2302000000,2157880000,2235832000,2165781000,1986246000,1688220000,1776391000,1762001000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,908100000,1062400000,1152600000,1126000000,1157500000,1181500000,1242700000,1247300000,1788000000,2125595000,2522000000,2594000000,2734000000,2985000000,5244355000,5864000000,4682000000,4500000000,4864000000,5098000000,6216000000,7355119000,8200000000,6274000000,7782000000,9906000000,10167866000,10475000000,11256000000,10799953000,11239805000,9699589000,9596845000,8564556000,8105197000,8925422000
48,Accounts Payable,- -,- -,- -,112100000,114400000,103000000,144100000,182200000,253000000,314887000,354000000,434000000,451000000,480000000,1102510000,853000000,891000000,802000000,1100000000,1297000000,1654000000,2228017000,2293000000,1958000000,2862000000,3562000000,3230765000,3278000000,3402000000,3338052000,1590777000,1861635000,2269478000,1864342000,1754078000,2401357000
49,Short-Term Debt,3400000,4000000,5300000,2700000,3100000,1300000,400000,100000,- -,493000,- -,- -,- -,- -,499287000,- -,- -,187656000,160660000,61298000,316016000,53367000,43804000,23294000,36549000,243079000,872404000,838190000,865088000,331115000,1152599000,50113000,165380000,300538000,53364000,81424000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100422000,72495000,85025000,54039000,40829000,27816000,43232000,61552000,108386000,12313000,34588000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,145800000,176500000,230000000,64700000,68400000,74700000,85700000,90200000,123000000,151820000,165000000,143000000,156000000,316000000,301977000,1717000000,386000000,316344000,384340000,359702000,467984000,495601000,443196000,474706000,541451000,672921000,695483000,704810000,711912000,603129000,2199117000,542023000,534603000,413696000,472924000,572457000
53,Total Current Liabilities,149200000,180500000,235300000,179500000,185900000,179000000,230200000,272500000,376000000,467200000,519000000,577000000,607000000,796000000,1903774000,2570000000,1277000000,1306000000,1645000000,1718000000,2438000000,2776985000,2780000000,2456000000,3440000000,4478000000,4798652000,4821000000,4979000000,4272296000,4942493000,2453771000,2969461000,2578576000,2280366000,3055238000
54,Long-Term Debt,111900000,224000000,221200000,211100000,201900000,201100000,175300000,106600000,303000000,419016000,497000000,514000000,811000000,791000000,1438610000,919000000,1566000000,1278000000,1196000000,1183000000,919000000,1155990000,1181000000,947000000,1244000000,1274000000,1271985000,1207000000,1214000000,1646501000,1339204000,1729212000,1489219000,1419922000,1678510000,1431167000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,1000000,34000000,83000000,69000000,100000000,28000000,21499000,104000000,110000000,89000000,97000000,191497000,158000000,172000000,196135000,266822000,334538000,453084000,425585000,419923000,354833000
58,Total Non-Current Liabilities,112000000,224000000,221300000,211100000,201900000,201100000,175300000,106600000,303000000,419016000,497000000,515000000,811000000,791000000,1438610000,920000000,1600000000,1361000000,1265000000,1283000000,947000000,1177489000,1285000000,1057000000,1333000000,1371000000,1463482000,1365000000,1386000000,1842636000,1606026000,2063750000,1942303000,1845507000,2098433000,1786000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307032000,298184000
61,Total Liabilities,261200000,404500000,456600000,390600000,387800000,380100000,405500000,379100000,679000000,886216000,1016000000,1092000000,1418000000,1587000000,3342384000,3490000000,2877000000,2667000000,2910000000,3001000000,3385000000,3954474000,4065000000,3513000000,4773000000,5849000000,6262134000,6186000000,6365000000,6114932000,6548519000,4517521000,4911764000,4424083000,4378799000,4841238000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,41000000,41204000,44000000,44000000,44000000,44000000,90757000,118000000,119000000,120000000,120000000,121000000,147000000,149826000,150000000,151000000,152000000,153000000,142586000,137000000,138000000,135496000,127377000,123081000,115825000,104038000,98793000,99601000
64,Retained Earnings,491600000,496600000,531000000,567100000,602100000,642400000,671600000,719300000,780000000,896102000,1058000000,1216000000,1343000000,1496000000,1616692000,1771000000,1088000000,1042000000,1115000000,1283000000,1488000000,1880642000,2380000000,1257000000,1624000000,2294000000,2545858000,2803000000,3257000000,3582599000,3632271000,3799363000,3235894000,2767469000,2421845000,2516170000
65,Other Comprehensive Income/Loss,-77200000,-96700000,-113200000,-111200000,-129600000,-135700000,-144500000,-159800000,-20000000,-176748000,-8000000,-50000000,-84000000,-92000000,-322817000,-112000000,56000000,103207000,151195000,123705000,186876000,276509000,482178000,218094000,27362000,377211000,-45832000,28895000,139512000,-441038000,-520775000,-243866000,-195351000,-304039000,-388380000,-153747000
66,Other Total Stockholders Equity,232500000,258000000,278200000,279500000,297200000,294700000,310100000,308700000,308000000,478821000,411000000,292000000,13000000,- -,517339000,598000000,542000000,567315000,567231000,569328000,1009307000,1093668000,1122513000,1134763000,1205755000,1231859000,1263120000,1320230000,1355681000,1407964000,1452413000,1503490000,1528713000,1573005000,1594140000,1622160000
67,Total Stockholders Equity,646900000,657900000,696000000,735400000,769700000,801400000,837200000,868200000,1109000000,1239379000,1505000000,1502000000,1316000000,1398000000,1901971000,2375000000,1805000000,1832522000,1953426000,2097033000,2831183000,3400645000,4134691000,2760857000,3009117000,4056070000,3905732000,4289125000,4890193000,4685021000,4691286000,5182068000,4685081000,4140473000,3726398000,4084184000
68,Total Liabilities And Stockholders Equity,908100000,1062400000,1152600000,1126000000,1157500000,1181500000,1242700000,1247300000,1788000000,2125595000,2521000000,2594000000,2734000000,2985000000,5244355000,5865000000,4682000000,4499522000,4863426000,5098033000,6216183000,7355119000,8199691000,6273857000,7782117000,9905070000,10167866000,10475125000,11255193000,10799953000,11239805000,9699589000,9596845000,8564556000,8105197000,8925422000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,-1000000,- -,478000,574000,-33000,-183000,- -,309000,143000,-117000,930000,- -,-125000,807000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,908100000,1062400000,1152600000,1126000000,1157500000,1181500000,1242700000,1247300000,1788000000,2125595000,2522000000,2594000000,2734000000,2985000000,5244355000,5864000000,4682000000,4500000000,4864000000,5098000000,6216000000,7355119000,8200000000,6274000000,7782000000,9906000000,10167866000,10475000000,11256000000,10799953000,11239805000,9699589000,9596845000,8564556000,8105197000,8925422000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8858/000000885894000019/0000008858-94-000019-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885895000012/0000008858-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885896000020/0000008858-96-000020-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8858/000095015300001320/0000950153-00-001320-index.html,- -,https://www.sec.gov/Archives/edgar/data/8858/000095015302001634/p67041e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015303001840/p68219e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095012404004227/p69562e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015305002345/p71142e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015306002277/p72824e10vk.htm,https://www.sec.gov/Archives/edgar/data/8858/000095015307001888/0000950153-07-001888-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095015308001548/0000950153-08-001548-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095012309037904/0000950123-09-037904-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095012310077359/0000950123-10-077359-index.html,https://www.sec.gov/Archives/edgar/data/8858/000095012311076782/0000950123-11-076782-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885812000011/0000008858-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885813000011/0000008858-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885814000012/0000008858-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/8858/000155837015001540/0001558370-15-001540-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885816000038/avt-20160702x10k.htm,https://www.sec.gov/Archives/edgar/data/8858/000000885817000057/0000008858-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885818000047/0000008858-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885819000035/0000008858-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/8858/000000885820000025/0000008858-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/8858/000000885821000036/0000008858-21-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,54000000,56500000,61600000,50500000,69100000,85000000,140273000,188000000,183000000,151000000,174000000,145141000,15000000,-665000000,-46000000,73000000,168000000,205000000,393067000,499000000,-1122000000,410000000,669000000,567019000,450000000,546000000,571913000,506531000,525278000,-156424000,176337000,-31081000,193114000
74,Depreciation and Amortization,- -,- -,- -,29800000,28400000,24800000,24000000,22800000,31800000,36863000,43500000,49400000,50500000,52300000,75561000,119400000,103900000,88800000,64500000,61700000,66500000,53775000,59200000,66100000,60600000,81400000,101336000,120700000,137200000,82191000,79590000,155360000,234872000,180842000,242895000,188699000
75,Deferred Income Tax,- -,- -,- -,600000,-4900000,500000,-1300000,1700000,-10300000,5484000,-14500000,-5100000,-1700000,-32300000,422000,-79700000,10800000,21600000,-2800000,63700000,52200000,99604000,107100000,-88100000,46400000,16000000,11782000,-10000000,-15600000,8697000,107598000,-17705000,-87141000,33801000,-34264000,14650000
