,https://roic.ai/company/ILMN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,6392435,24544471,32800000,51900000,54700000,- -,56100000,146774000,668000000,492800000,- -,540700000,691100000,947800000,1287100000,1346600000,- -,1606921000,2146000000,2450000000,2504000000,- -,2659000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11029000,8378000,16208000,4887000,3901000,- -,5024000,19000000,44000000,75000000,- -,41000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23718000,24598000,37779000,39690000,41728000,- -,42121000,37000000,57000000,52000000,- -,49000000
14,Depreciation and Amortization,1054189,7195238,7763000,9500000,7431000,- -,4998000,5708000,15824000,28927000,- -,31184000,42009000,63790000,97925000,112574000,- -,126419000,156000000,179000000,188000000,- -,187000000
15,EBITDA,-4463456,-11411227,-17037000,-30800000,-19669000,- -,-1102000,48328000,-287676000,101627000,- -,169002000,252007000,324269000,296915000,603102000,- -,755851000,1284000000,1163000000,1370000000,- -,1092000000
16,EBITDA ratio,-9.4161,-8.7168,-6.8148,-3.0800,-0.7025,- -,-0.0218,0.2618,-0.7843,0.1773,- -,0.2536,0.2792,0.2823,0.2089,0.3240,- -,0.3405,0.4666,0.3489,0.3867,- -,0.3371
17,Operating Income,-5918409,-23235360,-30319000,-41855000,-26622000,- -,-5513000,37812000,-301210000,80457000,- -,125597000,211654000,200752000,134107000,514711000,- -,612841000,606000000,883000000,985000000,- -,580000000
18,Operating Income ratio,-12.4854,-17.7490,-12.1276,-4.1855,-0.9508,- -,-0.1090,0.2048,-0.8212,0.1404,- -,0.1885,0.2345,0.1748,0.0944,0.2765,- -,0.2761,0.2202,0.2649,0.2780,- -,0.1791
19,Total Other Income Expenses (Gains),- -,- -,5519000,1555000,-478000,- -,-587000,4808000,-2290000,-7757000,- -,-11497000,-26254000,21848000,25193000,-65911000,- -,-29699000,437000000,11000000,133000000,- -,276000000
20,Income Before Tax,- -,- -,-24800000,-40300000,-27100000,- -,-6100000,42620000,-303500000,72700000,- -,114100000,185400000,222600000,159300000,448800000,- -,583142000,1043000000,894000000,1118000000,- -,856000000
21,Income Before Tax Ratio,- -,- -,-9.9200,-4.0300,-0.9679,- -,-0.1206,0.2309,-0.8274,0.1268,- -,0.1712,0.2054,0.1938,0.1121,0.2411,- -,0.2627,0.3790,0.2682,0.3156,- -,0.2643
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,100000,2652000,-16200000,33300000,- -,41800000,60500000,71400000,34000000,95400000,- -,125752000,365000000,101000000,128000000,- -,200000000
23,Net Income,-5517645,-18606465,-24800000,-40300000,-27100000,- -,-6200000,39968000,-287300000,39400000,- -,72300000,124900000,151300000,125300000,353400000,- -,461559000,726000000,826000000,1002000000,- -,656000000
24,Net Income ratio,-11.6400,-14.2131,-9.9200,-4.0300,-0.9679,- -,-0.1225,0.2165,-0.7833,0.0687,- -,0.1085,0.1384,0.1317,0.0882,0.1899,- -,0.2079,0.2638,0.2478,0.2828,- -,0.2025
25,EPS,-1.96,-0.69,-0.41,-0.66,-0.42,- -,-0.09,0.45,-2.57,0.43,- -,0.59,1.01,1.23,1.00,2.61,- -,3.19,4.96,5.63,6.81,- -,4.48
26,EPS Diluted,-1.96,-0.69,-0.41,-0.66,-0.42,- -,-0.09,0.41,-2.57,0.38,- -,0.53,0.87,1.13,0.90,2.37,- -,3.10,4.92,5.56,6.74,- -,4.45
27,Weighted Average Shares Outstanding,2820450,27113882,59496000,61780000,63850000,- -,71690000,89002000,108308000,116855000,- -,123154000,123581000,122999000,125076000,135553000,- -,144826000,146000000,147000000,147000000,- -,147000000
28,Weighted Average Shares Outstanding Diluted,2820450,27113882,59496000,61780000,63850000,- -,71690000,97508000,108308000,133607000,- -,137096000,143433000,133693000,139936000,148977000,- -,149069000,148000000,149000000,149000000,- -,148000000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1110803/000109581101001897/0001095811-01-001897-index.html,https://www.sec.gov/Archives/edgar/data/1110803/000093639202000357/0000936392-02-000357-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639203000348/0000936392-03-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639204000205/0000936392-04-000205-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000093639205000048/0000936392-05-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639207000158/0000936392-07-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639208000144/0000936392-08-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639209000092/0000936392-09-000092-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000095012310018433/0000950123-10-018433-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000095012311019925/0000950123-11-019925-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080313000095/0001110803-13-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080314000087/0001110803-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080315000064/0001110803-15-000064-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000111080316000175/0001110803-16-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000009/0001110803-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000013/0001110803-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/0001110803-20-000018-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000111080321000015/0001110803-21-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,116101736,4200000,2000000,12500000,- -,54800000,38386000,174900000,327000000,- -,144600000,248900000,434000000,711600000,636200000,- -,768770000,1225000000,1144000000,2042000000,- -,1810000000
32,Short-Term Investments,- -,1001215,86300000,51700000,20300000,- -,12205000,92418000,211100000,313100000,- -,548900000,645300000,916200000,454000000,702200000,- -,617450000,920000000,2368000000,1372000000,- -,1662000000
33,Cash and Short-Term Investments,- -,117102951,90500000,53700000,32800000,- -,67005000,130804000,386000000,640100000,- -,693500000,894200000,1350200000,1165600000,1338400000,- -,1386220000,2145000000,3512000000,3414000000,- -,3472000000
34,Net Receivables,- -,- -,1300000,3700000,4800000,- -,11900000,39984000,83100000,133300000,- -,157800000,165600000,215000000,238900000,289500000,- -,385529000,411000000,514000000,573000000,- -,487000000
35,Inventory,- -,- -,1000000,2300000,2000000,- -,3800000,20169000,54000000,73400000,- -,92800000,142200000,158700000,154100000,191100000,- -,270777000,333000000,386000000,359000000,- -,372000000
36,Other Current Assets,- -,11963702,3500000,13100000,800000,- -,995000,2769000,39700000,22800000,- -,37500000,56400000,63100000,58900000,70600000,- -,54297000,91000000,78000000,105000000,- -,152000000
37,Total Current Assets,- -,129066653,96300000,72800000,40400000,- -,83700000,193726000,562800000,869600000,- -,981600000,1258400000,1787000000,1617500000,1889600000,- -,2096823000,2980000000,4490000000,4451000000,- -,4483000000
38,PP&E,- -,3289387,26000000,48300000,45800000,- -,8600000,25634000,46300000,89400000,- -,117200000,129900000,166200000,202700000,265300000,- -,342694000,931000000,1075000000,1444000000,- -,1454000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2125000,228700000,213500000,- -,213500000,278200000,369300000,723100000,724900000,- -,752629000,771000000,831000000,824000000,- -,897000000
40,Intangible Assets,- -,37867,- -,800000,800000,- -,2600000,11315000,58100000,47800000,- -,43800000,91500000,130200000,331200000,314500000,- -,273621000,175000000,185000000,145000000,- -,142000000
41,Intangible Assets,- -,37867,- -,800000,800000,- -,2600000,13440000,286800000,261300000,- -,257300000,369700000,499500000,1054300000,1039400000,- -,1026250000,946000000,1016000000,969000000,- -,1039000000
42,Investments,- -,- -,- -,- -,12200000,- -,- -,68000000,- -,55900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,- -,- -,- -,20000000
44,Other Non-Current Assets,- -,398772,200000,- -,- -,- -,- -,-216000,91800000,51000000,- -,73800000,81100000,113400000,144500000,145300000,- -,221980000,312000000,378000000,452000000,- -,589000000
45,Total Non-Current Assets,- -,3726026,26200000,49100000,58800000,- -,11200000,106858000,424900000,457600000,- -,448300000,580700000,779100000,1401500000,1450000000,- -,1590924000,2277000000,2469000000,2865000000,- -,3102000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,132792679,122500000,121900000,99200000,- -,94900000,300584000,987700000,1327200000,- -,1429900000,1839100000,2566100000,3019000000,3339600000,- -,3687747000,5257000000,6959000000,7316000000,- -,7585000000
48,Accounts Payable,- -,727273,2000000,1800000,2000000,- -,2700000,9853000,24300000,29200000,- -,52800000,66700000,65700000,73700000,82600000,- -,139226000,160000000,184000000,149000000,- -,192000000
49,Short-Term Debt,- -,260867,- -,677000,619000,- -,- -,63000,16000,399999000,- -,290202000,311609000,36967000,29288000,304256000,- -,74929000,154000000,1107000000,45000000,- -,562000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23021000,30435000,38942000,- -,44159000,50000000,82000000,86000000,- -,68000000
51,Deferred Revenue,- -,- -,10048000,10009000,- -,- -,- -,3382000,- -,- -,- -,- -,- -,55817000,50834000,75294000,- -,96654000,150000000,175000000,- -,- -,186000000
52,Other Current Liabilities,- -,1818176,-7248000,1814000,5581000,- -,16300000,20478000,141384000,-42799000,- -,98198000,156191000,146116000,168278000,260050000,- -,299685000,282000000,338000000,471000000,- -,304000000
53,Total Current Liabilities,- -,2806316,4800000,14300000,8200000,- -,19000000,33776000,165700000,386400000,- -,441200000,534500000,304600000,322100000,722200000,- -,610494000,746000000,1804000000,665000000,- -,1244000000
54,Long-Term Debt,- -,886627,600000,25600000,25000000,- -,- -,- -,400000000,399999000,- -,290202000,311609000,805400000,972200000,986800000,- -,1015649000,1182000000,890000000,1141000000,- -,673000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,6987000,80245000,78321000,- -,47371000,39497000,30451000,36076000,40786000,- -,134515000,- -,215000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,5000000,10300000,10300000,18600000,- -,3600000,12479000,-69845000,-336220000,- -,-213073000,-244206000,107049000,155424000,127014000,- -,78536000,580000000,292000000,897000000,- -,974000000
58,Total Non-Current Liabilities,- -,5886627,10900000,35900000,43600000,- -,3600000,19466000,410400000,142100000,- -,124500000,106900000,942900000,1163700000,1154600000,- -,1228700000,1762000000,1397000000,2038000000,- -,1647000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,- -,740000000,- -,722000000
61,Total Liabilities,- -,8692943,15700000,50200000,51800000,- -,22600000,53242000,576100000,528500000,- -,565700000,641400000,1247500000,1485800000,1876800000,- -,1839194000,2508000000,3201000000,2703000000,- -,2891000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,319649,300000,300000,300000,- -,400000,469000,1300000,1400000,- -,1400000,1500000,1700000,1800000,1800000,- -,1859000,2000000,2000000,2000000,- -,2000000
64,Retained Earnings,- -,-25269730,-50100000,-90400000,-117500000,- -,-123700000,-104618000,-383000000,-352500000,- -,-280200000,-155300000,82500000,207900000,561200000,- -,1022765000,2256000000,3083000000,4067000000,- -,4723000000
65,Other Comprehensive Income/Loss,- -,-434956,-14600000,-2640000,-768000,- -,-60000,11294000,1347000,2406000,- -,2830000,1765000,2123000,1234000,-1080000,- -,36000,-1000000,-1000000,5000000,- -,2000000
66,Other Total Stockholders Equity,- -,149484773,171200000,164484000,165356000,- -,195622000,340197000,792031000,1197290000,- -,1140218000,1349710000,1232258000,1322268000,900878000,- -,823893000,492000000,674000000,539000000,- -,-33000000
67,Total Stockholders Equity,- -,124099736,106800000,71744000,47388000,- -,72262000,247342000,411678000,848596000,- -,864248000,1197675000,1318581000,1533202000,1462798000,- -,1848553000,2749000000,3758000000,4613000000,- -,4694000000
68,Total Liabilities And Stockholders Equity,- -,132792679,122500000,121944000,99188000,- -,94862000,300584000,987778000,1377096000,- -,1429948000,1839075000,2566081000,3019002000,3339598000,- -,3687747000,5257000000,6959000000,7316000000,- -,7585000000
69,Minority Interest,- -,- -,- -,-44000,12000,- -,38000,- -,-78000,-49896000,- -,-48000,25000,19000,-2000,2000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,132792679,122500000,121900000,99200000,- -,94900000,300584000,987700000,1327200000,- -,1429900000,1839100000,2566100000,3019000000,3339600000,- -,3687747000,5257000000,6959000000,7316000000,- -,7585000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000109581101001897/0001095811-01-001897-index.html,https://www.sec.gov/Archives/edgar/data/1110803/000093639202000357/0000936392-02-000357-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639203000348/0000936392-03-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639204000205/0000936392-04-000205-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000093639205000048/0000936392-05-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639207000158/0000936392-07-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639208000144/0000936392-08-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639209000092/0000936392-09-000092-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000095012310018433/0000950123-10-018433-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000095012311019925/0000950123-11-019925-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080313000095/0001110803-13-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080314000087/0001110803-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080315000064/0001110803-15-000064-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000111080316000175/0001110803-16-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000009/0001110803-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000013/0001110803-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/0001110803-20-000018-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000111080321000015/0001110803-21-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5517645,-18606465,-24800000,-40300000,-27100000,- -,-6200000,39968000,-287300000,39400000,- -,72300000,124900000,151300000,125300000,353400000,- -,461559000,726000000,826000000,1002000000,- -,656000000
74,Depreciation and Amortization,1054189,7195238,7763000,9500000,7431000,- -,4998000,5708000,15824000,28927000,- -,31184000,42009000,63790000,97925000,112574000,- -,126419000,156000000,179000000,188000000,- -,187000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-548000,-11408000,38692000,- -,29704000,48696000,-21698000,-36663000,99846000,- -,80504000,81000000,-18000000,11000000,- -,117000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60811000,71645000,94324000,105826000,152551000,- -,132593000,164000000,193000000,194000000,- -,194000000
77,Change in Working Capital,1454990,126260337,-34760337,-33000000,-26300000,- -,32500000,101950000,237150000,86100000,- -,57200000,183500000,164700000,-187000000,-128000000,- -,318929000,620574000,452000000,1100000000,- -,-547000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18578000,-7844000,-34441000,-15928000,-50381000,- -,-95913000,-26000000,-105000000,-58000000,- -,89000000
79,Inventory,- -,- -,-900000,-1328000,277000,- -,-1785000,-9728000,-27130000,-19560000,- -,-19201000,-48583000,-23707000,6217000,-36542000,- -,-80545000,-33000000,-53000000,25000000,- -,-12000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11778000,23150000,15112000,2389000,-2106000,- -,46296000,10000000,45000000,-35000000,- -,40000000
81,Other Working Capital,- -,126260337,91500000,58500000,32200000,- -,64700000,159950000,397100000,483200000,- -,540400000,723900000,1482400000,1295400000,1167400000,- -,1486329000,2234000000,2686000000,3786000000,- -,3239000000
82,Other Non-Cash Items,101336,-129160461,40872337,38207000,27713000,- -,-50872000,-108078000,102028000,-105237000,- -,-76703000,-198177000,-160543000,281033000,-89100000,- -,-460408000,-872574000,-490000000,-1444000000,- -,473000000
83,Cash Provided by Operating Activities,-2907130,-14311351,-10925000,-25593000,-18256000,- -,-19574000,39000000,56294000,87882000,- -,174496000,272573000,291873000,386421000,501271000,- -,659596000,875000000,1142000000,1051000000,- -,1080000000
84,CAPEX,-295286,-3428057,-14972000,-26830000,-2032000,- -,-3355000,-15214000,-24428000,-95693000,- -,-55222000,-56468000,-81009000,-90559000,-142216000,- -,-143247000,-312000000,-296000000,-209000000,- -,-189000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-50000000,72075000,-24666000,- -,-1325000,-98211000,-32337000,-427921000,-3285000,- -,-36581000,-52000000,-100000000,-32000000,- -,-98000000
86,Purchases of Investments,-16244380,-10328685,-166762000,-116568000,-1940000,- -,-6603000,-239367000,-598383000,-568707000,- -,-714387000,-873885000,-941416000,-364001000,-803007000,- -,-803070000,-771000000,-2874000000,-1030000000,- -,-1926000000
87,Sales/Maturities of Investments,4256000,19715720,80068000,141551000,32456000,- -,26348000,143846000,483008000,411817000,- -,515216000,743511000,898750000,812832000,541884000,- -,876752000,921000000,1457000000,2016000000,- -,1791000000
88,Other Investing Activites,- -,- -,- -,-794000,-16000,- -,40632000,- -,42000,- -,- -,-3400000,-6650000,-6228000,-11344000,-36220000,- -,-400000,-2000000,- -,- -,- -,-132000000
89,Cash Used for Investing Activites,-12283666,5958978,-101666000,-2641000,28468000,- -,57022000,-160735000,-67686000,-277249000,- -,-255718000,-285053000,-150012000,-69649000,-406624000,- -,-106146000,-214000000,-1813000000,745000000,- -,-554000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,-10852000,-1274712000,- -,-244952000,-9000000,-4000000,-550000000,- -,- -
91,Common Stock Issued,28121181,102139501,915000,696000,895000,- -,30507000,107966000,128694000,389971000,- -,39379000,102016000,54358000,94460000,96328000,- -,71839000,71000000,46000000,59000000,- -,61000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-13000,- -,-251622000,-70785000,- -,-175136000,-44016000,-82522000,-50020000,-237183000,- -,-274324000,-251000000,-201000000,-324000000,- -,-736000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1150494,-261000,25410000,-679000,- -,-25619000,1330000,271220000,18486000,- -,46895000,58474000,17409000,-72307000,1248819000,- -,28675000,13000000,753000000,-82000000,- -,-91000000
95,Cash Used/Provided by Financing Activities,28121181,103289995,654000,26106000,216000,- -,4875000,109296000,148292000,337672000,- -,-98862000,116474000,-10755000,-38719000,-166748000,- -,-418762000,-176000000,594000000,-897000000,- -,-766000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,1000,3000,-345000,3778000,- -,-2307000,320000,-103000,-397000,-3382000,- -,-2072000,5000000,-4000000,-1000000,- -,8000000
97,Net Change In Cash,12930385,94937622,-111937000,-2128000,10428000,- -,42324000,-12436000,136555000,152083000,- -,-182391000,104314000,131003000,277656000,-75483000,- -,132616000,490000000,-81000000,898000000,- -,-232000000
98,Cash at the End of Period,21164114,116101736,4165000,2037000,12465000,- -,54789000,38386000,174941000,327024000,- -,144633000,248947000,433981000,711637000,636154000,- -,768770000,1225000000,1144000000,2042000000,- -,1810000000
99,Cash at the Beginning of Period,8233729,21164114,116102000,4165000,2037000,- -,12465000,50822000,38386000,174941000,- -,327024000,144633000,302978000,433981000,711637000,- -,636154000,735000000,1225000000,1144000000,- -,2042000000
100,Free Cash Flow,-3202416,-17739408,-25897000,-52423000,-20288000,- -,-22929000,23786000,31866000,-7811000,- -,119274000,216105000,210864000,295862000,359055000,- -,516349000,563000000,846000000,842000000,- -,891000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1110803/000109581101001897/0001095811-01-001897-index.html,https://www.sec.gov/Archives/edgar/data/1110803/000093639202000357/0000936392-02-000357-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639203000348/0000936392-03-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639204000205/0000936392-04-000205-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000093639205000048/0000936392-05-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639207000158/0000936392-07-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639208000144/0000936392-08-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000093639209000092/0000936392-09-000092-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000095012310018433/0000950123-10-018433-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000095012311019925/0000950123-11-019925-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080313000095/0001110803-13-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080314000087/0001110803-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080315000064/0001110803-15-000064-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000111080316000175/0001110803-16-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000009/0001110803-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000013/0001110803-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/0001110803-20-000018-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1110803/000111080321000015/0001110803-21-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
