,https://roic.ai/company/WWE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1091907/000095013000004115/0000950130-00-004115-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000095012301504803/0000950123-01-504803-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000091205702028674/0000912057-02-028674-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677403000546/0001206774-03-000546-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677404000684/0001206774-04-000684-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677405001228/0001206774-05-001228-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091907/000120677409000374/0001206774-09-000374-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677410000348/0001206774-10-000348-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677411000440/wwe_10k.htm,https://www.sec.gov/Archives/edgar/data/1091907/000120677412000891/0001206774-12-000891-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000144530513000441/0001445305-13-000441-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190714000008/wwe12311310kdoc.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190715000012/wwe12311410k.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190716000046/0001091907-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190717000008/0001091907-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190718000008/0001091907-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190719000016/0001091907-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190720000011/0001091907-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190721000009/0001091907-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190722000018/0001091907-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,8466000,33200000,58908000,15987000,42233000,-19195000,48192000,39147000,47047000,52137000,45416000,50303000,53452000,24832000,31432000,2764000,-30072000,24144000,33841000,32640000,99588000,77061000,131771000,180408000
74,Depreciation and Amortization,- -,1676000,1900000,2544000,6773000,11843000,9277000,11311000,11450000,8770000,37888000,13083000,14424000,11707000,14980000,28823000,50539000,62330000,63247000,65394000,77303000,76299000,89165000,92840000,87348000
75,Deferred Income Tax,- -,- -,-500000,-7148000,2235000,-1893000,1650000,5087000,1190000,-1661000,-7421000,- -,672000,-2410000,-6424000,6183000,1422000,-25479000,-9674000,12153000,13572000,-1058000,9921000,-3015000,-2993000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7956000,7389000,7579000,2868000,3845000,5525000,7544000,17232000,18099000,24151000,39304000,29396000,27989000,19086000
77,Change in Working Capital,- -,-3886000,35420000,31809000,-11904000,-9482000,12475000,7115000,-29843000,20799000,4403000,1033000,-36071000,-16169000,-13522000,-39015000,-21306000,-48481000,168007000,36616000,-136319000,-56503000,170612000,-7578000,-99759000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6983000,-11158000,9908000,-1915000,4560000,-8972000,17908000,-19147000,5459000,-12507000,-3527000,-41486000,70037000,-120629000
79,Inventory,- -,-2332000,-1800000,-987000,-2484000,-818000,-185000,-255000,-1749000,-2625000,-2704000,-2920000,785000,-2353000,429000,-112000,-1103000,-1861000,-1432000,-364000,-1801000,579000,-499000,-1287000,1160000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3617000,2948000,-2841000,-2544000,2507000,-6668000,4424000,9834000,-6585000,8112000,26750000,-31954000,5088000,22719000
81,Other Working Capital,- -,219757000,255177000,286986000,275082000,265600000,278075000,285190000,255347000,276146000,-1833000,222729000,186658000,170489000,156967000,117952000,96646000,48165000,216172000,252788000,116469000,59966000,230578000,223000000,11718000
82,Other Non-Cash Items,- -,- -,-12420000,-18503000,-35832000,14834000,16931000,-9791000,-5454000,-7691000,11156000,-31245000,79690000,-14355000,40452000,31783000,-15191000,88845000,-213402000,-109482000,85241000,29089000,-254463000,77867000,-5494000
83,Cash Provided by Operating Activities,- -,6256000,57600000,67610000,-22741000,57535000,21138000,61914000,16490000,67264000,98163000,36243000,116407000,39804000,63186000,63051000,23753000,54687000,49554000,56621000,96588000,186719000,121692000,319874000,178596000
84,CAPEX,- -,-1294000,-14600000,-15068000,-52093000,-19280000,-10593000,-25388000,-5060000,-9376000,-18153000,-26296000,-5525000,-12314000,-27956000,-33890000,-55930000,-11901000,-20010000,-29904000,-24710000,-32275000,-69086000,-27662000,-39231000
85,Acquisitions Net,- -,- -,- -,- -,-4155000,-4900000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2204000,-1210000,-2250000,-2316000,-1330000,-1400000,-600000,-1500000
86,Purchases of Investments,- -,- -,- -,- -,-87794000,-13070000,- -,-83963000,-61471000,-53765000,-211366000,-119495000,-54593000,-96751000,-47904000,-24177000,-39271000,-35440000,-21624000,- -,-142373000,-94910000,-125648000,-154493000,-375972000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,65416000,- -,82553000,148908000,242888000,167796000,53687000,64553000,45148000,45191000,44318000,42237000,24125000,8065000,35660000,61428000,157487000,194031000,222060000
88,Other Investing Activites,- -,- -,- -,- -,11305000,12914000,- -,-1641000,-195000,-881000,-363000,-265000,- -,4130000,- -,- -,39000,6104000,- -,- -,- -,1000000,2838000,600000,5829000
89,Cash Used for Investing Activites,- -,-1294000,-14600000,-15068000,-132737000,-24336000,51823000,-110992000,15827000,84886000,13006000,21740000,-6431000,-40382000,-30712000,-12876000,-50844000,-1204000,-18719000,-24089000,-133739000,-66087000,-35809000,11876000,-188814000
