,https://roic.ai/company/PDCO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,500000,-7200000,-25400000,-34900000,-20900000,-15100000,3800000,-46400000,-60700000,-52483000,-76295000,-35604000,-137747000,-66285000,32556000,-22029000,-61620000,-8847000,-207901000,-177466000,-109641000,42067000,-38258000,-21915000,-140942000,-19870000,-59735000,-29518000,6687000,555304000,33493000
83,Cash Provided by Operating Activities,6000000,6700000,8800000,3300000,21400000,41000000,26600000,39000000,51600000,67881000,80059000,90495000,86743000,197741000,207305000,163958000,243505000,265379000,124005000,265485000,262612000,321158000,299195000,195836000,262691000,156329000,162719000,178895000,48158000,-243544000,-730519000
84,CAPEX,-1400000,-1800000,-6300000,-9000000,-6200000,-6900000,-66100000,-6000000,-8400000,-15373000,-10014000,-11138000,-11356000,-19624000,-31533000,-149153000,-19507000,-35991000,-32318000,-29804000,-36822000,-29650000,-21983000,-40387000,-62945000,-79354000,-47019000,-43263000,-60734000,-41809000,-25788000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12569000,-3797000,-109253000,-6493000,-606382000,-72855000,-39228000,-12665000,-22694000,-124776000,-53672000,-52187000,-22620000,-14650000,-145815000,-10515000,-1106583000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4720000,-19764000,-767000,- -,- -,-22141000,-21680000,- -,- -,- -,- -,- -,- -,- -,-99672000,-543000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2985000,14248000,16777000,35062000,- -,- -,- -,- -,- -,- -,- -,6546000,46369000,48744000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-8400000,- -,-2400000,- -,300000,2200000,- -,- -,- -,- -,- -,- -,- -,9163000,- -,- -,- -,- -,- -,6595000,-4436000,18035000,736559000,48212000,60250000,401461000,540944000,836451000
89,Cash Used for Investing Activites,-1400000,-1800000,-6300000,-17400000,-6200000,-9300000,-66100000,-5700000,-6200000,-32662000,-33575000,-121158000,-14864000,-611758000,-109752000,-174999000,-23009000,-58685000,-157094000,-83476000,-89009000,-52270000,-30038000,-283764000,-9599000,-400634000,1193000,16987000,340727000,499135000,810663000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130034000,-22000000,- -,- -,-125000000,-135000000,-380000000,-682375000,-26238000,-207754000,-265542000,-460840000,- -
91,Common Stock Issued,- -,- -,30100000,- -,- -,1000000,1900000,2700000,3700000,3135000,3668000,4360000,9057000,14296000,20223000,20354000,19205000,13107000,12244000,12184000,11940000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-300000,- -,- -,- -,- -,- -,- -,-3754000,-3583000,-8308000,-13131000,- -,- -,- -,- -,-636093000,- -,- -,-97153000,-362379000,-179525000,-96486000,-47539000,-200000000,-125384000,-87500000,- -,- -,- -
93,Dividends Paid,-1500000,- -,-900000,-900000,-900000,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11886000,-49992000,-54741000,-43767000,-85657000,-81760000,-90597000,-95910000,-99199000,-99468000,-100442000,-75183000
