,https://roic.ai/company/CIX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,1.67,1.37,1.55,1.37,0.47,0.04,0.08,-0.20,0.03,0.76,0.61,-0.25,-0.16,0.25,0.62,2.82,0.49,0.70,0.73,0.84,1.06,1.23,1.29,0.83,1.34
27,Weighted Average Shares Outstanding,10000000,15052000,16146000,16115000,15144000,15110000,15121000,15148000,15212000,15244000,14764000,12386000,12400000,12373000,12382000,12390000,12395000,12400000,12400000,12400000,12400000,12400000,12400000,12409639,12411000
28,Weighted Average Shares Outstanding Diluted,10000000,15084000,16149000,16147000,15150000,15118000,15121000,15166000,15231000,15257000,14772000,12386000,12400000,12373000,12382000,12390000,12395000,12400000,12400000,12400000,12400000,12400000,12400000,12409639,12411000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1049606/000104960602000001/0001049606-02-000001-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960603000004/0001049606-03-000004-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960604000011/0001049606-04-000011-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960605000005/0001049606-05-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1049606/000005560408000014/cix10k12312007.htm,https://www.sec.gov/Archives/edgar/data/1049606/000005560409000006/0000055604-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960610000002/0001049606-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960611000004/cix_10k12312010.htm,https://www.sec.gov/Archives/edgar/data/1049606/000119312512094848/0001193125-12-094848-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000119312513094118/0001193125-13-094118-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459014000572/cix-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1049606/000156459015001351/cix-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1049606/000156459016013997/0001564590-16-013997-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459017003113/0001564590-17-003113-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459018003809/0001564590-18-003809-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459019004906/0001564590-19-004906-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459020006804/0001564590-20-006804-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459021010577/0001564590-21-010577-index.htm,https://www.sec.gov/Archives/edgar/data/1049606/000155837022002671/0001558370-22-002671-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19200000,47400000,12200000,9820000,33309000,12407000,21726000,16803000,30592000,29688000,18399000,14411000,20788000,13919000,10081000,63777000,38753000,45570000,52347000,33153000,29655000,45414000,63255000,70637000,76579000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19200000,47400000,12200000,9820000,33309000,12407000,21726000,16803000,30592000,29688000,18399000,14411000,20788000,13919000,10081000,63777000,38753000,45570000,52347000,33153000,29655000,45414000,63255000,70637000,76579000
34,Net Receivables,14600000,19600000,29100000,31138000,23773000,23276000,26043000,19847000,21630000,21593000,22044000,19335000,15021000,14658000,14246000,8480000,8534000,8747000,8760000,10347000,10446000,12140000,11870000,10731000,15546000
35,Inventory,11100000,17000000,27700000,36246000,30902000,28876000,26317000,20782000,22538000,21733000,24277000,22661000,16266000,18424000,19578000,11223000,13235000,16863000,15098000,14974000,15382000,17102000,18348000,18337000,25642000
36,Other Current Assets,500000,2500000,3500000,5782000,6878000,6783000,6136000,20251000,6011000,3180000,3447000,3141000,3060000,18359000,3520000,7115000,3089000,3000000,704000,701000,879000,1629000,1624000,1541000,2464000
37,Total Current Assets,45400000,86500000,72500000,82986000,94862000,71342000,80222000,77683000,80771000,76194000,68167000,59548000,55135000,65360000,47425000,90595000,63611000,74180000,76909000,59175000,56362000,76285000,95097000,101246000,120231000
38,PP&E,18200000,40300000,83200000,94959000,85036000,85179000,83189000,66122000,67989000,69688000,72151000,67429000,63636000,59903000,51127000,33727000,33752000,33014000,33551000,33073000,32065000,31812000,31015000,28950000,29182000
39,Goodwill,- -,- -,- -,- -,38882000,40729000,43325000,29012000,- -,40759000,40784000,30827000,30949000,31452000,34186000,23742000,23742000,23742000,23742000,23742000,23742000,23742000,23742000,23742000,23742000
40,Intangible Assets,- -,25200000,44500000,44859000,2440000,2183000,1945000,1703000,37995000,3174000,2569000,1991000,1408000,840000,2045000,154000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,25200000,44500000,44859000,41322000,42912000,45270000,30715000,37995000,43933000,43353000,32818000,32357000,32292000,36231000,23896000,23742000,23742000,23742000,23742000,23742000,23742000,23742000,23742000,23742000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,3132000,- -,351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,400000,2700000,2681000,1656000,659000,422000,11159000,1797000,2211000,4044000,3607000,119000,2517000,6743000,1965000,573000,599000,590000,27990000,38790000,34590000,28690000,30107000,19297000
45,Total Non-Current Assets,18400000,65900000,130400000,142499000,131146000,128750000,129232000,107996000,107781000,115832000,119548000,103854000,98912000,94712000,94101000,59588000,58067000,57355000,57883000,84805000,94597000,90144000,83447000,82799000,72221000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63800000,152400000,202900000,225485000,226008000,200092000,209454000,185679000,188552000,192026000,187715000,163402000,154047000,160072000,141526000,150183000,121678000,131535000,134792000,143980000,150959000,166429000,178544000,184045000,192452000
48,Accounts Payable,11400000,17200000,25400000,26487000,23168000,21318000,24019000,17704000,19238000,6151000,7139000,14256000,14567000,16182000,6203000,2797000,1452000,3850000,2671000,2614000,2272000,3235000,2514000,2632000,3408000
49,Short-Term Debt,50100000,600000,1400000,1638000,56000,6000,- -,- -,- -,- -,250000,1000000,- -,1000000,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1187000,15000,1994000,1921000,12642000,717000,699000,723000,1741000,759000,1493000,1334000,1253000,2113000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2900000,2500000,- -,751000,1306000,827000,505000,7685000,1098000,11663000,11524000,1715000,15000,2870000,11557000,20664000,8598000,9379000,9417000,10709000,8990000,10434000,10548000,10518000,13038000
53,Total Current Liabilities,64400000,20300000,26800000,28876000,24530000,22151000,24524000,25389000,20336000,17814000,18913000,16971000,14582000,20052000,18760000,24461000,10050000,13229000,12088000,13323000,11262000,13669000,13062000,13150000,16446000
54,Long-Term Debt,300000,1100000,20900000,39000000,49000000,31000000,26000000,85000,1425000,- -,49730000,41980000,42230000,44230000,23185000,17480000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,1000000,3200000,4852000,7573000,4469000,- -,4949000,16692000,20522000,14969000,13174000,11897000,11895000,14166000,6182000,6900000,7320000,5001000,4887000,3112000,3198000,3287000,3239000,2918000
57,Other Non-Current Liabilities,200000,- -,2500000,1794000,1881000,493000,4571000,- -,- -,- -,- -,- -,311000,- -,705000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,600000,2100000,26600000,45646000,58454000,35962000,30571000,5034000,18117000,20522000,64699000,55154000,54438000,56125000,38056000,23662000,6900000,7320000,5001000,4887000,3112000,3198000,3287000,3239000,2918000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,65000000,22400000,53400000,74522000,82984000,58113000,55095000,30423000,38453000,38336000,83612000,72125000,69020000,76177000,56816000,48123000,16950000,20549000,17089000,18210000,14374000,16867000,16349000,16389000,19364000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,162000,162000,162000,162000,152000,152000,153000,125000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000
64,Retained Earnings,-4600000,14300000,37400000,51395000,50966000,44049000,43433000,38523000,31320000,35353000,37080000,27798000,19621000,16486000,17967000,46733000,49339000,55520000,62157000,70131000,80849000,93687000,106202000,111545000,118184000
65,Other Comprehensive Income/Loss,-15500000,-17400000,-25200000,-33394000,-42815000,-10304000,2642000,-71808000,9071000,8078000,11074000,8482000,10354000,12303000,11494000,- -,-52086000,-55564000,-57714000,-61071000,-63586000,-63639000,-65692000,- -,- -
66,Other Total Stockholders Equity,18900000,133100000,137100000,132800000,134711000,108072000,108122000,188389000,109556000,110106000,55824000,54873000,54928000,54982000,55125000,55203000,107351000,110906000,113136000,116586000,119198000,119390000,121561000,55987000,- -
67,Total Stockholders Equity,-1200000,130000000,149500000,150963000,143024000,141979000,154359000,155256000,150099000,153690000,104103000,91277000,85027000,83895000,84710000,102060000,104728000,110986000,117703000,125770000,136585000,149562000,162195000,167656000,173088000
68,Total Liabilities And Stockholders Equity,63800000,152400000,202900000,225485000,226008000,200092000,209454000,185679000,188552000,192026000,187715000,163402000,154047000,160072000,141526000,150183000,121678000,131535000,134792000,143980000,150959000,166429000,178544000,184045000,192452000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,63800000,152400000,202900000,225485000,226008000,200092000,209454000,185679000,188552000,192026000,187715000,163402000,154047000,160072000,141526000,150183000,121678000,131535000,134792000,143980000,150959000,166429000,178544000,184045000,192452000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1049606/000104960602000001/0001049606-02-000001-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960603000004/0001049606-03-000004-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960604000011/0001049606-04-000011-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960605000005/0001049606-05-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1049606/000005560408000014/cix10k12312007.htm,https://www.sec.gov/Archives/edgar/data/1049606/000005560409000006/0000055604-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960610000002/0001049606-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960611000004/cix_10k12312010.htm,https://www.sec.gov/Archives/edgar/data/1049606/000119312512094848/0001193125-12-094848-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000119312513094118/0001193125-13-094118-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459014000572/cix-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1049606/000156459015001351/cix-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1049606/000156459016013997/0001564590-16-013997-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459017003113/0001564590-17-003113-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459018003809/0001564590-18-003809-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459019004906/0001564590-19-004906-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459020006804/0001564590-20-006804-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459021010577/0001564590-21-010577-index.htm,https://www.sec.gov/Archives/edgar/data/1049606/000155837022002671/0001558370-22-002671-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,16700000,20700000,25100000,22056000,7124000,638000,1273000,-3014000,405000,11656000,8980000,-3101000,-1993000,3052000,7673000,34961000,6015000,8661000,9118000,10457000,13203000,15325000,15998000,10323000,16568000
74,Depreciation and Amortization,2800000,4500000,9400000,12416000,14769000,13004000,14780000,14200000,10924000,11797000,11010000,9231000,8209000,7676000,6778000,5772000,3270000,3533000,3536000,3698000,3673000,3454000,3684000,3827000,3839000
75,Deferred Income Tax,-700000,-800000,1400000,2310000,1355000,-750000,-444000,-394000,9933000,1536000,-6549000,-45000,-2093000,-756000,1981000,-7713000,916000,468000,125000,-114000,-1775000,86000,89000,-48000,-321000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,3400000,85200000,-20500000,8410000,16222000,-21141000,6507000,-3404000,8141000,-2055000,-9126000,-6677000,-2024000,4755000,-16643000,37469000,-12573000,7390000,3870000,-18969000,-752000,17516000,-1764000,1054000,-9881000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,910000,5303000,-149000,-321000,-640000,-12000,-251000,-46000,-1596000,-115000,-1709000,250000,1118000,-4806000
79,Inventory,-200000,-400000,-2000000,-7421000,4075000,3052000,5103000,-1300000,-936000,2258000,-1813000,389000,5878000,-2482000,-439000,174000,-2240000,-3652000,1532000,-37000,-473000,-1846000,-1439000,-193000,-7479000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000,-1245000,3119000,- -,- -,- -,1771000,- -,- -,2547000
81,Other Working Capital,-19000000,66200000,45700000,54110000,70332000,49191000,55698000,52294000,60435000,58380000,49254000,42577000,40553000,45308000,28665000,66134000,53561000,60951000,64821000,45852000,45100000,62616000,-176000,34000,854000
82,Other Non-Cash Items,800000,-85300000,13000000,-16762000,-11807000,25187000,2329000,22825000,-9365000,4511000,7577000,16309000,13167000,-1708000,16183000,-56666000,-1758000,-7882000,-3173000,18792000,-1766000,-19218000,458000,346000,269000
83,Cash Provided by Operating Activities,23000000,24300000,28400000,28430000,27663000,16938000,24445000,30213000,20038000,27445000,11892000,15717000,15266000,13019000,15972000,13823000,-4130000,12170000,13476000,13864000,12583000,17163000,18465000,15502000,10474000
84,CAPEX,-5500000,-54600000,-84700000,-32474000,-13283000,-12703000,-8908000,-5348000,-10490000,-12044000,-13820000,-6791000,-2321000,-2120000,-3195000,-4477000,-3501000,-2825000,-4218000,-3175000,-2796000,-3117000,-3166000,-1740000,-4094000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-7342000,-9832000,- -,- -,- -,- -,-4752000,-5426000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000,- -,- -,3555000,3034000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,900000,100000,111000,10605000,32000,671000,2138000,14115000,2622000,1379000,-5108000,-2321000,-2120000,11989000,-4429000,-2039000,-2873000,-4218000,-30575000,-13596000,1083000,2859000,-3140000,6708000
89,Cash Used for Investing Activites,-5500000,-53700000,-84600000,-32363000,-2678000,-12671000,-8237000,-3210000,-3717000,-19254000,-12441000,-5108000,-2060000,-17120000,7237000,-6300000,995000,-2873000,-4218000,-30575000,-13596000,1083000,2859000,-3140000,6708000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-750000,-2000000,-25898000,-5756000,-18480000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,110400000,- -,1027000,- -,120000,- -,617000,639000,347000,1395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-8665000,-2650000,- -,- -,- -,- -,- -,-3309000,-1006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1311000
93,Dividends Paid,-6100000,-1800000,-2000000,-8076000,-7553000,-7555000,-1889000,-1896000,-7608000,-7623000,-7294000,-6181000,-6184000,-6187000,-6192000,-6195000,-3409000,-2480000,-2481000,-2483000,-2485000,-2487000,-3483000,-4980000,-9929000
94,Other Financing Activites,200000,-49900000,19000000,17833000,8408000,-18050000,-5432000,-25868000,-189000,-1562000,-2527000,-56000,-133000,4972000,5356000,-79000,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-5900000,58700000,17000000,2119000,-1795000,-25485000,-7321000,-27147000,-7158000,-8838000,-11735000,-14243000,-7067000,-3215000,-26734000,-12030000,-21889000,-2480000,-2481000,-2483000,-2485000,-2487000,-3483000,-4980000,-11240000
96,Effect of Forex Changes on Cash,-900000,-1000000,-800000,-535000,299000,316000,432000,-545000,392000,-257000,995000,-354000,238000,447000,-313000,176000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-40000000,-2349000,23489000,-20902000,9319000,-689000,9555000,-904000,-11289000,-3988000,6377000,-6869000,-3838000,53696000,-25024000,6817000,6777000,-19194000,-3498000,15759000,17841000,7382000,5942000
98,Cash at the End of Period,- -,- -,12200000,9820000,33309000,12407000,21726000,21037000,30592000,29688000,18399000,14411000,20788000,13919000,10081000,63777000,38753000,45570000,52347000,33153000,29655000,45414000,63255000,70637000,76579000
99,Cash at the Beginning of Period,8600000,19200000,52200000,12169000,9820000,33309000,12407000,21726000,21037000,30592000,29688000,18399000,14411000,20788000,13919000,10081000,63777000,38753000,45570000,52347000,33153000,29655000,45414000,63255000,70637000
100,Free Cash Flow,17500000,-30300000,-56300000,-4044000,14380000,4235000,15537000,24865000,9548000,15401000,-1928000,8926000,12945000,10899000,12777000,9346000,-7631000,9345000,9258000,10689000,9787000,14046000,15299000,13762000,6380000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1049606/000104960602000001/0001049606-02-000001-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960603000004/0001049606-03-000004-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960604000011/0001049606-04-000011-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960605000005/0001049606-05-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1049606/000005560408000014/cix10k12312007.htm,https://www.sec.gov/Archives/edgar/data/1049606/000005560409000006/0000055604-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960610000002/0001049606-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000104960611000004/cix_10k12312010.htm,https://www.sec.gov/Archives/edgar/data/1049606/000119312512094848/0001193125-12-094848-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000119312513094118/0001193125-13-094118-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459014000572/cix-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1049606/000156459015001351/cix-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1049606/000156459016013997/0001564590-16-013997-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459017003113/0001564590-17-003113-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459018003809/0001564590-18-003809-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459019004906/0001564590-19-004906-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459020006804/0001564590-20-006804-index.html,https://www.sec.gov/Archives/edgar/data/1049606/000156459021010577/0001564590-21-010577-index.htm,https://www.sec.gov/Archives/edgar/data/1049606/000155837022002671/0001558370-22-002671-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
