,https://roic.ai/company/MGM,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,75900000,110000000,61400000,34600000,82000000,121500000,227968000,208971000,211234000,178047000,435128000,377933000,452944000,412390000,295644000,2056207000,498964000,1865913000,1543509000,1803669000,1713715000,1670312000,1446581000,1499995000,1526762000,2329604000,5101637000,4703059000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,75900000,110000000,61400000,34600000,82000000,121500000,227968000,208971000,211234000,178047000,435128000,377933000,452944000,412390000,295644000,2056207000,498964000,1865913000,1543509000,1803669000,2283715000,1670312000,1446581000,1499995000,1526762000,2329604000,5101637000,4703059000
34,Net Receivables,- -,- -,- -,- -,- -,- -,96100000,78600000,80500000,79000000,69100000,83100000,236650000,156451000,139935000,149376000,204151000,352673000,381540000,412345000,368101000,753029000,497876000,491730000,443677000,488217000,488020000,496552000,542924000,583096000,685637000,1374884000,559917000,857777000
35,Inventory,- -,- -,- -,- -,- -,- -,17200000,11000000,13500000,16500000,11100000,15200000,86279000,78037000,83582000,65189000,70333000,111825000,118459000,126116000,111505000,101809000,96392000,112735000,107577000,107907000,104011000,104200000,97733000,102292000,110831000,102888000,88323000,96374000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,14300000,13100000,71300000,40700000,45900000,50100000,244747000,218468000,170659000,365009000,110590000,176152000,561808000,224535000,757780000,142456000,362413000,342342000,412329000,319646000,151414000,137685000,142349000,189244000,203548000,200317000,200782000,758972000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,203500000,212700000,226700000,170800000,208100000,269900000,795644000,661927000,605410000,757621000,820202000,1018583000,1514751000,1175386000,1533030000,3053501000,1455645000,2812720000,2507092000,2719439000,3027160000,2408749000,2229587000,2374627000,2526778000,4007693000,5950659000,6416182000
38,PP&E,- -,- -,- -,- -,- -,- -,880000000,903900000,884800000,1032700000,1327700000,2390500000,9064233000,8891645000,8762445000,8681339000,8914142000,16541651000,17430293000,16823704000,16289154000,15069952000,14554350000,14866644000,14194652000,14055212000,14441542000,15371795000,18425023000,19635459000,20729888000,22678436000,22918785000,25928298000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300747000,1262922000,86353000,86353000,86353000,2896609000,2902847000,2897442000,2897110000,1430767000,1817119000,1806531000,1821392000,2084564000,2091278000,3480997000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1100000,40700000,39600000,38600000,37600000,36600000,54281000,103059000,256108000,267668000,233335000,1692040000,367200000,359770000,4642865000,344253000,342804000,5048117000,4737833000,4511861000,4364856000,4164781000,4087706000,3877960000,3944463000,3826504000,3643748000,3616385000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1100000,40700000,39600000,38600000,37600000,36600000,54281000,103059000,256108000,267668000,233335000,1692040000,1667947000,1622692000,4729218000,430606000,429157000,7944726000,7640680000,7409303000,7261966000,5595548000,5904825000,5684491000,5765855000,5911068000,5735026000,7097382000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3611799000,1923155000,1635572000,1444547000,1374836000,1559034000,1491497000,1220443000,1034161000,732867000,822366000,1447043000,967044000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,56200000,124900000,136600000,156300000,200400000,63700000,820443000,840812000,881022000,1003082000,1147350000,1447146000,1533247000,3105904000,723314000,352352000,598738000,506614000,497767000,551395000,412809000,347589000,393423000,430440000,455318000,456793000,443421000,490210000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,937300000,1069500000,1061000000,1227600000,1565700000,2490800000,9938957000,9835516000,9899575000,9952089000,10294827000,19680837000,20631487000,21552300000,21741686000,19464709000,17505400000,24953556000,23777646000,23390746000,23675351000,22806429000,25943714000,26784551000,27683928000,29868663000,30544275000,34482934000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,1140800000,1282200000,1287700000,1398400000,1773800000,2760700000,10734601000,10497443000,10504985000,10709710000,11115029000,20699420000,22146238000,22727686000,23274716000,22518210000,18961045000,27766276000,26284738000,26110185000,26702511000,25215178000,28173301000,29159178000,30210706000,33876356000,36494934000,40899116000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,25200000,20700000,33000000,53900000,23900000,38000000,65317000,75787000,69959000,85439000,198050000,265601000,416640000,219556000,142693000,155796000,167084000,170994000,199620000,241192000,164252000,182031000,250477000,255028000,302578000,235437000,142523000,263097000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2100000,2200000,15700000,16700000,15200000,13000000,525407000,168079000,6956000,9008000,14000,14000,- -,- -,1047614000,1079824000,- -,- -,- -,- -,1245320000,328442000,8375000,158042000,43411000,95448000,112036000,1119371000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218027000,109100000,195973000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233615000,229684000,225624000,232408000,350319000,454350000,563944000,367152000,256193000,489432000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,84100000,96500000,142100000,110900000,150300000,239100000,642481000,644044000,673153000,670612000,729913000,1268953000,1231460000,1505131000,1812269000,1147981000,1079137000,1573770000,1492436000,1744452000,1772729000,1495070000,1684250000,2224962000,2038949000,2493386000,1345831000,1570364000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,111400000,119400000,190800000,181500000,189400000,290100000,1233205000,887910000,750068000,765059000,927977000,1534568000,1648100000,1724687000,3002576000,2383601000,1246221000,1744764000,1925671000,2215328000,3407925000,2237951000,2293421000,3092382000,2948882000,3191423000,1856583000,3442264000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,485600000,561500000,78300000,51700000,537600000,1323900000,5355412000,5295313000,5213778000,5521890000,5458848000,12355433000,12994869000,11175229000,12416552000,12976037000,12047698000,13470167000,13589283000,13447230000,12913882000,12368311000,12979220000,12751052000,15088005000,15446874000,20766801000,23573261000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,5900000,8100000,38500000,58800000,77200000,108700000,1730158000,1746272000,1769431000,1765426000,1802008000,3378371000,3441157000,3416660000,3441198000,3031303000,2469333000,2502096000,2473889000,2430414000,2621860000,2680576000,2551228000,1304835000,1342538000,2106506000,2153016000,2439364000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,8500000,8700000,6700000,4800000,5200000,4200000,33381000,57248000,107564000,123547000,154492000,195976000,212563000,350407000,440029000,256837000,199248000,167027000,179879000,141590000,130570000,163913000,380120000,364194000,361490000,468634000,538626000,467461000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,500000000,578300000,123500000,115300000,620000000,1436800000,7118951000,7098833000,7090773000,7410863000,7415348000,15929780000,16648589000,14942296000,16297779000,16264177000,14716279000,16139290000,16243051000,16019234000,15666312000,15212800000,15910568000,14420081000,16792033000,18022014000,23458443000,26480086000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256837000,199248000,167027000,- -,- -,- -,- -,- -,- -,- -,4373418000,8502153000,11921835000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,611400000,697700000,314300000,296800000,809400000,1726900000,8352156000,7986743000,7840841000,8175922000,8343325000,17464348000,18296689000,16666983000,19300355000,18647778000,15962500000,17884054000,18168722000,18234562000,19074237000,17450751000,18203989000,17512463000,19740915000,21213437000,25315026000,29922350000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1632000,1637000,1664000,1683000,1736000,3573000,3629000,3684000,3693000,4412000,4885000,4888000,4892000,4904000,4913000,5648000,5741000,5663000,5275000,5031000,4943000,4538000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-77100000,-30500000,13200000,124200000,193200000,267200000,427956000,597771000,890206000,1133903000,1546235000,1987725000,2635989000,4220408000,3365122000,370532000,-1066865000,1981389000,213698000,57092000,-107909000,-555629000,545811000,2252890000,2423479000,4201337000,3091007000,4340588000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-45500000,-93100000,-142000000,-189600000,-255900000,-398200000,-644399000,-1001730000,-1391361000,-1646062000,-1938016000,-1000000,-2795233000,1000000,-57000000,-2000000,-4831430000,6000000,14000000,13000000,13000000,14000000,15000000,-4000000,-9000000,-10202000,-30677000,-24616000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,652000000,708100000,1102200000,1167000000,1027100000,1163400000,2597256000,2913022000,3163635000,3044264000,3161749000,1244774000,4005164000,1835611000,662546000,3497488000,8891955000,4094301000,4132958000,4156183000,4180913000,5655908000,5653628000,5358099000,4092529000,3531099000,3439453000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,529400000,584500000,973400000,1101600000,964400000,1033800000,2382445000,2510700000,2664144000,2533788000,2771704000,3235072000,3849549000,6060703000,3974361000,3870432000,2998545000,6086578000,4365548000,4231179000,4090917000,5119927000,6220180000,7612652000,6512283000,7727265000,6504726000,6070645000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,1140800000,1282200000,1287700000,1398400000,1773800000,2760700000,10734601000,10497443000,10504985000,10709710000,11115029000,20699420000,22146238000,22727686000,23274716000,22518210000,18961045000,23970632000,22534270000,22465741000,23165154000,22570678000,24424169000,25125115000,26253198000,28940702000,31819752000,35992995000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3795644000,3750468000,3644444000,3537357000,2644500000,3749132000,4034063000,3957508000,4935654000,4675182000,4906121000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,1140800000,1282200000,1287700000,1398400000,1773800000,2760700000,10734601000,10497443000,10504985000,10709710000,11115029000,20699420000,22146238000,22727686000,23274716000,22518210000,18961045000,27766276000,26284738000,26110185000,26702511000,25215178000,28173301000,29159178000,30210706000,33876356000,36494934000,40899116000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/789570/000089843095000343/0000898430-95-000343-index.html,https://www.sec.gov/Archives/edgar/data/789570/000089843096001054/0000898430-96-001054-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789570/000091205702011658/a2073904z10-k405.htm,https://www.sec.gov/Archives/edgar/data/789570/000104746903010320/a2106169z10-k.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015304000362/p68776e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015305000488/p70273e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015306000642/p71958e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015307000441/p73509e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015308000421/p75046e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015309000211/0000950153-09-000211-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012310018374/0000950123-10-018374-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012311019786/p18354e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000104746912001824/0001047469-12-001824-index.html,https://www.sec.gov/Archives/edgar/data/789570/000104746913001980/0001047469-13-001980-index.html,https://www.sec.gov/Archives/edgar/data/789570/000119312514078072/d656757d10k.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459015001180/mgm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/0001564590-16-013639-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/0001564590-17-003007-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/0001564590-18-003942-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/0001564590-19-004807-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/0001564590-20-007393-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/0001564590-21-009205-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/0000789570-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,25600000,-23600000,-12200000,-20100000,-117600000,74500000,46600000,43700000,111100000,68900000,86000000,160744000,169815000,292435000,243697000,412332000,443256000,648264000,1584419000,-855286000,-1291682000,-1437397000,3114637000,-1767691000,-156606000,-149873000,-447720000,1101440000,1960286000,466772000,2214380000,-1319907000,1208389000
74,Depreciation and Amortization,- -,11700000,15800000,15600000,11600000,11300000,48300000,58700000,64500000,65400000,78500000,128800000,324438000,421231000,427150000,448763000,434256000,593893000,650823000,704632000,788856000,689273000,633423000,817146000,927697000,849225000,815765000,819883000,849527000,993480000,1178044000,1304649000,1210556000,1150610000
75,Deferred Income Tax,- -,2600000,-2600000,- -,- -,- -,- -,-2000000,-27700000,48100000,14500000,27500000,35595000,65619000,90852000,28362000,55647000,51759000,59764000,32813000,79516000,-344690000,-634082000,-394437000,-117203000,58917000,331833000,-3615000,-80628000,-1264674000,46720000,595046000,18347000,241947000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36571000,34988000,39707000,39560000,32332000,37264000,42872000,55487000,62494000,70177000,88838000,106956000,65183000
77,Change in Working Capital,- -,-14600000,- -,- -,- -,- -,92100000,1200000,-57400000,-46600000,29400000,-38900000,-417361000,211578000,81325000,137220000,-100337000,-408210000,382636000,-415952000,-920245000,2139446000,-460476000,858532000,-486535000,-77310000,-884876000,551563000,-234632000,-653921000,295651000,-245660000,-624463000,142499000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121088000,-17376000,-155043000,1260000,-59842000,-32435000,-62720000,-33208000,-18438000,-149554000,-726610000,960099000,-236182000
79,Inventory,- -,100000,-300000,100000,600000,-12500000,-4600000,-3800000,-3300000,-4000000,4300000,-4100000,4293000,7464000,-5685000,-2205000,-8557000,-7017000,-10431000,-8511000,12366000,6571000,5418000,-8039000,5183000,-336000,3167000,-2649000,10806000,-4656000,-7860000,6522000,14705000,3107000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163270000,116623000,-288955000,-139069000,272828000,419525000,21508000,- -,- -,- -
