,https://roic.ai/company/MUR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,264900000,284600000,205800000,212800000,219300000,213500000,149600000,182200000,188300000,218200000,236600000,182400000,219900000,213200000,215400000,227615000,255496000,324656000,355685000,337861000,419694000,406529000,545159000,852348000,1028371000,1164782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,987239000,795105000
15,EBITDA,561500000,25200000,173100000,273800000,346900000,427400000,175600000,294400000,337200000,375100000,102600000,410700000,431600000,204900000,393900000,684216000,761404000,490329000,767859000,1347717000,1800302000,1434954000,1782391000,3670899000,2484267000,2613741000,1723453000,1644744000,1779923000,1248727000,-3179948000,-346972000,252732000,617803000,1406210000,-268553000,954123000
16,EBITDA ratio,0.2589,0.0192,0.1174,0.1858,0.2099,0.2124,0.1097,0.1805,0.2060,0.2158,0.0600,0.2045,0.2024,0.1209,0.1934,0.1483,0.1700,0.1231,0.1437,0.1612,0.1516,0.1003,0.0967,0.1334,0.1307,0.1120,0.0622,0.0575,0.3350,0.2361,-1.1409,-0.1917,0.1205,0.2388,0.4992,-0.1533,0.3406
17,Operating Income,315700000,-5800000,1600000,32700000,135500000,136200000,-31200000,30100000,101400000,129100000,77200000,205600000,206700000,-2200000,194400000,456847000,524914000,178643000,460358000,839000000,1380824000,1037957000,1262296000,2862528000,1327398000,1499399000,1591683000,1889187000,1488771000,1364416000,-491266000,-217679000,321573000,629717000,445293000,-1362309000,281435000
18,Operating Income ratio,0.1456,-0.0044,0.0011,0.0222,0.0820,0.0677,-0.0195,0.0185,0.0620,0.0743,0.0451,0.1024,0.0969,-0.0013,0.0954,0.0990,0.1172,0.0448,0.0861,0.1004,0.1163,0.0725,0.0685,0.1040,0.0698,0.0642,0.0574,0.0660,0.2802,0.2580,-0.1763,-0.1203,0.1533,0.2435,0.1581,-0.7777,0.1005
19,Total Other Income Expenses (Gains),-19100000,-253600000,-34300000,28300000,-7900000,77700000,58800000,39300000,32200000,27800000,-211200000,10800000,5000000,-6100000,-15900000,8487000,-19006000,-26968000,-41191000,-34064000,-8765000,-9532000,-25064000,-43977000,-50225000,-85168000,-40700000,-266205000,-16084000,-112146000,-2790996000,-275436000,-249771000,-197379000,-241795000,-186726000,-238544000
20,Income Before Tax,296600000,-259400000,-32700000,61000000,127600000,213900000,27600000,69400000,133600000,156900000,-134000000,216400000,211700000,-8300000,178500000,465334000,505908000,151675000,419167000,804936000,1372059000,1028425000,1237232000,2818551000,1277173000,1414231000,1550983000,1622982000,1472687000,1252270000,-3282262000,-493115000,71802000,432338000,203498000,-1549035000,42891000
21,Income Before Tax Ratio,0.1368,-0.1979,-0.0222,0.0414,0.0772,0.1063,0.0172,0.0425,0.0816,0.0903,-0.0783,0.1077,0.0993,-0.0049,0.0876,0.1008,0.1130,0.0381,0.0784,0.0963,0.1155,0.0719,0.0671,0.1024,0.0672,0.0606,0.0560,0.0567,0.2772,0.2368,-1.1777,-0.2725,0.0342,0.1671,0.0722,-0.8843,0.0153
22,Income Tax expense (Gain),216900000,-64600000,10900000,22200000,81000000,112000000,37200000,6600000,46800000,50300000,-15400000,90400000,79300000,6100000,58800000,159773000,175005000,54165000,117977000,308541000,534156000,390146000,470703000,1078565000,536656000,616150000,810051000,658936000,584550000,227297000,-1026490000,-219172000,382738000,9330000,14683000,-293741000,-5862000
23,Net Income,79700000,-194800000,-43600000,38800000,46600000,101900000,-11200000,105600000,102100000,106600000,-118600000,137900000,132400000,-14400000,119700000,296828000,330903000,111508000,294197000,701315000,846452000,638279000,766529000,1739986000,837621000,798081000,872702000,970876000,1123473000,905611000,-2270833000,-275970000,-311789000,411094000,1149732000,-1148777000,-73664000
24,Net Income ratio,0.0368,-0.1486,-0.0296,0.0263,0.0282,0.0506,-0.0070,0.0647,0.0624,0.0613,-0.0693,0.0687,0.0621,-0.0085,0.0588,0.0643,0.0739,0.0280,0.0550,0.0839,0.0713,0.0446,0.0416,0.0632,0.0441,0.0342,0.0315,0.0339,0.2115,0.1712,-0.8148,-0.1525,-0.1486,0.1589,0.4081,-0.6558,-0.0263
25,EPS,0.56,-1.44,-0.32,0.28,0.34,0.75,-0.07,0.59,0.57,0.59,-0.66,0.77,0.74,-0.08,0.67,1.65,1.83,0.61,1.60,3.81,4.59,3.43,4.08,9.18,4.39,4.16,4.51,5.01,5.98,5.06,-13.03,-1.60,-1.81,2.38,7.01,-7.48,0.32
26,EPS Diluted,0.56,-1.44,-0.32,0.28,0.34,0.75,-0.07,0.59,0.57,0.59,-0.66,0.77,0.73,-0.08,0.67,1.64,1.81,0.60,1.58,3.75,4.51,3.37,4.01,9.06,4.35,4.13,4.49,4.99,5.94,5.03,-13.03,-1.60,-1.81,2.36,6.98,-7.48,0.31
27,Weighted Average Shares Outstanding,141688889,135277778,135193798,136140351,136058394,135866667,160000000,179744681,179426540,179528728,179466796,179908440,179524900,179822716,179881828,180126660,180885888,182901672,183629642,183972642,184354552,186105086,188027557,189608846,190767000,191830000,193410000,193902000,187921000,178853000,174351000,172173000,172524000,172974000,163992000,153507000,154439000
28,Weighted Average Shares Outstanding Diluted,141688889,135277778,135193798,136140351,136058394,135866667,160000000,179744681,179426540,179695431,179466796,179908440,179843628,179822716,180120900,180958824,182363996,184269934,185485532,186887022,187889378,189158411,191140737,192133672,192468000,193158000,194512000,194669000,189271000,180071000,174351000,172173000,172524000,174209000,164812000,153507000,155932000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066196000195/0000930661-96-000195-index.html,https://www.sec.gov/Archives/edgar/data/717423/000093066197000702/0000930661-97-000702-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066101000634/0000930661-01-000634-index.html,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066103001213/0000930661-03-001213-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312504039974/0001193125-04-039974-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312505052706/0001193125-05-052706-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312506054960/0001193125-06-054960-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312507044355/0001193125-07-044355-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312508043756/0001193125-08-043756-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312509040617/0001193125-09-040617-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312510042802/0001193125-10-042802-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312511049276/0001193125-11-049276-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312512084989/0001193125-12-084989-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312513082919/0001193125-13-082919-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312514077534/0001193125-14-077534-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742315000016/0000717423-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742316000064/0000717423-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742317000005/0000717423-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742318000011/0000717423-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742319000016/0000717423-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742320000008/0000717423-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742321000014/0000717423-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742322000019/0000717423-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,71100000,62300000,109700000,24300000,28300000,34100000,132701000,82652000,164957000,252425000,535525000,585333000,543390000,673707000,666110000,301144000,535825000,513873000,947316000,750155000,1193308000,283183000,872797000,964988000,387373000,306760000,310606000,521200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17892000,- -,- -,- -,420340000,779025000,616558000,532093000,115603000,374842000,461313000,173288000,111542000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,71100000,62300000,109700000,24300000,28300000,34100000,132701000,82652000,164957000,252425000,553417000,585333000,543390000,673707000,1086450000,1080169000,1152383000,1045966000,1062919000,1124997000,1654621000,456471000,984339000,964988000,387373000,306760000,310606000,521200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,244200000,234800000,319700000,272400000,233900000,357500000,469616000,262022000,408782000,450201000,702933000,865155000,995089000,1420601000,1033996000,1463297000,1467311000,1554184000,1853364000,999872000,873277000,522672000,357099000,243472000,331859000,426684000,262014000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,152400000,175800000,131400000,158400000,129800000,151600000,164755000,173148000,201344000,270510000,295845000,314955000,411077000,626647000,604173000,733982000,762213000,666638000,752310000,294195000,242733000,166788000,127071000,105127000,87911000,76123000,66076000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,51400000,47200000,49400000,62700000,45400000,49900000,49865000,80839000,79077000,65719000,77168000,73503000,157535000,165837000,122345000,98247000,168786000,180883000,439990000,1089579000,508518000,302485000,90674000,58016000,72671000,164760000,361596000,359700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,519100000,520100000,610200000,517800000,437400000,593100000,816937000,598661000,854160000,1038855000,1629363000,1838946000,2107091000,2886792000,2846964000,3375695000,3550693000,3447671000,4108583000,3508643000,3279149000,1448416000,1559183000,1371603000,879814000,974327000,1000292000,880900000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1722700000,1487200000,1556800000,1655800000,1662400000,1782700000,2184719000,2525807000,2886599000,3530800000,3685594000,4374229000,5106282000,7109822000,7727718000,9065088000,10367847000,10475149000,13011606000,13481055000,13331047000,9818365000,8316188000,8220031000,9757564000,10568036000,9196696000,8127900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44057000,51450000,37370000,40652000,42850000,41863000,43103000,40259000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48396000,50412000,51037000,64873000,43582000,44206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48396000,50412000,51037000,64873000,43582000,44206000,44057000,51450000,37370000,40652000,42850000,41863000,43103000,40259000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018767000,- -,- -,- -,- -,- -,- -,- -,211543000,359644000,129287000,395253000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,70200000,111800000,76800000,64700000,64600000,69700000,84301000,84219000,93979000,78119000,99704000,111130000,188297000,487785000,537046000,-743843000,271853000,173455000,359351000,479527000,132111000,227031000,420489000,57765000,55565000,46854000,28611000,1296100000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1792900000,1599000000,1633600000,1720500000,1727000000,1852400000,2317416000,2660438000,3031615000,3673792000,3828880000,4529565000,5338636000,7649057000,8302134000,9380664000,10682550000,10690467000,13414060000,14000841000,13463158000,10045396000,8736677000,8489339000,10172773000,10744177000,9620560000,9424000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2312000000,2119100000,2243800000,2238300000,2164400000,2445500000,3134353000,3259099000,3885775000,4712647000,5458243000,6368511000,7445727000,10535849000,11149098000,12756359000,14233243000,14138138000,17522643000,17509484000,16742307000,11493812000,10295860000,9860942000,11052587000,11718504000,10620852000,10304900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,295100000,299200000,406600000,329100000,249000000,334400000,528416000,325323000,447740000,471692000,709378000,987236000,1008597000,1662401000,1174623000,1539523000,2237920000,1941008000,2803268000,2158485000,2275830000,1529848000,784975000,595916000,596071000,602096000,407097000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,10600000,13600000,8400000,8000000,100000,37242000,48250000,57104000,67224000,50727000,4490000,7125000,12769000,2572000,38000,41000,350005000,46000,26249000,465388000,18881000,569817000,9902000,10583000,- -,103758000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40516000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,136800000,105800000,133800000,131900000,123800000,153100000,179569000,186484000,213048000,271410000,444886000,295282000,295383000,434092000,710951000,642047000,692949000,533915000,605767000,1039297000,406669000,125900000,147640000,228389000,239404000,340693000,205466000,1164300000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,439500000,415600000,554000000,469400000,380800000,487600000,745227000,560057000,717892000,810326000,1204991000,1287008000,1311105000,2109262000,1888146000,2181608000,2930910000,2824928000,3409081000,3224031000,3147887000,1674629000,1502432000,834207000,846058000,942789000,716321000,1164300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,172500000,193900000,201800000,205900000,333500000,393200000,524759000,520785000,862808000,1090307000,613355000,609574000,840275000,1516156000,1026222000,1353183000,939350000,249553000,2245201000,2936563000,2536238000,3040594000,2422750000,2906520000,3227134000,2803381000,3833155000,2465400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516540000,339028000,441048000,438576000,617490000,631627000,624436000,613407000,680580000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,140600000,105000000,127300000,136400000,124500000,154100000,229968000,302868000,327771000,421700000,577043000,614091000,581920000,916910000,878131000,- -,1212213000,1230111000,1544336000,1466100000,1193864000,239811000,69081000,159098000,129894000,207198000,180341000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,288700000,303500000,333200000,347200000,347400000,353400000,374839000,377226000,383751000,439431000,413698000,396848000,636411000,900481000,1077654000,1875542000,951220000,1055149000,865450000,948032000,849836000,793474000,767428000,709299000,1027423000,1347118000,816308000,2354400000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,601800000,602400000,662300000,689500000,805400000,900700000,1129566000,1200879000,1574330000,1951438000,1604096000,1620513000,2058606000,3333547000,2982007000,3228725000,3102783000,2534813000,5171527000,5689723000,5020986000,4512455000,3876749000,4406544000,5008887000,4971104000,5510384000,4819800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125800000,613610000,948846000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041300000,1018000000,1216300000,1158900000,1186200000,1388300000,1874793000,1760936000,2292222000,2761764000,2809087000,2907521000,3369711000,5442809000,4870153000,5410333000,6033693000,5359741000,8580608000,8913754000,8168873000,6187084000,5379181000,5240751000,5854945000,5913893000,6226705000,5984100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48800000,48775000,48775000,94613000,94613000,94613000,186829000,187692000,189973000,191249000,191798000,193294000,193909000,194616000,194920000,195040000,195056000,195056000,195056000,195077000,195089000,195101000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,820600000,643700000,550700000,622500000,545200000,602000000,833490000,1096567000,1137177000,1357910000,1981020000,2744274000,3284391000,3983998000,5557483000,6204316000,6800992000,7460942000,7717389000,8058792000,8728032000,6212201000,5729596000,5245242000,5513529000,6614304000,5369538000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2350600000,-270200000,-2573600000,-2762800000,-2985900000,-3007600000,-3144369000,-3277673000,-3361726000,-3472133000,-2933214000,131000000,132000000,352000000,-88000000,287000000,449000000,310000000,409000000,172000000,-170000000,-705000000,-628000000,-462000000,-610000000,-574000000,-601333000,-527711
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800700000,727600000,3050400000,3219700000,3418900000,3414000000,3521664000,3630494000,3723489000,3970493000,3506737000,398887000,448593000,540203000,618213000,662912000,756264000,813546000,621030000,170018000,-179638000,-395529000,-379973000,-358107000,-269307000,-767933000,-748969000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1270700000,1101100000,1027500000,1079400000,978200000,1057200000,1259560000,1498163000,1593553000,1950883000,2649156000,3460990000,4052676000,5066174000,6278945000,7346026000,8199550000,8778397000,8942035000,8595730000,8573434000,5306728000,4916679000,4620191000,4829299000,5467460000,4214337000,4320800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2312000000,2119100000,2243800000,2238300000,2164400000,2445500000,3134353000,3259099000,3885775000,4712647000,5458243000,6368511000,7422387000,10508983000,11149098000,12756359000,14233243000,14138138000,17522643000,17509484000,16742307000,11493812000,10295860000,9860942000,10684244000,11381353000,10441042000,10304900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23340000,26866000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368343000,337151000,179810000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2312000000,2119100000,2243800000,2238300000,2164400000,2445500000,3134353000,3259099000,3885775000,4712647000,5458243000,6368511000,7445727000,10535849000,11149098000,12756359000,14233243000,14138138000,17522643000,17509484000,16742307000,11493812000,10295860000,9860942000,11052587000,11718504000,10620852000,10304900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066196000195/0000930661-96-000195-index.html,https://www.sec.gov/Archives/edgar/data/717423/000093066197000702/0000930661-97-000702-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066101000634/0000930661-01-000634-index.html,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066103001213/0000930661-03-001213-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312504039974/0001193125-04-039974-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312505052706/0001193125-05-052706-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312506054960/0001193125-06-054960-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312507044355/0001193125-07-044355-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312508043756/0001193125-08-043756-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312509040617/0001193125-09-040617-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312510042802/0001193125-10-042802-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312511049276/0001193125-11-049276-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312512084989/0001193125-12-084989-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312513082919/0001193125-13-082919-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312514077534/0001193125-14-077534-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742315000016/0000717423-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742316000064/0000717423-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742317000005/0000717423-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742318000011/0000717423-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742319000016/0000717423-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742320000008/0000717423-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742321000014/0000717423-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742322000019/0000717423-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,46600000,101900000,-11200000,105600000,102100000,106600000,-118600000,137900000,132400000,-14400000,119700000,296828000,330903000,111508000,294197000,701315000,846452000,638279000,766529000,1739986000,837621000,798081000,872702000,970876000,1123473000,905611000,-2270833000,-275970000,-311789000,411094000,1149732000,-1148777000,-73664000
74,Depreciation and Amortization,- -,- -,- -,- -,219300000,213500000,149600000,182200000,188300000,218200000,236600000,182400000,219900000,213200000,215400000,227615000,255496000,324656000,355685000,337861000,419694000,406529000,545159000,852348000,1028371000,1164782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,987239000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-6200000,-11400000,23200000,-21700000,18500000,21300000,-47200000,-34400000,26000000,1300000,38000000,63431000,86191000,5871000,4047000,106159000,40755000,48911000,37116000,289527000,97213000,143388000,171565000,316587000,158108000,-170915000,-978030000,-387843000,260420000,-183680000,28530000,-278042000,-4146000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
