,https://roic.ai/company/KTCC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1500000,1400000,1300000,1100000,1000000,893000,800000,800000,800000,800000,800000,765000,800000,- -,- -,- -,- -,- -,3800000,17012000,15885000,14757000,13683000,657000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3746000,- -,- -,- -,- -,- -,3500000,- -,- -,600000,1500000,2703000,1600000,300000,501000,- -,- -,7882000,- -,234000,9656000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,5900000,5000000,6000000,5100000,4600000,513000,1200000,2100000,1300000,3300000,6900000,1228000,5000000,5500000,4400000,4400000,1413000,3800000,5800000,7843000,10655000,9394000,2895000,10141000,12531000,1458000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42100000,38700000,38400000,37200000,30700000,27000000,21821000,14200000,14900000,13200000,14100000,17500000,16741000,16600000,16700000,18900000,20800000,21422000,23300000,33500000,52330000,54465000,54647000,52008000,40211000,62097000,62594000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,115100000,93500000,100200000,97100000,100900000,95800000,74371000,57400000,59100000,67900000,72900000,88700000,89388000,98300000,77800000,101600000,112400000,150912000,135100000,156700000,230794000,235924000,232840000,246528000,238310000,304861000,361846000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000,15600000,14300000,15500000,18700000,24300000,21385000,14400000,13100000,24400000,25500000,31200000,24104000,29500000,18700000,29200000,26100000,43025000,26400000,32500000,61528000,58967000,53078000,76198000,73571000,80204000,92823000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,- -,730000,606000,735000,689000,344000,470000,- -,- -,- -,729000,576000,7853000,5000000,5000000,5841000,5841000,5841000,7508000,2143000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2894000,- -,- -,- -,- -,3500000,- -,4210000,4611000,4420000,4465000,- -,1767000,935000,6643000,8982000,6981000,- -,7840000,10178000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,11100000,9000000,9800000,9700000,7400000,5235000,6500000,8670000,6294000,9565000,4111000,6977000,1820000,289000,4380000,2735000,9500000,9157000,10912000,13618000,11161000,11853000,16874000,6152000,14329000,31739000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,35300000,26700000,23300000,25300000,28400000,31700000,29664000,20900000,22500000,31300000,35800000,39500000,31425000,36000000,23600000,38000000,33300000,53254000,37900000,52200000,86789000,84110000,77753000,98913000,93404000,112219000,126705000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,17300000,27000000,22900000,20600000,17600000,9389000,6500000,9900000,10900000,7400000,10100000,13081000,12300000,2400000,1600000,6000000,15011000,- -,- -,37881000,39323000,37108000,29154000,30447000,63352000,109696000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094000,1585000,270000,501000,- -,4354000,- -,2958000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-100000,- -,20300000,3600000,2500000,2100000,1500000,1638000,1000000,600000,2600000,5000000,2945000,1515000,530000,4855000,6909000,-2942000,380000,-2958000,13733000,1740000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,17400000,27000000,22900000,20600000,17500000,9389000,26800000,13500000,13400000,9500000,11600000,14719000,13300000,3000000,4200000,11000000,19050000,3100000,800000,43237000,46232000,38520000,29534000,30447000,77085000,111436000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12624000,11428000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,63800000,44100000,50300000,48200000,49000000,49200000,39053000,47700000,36000000,44700000,45300000,51100000,46144000,49300000,26600000,42200000,44300000,72304000,41000000,53000000,130026000,130342000,116273000,128447000,123851000,189304000,238141000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,37500000,38100000,38200000,38300000,38300000,38300000,38393000,38400000,38400000,38400000,38400000,38600000,- -,39300000,39400000,40100000,41000000,- -,43400000,44200000,44136000,45227000,45797000,46244000,46680000,46946000,47181000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,10900000,11200000,10300000,13400000,8100000,-3320000,-28700000,-15300000,-15200000,-10800000,-1000000,4196000,9800000,10800000,19500000,25300000,36895000,49500000,57100000,61395000,67928000,73545000,72806000,65353000,70111000,74452000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,800000,800000,400000,400000,400000,-82559000,-73100000,-74500000,-58900000,-58300000,-45700000,-46762000,-37700000,912000,-242000,1740000,-659000,1313000,2403000,-4763000,-7573000,-2775000,-969000,2426000,-1500000,2072000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82804000,73100000,74520000,58934000,58339000,45648000,85810000,37681000,2000,59000,-17000,42713000,-53000,-58000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,51300000,49500000,49800000,48900000,51900000,46600000,35318000,9700000,23120000,23234000,27639000,37548000,43244000,49081000,51114000,59417000,68023000,78608000,94160000,103645000,100768000,105582000,116567000,118081000,114459000,115557000,123705000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,115100000,93600000,100100000,97100000,100900000,95800000,74371000,57400000,59120000,67934000,72939000,88648000,89388000,98381000,77714000,101617000,112323000,150912000,135160000,156645000,230794000,235924000,232840000,246528000,238310000,304861000,361846000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,-20000,-34000,-39000,52000,- -,-81000,86000,-17000,77000,- -,-60000,55000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,115100000,93500000,100200000,97100000,100900000,95800000,74371000,57400000,59100000,67900000,72900000,88700000,89388000,98300000,77800000,101600000,112400000,150912000,135100000,156700000,230794000,235924000,232840000,246528000,238310000,304861000,361846000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/719733/000071973395000046/0000719733-95-000046-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973396000012/0000719733-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973397000010/0000719733-97-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719733/000102140801506598/0001021408-01-506598-index.html,https://www.sec.gov/Archives/edgar/data/719733/000103221002001358/0001032210-02-001358-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312503051450/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312504157946/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312505188169/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312506192374/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312507201905/0001193125-07-201905-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312508195739/0001193125-08-195739-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312509190584/0001193125-09-190584-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312510209062/0001193125-10-209062-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312511245992/0001193125-11-245992-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312512386435/0001193125-12-386435-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973313000015/0000719733-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973314000028/0000719733-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973315000070/0000719733-15-000070-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973316000164/ktcc-07022016x10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000071973317000028/0000719733-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973318000054/0000719733-18-000054-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973319000063/0000719733-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973320000061/0000719733-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/719733/000071973321000106/0000719733-21-000106-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-7500000,3800000,-1000000,4400000,-1800000,300000,-900000,3000000,-5300000,-11373000,-25400000,13400000,100000,4400000,9800000,5230000,5600000,1100000,8700000,5700000,11626000,12600000,7600000,4304000,6533000,5617000,-1325000,-7982000,4758000,4341000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,6900000,6300000,8600000,8900000,10000000,8900000,9600000,6900000,6330000,5886000,4397000,2938000,2957000,2366000,1890000,1814000,1768000,1595000,1794000,2212000,2333000,2965000,3829000,5910000,6162000,7232000,7774000,7298000,5591000,6856000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1300000,200000,-600000,800000,121000,- -,12866000,- -,- -,- -,-5000000,- -,- -,-104000,-2062000,470000,221000,2493000,-687000,-1517000,-1313000,-471000,-1562000,-1116000,-958000,-942000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624000,848000,659000,732000,764000,692000,447000,436000,266000,192000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-600000,- -,- -,37700000,-9600000,10400000,-3900000,7200000,-4700000,-14214000,-586000,-600000,1700000,-400000,8700000,9522000,4478000,-8200000,7200000,13600000,17936000,-2336000,-2900000,20675000,5674000,3091000,-4833000,9088000,25850000,42002000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10547000,-10104000,-5748000,-20268000,13638000,-2686000,-2080000,11136000,-3505000,-10601000,3344000,-28254000,-24318000
79,Inventory,- -,- -,- -,- -,- -,- -,2600000,-800000,500000,-8000000,- -,-400000,-4100000,- -,2535000,1683000,-19000,-5959000,-3859000,-2594000,-6987000,3448000,-5740000,5333000,-9666000,-2078000,-17647000,13250000,-10450000,-14708000,-16169000,4920000,589000,-1417000,-14725000,-23062000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10794000,10455000,- -,16876000,-16625000,6059000,17999000,-2561000,-5889000,23320000,-2627000,6632000,12618000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,37700000,28100000,38500000,34600000,41800000,37100000,22886000,22300000,21700000,23400000,23000000,31700000,41222000,45700000,37500000,44700000,58300000,76236000,73900000,71000000,91675000,97349000,100440000,95607000,104695000,130545000,172547000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,5200000,-6500000,-8300000,-49800000,19200000,-19100000,3600000,-13700000,6805000,27182000,9642000,-16282000,-4774000,-1252000,-15424000,-18423000,-12564000,15647000,-11935000,-24551000,-37806000,12712000,-7043000,-22437000,-13240000,-6736000,10956000,-6805000,-66511000,-67501000
