,https://roic.ai/company/AXP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,1240000000,- -,- -,- -,- -,-83411000000,-8204000000,-1817000000,-9124000000,-7160000000,-22211000000,-5601000000,6753000000,4202000000,-12451000000,-4533000000,70975000000,-1990000000,-8939000000,149427000000,-123260000000,23667000000,31196000000,-2598000000,-5191000000,900000000,-13623000000,6872000000,-1417000000,-4698000000,-71272000000,93508000000,95825000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2520000000,1005000000,885000000,-23000000,2090000000,2893000000,-358000000,88000000,2594000000,1020000000,1072000000,5505000000,-4121000000,1771000000,-2025000000,5389000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83411000000,-91615000000,-93432000000,-102556000000,-109716000000,-131927000000,-137528000000,-130775000000,-126573000000,-139024000000,-143557000000,-72582000000,-74572000000,-83511000000,65916000000,-57344000000,-33677000000,-2481000000,-5079000000,-10270000000,-9370000000,-22993000000,-16121000000,-17538000000,-22236000000,-93508000000,- -,95825000000
82,Other Non-Cash Items,- -,- -,- -,- -,3245000000,3800000000,-1135000000,-2183500000,-1476000000,83434000000,9327000000,4589000000,12116000000,9644000000,27108000000,8751000000,-3936000000,850000000,11206000000,8899000000,-67040000000,7167000000,13501000000,-144614000000,127671000000,-20775000000,-27693000000,3692000000,7292000000,3844000000,17649000000,-4273000000,9835000000,4676000000,76248000000,-92588000000,-91559000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,5975000000,4584000000,407000000,-1062000000,413000000,1814000000,3054000000,4939000000,5170000000,4413000000,7385000000,6353000000,5324000000,8674000000,2538000000,9143000000,8045000000,9005000000,8484000000,8666000000,6384000000,9288000000,10475000000,7082000000,8547000000,10990000000,10972000000,8224000000,13540000000,8930000000,13632000000,5591000000,14645000000
84,CAPEX,- -,- -,- -,- -,-962000000,-719000000,-656000000,-570000000,-286000000,-333000000,-347000000,-438000000,-343000000,-862000000,-819000000,-919000000,-859000000,-670000000,-1021000000,-740000000,-608000000,-766000000,-883000000,-950000000,-772000000,-887000000,-1189000000,-1053000000,-1006000000,-1195000000,-1341000000,-1375000000,-1062000000,-1310000000,-1645000000,-1478000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165000000,-58000000,-749000000,- -,-136000000,993000000,-124000000,-4589000000,- -,-400000000,-610000000,-466000000,-195000000,-229000000,-155000000,-487000000,-211000000,-520000000,-352000000,-597000000,1000000
86,Purchases of Investments,- -,- -,- -,- -,-14577000000,-12418000000,-18190000000,-17903000000,-13802000000,-13224000000,-11242000000,-10896000000,-7898000000,-10176000000,-11287000000,-9121000000,-19912000000,-24961000000,-30174000000,-18365000000,-11824000000,-18457000000,-10332000000,-14724000000,-13719000000,-7804000000,-1158000000,-473000000,-1348000000,-886000000,-1713000000,-2162000000,-2612000000,-5434000000,-11166000000,-20562000000,-1517000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,15864000000,8950000000,39928000000,28917000000,10604000000,11551000000,10510000000,11207000000,6605000000,8987000000,8310000000,8412000000,17231000000,19565000000,26620000000,14197000000,11340000000,19188000000,12001000000,14277000000,5830000000,14262000000,7250000000,2087000000,1509000000,2348000000,2103000000,2527000000,2496000000,3503000000,7351000000,7228000000,62000000
88,Other Investing Activites,- -,- -,- -,- -,-5032000000,-8055000000,-25790000000,-14625000000,721000000,-2601000000,-6010000000,-5313000000,-5928000000,-3459000000,-8769000000,-8294000000,73000000,-4114000000,-8488000000,-7442000000,-16639000000,-16080000000,-17701000000,13049000000,1713000000,-6400000000,-4784000000,-6640000000,-6229000000,-8005000000,-7087000000,3365000000,-16884000000,-15854000000,-10895000000,27041000000,-9075000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3745000000,-11523000000,-4052000000,-3611000000,-2477000000,-4274000000,-6742000000,-5002000000,-7221000000,-4648000000,-11746000000,-9003000000,-2773000000,-9568000000,-12791000000,-11610000000,-17259000000,-15217000000,-17094000000,7036000000,-6948000000,-1229000000,-491000000,-6545000000,-7269000000,-7967000000,-8193000000,1868000000,-18273000000,-19615000000,-16707000000,11632000000,-10529000000
90,Debt Repayment,- -,- -,- -,- -,-4150000000,-11311000000,-19416000000,-19164000000,-11397000000,-8729000000,-15454000000,-17384000000,-11604000000,-7426000000,-12049000000,-15362000000,-15318000000,-14167000000,-16998000000,-9527000000,-14426000000,-14978000000,-18390000000,-13787000000,-21771000000,-17670000000,-21029000000,-14076000000,-14763000000,-12768000000,-19610000000,-9848000000,-24082000000,-18895000000,-13850000000,-15593000000,-11662000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614000000,663000000,594000000,443000000,721000000,362000000,193000000,177000000,129000000,87000000,86000000,44000000,64000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3389000000,-590000000,-2300000000,-3952000000,-3943000000,-4389000000,-4480000000,-4431000000,-4400000000,-1685000000,-4685000000,-1029000000,-7652000000
93,Dividends Paid,- -,- -,- -,- -,-373000000,-435000000,-477000000,-518000000,-526000000,-504000000,-458000000,-436000000,-423000000,-414000000,-404000000,-421000000,-424000000,-430000000,-471000000,-535000000,-597000000,-661000000,-712000000,-836000000,-924000000,-867000000,-861000000,-902000000,-939000000,-1041000000,-1172000000,-1207000000,-1251000000,-1324000000,-1422000000,-1474000000,-1448000000
94,Other Financing Activites,- -,- -,- -,- -,-668000000,17462000000,22993000000,24005000000,14693000000,11773000000,19354000000,17368000000,15827000000,8045000000,20167000000,19426000000,12054000000,18613000000,23310000000,16238000000,21466000000,22417000000,34568000000,4183000000,20823000000,10380000000,22212000000,15219000000,15033000000,17847000000,23040000000,7777000000,41849000000,26918000000,19352000000,8984000000,5765000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5191000000,5716000000,3100000000,4323000000,2770000000,2540000000,3442000000,-452000000,3800000000,205000000,7714000000,3643000000,-3688000000,4016000000,5841000000,6176000000,6443000000,6778000000,15466000000,-10440000000,-4647000000,-8084000000,-1384000000,-3268000000,-3891000000,11000000,-2029000000,-7532000000,12245000000,5101000000,-519000000,-9068000000,-14933000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-149000000,171000000,-184000000,-574000000,-802000000,41000000,13000000,-8000000,-247000000,-57000000,26000000,23000000,-128000000,-56000000,-150000000,42000000,-10000000,264000000,166000000,20000000,7000000,135000000,-63000000,88000000,-151000000,-232000000,-276000000,-114000000,207000000,129000000,232000000,364000000,-120000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000000,-233000000,-523000000,1502000000,-87000000,3379000000,1016000000,-1265000000,3066000000,-4562000000,3751000000,-2781000000,830000000,7022000000,5282000000,-5008000000,110000000,8537000000,-2643000000,-2764000000,2802000000,474000000,2446000000,7719000000,-5455000000,-3362000000,8519000000,-10937000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3433000000,3200000000,2677000000,4179000000,4092000000,7471000000,8487000000,7222000000,10288000000,5726000000,9907000000,7126000000,7956000000,15268000000,20550000000,15542000000,16709000000,24893000000,22250000000,19486000000,22288000000,22762000000,25208000000,32927000000,27808000000,24446000000,32965000000,22028000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,10562000000,7452000000,5605000000,6319000000,3408000000,3312000000,3433000000,3200000000,2677000000,4179000000,4092000000,7471000000,8487000000,7222000000,10288000000,6156000000,9907000000,7126000000,8246000000,15268000000,20550000000,16599000000,16356000000,24893000000,22250000000,19486000000,22288000000,22762000000,25208000000,33263000000,27808000000,24446000000,32965000000
100,Free Cash Flow,- -,- -,- -,- -,5013000000,3865000000,-249000000,-1632000000,127000000,1481000000,2707000000,4501000000,4827000000,3551000000,6566000000,5434000000,4465000000,8004000000,1517000000,8403000000,7437000000,8239000000,7601000000,7716000000,5612000000,8401000000,9286000000,6029000000,7541000000,9795000000,9631000000,6849000000,12478000000,7620000000,11987000000,4113000000,14645000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000000496295000005/0000004962-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/4962/000000496296000013/0000004962-96-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000000496201500025/0000004962-01-500025-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000095012307003020/0000950123-07-003020-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312508042043/0001193125-08-042043-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312509041008/0001193125-09-041008-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312510041232/0001193125-10-041232-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000095012311019072/0000950123-11-019072-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312512077400/0001193125-12-077400-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312513070554/0001193125-13-070554-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514066777/0001193125-14-066777-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/0001193125-15-059931-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/0001193125-16-469798-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/0001193125-17-047588-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/0000004962-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/0000004962-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/0000004962-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/0000004962-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/0000004962-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
