,https://roic.ai/company/ELVT,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,70861821,205297201,347099000,504494000,621599000,671915000,695839000,593412000,630624000
38,PP&E,15607683,17324183,17770000,16159000,24249000,41579000,60180000,42320000,38822000
39,Goodwill,16026782,16026782,16027000,16027000,16027000,16027000,16027000,6776000,6776000
40,Intangible Assets,2690560,2689782,2484000,2304000,2123000,1712000,1402000,1133000,231000
41,Intangible Assets,18717342,18716564,18511000,18331000,18150000,17739000,17429000,7909000,7007000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,7934245,20096078,26856000,31197000,23545000,21628000,10139000,25958000,34229000
44,Other Non-Current Assets,1026993,277594,- -,- -,- -,412000,- -,- -,- -
45,Total Non-Current Assets,43286263,56414419,63137000,65687000,65944000,81358000,87748000,76187000,80058000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,114148084,261711620,410236000,570181000,687543000,753273000,783587000,669599000,710682000
48,Accounts Payable,10771856,10702528,13341000,10901000,18763000,16356000,15278000,7568000,82513000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,491257,632805,803000,1026000,884000,681000,605000,- -,304000
51,Deferred Revenue,- -,- -,- -,28970000,33023000,28261000,12087000,3134000,4446000
52,Other Current Liabilities,8955114,20822523,21729000,21494000,24334000,29275000,30318000,44684000,304000
53,Total Current Liabilities,19726970,31525051,35070000,61365000,76120000,73892000,57683000,55386000,87263000
54,Long-Term Debt,- -,174800000,339800000,493478000,513295000,562590000,555063000,438403000,514448000
55,Deferred Revenue,475066,2691852,1729000,28970000,33023000,28261000,12087000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,47789,504730,262000,-27199000,-31051000,-28261000,2265000,11952000,- -
58,Total Non-Current Liabilities,522855,177996582,341791000,495249000,515267000,562590000,569415000,450355000,514448000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,490066,262000,21000,- -,- -,14352000,11952000,9171000
61,Total Liabilities,20249825,209521633,376861000,556614000,591387000,636482000,627098000,505741000,601711000
62,Preferred Stock,- -,5639,6000,6000,- -,- -,- -,- -,- -
63,Common Stock,- -,4843,5000,5000,17000,18000,18000,18000,19000
64,Retained Earnings,- -,-34101482,-54012000,-76385000,-79954000,-66525000,-34342000,-20101000,-55162000
65,Other Comprehensive Income/Loss,-1137658,-309534,286000,1087000,2003000,54000,1096000,- -,- -
66,Other Total Stockholders Equity,102675864,86590521,87090000,88854000,174090000,183244000,189717000,183941000,164114000
67,Total Stockholders Equity,93898259,52189987,33375000,13567000,96156000,116791000,156489000,163858000,108971000
68,Total Liabilities And Stockholders Equity,114148084,261711620,410236000,570181000,687543000,753273000,783587000,669599000,710682000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,114148084,261711620,410236000,570181000,687543000,753273000,783587000,669599000,710682000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651094/000165109418000014/0001651094-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109419000028/0001651094-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109420000010/0001651094-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109421000016/0001651094-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109422000021/0001651094-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-44856544,-54625270,-19911000,-22373000,-6916000,12509000,32183000,20592000,-33598000
74,Depreciation and Amortization,5328563,8317423,8898000,10906000,10272000,12988000,17384000,17604000,18470000
75,Deferred Income Tax,- -,- -,-5173000,-3386000,9729000,1148000,11583000,11260000,-8271000
76,Stock Based Compensation,76979,496121,847000,1707000,6318000,8233000,9940000,8110000,6640000
77,Change in Working Capital,-18527810,122637299,138256850,131100000,102350000,52544000,40133000,-100130000,-536592000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,806000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8770207,11947743,4664000,987000,9266000,1386000,6121000,-9525000,8606000
81,Other Working Capital,51134851,173772150,312029000,443129000,545479000,598023000,638156000,538026000,1434000
82,Other Non-Cash Items,42410370,-21177537,5514150,129995000,186935000,274854000,259121000,253913000,709510000
83,Cash Provided by Operating Activities,-15568442,55648036,128432000,247949000,308688000,362276000,370344000,211349000,156159000
84,CAPEX,-13039578,-9503926,-9272000,-8313000,-16755000,-27490000,-24690000,-16069000,-17281000
85,Acquisitions Net,-2000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-64060307,-217708316,-281051000,-367597000,-407496000,-364328000,-302831000,41709000,-287357000
89,Cash Used for Investing Activites,-78650158,-226982242,-290323000,-375910000,-424251000,-391818000,-327521000,25640000,-304638000
90,Debt Repayment,- -,-24997041,-228000,-242000,-84971000,- -,-70000000,-119000000,- -
91,Common Stock Issued,- -,- -,- -,- -,86699000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3344000,-19819000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,94950983,222728870,162084000,153248000,100967000,47842000,60424000,14474000,- -
95,Cash Used/Provided by Financing Activities,94950983,197731829,161856000,153006000,102695000,47842000,-12920000,-124345000,- -
96,Effect of Forex Changes on Cash,-298882,-1335321,-712000,-521000,436000,-133000,400000,- -,- -
97,Net Change In Cash,283021,25103831,-747000,24524000,-12432000,17171000,30600000,126768000,- -
98,Cash at the End of Period,4415265,29519096,29050000,53574000,41142000,58313000,88913000,197983000,- -
99,Cash at the Beginning of Period,4132244,4415265,29797000,29050000,53574000,41142000,58313000,71215000,- -
100,Free Cash Flow,-28608020,46144110,119160000,239636000,291933000,334786000,345654000,195280000,138878000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651094/000165109418000014/0001651094-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109419000028/0001651094-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109420000010/0001651094-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109421000016/0001651094-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1651094/000165109422000021/0001651094-22-000021-index.htm
102,false,,,,,,,,,
