,https://roic.ai/company/PBH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,2391000,979000,5820000,6921000,21981000,47558000,55176000,54208000,-195962000,53111000,48528000,61157000,106034000,101748000,127458000,157185000,110850000,107086000,-38055000,191151000,204113000
21,Income Before Tax Ratio,0.2763,0.0212,0.0811,0.0787,0.0725,0.1603,0.1732,0.1660,-0.6266,0.1759,0.1442,0.1387,0.1700,0.1691,0.1784,0.1950,0.1257,0.1029,-0.0390,0.1985,0.2164
22,Income Tax expense (Gain),- -,- -,- -,2738000,8522000,21281000,19098000,20289000,-9186000,21849000,19349000,23945000,40529000,29133000,49198000,57278000,41455000,-232484000,-2255000,48870000,39431000
23,Net Income,2528000,545000,-14896000,4183000,13459000,26277000,36078000,33919000,-186776000,32115000,29220000,37212000,65505000,72615000,78260000,99907000,69395000,339570000,-35800000,142281000,164682000
24,Net Income ratio,0.2921,0.0118,-0.2077,0.0476,0.0444,0.0886,0.1132,0.1039,-0.5973,0.1063,0.0868,0.0844,0.1050,0.1206,0.1095,0.1239,0.0787,0.3261,-0.0367,0.1477,0.1746
25,EPS,0.10,-0.55,0.54,0.08,-0.41,0.54,0.73,0.68,-3.74,0.64,0.58,0.74,1.29,1.41,1.50,1.89,1.31,6.40,-0.69,2.81,3.28
26,EPS Diluted,0.10,-0.55,0.53,0.08,-0.41,0.53,0.72,0.68,-3.74,0.64,0.58,0.73,1.27,1.39,1.49,1.88,1.30,6.34,-0.69,2.78,3.25
27,Weighted Average Shares Outstanding,24617000,27546000,48908000,50000000,29389329,48908000,49460000,49751000,49935000,50013000,50081000,50270000,50633000,51641000,52170000,52754000,52976000,53099000,52068000,50723000,50210000
28,Weighted Average Shares Outstanding Diluted,26543000,27546000,50008000,50000000,50000000,50008000,50020000,50039000,49935000,50085000,50338000,50748000,51440000,52349000,52670000,53143000,53362000,53526000,52068000,51140000,50605000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295947/000110465905030101/0001104659-05-030101-index.htm,https://www.sec.gov/Archives/edgar/data/1295947/000100579406000290/prestigejune92006.htm,https://www.sec.gov/Archives/edgar/data/1295947/000100579407000315/0001005794-07-000315-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579408000191/0001005794-08-000191-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579409000129/0001005794-09-000129-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579410000107/0001005794-10-000107-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594711000011/0001295947-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594712000029/0001295947-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594713000018/0001295947-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594714000015/0001295947-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594715000015/0001295947-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594716000051/0001295947-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594717000018/0001295947-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594718000013/0001295947-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594719000015/0001295947-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594720000018/0001295947-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594721000021/0001295947-21-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7884000,3530000,3393000,5334000,8200000,13758000,6078000,35181000,41097000,13334000,19015000,15670000,28331000,21318000,27230000,41855000,32548000,27530000,94760000,32302000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7884000,3530000,3393000,5334000,8200000,13758000,6078000,35181000,41097000,13334000,19015000,15670000,28331000,21318000,27230000,41855000,32548000,27530000,94760000,32302000
34,Net Receivables,- -,- -,- -,15732000,43893000,40042000,35167000,44219000,36025000,30621000,44393000,60228000,73053000,65050000,87858000,95247000,136742000,140881000,148787000,150517000,114671000
35,Inventory,- -,- -,- -,9748000,21580000,33841000,30173000,29696000,26977000,29162000,39751000,51113000,60201000,65586000,74000000,91263000,115609000,118547000,119880000,116026000,114959000
36,Other Current Assets,- -,- -,- -,1881000,8851000,3928000,4670000,5382000,5380000,11270000,10104000,16679000,15249000,18218000,18531000,35273000,40228000,11501000,4741000,4351000,7903000
37,Total Current Assets,- -,- -,- -,30754000,79658000,86011000,83768000,85375000,103563000,112150000,107582000,147035000,164173000,177185000,201707000,249013000,334434000,303477000,300938000,365654000,269835000
38,PP&E,- -,- -,- -,880000,2324000,1653000,1449000,1433000,1367000,1396000,1444000,1304000,9896000,9597000,13744000,15540000,50595000,52552000,51176000,90718000,102767000
39,Goodwill,- -,- -,- -,55594000,- -,297935000,310947000,308915000,114240000,111489000,154896000,173702000,167546000,190911000,290651000,360191000,615252000,620098000,578583000,575179000,578079000
40,Intangible Assets,- -,- -,- -,- -,294544000,637197000,657157000,646683000,577609000,559229000,786361000,1400522000,1373240000,1394817000,2134700000,2322723000,2903613000,2780916000,2507210000,2479391000,2475729000
41,Intangible Assets,- -,- -,- -,55594000,294544000,935132000,968104000,955598000,691849000,670718000,941257000,1574224000,1540786000,1585728000,2425351000,2682914000,3518865000,3401014000,3085793000,3054570000,3053808000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,239394000,624609000,15849000,10095000,6750000,4602000,7148000,6635000,35713000,24944000,23153000,28603000,1324000,7454000,3569000,3129000,2963000,2863000
45,Total Non-Current Assets,- -,- -,- -,295868000,921477000,952634000,979648000,963781000,697818000,679262000,949336000,1611241000,1575626000,1618478000,2467698000,2699778000,3576914000,3457135000,3140098000,3148251000,3159438000
46,Other Assets,151292000,174039000,142056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,151292000,174039000,142056000,326622000,1001135000,1038645000,1063416000,1049156000,801381000,791412000,1056918000,1758276000,1739799000,1795663000,2669405000,2948791000,3911348000,3760612000,3441036000,3513905000,3429273000
48,Accounts Payable,- -,- -,- -,5281000,21705000,18065000,19303000,20539000,18050000,12771000,21615000,26726000,51376000,48286000,46115000,38296000,70218000,61390000,56560000,62375000,45978000
49,Short-Term Debt,- -,- -,- -,- -,- -,3730000,3550000,3550000,3550000,29587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8446000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4020000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,9264000,17202000,13940000,18057000,13802000,12626000,13294000,32593000,37197000,45292000,36072000,52922000,68388000,91791000,61809000,70419000,87506000,67714000
53,Total Current Liabilities,- -,- -,- -,14545000,38907000,35735000,40910000,37891000,34226000,55652000,54208000,63923000,96668000,84358000,99037000,106684000,162009000,123199000,126979000,149881000,122138000
54,Long-Term Debt,- -,- -,- -,146694000,491630000,494900000,459800000,407675000,374787000,294557000,486945000,1123908000,970900000,934414000,1588711000,1625309000,2193732000,1992952000,1798598000,1730300000,1506175000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,38874000,84752000,98603000,114571000,122140000,97983000,112144000,153933000,167717000,194288000,213204000,351569000,469622000,715086000,442518000,399575000,407812000,434050000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2801000,2377000,- -,- -,- -,- -,- -,327000,2464000,2840000,17972000,23333000,20053000,54941000,8612000
58,Total Non-Current Liabilities,- -,- -,- -,185568000,576382000,593503000,577172000,532192000,472770000,406701000,640878000,1291625000,1165188000,1147945000,1942744000,2097771000,2926790000,2458803000,2218226000,2193053000,1948837000
59,Other Liabilities,105262000,115302000,98198000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36335000,34968000
61,Total Liabilities,105262000,115302000,98198000,200113000,615289000,629238000,618082000,570083000,506996000,462353000,695086000,1355548000,1261856000,1232303000,2041781000,2204455000,3088799000,2582002000,2345205000,2342934000,2070975000
62,Preferred Stock,- -,- -,- -,114575000,- -,- -,- -,- -,- -,- -,- -,283000,283000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,501000,501000,501000,501000,502000,503000,505000,513000,520000,525000,530000,533000,534000,536000,538000,540000
64,Retained Earnings,- -,- -,- -,1790000,6779000,29257000,65335000,99254000,-87522000,-55407000,-26187000,10742000,76247000,149145000,227405000,327312000,396707000,736277000,701820000,844101000,1008783000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1963000,1000000,-1216000,-1000000,-1000000,-2451000,-2774000,-3520000,-4466000,1000000,-23000000,-24000000,-26000000,-19000000,-26000000,-44000000,-19801000
66,Other Total Stockholders Equity,46030000,58737000,43858000,124719000,380530000,378649000,380714000,380318000,382406000,386415000,390290000,394718000,405366000,412695000,422694000,440494000,451309000,460799000,419475000,370332000,368776000
67,Total Stockholders Equity,46030000,58737000,43858000,126509000,385846000,409407000,445334000,479073000,294385000,329059000,361832000,402728000,477943000,563360000,627624000,744336000,822549000,1178610000,1095831000,1170971000,1358298000
68,Total Liabilities And Stockholders Equity,151292000,174039000,142056000,326622000,1001135000,1038645000,1063416000,1049156000,801381000,791412000,1056918000,1758276000,1739799000,1795663000,2669405000,2948791000,3911348000,3760612000,3441036000,3513905000,3429273000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,151292000,174039000,142056000,326622000,1001135000,1038645000,1063416000,1049156000,801381000,791412000,1056918000,1758276000,1739799000,1795663000,2669405000,2948791000,3911348000,3760612000,3441036000,3513905000,3429273000
