,https://roic.ai/company/TTI,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,1600000,6700000,8700000,-3900000,900000,6100000,9400000,13100000,13900000,8900000,10232000,-6722000,23873000,8899000,21664000,17699000,38062000,101878000,28771000,-12136000,68804000,-43718000,4147000,15960000,153000,-169678000,-126183000,-161462000,-39048000,-61617000,-147413000,-51143000,103333000
24,Net Income ratio,0.0328,0.1153,0.1020,-0.0682,0.0143,0.0689,0.0828,0.0815,0.0634,0.0373,0.0475,-0.0299,0.0787,0.0367,0.0680,0.0501,0.0717,0.1298,0.0293,-0.0120,0.0783,-0.0501,0.0049,0.0181,0.0002,-0.1575,-0.1117,-0.2324,-0.0476,-0.0617,-0.1420,-0.1354,0.2661
25,EPS,0.04,0.11,0.12,-0.07,0.02,0.11,0.16,0.22,0.23,0.15,0.17,-0.11,0.38,0.14,0.33,0.26,0.56,1.42,0.39,-0.16,0.92,-0.58,0.05,0.21,0.00,-2.16,-1.59,-1.85,-0.34,-0.50,-1.17,-0.41,0.81
26,EPS Diluted,0.04,0.11,0.12,-0.07,0.02,0.11,0.16,0.22,0.22,0.14,0.17,-0.11,0.36,0.13,0.31,0.25,0.53,1.36,0.38,-0.16,0.91,-0.58,0.05,0.20,0.00,-2.16,-1.59,-1.85,-0.34,-0.50,-1.17,-0.41,0.81
27,Weighted Average Shares Outstanding,44953922,60239339,69840811,56556165,57799756,57130013,57105019,60952500,59836500,61024500,60858000,61272000,62977500,64026000,65550000,67113000,68588000,71631000,73573000,74519000,75045000,75539000,76616000,77293000,77954000,78600000,79169000,87286000,114499000,124101000,125600000,125838000,126937163
28,Weighted Average Shares Outstanding Diluted,44953922,60239339,69840811,56556165,57799756,57130013,58691309,60952500,63850500,62973000,61092000,61272000,66766500,67027500,69015000,71199000,72136000,74824000,75921000,74519000,75722000,75539000,77991000,77963000,78840000,78600000,79169000,87286000,114499000,124101000,125600000,125838000,126937163
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844965/000084496503000003/0000844965-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496504000014/0000844965-04-000014-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496505000012/0000844965-05-000012-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496506000010/0000844965-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496507000012/0000844965-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496508000016/0000844965-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496509000010/0000844965-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496510000010/0000844965-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496511000022/0000844965-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496512000020/0000844965-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496513000017/0000844965-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496514000022/0000844965-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496515000014/0000844965-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496516000116/0000844965-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496517000003/0000844965-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496518000004/0000844965-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496519000003/0000844965-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496520000002/0000844965-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496521000002/0000844965-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496522000007/0000844965-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,800000,18300000,7500000,11600000,6900000,8400000,7500000,2800000,2800000,2800000,6184000,6594000,13115000,3366000,16677000,5561000,2433000,5535000,21833000,3882000,33394000,65360000,204412000,74048000,38754000,48384000,23057000,29840000,26128000,40038000,17704000,67252000,31551000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,800000,18300000,7500000,11600000,6900000,8400000,7500000,2800000,2800000,2800000,6184000,6594000,13115000,3366000,16677000,5561000,2433000,5535000,21833000,3882000,33394000,65360000,204412000,74048000,38754000,48384000,23057000,29840000,26128000,40038000,17704000,67252000,31551000
34,Net Receivables,14200000,17300000,27000000,18800000,18600000,28400000,34500000,45200000,60900000,61800000,50220000,63997000,72688000,58544000,70769000,86544000,147982000,243352000,215284000,225491000,181038000,162405000,141537000,176352000,180659000,227053000,184172000,114284000,172977000,195136000,176513000,64078000,91202000
35,Inventory,3900000,6900000,6100000,6600000,7900000,11900000,16300000,24400000,38700000,58500000,57020000,34141000,37969000,37428000,35116000,54104000,76751000,118837000,118502000,117731000,122274000,104305000,99985000,103041000,100792000,189144000,117009000,106546000,120054000,143571000,136510000,76658000,69098000
36,Other Current Assets,400000,900000,25900000,13300000,13500000,7000000,3100000,3700000,7500000,7800000,8184000,13352000,12575000,13405000,14239000,11687000,22313000,40373000,67872000,88209000,54112000,82868000,82567000,81668000,53734000,35967000,31166000,25121000,19195000,21946000,20627000,723558000,18539000
37,Total Current Assets,19300000,43400000,66500000,50300000,46900000,55700000,61400000,76100000,109900000,130900000,121608000,118084000,136347000,112743000,136801000,157896000,249479000,408097000,423491000,435313000,390818000,414938000,528501000,435109000,373939000,500548000,355404000,275791000,338354000,400691000,351354000,931546000,210390000
38,PP&E,15700000,19900000,26500000,27700000,27800000,35300000,54600000,72200000,121000000,145600000,130111000,125505000,146973000,161564000,144098000,223020000,353855000,508149000,696391000,807466000,816374000,739870000,529301000,552714000,572616000,1124623000,1048004000,945451000,895305000,853931000,826768000,140304000,125949000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19613000,24382000,18326000,107643000,- -,125961000,130335000,82525000,99005000,99005000,99132000,189604000,188159000,293941000,112945000,6636000,6636000,25859000,- -,- -,- -
40,Intangible Assets,700000,700000,1400000,1600000,1400000,3700000,4500000,17900000,25000000,26200000,33328000,20189000,- -,6471000,5686000,7952000,111313000,16317000,19884000,16549000,13198000,13024000,11872000,36735000,31980000,105967000,86375000,67713000,47710000,82184000,74199000,41487000,36958000
41,Intangible Assets,700000,700000,1400000,1600000,1400000,3700000,4500000,17900000,25000000,26200000,33328000,20189000,19613000,30853000,24012000,115595000,111313000,142278000,150219000,99074000,112203000,112029000,111004000,226339000,220139000,399908000,199320000,74349000,54346000,108043000,74199000,41487000,36958000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11233000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1342000,899000,258000,594000,2170000,1791000,25000,28000,10000,13000,24000,52000,- -
44,Other Non-Current Assets,1200000,1700000,5000000,8600000,13100000,7800000,9400000,12300000,7900000,8300000,5589000,15162000,6876000,3657000,4688000,12477000,12203000,27666000,25435000,70771000,26862000,31892000,34246000,47062000,37669000,40966000,53623000,19921000,20599000,22849000,19577000,19450000,13736000
45,Total Non-Current Assets,17600000,22300000,32900000,37900000,42300000,46800000,68500000,102400000,153900000,180100000,169028000,160856000,173462000,196074000,172798000,351092000,477371000,678093000,872045000,977311000,956781000,884690000,674809000,826709000,832594000,1567288000,1300972000,1039749000,970260000,984836000,920568000,201293000,187876000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36900000,65700000,99400000,88200000,89200000,102500000,129900000,178500000,263800000,311000000,290636000,278940000,309809000,308817000,309599000,508988000,726850000,1086190000,1295536000,1412624000,1347599000,1299628000,1203310000,1261818000,1206533000,2067836000,1656376000,1315540000,1308614000,1385527000,1271922000,1132839000,398266000
48,Accounts Payable,- -,8600000,15300000,- -,8600000,5300000,18600000,22600000,26200000,29300000,25939000,28082000,35937000,22893000,18316000,34006000,56049000,78859000,108101000,84435000,57418000,55555000,46382000,67453000,69220000,119240000,62114000,45889000,84876000,80279000,88917000,22573000,37943000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,6500000,1300000,1000000,2232000,6955000,428000,226000,8000,4000,- -,- -,- -,- -,- -,- -,- -,35441000,89000,90074000,50000,30000,- -,- -,15850000,8795000,8108000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11857000,13860000,15756000,16467000,4323000,7085000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13160000,3318000,- -,70688000,27542000,13879000,18971000,26695000,9831000,2675000,- -
52,Other Current Liabilities,17000000,1900000,1900000,9700000,2200000,13100000,12700000,9600000,14300000,12300000,18731000,17488000,30526000,17804000,26365000,26834000,78747000,82899000,133949000,128046000,185057000,161277000,172823000,150603000,103717000,98642000,95540000,57087000,69867000,93377000,74125000,764035000,51091000
53,Total Current Liabilities,17000000,10500000,17200000,9700000,10800000,18400000,31300000,38700000,41800000,42600000,46902000,52525000,66891000,40923000,44689000,60844000,134796000,161758000,242050000,212481000,242475000,216832000,232365000,256815000,173026000,378644000,185246000,116885000,173714000,200351000,188723000,798078000,97142000
54,Long-Term Debt,5800000,6900000,5800000,4600000,3200000,2300000,3900000,24700000,78500000,110300000,75026000,50610000,41000000,37000000,- -,143754000,157270000,336381000,358024000,406840000,310132000,305035000,305000000,331268000,387727000,844961000,873402000,623730000,629855000,815560000,842871000,199894000,183365000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,1800000,2400000,2800000,3400000,4200000,5000000,6700000,13400000,17800000,18792000,20966000,22732000,25721000,21614000,25971000,32349000,51243000,46263000,64911000,56125000,46789000,48537000,41910000,17651000,10525000,9467000,7296000,4404000,3242000,2988000,1942000,1669000
57,Other Non-Current Liabilities,12400000,900000,600000,800000,400000,-100000,400000,400000,500000,1000000,495000,11085000,11536000,21021000,32527000,42238000,118288000,116428000,201280000,212571000,162373000,214649000,48320000,38517000,30631000,68105000,74081000,167163000,148080000,53625000,74514000,61863000,17527000
58,Total Non-Current Liabilities,18300000,9600000,8800000,8200000,7000000,6400000,9300000,31800000,92400000,129100000,94313000,82661000,75268000,83742000,54141000,211963000,307907000,504052000,605567000,684322000,528630000,566473000,401857000,411695000,436009000,923591000,956950000,798189000,782339000,872427000,920373000,263699000,202561000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69769000,46364000,39537000
61,Total Liabilities,35300000,20100000,26000000,17900000,17800000,24800000,40600000,70500000,134200000,171700000,141215000,135186000,142159000,124665000,98830000,272807000,442703000,665810000,847617000,896803000,771105000,783305000,634222000,668510000,609035000,1302235000,1142196000,915074000,956053000,1072778000,1109096000,1061777000,299703000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000,138000,142000,148000,227000,232000,359000,739000,759000,768000,770000,778000,797000,804000,813000,823000,830000,1179000,1185000,1285000,1283000,1289000,1301000
64,Retained Earnings,-1200000,5500000,14200000,10300000,11100000,17200000,26600000,39700000,53600000,62500000,72759000,66037000,89910000,98809000,120473000,138172000,176234000,278112000,306826000,294690000,363494000,319776000,323923000,339883000,340036000,170358000,44175000,-117287000,-156335000,-217952000,-362522000,-413665000,-310332000
65,Other Comprehensive Income/Loss,-6200000,-7800000,-10300000,-18300000,-22200000,-20800000,-25500000,-35400000,-48900000,-60000000,-63555000,-66480000,-80333000,-194000,-1034000,2140000,-2169000,4875000,-25999000,42888000,26822000,1107000,-2877000,-1494000,-3903000,-26215000,-43135000,-51285000,-43767000,-51663000,-52183000,-49914000,-46932000
66,Other Total Stockholders Equity,9000000,47900000,69500000,78300000,82500000,81300000,88200000,103700000,124900000,136800000,140081000,144059000,157931000,85389000,91103000,95637000,109723000,136654000,166333000,177475000,185408000,194662000,205303000,211927000,218595000,224747000,239347000,400916000,406997000,441730000,447795000,452650000,- -
67,Total Stockholders Equity,1600000,45600000,73400000,70300000,71400000,77700000,89300000,108000000,129600000,139300000,149421000,143754000,167650000,184152000,210769000,236181000,284147000,420380000,447919000,515821000,576494000,516323000,527146000,551120000,555541000,369713000,241217000,233523000,208080000,173400000,34373000,-9640000,99704000
68,Total Liabilities And Stockholders Equity,36900000,65700000,99400000,88200000,89200000,102500000,129900000,178500000,263800000,311000000,290636000,278940000,309809000,308817000,309599000,508988000,726850000,1086190000,1295536000,1412624000,1347599000,1299628000,1161368000,1219630000,1164576000,1671948000,1383413000,1148597000,1164133000,1246178000,1143469000,1052137000,399407000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41942000,42188000,41957000,395888000,272963000,166943000,144481000,139349000,128453000,80702000,-1141000
70,Total Liabilities & Equity,36900000,65700000,99400000,88200000,89200000,102500000,129900000,178500000,263800000,311000000,290636000,278940000,309809000,308817000,309599000,508988000,726850000,1086190000,1295536000,1412624000,1347599000,1299628000,1203310000,1261818000,1206533000,2067836000,1656376000,1315540000,1308614000,1385527000,1271922000,1132839000,398266000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844965/000084496503000003/0000844965-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496504000014/0000844965-04-000014-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496505000012/0000844965-05-000012-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496506000010/0000844965-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496507000012/0000844965-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496508000016/0000844965-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496509000010/0000844965-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496510000010/0000844965-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496511000022/0000844965-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496512000020/0000844965-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496513000017/0000844965-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496514000022/0000844965-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496515000014/0000844965-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496516000116/0000844965-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496517000003/0000844965-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496518000004/0000844965-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496519000003/0000844965-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496520000002/0000844965-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496521000002/0000844965-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496522000007/0000844965-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,6700000,8700000,-3900000,900000,6100000,9400000,13100000,13900000,8900000,10232000,-6722000,23873000,8899000,21664000,17699000,38062000,101878000,28771000,-12136000,68804000,-43718000,4147000,15960000,153000,-169678000,-126183000,-161462000,-39048000,-61617000,-147413000,-51143000,103333000
74,Depreciation and Amortization,1800000,2300000,3900000,4500000,4900000,4600000,6100000,8300000,11600000,16200000,16757000,15063000,18253000,21077000,29408000,32551000,45490000,83016000,129844000,- -,- -,- -,- -,- -,- -,- -,155015000,129595000,116159000,117010000,124278000,118747000,33532000
75,Deferred Income Tax,- -,- -,400000,-2000000,1600000,1100000,100000,1000000,3200000,2500000,4161000,1679000,6511000,4869000,-3132000,5863000,-3245000,23152000,674000,- -,- -,- -,- -,-2012000,-9824000,-350000,-379000,-1808000,-3048000,-888000,-297000,188000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5898000,6662000,7211000,6288000,9441000,6724000,6775000,16887000,13747000,7727000,7379000,8127000,6616000,4664000
77,Change in Working Capital,- -,30600000,16400000,-8700000,-4500000,1200000,-7200000,7300000,30700000,20200000,-13594000,-9147000,3897000,2364000,20292000,4940000,17631000,131656000,-64898000,41391000,-74489000,49763000,98030000,-117842000,22619000,-79009000,48254000,-11252000,5734000,35700000,-37709000,-29163000,-5483000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3940000,62364000,6613000,16129000,-31229000,14139000,-7866000,38025000,64331000,-55197000,-5512000,6471000,62569000,-27795000
79,Inventory,- -,-3100000,900000,-700000,-1300000,200000,-2100000,-6500000,-15200000,-19500000,2350000,10473000,-3628000,722000,1586000,-6561000,-23415000,-41512000,2626000,-1397000,-4628000,17308000,2158000,-3749000,3011000,-21528000,70431000,1384000,-11332000,-29221000,-2770000,16983000,5387000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2300000,32900000,49300000,40600000,36100000,37300000,30100000,37400000,68100000,88300000,74706000,65559000,69456000,71820000,92112000,97052000,114683000,246339000,181441000,222832000,148343000,198106000,296136000,178294000,200913000,121904000,170158000,158906000,164640000,200340000,162631000,133468000,-3548000
82,Other Non-Cash Items,-3400000,-35100000,-19800000,10600000,6400000,-2900000,7800000,-21600000,-54100000,-37200000,-3828000,21774000,5564000,-12223000,-31810000,-4609000,-45183000,-285470000,114648000,154658000,271338000,140069000,-64678000,112122000,29984000,350907000,102357000,85160000,-22929000,-50998000,143246000,31667000,-131389000
83,Cash Provided by Operating Activities,- -,4500000,9600000,500000,9300000,10100000,16200000,8100000,5300000,10600000,13728000,22647000,58098000,24986000,36422000,56444000,52755000,54232000,209039000,189811000,272315000,153325000,43787000,17669000,49656000,108645000,195951000,53980000,64595000,46586000,90232000,76912000,4657000
84,CAPEX,- -,-5800000,-8400000,-9400000,-4700000,-6000000,-18100000,-12100000,-55500000,-45300000,-24887000,-15992000,-28340000,-20145000,-11361000,-55095000,-89019000,-192292000,-276074000,-262099000,-151773000,-107684000,-123604000,-107524000,-101379000,-131609000,-120597000,-21066000,-51923000,-141931000,-108273000,-29386000,-20533000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6587000,-7630000,-11962000,- -,-153659000,- -,-68651000,-14479000,- -,-18105000,-6250000,-1500000,-163305000,- -,-854031000,- -,- -,- -,-46509000,-12024000,- -,- -
86,Purchases of Investments,- -,- -,-27500000,-1600000,-7300000,-600000,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,19600000,- -,4900000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17627000
