,https://roic.ai/company/CRK,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,-400000,- -,-3100000,-4200000,600000,100000,-1700000,-7000000,-5900000,-18000000,12900000,-10300000,-48300000,-3500000,3513000,1198000,-9895000,-8360000,-15709000,-15347000,-53033000,-6295000,15573000,178615000,-19333000,-74117000,-61912000,-137861000,-100954000,60518000,-1535000,134016000,-47426000,-102691000,-241782000,- -
82,Other Non-Cash Items,200000,- -,1500000,2100000,-5500000,1700000,500000,12200000,- -,37700000,-31600000,47700000,54100000,-47200000,-11112000,7905000,22847000,9157000,47215000,62574000,109505000,18109000,361152000,3107000,516436000,372780000,383548000,339705000,435168000,1062823000,161694000,162625000,213460000,377567000,353042000,1146701000
83,Cash Provided by Operating Activities,- -,- -,- -,3800000,400000,-600000,500000,16500000,7400000,8400000,45900000,84300000,40700000,38500000,104556000,110090000,84437000,153785000,171351000,217954000,364605000,446305000,690865000,176257000,311662000,284904000,262229000,261279000,400984000,30086000,-23728000,174614000,188037000,451237000,575701000,859005000
84,CAPEX,- -,- -,- -,-1300000,-7700000,-19400000,-4200000,-18600000,-16400000,-61800000,-112000000,-254800000,-67400000,-36000000,-83394000,-189646000,-83381000,-92930000,-209790000,-356262000,-529225000,-743041000,-418730000,-349987000,-537400000,-1005503000,-588111000,-422244000,-634787000,-264210000,-57424000,-180481000,-319892000,-486781000,-509690000,-689210000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-693869000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30499000,53417000,37705000,13392000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1500000,1800000,1300000,200000,1200000,-7600000,3100000,12100000,5000000,- -,800000,33000,45000,3478000,- -,- -,149176000,-526000,-2330000,-156302000,-348777000,-470972000,-1005503000,-421425000,299965000,-634787000,-264210000,-29569000,-178953000,108053000,-476970000,-511198000,-550816000
89,Cash Used for Investing Activites,- -,- -,- -,200000,-5900000,-18100000,-4000000,-17400000,-24000000,-58700000,-99900000,-249800000,-67400000,-35200000,-83361000,-189601000,-79903000,-92930000,-258061000,-207086000,-529751000,-745371000,-156302000,-348777000,-440473000,-952086000,-383720000,313357000,-634787000,-161725000,-29569000,-178953000,-211839000,-1170839000,-511198000,-550816000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-555016000,-170000000,-68000000,-287000000,-390000000,-835000000,-100000000,-507655000,-3397000,-8000000,-49679000,-660390000,-907000000,-3030626000
91,Common Stock Issued,- -,- -,- -,- -,14100000,- -,1500000,- -,6200000,15000000,61500000,500000,300000,30300000,763000,1989000,1089000,3028000,9379000,146843000,15948000,3562000,8328000,2081000,1427000,- -,- -,- -,- -,- -,- -,- -,- -,300000000,206626000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-700000,- -,- -,-100000,- -,-100000,- -,-16100000,- -,- -,- -,-5232000,- -,- -,- -,-175000,- -,-1942000,- -,- -,- -,- -,- -,-9232000,-8086000,- -,- -,- -,- -,- -,-210000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,-700000,-400000,- -,- -,-2471000,-1604000,-1604000,-573000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17997000,-23829000,- -,- -,- -,- -,-17832000,-25580000,-17500000
94,Other Financing Activites,- -,- -,- -,-3800000,-7800000,19800000,1400000,2200000,13100000,33900000,7400000,179800000,17000000,-31100000,-20030000,83375000,-8459000,-59649000,74691000,-160150000,147781000,311137000,12841000,424630000,106644000,960910000,507502000,286089000,364822000,771229000,-11408000,7690000,35419000,1093163000,883191000,2740328000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-3800000,5600000,19800000,2900000,800000,19300000,48800000,68200000,163800000,17300000,-800000,-21738000,78528000,-8974000,-57194000,84070000,-13482000,163729000,312757000,-533847000,256711000,40071000,673910000,117502000,-576140000,232907000,263574000,-14805000,-310000,-14260000,714941000,-52763000,-307798000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,-543000,-983000,-4440000,3661000,-2640000,-2614000,-1417000,13691000,716000,84191000,-88740000,6728000,-3989000,-1504000,-896000,131935000,-68102000,-4649000,-38062000,-4661000,11740000,391000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,7105000,6122000,1682000,5343000,2703000,89000,10715000,24406000,6281000,90472000,1732000,8460000,4471000,2967000,2071000,134006000,65904000,61255000,23193000,18532000,30272000,30663000
99,Cash at the Beginning of Period,- -,- -,- -,100000,300000,400000,1500000,900000,800000,3400000,1900000,16200000,14500000,5200000,7648000,7105000,6122000,1682000,5343000,2703000,12132000,10715000,5565000,6281000,90472000,1732000,8460000,4471000,2967000,2071000,134006000,65904000,61255000,23193000,18532000,30272000
100,Free Cash Flow,- -,- -,- -,2500000,-7300000,-20000000,-3700000,-2100000,-9000000,-53400000,-66100000,-170500000,-26700000,2500000,21162000,-79556000,1056000,60855000,-38439000,-138308000,-164620000,-296736000,272135000,-173730000,-225738000,-720599000,-325882000,-160965000,-233803000,-234124000,-81152000,-5867000,-131855000,-35544000,66011000,169795000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23194/000002319496000012/0000023194-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319497000007/0000023194-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319498000002/0000023194-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319499000003/0000023194-99-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/23194/000002319401000004/0000023194-01-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/23194/000095013404003512/0000950134-04-003512-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013405005460/0000950134-05-005460-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013406005194/0000950134-06-005194-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013407004595/0000950134-07-004595-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013408003749/0000950134-08-003749-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013409003729/0000950134-09-003729-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095012310018130/0000950123-10-018130-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095012311016458/0000950123-11-016458-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000119312512081407/0001193125-12-081407-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000119312513083473/0001193125-13-083473-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459014000379/0001564590-14-000379-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459015000911/0001564590-15-000911-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459016013592/0001564590-16-013592-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459017002442/0001564590-17-002442-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459018003306/0001564590-18-003306-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459019005805/0001564590-19-005805-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459020008081/0001564590-20-008081-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000002319421000015/0000023194-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000002319422000011/0000023194-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
