,https://roic.ai/company/PSA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,2800000,4400000,6700000,11400000,12400000,13600000,13000000,15600000,20900000,29400000,52200000,69699000,111033000,218424000,270005000,348385000,445325000,446055000,517365000,525450000,550181000,549361000,652790000,752010000,1079945000,1393321000,1206664000,1056649000,1206589000,1317174000,1446299000,1588099000,1737862000,1891090000,1909443000,2227177000,2079093000,1966753000,2757465000
16,EBITDA ratio,0.3256,0.3520,0.3472,0.4914,0.4366,0.4564,0.4377,0.4522,0.4180,0.4200,0.4551,0.4735,0.5221,0.6403,0.5734,0.5984,0.6581,0.5890,0.6199,0.6245,0.6287,0.5920,0.6153,0.5443,0.5946,0.7982,0.7413,0.6417,0.6887,0.7211,0.7298,0.7234,0.7297,0.7385,0.7155,0.8086,0.7303,0.6747,0.8073
17,Operating Income,2800000,4400000,25100000,29800000,37600000,39600000,37200000,47200000,75800000,111800000,185400000,58492000,86031000,264638000,371311000,251816000,309708000,334951000,369359000,350682000,353671000,395484000,464818000,358450000,474347000,644089000,698879000,724238000,798232000,871982000,962504000,1068111000,1232009000,1374496000,1423142000,1412192000,1465139000,1411150000,2393972000
18,Operating Income ratio,0.3256,0.3520,1.3005,1.2845,1.3239,1.3289,1.2525,1.3681,1.5160,1.5971,1.6164,0.3974,0.4046,0.7758,0.7886,0.4326,0.4577,0.4423,0.4425,0.4168,0.4042,0.4262,0.4381,0.2594,0.2612,0.3690,0.4294,0.4398,0.4556,0.4773,0.4857,0.4865,0.5173,0.5368,0.5333,0.5127,0.5147,0.4841,0.7008
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,1800000,1100000,- -,700000,- -,- -,- -,- -,- -,- -,2200000,3786000,4091000,- -,1007000,-9996000,3099000,2177000,2547000,292878000,100446000,-6279000,35810000,58179000,95027000,81844000,85680000,85953000,25313000,305073000,60512000,-49923000,-434333000
20,Income Before Tax,2800000,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,834042000,930161000,1057531000,1149955000,1317689000,1460449000,1448455000,1717265000,1525651000,1361227000,1959639000
21,Income Before Tax Ratio,0.3256,0.3520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4760,0.5092,0.5336,0.5238,0.5533,0.5704,0.5428,0.6235,0.5359,0.4670,0.5737
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,2800000,4400000,6700000,10000000,10500000,11600000,11100000,12000000,12000000,15100000,28000000,42118000,70386000,153549000,178649000,227019000,287885000,297088000,324208000,318738000,336653000,366213000,456393000,314026000,457535000,935176000,834621000,672038000,823842000,939258000,1052453000,1144204000,1311244000,1453576000,1442217000,1711031000,1520534000,1357213000,1953263000
24,Net Income ratio,0.3256,0.3520,0.3472,0.4310,0.3697,0.3893,0.3737,0.3478,0.2400,0.2157,0.2441,0.2861,0.3310,0.4501,0.3794,0.3900,0.4254,0.3923,0.3884,0.3788,0.3847,0.3946,0.4302,0.2273,0.2519,0.5357,0.5128,0.4081,0.4702,0.5142,0.5311,0.5212,0.5506,0.5677,0.5405,0.6212,0.5341,0.4656,0.5718
25,EPS,1.00,1.07,1.37,1.05,1.00,1.06,1.01,1.04,0.81,0.90,0.98,1.05,0.95,1.10,0.92,1.30,1.53,1.41,1.53,1.21,1.29,1.39,1.98,0.33,1.18,4.21,3.48,2.36,3.31,3.93,4.92,5.27,6.10,6.84,6.75,8.56,7.30,6.29,11.20
26,EPS Diluted,1.00,1.07,1.37,1.05,1.00,1.06,1.01,1.04,0.81,0.90,0.98,1.05,0.95,1.10,0.91,1.30,1.52,1.41,1.51,1.19,1.28,1.38,1.97,0.33,1.17,4.19,3.47,2.35,3.29,3.90,4.89,5.25,6.07,6.81,6.73,8.54,7.29,6.29,11.15
27,Weighted Average Shares Outstanding,2800000,4100000,2500000,9523810,10500000,10943396,10990099,11538462,14814815,16777778,18056000,24077055,41171000,77358000,98446000,113929000,126308000,131566000,122310000,123005000,125181000,127836000,128159000,142760000,169342000,168248000,168358000,168877000,169657000,170562000,171640000,172251000,172699000,173091000,173613000,173969000,174287000,174494000,174926000
28,Weighted Average Shares Outstanding Diluted,2800000,4100000,2500000,9523810,10500000,10943396,10990099,11538462,14814815,16777778,18056000,24077055,41171000,77358000,98961000,114357000,126669000,131657000,123577000,124571000,126517000,128681000,128819000,143715000,170147000,168988000,168768000,169772000,170750000,171664000,172688000,173138000,173510000,173878000,174151000,174297000,174530000,174642000,175806000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393311/000139331108000023/0001393311-08-000023-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393311/000139331112000013/ps10k_20111231.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331113000004/ps10k_2012.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331114000009/psa-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331115000005/psa-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331116000036/psa-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331117000008/psa-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331118000004/psa-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331119000004/psa-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331120000008/0001393311-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393311/000156276221000058/0001562762-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331122000010/0001393311-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,33000000,31000000,1000000,1000000,12000000,- -,- -,- -,- -,- -,20151000,80436000,26856000,41455000,51225000,55125000,89467000,49347000,103124000,204833000,366255000,493501000,555584000,245444000,680701000,763789000,456252000,139008000,17239000,19169000,187712000,104285000,183688000,433376000,361218000,409743000,257560000,734599000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,169800000,166600000,131300000,79700000,8800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306743000,- -,- -,102279000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,33000000,31000000,1000000,1000000,12000000,169800000,166600000,131300000,79700000,8800000,20151000,80436000,26856000,41455000,51225000,55125000,89467000,49347000,103124000,204833000,366255000,493501000,555584000,552187000,680701000,763789000,558531000,139008000,17239000,19169000,187712000,104285000,183688000,433376000,361218000,409743000,257560000,734599000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23062000,23699000,25016000,21807000,5415000,18798000,26238000,59344000,24324000,100510000,492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430596000,374369000,293523000,509376000,516351000,508233000,552183000,413814000,418938000,486648000,476076000,456112000,151630000,- -,92900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534731000,426241000,356785000,566016000,590274000,623938000,660874000,541262000,724281000,853395000,969577000,1011696000,703817000,680701000,856689000,558531000,139008000,17239000,19169000,187712000,104285000,183688000,433376000,361218000,409743000,257560000,734599000
38,PP&E,36000000,35000000,- -,- -,- -,- -,53200000,90100000,175400000,311600000,588500000,764973000,1171168000,1923658000,2741916000,2634253000,3429785000,3704986000,3762304000,4106303000,4054295000,4246710000,4484828000,9597541000,9590906000,7821889000,7562033000,7532816000,7379197000,- -,52336000,104573000,219190000,230310000,264441000,285339000,141934000,188079000,272471000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78204000,78204000,78204000,78204000,174634000,174634000,174634000,174634000,174634000,174600,174600000,174600000,174600000,174600000,174600000,174600000,174600000,174600000,174600000,165843000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231562000,222253000,212944000,203635000,194326000,185017000,202701000,117893000,111289000,26481000,19877000,414602000,173745000,52005000,38270000,42091000,209658400,34774000,72254000,54032000,36858000,38119000,40357000,35256000,31336000,30054000,137051000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231562000,222253000,212944000,203635000,194326000,185017000,202701000,196097000,189493000,104685000,98081000,589236000,348379000,226639000,212904000,216725000,209833000,209374000,246854000,228632000,211458000,212719000,214957000,209856000,205936000,204654000,302894000
42,Investments,19000000,39000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329679000,336696000,341304000,328555000,301905000,306743000,544598000,612316000,601569000,714627000,735323000,856182000,813740000,809308000,689207000,724173000,783988000,767816000,773046000,828763000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-329679000,-336696000,-341304000,-328555000,-301905000,-306743000,662218000,561703000,585692000,489897000,7831467000,8701725000,8484019000,8433991000,8814414000,9095945000,9287869000,9840015000,10393207000,15242181000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1402730000,2145911000,2954860000,2837888000,3624111000,3890003000,3965005000,4302400000,4243788000,4351395000,4582909000,10186777000,9939285000,9255344000,8948956000,8936802000,8793554000,8776164000,9857097000,9630964000,9673947000,9946650000,10299516000,10567052000,10955701000,11558986000,16646309000
46,Other Assets,64000000,117000000,193900000,245100000,244300000,255600000,240900000,270800000,320500000,401700000,666100000,820309000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,64000000,117000000,193900000,245100000,244300000,255600000,240900000,270800000,320500000,401700000,666100000,820309000,1937461000,2572152000,3311645000,3403904000,4214385000,4513941000,4625879000,4843662000,4968069000,5204790000,5552486000,11198473000,10643102000,9936045000,9805645000,9495333000,8932562000,8793403000,9876266000,9818676000,9778232000,10130338000,10732892000,10928270000,11365444000,11816546000,17380908000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,4000000,42000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129519000,113950000,- -,- -,- -,518889000,568417000,398314000,- -,- -,- -,- -,- -,- -,- -,1902493000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3000000,3000000,36000000,36000000,31000000,23000000,44000000,39000000,71000000,96000000,242000000,181000000,145000000,159000000,366000000,204000000,358000000,634000000,572000000,569000000,557000000,461481000,335050000,1222000000,848000000,212353000,212253000,-362648000,-187348000,201711000,218358000,247141000,261578000,297935000,337201000,371259000,-1519209000,394655000,482091000
53,Total Current Liabilities,7000000,45000000,36000000,36000000,31000000,23000000,44000000,39000000,71000000,96000000,242000000,181000000,145000000,159000000,366000000,204000000,358000000,634000000,572000000,569000000,557000000,591000000,449000000,1222000000,848000000,212353000,731142000,205769000,210966000,201711000,218358000,247141000,261578000,297935000,337201000,371259000,383284000,394655000,482091000
54,Long-Term Debt,17000000,20000000,15000000,14600000,8400000,3600000,80000000,77700000,85200000,53700000,84100000,77235000,158052000,108443000,103558000,81426000,167338000,156003000,168552000,115867000,76030000,16095000,35697000,1503542000,1069928000,643811000,- -,568417000,398314000,468828000,839053000,64364000,319016000,390749000,1431322000,1412283000,1902493000,2544992000,7475279000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10000000,35400000,40600000,67400000,-16000000,-21700000,-24200000,-1700000,-36100000,-25235000,-52000,-443000,-6558000,-426000,-338000,-3000,-24552000,133000,114970000,167905000,250303000,264458000,-37928000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,- -
58,Total Non-Current Liabilities,17000000,20000000,25000000,50000000,49000000,71000000,64000000,56000000,61000000,52000000,48000000,52000000,158000000,108000000,97000000,81000000,167000000,156000000,144000000,116000000,191000000,184000000,286000000,1768000000,1032000000,643811000,- -,568417000,398314000,468828000,839053000,64364000,319016000,390749000,1431322000,1412283000,1902493000,2844992000,7475279000
59,Other Liabilities,- -,- -,50700000,100400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,24000000,65000000,61700000,86400000,79700000,93700000,83200000,81900000,89900000,61400000,96300000,91296000,190585000,149910000,174206000,145239000,338685000,256906000,261695000,245194000,322133000,345920000,481507000,2484398000,1373285000,856164000,731142000,774186000,609280000,670539000,1057411000,311505000,580594000,688684000,1768523000,1783542000,2285777000,3239647000,7957370000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1817025000,1867025000,2102150000,2498400000,2855000000,3527500000,3424327000,3399777000,3396027000,3111271000,2837500000,3562500000,4325000000,4055000000,4367500000,4025000000,4025000000,4065000000,3792500000,4100000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2883000,7852000,9537000,11211000,12298000,13371000,13070000,12196000,12399000,12699000,12853000,12809000,16915000,16943000,16829000,16842000,16927000,17024000,17139000,17178000,17245000,17293000,17329000,17385000,17413000,17442000,17458000,17513000
64,Retained Earnings,-2000000,-2000000,18100000,30100000,-13800000,- -,-21800000,-17400000,-104700000,-119000000,-144600000,-10233000,242871000,396420000,575069000,59677000,57386000,1387061000,31339000,-41649000,-98557000,-142604000,-124871000,-344706000,-485354000,4896003000,-153759000,-236410000,-259578000,-279474000,-318482000,-374823000,-434610000,-487581000,-675711000,-577360000,-665575000,-914791000,-550416000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202745000,-241966000,-297655000,-378248000,-411176000,-533412000,-668018000,-819932000,-987546000,-1153059000,-1320200000,-1500128000,19000000,50000000,-32000000,-15000000,-15773000,-23000000,-1000000,-1000000,-48000000,-69000000,-95000000,-75000000,-64000000,-65000000,-43401000,-53587000
66,Other Total Stockholders Equity,42000000,54000000,114100000,128600000,178400000,161900000,179500000,193000000,292800000,372700000,520700000,797881000,1625746000,2197135000,2640928000,3458541000,4151755000,2992004000,4685980000,3358740000,3591691000,3777768000,3930799000,5661836000,5654040000,410305000,5680547000,5515827000,5442492000,5519591000,5531534000,5561374000,5601958000,5609662000,5648335000,5718425000,5711044000,5707101000,5821667000
67,Total Stockholders Equity,40000000,52000000,132200000,158700000,164600000,161900000,157700000,175600000,188100000,253700000,376100000,587786000,1634503000,2305437000,2848960000,3119340000,3689100000,3724117000,3909583000,4158969000,4219799000,4429967000,4817009000,8208045000,8763129000,8715464000,8928407000,8676598000,8288209000,8093756000,8791730000,9480796000,9170641000,9411910000,8940009000,9119478000,9062911000,8558867000,9335177000
68,Total Liabilities And Stockholders Equity,64000000,117000000,193900000,245100000,244300000,255600000,240900000,257500000,278000000,315100000,472400000,679082000,1825088000,2455347000,3023166000,3264579000,4027785000,3981023000,4171278000,4404163000,4541932000,4775887000,5298516000,10692443000,10136414000,9571628000,9659549000,9450784000,8897489000,8764295000,9849141000,9792301000,9751235000,10100594000,10708532000,10903020000,11348688000,11798514000,17292547000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,13300000,42500000,86600000,193700000,141227000,112373000,116805000,288479000,139325000,186600000,532918000,454601000,439499000,426137000,428903000,253970000,506030000,506688000,364417000,146096000,44549000,35073000,29108000,27125000,26375000,26997000,29744000,24360000,25250000,16756000,18032000,88361000
70,Total Liabilities & Equity,64000000,117000000,193900000,245100000,244300000,255600000,240900000,270800000,320500000,401700000,666100000,820309000,1937461000,2572152000,3311645000,3403904000,4214385000,4513941000,4625879000,4843662000,4968069000,5204790000,5552486000,11198473000,10643102000,9936045000,9805645000,9495333000,8932562000,8793403000,9876266000,9818676000,9778232000,10130338000,10732892000,10928270000,11365444000,11816546000,17380908000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393311/000139331108000023/0001393311-08-000023-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393311/000139331112000013/ps10k_20111231.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331113000004/ps10k_2012.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331114000009/psa-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331115000005/psa-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331116000036/psa-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331117000008/psa-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331118000004/psa-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331119000004/psa-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331120000008/0001393311-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393311/000156276221000058/0001562762-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331122000010/0001393311-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,10000000,10500000,11600000,11100000,12000000,12000000,15100000,28000000,42118000,70386000,153549000,178649000,227019000,287885000,297088000,324208000,318738000,336653000,366213000,456393000,314026000,457535000,935176000,834621000,672038000,823842000,939258000,1052453000,1144204000,1311244000,1453576000,1442217000,1711031000,1520534000,1357213000,1953263000
74,Depreciation and Amortization,- -,- -,- -,1400000,1900000,2000000,1900000,3600000,8900000,14300000,24200000,27581000,40647000,64875000,91356000,121366000,157440000,148967000,193157000,206712000,213528000,183148000,196397000,437984000,622410000,414201000,342127000,354386000,358525000,358103000,387402000,437114000,426008000,433314000,454526000,483646000,512918000,553257000,713428000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22983000,- -,- -,- -,- -,- -,- -,- -,37483000,37548000,69936000,25833000,33363000,59815000
77,Change in Working Capital,- -,- -,- -,-1100000,5000000,8000000,-21000000,5000000,-32000000,-25000000,-146000000,61000000,570731000,-122490000,-276456000,371231000,-129742000,-242336000,98936000,-116612000,195019000,95114000,258182000,-730881000,66121000,612531000,-342801000,227215000,-424720000,-112514000,-14717000,139760000,-97864000,43046000,210422000,-106216000,36500000,-163554000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
