,https://roic.ai/company/IMKTA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,569300000,646600000,753700000,875500000,974900000,1016400000,1045600000,1111900000,1191900000,1335700000,1413100000,1473900000,1603000000,1737800000,1847800000,1884700000,1891900000,1927400000,2051300000,2182400000,2496100000,2718100000,3114600000,3149500000,3280600000,3450500000,3594500000,3656100000,3712600000,3639461740,3666375410,3874786980,3967981240,4049840480,4334106298,4647817888
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59059348,64853639,61965755,60026564,59142378,46569864,47006774,46330304,47458033,47569703,47410104,40529096,24332143
14,Depreciation and Amortization,8600000,8900000,11000000,12100000,14600000,17300000,19600000,20800000,22500000,26900000,32900000,38500000,45600000,41000000,42515202,44054132,47464808,50840605,58705330,56634947,59833458,60944055,69098196,79679419,84930777,85408086,90530952,94889139,97663587,102876964,106587686,110929378,113082675,112520100,116282239,117103658
15,EBITDA,25100000,24800000,33900000,37900000,31000000,33900000,28000000,39100000,52000000,53500000,66500000,71000000,52100000,71200000,76715202,72254132,66964808,77640605,104805330,99534947,127933458,150744055,148798196,183438767,198584416,208124841,217860516,180278517,223983451,244341858,237552460,242648991,240971008,266528204,391855768,469050259
16,EBITDA ratio,0.0425,0.0372,0.0434,0.0419,0.0308,0.0325,0.0263,0.0342,0.0422,0.0386,0.0452,0.0462,0.0316,0.0394,0.0400,0.0370,0.0342,0.0390,0.0490,0.0438,0.0490,0.0529,0.0460,0.0564,0.0586,0.0583,0.0586,0.0482,0.0584,0.0647,0.0626,0.0606,0.0589,0.0634,0.0850,0.0940
17,Operating Income,21400000,20300000,26800000,28300000,31900000,28100000,20700000,29900000,35300000,45300000,54400000,56800000,51600000,58600000,58282782,67211930,70480730,63706000,86091448,91644212,120559605,133510877,123445415,113223111,110964631,118516820,123846842,125574175,123345157,139182043,128601998,127912744,124823641,152193135,280937086,350057605
18,Operating Income ratio,0.0362,0.0304,0.0343,0.0313,0.0317,0.0269,0.0194,0.0262,0.0286,0.0327,0.0369,0.0370,0.0313,0.0325,0.0304,0.0344,0.0360,0.0320,0.0403,0.0403,0.0462,0.0468,0.0381,0.0348,0.0327,0.0332,0.0333,0.0336,0.0322,0.0368,0.0339,0.0320,0.0305,0.0362,0.0609,0.0702
19,Total Other Income Expenses (Gains),-4900000,-4400000,-3900000,-2500000,-15500000,-11500000,-12300000,-11600000,-9100000,-18700000,-20800000,-23700000,-45100000,-28400000,-24082782,-39011930,-50980730,-36906000,-40091448,-48744212,-52459605,-43710877,-43745415,-68523111,-62164631,-57816820,-56546842,-99374175,-43545157,-44723923,-43967528,-43651164,-44505011,-45595135,-45892653,-22443147
20,Income Before Tax,16500000,15900000,22900000,25800000,16400000,16600000,8400000,18300000,26200000,26600000,33600000,33100000,6500000,30200000,34200000,28200000,19500000,26800000,46000000,42900000,68100000,89800000,79700000,44700000,48800000,60700000,67300000,26200000,79800000,94458120,84634470,84261580,80318630,106598000,235044433,327614458
21,Income Before Tax Ratio,0.0279,0.0238,0.0293,0.0285,0.0163,0.0159,0.0079,0.0160,0.0212,0.0192,0.0228,0.0215,0.0039,0.0167,0.0178,0.0144,0.0099,0.0135,0.0215,0.0189,0.0261,0.0315,0.0246,0.0138,0.0144,0.0170,0.0181,0.0070,0.0208,0.0250,0.0223,0.0211,0.0196,0.0254,0.0510,0.0657
22,Income Tax expense (Gain),7900000,6700000,8800000,9900000,6400000,5900000,2900000,6600000,9600000,9600000,12900000,12600000,2300000,11400000,13100000,10400000,7000000,9800000,17300000,16300000,25500000,31200000,27600000,16800000,18000000,21651000,23903000,5447000,28350000,35105000,30445000,30388000,-17046000,25018000,56443000,77883000
23,Net Income,8600000,9200000,14100000,15900000,10000000,10700000,5500000,11700000,19900000,17000000,20700000,19900000,4200000,18800000,21100000,17800000,12500000,17000000,28800000,26600000,42600000,58600000,52100000,27900000,30800000,39100000,43400000,20800000,51400000,59353120,54189470,53873580,97364630,81580000,178601433,249731458
24,Net Income ratio,0.0146,0.0138,0.0181,0.0176,0.0099,0.0102,0.0052,0.0102,0.0161,0.0123,0.0141,0.0130,0.0025,0.0104,0.0110,0.0091,0.0064,0.0085,0.0135,0.0117,0.0163,0.0205,0.0161,0.0086,0.0091,0.0110,0.0117,0.0056,0.0134,0.0157,0.0143,0.0135,0.0238,0.0194,0.0387,0.0501
25,EPS,0.59,0.63,0.80,0.89,0.56,0.60,0.31,0.65,1.08,0.93,1.12,0.93,0.19,0.83,0.93,0.79,0.65,0.74,1.22,1.10,1.82,2.51,2.22,1.23,1.35,1.67,1.87,0.89,2.36,3.02,2.75,2.74,4.94,4.14,9.06,13.06
26,EPS Diluted,0.59,0.63,0.80,0.82,0.55,0.60,0.31,0.64,1.01,0.88,1.03,0.92,0.19,0.83,0.93,0.79,0.64,0.74,1.22,1.10,1.74,2.39,2.13,1.18,1.30,1.60,1.79,0.87,2.28,2.93,2.68,2.49,4.81,4.03,8.82,12.73
27,Weighted Average Shares Outstanding,14576271,14603175,17625000,17865169,17857143,17833333,17741935,18000000,18425926,18279570,18482143,21397849,22105263,22530120,22678802,22594963,22665998,22964839,23567381,24154839,23396459,23361632,12447681,12844927,12888828,12905408,23232086,23366292,21790678,19653311,19705091,19662044,19709514,19705314,19713135,19121822
28,Weighted Average Shares Outstanding Diluted,14576271,14603175,17625000,19390244,18181818,17833333,17741935,18281250,19702970,19318182,20097087,21630435,22105263,22530120,22678802,22594963,23020155,22964839,23567381,24154839,24472158,24534601,24512261,24512259,24490390,24447457,24270391,23903448,22555263,20256997,20219776,21636145,20242204,20243176,20249546,19617518
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014494002149/0000950144-94-002149-index.html,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014496009301/0000950144-96-009301-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014497013567/0000950144-97-013567-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014498014035/0000950144-98-014035-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014499014260/0000950144-99-014260-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014400015120/0000950144-00-015120-index.html,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014402012605/0000950144-02-012605-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312503098040/0001193125-03-098040-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312505025299/0001193125-05-025299-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312505239236/0001193125-05-239236-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312506245439/0001193125-06-245439-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312507254993/0001193125-07-254993-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312508245931/0001193125-08-245931-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312509248483/0001193125-09-248483-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312510271350/0001193125-10-271350-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312511328924/0001193125-11-328924-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312512514931/0001193125-12-514931-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049313000016/0000050493-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049314000021/0000050493-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049315000023/0000050493-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049316000044/0000050493-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049317000021/0000050493-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049318000024/0000050493-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049319000017/0000050493-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049320000018/0000050493-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049321000017/0000050493-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8300000,12700000,13300000,14700000,40500000,14600000,24700000,17700000,18500000,20100000,22400000,25400000,19100000,14000000,11200000,12400000,46900000,80900000,80600000,50600000,17500000,4400000,4200000,59500000,57900000,12400000,4700000,16800000,8600000,7505040,5679510,23912100,10537300,42125110,6903955,70313350
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,6000000,75730905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000
33,Cash and Short-Term Investments,8300000,12700000,13300000,14700000,40500000,14600000,24700000,17700000,18500000,20100000,22400000,25400000,19100000,14000000,11200000,12400000,46900000,80900000,80600000,50600000,17500000,4400000,4200000,74500000,63900000,75743305000,4700000,16800000,8600000,7505040,5679510,23912100,10537300,42125110,6903955,75313350
34,Net Receivables,3800000,41700000,7600000,11100000,12500000,10400000,11700000,14000000,16700000,15200000,15200000,18000000,21700000,27300000,22800000,32500000,34800000,34200000,34500000,39100000,43600000,44600000,61500000,50400000,53100000,56800000,61500000,59900000,61000000,66284160,61735390,66329160,70056910,71951300,81358357,95082014
35,Inventory,51400000,60600000,71100000,82600000,97800000,101200000,102800000,101700000,103900000,116900000,128400000,141300000,151200000,167000000,179400000,185400000,190400000,193400000,189400000,204100000,215400000,233500000,258700000,271700000,286400000,303200000,329600000,329700000,329500000,338644130,343881080,349333010,372195420,374129060,366824438,389953456
36,Other Current Assets,2900000,4300000,1300000,1500000,2100000,3300000,2300000,2900000,2400000,3600000,3900000,3700000,4000000,4500000,6200000,3800000,5700000,11800000,9000000,10700000,9300000,10600000,10400000,24600000,19600000,-75713905000,30400000,28100000,14800000,11313150,7191460,6265740,43953490,8897900,15100110,15091595
37,Total Current Assets,66400000,119300000,93300000,109900000,152900000,129500000,141500000,136300000,141500000,155800000,169900000,188400000,196000000,212800000,219600000,234100000,277800000,320300000,313500000,304500000,285800000,293100000,334800000,421200000,423000000,389400000,426200000,434500000,413900000,423746480,418487440,445840010,496743120,497103370,470186860,575440415
38,PP&E,140900000,147000000,178100000,205400000,253100000,264900000,258900000,312500000,359700000,450500000,530200000,606400000,661800000,656700000,702500000,724400000,723200000,739000000,738200000,744200000,771600000,839700000,1030000000,1072900000,1089400000,1133200000,1197100000,1212100000,1218600000,1211458390,1247881770,1265112350,1303044370,1344267320,1401080408,1410914530
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,18600000,20200000,22000000,26400000,24900000,28000000,35500000,37100000,36900000,39700000,40900000,31200000,22700000,38200000,50500000,67200000,72200000,67900000,84100000,86100000,70000000,64643000,71449000,69918000,74461000,75499000,- -,- -
44,Other Non-Current Assets,2300000,900000,700000,2400000,2800000,2500000,4600000,7700000,-13200000,-14700000,-14100000,-18600000,-19900000,-24300000,-29800000,-32800000,-23500000,-23500000,-28900000,-13900000,-5100000,-28200000,-40300000,-43700000,-52200000,-48200000,-65300000,-63400000,-45500000,-45019640,-51339910,-47564590,-49337670,-49541320,28031634,31989010
45,Total Non-Current Assets,143200000,147900000,178800000,207800000,255900000,267400000,263500000,320200000,365100000,456000000,538100000,614200000,666800000,660400000,708200000,728700000,736600000,755200000,750200000,761500000,789200000,849700000,1040200000,1096400000,1109400000,1228900000,1215900000,1234800000,1243100000,1231081750,1267990860,1287465760,1328167700,1370225000,1429112042,1442903540
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,209600000,267200000,272100000,317700000,408800000,396900000,405000000,456500000,506600000,611800000,708000000,802600000,862800000,873200000,927800000,962800000,1014400000,1075500000,1063700000,1066000000,1075000000,1142800000,1375000000,1517600000,1532400000,1618300000,1642100000,1669300000,1657000000,1654828230,1686478300,1733305770,1824910820,1867328370,1899298902,2018343955
48,Accounts Payable,- -,- -,- -,44900000,65600000,66200000,61300000,80000000,- -,66800000,74900000,67200000,82100000,91700000,87400000,85500000,82700000,88200000,88700000,112600000,112300000,131500000,145200000,118400000,141700000,166800000,163500000,160300000,167300000,166039950,155288400,150901050,165165310,151329980,204110150,189432027
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,36900000,- -,- -,- -,- -,59776013,- -,47307046,38032125,31196414,16413158,33665969,31306955,36155472,31314776,92184965,34375989,49928264,18956761,12488400,12651321,10000629,12210571,12848013,12600131,27690411,26236737
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18191260,16771941,16469128,17882565,18883819,21261924,22327253,20273626,22334471,22621486
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36914578000,40614578000,40615000,31245578000,22672578000,38176578000,50523000000,67223000000,72213000000,67939000000,- -,- -,70040000000,71909000000,71449000000,69918000000,74461000000,75499000000,- -,- -
52,Other Current Liabilities,52900000,55000000,59200000,23900000,9800000,12000000,11100000,43900000,115900000,31300000,86500000,90900000,94900000,111900000,50323987,111100000,-36858185046,-40553110125,28188586,-31173691158,-22599643969,-38121984955,-50451055472,-67144114776,-72127884965,-67849675989,92771736,72043239,-69969088400,-71835731371,-71372684389,-69835548141,-74378875233,-75415350721,92012346,90428567
53,Total Current Liabilities,52900000,55000000,59200000,68800000,75400000,78200000,72400000,123900000,115900000,135000000,161400000,158100000,177000000,203600000,197500000,196600000,186400000,187700000,188700000,200900000,218900000,217400000,253300000,228600000,319000000,290500000,306200000,251300000,250700000,251959900,241604640,245563480,260138090,247579390,323812907,306097331
54,Long-Term Debt,89100000,90800000,79500000,98600000,172600000,149800000,162600000,163000000,209000000,286800000,343000000,392700000,427400000,403000000,455900000,488700000,549300000,602900000,568600000,553000000,522600000,532500000,681000000,818000000,725300000,820700000,785200000,893500000,924800000,874685820,866473470,865659740,852739760,839637690,586198360,605801139
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,8200000,6600000,9400000,12900000,17500000,19800000,19700000,21800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67939000,84120000,86082000,70040000,71909000,71449000,69918000,74461000,75499000,73334000,72768000
57,Other Non-Current Liabilities,300000,14100000,13600000,12800000,12100000,10800000,10200000,100000,23700000,26200000,28600000,28800000,40200000,42400000,42200000,41000000,40100000,48300000,45200000,35300000,28800000,44800000,55900000,72800000,79000000,7261000,9180000,27818000,28760000,27295110,36775580,41112550,42158160,41889680,96622678,50418947
58,Total Non-Current Liabilities,97600000,111500000,102500000,124300000,202200000,180400000,192500000,184900000,232700000,313000000,371600000,421500000,467600000,445400000,498100000,529700000,589400000,651200000,613800000,588300000,551400000,577300000,736900000,890800000,804300000,895900000,878500000,1007400000,1023600000,973889930,974698050,976690290,969358920,957026370,756155038,728988086
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49347170,42523933
61,Total Liabilities,150500000,166500000,161700000,193100000,277600000,258600000,264900000,308800000,348600000,448000000,533000000,579600000,644600000,649000000,695600000,726300000,775800000,838900000,802500000,789200000,770300000,794700000,990200000,1119400000,1123300000,1186400000,1184700000,1258700000,1274300000,1225849830,1216302690,1222253770,1229497010,1204605760,1079967945,1035085417
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,900000,900000,900000,1100000,1100000,1100000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1100000,1000000,1012990,1012990,1012990,1012990,1012990,1012989,949719
64,Retained Earnings,47100000,53300000,63100000,75300000,81700000,88900000,90600000,98200000,108500000,114300000,124000000,131000000,121400000,126100000,133100000,136800000,137300000,133000000,147000000,158400000,185500000,228700000,265400000,278800000,290300000,313900000,342000000,332300000,369300000,415654160,456851370,497727770,582089570,650664020,816258015,985734959
65,Other Comprehensive Income/Loss,-49900000,-49200000,-59700000,-71900000,-86900000,-101300000,-114800000,-114800000,-150300000,-174200000,-204700000,-240900000,-269600000,-307100000,-348000000,-388200000,-432900000,-468000000,-517100000,-569700000,-608300000,-641100000,-694900000,-738300000,-803700000,-872700000,-876600000,-939700000,- -,-1089242450,-1166494030,-1241701550,-1309993120,-1265650,-10251296,-3426140
66,Other Total Stockholders Equity,61900000,96600000,107000000,121200000,136400000,150700000,164300000,164300000,198900000,222800000,254800000,331800000,365300000,404000000,445938250,486800000,533100000,577363114,630117176,686948663,726272887,759343976,813114445,856463956,926040217,989545594,990813469,1016939275,12302167,1101553700,1178805280,1254012793,1322304368,12311246,12311249,- -
67,Total Stockholders Equity,59100000,100700000,110400000,124600000,131200000,138300000,140100000,147700000,158000000,163800000,175000000,223000000,218200000,224100000,232138250,236500000,238600000,243563114,261217176,276848663,304672887,348143976,384814445,398163956,413840217,431945594,457413469,410639275,382602167,428978400,470175610,511052003,595413808,662722606,819330957,983258538
68,Total Liabilities And Stockholders Equity,209600000,267200000,272100000,317700000,408800000,396900000,405000000,456500000,506600000,611800000,708000000,802600000,862800000,873100000,927738250,962800000,1014400000,1082463114,1063717176,1066048663,1074972887,1142843976,1375014445,1517563956,1537140217,1618345594,1642113469,1669339275,1656902167,1654828230,1686478300,1733305773,1824910818,1867328366,1899298902,2018343955
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,61750,- -,- -,-6963114,-17176,-48663,27113,-43976,-14445,36044,-4740217,-45594,-13469,-39275,97833,- -,- -,-3,2,4,- -,- -
70,Total Liabilities & Equity,209600000,267200000,272100000,317700000,408800000,396900000,405000000,456500000,506600000,611800000,708000000,802600000,862800000,873200000,927800000,962800000,1014400000,1075500000,1063700000,1066000000,1075000000,1142800000,1375000000,1517600000,1532400000,1618300000,1642100000,1669300000,1657000000,1654828230,1686478300,1733305770,1824910820,1867328370,1899298902,2018343955
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014494002149/0000950144-94-002149-index.html,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014496009301/0000950144-96-009301-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014497013567/0000950144-97-013567-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014498014035/0000950144-98-014035-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014499014260/0000950144-99-014260-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014400015120/0000950144-00-015120-index.html,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014402012605/0000950144-02-012605-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312503098040/0001193125-03-098040-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312505025299/0001193125-05-025299-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312505239236/0001193125-05-239236-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312506245439/0001193125-06-245439-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312507254993/0001193125-07-254993-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312508245931/0001193125-08-245931-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312509248483/0001193125-09-248483-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312510271350/0001193125-10-271350-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312511328924/0001193125-11-328924-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312512514931/0001193125-12-514931-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049313000016/0000050493-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049314000021/0000050493-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049315000023/0000050493-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049316000044/0000050493-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049317000021/0000050493-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049318000024/0000050493-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049319000017/0000050493-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049320000018/0000050493-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049321000017/0000050493-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,15900000,10000000,10700000,5500000,11700000,19900000,17000000,20700000,19900000,4200000,18800000,21100000,17800000,12500000,17000000,28800000,26600000,42600000,58600000,52100000,27900000,30800000,39100000,43400000,20800000,51400000,59353120,54189470,53873580,97364630,81580000,178601433,249731458
74,Depreciation and Amortization,- -,- -,- -,12100000,14600000,17300000,19600000,20800000,22500000,26900000,32900000,38500000,45600000,41000000,42515202,44054132,47464808,50840605,58705330,56634947,59833458,60944055,69098196,79679419,84930777,85408086,90530952,94889139,97663587,102876964,106587686,110929378,113082675,112520100,116282239,117103658
75,Deferred Income Tax,- -,- -,- -,3300000,3100000,1100000,1000000,1800000,200000,600000,2100000,4400000,-2000000,3300000,4700000,5400000,-900000,3000000,979000,-9690000,-7495000,15119000,10956000,16803000,5745000,-5952000,14202000,7435000,-16352000,2225000,6806000,-1531000,4543000,1447000,737000,-2772000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
